"","CDC42","NOTCHic","AKT","Csl","GSK3","SHH","FUS","Csn","SNAI2","cateninnuc","CD44","cfos","TrCP","SRC","ERK","cMet","STAT","LIV1","AXIN2","Destcompl","FOXC2","ZEB1","RAF","PI3K","DELTA","RAS","TWIST1","SOSGRB2","DSH","EGR1","RKIP","cateninmemb","Wnt","TCFLEF","Frizzled","MEK","SNAI1","GLI","SUFU","Patched","SMO","NFB","IKK","HEY1","NOTCH","miR200","ILK","SMAD","PAK1","Ecadherin","TGFR","TGF","Jagged","ZEB2","KLF4"
"FUS",0.258333333333333,-0.00469696969696969,-0.0106373626373626,0.0303030303030303,-0.0397229476587856,0.158459595959596,0.133333333333333,-0.05,-0.22809837673281,-0.196773279494642,-0.202880258899676,0.136923076923077,-0.1,-0.21,0.188438228438228,-0.176666666666667,-0.15,-0.2,-0.0802994606592808,-0.0313909561269941,0.00220508166969147,0.0380602058854112,0.00803890876565295,0.00803890876565295,-0.00803890876565295,0.0203453707103296,-0.182080039694761,-0.241632928475034,0.05,-0.16,-0.128011782032401,-0.127650618992547,0.0791666666666667,0.181827627320729,0.1125,-0.166599147978458,-0.15262440947164,0.104166666666667,-0.133333333333333,-0.173611111111111,-0.145833333333333,0.0357142857142857,-0.0162857142857143,-0.165583691670648,-0.0248484848484849,-0.244376309240327,-0.161904761904762,-0.175453149001536,-0.233333333333333,0.00548869132460443,-0.269144144144144,-0.271271803718612,0.0637336648180022,-0.300683685140896,-0.304143897996357
"SHH",0.233333333333333,0,-0.05,-0.1,-0.0282051282051282,0.133333333333333,0,0,-0.233026819923372,-0.176666666666667,-0.15,0.1,0,-0.1,0.1,-0.2,-0.1,0,-0.0285714285714286,-0.0574025974025974,-0.025,0.05,-0.05,-0.05,0.05,-0.0192307692307692,-0.125,-0.2,0,0,-0.08,-0.139928315412186,0.1,0.21,0,-0.16,-0.15,0.05,0,-0.133333333333333,-0.1,0,0.1,-0.133333333333333,0.0333333333333333,-0.2,-0.133333333333333,-0.166666666666667,-0.2,0.0197222222222222,-0.233333333333333,-0.233333333333333,0.0485714285714286,-0.25,-0.25
"RAS",0.14,-0.0236842105263158,0.137777777777778,-0.05,-0.172260981912145,0.137141242937853,0.1,0.1,0.199421879948631,-0.0453035268808172,-0.0484981226533166,0.135,0,-0.05,0.108684210526316,-0.0676470588235294,-0.1,0,-0.0455335968379447,-0.106469394841488,0.0865079365079365,-0.0427356406480118,0.11,0.11,-0.11,-0.219615384615385,-0.0479759956355701,-0.0432900432900433,0.1,-0.16,-0.143993710691824,-0.119135407014736,0.0676470588235294,0.0546519688071628,0.05,-0.0949587203302374,-0.129980334316617,0.0468137254901961,-0.1,-0.128666666666667,-0.116666666666667,-0.133333333333333,-0.126666666666667,-0.0399209486166008,0.0180238331678252,-0.173753846153846,-0.137662337662338,-0.139703153988868,-0.14,-0.152478937995927,-0.134117647058824,-0.135107746068724,-0.104289375123201,-0.199326215022091,-0.200357142857143
"SOSGRB2",0.144285714285714,0.108391608391608,0.233040935672515,0.0545454545454545,-0.161132568537898,0.233322857741462,0.166666666666667,0.2,0.342155734916757,0.0558398031824094,0.0515527950310559,0.0349206349206349,0.1,0.0428571428571429,-0.0218361218361218,0.0211180124223602,0,0,0.037046204620462,-0.101046865140825,0.0655067155067155,-0.0124561403508772,0.124293785310734,0.124293785310734,-0.124293785310734,-0.14993481095176,-0.0706086956521739,-0.146111111111111,0,0.0428571428571429,-0.148793859649123,-0.185922233922234,-0.0261904761904762,-0.0357633213468454,-0.0428571428571429,-0.00543660543660544,-0.136013503909026,-0.0566252587991718,-0.2,-0.219369369369369,-0.216666666666667,-0.211111111111111,-0.216374269005848,-0.143371212121212,-0.101349354870482,-0.175206393955448,-0.252903225806452,-0.242413715316941,-0.164285714285714,-0.254407613154007,-0.148131868131868,-0.151677967422648,-0.248191788597911,-0.194962406015038,-0.202105263157895
"MEK",0.104761904761905,0.0201631701631702,0.188281130634072,0.0393939393939394,-0.0568421419485249,0.110623379406407,0.126666666666667,0.185714285714286,0.347011121846375,0.0583138795335659,0.0487056802846276,0.0344827586206897,0.2,0.0298245614035088,0.0834189288334556,0.0759784075573549,0.0666666666666667,0,0.0202297233942804,0.0172701325803163,0.0921826335619439,0.0283602741909772,0.158610833610834,0.158610833610834,-0.158610833610834,-0.124007659007659,-0.0161963526669409,-0.0918095238095238,-0.0666666666666667,-0.1,-0.193793306796403,-0.151270881457395,-0.0828205128205128,-0.0774588609462053,-0.0366666666666667,-0.146752262166789,-0.0747586887661451,-0.0555477855477855,-0.0666666666666667,-0.137420765027322,-0.122666666666667,-0.185714285714286,-0.212987012987013,-0.140621546475205,-0.0573894475354329,-0.132507989992439,-0.147941530353292,-0.152000570943698,-0.1,-0.241273362410632,-0.111303960836671,-0.119333157916963,-0.141983694031483,-0.172426316868211,-0.158297465327594
"RKIP",0.1,0.0393939393939394,0.212987012987013,-0.0333333333333333,-0.0290780141843972,0.137420765027322,0.0666666666666667,0.2,0.335818907734452,0.0774588609462053,0.0759784075573549,0.1,0.2,0.0666666666666667,0.0344827586206897,0.0298245614035088,0,0,0.0535630567276137,-0.00720685486738249,0.0687592101385205,0.0339158297465328,0.113311688311688,0.113311688311688,-0.113311688311688,-0.158610833610834,0.00688057040998217,-0.0606984126984127,0,0,-0.16484593837535,-0.168831857067151,-0.0366666666666667,-0.0487056802846276,-0.0666666666666667,-0.0834189288334556,-0.0907843297917862,-0.0828205128205128,-0.1,-0.122666666666667,-0.126666666666667,-0.185714285714286,-0.185714285714286,-0.153348819202478,-0.0201631701631702,-0.126625637051262,-0.164773213521609,-0.147941530353292,-0.133333333333333,-0.232530193011725,-0.104761904761905,-0.111303960836671,-0.164934513703614,-0.158140602582496,-0.166140602582496
"AXIN2",0.0952777777777778,-0.0667418546365915,0.0279710144927536,-0.0024561403508772,-0.058526139764126,0.0876694889809644,0.119230769230769,0.0777777777777778,-0.0827214650215752,-0.0694228987997292,-0.0781662825692282,0.0110569105691057,0,-0.090077519379845,0.0774120507560216,-0.0280085538626036,-0.0133333333333333,-0.1,-0.113819731381227,-0.0327468098401576,0.0570123241317621,-0.0271529785016215,0.0732949459593058,0.0732949459593058,-0.0732949459593058,-0.0236886467467074,-0.0640828910402947,-0.0968215110431099,0.0133333333333333,-0.0866666666666667,-0.0486016581984324,-0.02754231949259,0.0280085538626036,0.0384241958165904,0.090077519379845,-0.0249982576525733,-0.0321846541442401,0.0776940884537985,-0.05,-0.116849816849817,-0.0811355311355311,-0.021256038647343,-0.0690821256038647,-0.0401507853840511,0.0126878005825374,-0.103121782405973,-0.0328962502875546,-0.041229583620888,-0.0841666666666667,-0.0103997678088494,-0.0908529990167158,-0.0944833620530195,0.0457812046942482,-0.097205946873686,-0.0906287874690628
"cateninnuc",0.0142857142857143,0.081737689601308,0.0901789772727273,0.0526679221594476,0.0576554303986909,-0.217887320288058,-0.228888888888889,0.0625,0.309379311598293,0.140737747638117,0.241318584796846,0.0958247066942719,0.1,0.240559440559441,0.0717740737828795,0.224255092733354,0.207226107226107,0.23030303030303,0.0899623676759112,0.0458600394237136,0.152993580190302,-0.0178452423555609,0.0570809820809821,0.0570809820809821,-0.0570809820809821,-0.0718957968957969,0.146184703568867,0.165212423337804,-0.207226107226107,-0.0688405797101449,-0.085304342473077,0.0953700226111644,-0.222428608715089,-0.23198325992754,-0.238732956541176,-0.0910401288287511,-0.0963294795608651,-0.239029399228923,0.188888888888889,0.226384052314202,0.210856102003643,-0.0897727272727273,-0.0737727272727273,0.00821940012776763,-0.0644649623285808,-0.029366380134255,-0.00417460317460317,-0.0018553671582321,-0.0142857142857143,-0.155812254672345,-0.0165845648604269,-0.0172395866944881,-0.215376357062086,-0.0405559648806837,0.000143717492471941
"cateninmemb",0.00642424242424242,0.0358703694569131,0.0612794612794613,0.0760765550239234,0.0419208020082755,-0.0983331216662433,-0.0666666666666667,0.1,0.150019297489401,0.0767971015694687,0.0704106864803944,0.0506951871657754,0,0.0585043319653443,0.0867776613925795,0.0941565058783878,0.0980392156862745,0.0333333333333333,0.0487115479404832,0.0514623895493487,0.106235527460441,-0.00939518436459143,0.0717458521870287,0.0717458521870287,-0.0717458521870287,-0.0482821650361907,0.0308035686031085,0.0924678763804881,-0.0980392156862745,-0.103636363636364,-0.0235909890002988,0.0327828058498276,-0.0929870905860339,-0.0899623676759112,-0.0585043319653443,-0.0581502104121874,-0.0204458395398133,-0.0696537572527006,0.1,0.0794354838709677,0.104166666666667,-0.0476190476190476,-0.0846560846560847,0.00591403858675868,-0.0689558713156492,-0.0145798914513998,0.000463768115942029,-0.00365245464434853,-0.00509090909090909,0.0719751798998733,-0.00593643754619364,-0.00756392398380666,-0.0605319828124216,-0.0203180344225493,0.00126582278481013
"Csn",0.0955223880597015,-0.101010101010101,0.101866666666667,-0.128282828282828,-0.101860786505077,0.0258762361089172,0.00317460317460317,0.095,-0.0505010425453876,-0.0855313921693691,-0.082309190786133,0.0772727272727273,0.22,-0.0758620689655172,0.05,-0.0987536352305775,-0.1,-0.0666666666666667,-0.0640643689014794,-0.0570089347458438,0.0575630019931719,0.00113978494623656,0.0999832274988511,0.0999832274988511,-0.0999832274988511,-0.11821739256603,-0.0866323827333645,-0.0648080249048772,0.1,-0.05,-0.0727896955861632,-0.0358859262731609,0.0987536352305775,0.0958140139372584,0.0758620689655172,-0.071875,-0.0856851578279984,0.0825964299904028,-0.0142857142857143,-0.0168598426662943,-0.0243867243867244,-0.103333333333333,-0.0866666666666667,-0.0171428571428571,0.119279331779332,-0.0207581436296058,-0.0094824016563147,-0.0056263605252093,-0.1,0.0051477485269339,-0.0980864906238041,-0.0978478271393172,0.00996988317491648,-0.0187890818858561,-0.0230237736120089
"SNAI2",0.00588235294117647,0.120175438596491,0.108191386234594,0.0903508771929825,0.109815186296116,-0.168115922425308,-0.16,0.0666666666666667,0.430336431855342,0.196731695793226,0.195043791586272,0.096078431372549,0.1,0.186623376623377,0.0705882352941177,0.176764221693799,0.150909090909091,0.16,0.122042755644973,0.101750983994105,0.133083372683002,-0.00596412838263059,0.0919450593397433,0.0919450593397433,-0.0919450593397433,-0.105187068472163,0.159265204170818,0.138810006761325,-0.150909090909091,-0.0666666666666667,-0.00985897435897436,-0.171690363475837,-0.176764221693799,-0.187414925606891,-0.186623376623377,-0.0854531001589825,-0.0192506569345674,-0.194411280517329,0.1,0.17656662665066,0.154117647058824,-0.116666666666667,-0.0925287356321839,0.0130198915009042,-0.105889724310777,-0.0149127438636394,-0.002280348759222,-0.000844942060657406,-0.00588235294117647,-0.453844482565001,-0.00673705379587732,-0.00673705379587732,-0.186800300717325,-0.0169641283826306,0
"FOXC2",0.00509090909090909,0.0760765550239234,0.0846560846560847,0.0181818181818182,0.0567110889839929,-0.0794354838709677,-0.1,0,0.144299851372604,0.0899623676759112,0.0941565058783878,0.103636363636364,0.1,0.0980392156862745,0.0506951871657754,0.0585043319653443,0.0333333333333333,0.1,0.0794331974250193,0.038042072680756,0.0913613855840111,-0.00560371517027864,0.0401282051282051,0.0401282051282051,-0.0401282051282051,-0.0717458521870287,0.0481220043572985,0.116152086906804,-0.0333333333333333,-0.04,-0.0104823747680891,-0.0932582503314211,-0.0585043319653443,-0.0704106864803944,-0.0980392156862745,-0.0867776613925795,-0.0245597635904462,-0.0929870905860339,0,0.104166666666667,0.0666666666666667,-0.1,-0.0476190476190476,0.006585179526356,-0.0358703694569131,-0.0132763532763533,-0.00533333333333333,0.000463768115942029,-0.00909090909090909,-0.275131779178132,-0.00642424242424242,-0.00593643754619364,-0.0786097860160829,-0.0160526315789474,0
"ZEB1",0.137156421789105,0.0714460784313726,0.0682304120958133,0.0479166666666667,0.0209748272666705,0.00167120228874468,0.0166666666666667,0.0333333333333333,0.163723007698,0.0435357668579497,0.046587251223191,0.086,0.0333333333333333,0.0494058786741714,0.0636470588235294,0.027837251223191,0.0128205128205128,0.0666666666666667,0.0507775730972921,0.0290339655023918,-0.0169586490421617,-0.0994819170892899,0.0399192842523483,0.0399192842523483,-0.0399192842523483,-0.0589744023625845,0.0448202220703648,-0.0268615984405458,-0.0238095238095238,-0.05,0.000900466393696567,-0.0356876309311201,-0.0373179665862593,-0.0335553363295739,-0.0603948896631823,-0.0878761337133973,-0.0135115052984028,-0.0555310250055032,-0.0166666666666667,0.0107843137254902,-0.0166666666666667,-0.0912280701754386,-0.0568018406672419,-0.0334435426404338,-0.044999797439637,0.0145999302671831,-0.0477603567128435,-0.0516065105589974,-0.127011494252874,-0.138879122719152,-0.139694492855095,-0.135363784193678,-0.0793181672422649,-0.0124316881636751,-0.0108920086248907
"KLF4",-0.00509090909090909,-0.0760765550239234,-0.0846560846560847,-0.0181818181818182,-0.0567110889839929,0.0794354838709677,0.1,0,-0.144299851372604,-0.0899623676759112,-0.0941565058783878,-0.103636363636364,-0.1,-0.0980392156862745,-0.0506951871657754,-0.0585043319653443,-0.0333333333333333,-0.1,-0.0794331974250193,-0.038042072680756,-0.0913613855840111,0.00560371517027864,-0.0401282051282051,-0.0401282051282051,0.0401282051282051,0.0717458521870287,-0.0481220043572985,-0.116152086906804,0.0333333333333333,0.04,0.0104823747680891,0.0932582503314211,0.0585043319653443,0.0704106864803944,0.0980392156862745,0.0867776613925795,0.0245597635904462,0.0929870905860339,0,-0.104166666666667,-0.0666666666666667,0.1,0.0476190476190476,-0.006585179526356,0.0358703694569131,0.0132763532763533,0.00533333333333333,-0.000463768115942029,0.00909090909090909,0.275131779178132,0.00642424242424242,0.00593643754619364,0.0786097860160829,0.0160526315789474,0
"HEY1",-0.00509090909090909,-0.0760765550239234,-0.0846560846560847,-0.0181818181818182,-0.0567110889839929,0.0794354838709677,0.1,0,-0.144299851372604,-0.0899623676759112,-0.0941565058783878,-0.103636363636364,-0.1,-0.0980392156862745,-0.0506951871657754,-0.0585043319653443,-0.0333333333333333,-0.1,-0.0794331974250193,-0.038042072680756,-0.0913613855840111,0.00560371517027864,-0.0401282051282051,-0.0401282051282051,0.0401282051282051,0.0717458521870287,-0.0481220043572985,-0.116152086906804,0.0333333333333333,0.04,0.0104823747680891,0.0932582503314211,0.0585043319653443,0.0704106864803944,0.0980392156862745,0.0867776613925795,0.0245597635904462,0.0929870905860339,0,-0.104166666666667,-0.0666666666666667,0.1,0.0476190476190476,-0.006585179526356,0.0358703694569131,0.0132763532763533,0.00533333333333333,-0.000463768115942029,0.00909090909090909,0.275131779178132,0.00642424242424242,0.00593643754619364,0.0786097860160829,0.0160526315789474,0
"Ecadherin",-0.00642424242424242,-0.0358703694569131,-0.0612794612794613,-0.0760765550239234,-0.0419208020082755,0.0983331216662433,0.0666666666666667,-0.1,-0.150019297489401,-0.0767971015694687,-0.0704106864803944,-0.0506951871657754,0,-0.0585043319653443,-0.0867776613925795,-0.0941565058783878,-0.0980392156862745,-0.0333333333333333,-0.0487115479404832,-0.0514623895493487,-0.106235527460441,0.00939518436459143,-0.0717458521870287,-0.0717458521870287,0.0717458521870287,0.0482821650361907,-0.0308035686031085,-0.0924678763804881,0.0980392156862745,0.103636363636364,0.0235909890002988,0.0808223528955236,0.0929870905860339,0.0899623676759112,0.0585043319653443,0.0581502104121874,0.0204458395398133,0.0696537572527006,-0.1,-0.0794354838709677,-0.104166666666667,0.0476190476190476,0.0846560846560847,-0.00591403858675868,0.0689558713156492,0.0145798914513998,-0.000463768115942029,0.00365245464434853,0.00509090909090909,0.180681925234607,0.00593643754619364,0.00756392398380666,0.0605319828124216,0.0203180344225493,-0.00126582278481013
"IKK",-0.161111111111111,0.113852813852814,-0.206177606177606,0.109090909090909,0.178278388278388,-0.126641123882503,-0.12,-0.3,-0.200100725221595,0.109443921831821,0.10957264957265,-0.0928571428571429,-0.2,0.111111111111111,-0.0808571428571429,0.111111111111111,0.1,0.1,0.0902380952380952,0.110718241924541,0.0908802308802309,0.00252130325814536,-0.121173623714459,-0.121173623714459,0.121173623714459,0.123990525122909,0.236437908496732,0.110714285714286,-0.1,0.05,0.0685792349726776,-0.052101027464156,-0.111111111111111,-0.112397508329712,-0.111111111111111,0.0830793650793651,0.0957591178965225,-0.10957264957265,0.1,0.116296296296296,0.12,0.314285714285714,0.214285714285714,0.112383900928793,-0.115440115440115,0.0487179487179487,0.107638888888889,0.114569581958196,0.15,-0.0836861114381389,0.161111111111111,0.157111111111111,-0.00399562636676039,0.0521453634085213,0.0604395604395604
"NFB",-0.161111111111111,0.115440115440115,-0.208399828399828,0.113852813852814,0.182984270631329,-0.130255581713829,-0.12,-0.314285714285714,-0.200710481319156,0.111718431635743,0.112397508329712,-0.0808571428571429,-0.3,0.111111111111111,-0.0830793650793651,0.10957264957265,0.111111111111111,0.1,0.0916565349544073,0.107063756874707,0.084904135262701,0.00826842969492697,-0.123990525122909,-0.123990525122909,0.123990525122909,0.120010425620422,0.241199813258637,0.113872180451128,-0.111111111111111,0.0928571428571429,0.0762715426649853,-0.0538961700195942,-0.10957264957265,-0.109443921831821,-0.111111111111111,0.0745826330532213,0.0949372000883033,-0.111819840583886,0.12,0.126641123882503,0.116296296296296,0.214285714285714,0.206177606177606,0.11952675807165,-0.108343341246567,0.0478116043070726,0.114569581958196,0.115684823593884,0.161111111111111,-0.081438920426903,0.157111111111111,0.158376933895921,-0.00327620190632873,0.0532947886958776,0.0546703296703297
"Destcompl",-0.113800140745954,0.00361927144535841,-0.0585387672052393,0.0514453584018802,0.0223580847866971,-0.150673646001766,-0.120306513409962,-0.0238095238095238,0.129251767029658,0.0562361936158243,0.0499276286538605,-0.0713752913752914,-0.0666666666666667,0.0402261361165471,-0.0271129962933242,0.0835097182060993,0.0936507936507937,0.0222222222222222,0.0384241958165904,-0.0469571047087259,-0.0229261520565594,-0.00221642218404476,-0.0215971268140637,-0.0215971268140637,0.0215971268140637,0.0548781315236398,0.0372893379742247,0.0842745294269976,-0.0936507936507937,0.0107692307692308,0.0138923847745476,0.0426798269355184,-0.0828003935422897,-0.0758180396127646,-0.0402261361165471,0.065087679837628,0.0330691027150378,-0.0495907460469279,0.144444444444444,0.129203626659407,0.154592227695676,0.067287784679089,0.0303508477421521,0.0715498177036639,-0.0418958245515708,0.139758392196959,0.0691269841269841,0.065969089390142,0.114489795918367,-0.0055963078147699,0.116958035482796,0.114297936960628,-0.00564221939475901,0.133078718999163,0.145315548794655
