"","Patched","SHH","HEY1","SMO","Csl","NOTCH","NOTCHic","SMAD","AXIN2","SNAI2","DSH","GLI","SNAI1","STAT","SRC","cateninnuc","RKIP","LIV1","Destcompl","TWIST1","PAK1","PI3K","CDC42","ZEB2","GSK3","TGFR","TGF","RAS","RAF","DELTA","KLF4","FOXC2","miR200","CD44","TCFLEF","cMet","MEK","ERK","EGR1","Frizzled","Wnt","cfos","cateninmemb","IKK","AKT","NFB","TrCP","Csn","SOSGRB2","SUFU","ILK","FUS","Jagged","ZEB1","Ecadherin"
"Patched",0.0933333333333333,0.0808333333333333,0.11025641025641,0.133333333333333,0,0.0606060606060606,0.0333333333333333,0.136666666666667,-0.256709956709957,-0.23055938697318,0,0,-0.0365591397849462,-0.1,-0.1,-0.0981984897518878,-0.0257142857142857,-0.1,0.00287712287712287,0.0361111111111111,-0.166666666666667,-0.223076923076923,-0.166666666666667,-0.183333333333333,-0.0399267399267399,0.146666666666667,0.146666666666667,0.223076923076923,0.223076923076923,0.223076923076923,-0.188888888888889,0.075,-0.14047619047619,0.106666666666667,0.101111111111111,0.1,0.0969230769230769,0.12,0.1,0,0,0.1,-0.127795698924731,-0.15,-0.192857142857143,-0.1,0,0,0.2,-0.2,-0.116666666666667,-0.1,0.0482539682539683,-0.05,-0.067891046386192
"AXIN2",0.1378663003663,0.137538431513841,0.0571162295300226,0.128937728937729,0.0947368421052632,0.10414803901646,0.100093984962406,0.0541810443984357,0.499713891909276,0.131541128536273,0.113333333333333,0.117383052659717,-0.134268476261827,0.113333333333333,0.115658914728682,0.119090515800003,-0.130124069478908,0.133333333333333,-0.132804823549841,-0.126071653536157,-0.0904166666666667,-0.0853690999452245,-0.0916512345679012,-0.173206525566505,-0.13879455886092,0.0898813230634764,0.0902113560667768,0.0858940343284266,0.0853690999452245,0.0853690999452245,-0.177790242784332,0.0579437502388322,-0.145237387880244,-0.117067595246467,-0.119998427602857,-0.117383052659717,0.0237431386882351,0.0244327938606489,0.0266666666666667,-0.115658914728682,-0.117383052659717,0.0291056910569106,0.172948164122202,-0.0893719806763285,-0.0949275362318841,-0.0821256038647343,-0.0666666666666667,-0.0777777777777778,-0.00293141796648108,-0.1,-0.0506096158270071,-0.138461538461538,-0.130155432111954,0.0671262714564909,0.156795775579023
"ERK",-0.0612351869709633,-0.0559211773091275,-0.0300821032145431,-0.0579672131147541,0.0188034188034188,0.0279628906678667,0.0326720319421049,-0.026728236968408,-0.0591047021087157,0.254925560980532,-0.0766666666666667,-0.0552144346881189,-0.0644199810943181,-0.0719298245614035,-0.0565452091767881,-0.0524026265933623,-0.0444792445639743,-0.0666666666666667,-0.0518820742272763,0.000125396527452495,-0.0847619047619048,-0.236461871461872,-0.0800890075656431,-0.140155848883309,-0.217727247430419,0.0778992265437453,0.080646479290998,0.235471772451971,0.236461871461872,0.236461871461872,-0.135365297565424,0.0874249050111119,-0.143261641052179,0.0503742808684552,0.0542776265933623,0.0572445098760888,-0.000329418352519941,0.000506236243580338,0.119655172413793,0.0612820512820513,0.061981351981352,0.10050623624358,0.170406092215252,-0.0673784059078177,-0.0600389563665333,-0.0544372294372294,-0.0142857142857143,-0.0392857142857143,0.169574356603483,0.04,0.0239926746583776,0.076,0.077130698673311,-0.0112599723456376,0.239304219327649
"SOSGRB2",0.0364864864864865,0.0341609050911377,0.0517045454545455,0.05,0.190909090909091,0.202826750714075,0.198601398601399,0.0572584404842469,-0.0451526402640264,0.139022001018558,0,-0.0406832298136646,-0.0409360341151386,0,-0.0428571428571429,-0.0317988961930139,0.0526315789473684,0,-0.109665576779671,-0.0861449275362319,-0.00714285714285715,-0.308474576271186,-0.0171428571428571,-0.138007518796992,-0.22586614881145,0.0171428571428571,0.0150151975683891,0.298218166014776,0.308474576271186,0.308474576271186,-0.136578947368421,0.0257753357753358,-0.120223769519917,0.0370600414078675,0.0339021466710254,0.0559006211180124,-0.0240591240591241,-0.00587730587730588,-0.0142857142857143,0.0428571428571429,0.0595238095238095,-0.00317460317460317,0.167696774696775,-0.215204678362573,-0.227704678362573,-0.188888888888889,-0.1,-0.2,0.0716666666666667,0,-0.0565591397849462,0,-0.0196634782387678,0.0170551378446115,0.21871698640647
"MEK",-0.0579672131147541,-0.0612351869709633,-0.0379319325660789,-0.076,0.0111111111111111,0.0326720319421049,0.0188034188034188,-0.0239926746583776,-0.0638201492631872,0.255556760259161,-0.0666666666666667,-0.061981351981352,-0.0648829440572811,-0.0666666666666667,-0.0719298245614035,-0.0542776265933623,-0.0386296623912723,0,-0.047635550364067,0.00608933550110021,-0.08,-0.239319014319014,-0.0847619047619048,-0.136848762269135,-0.222359400018974,0.0800890075656431,0.0778992265437453,0.236461871461872,0.239319014319014,0.239319014319014,-0.14466762314682,0.0838351614213683,-0.144487131248258,0.0572445098760888,0.0503742808684552,0.0565452091767881,0.000506236243580338,0.10050623624358,0.13,0.0766666666666667,0.0612820512820513,0.119655172413793,0.174821915582317,-0.0544372294372294,-0.0673784059078177,-0.0392857142857143,0,-0.0142857142857143,0.180253968253968,0.1,0.0324797595292263,0.04,0.0846608191552387,-0.0117324132905195,0.236729554034137
"RAS",0.0813333333333333,0.113536723163842,0.115415019762846,0.133333333333333,0.15,0.146623634558093,0.144736842105263,0.0918985776128633,0.114123847167325,-0.250666303370796,0.1,0.096078431372549,-0.115781710914454,0.1,0.05,0.0873801256800899,-0.16388679245283,0,-0.0430367872228337,-0.111587561374795,-0.1,-0.163333333333333,-0.08,-0.0641163475699558,-0.0934625322997416,0.0858823529411765,0.0848922539312755,0.0614102564102564,0.163333333333333,0.163333333333333,-0.0507142857142857,0.0728571428571429,-0.0620307692307692,-0.094305381727159,-0.0819976894194666,-0.0794117647058824,-0.112750257997936,-0.110789473684211,-0.12,-0.05,-0.0794117647058824,-0.095,-0.00754646575856856,-0.14,-0.128888888888889,-0.133333333333333,-0.2,-0.1,-0.101731601731602,-0.1,-0.108225108225108,-0.1,-0.147806031933767,0.0592120765832106,-0.0521645214959062
"cateninnuc",0.0860164726379979,0.0897201763417016,-0.00205744034596849,0.0903642987249545,-0.025172630257376,-0.0259337296231265,-0.0286610023503993,-0.0042216867564753,0.235774763483313,0.183926512211698,0.072960372960373,0.0716175823382494,-0.0923704914348354,0.072960372960373,0.0674048174048174,-0.0297323588160982,-0.0815256794487564,0.0575757575757576,-0.0121352119143153,-0.0960532039238672,-0.004,0.155633105633106,-0.004,-0.0379814527637503,-0.00392215511774674,0.00572413793103448,0.00485077548561964,-0.154959704959705,-0.155633105633106,-0.155633105633106,-0.0522789488091979,-0.0841578203217548,-0.0194895450585301,-0.0701653419044724,-0.0702400245034268,-0.0717526434917739,0.0952203711063713,0.0965965178953622,0.0956521739130435,-0.0688507839192771,-0.0731986100062336,0.0940648723257419,0.179598107437295,0.159575757575758,0.158013257575758,0.157575757575758,0.166666666666667,0.166666666666667,-0.0708383197245035,-0.0888888888888889,0.00381240981240981,-0.0788888888888889,-0.0700201207977102,0.0200606502889835,0.215421072247278
"HEY1",0.0166666666666667,0.0241935483870968,0.00572956455309396,0.0166666666666667,0.0109090909090909,0.0181255857544517,0.0109090909090909,-0.00446376811594203,0.112983905387358,0.0940097308319683,0,0.00768668333411953,-0.0225667686715966,0,0.00588235294117647,0.00892460398486801,-0.0130900845186559,0.0333333333333333,0.0159488940054666,-0.00694989106753813,-0.00909090909090909,0.0834615384615385,0.00290909090909091,-0.0173942208462332,0.0207430754353883,0.00375757575757576,0.00131855136733186,-0.0768438914027149,-0.0834615384615385,-0.0834615384615385,-0.0259259259259259,-0.0699715444422039,-0.00827431827431827,-0.00677214060548385,-0.0117888630135106,-0.012859097127223,0.0842394839847842,0.0832085561497326,0.08,-0.00588235294117647,-0.012859097127223,0.0890909090909091,-0.0594389745304379,0.0847619047619048,0.0773544973544974,0.08,0.1,0.1,-0.0632361349342482,0,-0.00133333333333333,-0.0333333333333333,-0.00597792013084367,0.0068937048503612,-0.116001996700795
"cateninmemb",0.0241935483870968,0.0186817373634747,-0.000310703903281876,0.0166666666666667,0.0109090909090909,0.0132928719998049,0.0181255857544517,-0.000347545355651472,0.115251946624472,0.0935882979602043,0.00588235294117647,0.0123533500007862,-0.020984490190584,0.00588235294117647,0.012859097127223,0.0100450521641397,-0.0164608710355099,0,0.016228483940229,-0.0112329450712625,0.00290909090909091,0.0768438914027149,-0.00375757575757576,-0.0173942208462332,0.01941857212413,0.00131855136733186,0.00330770145774777,-0.0810338355367932,-0.0768438914027149,-0.0768438914027149,-0.0259259259259259,-0.0660813842591375,-0.0114400538422885,-0.0117888630135106,-0.00892460398486801,-0.00677214060548385,0.0854159545730195,0.0842394839847842,0.0890909090909091,-0.012859097127223,-0.00768668333411953,0.0832085561497326,0.0582070333634654,0.0773544973544974,0.0812506012506013,0.0847619047619048,0.1,0.08,-0.0632361349342482,-0.0333333333333333,0.00446376811594203,-0.0166666666666667,-0.00757975079445923,0.0102112403953849,0.213972774529491
"ZEB2",-0.266184668989547,-0.262548305353183,-0.256847507331378,-0.256428571428571,-0.256410256410256,-0.255142496847415,-0.252410256410256,-0.238563035498796,-0.20768646813427,-0.197218790950538,-0.177272727272727,-0.176167105066188,-0.172370377178793,-0.17,-0.17,-0.167906868822362,-0.151143317230274,-0.15,-0.101066176090857,-0.0766228763843108,-0.0753246753246753,-0.0745021645021645,-0.0662337662337662,-0.00802345610445945,0.0151882209109028,0.0669140383426098,0.0679722394008108,0.0730032351659761,0.0745021645021645,0.0745021645021645,0.0962869526348835,0.0983092463092463,0.142861633079876,0.166296296296296,0.169465310380803,0.17,0.173811544991511,0.173811544991511,0.175,0.177272727272727,0.17983682983683,0.180263157894737,0.188834372465761,0.191944444444444,0.196617341640706,0.198611111111111,0.2,0.211111111111111,0.22043956043956,0.225,0.23429474281587,0.253571428571429,0.278124423941463,0.282771485355294,0.325887611639909
"ZEB1",-0.276091800356506,-0.275735928470385,-0.256240745437637,-0.266287878787879,-0.18125,-0.184247893372225,-0.179289215686275,-0.23675036792882,-0.17662879304051,-0.19407881474065,-0.0666666666666667,-0.0719879692849268,-0.182829499945473,-0.058974358974359,-0.0662914321450907,-0.0642880972932251,-0.168522026007519,-0.0666666666666667,-0.0220117707588473,-0.0529694626353678,-0.0270114942528736,-0.110600981043327,-0.0255622188905547,-0.00701512850555976,0.0932591727062739,0.0220089193981689,0.02476482490998,0.105089170019705,0.110600981043327,0.110600981043327,-0.00153775392359095,0.0805079437709657,0.141042353387029,0.0620022164588162,0.0673213653949864,0.0682522164588162,0.143501943508681,0.144823529411765,0.15,0.0739837398373984,0.0778298936835522,0.146,0.100997433878315,0.173206787460454,0.180349644603312,0.18140350877193,0.166666666666667,0.186666666666667,0.173567251461988,0.233333333333333,0.236269598698051,0.270833333333333,0.211459717752885,0.283074808749471,0.267236638132769
"SNAI2",-0.112076830732293,-0.116302182844969,-0.00974984930681133,-0.114117647058824,-0.0614035087719298,-0.0635452267031214,-0.0596491228070175,0.00292889714683636,-0.169113981311013,0.205989405427627,-0.110909090909091,-0.113530164946901,0.0185686239833368,-0.110909090909091,-0.110909090909091,-0.114320269605838,0.0100128205128205,-0.12,-0.072070443801008,0.113486609361573,0.00588235294117647,-0.134844004348389,0.00112044817927171,0.0169406335221313,-0.075210547488055,-0.00368455074337427,-0.00306343273095191,0.132104278320992,0.134844004348389,0.134844004348389,0.0275,0.101847051807269,0.0108580837266002,0.112983905387358,0.115251946624472,0.115134443021767,-0.103921568627451,-0.103921568627451,-0.1,0.110909090909091,0.115134443021767,-0.105882352941176,0.14801327660629,-0.136781609195402,-0.133167151364077,-0.133333333333333,-0.1,-0.133333333333333,0.0952670723461798,0.1,-0.000536552649228705,0.12,0.112693898894203,-0.00774973778057478,0.313878847851376
"KLF4",-0.0166666666666667,-0.0241935483870968,-0.00572956455309396,-0.0166666666666667,-0.0109090909090909,-0.0181255857544517,-0.0109090909090909,0.00446376811594203,-0.112983905387358,-0.0940097308319683,0,-0.00768668333411953,0.0225667686715966,0,-0.00588235294117647,-0.00892460398486801,0.0130900845186559,-0.0333333333333333,-0.0159488940054666,0.00694989106753813,0.00909090909090909,-0.0834615384615385,-0.00290909090909091,0.0173942208462332,-0.0207430754353883,-0.00375757575757576,-0.00131855136733186,0.0768438914027149,0.0834615384615385,0.0834615384615385,0.0259259259259259,0.0699715444422039,0.00827431827431827,0.00677214060548385,0.0117888630135106,0.012859097127223,-0.0842394839847842,-0.0832085561497326,-0.08,0.00588235294117647,0.012859097127223,-0.0890909090909091,0.0594389745304379,-0.0847619047619048,-0.0773544973544974,-0.08,-0.1,-0.1,0.0632361349342482,0,0.00133333333333333,0.0333333333333333,0.00597792013084367,-0.0068937048503612,0.116001996700795
"FOXC2",-0.0166666666666667,-0.0241935483870968,-0.00572956455309396,-0.0166666666666667,-0.0109090909090909,-0.0181255857544517,-0.0109090909090909,0.00446376811594203,-0.112983905387358,-0.0940097308319683,0,-0.00768668333411953,0.0225667686715966,0,-0.00588235294117647,-0.00892460398486801,0.0130900845186559,-0.0333333333333333,-0.0159488940054666,0.00694989106753813,0.00909090909090909,-0.0834615384615385,-0.00290909090909091,0.0173942208462332,-0.0207430754353883,-0.00375757575757576,-0.00131855136733186,0.0768438914027149,0.0834615384615385,0.0834615384615385,0.0259259259259259,0.0699715444422039,0.00827431827431827,0.00677214060548385,0.0117888630135106,0.012859097127223,-0.0842394839847842,-0.0832085561497326,-0.08,0.00588235294117647,0.012859097127223,-0.0890909090909091,0.0594389745304379,-0.0847619047619048,-0.0773544973544974,-0.08,-0.1,-0.1,0.0632361349342482,0,0.00133333333333333,0.0333333333333333,0.00597792013084367,-0.0068937048503612,0.116001996700795
"Ecadherin",-0.0241935483870968,-0.0186817373634747,0.000310703903281876,-0.0166666666666667,-0.0109090909090909,-0.0132928719998049,-0.0181255857544517,0.000347545355651472,-0.115251946624472,-0.0935882979602043,-0.00588235294117647,-0.0123533500007862,0.020984490190584,-0.00588235294117647,-0.012859097127223,-0.0100450521641397,0.0164608710355099,0,-0.016228483940229,0.0112329450712625,-0.00290909090909091,-0.0768438914027149,0.00375757575757576,0.0173942208462332,-0.01941857212413,-0.00131855136733186,-0.00330770145774777,0.0810338355367932,0.0768438914027149,0.0768438914027149,0.0259259259259259,0.0660813842591375,0.0114400538422885,0.0117888630135106,0.00892460398486801,0.00677214060548385,-0.0854159545730195,-0.0842394839847842,-0.0890909090909091,0.012859097127223,0.00768668333411953,-0.0832085561497326,0.0605928206842841,-0.0773544973544974,-0.0812506012506013,-0.0847619047619048,-0.1,-0.08,0.0632361349342482,0.0333333333333333,-0.00446376811594203,0.0166666666666667,0.00757975079445923,-0.0102112403953849,0.0160993676842417
"CD44",-0.14,-0.0945454545454545,-0.0964912280701754,-0.1,0,-0.00902255639097744,-0.0142857142857143,-0.107256235827664,-0.09,0.215744255744256,0,-0.07,0.0260499734183945,-0.1,-0.2,-0.0739355992844365,0.146296296296296,-0.1,-0.100873076503329,0.0188278388278388,0,-0.104761904761905,0.06,0.0492063492063492,-0.123214285714286,-0.0475,-0.0475,0.119047619047619,0.104761904761905,0.104761904761905,0.163492063492064,-0.04625,0.0706851119894598,0.07,0.0816279069767442,0.15,-0.01,-0.02,0,0.1,0.05,0,0.106593406593407,0,0.00666666666666667,0,0,0.1,0.202380952380952,0.1,0.0888888888888889,0.1,0.112540792540793,-0.0301587301587302,0.17134024535881
"cMet",-0.0945454545454545,-0.113295454545455,-0.110216718266254,-0.14,-0.0142857142857143,-0.00689489681650936,-0.00902255639097744,-0.0945289631003917,-0.101111111111111,0.216474182751555,-0.1,-0.0836363636363636,0.0226601429099199,-0.2,-0.15,-0.0795853167985608,0.15,-0.1,-0.0961433467735989,0.0266930073671647,0.06,-0.119047619047619,0.0475,0.0582972582972583,-0.123214285714286,-0.0475,-0.0517553191489362,0.122821203953279,0.119047619047619,0.119047619047619,0.149206349206349,-0.0475158227848101,0.0659976119894598,0.0816279069767442,0.0739355992844365,0.07,-0.00454545454545455,-0.01,0,0.05,0.07,-0.02,0.116201947518673,0.00666666666666667,-0.00583333333333333,0,0.1,0,0.195714285714286,0.1,0.107256235827664,0.1,0.12775818384514,-0.0291486291486291,0.162434392941507
"miR200",-0.264567510548523,-0.274350119244175,-0.258361581920904,-0.265833333333333,-0.216748768472906,-0.210475633853775,-0.213300492610837,-0.235450448804126,-0.224243486742257,-0.23427989214039,-0.16,-0.179522055409379,-0.182949827949828,-0.16,-0.164347826086957,-0.16893198294046,-0.159086822538238,-0.1,-0.0809437197011669,-0.011377293463183,-0.0291666666666667,-0.134358974358974,-0.0428921568627451,0.0933870967741935,0.0678633066081794,0.0380534471853257,0.0363092611388141,0.136104610269199,0.134358974358974,0.134358974358974,0.0900793650793651,0.0847209700868237,0.142045888820296,0.169696773705251,0.16453804354652,0.168573178199633,0.158027210884354,0.161428571428571,0.171428571428571,0.172,0.176225352112676,0.161428571428571,0.198607288851825,0.187218045112782,0.179670875301461,0.195789473684211,0.2,0.18,0.191534493874919,0.22,0.240152643161493,0.2325,0.250003164708703,0.380801971326165,0.391416539081541
"Destcompl",-0.105488257598317,-0.109163305954216,-0.0650445281214512,-0.111187739463602,-0.0290716803760282,-0.0301281411236103,-0.0323325499412456,-0.0580200501253133,-0.119998427602857,-0.0838133134365622,-0.00873015873015873,-0.0137481416578896,0.0260475417619825,-0.00873015873015873,-0.0101000217438574,-0.0122963270016386,0.0286963525368081,0.00555555555555556,-0.0714539610429094,0.0206393273650753,0.0789795918367347,0.0422252951450529,0.0755313159746657,0.12485033698956,0.0312151032968004,-0.0771102633430868,-0.0774058298455498,-0.0411263940461518,-0.0422252951450529,-0.0422252951450529,0.125157011784176,-0.0437180296195345,0.110850301565162,0.0134582306990812,0.0103075457675744,0.00860748443042452,-0.0250378866481792,-0.0258817685047193,-0.0333333333333333,0.0101000217438574,0.00910992273395637,-0.0242424242424242,-0.0570497798939535,0.0465334900117509,0.0438489262533616,0.0420289855072464,0.0333333333333333,0.0333333333333333,0.00263212333498126,0.122222222222222,0.0604761904761905,0.0911877394636015,0.0294628534612281,-0.00854011570709073,-0.117881155320961
