"","FOXC2","PAK1","TGF","TGFR","SMO","TrCP","FUS","SOSGRB2","TWIST1","Csn","IKK","SNAI2","AKT","NFB","RAF","DELTA","cateninmemb","DSH","KLF4","EGR1","cfos","ERK","GSK3","ZEB2","MEK","AXIN2","SRC","Destcompl","cMet","cateninnuc","TCFLEF","CD44","STAT","LIV1","Frizzled","Wnt","GLI","PI3K","RAS","Ecadherin","HEY1","miR200","ILK","RKIP","SNAI1","SMAD","Jagged","SHH","Patched","SUFU","Csl","NOTCH","NOTCHic","ZEB1","CDC42"
"Csn",0.412543554663323,0.384090909090909,0.376454316946071,0.380034269213374,0.132178932178932,0.06,0.0746031746031746,0.177352703793382,0.271939379772479,-0.09,-0.115,0.235225243884261,-0.119,-0.0983333333333333,0.365324866574753,0.365324866574753,-0.0522487183561164,0.15,0.184500466853408,-0.01,-0.0281818181818182,-0.0554545454545455,0.316485881747491,-0.178752688172043,0.0523295454545455,-0.102046447119924,-0.139655172413793,0.249087609588894,-0.143269630245118,-0.143580960401903,-0.14291950520046,-0.145491852467341,-0.15,-0.0666666666666667,-0.139655172413793,-0.143269630245118,-0.147199761249485,-0.365324866574753,-0.367820068110262,-0.00980670184490864,-0.0764922480620155,0.0027253075241957,-0.08909549689441,-0.235878179852108,-0.266078389978841,-0.0867818722157467,-0.109310634098199,-0.120659453948719,-0.118200437555276,-0.0857142857142857,-0.218686868686869,-0.242787767787768,-0.248556998556999,-0.132600496277916,-0.382598371777476
"DELTA",0.315714285714286,0.2,0.315111111111111,0.311111111111111,0.0666666666666667,0,0.1,0.26,0.154,0,0.0666666666666667,0.116515837104072,0.0555555555555556,0.1,0.0666666666666667,0.0666666666666667,-0.0230473751600512,0,0.161111111111111,0.1,0,0.02,0.078544061302682,-0.148067632850242,-0.02,0.04,0.1,0.0612509652509653,0,0.00962370962370962,0.0107226107226107,0.00769230769230769,0,0,0.1,0,0.00769230769230769,-0.0666666666666667,-0.0575757575757576,-0.0279298245614035,0.0166666666666667,0.00121212121212121,-0.0833333333333333,-0.174358974358974,-0.166666666666667,-0.0690476190476191,-0.0815584415584416,-0.0858974358974359,-0.0166666666666667,0,-0.2,-0.154285714285714,-0.14,-0.147101449275362,-0.3
"IKK",0.35015873015873,0.3,0.311911111111111,0.311111111111111,-0.02,0,0,0.214285714285714,0.311339869281046,-0.1,-0.202380952380952,0.396987644372818,-0.205083655083655,-0.0857142857142857,0.222323049001815,0.222323049001815,0.03960607362842,0.1,0.145054945054945,0,-0.0714285714285714,-0.0674285714285714,0.203479853479853,-0.145619047619048,0.0696507936507937,-0.0833333333333333,-0.0666666666666667,0.129070523038859,-0.105128205128205,-0.102466951628076,-0.104154715341156,-0.103589743589744,-0.1,-0.1,-0.0666666666666667,-0.105128205128205,-0.103589743589744,-0.222323049001815,-0.218097696889139,-0.0457206375368999,0.0373581011351909,0.00311036789297659,0.0319444444444444,-0.10391621129326,-0.111372632174159,0.0329345434543454,-0.0379412683536395,0.0143805874840358,0.0385185185185185,0.1,-0.163636363636364,-0.150937950937951,-0.13982683982684,-0.0804260651629073,-0.311111111111111
"NFB",0.345776260039208,0.311111111111111,0.308746554149086,0.311911111111111,-0.0385185185185185,-0.1,-0.02,0.204812030075188,0.307847805788982,-0.0857142857142857,-0.205083655083655,0.39861366063298,-0.218416988416988,-0.202380952380952,0.218097696889139,0.218097696889139,0.0388668972820631,0.0666666666666667,0.143131868131868,-0.0714285714285714,-0.0674285714285714,-0.0696507936507937,0.203872010342599,-0.143703338806787,0.0807619047619048,-0.0882978723404255,-0.105128205128205,0.128073845297995,-0.103589743589744,-0.101917932020233,-0.102466951628076,-0.104154715341156,-0.0666666666666667,-0.1,-0.105128205128205,-0.103589743589744,-0.103589743589744,-0.218097696889139,-0.215112622262273,-0.0474862876171567,0.0445009582780481,-0.00323404298315634,0.0329345434543454,-0.0962239036009528,-0.11055071436594,0.0303323129710741,-0.0379412683536395,0.0155854067611442,0.0143805874840358,0,-0.13982683982684,-0.16319601545408,-0.150937950937951,-0.072380088151413,-0.311111111111111
"TrCP",0.302594794015167,0.30952380952381,0.301033408892618,0.302126305067482,0.074347158218126,0.0666666666666667,0.0904761904761905,0.224628712871287,0.161103519668737,0.0416666666666667,0.0166666666666667,0.166416249985501,0.0166666666666667,0.0166666666666667,0.0835272862532547,0.0835272862532547,-0.0261495317944755,-0.02,0.130744210252407,0,-0.0478260869565217,-0.0427413411938099,0.0767656926406926,-0.133478657508383,0.0427413411938099,0.0352002974254113,0.0237037037037037,0.0453926829521938,0.021001001001001,0.0223972302791012,0.0208799888997909,0.021991100010902,0.02,0,0.0237037037037037,0.0184405458089669,0.0199039604431132,-0.0835272862532547,-0.0803454680714365,-0.0159928321043017,-0.0571824381926684,-0.00596467167085262,-0.0621181088923025,-0.140472768483818,-0.146505491326494,-0.0659890766342379,-0.0709372869802318,-0.0706434545144223,-0.0706434545144223,-0.0238095238095238,-0.105128205128205,-0.0932600732600733,-0.0943589743589744,-0.130359307055974,-0.303641456582633
"CDC42",0.302594794015167,0.214285714285714,0.302126305067482,0.303641456582633,0.0904761904761905,0.1,0.0238095238095238,0.2375,0.162190476190476,0.0666666666666667,0.0166666666666667,0.164788763547888,0.0166666666666667,0.0416666666666667,0.0786492374727669,0.0786492374727669,-0.0237685794135232,0,0.137301587301587,0.02,0,-0.0478260869565217,0.077129329004329,-0.131870940466582,0.0427413411938099,0.0358292282430214,0.02,0.0464453145311411,0.0237037037037037,0.0208799888997909,0.021991100010902,0.021001001001001,0,0.1,0.02,0.0237037037037037,0.0184405458089669,-0.0786492374727669,-0.0835272862532547,-0.0166156694745439,-0.0615942028985507,-0.00647228588405059,-0.0653439153439154,-0.146550116550117,-0.150562770562771,-0.0621181088923025,-0.0727777777777778,-0.0706434545144223,-0.074347158218126,-0.0666666666666667,-0.0666666666666667,-0.0943589743589744,-0.105128205128205,-0.131967024097775,-0.30952380952381
"SNAI2",-0.00887485457469386,0.0509803921568627,0.0541656127333877,0.0535444947209653,-0.0505882352941176,0.1,-0.08,0.121399594320487,-0.040020338738227,0.0666666666666667,0.0520114942528736,0.221788477223709,0.0483970364215483,0.0416666666666667,-0.0316833955738804,-0.0316833955738804,-0.122428914657952,-0.0709090909090909,0.134615384615385,0.1,0.0941176470588235,0.0882352941176471,0.14023726060298,-0.128845395426893,-0.0882352941176471,0.0592046741447922,0.0709090909090909,0.137774199083439,0.0695006402048656,0.0642821369333411,0.0635057394178131,0.0641242961188441,0.0709090909090909,0.08,0.0709090909090909,0.0695006402048656,0.0646878059802666,0.0316833955738804,0.0284870485419169,0.205074487289191,-0.0625678119349005,0.058817892008811,-0.0548625083836351,-0.125025641025641,-0.118134002147207,-0.0591687284793289,0.0571988597349092,0.055445953029099,0.0526290516206483,0.1,0.0925438596491228,0.0824732285258601,0.0837719298245614,-0.0994161946717013,-0.0509803921568627
"TCFLEF",-0.0105073559915954,0.11025641025641,0.104339542198646,0.10467066802646,-0.117619047619048,0.142857142857143,-0.136666666666667,0.246610778443114,-0.0792943044745632,0.133766233766234,0.110540427314621,-0.283891948179529,0.109453470792882,0.113766233766234,-0.121449226173053,-0.121449226173053,-0.036260633381044,-0.182352941176471,0.107230392156863,0.0957142857142857,0.0835191637630662,0.0730429732868757,-0.0592950352889164,-0.104545941874889,-0.0750837896134064,0.0647018315018315,0.175,-0.097368005343473,0.180982905982906,0.0791831048201404,0.0792690154730614,0.178467182712466,0.175,0.2,0.182352941176471,0.188335847159377,0.185230257097265,0.121449226173053,0.119740947592238,0.0108483397977811,-0.0207859929584166,-0.0171526799840053,0.0224014581909319,-0.0993906415025026,-0.00335748398509905,0.0202982077129204,0.113970082444296,0.125752829530783,0.120844854070661,0.116666666666667,0.221441096763909,0.213995327758632,0.209676390881556,-0.0433219475456317,-0.105605247465713
"miR200",0.00291340096218145,0.0125,0.00905759528117324,0.00731340923466161,-0.0075,0,-0.0075,0.00196324951644101,-0.0642285526334606,0.02,0.00706766917293233,-0.0760099422766091,0.0127280465314229,0.00421052631578948,-0.0490202831993877,-0.0490202831993877,-0.0148716809105758,0,0.100396825396825,0.0142857142857143,0.00428571428571428,0.00428571428571428,-0.000285970326987554,-0.103826164874552,-0.00360544217687075,0.0185707198742123,0.00434782608695652,0.0638812425363879,0.00575627679118187,0.00425750091038352,0.00304537969826231,0.0046326812855639,0,0,0.004,0.00540845070422535,0.00430954960532425,0.0490202831993877,0.0487709066407842,-0.0043261011261268,-0.000141242937853107,0.00393847194050034,0.000557194362504097,-0.0087817703768624,-0.0106166056166056,0.000243714738679646,-0.0110022536561976,0.00913731425426527,0.00370253164556962,0.02,-0.00463054187192118,-0.00174723776126464,-0.00118226600985221,0.097244623655914,-0.0105392156862745
"RAS",0.191111111111111,0.1,0.156971461852068,0.165882352941176,-0.0166666666666667,0,0,0.111255411255411,0.179181669394435,-0.1,-0.113333333333333,-0.0593716111565461,-0.124444444444444,-0.0666666666666667,0.348205128205128,0.348205128205128,-0.0317803439010145,0.1,0.112142857142857,0.04,0.015,0.0202631578947368,0.382583979328165,-0.0925552282768778,-0.0104592363261094,-0.140421607378129,-0.15,0.264755891500078,-0.202941176470588,-0.200402172469346,-0.195019736208722,-0.196558197747184,-0.1,0,-0.15,-0.202941176470588,-0.194607843137255,-0.348205128205128,-0.43474358974359,-0.0439965674455992,-0.100197628458498,0.0632307692307692,-0.00606060606060606,-0.204232704402516,-0.140884955752212,0.00618429189857761,-0.0289927064853144,-0.0297062146892655,0.0126666666666667,0.1,-0.1,-0.136544190665343,-0.115789473684211,-0.106259204712813,-0.16
"HEY1",0.0126588021778584,0.0590909090909091,0.0506031042128603,0.0510909090909091,0.0666666666666667,0.1,0.0333333333333333,0.0860062893081761,0.0471111111111111,0,0.00380952380952381,-0.0760208460036875,-0.0073015873015873,-0.02,0.0178205128205128,0.0178205128205128,-0.024417402832037,0.0333333333333333,0.0962962962962963,0.08,0.0709090909090909,0.0650267379679144,0.0921596684336447,-0.0899432404540764,-0.0681195214730691,0.0106007894876591,-0.0274509803921569,0.0897545764177381,-0.0297765617875057,-0.0336425826040923,-0.0352615116202816,-0.0376026487440274,-0.0333333333333333,-0.0333333333333333,-0.0274509803921569,-0.0297765617875057,-0.0366731135116436,-0.0178205128205128,-0.0214969834087481,0.00614353778553263,-0.0292895339954163,0.0334228734228734,-0.0253333333333333,-0.0605236033807462,-0.0534621682651683,-0.0354782608695652,-0.042510562900368,-0.0446908602150538,-0.0479166666666667,0,0.0309090909090909,0.0287387165195087,0.0256459330143541,-0.0569246646026832,-0.0470909090909091
"Ecadherin",0.0119723033220232,0.0470909090909091,0.0486139541224444,0.0506031042128603,0.0479166666666667,0,0.0666666666666667,0.0860062893081761,0.0450626939788951,-0.02,-0.0073015873015873,-0.0760810506996537,-0.0111976911976912,0.00380952380952381,0.0214969834087481,0.0214969834087481,-0.0230071464217806,0.0274509803921569,0.0975621190811064,0.0709090909090909,0.0650267379679144,0.0681195214730691,0.0910559156742628,-0.0852039039611854,-0.0653744234338534,0.0132812018587931,-0.0297765617875057,0.0904069529321836,-0.0376026487440274,-0.0342961773753341,-0.0336425826040923,-0.0352615116202816,-0.0274509803921569,-0.0333333333333333,-0.0297765617875057,-0.0366731135116436,-0.0346731135116436,-0.0214969834087481,-0.0192623465372397,-0.0927853813965511,-0.0380143662101814,0.0354712905550894,-0.0354782608695652,-0.0586509442047163,-0.0540950796575733,-0.0318462996104853,-0.0441123935639835,-0.0533522775378884,-0.0446908602150538,-0.0333333333333333,0.0256459330143541,0.0261364860362373,0.0287387165195087,-0.0602422001477069,-0.0510909090909091
"GLI",0.177070755933953,0.305,0.287031051067141,0.287736933420082,-0.12640977443609,-0.0166666666666667,-0.105357142857143,0.170616787342451,0.081313025778221,-0.0277777777777778,-0.0520527509249314,0.149122926103813,-0.0442402509249314,-0.054093567251462,0.120794093710034,0.120794093710034,-0.0266291092207096,-0.16,0.0741098241098241,-0.134285714285714,-0.175952380952381,-0.166861471861472,-0.0621219242007514,-0.0781746031746032,0.166308985673627,0.0433182367149758,0.0296774193548387,0.0288422269796983,0.0296774193548387,0.0355236363322056,0.0335511318492409,0.0348498331479422,0.02,0,0.169677419354839,0.168500948766603,0.0740328636602205,-0.120794093710034,-0.114655479848648,-0.0054089338699842,0.0283488535610777,-0.0021534605745132,0.0280748566881195,-0.0418293160001204,-0.0419730841110388,0.0269937756070384,0.0102737815023107,0.129290432872304,0.12640977443609,0.142857142857143,-0.0520601237842617,-0.0301553618794998,-0.0320601237842617,-0.0873118279569892,-0.294655172413793
"RKIP",0.0336280577659888,0.0333333333333333,0.0485180240320427,0.0457142857142857,0.1,0.2,0.1,-0.0278095238095238,0.0198722519310755,0.2,0.239285714285714,0.261208836043597,0.218073593073593,0.214285714285714,-0.206168831168831,-0.206168831168831,-0.0647003305826835,-0.1,0.037637494021999,-0.03,-0.03,-0.026551724137931,-0.13806146572104,-0.039637494021999,0.0201687454145268,0.0821261134552274,0.1,-0.187538011720368,0.115789473684211,0.109812499004946,0.111593669488406,0.108097165991903,0.1,0,0.1,0.11,0.102307692307692,0.206168831168831,0.196767121767122,0.0982013003238484,-0.0943863724351529,-0.0152873687669651,-0.0962451861360719,0.128851540616247,-0.030268848041224,-0.111096671284587,-0.0714588891583798,-0.0750819672131147,-0.08,-0.1,0.0333333333333333,0.0448717948717949,0.0333333333333333,-0.0178421807747489,-0.0266666666666667
"RAF",0.0336280577659888,0.0333333333333333,0.0485180240320427,0.0457142857142857,0.1,0.2,0.1,-0.0278095238095238,0.0198722519310755,0.2,0.239285714285714,0.261208836043597,0.218073593073593,0.214285714285714,-0.206168831168831,-0.206168831168831,-0.0647003305826835,-0.1,0.037637494021999,-0.03,-0.03,-0.026551724137931,-0.13806146572104,-0.039637494021999,0.0201687454145268,0.0821261134552274,0.1,-0.187538011720368,0.115789473684211,0.109812499004946,0.111593669488406,0.108097165991903,0.1,0,0.1,0.11,0.102307692307692,0.206168831168831,0.196767121767122,0.0982013003238484,-0.0943863724351529,-0.0152873687669651,-0.0962451861360719,0.128851540616247,-0.030268848041224,-0.111096671284587,-0.0714588891583798,-0.0750819672131147,-0.08,-0.1,0.0333333333333333,0.0448717948717949,0.0333333333333333,-0.0178421807747489,-0.0266666666666667
"MEK",0.0354298595677906,0.0266666666666667,0.0485180240320427,0.0485180240320427,0.08,0.2,0.1,-0.0144761904761905,0.0202385522973758,0.214285714285714,0.218073593073593,0.26145214504603,0.214544181308887,0.239285714285714,-0.196767121767122,-0.196767121767122,-0.0620174037534152,-0.1,0.04155906264945,-0.03,-0.026551724137931,-0.0201687454145268,-0.13781576547534,-0.0340819384664435,-0.0748312545854732,0.0884324197615337,0.115789473684211,-0.185445961511163,0.108097165991903,0.106466774097883,0.109812499004946,0.111593669488406,0.1,0.1,0.11,0.102307692307692,0.105804195804196,0.196767121767122,0.195814740814741,0.0989298977737573,-0.110750008798789,-0.0106434059186679,-0.111096671284587,0.124904172195194,-0.0360380788104547,-0.104085601173886,-0.0755572498141175,-0.0875002678667095,-0.0750819672131147,-0.1,0.0333333333333333,0.0412221598352985,0.0448717948717949,-0.0273659902985585,-0.0457142857142857
"ZEB1",-0.249388189655086,-0.221455938697318,-0.221467553058809,-0.219499049121801,-0.171590909090909,-0.133333333333333,-0.1625,-0.154736842105263,-0.191246296137787,-0.133333333333333,-0.112625826862238,-0.163382640479646,-0.11548296971938,-0.117543859649123,-0.0930701718003884,-0.0930701718003884,-0.0334729163825179,-0.0142857142857143,0.00822004152230656,-0.0666666666666667,-0.0626666666666667,-0.0544313725490196,-0.0162979772529736,-0.00291682051669705,0.0539908439146584,0.0202380952380952,0.00525328330206379,0.0934778101333397,0.00525328330206379,0.00614900300061065,0.00605115564248932,0.00525328330206379,0.00769230769230769,0,0.0118466898954704,0.0118466898954704,0.0128776177305219,0.0930701718003884,0.0938575733751915,0.131334301308815,0.156978090993635,0.162887340026216,0.173344182907951,0.139286258551249,0.128494861500356,0.17382495213872,0.156370098045088,0.171060590201788,0.173551693404635,0.175,0.170833333333333,0.177542132555502,0.17671568627451,0.22783152379854,0.220006663334999
"SOSGRB2",-0.0257387057387057,-0.0142857142857143,-0.00973034058140441,-0.0104395604395604,0.183333333333333,0.1,0.2,-0.156388888888889,-0.0735652173913044,0.2,0.249122807017544,0.250694625180834,0.249122807017544,0.233333333333333,-0.246139359698682,-0.246139359698682,-0.0587086697086697,-0.1,0.00175438596491228,-0.152380952380952,-0.119047619047619,-0.110939510939511,-0.307570276069575,-0.00175438596491228,0.107909207909208,0.106648789878988,0.114285714285714,-0.237302816497447,0.136024844720497,0.142603011810847,0.144323853111038,0.143271221532091,0.1,0,0.114285714285714,0.130952380952381,0.138198757763975,0.246139359698682,0.246139359698682,0.114673214227371,-0.0909090909090909,-0.000287595549837281,-0.193333333333333,0.113340643274854,-0.00726936744847193,-0.192634032634033,-0.152093305995882,-0.170574062434528,-0.175225225225225,-0.2,-0.0545454545454545,-0.026484782822811,-0.0391608391608392,-0.000325814536340852,0.0142857142857143
"ZEB2",-0.273917637917638,-0.251948051948052,-0.247845804988662,-0.246258503401361,-0.205714285714286,-0.2,-0.185714285714286,-0.182106227106227,-0.17462227997025,-0.166666666666667,-0.160833333333333,-0.156419924751418,-0.154291277258567,-0.154166666666667,-0.117294372294372,-0.117294372294372,-0.110012691227262,-0.109090909090909,-0.102939948761564,-0.0666666666666667,-0.0614035087719298,-0.0485002829654782,-0.023323102149179,0.00699264626488918,0.0509393073557221,0.0850224391200922,0.0933333333333333,0.0956001992069368,0.0959649122807018,0.0976483123443835,0.0979080526041238,0.0996686159844055,0.1,0.1,0.102424242424242,0.104988344988345,0.109575500951648,0.117294372294372,0.120078098204437,0.150170843687828,0.157197157681029,0.159101640402915,0.174950472063148,0.176811594202899,0.180160154232803,0.181048033038758,0.185750157534375,0.194140006335128,0.19595818815331,0.2,0.2,0.207693989071038,0.209333333333333,0.230589546951705,0.242857142857143
