"","ZEB2","ZEB1","NOTCH","Csl","Jagged","miR200","KLF4","TWIST1","Frizzled","GLI","SMAD","SRC","RKIP","cMet","CD44","TCFLEF","cateninnuc","Destcompl","FUS","cateninmemb","SMO","Patched","SUFU","SNAI2","SNAI1","EGR1","MEK","PAK1","TGFR","TGF","CDC42","GSK3","cfos","ERK","Ecadherin","Csn","AKT","IKK","NFB","SHH","TrCP","STAT","LIV1","ILK","RAF","PI3K","DELTA","RAS","Wnt","DSH","HEY1","SOSGRB2","AXIN2","NOTCHic","FOXC2"
"Jagged",-0.175845410628019,-0.175845410628019,0.174285714285714,0.1,0.102424242424242,-0.0842424242424242,-0.188888888888889,0.036,0.1,0.213846153846154,0.00476190476190476,0.1,-0.0769230769230769,0.16,0.213846153846154,0.265361305361305,0.299427239427239,0.263969111969112,0,0.285032010243278,0.0333333333333333,-0.0166666666666667,0,0.0595274007038713,-0.0166666666666667,-0.1,-0.02,0,-0.0111111111111111,-0.0151111111111111,0,0.193486590038314,0,0.02,-0.239859649122807,0,0,-0.0333333333333333,0,0.0397435897435897,0,0,0,0,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0424242424242424,-0.16,0,-0.1,0.04,-0.231428571428571,-0.16,0.127142857142857
"cfos",-0.160363580460433,-0.160363580460433,0.0853846153846154,0.05,0.111284722222222,-0.0757830404889228,-0.176126984126984,0.0509177489177489,0.19,0.257056530214425,0.00267110428400751,0.19,-0.0555244755244755,0.230740740740741,0.257767767767768,0.278559846975689,0.293745032160874,0.277824211288942,-0.00952380952380952,0.277837547944471,-0.0261904761904762,-0.0358678955453149,0.0333333333333333,0.0710146301387177,-0.00386980108499096,-0.12,-0.00265291083271923,-0.0142857142857143,-0.019327731092437,-0.0238731856378915,-0.00952380952380952,0.221350108225108,0,0.00434782608695652,-0.222568528165612,-0.0333333333333333,-0.00833333333333333,-0.00833333333333333,-0.00833333333333333,0.0519172782613643,0,-0.15,-0.1,-0.00105820105820106,-0.0169934640522876,-0.0169934640522876,-0.0169934640522876,-0.0157739518571656,-0.230740740740741,-0.15,-0.00434782608695652,0.0263888888888889,-0.282282430213465,-0.0653846153846154,0.101354102616656
"CDC42",-0.160363580460433,-0.160363580460433,0.0853846153846154,0.05,0.111284722222222,-0.0757830404889228,-0.176126984126984,0.0509177489177489,0.19,0.257056530214425,0.00267110428400751,0.19,-0.0555244755244755,0.230740740740741,0.257767767767768,0.278559846975689,0.293745032160874,0.277824211288942,-0.00952380952380952,0.277837547944471,-0.0261904761904762,-0.0358678955453149,0.0333333333333333,0.0710146301387177,-0.00386980108499096,-0.02,-0.00265291083271923,0.0857142857142857,-0.019327731092437,-0.0238731856378915,-0.00952380952380952,0.221350108225108,0,0.00434782608695652,-0.222568528165612,-0.0333333333333333,-0.00833333333333333,-0.00833333333333333,-0.00833333333333333,0.0519172782613643,0,-0.15,-0.1,-0.00105820105820106,-0.0169934640522876,-0.0169934640522876,-0.0169934640522876,-0.0157739518571656,-0.230740740740741,-0.15,-0.00434782608695652,0.0263888888888889,-0.282282430213465,-0.0653846153846154,0.101354102616656
"NOTCH",-0.157326892109501,-0.157326892109501,0.0968663594470046,0.16,0.135757575757576,-0.0728138528138528,-0.175845410628019,0.0783728813559322,0.16,0.265361305361305,0.00142857142857143,0.16,-0.0527851458885942,0.213846153846154,0.265361305361305,0.299427239427239,0.32677417820275,0.292006495146682,0.0333333333333333,0.30963934008621,-0.0166666666666667,-0.0397435897435897,0,0.0748713160477866,0.0125641025641026,0,-0.02,0,-0.0151111111111111,-0.0247885304659498,-0.0111111111111111,0.232122953674678,0.02,0.02,-0.247117713638936,0,0,0,-0.0333333333333333,0.0573906485671192,0,-0.1,0,-0.00476190476190476,-0.0424242424242424,-0.0424242424242424,-0.0424242424242424,-0.0525691699604743,-0.213846153846154,-0.1,-0.104347826086957,0.0242105263157895,-0.286145552560647,-0.174285714285714,0.0924489795918367
"RAS",-0.150301914580265,-0.150301914580265,0.0920556107249255,0.1,0.022093435836783,-0.119692307692308,-0.130714285714286,-0.207735951991271,-0.15,-0.196813725490196,0.0893630179344465,-0.15,-0.0899685534591195,-0.167647058823529,-0.199561952440551,-0.211869644748243,-0.22405094786439,-0.471400378377123,0.1,-0.0709221769163864,0.116666666666667,0.104666666666667,0.1,-0.109592416763761,-0.201710914454277,-0.02,-0.0732507739938081,0.06,0.1,0.110891089108911,0.1,-0.53625322997416,0.02,0.0673684210526316,-0.00388497252216653,0,0.0566666666666667,0.04,0.0333333333333333,-0.109751412429379,-0.1,0.1,0,-0.0852813852813853,-0.264358974358974,-0.264358974358974,-0.264358974358974,-0.360512820512821,0.167647058823529,0.1,-0.000592885375494072,-0.0264069264069264,0.217707509881423,-0.105263157894737,0.215079365079365
"PAK1",-0.147180300717667,-0.147180300717667,0.0985714285714286,0.0653846153846154,0.12478165473756,-0.0681688272909533,-0.164651574290919,0.0710264445699228,0.230740740740741,0.278032139970523,0.000735620413039768,0.230740740740741,-0.0395023760769617,0.257767767767768,0.278559846975689,0.293745032160874,0.30505537698846,0.29030541429646,-0.0261904761904762,0.28736135746828,-0.0358678955453149,-0.0519172782613643,-0.00952380952380952,0.0775245758891698,0.0102113444997346,0,-0.0013195774993859,-0.00952380952380952,-0.0238731856378915,-0.0293376665122085,-0.019327731092437,0.236986471861472,0.00434782608695652,0.00265291083271923,-0.225682715016823,-0.00833333333333333,-0.000925925925925924,-0.00833333333333333,-0.00833333333333333,0.0609172782613643,-0.0333333333333333,-0.19,-0.15,-0.00267110428400751,-0.0157739518571656,-0.0157739518571656,-0.0157739518571656,-0.0166830427662565,-0.257056530214425,-0.19,-0.00581841432225064,0.011537403740374,-0.307439662917867,-0.0853846153846154,0.0806644474442426
"CD44",-0.133333333333333,-0.133333333333333,-0.159398496240602,-0.2,-0.0324475524475525,-0.0976723759332455,-0.247619047619048,-0.0301098901098901,0.1,0.233333333333333,-0.0938775510204082,0.2,-0.194074074074074,0.3,0.233333333333333,0.272868217054264,0.297483601669648,0.287465895449089,-0.1,0.287838827838828,-0.1,-0.1,-0.1,0.0688200688200688,-0.0777246145667198,-0.2,-0.175,0.0666666666666667,0.0741666666666667,0.0630555555555556,0.0866666666666667,0.238690476190476,0.175,0.175,-0.24611117142547,0.1,-0.00666666666666667,0,0,0.127272727272727,0,-0.1,-0.1,0.1,0.1,0.1,0.1,0.102857142857143,-0.2,0,0.104678362573099,0.019047619047619,-0.25,0.185714285714286,0.115416666666667
"cMet",-0.12020202020202,-0.12020202020202,-0.153015517517197,-0.185714285714286,-0.0107084220127698,-0.0914223759332455,-0.233333333333333,-0.00426719348067663,0.2,0.26969696969697,-0.09569573283859,0.3,-0.179259259259259,0.233333333333333,0.272868217054264,0.297483601669648,0.314997725963433,0.309763192746386,-0.1,0.301717831397547,-0.1,-0.127272727272727,-0.1,0.0783091199149593,-0.0590805467701097,-0.175,-0.165909090909091,0.0866666666666667,0.0630555555555556,0.0609278959810875,0.0741666666666667,0.264496927803379,0.175,0.175,-0.251963588728269,0,-0.000416666666666667,-0.00666666666666667,0,0.130397727272727,0.1,-0.2,-0.1,0.0938775510204082,0.102857142857143,0.102857142857143,0.102857142857143,0.0971967654986523,-0.233333333333333,-0.1,0.102717578259374,-0.000952380952380955,-0.292857142857143,0.159398496240602,0.0913660337552743
"Csl",-0.119094847910606,-0.119094847910606,0.139545785284325,0.0968663594470046,0.172150373770821,-0.0515915424381932,-0.144416839199448,0.135601326633272,0.265361305361305,0.326113993533348,-0.000957519698526893,0.265361305361305,-0.00436559633319726,0.299427239427239,0.32677417820275,0.345858147668399,0.360437907531177,0.329789554256981,-0.0397435897435897,0.339266040497472,-0.0573906485671192,-0.0778207560940009,-0.0166666666666667,0.0957739714704889,0.0548231317796535,-0.02,-0.0149689440993789,-0.0151111111111111,-0.0317948998927014,-0.0383708636115223,-0.0247885304659498,0.277624968061416,0.02,0.0171428571428571,-0.256388521003871,0,0.00930232558139535,0.00232558139534884,0,0.0916138595422767,-0.0333333333333333,-0.213846153846154,-0.16,-0.000709146968139774,-0.051091337448159,-0.051091337448159,-0.051091337448159,-0.0521942786246296,-0.298694638694639,-0.213846153846154,-0.10653988239666,-0.0126704788578986,-0.360460034137339,-0.123182148920689,0.0293789017275431
"SOSGRB2",-0.0433458646616541,-0.0433458646616541,0.199231754161332,0.209090909090909,0.136912548398302,-0.0257610875652766,-0.0276315789473684,-0.137507246376812,-0.114285714285714,-0.166459627329193,0.18940822618242,-0.114285714285714,0.0588084795321637,-0.153416149068323,-0.172256728778468,-0.189098834041626,-0.200379904787324,-0.441177651580336,0.2,-0.155774111774112,0.216666666666667,0.213963963963964,0.2,-0.139404152867952,-0.0923077469793888,0.152380952380952,0.0927576927576928,-0.0142857142857143,0.00725274725274725,0.0107988465435274,-0.00428571428571428,-0.492140588101317,-0.119047619047619,-0.110939510939511,0.0786317523138924,-0.1,-0.0489035087719298,-0.0614035087719298,-0.0666666666666667,-0.22094070815001,-0.1,0.1,0,-0.19010752688172,-0.228248587570621,-0.228248587570621,-0.228248587570621,-0.232094741416775,0.147619047619048,0.1,-0.109090909090909,-0.150833333333333,0.195585808580858,-0.209090909090909,0.0901831501831502
"MEK",-0.0264980073330145,-0.0264980073330145,0.165475076423982,0.188888888888889,0.0337802796255578,-0.0256696827679973,-0.0131516021042563,-0.0746594908359614,-0.13,-0.161118881118881,0.0901684967865833,-0.136842105263158,-0.0479470735662686,-0.156072874493927,-0.167960986382039,-0.178902462209011,-0.185036291205294,-0.418898918160707,0.12,-0.158650593614726,0.108,0.122754098360656,0.1,-0.1401083871621,-0.0905272647308263,0.02,-0.100061139642944,0.0733333333333333,0.0827681352914998,0.0864177703279961,0.0780952380952381,-0.356448808576468,-0.0096551724137931,-0.00327219369038884,0.0877835996654418,0.0142857142857143,0.0212019353195824,0.0294372294372294,0.0142857142857143,-0.128636451301832,0,0.1,0.1,-0.0905375004766202,-0.207758907758908,-0.207758907758908,-0.207758907758908,-0.208076368076368,0.149230769230769,0.1,-0.111848097701756,-0.0270476190476191,0.198600182460942,-0.173504273504273,0.0663066249273146
"RKIP",-0.0153868962219034,-0.0153868962219034,0.173504273504273,0.188888888888889,0.0411573288058857,-0.0197873298268208,-0.0013868962219034,-0.0618389780154486,-0.1,-0.149230769230769,0.0905375004766202,-0.1,-0.0334733893557423,-0.136842105263158,-0.156072874493927,-0.167960986382039,-0.178902462209011,-0.409275487198364,0.1,-0.154504252151311,0.12,0.108,0.1,-0.135485516115871,-0.0809118801154417,0.07,0.00327219369038884,0.0666666666666667,0.0780952380952381,0.0827681352914998,0.0733333333333333,-0.346375098502758,-0.02,-0.0096551724137931,0.0872371515780102,0,0.0294372294372294,0.0142857142857143,0.0142857142857143,-0.122754098360656,0,0.1,0,-0.0915275994865212,-0.205194805194805,-0.205194805194805,-0.205194805194805,-0.207758907758908,0.13,0.1,-0.113666279519938,-0.0403809523809524,0.182383966244726,-0.188888888888889,0.0491895078101975
"RAF",-0.0153868962219034,-0.0153868962219034,0.173504273504273,0.188888888888889,0.0411573288058857,-0.0197873298268208,-0.0013868962219034,-0.0618389780154486,-0.1,-0.149230769230769,0.0905375004766202,-0.1,-0.0334733893557423,-0.136842105263158,-0.156072874493927,-0.167960986382039,-0.178902462209011,-0.409275487198364,0.1,-0.154504252151311,0.12,0.108,0.1,-0.135485516115871,-0.0809118801154417,0.07,0.00327219369038884,0.0666666666666667,0.0780952380952381,0.0827681352914998,0.0733333333333333,-0.346375098502758,-0.02,-0.0096551724137931,0.0872371515780102,0,0.0294372294372294,0.0142857142857143,0.0142857142857143,-0.122754098360656,0,0.1,0,-0.0915275994865212,-0.205194805194805,-0.205194805194805,-0.205194805194805,-0.207758907758908,0.13,0.1,-0.113666279519938,-0.0403809523809524,0.182383966244726,-0.188888888888889,0.0491895078101975
"TWIST1",0.013464341534517,0.013464341534517,-0.019252808686771,-0.0237037037037037,-0.00281849949659903,0.0331712259371834,0.0241296643735668,-0.121855817078929,-0.105555555555556,-0.111618713450292,0.138064166777038,-0.105555555555556,0.0462656875700354,-0.11193853427896,-0.113143353556068,-0.116665558762806,-0.117643132080805,-0.140463403987784,0.2,-0.103808942058809,0.196,0.208328767123288,0.166666666666667,-0.0149293932128696,-0.0194459904064941,0.16,0.153612031376299,0.0884848484848485,0.0975796760710554,0.0959851430414426,0.0988296760710554,-0.154985190101873,-0.164347826086957,-0.15908466819222,0.0792664073426639,-0.15,-0.162181039299683,-0.158791208791209,-0.173076923076923,-0.206850934610972,-0.2,0.1,0.1,-0.135753935753936,0.049714775350449,0.049714775350449,0.049714775350449,0.0480024465833257,0.110818713450292,0.1,-0.133147078909791,0.0884390463337832,0.144719312945119,0.0211396011396011,-0.0384575851755147
"TGFR",0.0304693408764908,0.0304693408764908,0.084052757793765,0.0833333333333333,0.13059433096412,0.0465257628911689,0.0361946532999165,-0.0563219981547384,0.00428571428571428,-0.000826884618728807,0.138714930269287,-0.01,0.0696536796536797,-0.0118867924528302,-0.0158341608738828,-0.0182265053714905,-0.0199094105973541,-0.123277783075207,0.146666666666667,-0.00148440427959099,0.13632183908046,0.13944683908046,0.113333333333333,-0.0352205642688554,-0.0601711683328739,0.0523809523809524,0.0183634886302514,0.02,-0.0871428571428571,-0.0864336372847011,0.00571428571428572,-0.311860495725012,-0.0260651629072682,-0.023842940685046,-0.0129081574498786,-0.183333333333333,-0.179503992539488,-0.181829573934837,-0.197619047619048,-0.138881867329047,-0.233333333333333,0,0,-0.142629521016618,-0.0815476190476191,-0.0815476190476191,-0.0815476190476191,-0.0833020050125313,-0.0023989218328841,-0.0142857142857143,-0.15364281108962,-0.0685022742040286,0.0147092217907669,-0.0833333333333333,0.0618024627736038
"ERK",0.0342145427660854,0.0342145427660854,-0.161319951770242,-0.173504273504273,-0.0271537736014614,0.0293461533562326,0.0240043152825509,0.0847843174656424,0.149230769230769,0.171895823474771,-0.0904724481543644,0.156072874493927,0.0571392741233717,0.167960986382039,0.178902462209011,0.185036291205294,0.189619624538627,0.425024434883743,-0.108,0.161962461140025,-0.122754098360656,-0.128636451301832,-0.12,0.142813526927654,0.0974717091752708,-0.0096551724137931,0.103682309559379,-0.0780952380952381,-0.0864177703279961,-0.0880661219763478,-0.0827681352914998,0.36507732810417,0.00327219369038884,-0.100061139642944,-0.0880239017595029,-0.0142857142857143,-0.0230367977049035,-0.0212019353195824,-0.0294372294372294,0.132501185601349,-0.0142857142857143,-0.136842105263158,-0.1,0.0901684967865833,0.208076368076368,0.208076368076368,0.208076368076368,0.207306291068667,-0.161118881118881,-0.13,0.111506800773429,0.0183097549699492,-0.211445710916226,0.165475076423982,-0.0774177360384257
"TCFLEF",0.0349430267588162,0.0349430267588162,0.115754223791994,0.142403953451299,-0.0631521824536636,-0.00527086701785495,-0.0423892284186402,-0.0663998419973106,-0.138039215686275,-0.190935112060432,-0.0343020532965184,-0.135833333333333,-0.152006704321073,-0.165747863247863,-0.189018303499436,-0.303336745652929,-0.314934683797259,-0.523265360782995,-0.08,-0.260688890649392,-0.0514285714285714,-0.0401382488479263,-0.1,-0.0881155874377106,-0.181784642600542,-0.142857142857143,-0.176917205906753,0.130769230769231,0.142440606557103,0.147407493974322,0.13309481216458,-0.355132555564144,0.164808362369338,0.171475029036005,0.144007530441833,0.123376623376623,0.127411686490228,0.12415081692501,0.127376623376623,0.0266413163325889,0.114285714285714,0.0958333333333333,0.0333333333333333,0.0329636211741475,-0.133927948835891,-0.133927948835891,-0.133927948835891,-0.134847791148637,0.167953745600804,0.0980392156862745,-0.013655216163923,0.0579112544142484,-0.173953113553113,-0.126717678941495,-0.0112232944569343
"TGF",0.0361297182349814,0.0361297182349814,0.0833333333333333,0.0533333333333333,0.133492881688758,0.0491650590788522,0.039766081871345,-0.0524074074074074,0.0142857142857143,0.0023989218328841,0.142629521016618,0,0.0796536796536797,-0.01,-0.0118867924528302,-0.0158341608738828,-0.0182265053714905,-0.118842299204239,0.113333333333333,-0.0012534573973739,0.146666666666667,0.13632183908046,0.133333333333333,-0.034063156861448,-0.0539764780673872,0.0666666666666667,0.023842940685046,0.02,0.00571428571428572,-0.0871428571428571,0.02,-0.308682011617432,-0.0523809523809524,-0.0260651629072682,-0.0122267264447678,-0.233333333333333,-0.181829573934837,-0.197619047619048,-0.183333333333333,-0.13944683908046,-0.2,0,0,-0.144242424242424,-0.0797619047619048,-0.0797619047619048,-0.0797619047619048,-0.0815476190476191,-0.00428571428571428,0,-0.15364281108962,-0.0697368421052632,0.0108465608465608,-0.0833333333333333,0.0543788819875776
"miR200",0.0507078853046595,0.0507078853046595,-0.108074364754669,-0.0800985221674877,-0.115870438743707,-0.0295597789340624,0.067512077294686,-0.235708381597952,-0.276,-0.319723881752051,0.00359530612811052,-0.279130434782609,-0.0752759793804718,-0.30307409675444,-0.323298815855563,-0.336790879347627,-0.346942394499142,-0.325837643426307,0.0325,-0.325780351001383,0.0458333333333333,0.0572257383966245,0.02,-0.186999139430805,-0.0984613534613535,0.0142857142857143,0.00769944341372913,0.0125,0.0232210626185958,0.0272908300604563,0.0183823529411765,-0.231020302816857,-0.0142857142857143,-0.00974025974025974,0.272197019297526,-0.02,-0.0300070932047099,-0.0281203007518797,-0.0252631578947368,-0.0680953036140158,0,0.24,0.2,-0.00265486725663717,0.130512820512821,0.130512820512821,0.130512820512821,0.130762197071424,0.299943661971831,0.24,0.00169491525423729,0.0729174725983237,0.353342246101715,0.0973399014778325,0.120067141530556
"STAT",0.10114757037834,0.10114757037834,-0.171648633213453,-0.117647058823529,-0.211976665618192,0.039844961051991,0.233620518914637,-0.2422144988112,-0.333928571428571,-0.421743697478992,0.00239324782053418,-0.333928571428571,-0.016217824967825,-0.383928571428571,-0.42239010989011,-0.449203990016293,-0.469823775475173,-0.413148438913201,0.05,-0.447783317290749,0.0833333333333333,0.104263565891473,0,-0.16220448438574,-0.0816521791358358,0.0333333333333333,0.0101075268817204,0.0272727272727273,0.0404306220095694,0.0476769988211636,0.0272727272727273,-0.367578994214508,-0.0133333333333333,-0.0133333333333333,0.371191100099905,0,-0.0264568200161421,-0.0247619047619048,-0.02,-0.128157371201207,0,0.271428571428571,0.3,-0.0035426731078905,0.119318651778329,0.119318651778329,0.119318651778329,0.119318651778329,0.383928571428571,0.271428571428571,0.00533333333333333,0.0885467980295566,0.451828171828172,0.147376788553259,0.0148725289706885
