"","PAK1","STAT","CDC42","cMet","GLI","SRC","TGFR","TGF","ZEB1","KLF4","FOXC2","PI3K","DELTA","cateninmemb","EGR1","SOSGRB2","miR200","Patched","TWIST1","SMO","TrCP","SUFU","FUS","SNAI1","ILK","HEY1","RKIP","Csn","SMAD","ZEB2","SHH","SNAI2","AKT","ERK","cfos","NOTCHic","MEK","NFB","IKK","Csl","NOTCH","Jagged","RAF","GSK3","RAS","Ecadherin","Frizzled","Wnt","DSH","LIV1","CD44","TCFLEF","cateninnuc","AXIN2","Destcompl"
"ILK",-0.275,0.2,-0.280882352941176,0.277294685990338,0.297294685990338,0.255555555555556,-0.296882352941176,-0.320459588713534,-0.182323952805232,0.0807017543859649,-0.371421602787456,0.373125541125541,0.373125541125541,-0.0381869145378551,0.0333333333333333,-0.287692307692308,-0.0348622467474927,0.2,-0.289808686601274,0.2,-0.2,-0.1,-0.15,-0.272024959742351,-0.154125650260104,0.155036491440487,-0.269586296056884,-0.166666666666667,-0.154925650260104,-0.109431325770485,-0.213888888888889,-0.141588843741758,-0.205882352941176,-0.0938375350140056,-0.0761904761904762,0.00961538461538461,-0.102034256325481,-0.166666666666667,-0.172549019607843,0.025,0.0225186104218362,-0.223157894736842,-0.373125541125541,-0.493879268879269,-0.399152938385815,-0.185109926273926,-0.255555555555556,-0.277294685990338,-0.2,-0.1,-0.297294685990338,-0.314808810284123,-0.331097470077938,-0.329809523809524,-0.564019014150795
"GLI",-0.0466666666666667,0.15,-0.0535632183908046,0.165420928402832,0.141048084298922,0.153225806451613,-0.0617393190197354,-0.0690334366667942,-0.0925530807305001,0.0802900042900043,-0.191854252665979,0.190390237015629,0.190390237015629,0.0657701390364342,-0.0371428571428571,0.0549741409033445,-0.00444414202928135,0.194915861081275,-0.139345327375888,0.198997493734336,0.0333333333333333,-0.20952380952381,-0.20952380952381,-0.0960163875246236,-0.0729581584106428,0.0682011112826053,-0.0719244079323523,0.0444444444444444,-0.0789041043565888,-0.0881543778801843,-0.201088700587447,-0.123036564939321,0.00655675647451963,0.0301082251082251,0.0288095238095238,-0.0585654288240495,0.0328706560474516,0.0286549707602339,0.0143692564745196,-0.0660654288240495,-0.0585654288240495,-0.122996233660549,-0.190390237015629,-0.189906082373037,-0.20088528652058,-0.13567053706738,-0.223225806451613,-0.233814041745731,-0.22,-0.15,-0.173179549092488,-0.176101627014566,-0.178791405854972,-0.208522041062802,-0.246847112470642
"cateninmemb",-0.0550909090909091,0.0294117647058824,-0.0590909090909091,0.0326069113186225,0.0370706794345645,0.0317373461012312,-0.0683592017738359,-0.073241661086675,-0.116973598618794,0.076699484294421,-0.170913763391209,0.127428355957768,0.127428355957768,0.00998199556678039,0.0709090909090909,-0.110365321537119,-0.044410542902163,0.0323924731182796,-0.0687949270335074,0.0291666666666667,-0.1,0.0333333333333333,-0.0166666666666667,-0.101471052336794,-0.0683478260869565,0.0562074640716567,-0.100467759456524,-0.08,-0.0758538793557217,-0.0797412195110022,-0.034754677842689,-0.0499699292254984,-0.0931313131313131,-0.0881316500358344,-0.0767914438502674,-0.0169851526661076,-0.0877394931730893,-0.0657142857142857,-0.087936507936508,-0.0283253588516746,-0.0143829221828363,-0.0457541085916372,-0.127428355957768,-0.181069701316946,-0.131897629700784,0.0169751235329683,-0.0317373461012312,-0.0317373461012312,-0.0294117647058824,0,-0.0376236337266493,-0.0437257507876704,-0.0478340607783334,-0.129421978759112,-0.185860919543013
"SHH",0,0.1,-0.0333333333333333,0.1,0.25,0.1,-0.133333333333333,-0.153333333333333,-0.225,0.1,-0.325,0.25,0.25,-0.0914695340501792,0,0,-0.0166666666666667,0.133333333333333,-0.175,0.1,0,0,0,-0.216666666666667,-0.0666666666666667,0.0666666666666667,-0.18,0,-0.116666666666667,-0.075,-0.253333333333333,-0.0799233716475096,-0.1,0.1,0.1,0,0.08,0,-0.1,-0.1,0,-0.162857142857143,-0.25,-0.32051282051282,-0.273076923076923,-0.104444444444444,-0.2,-0.2,-0.2,0,-0.15,-0.196666666666667,-0.218888888888889,-0.276190476190476,-0.377922077922078
"SMAD",-0.135714285714286,0.0342857142857143,-0.137122736418511,0.0512791783380019,0.0640151614971759,0.0453968253968254,-0.145502624686667,-0.152673939427703,-0.0757745669898044,0.0718104108675641,-0.166175880013489,0.0962493808956691,0.0962493808956691,0.00369425181005715,0.0571428571428571,-0.110640343093759,-0.00235739793980049,0.0455810397553517,-0.114268772244988,0.0483333333333333,0,-0.0583333333333333,-0.0583333333333333,-0.0513412304541337,-0.0133946418877926,0.0231078491788484,-0.041090224764497,0.0333333333333333,-0.12053749903065,-0.0744808992577927,-0.0466962813910394,-0.0910651035100466,-0.00534453781512605,-0.0580430821991212,-0.06036866359447,-0.0222660098522167,-0.0541969283529674,0.019047619047619,0.00532212885154061,-0.0257142857142857,-0.0182977558839628,-0.0443845831587767,-0.0962493808956691,-0.131436347000257,-0.101512538790406,-0.0516899922174211,-0.0587301587301587,-0.0625763125763126,-0.0476190476190476,-0.02,-0.0530973601561837,-0.0545898974696165,-0.0567175570440846,-0.0531756963925334,-0.103031676750918
"TrCP",-0.0523809523809524,0.15,-0.0661064425770308,0.164514514514515,0.167939903960443,0.153703703703704,-0.0782276546982429,-0.0864243760097183,-0.069397116304694,0.0564647410876919,-0.118226459633475,0.0468263457144375,0.0468263457144375,0.0658700870048043,0.08,-0.121410891089109,-0.00921734945324076,0.137221937759572,-0.114740918501788,0.143394777265745,0.133333333333333,-0.176190476190476,-0.15952380952381,-0.0397456270203317,-0.0914234511008704,0.0783211335508716,-0.044716351788175,0.158333333333333,-0.100455709165387,-0.0671717205420872,-0.146221937759572,-0.122369016920435,0.0957846003898635,-0.0724834193072955,-0.0843478260869565,-0.152564102564103,-0.0671500859739622,0.120833333333333,0.105043859649123,-0.16025641025641,-0.151465201465201,-0.168982404567144,-0.0468263457144375,-0.0757343073593073,-0.0577354366235284,-0.13442307664469,-0.153703703703704,-0.161598440545809,-0.15,-0.15,-0.171445207583821,-0.173667429806044,-0.176150188426733,-0.208044737738947,-0.231356468626615
"EGR1",-0.0523809523809524,0.15,-0.0661064425770308,0.164514514514515,0.167939903960443,0.153703703703704,-0.0782276546982429,-0.0864243760097183,-0.069397116304694,0.0564647410876919,-0.118226459633475,0.0468263457144375,0.0468263457144375,0.0658700870048043,0.08,-0.121410891089109,-0.00921734945324076,0.137221937759572,-0.114740918501788,0.143394777265745,0.133333333333333,-0.176190476190476,-0.15952380952381,-0.0397456270203317,-0.0914234511008704,0.0783211335508716,-0.044716351788175,0.158333333333333,-0.100455709165387,-0.0671717205420872,-0.146221937759572,-0.122369016920435,0.0957846003898635,-0.0724834193072955,-0.0843478260869565,-0.152564102564103,-0.0671500859739622,0.120833333333333,0.105043859649123,-0.16025641025641,-0.151465201465201,-0.168982404567144,-0.0468263457144375,-0.0757343073593073,-0.0577354366235284,-0.13442307664469,-0.153703703703704,-0.161598440545809,-0.15,-0.15,-0.171445207583821,-0.173667429806044,-0.176150188426733,-0.208044737738947,-0.231356468626615
"NFB",-0.127777777777778,-0.0666666666666667,-0.114141414141414,-0.0451282051282051,-0.0428810141169692,-0.0435897435897436,-0.113341414141414,-0.119670528065465,-0.129059142108144,0.0576007326007326,-0.108810702356519,0.169181087736339,0.169181087736339,-0.0570666042941031,-0.0357142857142857,-0.0180827067669173,-0.0154346984072454,0.0138441890166028,0.0637581699346405,0.0207407407407407,-0.1,0.04,0.02,-0.141984364894017,-0.0415772827282728,0.0500294854784019,-0.149642707019756,-0.0571428571428571,-0.0352575801260423,-0.0639851928672255,-0.0102297311852775,0.0482086997474863,-0.149184899184899,-0.0033968253968254,0.00771428571428571,0.131457431457431,-0.0105863678804855,-0.14047619047619,-0.126962676962677,0.148917748917749,0.145005818554206,-0.00309188450551648,-0.169181087736339,-0.255871579400991,-0.171668649925394,0.0261296947747596,0.0435897435897436,0.0451282051282051,0.0666666666666667,0.1,0.0434332898739678,0.0383699987347273,0.0338994104994332,0.0755015197568389,-0.1683689105506
"IKK",-0.15,-0.1,-0.127777777777778,-0.0435897435897436,-0.0451282051282051,-0.0666666666666667,-0.114141414141414,-0.113341414141414,-0.121779448621554,0.0710622710622711,-0.101240981240981,0.166364186327889,0.166364186327889,-0.0567498144313787,-0.05,-0.0107142857142857,-0.00788182831661092,0.0207407407407407,0.0704248366013072,-0.02,0,0.1,0.04,-0.137326830647441,-0.0465277777777778,0.057172342621259,-0.131693989071038,-0.1,-0.0415772827282728,-0.0551729323308271,-0.0138441890166028,0.0488184558450473,-0.126962676962677,0.00771428571428571,0.0357142857142857,0.148917748917749,-0.0033968253968254,-0.0571428571428571,-0.14047619047619,0.172727272727273,0.131457431457431,-0.00381130896594814,-0.166364186327889,-0.24959706959707,-0.169181087736339,0.0253271265564611,0.0666666666666667,0.0435897435897436,0.1,0.1,0.0451282051282051,0.0434332898739678,0.0383699987347273,0.0790476190476191,-0.162388844105417
"TGFR",0.171111111111111,0,0.171111111111111,0.00566037735849057,0.0180106077732371,0,0.0657539682539682,0.0614986491050321,0.00274218372141605,0.0525475827249283,0.056570899671811,0.135714285714286,0.135714285714286,-0.00244307086857892,0.0619047619047619,0.120971410006498,-0.049091097074968,-0.0503879310344828,0.00886318703044682,-0.0441379310344828,-0.1,0.02,0.02,0.0377786841745007,0.0702932551319648,-0.0451514189208695,0.00813852813852814,-0.125,0.0656669206123919,-0.053777060794029,0.05208284628872,0.0111359324961705,-0.148378212974296,-0.0499749373433584,-0.056641604010025,0.133793103448276,-0.0431256222748652,-0.125,-0.146052631578947,0.12,0.133073678987844,0.0365381742118631,-0.135714285714286,-0.102788408572168,-0.136883876357561,0.000328048148917995,-0.0142857142857143,-0.0199460916442048,-0.0142857142857143,0,-0.00566037735849057,-0.0047034395594475,-0.00426056976316761,-0.00499125735177237,-0.0157989136155797
"TGF",0.16,0,0.171111111111111,0,0.0199460916442048,0,0.171111111111111,0.0657539682539682,0.00840256107990662,0.0471904398677854,0.0631211180124224,0.128571428571429,0.128571428571429,-0.00221212398636183,0.0333333333333333,0.119736842105263,-0.0499708624708625,-0.0441379310344828,0.0127777777777778,-0.02,-0.2,0,0.02,0.0410235219326128,0.0654545454545455,-0.0421663442940039,0.0138528138528139,-0.1,0.0702932551319648,-0.0526449853223309,0.0503879310344828,0.0115988954591335,-0.146052631578947,-0.056641604010025,-0.0619047619047619,0.12,-0.0499749373433584,-0.125,-0.125,0.12,0.133793103448276,0.0343642611683849,-0.128571428571429,-0.0991209269095766,-0.135714285714286,0.000839121402751044,-0.0142857142857143,-0.0142857142857143,0,0,-0.00566037735849057,-0.00566037735849057,-0.0047034395594475,-0.0037037037037037,-0.0147908490994507
"ZEB1",-0.221455938697318,0.158974358974359,-0.220006663334999,0.198572637310084,0.209705647215076,0.180925578486554,-0.220514277548197,-0.227207190934024,-0.204302427002401,0.0231013157631226,-0.280144521141077,0.217183699593793,0.217183699593793,-0.0422110856392674,-0.0166666666666667,-0.174892787524366,-0.0417406663055916,0.039349376114082,-0.263819135058427,0.0295454545454545,-0.0666666666666667,-0.025,-0.025,-0.153798178210367,-0.0408968099604387,0.0470099762068674,-0.131554171167324,-0.0866666666666667,-0.0418583484219772,-0.0341312310877528,-0.0446874544058969,-0.136440572689378,-0.073102017338428,0.021843137254902,0.0206666666666667,0.0236519607843137,0.0169973222769284,-0.0708771929824561,-0.0659591601955709,0.0354166666666667,0.0203461756603468,-0.0595038425901019,-0.217183699593793,-0.271487375163602,-0.224900235026863,-0.0905729012528362,-0.188617886178862,-0.205925578486554,-0.166666666666667,-0.166666666666667,-0.203433748421195,-0.205561407995663,-0.209377454962395,-0.232844537103256,-0.303151357929173
"STAT",-0.104545454545455,-0.0571428571428571,-0.0857954545454545,-0.0707792207792208,-0.0766615737203973,-0.0571428571428571,-0.088427033492823,-0.0927748595797795,-0.0190335305719921,-0.067260843731432,-0.0376182685753238,-0.151985111662531,-0.151985111662531,0.00721728366058428,0.0333333333333333,0.0246305418719212,0.0056514474067254,0.0974031007751938,0.0647240232697504,0.118333333333333,0.1,-0.1,-0.125,0.0620119629593427,-0.0644927536231884,0.0633333333333333,0.0491167953667954,0.15,-0.066791604197901,-0.0255961986731217,-0.0805889414831584,0.00527371618280709,0.150936238902341,-0.0392156862745098,-0.0333333333333333,-0.0943296237413885,-0.0316888045540797,0.19,0.166190476190476,-0.107843137254902,-0.079766516945272,-0.0443240252099861,0.151985111662531,0.187089452603471,0.159447798229695,-0.021380955600037,0.0571428571428571,0.0707792207792208,0.0571428571428571,0,0.075052725052725,0.0753681824659743,0.0776327831811113,0.11616814557991,0.160398443934971
"ZEB2",-0.167532467532468,-0.15,-0.147532467532468,-0.145964912280702,-0.144145976347811,-0.143333333333333,-0.140049474335189,-0.139520373806088,-0.137377795794034,-0.115789908497823,-0.10158041958042,-0.089978354978355,-0.089978354978355,-0.0639042740514288,-0.0416666666666667,-0.0377655677655678,-0.028683427878619,-0.0126132404181185,-0.00545831580479511,-0.00285714285714286,0,0,0,0.00588531469455376,0.00595444461641645,0.00633995037220844,0.0106441223832528,0.0111111111111111,0.0120520055920262,0.0199634272716455,0.0217041495090276,0.0415287603413164,0.044291277258567,0.0469298245614035,0.0469298245614035,0.0472820512820513,0.0481493367565255,0.0486111111111111,0.0508333333333333,0.0512820512820513,0.0522000840689365,0.0840711232436093,0.089978354978355,0.0976873091481397,0.0979012671839224,0.117353334776932,0.134242424242424,0.136806526806527,0.140909090909091,0.15,0.152446393762183,0.157728083903028,0.160844967019911,0.189746071450954,0.1956204138261
"TWIST1",0.113939393939394,-0.133333333333333,0.131180773249739,-0.164893617021277,-0.171684210526316,-0.15,0.138680773249739,0.145742276666595,0.0384375603673849,-0.00314780070877632,0.230391242291092,-0.10511229324006,-0.10511229324006,-0.0340517206671352,-0.133333333333333,0.241653464765593,-0.0206309611151871,-0.237808219178082,0.190874196360466,-0.22,-0.1,0.233333333333333,0.2,0.105017334419777,0.0828919828919829,-0.0560067051592475,0.0928455928455929,-0.05,0.0904827419678905,0.0240301705213986,0.25406437681355,0.117745501187635,-0.0159775252995592,0.12372234935164,0.128985507246377,0.0943019943019943,0.130190011043182,-0.0115384615384615,-0.0210622710622711,0.0814814814814815,0.0980755792076547,0.166605658017633,0.10511229324006,0.25543682311474,0.116413663103074,0.125885776289922,0.15,0.163684210526316,0.133333333333333,0.133333333333333,0.173327351961036,0.17868722944955,0.184610173670367,0.216622356138485,0.272375389995065
"SRC",-0.0444444444444444,0,0.00555555555555556,-0.085,-0.106311475409836,-0.075,0.0198412698412698,0.0198412698412698,-0.0261006289308176,-0.116214470284238,0.0461297852474323,-0.314109303295786,-0.314109303295786,0.0198675348001796,-0.166666666666667,0.0871428571428571,0.0194905577514273,0.0814814814814815,0.0843425539977264,0.1,0.1,-0.1,-0.1,0.130914151116453,-0.0631578947368421,0.0106421714664019,0.215770609318996,0.2,-0.0514461830251304,0.0261979634621144,-0.0550108932461874,0.0466131739960317,0.23974358974359,0.139393939393939,0.139393939393939,-0.208809523809524,0.14882790165809,0.233333333333333,0.256410256410256,-0.185,-0.19452380952381,-0.0328175723359209,0.314109303295786,0.418008658008658,0.329260818447302,-0.0101988371106018,0.075,0.085,0.1,0,0.106311475409836,0.116067572970812,0.120765559547993,0.142685621998385,0.243039496735149
"Jagged",0.2,0,0.1,-0.02,-0.0276923076923077,0,0.0666666666666667,0.0546666666666667,0.0210144927536232,-0.0611111111111111,0.0471428571428571,0.0333333333333333,0.0333333333333333,-0.00950064020486556,0.1,0.08,-0.00606060606060606,-0.158333333333333,0.046,-0.133333333333333,0,0,0.1,-0.0333333333333333,0.116666666666667,-0.0166666666666667,-0.041025641025641,0,0.0928571428571428,0.0393719806763285,0.13525641025641,0.0759678230266466,-0.166666666666667,0.06,0,0.22,0.06,-0.1,-0.133333333333333,0.2,0.248571428571429,0.132987012987013,-0.0333333333333333,-0.0409961685823755,-0.0333333333333333,0.04,0,0.02,0,0,0.0276923076923077,0.0307226107226107,0.0318215118215118,0.0242857142857143,0.020988416988417
"DELTA",0.2,0,0.1,-0.02,-0.0276923076923077,0,0.0666666666666667,0.0546666666666667,0.0210144927536232,-0.0611111111111111,0.0471428571428571,0.0333333333333333,0.0333333333333333,-0.00950064020486556,0.1,0.08,-0.00606060606060606,-0.158333333333333,0.046,-0.133333333333333,0,0,0.1,-0.0333333333333333,0.116666666666667,-0.0166666666666667,-0.041025641025641,0,0.0928571428571428,0.0393719806763285,0.13525641025641,0.0759678230266466,-0.166666666666667,0.06,0,0.22,0.06,-0.1,-0.133333333333333,0.2,0.248571428571429,0.132987012987013,-0.0333333333333333,-0.0409961685823755,-0.0333333333333333,0.04,0,0.02,0,0,0.0276923076923077,0.0307226107226107,0.0318215118215118,0.0242857142857143,0.020988416988417
"NOTCH",0.1,0,0.0666666666666667,-0.0276923076923077,-0.0307226107226107,-0.02,0.0546666666666667,0.0578924731182796,0.0284219001610306,-0.0393719806763285,0.053265306122449,0.0333333333333333,0.0333333333333333,-0.00897707999544147,0,0.0852631578947368,0.00536796536796537,-0.13525641025641,0.0510847457627119,-0.158333333333333,0,0.1,0.133333333333333,-0.0194871794871795,0.0928571428571428,0.013768115942029,-0.0168877099911583,-0.1,0.0761904761904762,0.0467793880837359,0.123491704374057,0.075438722497546,-0.144444444444444,0.06,0.06,0.248571428571429,0.06,-0.133333333333333,-0.166666666666667,0.22,0.13889400921659,0.125579605579606,-0.0333333333333333,-0.0387234413096482,-0.0289855072463768,0.0375806451612903,0.02,0.0276923076923077,0,0,0.0307226107226107,0.0318215118215118,0.0322296750868179,0.0299460916442049,0.023792155306174
