"","SNAI2","RAF","SOSGRB2","SRC","STAT","CD44","AKT","Destcompl","IKK","NFB","Csn","SMO","FUS","TWIST1","PAK1","CDC42","cfos","ERK","MEK","EGR1","FOXC2","TGFR","TGF","HEY1","TrCP","SMAD","ILK","AXIN2","SUFU","Patched","SHH","LIV1","Ecadherin","GLI","DSH","Wnt","Jagged","RKIP","TCFLEF","Frizzled","cateninnuc","cMet","cateninmemb","Csl","RAS","NOTCHic","SNAI1","PI3K","DELTA","NOTCH","GSK3","ZEB2","ZEB1","miR200","KLF4"
"FOXC2",0.147530359139831,0.165384615384615,0.161878216123499,0.0588235294117647,0.1,0.0666293939213704,0.207830687830688,0.153650278822356,0.215238095238095,0.22,0.2,0.15,0.166666666666667,-0.0523355119825708,0.190909090909091,0.146909090909091,-0.129090909090909,-0.123208556149733,0.111868349964166,0.12,-0.133826264255786,-0.121575757575758,-0.113283074648928,-0.0301145912910619,-0.1,-0.0594202898550725,-0.0666666666666667,-0.0484521596834182,-0.2,-0.14375,-0.140524193548387,-0.166666666666667,0.0980094494722063,-0.0656398886739941,-0.1,-0.0518467852257182,-0.0920121757303167,-0.183694083694084,-0.0850240427508018,-0.0588235294117647,-0.0938658858392202,-0.0518467852257182,-0.0985684369830711,-0.192727272727273,-0.165384615384615,-0.171674641148325,-0.15761671289511,-0.165384615384615,-0.165384615384615,-0.164458146302965,-0.159029245029111,-0.24703302373581,-0.24703302373581,-0.261200651200651,-0.251851851851852
"Destcompl",-0.150338864396013,0.0515317254896446,-0.0398544866410311,-0.123026744944553,-0.138095238095238,-0.132106346934603,0.0604527826004336,0.0185949527856595,0.0550836550836551,0.0523809523809524,0.0523809523809524,-0.11591680350301,-0.118773946360153,0.124455810352735,-0.0130612244897959,4.22237860661534e-05,0.041025641025641,0.0372005044136192,-0.0321372132743787,-0.041025641025641,-0.0219765919094921,-0.00898959220711879,-0.0110585577243602,-0.00157312772697388,-0.0666666666666667,0.00150793650793651,0.00373015873015873,0.069979979598864,0.122222222222222,0.111253591067777,0.109899625884025,0.166666666666667,-0.0816907365103663,0.131375539007633,0.138095238095238,0.123026744944553,0.160098168494146,-0.119974136672336,0.138818675701726,0.123026744944553,0.140654473763939,0.123524257382364,0.132423044913228,0.038174696435566,-0.0499618667769288,0.0305660007833921,-0.119335530948676,-0.0515317254896446,-0.0515317254896446,0.027559988759344,-0.123715589362704,-0.202616441272778,-0.202616441272778,-0.213033230751487,-0.190861822116846
"SHH",-0.122528735632184,-0.2,0.05,-0.1,-0.1,-0.05,-0.1,-0.167012987012987,-0.1,0,0,-0.1,0,0.025,0.2,0.1,0.1,0.1,-0.08,0,0.075,0,-0.02,-0.0666666666666667,0,-0.0333333333333333,-0.0666666666666667,-0.00952380952380952,0,0.0666666666666667,-0.0533333333333333,0,-0.101666666666667,-0.05,0,0,0.0371428571428572,0.02,0.0166666666666667,0,2.77555756156289e-18,0.1,-0.00458781362007168,0.1,0.192307692307692,0.2,0.0166666666666667,0.2,0.2,0.2,0.225641025641026,-0.2,-0.2,-0.2,-0.2
"SUFU",-0.121837412890504,-0.156978404199639,0.0569316648264017,-2.77555756156289e-18,-0.0166666666666667,-0.0176363238192569,-0.0824587358949775,-0.158826434539431,-0.0938681318681319,-0.0977142857142857,-0.0857142857142857,0.0463888888888889,0.0408333333333333,0.00771789755586059,0.0283333333333333,0.0391441441441441,0.0846620046620047,0.0743171770757978,-0.0704873898417552,-0.0876923076923077,0.0495844460556714,-0.0551015909526548,-0.0564822615640946,-0.0419708456376869,0.1,-0.0308189213255145,-0.0287403993855607,-0.0140664072902872,-0.0533333333333333,-0.055479797979798,-0.0543214968214968,0.05,-0.0793734306014379,-0.074809360404156,-0.075,-0.0878205128205128,0.035339595383381,0.0137861467611099,0.0241580629496917,-0.0916666666666667,0.0252322317476456,0.00485436893203884,0.0204266531321487,0.167727272727273,0.161725239642677,0.158636363636364,-0.00430316629011002,0.156978404199639,0.156978404199639,0.153874458874459,0.188705978721507,-0.195699129309561,-0.195699129309561,-0.194155020044984,-0.177748055800966
"Patched",-0.107862068965517,-0.192307692307692,0.0166666666666667,-0.1,-0.1,-0.0166666666666667,-0.0857142857142857,-0.148331668331668,-0.1,-0.1,0,-0.0666666666666667,-0.1,-0.000925925925925924,0.1,0,0.1,0.08,-0.0876923076923077,-0.1,0.075,-0.02,-0.0283333333333333,-0.0435897435897436,0,-0.0233333333333333,-0.0333333333333333,-0.0186147186147186,0,-0.0533333333333333,-0.0408333333333333,0.1,-0.0851618122977346,-0.075,0,-0.05,0.0334391534391534,0.0342857142857143,2.77555756156289e-18,0,0.00485436893203884,0.05,-0.00458781362007168,0.2,0.179807692307692,0.2,0.0263440860215054,0.192307692307692,0.192307692307692,0.172727272727273,0.201831501831502,-0.191666666666667,-0.191666666666667,-0.192857142857143,-0.188888888888889
"IKK",0.301206464320888,-0.0663641863278887,-0.0321428571428571,0.0666666666666667,0.1,0.0358974358974359,-0.182561132561133,0.174196829520201,-0.169047619047619,-0.0857142857142857,-0.1,-0.08,-0.08,0.0456209150326797,-0.05,-0.0277777777777778,0.0357142857142857,0.0237142857142857,-0.0259365079365079,-0.05,0.0752669552669553,0.0505050505050505,0.0689050505050505,0.0993808049535604,0,0.0999106160616062,0.104861111111111,-0.0547619047619048,0.1,0.0985185185185185,0.105415070242656,-0.1,-0.0389371970680065,-0.0358974358974359,-0.1,-0.0435897435897436,0.0412746016869728,0.00136612021857924,-0.0387222946544981,-0.0666666666666667,-0.0450514085785487,-0.0435897435897436,-0.0686961362659687,0.0909090909090909,0.0748148905532408,0.0956709956709957,-0.0163273960983885,0.0663641863278887,0.0663641863278887,0.113131313131313,-0.0567582417582418,-0.0350977443609023,-0.0350977443609023,-0.034314381270903,-0.0413919413919414
"cMet",0.15794327327174,-0.0542857142857143,-0.104285714285714,-0.3,-0.2,-0.190387596899225,-0.105,0.0418406428910631,-0.08,-0.1,-0.1,-0.08,-0.1,0.0234374614149895,0.02,0.02,0.095,0.105,-0.125,-0.075,0.00110232067510549,-0.00333333333333334,0.0158156028368794,0.0765737874097007,0.1,0.0845846217274789,0.0827664399092971,0.142063492063492,0.1,0.116363636363636,0.113238636363636,0.1,0.14323756748417,0.188484848484849,0.1,0.206666666666667,0.131974257626432,0.0411111111111111,0.178079904591533,0.2,0.174125102331646,0.206666666666667,0.189083466948236,0.114285714285714,0.0542857142857143,0.119548872180451,0.0399458456104308,0.0542857142857143,0.0542857142857143,0.138697808350664,0.0991551459293395,-0.0308802308802309,-0.0308802308802309,-0.0526881587615283,0.053968253968254
"NFB",0.303645488711132,-0.0748148905532408,-0.0521428571428571,0.0435897435897436,0.0666666666666667,0.0387222946544981,-0.191450021450021,0.177186862742793,-0.182561132561133,-0.169047619047619,-0.0857142857142857,-0.0985185185185185,-0.08,0.0395891690009337,-0.0277777777777778,-0.0505050505050505,0.0237142857142857,0.0259365079365079,-0.0252829131652661,-0.0357142857142857,0.0780557998884692,0.0689050505050505,0.0727025188594809,0.0958093763821318,0.1,0.102512846544878,0.0999106160616062,-0.0568895643363729,0.08,0.105415070242656,0.105415070242656,-0.1,-0.038616169780687,-0.0392682224142898,-0.0666666666666667,-0.0358974358974359,0.0376774793848145,0.00905842791088693,-0.0450514085785487,-0.0435897435897436,-0.0499925850491369,-0.0358974358974359,-0.0757711098668134,0.0956709956709957,0.0748148905532408,0.113131313131313,-0.0133136974682515,0.0748148905532408,0.0748148905532408,0.121518409905507,-0.0563660848954967,-0.0278180508743122,-0.0278180508743122,-0.0273657407875193,-0.0375457875457875
"Csn",-0.0457269634245624,-0.0334490635912609,-0.0142857142857143,-0.122988505747126,-0.133333333333333,-0.110554770807367,-0.100033333333333,0.133745377013373,-0.100833333333333,-0.0966666666666667,-0.08,-0.0223665223665224,-0.0253968253968254,0.0861843540595294,0.0477272727272727,0.0432496607869742,0.0266666666666667,0.0253679653679654,-0.0274512987012987,-0.0266666666666667,-0.064601993530713,-0.0509419684792819,-0.0554765746845325,0.000420819490586933,-0.02,0.00890656019309479,0.00813535196687371,0.0887919027384325,0.0142857142857143,0.0212912535493181,0.0204715814181705,0.133333333333333,-0.0172921484666829,0.110624639803001,0.133333333333333,0.114554770807367,0.0223771848405453,-0.0551903269144648,0.110876314215728,0.122988505747126,0.113702531894621,0.114554770807367,0.0230549569061863,0.12020202020202,0.0309538620557522,0.118903318903319,-0.0743986285476409,0.0334490635912609,0.0334490635912609,0.115057165057165,-0.0214613071439759,-0.0228387096774194,-0.0228387096774194,-0.0256988865024385,-0.0230065359477124
"ZEB1",-0.0953201445882236,-0.129796615865906,0.002729044834308,-0.154971857410882,-0.176923076923077,-0.151989831267091,0.0488163030527138,-0.196585814477562,0.0459591601955709,0.0508771929824561,0.0666666666666667,0.0541666666666667,0.0541666666666667,0.197416676839864,-0.0867816091954023,-0.0882308845577211,0.112,0.108470588235294,-0.104505830526043,-0.1,0.0499585025392171,0.0755405292277719,0.0676665134797404,-0.0749131007162095,-0.0666666666666667,-0.0811745046192115,-0.0821360430807499,0.0783571771731746,-0.0666666666666667,-0.0600490196078431,-0.0625401228106901,0.2,0.0632671240519249,0.160538112461673,0.185714285714286,0.156070758509783,-0.0550743002531388,-0.0458402203856749,0.158904724884112,0.163763066202091,0.163014313925208,0.14712872015598,0.181293451334705,-0.0166666666666667,0.12837929303126,-0.0225490196078431,-0.0648297163316475,0.129796615865906,0.129796615865906,-0.0275076972937936,0.105282071920646,0.0216779376956641,0.0216779376956641,0.0676628453587327,0.0259457940306678
"TWIST1",0.330776602482447,0.0039234607545803,-4.1072581118351e-05,0.0349206349206349,0.0571428571428571,0.0412267102859259,-0.0787576829949711,0.111955327136154,-0.071978021978022,-0.0576923076923077,-0.05,-0.02,0,-0.063763121572046,-0.0248484848484849,-0.0593312434691745,0.0510144927536232,0.0510144927536232,-0.0584771793207874,-0.0466666666666667,0.0869556268937364,0.0743312434691745,0.0754701956331836,0.113050226609549,0.1,0.114106050244664,0.107175357175357,-0.0626800081638791,-0.0333333333333333,0.0213698630136986,0.0228476955260139,-0.1,0.0506612951321656,-0.0418680033416876,-0.0571428571428571,-0.0338680033416876,0.0469311648648415,0.0469562491301622,-0.0511807684788815,-0.0349206349206349,-0.0554935919406411,-0.0327929753461668,-0.0486107200385067,0.00592592592592592,-0.00426592650800496,0.0238746438746439,0.0140070951970974,-0.0039234607545803,-0.0039234607545803,0.0285916250067193,-0.0966786448310074,0.0293381100398644,0.0293381100398644,0.0434528176641163,0.0153324994788409
"CD44",-0.149184149184149,0.0285714285714286,0.0976190476190476,0.2,0.1,0.206666666666667,0.08,-0.0330568591072793,0.1,0.1,0.1,0.1,0.1,-0.047032967032967,0,-0.02,-0.075,-0.095,0.105,0.1,0.0204166666666667,0.02,0.00333333333333334,-0.0824561403508772,0,-0.0827664399092971,-0.0888888888888889,-0.15,-0.1,-0.08,-0.116363636363636,-0.1,-0.143492020410379,-0.206666666666667,0,-0.2,-0.142843822843823,-0.0114814814814815,-0.190387596899225,-0.1,-0.178079904591533,-0.3,-0.196556776556777,-0.1,-0.0542857142857143,-0.114285714285714,-0.0382509303561935,-0.0285714285714286,-0.0285714285714286,-0.119548872180451,-0.102380952380952,0.046031746031746,0.046031746031746,0.0605006587615283,-0.0587301587301587
"cateninmemb",-0.0593888748924725,-0.0567194570135747,-0.0718004273118474,0.060921112631099,0.0725490196078431,0.0401853266779217,-0.0676382876382876,-0.0640211580807482,-0.0715343915343915,-0.0752380952380952,-0.08,0.0333333333333333,0.0333333333333333,-0.0430067063448595,-0.0345454545454545,-0.0305454545454545,0.0773262032085562,0.0721715640332984,-0.0717794071705533,-0.0890909090909091,0.0693587416817907,0.0329844789356984,0.039675256512552,0.0104060171963843,0.1,0.023406534021125,0.0251014492753623,0.0128151361231451,-0.0333333333333333,-0.0344086021505376,-0.0304715942765219,-0.0666666666666667,-0.0969437192892688,-0.0408521471138576,-0.0725490196078431,-0.0488521471138576,-0.0421716414520013,0.0392186019794366,-0.041057057686639,-0.060921112631099,-0.044791884950878,-0.0478776343702294,-0.120793326747178,0.0474641148325359,0.0623060491923456,0.0505568983376905,0.0350686573813355,0.0567194570135747,0.0567194570135747,0.0539026232447537,0.0677520115067214,0.111893240209529,0.111893240209529,0.131647078350989,0.119596812001875
"AXIN2",0.101809598474088,-0.0584075363054602,0.0241523226656467,0.0683720930232558,0.08,0.0654078811228968,-0.053768115942029,-0.0730633003871805,-0.0526570048309179,-0.051207729468599,-0.0555555555555556,0.0923076923076923,0.0923076923076923,-0.0633190841912951,-0.0233333333333333,-0.0344444444444444,-0.020650406504065,-0.017846668186308,0.0164673578414804,0.0133333333333333,0.0454966189158227,0.0388692232055064,0.0428296192451103,0.00221857615366743,0.0666666666666667,0.000546353807223372,-0.000644122383252818,-0.0850805192683686,-0.1,-0.090521978021978,-0.0882268960547649,-0.1,0.0541087155023106,-0.0650864716829826,-0.08,-0.0631996792301524,-0.0785251880904055,0.0599565756823821,-0.069979979598864,-0.0683720930232558,-0.0725307794259284,-0.0631996792301524,-0.0638364258958223,-0.0214035087719298,0.0591949378802633,-0.016046365914787,0.0649844977847958,0.0584075363054602,0.0584075363054602,-0.0133436632120843,0.0747256253789435,0.126243127787805,0.126243127787805,0.142436568683291,0.120344744995326
"SMO",0.108814449917898,0.179807692307692,-0.0324561403508772,0.05,0.1,2.77555756156289e-18,0.0977142857142857,0.146781280734769,0.0857142857142857,0.1,0.1,-0.0533333333333333,0.0666666666666667,0.0156318082788671,0,-0.02,-0.08,-0.0876923076923077,0.0846620046620047,0.1,-0.0681034482758621,0.0283333333333333,0.0391441441441441,0.0388278388278388,0,0.0280952380952381,0.0233333333333333,0.0255112703388565,-0.1,0.0408333333333333,0.0463888888888889,-0.1,0.0774127348069597,0.0916666666666667,0,0.075,-0.0262962962962963,-0.0398412698412698,-0.00485436893203884,0.05,-0.0176363238192569,-0.0166666666666667,-0.00609179803041375,-0.2,-0.16352862254025,-0.172727272727273,-0.00967741935483871,-0.179807692307692,-0.179807692307692,-0.167727272727273,-0.183384899889754,0.18319209039548,0.18319209039548,0.183996383363472,0.180555555555556
"FUS",0.116893444531902,0.16352862254025,-0.0478407557354926,0.0166666666666667,0.05,0.00485436893203884,0.0938681318681319,0.153350623800463,0.0977142857142857,0.0857142857142857,0.1,-0.0408333333333333,-0.0533333333333333,0.00568416429980951,-0.02,-0.0283333333333333,-0.0876923076923077,-0.0846620046620047,0.0743171770757978,0.08,-0.0523139745916515,0.0391441441441441,0.0551015909526548,0.0431756649147953,-0.1,0.0287403993855607,0.0280952380952381,0.0199212082270553,-0.0666666666666667,0.0463888888888889,0.055479797979798,-0.1,0.0757688991905213,0.0878205128205128,0.05,0.0916666666666667,-0.0275011155734047,-0.0264392079855997,-0.0176363238192569,0.075,-0.0241580629496917,-2.77555756156289e-18,-0.0163338836914938,-0.172727272727273,-0.156978404199639,-0.167727272727273,0.00447352404138771,-0.16352862254025,-0.16352862254025,-0.158636363636364,-0.183050451729219,0.187486568923088,0.187486568923088,0.185976581383274,0.17235883424408
"Ecadherin",-0.154333489784021,-0.165384615384615,-0.148720321386657,-0.0518467852257182,-0.0588235294117647,-0.0850240427508018,-0.20003848003848,-0.161012813771097,-0.207830687830688,-0.215238095238095,-0.22,-0.14375,-0.15,0.0663019924294982,-0.146909090909091,-0.121575757575758,0.123208556149733,0.111868349964166,-0.105201683297499,-0.129090909090909,0.135885760823292,0.113283074648928,0.117803870308964,0.0254166047138807,0.2,0.0543355440923606,0.0594202898550725,0.0564933967968203,0.166666666666667,0.140524193548387,0.142886398272797,0.1,-0.20550701519762,0.0836398886739941,0.0588235294117647,0.0656398886739941,0.102309658567845,0.175079851484346,0.0938658858392202,0.0518467852257182,0.0931189203863724,0.0666293939213704,0.101645360059994,0.171674641148325,0.172647185217018,0.164458146302965,0.16014835846473,0.165384615384615,0.165384615384615,0.166316882362444,0.167417766000413,0.240871886295052,0.240871886295052,0.255055399804003,0.245522737927801
"TGF",-0.0309497216241189,-0.185119047619048,-0.140789473684211,-0.0333333333333333,0,-0.0689937106918239,-0.253070175438597,0.0289895999244898,-0.258333333333333,-0.258333333333333,-0.233333333333333,-0.136666666666667,-0.153333333333333,-0.045,-0.26,-0.26,0.138095238095238,0.143358395989975,-0.150025062656642,-0.166666666666667,0.15304347826087,0.245714285714286,0.161785714285714,0.11244358478401,0.2,0.13919843597263,0.142424242424242,0.0380511463844797,0.133333333333333,0.140114942528736,0.155739942528736,0,0.0513370205624149,0.0499460916442048,0,0.0442857142857143,0.169121256750123,0.152813852813853,0.0637305527970871,0.0142857142857143,0.0603812705004363,0.0633333333333333,0.0620587500936306,0.253333333333333,0.197619047619048,0.263333333333333,0.109548633184997,0.185119047619048,0.185119047619048,0.270229885057471,0.180772217562824,0.241624020525622,0.241624020525622,0.251109570506122,0.227078565980168
