"","FOXC2","Ecadherin","GLI","SHH","FUS","cMet","LIV1","ERK","SMAD","ILK","SUFU","HEY1","cateninmemb","KLF4","GSK3","ZEB2","ZEB1","TrCP","Csn","SNAI2","RAF","PI3K","DELTA","RAS","AXIN2","STAT","EGR1","RKIP","cfos","DSH","MEK","NFB","SMO","miR200","TCFLEF","SNAI1","IKK","Wnt","Patched","SRC","cateninnuc","CD44","Csl","AKT","Frizzled","Jagged","Destcompl","NOTCHic","NOTCH","PAK1","TWIST1","CDC42","TGFR","TGF","SOSGRB2"
"RAF",0.164986737400531,0.00292329682354668,-0.041025641025641,0.113245901639344,0.1,-0.0912280701754386,0,0.187241379310345,0.142238399064553,0.143228498074454,0.1,0.11831204026326,-0.00113962702197996,0.025011956001913,-0.0869582348305752,-0.043011956001913,0.043011956001913,-0.2,-0.2,-0.0873608439703911,0.0448051948051948,0.0448051948051948,0.0448051948051948,0.031984681984682,0.038595874355368,0.1,-0.12,0.0721288515406162,-0.17,0.1,-0.172347762289068,-0.185714285714286,-0.1,-0.10259090624163,0.0761931051404736,-0.0871823305019164,-0.173214285714286,0.0833333333333333,-0.128,0.0333333333333333,0.0550735122651555,0.0489203778677463,-0.166666666666667,-0.188365800865801,0.0333333333333333,-0.121535694073894,0.227278298078813,-0.175757575757576,-0.164219114219114,-0.2,-0.125020796197267,-0.18,-0.170476190476191,-0.182625723186471,-0.243746031746032
"ERK",0.17447622689002,0.00565610002907531,-0.047496363285837,0.11779264787407,0.128,-0.0761931051404736,-0.0333333333333333,0.0890144289557349,0.143519256857934,0.14260740275459,0.1,0.119788925153114,-0.00570556145777326,0.0329918921624237,-0.0892907134573318,-0.0404110311175235,0.0404110311175235,-0.185714285714286,-0.173214285714286,-0.0946478279260382,0.0354767454767455,0.0354767454767455,0.0354767454767455,0.0325064484470425,0.0475521477018853,0.0912280701754386,-0.187241379310345,0.0701203483885857,-0.172347762289068,0.0833333333333333,-0.0775938161423644,-0.188365800865801,-0.113245901639344,-0.10384219623131,0.0693857799231481,-0.0912599658295518,-0.184836389101095,0.0682983682983683,-0.126971391835423,0.0489203778677463,0.0588302243675925,0.0550735122651555,-0.164219114219114,-0.191258407449719,0.041025641025641,-0.117792853860582,0.22501312894587,-0.1780877273578,-0.171162519601568,-0.170476190476191,-0.12284433188488,-0.182625723186471,-0.184085577201069,-0.187657005772498,-0.246227153644629
"SMO",0.105344827586207,-0.12014477523416,0.0666666666666667,0.0561111111111111,-0.0666666666666667,0.21,0.1,-0.103076923076923,0.00126984126984127,-0.00666666666666667,-0.1,-0.0183150183150183,-0.221882938372133,0.0472222222222222,0.222507912799175,-0.0396892655367232,0.0396892655367232,0,-0.1,-0.0615413245758073,-0.320192307692308,-0.320192307692308,-0.320192307692308,-0.322517889087657,-0.0473802060008957,-0.2,0.1,-0.0663492063492064,0.08,-0.1,0.0818648018648019,-0.15,-0.0533333333333333,0.0279083785412899,-0.210647249190939,-0.0798003072196621,-0.192857142857143,-0.1,-0.0283333333333333,-0.15,-0.192602136408984,-0.176666666666667,-0.266666666666667,-0.188857142857143,-0.05,-0.12521164021164,-0.285082359500964,-0.275757575757576,-0.295757575757576,-0.0666666666666667,-0.121677559912854,-0.106666666666667,-0.131666666666667,-0.128963963963964,-0.132456140350877
"Frizzled",-0.0139855004236889,-0.127763739014722,0.145112781954887,0.00826700181538891,0,0.123684210526316,0.1,-0.0356862745098039,-0.0334919759175356,-0.0344265553567879,0,-0.0277686852154937,-0.124437718590261,0.0249299719887955,0.158861024033438,-0.0359314554123992,0.0359314554123992,0.1,0.0666666666666667,-0.0175636353747417,-0.130075187969925,-0.130075187969925,-0.130075187969925,-0.137161802143153,-0.104369274136716,-0.1,0.0333333333333333,-0.050952380952381,0.0533333333333333,0,0.0430936819172113,0.0466666666666667,0.00909090909090909,0.046322601010101,-0.132530000497934,-0.0539164941338854,0.0466666666666667,-0.123684210526316,-0.0147186147186147,-0.15,-0.143006190974124,-0.145112781954887,0.0357142857142857,0.0341666666666667,-0.15,-0.0316117052881759,-0.248247734349796,0.019047619047619,0.0210084033613445,0.0666666666666667,-0.0475070028011204,0.0466666666666667,0.0510144927536232,0.0481573498964803,0.00909090909090908
"STAT",0.329415132924335,0.217612460355339,0.13385217723453,0.0930681896137751,0.075,0.131331168831169,0,0.22,0.0804653228941085,0.0747181964573269,0.05,0.068,0.0902953714021783,0.130976430976431,0.165220293724967,-0.0343733189887036,0.0343733189887036,0,-0.05,-0.0932681181907188,-0.210437344913151,-0.210437344913151,-0.210437344913151,-0.213422419540017,-0.0900585688820983,-0.114285714285714,-0.2,-0.170834942084942,-0.22,-0.114285714285714,-0.223225806451613,-0.09,-0.0816666666666667,-0.145221596133501,-0.136734388114514,-0.222098876367443,-0.113809523809524,-0.131331168831169,-0.0886434108527132,-0.126785714285714,-0.136853577625837,-0.133895271395271,-0.096078431372549,-0.125673930589185,-0.126785714285714,-0.0921947483078787,-0.160011424195731,-0.114997350291468,-0.123735214369138,-0.227272727272727,-0.270909999545682,-0.252272727272727,-0.265430622009569,-0.269778448096526,-0.351642036124795
"DSH",-0.00749199393018242,-0.123988497574863,0.132694481301292,0.0162424619380883,-0.00909090909090909,0.145112781954887,0.1,-0.0430936819172113,-0.0331146174269695,-0.0334919759175356,0,-0.0277686852154937,-0.132564927070826,0.0336678360664654,0.155380745611164,-0.0319944475383835,0.0319944475383835,0.0666666666666667,0.0466666666666667,-0.0316497820569302,-0.137161802143153,-0.137161802143153,-0.137161802143153,-0.137441914187971,-0.0870696960776443,-0.15,0.0533333333333333,-0.0460572760572761,0.0356862745098039,-0.15,0.0333192458269858,0.0466666666666667,-0.0147186147186147,0.047542113205223,-0.143006190974124,-0.0611628709454796,0.0341666666666667,-0.145112781954887,-0.00826700181538891,-0.123684210526316,-0.137040028908229,-0.132530000497934,0.019047619047619,0.0330172413793103,-0.123684210526316,-0.0246349611021294,-0.252255367937582,0.0210084033613445,0.0119174942704354,0.0466666666666667,-0.0397055843614041,0.0510144927536232,0.0481573498964803,0.047112053729233,0.0139689578713969
"Wnt",-0.0116599190283401,-0.121936233187217,0.123684210526316,0.0147186147186147,0,0.15,0,-0.0533333333333333,-0.0344265553567879,-0.0367521367521367,0,-0.0256410256410256,-0.13364406779661,0.0392156862745098,0.152194357366771,-0.0270205643232903,0.0270205643232903,0.1,0.1,-0.0349137931034483,-0.130075187969925,-0.130075187969925,-0.130075187969925,-0.130075187969925,-0.0787878787878788,-0.1,0,-0.0366666666666667,0.0333333333333333,0,0.0356862745098039,0.0666666666666667,0,0.051010101010101,-0.145112781954887,-0.0570910973084886,0.0466666666666667,-0.15,0.00909090909090909,-0.1,-0.132530000497934,-0.123684210526316,0.05,0.0466666666666667,0,-0.0184803921568627,-0.251696010211865,0.0357142857142857,0.019047619047619,0.1,-0.0294117647058824,0.0666666666666667,0.0466666666666667,0.0510144927536232,0.0242424242424242
"ILK",0.0302694541231127,-0.15511281019606,0.134136008918618,0.00982905982905983,0,0.120289855072464,0.1,-0.0299719887955182,-0.0302917967186875,-0.0294917967186875,0,-0.0240204486597383,-0.140182448034551,0.0157894736842105,0.0701178451178451,-0.0238267848158787,0.0238267848158787,0,-0.0333333333333333,-0.0317391144010406,-0.0698008658008658,-0.0698008658008658,-0.0698008658008658,-0.0739104548419617,-0.096,-0.1,0.0333333333333333,-0.0224789915966387,0.0476190476190476,-0.1,0.0381687101069936,-0.0333333333333333,0,0.0650095326324835,-0.127921319653081,-0.0103743961352657,-0.0392156862745098,-0.120289855072464,-0.0153846153846154,-0.133333333333333,-0.13390070109638,-0.134136008918618,0.05,-0.0520361990950226,-0.133333333333333,-0.031140350877193,-0.262456622007468,0.0346153846153846,0.0313895781637717,0,-0.112355609860956,-0.00588235294117647,-0.00588235294117647,-0.00994739359158297,0.00269230769230769
"TrCP",0.296733643836004,0.126050795593197,0.0888361146769363,0.0864624793764579,0.0595238095238095,0.103693693693694,0.05,0.209874723655122,0.0831967912613074,0.0799709848096945,0.0761904761904762,0.0739556692242114,0.0794849646706545,0.0303960447567005,0.0935800865800866,-0.0227658269513411,0.0227658269513411,-0.0333333333333333,-0.0833333333333333,-0.122672295212256,-0.155586109782666,-0.155586109782666,-0.155586109782666,-0.156495200691757,-0.0685178300337702,-0.11,-0.2,-0.147265000193177,-0.221739130434783,-0.11,-0.227208056988455,-0.0958333333333333,-0.0821044546850998,-0.132568421923453,-0.101064430767401,-0.210450525879667,-0.111622807017544,-0.102982456140351,-0.0734624793764579,-0.0766666666666667,-0.0938920169742976,-0.0888422085451789,-0.0974358974358974,-0.111622807017544,-0.0766666666666667,-0.0764922034764826,-0.101619210543648,-0.0928205128205128,-0.103809523809524,-0.247619047619048,-0.172420478072652,-0.257422969187675,-0.264998726763433,-0.264452278676001,-0.284323432343234
"SMAD",0.282490454973925,0.112589862813305,0.113193620927434,0.201726720325591,0.170833333333333,0.105873015873016,0.04,0.208627156789197,0.0795641344956413,0.176230801162308,0.183333333333333,0.138509770643283,0.0591556101079495,0.0284298144654897,0.00874015847700058,-0.0195305168103165,0.0195305168103165,-0.1,-0.155555555555556,-0.147107991849523,-0.0693976067600522,-0.0693976067600522,-0.0693976067600522,-0.0700555014968943,-0.0620173379278995,-0.111428571428571,-0.2,-0.16132821874364,-0.22258064516129,-0.138095238095238,-0.227857926019967,-0.16984126984127,-0.195833333333333,-0.128302560595699,-0.102746828627426,-0.206812246445311,-0.187488328664799,-0.131898656898657,-0.185741590214067,-0.0725396825396825,-0.092919067735835,-0.0866002886002886,-0.184761904761905,-0.188821661998133,-0.0992063492063492,-0.181137969557324,-0.129617698619711,-0.179014778325123,-0.193300492610837,-0.219047619047619,-0.184173292097061,-0.228906773977197,-0.238403980681107,-0.237607167932103,-0.272108843537415
"ZEB2",-0.281888111888112,-0.182984874456309,-0.17610081050448,-0.160182134938232,-0.153571428571429,-0.150175438596491,-0.15,-0.148273910582909,-0.141370908377092,-0.137102615694165,-0.125,-0.118826979472141,-0.116347424473557,-0.0817602646449573,-0.0706642698909345,-0.00959782551677502,0.00959782551677502,0.1,0.111111111111111,0.114430756675395,0.11530303030303,0.11530303030303,0.11530303030303,0.119799818311596,0.126201099203527,0.13,0.133333333333333,0.134782608695652,0.13859649122807,0.140909090909091,0.142176349607299,0.148611111111111,0.150714285714286,0.157050287329032,0.157595887214123,0.158418215133667,0.159722222222222,0.161421911421911,0.162909407665505,0.163333333333333,0.16473874435698,0.164990253411306,0.171794871794872,0.171871754932503,0.174242424242424,0.181367945046367,0.191679069552067,0.191794871794872,0.193434216057167,0.203896103896104,0.211044301494408,0.227532467532468,0.235015460729746,0.240306466020752,0.275695970695971
"ZEB1",-0.307563124205397,-0.146576601803604,-0.0978784835146414,-0.179609682760196,-0.183333333333333,-0.054489938564544,-0.1,-0.130039215686274,-0.142283706961743,-0.139879860807896,-0.133333333333333,-0.119026293223184,-0.0431242417948881,0.0259614283139407,-0.0564150055633153,-0.00656081784576361,0.00656081784576361,0.133333333333333,0.133333333333333,0.111966002889068,0.174353297492987,0.174353297492987,0.174353297492987,0.181124951036294,0.0751772083195323,0.0307692307692308,0.133333333333333,0.16295511065337,0.105333333333333,0.0428571428571429,0.114620713483631,0.180701754385965,0.165151515151515,0.168462595491147,0.0656306005030783,0.181342316949366,0.18561978717285,0.0672942910747789,0.190641711229946,0.0917448405253283,0.0811883304443699,0.0850454941200996,0.170833333333333,0.198476930029993,0.10383275261324,0.156353359866906,0.166540521635744,0.19828431372549,0.190019850915573,0.221455938697318,0.256767140433617,0.246093619856738,0.248631690922728,0.255718305095956,0.23906432748538
"GLI",0.219853371173031,0.115106145085569,0.105323589971335,0.144189784425791,0.130357142857143,0.0948937844217152,0.05,0.101861471861472,0.0304287692876395,0.0282666071254773,0.142857142857143,0.0280530260156746,0.0795842903177553,0.0104890604890605,0.179734305321904,-0.0017131763099505,0.0017131763099505,0.0333333333333333,-0.0222222222222222,-0.107939666975515,-0.0299379640241168,-0.0299379640241168,-0.0299379640241168,-0.0277597462023346,-0.0626600241545894,-0.11,-0.0942857142857143,-0.119223401557066,-0.110952380952381,-0.24,-0.116778598933295,-0.0274853801169591,-0.146146616541353,-0.106212250082219,-0.0891279984835155,-0.146686202152915,-0.0336078290965509,-0.222770398481973,-0.13390171858217,-0.0680645161290323,-0.0807000247835752,-0.0767903361458531,-0.0338815207780725,-0.0289203290965509,-0.198064516129032,-0.0241349440382542,-0.0728547039028936,-0.0213815207780725,-0.0290005683971201,-0.0916666666666667,-0.128133964695934,-0.0985632183908046,-0.101707872478855,-0.0977078724788549,-0.033540589204306
"Csn",0.0634037985084401,0.122567796818712,-0.0870062693175956,0.0189270509735872,0.0365079365079365,-0.104036837003185,-0.0666666666666667,0.0968398268398268,0.0504778936275527,0.0491925465838509,0.0142857142857143,0.0439285714285714,0.11389982779562,-0.0136507936507937,-0.134305074845522,0.00862365591397849,-0.00862365591397849,0.02,-0.08,-0.0133524321389748,0.0904732193474155,0.0904732193474155,0.0904732193474155,0.0891296492898339,0.0666481743783443,0.116666666666667,-0.103333333333333,0.0169264251307986,-0.0851515151515151,0.116666666666667,-0.0864231601731602,-0.0966666666666667,-0.0152958152958153,-0.0804044820282309,0.0986006097791766,0.00997259852799176,-0.0925,0.104036837003185,-0.0271237722850626,0.0787356321839081,0.0906030150708182,0.0867035036698518,-0.0702020202020202,-0.0965,0.0787356321839081,-0.0182992022370261,0.23337432845105,-0.0818903318903319,-0.0741980241980242,-0.0659090909090909,-0.00266713417484806,-0.0793419267299864,-0.0806239780120377,-0.0822946224034458,-0.0700219070679119
"IKK",0.043982683982684,0.139722593955125,0.0756410256410256,-0.0787228607918263,-0.08,0.0525641025641026,0.1,0.0342857142857143,-0.0627956545654565,-0.0618055555555556,-0.1,-0.0672858617131063,0.10977223893425,-0.0267399267399267,-0.00943223443223443,0.0103107769423559,-0.0103107769423559,0,0.1,0.0013115169964485,-0.0491228070175439,-0.0491228070175439,-0.0491228070175439,-0.0519397084259946,-0.0754761904761905,-0.05,0,-0.00692167577413479,-0.0142857142857143,-0.05,-0.0142857142857143,0.114285714285714,0.08,-0.0715496098104794,-0.06038678835289,-0.00118744698897371,0.0142857142857143,-0.0525641025641026,0.0614814814814815,-0.0833333333333333,-0.0713572524879111,-0.0756410256410256,-0.0727272727272727,0.000772200772200771,-0.0833333333333333,-0.0080990315526398,0.107652110908852,-0.087012987012987,-0.0822510822510822,-0.05,-0.0526470588235294,-0.0388888888888889,-0.0343434343434343,-0.0431434343434343,0.00126050420168067
"NOTCH",-0.248571428571429,-0.00789190718732315,0.0120745920745921,-0.0624057315233786,-0.0333333333333333,-0.00307692307692308,0,-0.22,-0.0747619047619048,-0.0714285714285714,0,0.0289855072463768,-0.000951027440224399,-0.0241545893719807,-0.0188523162661094,0.0167471819645733,-0.0167471819645733,0,0,0.0888158682276329,0.0624242424242424,0.0624242424242424,0.0624242424242424,0.0580764163372859,-0.011266846361186,0,0.2,0.119628647214854,0.22,0,0.227142857142857,0.0333333333333333,0.0583333333333333,0.122424242424242,-0.00218448218448219,0.174358974358974,0.0666666666666667,0.00307692307692308,0.0506410256410256,-0.02,-0.00749060463346178,-0.0120745920745921,0.12,0.0777777777777778,-0.02,0.035969215969216,-0.0119528019341103,0.134285714285714,0.0504147465437788,0.2,0.119525423728814,0.211111111111111,0.231111111111111,0.237562724014337,0.225263157894737
"Csl",-0.250870279146141,-0.00879667587566675,0.00723588239717272,-0.0652144078303864,-0.0506410256410256,0.00218448218448219,0.02,-0.224285714285714,-0.0800256937307297,-0.078359027064063,-0.0583333333333333,0.0254862613941898,-0.00301695346264222,-0.0212974465148378,-0.0197116256540036,0.0171359685412051,-0.0171359685412051,0.0333333333333333,0.0666666666666667,0.0869379886803206,0.0595542488496012,0.0595542488496012,0.0595542488496012,0.0602895429672482,-0.00673599803213714,0.00307692307692308,0.22,0.122523435298193,0.227142857142857,0.00307692307692308,0.232981366459627,0.0777777777777778,0.0624057315233786,0.123789361368416,-0.00336846722888162,0.175398353659223,0.0847545219638243,-0.00239717271975337,0.0591799250717657,-0.0120745920745921,-0.00559831285495367,-0.00749060463346178,0.0504147465437788,0.0839793281653747,-0.0120745920745921,0.0411706508478032,-0.0113970432503809,0.0477831675964104,0.051419531232774,0.231111111111111,0.125121914209669,0.237562724014337,0.240747437390133,0.240520680020519,0.244257984206636
"NFB",0.0491619668512099,0.144538003264917,0.059910688562374,-0.0702891258520673,-0.08,0.0756410256410256,0.05,0.0142857142857143,-0.0616804129297688,-0.0627956545654565,-0.08,-0.065500147427392,0.101218912640691,-0.0113553113553114,-0.0145302736479207,0.0198893210036586,-0.0198893210036586,0.1,0.114285714285714,-0.0141356374750962,-0.0519397084259946,-0.0519397084259946,-0.0519397084259946,-0.0494521462369398,-0.0556180344478217,-0.0833333333333333,-0.0142857142857143,0.00461678576432675,-0.0342857142857143,-0.0833333333333333,-0.0227824463118581,0.0142857142857143,0.0614814814814815,-0.0676221173633495,-0.0713572524879111,-0.0063929264410285,0.000772200772200771,-0.0756410256410256,0.0787228607918263,-0.0525641025641026,-0.0635925466055582,-0.06038678835289,-0.087012987012987,0.00299442299442299,-0.0525641025641026,0.00197291089340337,0.103997625859019,-0.0822510822510822,-0.0906381790252758,-0.0388888888888889,-0.0396311858076564,-0.0343434343434343,-0.0431434343434343,-0.0425105229510293,0.00652366209641752
