"","KLF4","cfos","SOSGRB2","ERK","MEK","EGR1","NOTCHic","NOTCH","Jagged","RKIP","TrCP","SUFU","FUS","SMO","Patched","SHH","Destcompl","CD44","SMAD","Frizzled","TCFLEF","Wnt","cateninnuc","cateninmemb","GLI","Ecadherin","RAS","PI3K","DELTA","FOXC2","PAK1","TGF","SNAI2","TGFR","CDC42","RAF","HEY1","AKT","IKK","NFB","ILK","Csn","cMet","DSH","SRC","STAT","LIV1","AXIN2","TWIST1","Csl","SNAI1","GSK3","ZEB2","ZEB1","miR200"
"KLF4",0.266666666666667,0.169090909090909,0.107961692395655,0.180855614973262,0.190133965488726,0.16,0.157799043062201,0.156768115227149,0.266146926536732,0.257658214801072,0.1,0.2,0.233333333333333,0.266666666666667,0.266666666666667,0.261290322580645,0.279915879538693,0.257746188465275,0.0241159420289855,0.272549019607843,0.250053880772967,0.265572275421797,0.244200829714437,0.358905518600641,0.256951585766624,0.270844017487543,-0.0482202111613876,-0.0541025641025641,-0.0541025641025641,-0.060350429073962,-0.109090909090909,-0.111985218033999,0.088048314074395,-0.114424242424242,-0.121090909090909,0.0541025641025641,-0.00294881588999236,-0.0773544973544974,-0.0847619047619048,-0.08,-0.0226666666666667,-0.1,-0.265572275421797,-0.266666666666667,-0.272549019607843,-0.266666666666667,-0.233333333333333,-0.32788266254418,-0.343407407407407,-0.147272727272727,-0.285399514004593,-0.294049154116442,-0.341357069143447,-0.341357069143447,-0.351986161986162
"FOXC2",0.266666666666667,0.169090909090909,0.107961692395655,0.180855614973262,0.190133965488726,0.16,0.157799043062201,0.156768115227149,0.266146926536732,0.257658214801072,0.1,0.2,0.233333333333333,0.266666666666667,0.266666666666667,0.261290322580645,0.279915879538693,0.257746188465275,0.0241159420289855,0.272549019607843,0.250053880772967,0.265572275421797,0.244200829714437,0.358905518600641,0.256951585766624,0.270844017487543,-0.0482202111613876,-0.0541025641025641,-0.0541025641025641,-0.060350429073962,-0.109090909090909,-0.111985218033999,0.088048314074395,-0.114424242424242,-0.121090909090909,0.0541025641025641,-0.00294881588999236,-0.0773544973544974,-0.0847619047619048,-0.08,-0.0226666666666667,-0.1,-0.265572275421797,-0.266666666666667,-0.272549019607843,-0.266666666666667,-0.233333333333333,-0.32788266254418,-0.343407407407407,-0.147272727272727,-0.285399514004593,-0.294049154116442,-0.341357069143447,-0.341357069143447,-0.351986161986162
"SRC",0.417248062015504,0.0606060606060606,0.00857142857142857,0.0606060606060606,0.05494568324757,0.0333333333333333,0.0747619047619048,0.0819047619047619,0.00522053634438955,0.148289345063539,-0.1,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0296296296296296,0.0237472766884532,0.124513457556936,0.0468032786885246,0.000758653390232338,0.075,0.0407057177129148,0.055,0.0369025857218634,0.0492287831163,0.0468032786885246,-0.0494986277339219,0.0118147684605757,0.0118147684605757,0.0118147684605757,-0.0739495798319328,-0.111111111111111,-0.0806890331890332,-0.0392031444975066,-0.0843253968253968,-0.0986111111111111,-0.0118147684605757,0.0299569678914267,0.0564102564102564,0.0397435897435897,0.0166666666666667,-0.00526315789473684,0.05,-0.055,-0.1,-0.075,0,0,-0.0972438267669684,-0.151677403056713,-0.07,-0.0857902051941709,0.0376623376623377,-0.337219227313567,-0.337219227313567,-0.340468452642366
"cateninnuc",0.260323326337561,0.137646652864044,0.0648500306077908,0.128785893370373,0.126492315388722,0.129710144927536,0.0630585847968584,0.061694948433222,0.104504219945269,0.207978687978688,-0.0333333333333333,0.133333333333333,0.113333333333333,0.105136612021858,0.103273257984591,0.0978266348909089,0.221617262851167,0.0881538751103969,-0.00299381655179745,0.0992687677619184,0.0858387145428091,0.0916600721097445,-0.0152935693566662,0.0769066153691302,0.086916989105792,-0.0593876064119681,0.0582850732850733,0.0574433224433225,0.0574433224433225,-0.0149863579043907,-0.0125714285714286,-0.00902025655918142,-0.011767847311242,-0.0114220032840722,-0.0125714285714286,-0.0574433224433225,0.0128232939683293,0.0459848484848485,0.0459848484848485,0.0359848484848485,0.00231168831168831,0.0208333333333333,-0.0929157798723016,-0.108857808857809,-0.100524475524476,-0.108857808857809,-0.124242424242424,-0.244200829714437,-0.187372032115117,-0.0618957940991839,-0.229229363855196,-0.236377613331347,-0.315138898959587,-0.315138898959587,-0.325743106362716
"Csn",0.304721683545213,0.0584848484848485,0.0655159690995042,0.0493939393939394,0.0441856060606061,0.0766666666666667,0.0532467532467532,0.0513236763236763,-0.0451575669991658,-0.0438205738752417,-0.18,-0.0142857142857143,-0.0142857142857143,-0.0233766233766234,-0.0309035050970535,-0.0350018657527912,-0.197702027482013,-0.00564797119512532,-0.0238112269608861,0.00919540229885058,-0.00661260142020571,-0.00164797119512532,-0.00595114621876253,-0.127251145987188,-0.00557810219949213,-0.18251390736919,-0.0422780193436451,-0.0393989406488274,-0.0393989406488274,-0.0975694425756589,-0.115909090909091,-0.0939180273175571,-0.050459441979451,-0.096065998677939,-0.102476255088195,0.0393989406488274,0.0262458471760797,0.100666666666667,0.0966666666666667,0.0883333333333333,0.0225258799171843,0.08,0.00164797119512532,-0.0333333333333333,-0.00919540229885058,-0.0333333333333333,-0.0666666666666667,-0.0267152581051306,-0.034632226897304,-0.0545454545454545,0.0456761284609475,0.111309687699096,-0.303685690653433,-0.303685690653433,-0.316264027021368
"IKK",0.278388278388278,0.0428571428571429,-0.0369747899159664,0.0228571428571429,0.00285714285714285,0,0.0489177489177489,0.040981240981241,-0.0853717588253671,0.0241347905282332,-0.2,0.1,0.08,0.04,0.0362962962962963,0.0190549169859515,-0.313742682283326,-0.231025641025641,0.0665772827282728,-0.183333333333333,-0.236110386788353,-0.214102564102564,-0.236110386788353,-0.345028714302457,-0.231025641025641,-0.349971368769802,0.0767865511276978,0.0753781004234725,0.0753781004234725,-0.0661471861471861,-0.05,-0.0252888888888889,-0.133645357686454,-0.0388888888888889,-0.0388888888888889,-0.0753781004234725,-0.066047471620227,-0.000321750321750322,0.00238095238095238,0.0857142857142857,-0.0715277777777778,0.1,0.214102564102564,0.15,0.183333333333333,0.15,0.1,0.261666666666667,0.011078431372549,-0.0727272727272727,-0.00494062765055132,0.196776556776557,-0.265689223057644,-0.265689223057644,-0.280278706800446
"NFB",0.270695970695971,0.0228571428571429,-0.0506590004422822,0.00285714285714285,-0.00302521008403362,0.0428571428571429,0.040981240981241,0.0338844667876926,-0.0904077300483886,0.0151604315538742,-0.1,0.08,0.04,0.0362962962962963,0.0190549169859515,0.009416362769084,-0.316898828462728,-0.236110386788353,0.0684360187877524,-0.214102564102564,-0.236110386788353,-0.231025641025641,-0.233992739729529,-0.344500731197917,-0.236643618553731,-0.346279554965629,0.0742989889386431,0.0767865511276978,0.0767865511276978,-0.0665455925216882,-0.0388888888888889,-0.0221243319268636,-0.133238853621413,-0.0252888888888889,-0.0388888888888889,-0.0767865511276978,-0.0642617573345128,0.00412269412269412,-0.000321750321750322,0.00238095238095238,-0.0665772827282728,0.0857142857142857,0.231025641025641,0.183333333333333,0.214102564102564,0.183333333333333,0.15,0.273723404255319,0.0202847805788982,-0.0489177489177489,0.0068401942672569,0.205404007756949,-0.254578111946533,-0.254578111946533,-0.268496229459056
"Frizzled",0.243977591036415,0.0333333333333333,0.0545454545454545,0.0274509803921569,0.0237472766884532,0.0333333333333333,0.0571428571428571,0.0591036414565826,-0.00182932263814617,-0.0080952380952381,-0.1,0,0,0.00909090909090909,0.00432900432900433,0.00110319787739143,-0.146478789028191,0.0520676691729323,-0.013138912573818,0.075,0.0487564108947866,0.0592105263157895,0.0478040299424057,-0.0527717245090127,0.0520676691729323,-0.150303289681732,-0.0584716982147567,-0.0608339029391661,-0.0608339029391661,-0.0994557951228698,-0.133333333333333,-0.108861283643892,-0.0151705101707821,-0.113623188405797,-0.126666666666667,0.0608339029391661,0.0235133660665576,0.0529166666666667,0.0466666666666667,0.0466666666666667,0.0122043331345657,0.0666666666666667,-0.0592105263157895,-0.2,-0.075,-0.1,-0.1,-0.101606765327696,-0.0712605042016807,-0.0571428571428571,0.0146997929606625,0.0713636363636364,-0.253463452514548,-0.253463452514548,-0.259785353535354
"Wnt",0.23921568627451,0.0333333333333333,0.0575757575757576,0.0333333333333333,0.0274509803921569,0,0.0571428571428571,0.0571428571428571,0.00120098039215686,-0.0116666666666667,-0.1,0,0,0,0.00909090909090909,0.00432900432900433,-0.141439001229783,0.0592105263157895,-0.0122043331345657,0.2,0.0520676691729323,0.075,0.0487564108947866,-0.0492796610169492,0.0592105263157895,-0.14820538758383,-0.0608339029391661,-0.0699248120300752,-0.0699248120300752,-0.101781376518219,-0.1,-0.113623188405797,-0.0142241379310345,-0.126666666666667,-0.133333333333333,0.0699248120300752,0.0256410256410256,0.0466666666666667,0.0466666666666667,0.0666666666666667,0.0145299145299145,0.1,-0.075,-0.2,-0.1,-0.1,0,-0.110909090909091,-0.0741176470588235,-0.1,0.0146997929606625,0.0659090909090909,-0.246532759445242,-0.246532759445242,-0.253535353535354
"cMet",0.322222222222222,0.045,-0.144761904761905,0.045,0.0431818181818182,0.025,-0.00150375939849624,0.00913453847384419,0.0873710347623391,0.22,0.1,0.1,0.1,0.1,0.0909090909090909,0.0846590909090909,0.11353489798868,0.0363565891472868,0.0827664399092971,0.05,0.0317412045319022,0.0433333333333333,0.0294813175262525,0.0386388226245878,0.0342424242424242,-0.0132804717116911,-0.0447978436657682,-0.0485714285714286,-0.0485714285714286,0.0912341772151899,0.0866666666666667,0.0908333333333333,-0.0317291305612474,0.0908333333333333,0.0741666666666667,0.0485714285714286,-0.0816649466804266,-0.174583333333333,-0.193333333333333,-0.2,-0.0827664399092971,-0.2,-0.0433333333333333,-0.1,0.05,0,0.1,-0.0620634920634921,-0.122880190970079,-0.0142857142857143,-0.153454257111706,0.0235407066052227,-0.233333333333333,-0.233333333333333,-0.249393115942029
"SNAI2",0.175769230769231,0.127450980392157,0.082183908045977,0.137254901960784,0.139957604663487,0.133333333333333,0.10219298245614,0.0995955798587378,0.126505997609822,0.145371794871795,0.1,0.1,0.12,0.137647058823529,0.131524609843938,0.130116159139712,0.164455140461035,0.12163975052662,0.0209345386513659,0.129090909090909,0.118134595887445,0.124865556978233,0.115805403340861,0.154582972483339,0.121122241470212,0.0849660525553951,-0.0516990747288565,-0.0530689377425551,-0.0530689377425551,-0.0590181018104698,-0.0843137254901961,-0.0800402212166918,-0.00588449747689026,-0.0800402212166918,-0.0843137254901961,0.0530689377425551,-0.00468655816757083,-0.0640908461431935,-0.0701149425287356,-0.0666666666666667,-0.0204560697518444,-0.0666666666666667,-0.124865556978233,-0.129090909090909,-0.129090909090909,-0.129090909090909,-0.12,-0.178532101530422,-0.164481481526819,-0.0969298245614035,-0.157596735959642,-0.171786301213393,-0.209870358716174,-0.209870358716174,-0.224489444373871
"Destcompl",0.172686654353525,-0.0593939393939394,-0.0159040626632586,-0.065404868355688,-0.065404868355688,-0.0533333333333333,0.00348609479044261,0.00328569398883941,-0.219134270684454,0.0844735559247435,-0.2,-0.144444444444444,-0.154789272030651,-0.154789272030651,-0.153234867885574,-0.153041444287895,-0.0307290794839124,-0.217260647188065,-0.0216374269005848,-0.219623831267667,-0.215205852667517,-0.218633732257766,-0.213676020949006,-0.258554316647066,-0.216592915931235,-0.115212749738726,0.152046438176696,0.152674381661782,0.152674381661782,0.0870201072030765,0.127755102040816,0.128807733619764,-0.0996062424270436,0.12811807844735,0.127065446868403,-0.152674381661782,0.0226083318391011,0.179655878313596,0.183011583011583,0.185714285714286,0.0222222222222222,0.185714285714286,0.219126318829856,0.218253968253968,0.219623831267667,0.218253968253968,0.211111111111111,0.271124774698149,0.0714195716256622,-0.00348609479044261,-0.0628132484683096,-0.0566563362328012,-0.15827918740731,-0.15827918740731,-0.169923893520087
"ZEB1",0.0907677220809218,0.170666666666667,0.14187134502924,0.176549019607843,0.177870605510927,0.166666666666667,0.15796568627451,0.155486347431535,0.17627208263315,0.175085700888409,0.133333333333333,0.133333333333333,0.145833333333333,0.150378787878788,0.148418003565062,0.147350387906699,0.24401784996506,0.235376430121767,0.0875471221147103,0.235772357723577,0.230855153526023,0.231926203877423,0.228506816931111,0.269013548248853,0.227458849925533,0.13281018401476,-0.0366707095498664,-0.0390329142742758,-0.0390329142742758,-0.00987287859220705,-0.0492337164750958,-0.0467172521763686,0.0750822179071622,-0.0482920553259749,-0.0477844411127769,0.0390329142742758,-0.0728967836998925,-0.103573688319159,-0.106430831176301,-0.108070175438596,-0.0880278913454796,-0.113333333333333,-0.239543096788434,-0.233333333333333,-0.243464665415885,-0.241025641025641,-0.233333333333333,-0.282494065978953,-0.291005327013322,-0.152083333333333,-0.21285434610288,-0.247031142728629,-0.107112618545285,-0.107112618545285,-0.0650289358673154
"TWIST1",-0.00650406504065041,0.128405797101449,0.206804357605273,0.131037376048818,0.140490112367226,0.106666666666667,0.0913390313390313,0.0951126162446917,0.165489122399,0.0590627416714373,-0.1,0.1,0.111111111111111,0.139111111111111,0.151439878234399,0.148976824047207,0.29839543933664,0.269401415184548,-0.0971125490927471,0.273015873015873,0.264347816409663,0.27406850459482,0.259919984322256,0.346718159968304,0.27006850459482,0.308623325828671,-0.00581958356762755,-0.0116415013758467,-0.0116415013758467,0.00891895051684999,-0.0309090909090909,-0.0417409187309431,0.117783906391041,-0.0447021943573668,-0.0447021943573668,0.0116415013758467,0.110579251257217,0.0713820078226858,0.0730769230769231,0.0730769230769231,0.0981026481026481,0.05,-0.273015873015873,-0.261904761904762,-0.273015873015873,-0.261904761904762,-0.233333333333333,-0.335331603879991,-0.270062111801242,-0.0785185185185185,-0.108438800401779,-0.294596406272395,-0.0412131429675289,-0.0412131429675289,-0.0231513118820529
"RAS",-0.0282142857142857,-0.04,-0.0826839826839827,-0.0347368421052632,-0.0366976264189886,-0.04,0.0157894736842105,0.0176762661370407,0.0468716735659373,0.119899371069182,0,0.1,0.1,0.1,0.088,0.0795254237288136,0.11369927997835,-0.162265331664581,0.0907235621521336,-0.15,-0.166880716279965,-0.155882352941176,-0.169996863588747,-0.0833180604528497,-0.16421568627451,-0.053232869783838,0.0174358974358974,0.117435897435897,0.117435897435897,-0.0314285714285714,-0.06,-0.0170879440885265,-0.0630402323991006,-0.0141176470588235,-0.02,-0.117435897435897,-0.000197628458498024,-0.0355555555555556,-0.0466666666666667,-0.0666666666666667,-0.0948051948051948,-0.1,0.155882352941176,0.1,0.15,0.1,0,0.18832674571805,-0.0734642662302237,0,-0.085614552605703,0.023733850129199,0.0189359351988218,0.0189359351988218,0.0342769230769231
"SOSGRB2",-0.0849122807017544,-0.0142857142857143,-0.0330555555555556,-0.0115830115830116,-0.00552240552240552,-0.0476190476190476,0.0755244755244755,0.085383630454053,0.02554138319594,-0.0789108187134503,-0.3,0,0,0.0166666666666667,0.0247747747747748,0.0247747747747748,-0.00883095279068434,0.082815734989648,0.014032634032634,0.0857142857142857,0.0817631034107007,0.0857142857142857,0.08080708046615,0.112962637962638,0.0871635610766046,0.0810827607182184,-0.00685209329277126,-0.00941619585687382,-0.00941619585687382,-0.0331501831501832,-0.0357142857142857,-0.0420481646013561,0.00823188409793399,-0.0441758241758242,-0.0557142857142857,0.00941619585687382,0.0846590909090909,0.150877192982456,0.150877192982456,0.166666666666667,-0.0133333333333333,0.2,-0.0813664596273292,-0.1,-0.0857142857142857,-0.1,0,-0.112101210121012,-0.0177971014492754,-0.0909090909090909,0.0606147832267235,0.0597345992016399,0.0806265664160401,0.0806265664160401,0.0771989076414642
"ERK",-0.107543959160522,0.0398312545854732,0.055611034057636,-0.0568354120811934,-0.0532142421647589,0.033448275862069,0.00135152762889989,0.00439861904164227,-0.0590900661847479,-0.195657298251363,-0.185714285714286,-0.08,-0.068,-0.0630819672131148,-0.058506803814422,-0.0589898956018616,-0.096016118581475,0.1100630653664,-0.0785359206817136,0.113846153846154,0.110248938972348,0.114545454545455,0.109623938972348,0.136521154408882,0.114796081111871,0.103550371628197,-0.045984664400506,-0.0474148074148074,-0.0474148074148074,-0.0428233804095873,-0.0619047619047619,-0.0581367020772847,0.110018048192598,-0.059510328450911,-0.0609701824655096,0.0474148074148074,0.0777102991720489,0.148093964858671,0.148093964858671,0.151623376623377,0.0779280179461513,0.160714285714286,-0.109808612440191,-0.11,-0.109109311740891,-0.105263157894737,-0.1,-0.146281139119978,0.044773591152803,-0.000621600621600621,0.178388843873508,0.0106422469776867,0.0996848769083204,0.0996848769083204,0.0999035598648806
"MEK",-0.11219512195122,0.033448275862069,0.0526984126984127,0.0398312545854732,-0.0568354120811934,0.03,0.000621600621600621,0.00135152762889989,-0.0587888613654708,-0.202063983488132,-0.2,-0.1,-0.08,-0.068,-0.0630819672131148,-0.058506803814422,-0.0957530595810992,0.109808612440191,-0.0779280179461513,0.11,0.1100630653664,0.113846153846154,0.110248938972348,0.137625110250648,0.114545454545455,0.105026513063144,-0.0474148074148074,-0.0502719502719503,-0.0502719502719503,-0.0447037222899292,-0.0666666666666667,-0.059510328450911,0.11046890482019,-0.0609701824655096,-0.0619047619047619,0.0502719502719503,0.0780515961003766,0.148093964858671,0.151623376623377,0.160714285714286,0.0768210068760406,0.185714285714286,-0.109109311740891,-0.1,-0.105263157894737,-0.1,-0.1,-0.145142927737864,0.0479636050224286,0.00707070707070707,0.179314769799434,0.0107330734990309,0.105511648561864,0.105511648561864,0.106031010845273
