"","GSK3","ZEB1","miR200","ZEB2","Destcompl","cateninnuc","DSH","RKIP","cfos","TGFR","SUFU","EGR1","Patched","MEK","ERK","HEY1","ILK","TWIST1","SMAD","RAS","SNAI2","RAF","PI3K","SOSGRB2","KLF4","TrCP","DELTA","Csn","IKK","FOXC2","AKT","SHH","FUS","SMO","NFB","TGF","CDC42","PAK1","NOTCHic","NOTCH","Jagged","LIV1","Csl","SNAI1","Frizzled","GLI","Wnt","cateninmemb","SRC","STAT","CD44","cMet","TCFLEF","Ecadherin","AXIN2"
"AKT",-0.0714196496454561,-0.131395299642667,-0.0834402101759865,-0.0924775585638281,-0.285330436704894,-0.14928725627643,-0.133333333333333,-0.103544026306175,-0.0176470588235294,0.0737288378766141,-0.05,0,-0.0743589743589744,-0.0160077145612343,-0.0160077145612343,-0.0438001724116567,-0.0398101640656262,-0.168903058944713,-0.0354330596885219,0.018266271990649,-0.115786194913184,0.0213988021111309,0.0213988021111309,0.0667521367521367,-0.0968229869545659,0.0333333333333333,-0.0213988021111309,0.0333333333333333,0.0432880844645551,-0.114908612995904,-0.0557018145253439,0.073306342780027,0.0666666666666667,0.0743589743589744,0.0509803921568627,-0.077656330323744,-0.0664117647058824,-0.0544117647058824,-0.0301488833746898,-0.026490346789324,0.0818333914255838,0.1,-0.0269230769230769,0.0990731357378954,0.13768115942029,0.147049444766229,0.145373467112598,-0.13512803385983,0.13768115942029,0.133333333333333,0.147068382366835,0.145373467112598,0.149748794737969,-0.126251769150913,0.195645521746605
"DSH",-0.162131358387459,-0.120194266062922,-0.0736693920916482,-0.0895475256808434,-0.275789275483791,-0.160938188736985,-0.15,-0.111681651681652,-0.0376470588235294,-0.0160662525879917,-0.05,-0.02,-0.0701508169250105,-0.0287915868101627,-0.0265359477124183,-0.0339948890228845,-0.0297536581605262,-0.0773669467787115,-0.0256027147642998,-0.00271600935894834,-0.067924232349182,0.00372656767186398,0.00372656767186398,0.0454545454545454,-0.0953876696309592,-0.0666666666666667,-0.00372656767186398,-0.0466666666666667,-0.0529166666666667,-0.0370416038469894,-0.0494683908045977,0.0719913077225565,0.0590909090909091,0.0733766233766234,-0.0341666666666667,0.0122334999747513,0.0246376811594203,0.0333333333333333,-0.0244397759103641,-0.0167474682180565,0.0804650299161243,0.1,-0.0107142857142857,0.110841959972395,0.144736842105263,0.157061772077252,0.159022556390977,-0.119458775504772,0.144736842105263,0.15,0.15703580142409,0.159022556390977,0.162273896662185,-0.087522156115184,0.209872168847736
"GSK3",-0.263795251898274,-0.115588025349697,-0.0716764260893035,-0.0888045836303233,-0.275894946494711,-0.161925030842248,-0.144736842105263,-0.116443556443556,-0.0265359477124183,-0.0122334999747513,-0.0590909090909091,-0.0376470588235294,-0.0719913077225565,-0.0282234049919808,-0.0287915868101627,-0.0281125360817081,-0.0256027147642998,-0.0821044627838331,-0.0230539891271184,-0.00229584129172145,-0.0697361391654029,-0.00271600935894834,-0.00271600935894834,0.0561522198731501,-0.0938609520737073,-0.0466666666666667,0.00271600935894834,-0.0341666666666667,-0.0494683908045977,-0.0391149690782494,-0.0520324933687003,0.0686420254259058,0.0733766233766234,0.0701508169250105,-0.0529166666666667,0.0101822179234693,0.0160662525879917,0.0246376811594203,-0.0167474682180565,-0.0190851305557188,0.0820708693321827,0.15,-0.0244397759103641,0.109845282231531,0.159022556390977,0.162722149435743,0.157061772077252,-0.120961870111315,0.159022556390977,0.144736842105263,0.162273896662185,0.15703580142409,0.160938188736985,-0.0907819519663529,0.21459058589492
"SNAI2",-0.210085700065295,0.221180197189008,0.210325095828649,-0.0842737570799245,-0.209271776075965,-0.185149017535258,-0.150909090909091,-0.180666666666667,0.0725490196078431,0.0777203188967895,-0.1,0.0666666666666667,-0.164321728691477,0.0615262321144674,0.0588235294117647,0.0340114526823388,0.021327967806841,-0.215176383315747,0.0265911257015779,0.068110457931941,0.0955184754584343,0.0667405949182424,0.0667405949182424,0.169540229885057,-0.102692307692308,-0.1,-0.0667405949182424,-0.0666666666666667,-0.0744252873563218,-0.246861051625322,-0.0828590222960809,0.158687925874575,0.16,0.154117647058824,-0.0916666666666667,-0.0826892629961684,-0.0700280112044818,-0.0509803921568627,0.123684210526316,0.117190704032809,0.172975129302117,0.16,0.100877192982456,0.181746240154913,0.179480519480519,0.18541559517533,0.175255167367843,0.0887689347080476,0.179480519480519,0.150909090909091,0.184932586722682,0.175255167367843,0.182664545485569,0.260822918515481,0.237859354932589
"SRC",0.11974025974026,-0.241868823000898,-0.17317815839555,-0.0715259059598682,0.129470855231725,0.107893070959536,0.1,-0.073346366894754,0.0909090909090909,-0.123611111111111,0.0333333333333333,0.1,0.0244444444444444,0.107470935772823,0.113131313131313,-0.0549569678914267,-0.0197368421052632,0.161695086522673,-0.0242413466097677,0.0283923085675276,0.214417255505511,0.0314226115978306,0.0314226115978306,-0.0428571428571429,-0.170865633074935,-0.1,-0.0314226115978306,-0.1,-0.0743589743589744,0.142945845004669,-0.0743589743589744,-0.018562091503268,-0.0333333333333333,-0.0133333333333333,-0.0666666666666667,0.125429292929293,0.123611111111111,0.111111111111111,-0.109285714285714,-0.102142857142857,-0.0268948482709951,0,-0.095,-0.0295613978817722,-0.125,-0.113196721311475,-0.105,-0.047961383026493,-0.125,0,-0.113196721311475,-0.105,-0.105879648140744,-0.106487493987494,-0.161728080241404
"MEK",-0.0912838370285179,-0.0877272209696887,-0.0628656447053251,-0.0584823392771743,-0.269598299862566,-0.124785510871277,-0.0666666666666667,-0.187627156125608,0.0196551724137931,0.0122563417890521,0.1,0.03,0.0445245901639344,-0.077649792125214,0.00901687454145268,0.0633343891880477,0.0675176984964222,-0.14595525389643,0.0715767390868281,-0.0924797424797425,0.285168052962146,-0.10041625041625,-0.10041625041625,0.0533968253968254,-0.0582974653275944,-0.1,0.10041625041625,-0.0857142857142857,-0.0580627705627706,-0.0449387052835329,-0.0780627705627706,-0.0517141326475945,-0.06,-0.056,-0.0732142857142857,-0.0188256848547455,-0.00571428571428572,0.0133333333333333,-0.0358974358974359,-0.0556054650945162,-0.0406609795244324,0.1,-0.0666666666666667,0.166315446314081,0.116666666666667,0.117715617715618,0.0974358974358975,0.0578251401637341,0.124561403508772,0.0666666666666667,0.125610354557723,0.105330634278003,0.117722313845255,0.101196541132262,0.155520077039064
"RKIP",-0.0831757289204098,-0.100425633668101,-0.0681288026000619,-0.0561013868962219,-0.269807504883487,-0.117722313845255,-0.1,-0.177100840336134,0.03,0.00571428571428572,0.1,0.13,0.056,0.00901687454145268,0.0196551724137931,0.0596980255516841,0.0665275994865212,-0.128006535947712,0.0675176984964222,-0.10041625041625,0.286627906976744,-0.0824675324675325,-0.0824675324675325,0.0356190476190476,-0.0681013868962219,-0.1,0.0824675324675325,-0.1,-0.0732142857142857,-0.0413351016799293,-0.0580627705627706,-0.0445245901639344,-0.1,-0.06,-0.0857142857142857,-0.0122563417890521,0.0133333333333333,0.0333333333333333,-0.0666666666666667,-0.0358974358974359,-0.052136389360498,0,-0.0666666666666667,0.170161600160235,0.0666666666666667,0.0974358974358975,0.116666666666667,0.0541666035783683,0.0666666666666667,0.1,0.105330634278003,0.124561403508772,0.125610354557723,0.107025320731534,0.142006563525551
"RAF",-0.0831757289204098,-0.100425633668101,-0.0681288026000619,-0.0561013868962219,-0.269807504883487,-0.117722313845255,-0.1,-0.177100840336134,0.03,0.00571428571428572,0.1,0.13,0.056,0.00901687454145268,0.0196551724137931,0.0596980255516841,0.0665275994865212,-0.128006535947712,0.0675176984964222,-0.10041625041625,0.286627906976744,-0.0824675324675325,-0.0824675324675325,0.0356190476190476,-0.0681013868962219,-0.1,0.0824675324675325,-0.1,-0.0732142857142857,-0.0413351016799293,-0.0580627705627706,-0.0445245901639344,-0.1,-0.06,-0.0857142857142857,-0.0122563417890521,0.0133333333333333,0.0333333333333333,-0.0666666666666667,-0.0358974358974359,-0.052136389360498,0,-0.0666666666666667,0.170161600160235,0.0666666666666667,0.0974358974358975,0.116666666666667,0.0541666035783683,0.0666666666666667,0.1,0.105330634278003,0.124561403508772,0.125610354557723,0.107025320731534,0.142006563525551
"ERK",-0.0928278878913698,-0.0869398193948855,-0.0596793701955212,-0.053915410143316,-0.272266469723521,-0.121452177537944,-0.116666666666667,-0.18289178008104,0.00901687454145268,0.0188256848547455,0.06,0.0196551724137931,0.0517141326475945,-0.0834993742979159,-0.077649792125214,0.0670886553996518,0.0715767390868281,-0.140268707433185,0.0737043986612962,-0.10007050155565,0.278765888850333,-0.0924797424797425,-0.0924797424797425,0.0495133302511943,-0.0598478529244937,-0.0857142857142857,0.0924797424797425,-0.0732142857142857,-0.0780627705627706,-0.0512634916083192,-0.0688884586361651,-0.047366306560638,-0.056,-0.0445245901639344,-0.0580627705627706,-0.0199245859536466,-0.0122563417890521,-0.00571428571428572,-0.0556054650945162,-0.0420320578923001,-0.0469862807292517,0.0666666666666667,-0.0358974358974359,0.171176557425192,0.0974358974358975,0.10994619415672,0.117715617715618,0.0513853977534306,0.105330634278003,0.124561403508772,0.117722313845255,0.125610354557723,0.124785510871277,0.0991024800268728,0.155357475413048
"RAS",0.054108527131783,0.0978166421207658,0.0953538461538462,-0.0483689248895434,0.0994197034894709,0.056196457709858,0.1,-0.147100628930818,0.045,0.0541176470588235,0.1,0.02,0.112666666666667,0.031171310629515,0.0292105263157895,0.00889328063241107,0.109090909090909,0.0488488816148391,0.11113172541744,-0.0414102564102564,0.265488659132274,0.048974358974359,0.048974358974359,0.0995670995670996,-0.0432142857142857,-0.1,-0.048974358974359,-0.1,-0.126666666666667,-0.0465079365079365,-0.132222222222222,-0.114361581920904,-0.1,-0.116666666666667,-0.133333333333333,-0.0551077460687245,-0.06,-0.06,-0.134210526315789,-0.14364448857994,-0.127080622905579,0,-0.15,0.0589085545722714,-0.05,-0.0551470588235294,-0.0676470588235294,0.10286949470922,-0.05,-0.1,-0.0527534418022528,-0.0676470588235294,-0.0604457494945605,0.121664950565206,-0.0818445322793149
"KLF4",-0.159378734350117,0.184138286893705,0.175213675213675,-0.0439473684210526,-0.155357193452432,-0.0746099064183326,-0.0333333333333333,-0.124407338693053,0.0672727272727273,0.0804242424242424,0,0.04,-0.0854166666666667,0.0550835216935884,0.0437433155080214,0.0328953399541635,0.024,-0.0949803921568627,0.0283478260869565,0.0252677224736048,-0.204207314076909,0.0171794871794872,0.0171794871794872,0.146469411092053,-0.0666666666666667,-0.1,-0.0171794871794872,0,-0.0266666666666667,-0.203368734735946,-0.0488888888888889,0.0714381720430108,0.1,0.0666666666666667,-0.06,-0.0838388765705839,-0.0790909090909091,-0.0590909090909091,0.0784688995215311,0.0547575593153455,0.0598409885966108,0.1,0.0363636363636364,0.118184025805179,0.0862745098039216,0.0796586316964637,0.0606931144550844,0.000325335233871819,0.0862745098039216,0.0333333333333333,0.0789539840203018,0.0606931144550844,0.0692549873647834,0.0600258930102372,0.184932586722682
"Ecadherin",-0.159378734350117,0.180820751348681,0.176889652867306,-0.0392080319281616,-0.156941536416085,-0.0716220446069413,-0.0862745098039216,-0.115044042812903,0.0437433155080214,0.0838388765705839,-0.1,0.0672727272727273,-0.0714381720430108,0.0476325413014315,0.0550835216935884,0.0322241990145662,0.0283478260869565,-0.0858556249315369,0.0295584798399832,0.0182844822501411,-0.208602256882448,0.0252677224736048,0.0252677224736048,0.134627305828895,-0.0679324894514768,0,-0.0252677224736048,-0.06,-0.0488888888888889,-0.207716560822902,-0.0372005772005772,0.077737384641436,0.0666666666666667,0.0854166666666667,-0.0266666666666667,-0.0832963810913796,-0.0804242424242424,-0.0790909090909091,0.0547575593153455,0.0692557005792861,0.051831835278533,0.0333333333333333,0.0784688995215311,0.122614405552014,0.0606931144550844,0.0696586316964637,0.0796586316964637,-0.00454645963792305,0.0606931144550844,0.0862745098039216,0.0692549873647834,0.0789539840203018,0.0746099064183326,-0.0423110105924892,0.182664545485569
"SUFU",0.328086900531751,-0.391636790526438,-0.32703673306352,-0.0318511804026585,0.306656990559822,0.219670323818137,0.325,0.228462023984852,0.118135198135198,-0.189632930803144,0.186666666666667,0.0969230769230769,0.174671717171717,0.121412282997023,0.119284623422554,-0.108264879873052,-0.107076292882744,0.236379698098271,-0.110078602351567,0.0083364553866959,0.434394943266131,0.00707063260188578,0.00707063260188578,-0.0943074469390259,-0.0118874273311301,0.1,-0.00707063260188578,0.142857142857143,0.130857142857143,0.402429442520479,0.128843720038351,-0.171969014469014,-0.174166666666667,-0.179722222222222,0.130857142857143,0.190224646779475,0.186441441441441,0.178333333333333,-0.0210606060606061,-0.0226479076479076,-0.101774214453864,-0.2,-0.0210606060606061,-0.257892047606556,-0.325,-0.327294824134973,-0.326923076923077,0.258539454459281,-0.22,-0.22,-0.221722753485656,-0.220970873786408,-0.219005362181308,0.208809398696489,-0.38693025214027
"Patched",0.319413919413919,-0.366666666666667,-0.304761904761905,-0.0166666666666667,0.304855144855145,0.220970873786408,0.2,0.222857142857143,0.1,-0.153333333333333,0.2,0.1,0.186666666666667,0.0969230769230769,0.12,-0.0897435897435897,-0.0833333333333333,0.233333333333333,-0.0933333333333333,-0.00528846153846154,0.417716475095785,-0.0115384615384615,-0.0115384615384615,-0.0666666666666667,-0.0111111111111111,0,0.0115384615384615,0,0.1,0.38,0.142857142857143,-0.174166666666667,-0.3,-0.266666666666667,0.1,0.178333333333333,0.133333333333333,0.0333333333333333,-0.0333333333333333,-0.00606060606060606,-0.109417989417989,-0.1,0,-0.253225806451613,-0.3,-0.325,-0.3,0.241810035842294,-0.2,-0.1,-0.22,-0.2,-0.22,0.184285329018339,-0.37012987012987
"TGF",-0.0925636007827789,-0.047114162217137,-0.0356840955978887,-0.0123828675773756,0.127464576973687,0.0702882850350576,0.1,0.0558441558441558,-0.161904761904762,-0.0273015873015873,0.0666666666666667,-0.133333333333333,0.0598850574712644,-0.144360902255639,-0.177694235588972,0.0397163120567376,0.0603030303030303,-0.00814814814814814,0.0667546432062561,0.0589285714285714,0.0310998248013811,0.0428571428571429,0.0428571428571429,-0.239473684210526,-0.00874650394101195,-0.2,-0.0428571428571429,-0.166666666666667,-0.127380952380952,-0.0544254658385093,-0.153696741854637,-0.0786350574712644,-0.0466666666666667,-0.0633333333333333,-0.141666666666667,-0.0691269841269841,0.0177777777777778,0.04,-0.136666666666667,-0.171149425287356,-0.0731836033382425,0,-0.166666666666667,0.0398378893833439,-0.0571428571428571,-0.0826145552560647,-0.107142857142857,-0.0307184242868121,-0.0333333333333333,-0.1,-0.0588050314465409,-0.0833333333333333,-0.0798576630254882,-0.039132388150791,-0.0973985890652557
"Csn",-0.170215804293475,0.081571546732837,0.0690516701160458,-0.0103440860215054,-0.269943266190215,-0.156287089927712,-0.15,-0.152347219643267,-0.0324242424242424,0.150223532686219,-0.0142857142857143,-0.0233333333333333,-0.016240748498813,-0.0274864718614719,-0.0285281385281385,0.0139645625692137,0.0176591614906832,-0.149675081813932,0.0199727861693465,-0.0150254793608192,-0.117174383394907,-0.0129141549846196,-0.0129141549846196,0.138565663553557,-0.0132773109243698,0.02,0.0129141549846196,-0.08,-0.0841666666666667,-0.184581801676704,-0.0849666666666667,0.0146014042365179,0.0142857142857143,0.0173160173160173,-0.08,-0.151894177077627,-0.147659430122117,-0.143181818181818,-0.0533189033189033,-0.0533189033189033,0.0336164079909454,0.133333333333333,-0.052020202020202,0.156832411385232,0.153448275862069,0.1559631388073,0.154653095139177,-0.074996486950784,0.153448275862069,0.15,0.155986428472511,0.154653095139177,0.155986428472511,-0.0403004375366232,0.193348186181933
"SOSGRB2",0.0298275014684552,-0.121954887218045,-0.107894214031636,-0.00461152882205514,-0.248388114495497,-0.122263443961971,-0.1,-0.0919590643274854,-0.00793650793650794,-0.0717582417582418,0,0.0476190476190476,-0.0414414414414414,-0.0244803244803245,-0.0214500214500215,0.0633522727272727,-0.0301075268817204,-0.0276521739130435,-0.0280096247838183,-0.0339490076778212,0.165674071255352,-0.0224105461393597,-0.0224105461393597,-0.0680555555555556,-0.0117543859649123,0,0.0224105461393597,0,0.0269005847953216,0.0437240537240537,0.035233918128655,0.048418185627488,0,0.0333333333333333,0.0111111111111111,0.0653752630348375,0.0871428571428571,0.107142857142857,0.034965034965035,0.0532748941199645,0.0485404258203353,0,0.0272727272727273,0.00568301350390902,0.0857142857142857,0.108902691511387,0.119047619047619,0.0366075036075036,0.0857142857142857,0.1,0.114699792960663,0.124844720496894,0.126278740329084,0.0721090931292872,0.145331408140814
"NFB",-0.00183581124757595,0.0402722323049002,0.0372631497404911,-0.00270705499380635,-0.101401441706058,0.0709031496875812,0.0833333333333333,-0.102760263416001,-0.00942857142857143,0.148945454545455,-0.08,-0.0214285714285714,-0.0883780332056194,-0.00942857142857143,-0.0205396825396825,-0.0852830605926581,-0.0836289878987899,-0.0476517273576097,-0.083257240686894,0.0197042318379219,-0.220991463742196,0.0172166696488672,0.0172166696488672,0.152335249889429,0.000366300366300368,0.1,-0.0172166696488672,0.142857142857143,0.0342985842985843,-0.138572520883278,0.020965250965251,0.0835587560971857,0.1,0.0814814814814815,0.0261904761904762,-0.147679631760644,-0.154545454545455,-0.15,-0.0640692640692641,-0.0776176511660383,0.00634782520750035,-0.05,-0.0783549783549784,0.0795067989666965,-0.0602564102564102,-0.0684845865744742,-0.0741025641025641,-0.108950920927642,-0.0602564102564102,-0.0833333333333333,-0.0690178183398522,-0.0741025641025641,-0.0723933457660126,-0.154336282287462,-0.087629179331307
