"","RKIP","HEY1","GSK3","ILK","AKT","IKK","Destcompl","SOSGRB2","SHH","Patched","SMO","FUS","cateninmemb","SUFU","AXIN2","Ecadherin","TrCP","GLI","PI3K","CD44","TCFLEF","cateninnuc","MEK","ERK","cfos","EGR1","ZEB1","SNAI2","LIV1","FOXC2","STAT","SRC","DSH","cMet","Frizzled","RAF","DELTA","TWIST1","Wnt","RAS","Csn","NFB","Csl","NOTCHic","Jagged","NOTCH","SMAD","PAK1","miR200","SNAI1","CDC42","TGFR","TGF","ZEB2","KLF4"
"Csn",0.275850108680218,0.208513289036545,0.257217570179085,0.206680900621118,0.197733333333333,0.203333333333333,0.104559400709694,0.33025942580422,0.230762944089226,0.214369501466276,0.193939393939394,0.166666666666667,-0.272640081775337,0.1,-0.344736386528171,-0.262224317165319,0.02,-0.305867439037886,0.0798250292680145,-0.306030466694364,-0.312139791453206,-0.315447067460422,0.0215936147186147,0.0247186147186147,0.013030303030303,-0.0233333333333333,0.0748519437551696,0.36067856071111,0.2,-0.0590159453752492,0.25,0.281034482758621,0.25,0.29669713336103,0.281034482758621,-0.0798250292680145,-0.0798250292680145,-0.334457690509584,0.29669713336103,-0.0638941271566901,-0.195,-0.22,-0.127272727272727,-0.105194805194805,-0.0119580322629915,-0.0955794205794206,-0.216192468744511,-0.361363636363636,-0.28108279828638,-0.26543063248384,-0.377781546811398,-0.373935392965244,-0.368446132822046,-0.37831100082713,-0.386286001580119
"GLI",0.174960256559065,0.25109713433143,-0.0553195578309734,0.249108722375301,0.0995983261725743,0.0964733261725743,-0.219465640286913,0.275939930276213,0.166404658029554,0.16187790905836,0.145551378446115,0.129761904761905,-0.224586048202283,0.104761904761905,-0.223537137681159,-0.20198254743031,0.0833333333333333,-0.192981549517542,-0.239551464115468,-0.185564719607152,-0.187188096230528,-0.186889231914927,-0.0364810695749922,-0.0381385281385282,-0.0290476190476191,-0.0457142857142857,0.0951783580815839,0.325976386068218,0.15,-0.00549385104919161,0.17,0.179677419354839,0.08,0.182116443745083,0.0896774193548387,0.239551464115468,0.239551464115468,-0.222195053578755,0.090853889943074,0.250046513620419,-0.116666666666667,-0.0903508771929824,-0.0368877099911583,-0.0368877099911583,-0.108161714674057,-0.0378400909435392,-0.246406019672598,-0.381666666666667,-0.258283604939952,-0.176047956276165,-0.378218390804598,-0.376331598351768,-0.37609630423412,-0.374890766342379,-0.37991848991849
"HEY1",0.330715316429602,0.105408708938121,0.448898267382819,0.0826666666666667,0.347301587301587,0.302857142857143,0.458237417938595,-0.101943967981704,-0.221370967741935,-0.2375,-0.25,-0.233333333333333,0.479564709229343,-0.2,0.354895275858474,0.497297599330428,0.1,0.289566331745208,0.392435897435897,0.290420904458851,0.286073078371895,0.280469093315855,-0.0878284359667016,-0.0826737967914438,-0.0709090909090909,-0.08,-0.127894736842105,-0.357666240188546,-0.233333333333333,-0.288054827362147,-0.266666666666667,-0.284313725490196,-0.266666666666667,-0.291290469676243,-0.284313725490196,-0.392435897435897,-0.392435897435897,0.119856209150327,-0.291290469676243,-0.407877073906486,-0.2,-0.26,-0.305454545454545,-0.337033492822967,-0.307254554540911,-0.364868544369358,-0.105855072463768,-0.0954545454545455,-0.338046398046398,-0.381970047787957,-0.131454545454545,-0.159454545454545,-0.186283813747228,-0.372832817337461,-0.281481481481481
"SHH",0.26,0.133333333333333,0.305128205128205,0.133333333333333,0.15,0.1,0.331168831168831,0.15,-0.106666666666667,-0.0666666666666667,-0.1,0,0.134336917562724,0,0.247619047619048,0.0713888888888889,0,0.2,0.2,0.1,0.0933333333333333,0.0877777777777778,0.02,0,0.1,0,0,-0.227662835249042,0,-0.2,-0.1,-0.1,-0.2,-0.1,-0.2,-0.2,-0.2,-0.075,-0.2,-0.238461538461538,0,0,-0.1,-0.2,-0.162857142857143,-0.233333333333333,-0.166666666666667,-0.2,-0.3,-0.3,-0.233333333333333,-0.333333333333333,-0.373333333333333,-0.35,-0.3
"cfos",0.201165501165501,0.191704147926037,-0.196931818181818,0.18994708994709,0.0769736842105263,0.0875,-0.254174578909237,0.252777777777778,0.211352904363657,0.197772657450077,0.188095238095238,0.171428571428571,-0.217411273348204,0.1,-0.212791461412151,-0.198038931589979,0,-0.173703703703704,-0.215522875816993,-0.173703703703704,-0.174693802713605,-0.175064173083975,0.0932645541635962,0.101739130434783,0.08,0.08,0.103401360544218,0.309072897905015,0.1,0.0141039830566373,0.15,0.17,0.15,0.173703703703704,0.17,0.215522875816993,0.215522875816993,-0.205246753246753,0.173703703703704,0.226498485573091,-0.1,-0.125,-0.05,-0.0192307692307692,-0.0667013888888889,-0.0115384615384615,-0.198011606076122,-0.242857142857143,-0.230960869196163,-0.165833744314757,-0.257142857142857,-0.24733893557423,-0.239763177998472,-0.341185287674392,-0.351619047619048
"CDC42",0.201165501165501,0.191704147926037,-0.196931818181818,0.18994708994709,0.0769736842105263,0.0875,-0.254174578909237,0.252777777777778,0.211352904363657,0.197772657450077,0.188095238095238,0.171428571428571,-0.217411273348204,0.1,-0.212791461412151,-0.198038931589979,0,-0.173703703703704,-0.215522875816993,-0.173703703703704,-0.174693802713605,-0.175064173083975,0.0932645541635962,0.101739130434783,0.08,-0.02,0.103401360544218,0.309072897905015,0.1,0.0141039830566373,0.15,0.17,0.15,0.173703703703704,0.17,0.215522875816993,0.215522875816993,-0.205246753246753,0.173703703703704,0.226498485573091,-0.1,-0.125,-0.05,-0.0192307692307692,-0.0667013888888889,-0.0115384615384615,-0.198011606076122,-0.142857142857143,-0.230960869196163,-0.165833744314757,-0.257142857142857,-0.24733893557423,-0.239763177998472,-0.341185287674392,-0.351619047619048
"PI3K",0.228700711053652,0.186943799818384,0.178403078403078,0.183769507803121,0.283257918552036,0.296078431372549,0.113407852488678,0.272692307692308,0.214102564102564,0.197435897435897,0.166666666666667,0.1,-0.30169286502597,0,-0.345238095238095,-0.31000345372933,0.2,-0.314685990338164,0.084017316017316,-0.314685990338164,-0.326550397117825,-0.334179263097207,-0.0152178904348625,-0.0299719887955182,-0.0476190476190476,-0.0333333333333333,0.0569379392050895,0.36866124230599,0.1,-0.0400696864111498,0.2,0.255555555555556,0.2,0.294685990338164,0.255555555555556,-0.084017316017316,-0.084017316017316,-0.300846259149894,0.294685990338164,-0.062099507798138,-0.233333333333333,-0.266666666666667,-0.1,-0.1,0.0318421052631579,-0.0774193548387097,-0.190969507803121,-0.3,-0.26743901129147,-0.211561996779388,-0.317647058823529,-0.333647058823529,-0.329582018173123,-0.339562782998199,-0.338815789473684
"ILK",0.228700711053652,0.186943799818384,0.178403078403078,0.183769507803121,0.283257918552036,0.296078431372549,0.113407852488678,0.272692307692308,0.214102564102564,0.197435897435897,0.166666666666667,0.1,-0.30169286502597,0,-0.345238095238095,-0.31000345372933,0.2,-0.314685990338164,0.084017316017316,-0.314685990338164,-0.326550397117825,-0.334179263097207,-0.0152178904348625,-0.0299719887955182,-0.0476190476190476,-0.0333333333333333,0.0569379392050895,0.36866124230599,0.1,-0.0400696864111498,0.2,0.255555555555556,0.2,0.294685990338164,0.255555555555556,-0.084017316017316,-0.084017316017316,-0.300846259149894,0.294685990338164,-0.062099507798138,-0.233333333333333,-0.266666666666667,-0.1,-0.1,0.0318421052631579,-0.0774193548387097,-0.190969507803121,-0.3,-0.26743901129147,-0.211561996779388,-0.317647058823529,-0.333647058823529,-0.329582018173123,-0.339562782998199,-0.338815789473684
"PAK1",0.202822959729037,0.199057089102508,-0.207477272727273,0.198011606076122,0.08067738791423,0.0769736842105263,-0.260791120262621,0.253767876787679,0.216352904363657,0.211352904363657,0.197772657450077,0.188095238095238,-0.218510174447105,0.171428571428571,-0.215307184682591,-0.198661768960222,0.1,-0.173215898825655,-0.226498485573091,-0.174693802713605,-0.175064173083975,-0.173684862739147,0.0905978874969295,0.0932645541635962,0.101739130434783,0.08,0.099221296235536,0.309434561557818,0.15,0.0141039830566373,0.17,0.173703703703704,0.17,0.173703703703704,0.173703703703704,0.226498485573091,0.226498485573091,-0.205790231507623,0.173703703703704,0.237862121936727,-0.125,-0.0875,-0.0192307692307692,-0.0115384615384615,-0.0691553766189502,-0.0137362637362637,-0.191559993172896,-0.257142857142857,-0.227915183916975,-0.158435176295664,-0.24733893557423,-0.239763177998472,-0.238670281823609,-0.33571904973227,-0.345061670569867
"EGR1",0.202822959729037,0.199057089102508,-0.207477272727273,0.198011606076122,0.08067738791423,0.0769736842105263,-0.260791120262621,0.253767876787679,0.216352904363657,0.211352904363657,0.197772657450077,0.188095238095238,-0.218510174447105,0.171428571428571,-0.215307184682591,-0.198661768960222,0.1,-0.173215898825655,-0.226498485573091,-0.174693802713605,-0.175064173083975,-0.173684862739147,0.0905978874969295,0.0932645541635962,0.101739130434783,0.08,0.099221296235536,0.309434561557818,0.15,0.0141039830566373,0.17,0.173703703703704,0.17,0.173703703703704,0.173703703703704,0.226498485573091,0.226498485573091,-0.205790231507623,0.173703703703704,0.237862121936727,-0.125,-0.0875,-0.0192307692307692,-0.0115384615384615,-0.0691553766189502,-0.0137362637362637,-0.191559993172896,-0.257142857142857,-0.227915183916975,-0.158435176295664,-0.24733893557423,-0.239763177998472,-0.238670281823609,-0.33571904973227,-0.345061670569867
"AKT",0.215657232792783,0.193710717111617,0.156628884854691,0.190969507803121,0.170126605420723,0.283257918552036,0.0967825423149811,0.29491452991453,0.225681511470985,0.214102564102564,0.197435897435897,0.166666666666667,-0.314231091325664,0.1,-0.363649647584666,-0.319094362820239,0.233333333333333,-0.326417833913583,0.062099507798138,-0.326550397117825,-0.334179263097207,-0.338333109251053,-0.0152178904348625,-0.0152178904348625,-0.0299719887955182,-0.0476190476190476,0.064472185780432,0.380822046326091,0.2,-0.028791490922428,0.255555555555556,0.294685990338164,0.255555555555556,0.314685990338164,0.294685990338164,-0.062099507798138,-0.062099507798138,-0.300540448752341,0.314685990338164,-0.0454730017740416,-0.266666666666667,-0.296078431372549,-0.1,-0.0774193548387097,0.0358156151969327,-0.0615656963021243,-0.20006041689403,-0.317647058823529,-0.256743824125695,-0.200785054423498,-0.333647058823529,-0.329582018173123,-0.320216459260736,-0.330658673409157,-0.343089293747188
"AXIN2",0.240534975776911,0.10656984135686,0.251742044632205,0.114331723027375,0.154057971014493,0.161835748792271,0.218854717821231,0.226768101775114,0.299199393502672,0.281822344322344,0.251465201465201,0.203846153846154,-0.47506923415598,0.15,0.015808817148312,-0.348153619152419,0.133333333333333,-0.420755120465217,0.0764937453518768,-0.421130098145117,-0.432267261099396,-0.438017369184135,0.0136475846872552,0.00881999848035864,0.00601626016260163,0.0133333333333333,-0.0814089847699386,0.493420021971558,0.266666666666667,-0.0245472560226659,0.326666666666667,0.370852713178295,0.326666666666667,0.401887195936915,0.370852713178295,-0.0764937453518768,-0.0764937453518768,-0.336701015409602,0.401887195936915,-0.0554963700237928,-0.144444444444444,-0.157487922705314,0.0557894736842105,0.0700751879699248,0.308748302226563,0.0869670798618167,-0.118696802392455,-0.205833333333333,-0.271160788215012,-0.225783467584644,-0.212006172839506,-0.212891128591719,-0.206950534532313,-0.300020203164126,-0.3129703544028
"Destcompl",0.167352972204355,0.103622019006634,0.145566725185794,0.112777777777778,0.084205298299258,0.098970398970399,0.0145693374564491,0.194900996719676,0.269170319013966,0.263561034681278,0.253716475095785,0.233716475095785,-0.442059185547157,0.188888888888889,-0.432267261099396,-0.312138626468278,0.1,-0.382561149601122,-0.016128222809583,-0.383338607030081,-0.385941346756109,-0.386451290662279,0.0211648046219534,0.0207428636936834,0.0147319347319347,0.00564102564102564,-0.0292386165073492,0.455664030192669,0.305555555555556,0.0261036391433822,0.341269841269841,0.364557512502718,0.341269841269841,0.376995323447992,0.364557512502718,0.016128222809583,0.016128222809583,-0.280382150710765,0.37643870062153,0.0297859936102109,-0.114285714285714,-0.114285714285714,0.0798903251077164,0.0983685859772816,0.273662926727738,0.112196241287903,-0.111023391812865,-0.166326530612245,-0.201667541214052,-0.148295883120845,-0.164257565095003,-0.154257565095003,-0.144109781843772,-0.229590730217465,-0.253873565629436
"TWIST1",0.212372573242138,-0.0905506922456075,0.45700775491518,-0.108353808353808,0.224790463773515,0.182417582417582,0.499710127696318,-0.174885094564728,-0.384335095335568,-0.395665144596651,-0.391555555555556,-0.355555555555556,0.536761338104661,-0.3,0.416160022772926,0.629532116333875,0,0.356585797827903,0.418125100237687,0.358219300708406,0.357759882637962,0.354482136807025,0.00195418787071507,0.0104118993135011,0.0130434782608696,0,-0.0585006058690269,-0.628832158015176,-0.266666666666667,-0.31552547227716,-0.309523809523809,-0.337301587301587,-0.309523809523809,-0.352195204322864,-0.337301587301587,-0.418125100237687,-0.418125100237687,0.178852066761106,-0.350985797827903,-0.440727839963715,-0.1,-0.153846153846154,-0.228148148148148,-0.256353276353276,-0.241288297030685,-0.286541955598559,0.0869016631392869,0.0678787878787879,-0.131976382629354,-0.27312769048644,0.0368443051201672,0.0118443051201672,-0.0138960137864387,-0.170732135644416,-0.0986554096310194
"CD44",0.216296296296296,-0.0157894736842105,-0.00178571428571429,-0.0277777777777778,-5.55111512312578e-18,-0.0333333333333333,-0.109036341809451,-0.0523809523809524,-0.0190909090909091,-0.01,-0.05,-0.1,-0.159157509157509,-0.1,-0.13,-0.142733687981761,0.1,-0.106666666666667,0.119047619047619,-0.106666666666667,-0.118294573643411,-0.125986881335719,0.12,0.1,0.1,0.1,-0.0476190476190476,-0.0951359751359751,-0.1,-0.0745833333333333,-0.1,0,0,0,0.1,-0.119047619047619,-0.119047619047619,-0.135604395604396,0.1,-0.104761904761905,0,0.1,0.1,0.0571428571428571,0.066013986013986,0.0308270676691729,0.0298185941043084,-0.0666666666666667,-0.153078612209047,-0.127565124933546,-0.0866666666666667,-0.149166666666667,-0.160277777777778,-0.155555555555556,-0.0317460317460317
"ZEB1",0.148862652499016,0.0987599792263005,0.27389147984186,0.088679130446288,0.121452401495542,0.111452401495542,0.303073210958276,0.0968031189083821,0.0201191314442309,0.00695187165775401,0.00303030303030303,0.0166666666666667,0.233159803235797,-0.00833333333333333,0.23053893908092,0.133524929879582,0.0333333333333333,0.195842762551337,0.239848951028253,0.190440563342285,0.186717159086966,0.183781738343326,0.0293972531743975,0.0395294117647059,0.036,0,-0.119263406435115,-0.161682173913776,-0.2,-0.0541172394831456,-0.192307692307692,-0.189868667917448,-0.2,-0.191829452231174,-0.197560975609756,-0.239848951028253,-0.239848951028253,0.0208898717522361,-0.197560975609756,-0.241896195122742,-0.0933333333333333,-0.119649122807018,-0.166666666666667,-0.16078431372549,-0.13642550526434,-0.167395883973424,-0.0987752842924418,-0.19904214559387,-0.0697942836026184,-0.165102469743714,-0.217882725304015,-0.219405567943609,-0.224917378967231,-0.113262988738339,-0.0970405676940434
"SOSGRB2",-0.0806652046783626,0.0542613636363636,-0.0136114407643159,0.0475268817204301,0.0152046783625731,0.0152046783625731,0.00578500544943499,0.075,0.0693065158181437,0.0855855855855856,0.0666666666666667,0,-0.211570414570415,0,-0.191446644664466,-0.192495604074413,0.1,-0.155538302277433,-0.181920903954802,-0.160248447204969,-0.161301078783916,-0.163404329261928,-0.0182988182988183,-0.0395109395109395,-0.0476190476190476,-0.0142857142857143,0.00230576441102757,0.305381878933027,0,-0.0130891330891331,0.1,0.142857142857143,0.1,0.155900621118012,0.142857142857143,0.181920903954802,0.181920903954802,-0.0511014492753623,0.151190476190476,0.188331160365059,0,0.0111111111111111,0.0272727272727273,0.0195804195804196,0.0199699655175335,0.0238057716930956,-0.0468275810211294,-0.0285714285714286,-0.097124202174626,0.0306531627576404,-0.0285714285714286,-0.0478021978021978,-0.0513482970929779,-0.096390977443609,-0.0921052631578947
"cMet",-0.197777777777778,0.021671826625387,0.00662442396313364,0.0298185941043084,0.0125,5.55111512312578e-18,0.116468774241883,0.0190476190476191,0.0190909090909091,0.0190909090909091,0.01,0.05,0.168766050082776,0.1,0.141111111111111,0.145532670170056,0,0.12030303030303,-0.104761904761905,0.118294573643411,0.125986881335719,0.13107162709843,-0.118181818181818,-0.12,-0.1,-0.1,0.0284271284271284,0.0856469240410846,0.1,0.0631909282700422,0,0,-0.1,-0.106666666666667,-0.1,0.104761904761905,0.104761904761905,0.12773922706507,-0.106666666666667,0.0991015274034142,-0.1,-0.0333333333333333,-0.0571428571428571,-0.0308270676691729,-0.0725357251444208,-0.0414653655415134,-0.000727685013399304,0.0866666666666667,0.143703612209047,0.127565124933546,0.149166666666667,0.160277777777778,0.147511820330969,0.154545454545455,0.0555555555555556
"TGF",-0.0662337662337662,-0.196131528046422,-0.0240269623831268,-0.197878787878788,-0.0782581453634085,-0.094047619047619,-0.0568149909648469,-0.140789473684211,-0.194841954022988,-0.176091954022988,-0.193333333333333,-0.193333333333333,0.0130734979567718,-0.133333333333333,0.0108465608465608,0.0128619665743392,0,-0.0023989218328841,0.0577380952380952,0.0118867924528302,0.0145183714001986,0.0173891847973278,0.113684210526316,0.107017543859649,0.133333333333333,0.133333333333333,-0.00659824792547904,-0.137983892823685,0,0.138928571428571,0,0,0,-0.01,0.0142857142857143,-0.0577380952380952,-0.0577380952380952,0.0585185185185185,0.00428571428571428,-0.0541666666666667,0.0333333333333333,0.108333333333333,0.0933333333333333,0.0833333333333333,0.171183112420226,0.0695402298850575,0.215620723362659,0.16,0.142045789459583,0.0890495867768595,0.193333333333333,0.193333333333333,0.091547619047619,0.18562189399718,0.183803712178998
