"","FOXC2","TGF","TGFR","Csl","NOTCHic","HEY1","NOTCH","Jagged","Csn","AKT","SHH","TrCP","RKIP","SNAI1","SNAI2","TWIST1","MEK","DSH","EGR1","ERK","KLF4","STAT","LIV1","SRC","cMet","RAS","RAF","PI3K","ZEB2","GSK3","DELTA","Ecadherin","cateninmemb","TCFLEF","cateninnuc","CD44","GLI","Wnt","Frizzled","AXIN2","cfos","Destcompl","miR200","ILK","SMAD","NFB","IKK","Patched","SMO","FUS","SUFU","SOSGRB2","CDC42","PAK1","ZEB1"
"NFB",-0.070781692853406,-0.088972305331799,-0.0883393939393939,-0.0852813852813853,-0.0805194805194805,0.0344869526758072,-0.0695517385839966,0.032168735489584,-0.114285714285714,0.0581166881166881,-0.0152619674098694,-0.1,-0.055338377469525,-0.0377078129054496,0.255956050683257,-0.0405275443510738,-0.00473389355742297,0.0388888888888889,-0.0357142857142857,-0.000158730158730158,0.194413919413919,0.0388888888888889,0.05,0.0388888888888889,0.0465811965811966,0.0632611717110366,0.0642561965866585,0.0642561965866585,-0.189018523319794,0.0674035768153415,-0.0642561965866585,-0.0536363381036275,-0.0706400048228109,-0.0520878832721785,-0.0512251381741393,-0.0516659423439084,-0.0510755786036685,-0.0465811965811966,-0.0388888888888889,-0.0678267477203647,0.0157142857142857,-0.165915889171893,-0.156096993334613,-0.0425811331133113,-0.0384919137824563,-0.0357142857142857,-0.0492277992277992,0.0116475095785441,0.0288888888888889,0.04,0.08,0.032109685979655,0.0939393939393939,0.116666666666667,-0.0570003168841644
"SMAD",-0.10596292713722,-0.124604059323706,-0.120619995578686,0.0266666666666667,0.0301149425287356,0.000222217732294814,0.0293212917350848,0.0132034632034632,-0.0388888888888889,-0.0545191409897292,0.0431584870911633,-0.05,0.00807811014341305,0.0263831679073615,-0.104936534060873,-0.0566037462503225,0.0333554198989308,0.0285714285714286,0.0571428571428571,0.0381631122066231,0.17124218768194,0.0485714285714286,0.02,0.0596825396825397,0.0616433239962652,-0.174636214145925,-0.176938845724872,-0.176938845724872,-0.172524616546793,0.0992723692347752,0.176938845724872,-0.0676681751801085,-0.0650940615021735,-0.0559771096136329,-0.0552678897554768,-0.0590978694508106,-0.0401667676847533,-0.0416056166056166,-0.0396825396825397,-0.0617246097593344,-0.0474654377880184,0.013140792602504,-0.178939073235859,-0.0404808889740397,-0.142861841354992,0.0341269841269841,0.0478524743230626,-0.0472477064220184,-0.05,-0.05,-0.025,0.145689145223307,0.11224010731053,0.102380952380952,-0.0805367296899086
"Wnt",-0.0221862348178138,-0.0220289855072464,-0.0133333333333333,-0.1,-0.0571428571428571,0.107692307692308,-0.0488095238095238,0.0630637254901961,0.1,0.139166666666667,0.0733766233766234,0.1,0.045,0.0579192546583851,-0.107155172413793,-0.00088235294117647,0.0592156862745098,-0.2,0,0.0533333333333333,0.149019607843137,-0.1,0,-0.1,-0.075,-0.00915926179084074,0.00902255639097744,0.00902255639097744,-0.151458632233381,0.056974921630094,-0.00902255639097744,-0.166954216777191,-0.0666949152542373,0.0415413533834586,0.0448526116616043,0.0486842105263158,0.0486842105263158,0.075,0.2,0.104242424242424,-0.0333333333333333,-0.178818163420975,-0.12040404040404,-0.118803418803419,-0.102524349035977,-0.0666666666666667,-0.126666666666667,-0.0590909090909091,-0.05,0,0,-0.0121212121212121,0.0333333333333333,0.1,-0.0701099952175992
"Frizzled",-0.0268373976085114,-0.030600414078675,-0.0220289855072464,-0.0571428571428571,-0.0488095238095238,0.0927986906710311,-0.0350840336134454,0.0600334224598931,0.0666666666666667,0.139166666666667,0.0701508169250105,0.1,0.0521428571428571,0.0563319530710835,-0.106208800174045,-0.00183473389355742,0.0481045751633987,-0.2,0.0333333333333333,0.0592156862745098,0.149019607843137,-0.1,-0.1,-0.075,-0.0486842105263158,-0.0146710728144628,-0.00915926179084074,-0.00915926179084074,-0.148488335203678,0.0600052246603971,0.00915926179084074,-0.162991512814487,-0.0638377723970944,0.0448526116616043,0.0477097545187472,0.0415413533834586,0.0415413533834586,0.0486842105263158,0.075,0.0926145172656801,-0.0533333333333333,-0.176430895516466,-0.11884154040404,-0.102524349035977,-0.0978514518397152,-0.126666666666667,-0.139166666666667,-0.0733766233766234,-0.0590909090909091,-0.05,0,-0.0212121212121212,0.0133333333333333,0.0333333333333333,-0.0711000942275002
"AKT",-0.0101883978238279,-0.0169193089069686,-0.0117833572453372,-0.0423076923076923,-0.0294044665012407,0.0866855616490525,-0.0294044665012407,0.0508028349018241,0.2,0.0989990401755108,0.0639203778677463,0.166666666666667,0.0693916697113628,0.0738434855254077,-0.12664610836969,0.020658097996959,0.048716768301012,-0.0888888888888889,0.0619047619047619,0.0563117050098728,0.111077372919478,-0.0888888888888889,-0.1,-0.0584541062801932,-0.0507617985878855,-0.0388403241144618,-0.0405270711024136,-0.0405270711024136,-0.115870436707891,0.0418390898229608,0.0405270711024136,-0.133976152317885,-0.0389081964924332,0.0570918119841229,0.0590918119841229,0.0535866573449477,0.053555094677271,0.0507617985878855,0.0584541062801932,0.098806257521059,-0.0677871148459384,-0.154388286329722,-0.0973291253908419,-0.0921517406962785,-0.0891214376659755,-0.217647058823529,-0.220211161387632,-0.066025641025641,-0.0743589743589744,-0.0666666666666667,-0.05,-0.014957264957265,-0.000411764705882354,-0.00441176470588235,-0.0688549637497746
"PI3K",-0.00567711962833914,-0.0117833572453372,0.000411764705882354,-0.05,-0.0423076923076923,0.0904449601452931,-0.0294044665012407,0.0554385964912281,0.166666666666667,0.220211161387632,0.066025641025641,0.2,0.0737394957983193,0.0750966183574879,-0.125339575706374,0.0221871499847266,0.0563117050098728,-0.1,0.0333333333333333,0.0677871148459384,0.115350877192982,-0.1,-0.1,-0.0888888888888889,-0.0584541062801932,-0.0405270711024136,-0.035047619047619,-0.035047619047619,-0.113130710680494,0.0438552188552189,0.035047619047619,-0.135036758378491,-0.0428837316606289,0.0535866573449477,0.0570918119841229,0.0507617985878855,0.0507617985878855,0.0584541062801932,0.0888888888888889,0.101333333333333,-0.0619047619047619,-0.15794494472509,-0.0978638847491306,-0.0993517406962785,-0.0921517406962785,-0.2,-0.217647058823529,-0.0743589743589744,-0.0666666666666667,-0.05,0,-0.0238461538461538,-0.00441176470588235,0.025,-0.0715946897771719
"RAS",-0.0193650793650794,-0.0138147932440303,-0.0247058823529412,-0.3,-0.284210526315789,-0.0687747035573123,-0.282323733862959,-0.120279913266312,0.2,0.19,-0.0798079096045198,0.1,0.0923270440251572,0.0493608652900688,0.108976729493698,0.0403600654664484,0.177198142414861,-0.1,0.12,0.171315789473684,0.0957142857142857,-0.1,0,-0.15,-0.167647058823529,0.0803846153846154,0.174615384615385,0.174615384615385,-0.090559646539028,-0.0598966408268734,-0.174615384615385,0.0194669101720618,0.0631177546286386,0.158187157023202,0.160736732094024,0.161264080100125,0.163480392156863,0.167647058823529,0.15,0.191620553359684,-0.145,-0.149036962409055,-0.0983076923076923,0.0536796536796537,0.067965367965368,-0.166666666666667,-0.173333333333333,0.0713333333333333,0.0833333333333333,0.1,0.1,-0.105627705627706,0.06,0.14,0.0302356406480118
"RKIP",0.0317565576186266,0.0428393413440143,0.0419047619047619,-0.211111111111111,-0.192929292929293,-0.051413085559427,-0.204467754467754,-0.0941648476028782,0,0.0323051948051948,-0.0703606557377049,0,0.166736694677871,0.136490499731425,0.235572361135397,0.130320855614973,0.190983125458547,-0.1,0.12,0.180344827586207,0.0839311334289814,-0.1,0,-0.133333333333333,-0.13859649122807,0.0430624930624931,0.0422077922077922,0.0422077922077922,-0.0899311334289814,-0.0487391646966115,-0.0422077922077922,0.109775198694789,0.150136018371312,0.130204882836462,0.133512770877174,0.130904183535762,0.135641025641026,0.143333333333333,0.133333333333333,0.169784341303329,-0.17,-0.121750651480104,-0.104236535732806,0.0229460847240051,0.039777767892322,0.0142857142857143,-0.0232142857142857,0.072,0.06,0.1,0.1,-0.0852698412698413,-0.0133333333333333,0.0333333333333333,-0.0278507890961263
"RAF",0.0317565576186266,0.0428393413440143,0.0419047619047619,-0.211111111111111,-0.192929292929293,-0.051413085559427,-0.204467754467754,-0.0941648476028782,0,0.0323051948051948,-0.0703606557377049,0,0.166736694677871,0.136490499731425,0.235572361135397,0.130320855614973,0.190983125458547,-0.1,0.12,0.180344827586207,0.0839311334289814,-0.1,0,-0.133333333333333,-0.13859649122807,0.0430624930624931,0.0422077922077922,0.0422077922077922,-0.0899311334289814,-0.0487391646966115,-0.0422077922077922,0.109775198694789,0.150136018371312,0.130204882836462,0.133512770877174,0.130904183535762,0.135641025641026,0.143333333333333,0.133333333333333,0.169784341303329,-0.17,-0.121750651480104,-0.104236535732806,0.0229460847240051,0.039777767892322,0.0142857142857143,-0.0232142857142857,0.072,0.06,0.1,0.1,-0.0852698412698413,-0.0133333333333333,0.0333333333333333,-0.0278507890961263
"ERK",0.0269563728184418,0.0373608782013175,0.0384597793002186,-0.204467754467754,-0.203737827460455,-0.0708483942780122,-0.208446968734693,-0.104637887302661,0.0232142857142857,0.035553980558028,-0.0817559384884864,-0.0142857142857143,0.168532619029139,0.134157878648804,0.233733173247753,0.130548459726073,0.081252391939513,-0.143333333333333,0.180344827586207,0.0843164587918807,0.0855271206610835,-0.13859649122807,-0.133333333333333,-0.130904183535762,-0.130204882836462,0.045030118396455,0.0433799533799534,0.0433799533799534,-0.0897611546763254,-0.0469074593226718,-0.0433799533799534,0.112885056708329,0.155426928686119,0.136486748572342,0.138292304127897,0.133512770877174,0.138199870305133,0.134941724941725,0.135641025641026,0.17189816244154,-0.190983125458547,-0.120343922641573,-0.104791231295242,0.0445748158628017,0.0463985240694886,-0.0323051948051948,-0.0428934300993125,0.0788573877638487,0.0703606557377049,0.072,0.06,-0.104018492834027,-0.0428393413440143,-0.0419047619047619,-0.0259547760977511
"MEK",0.028152954015023,0.0384597793002186,0.0428393413440143,-0.192929292929293,-0.204467754467754,-0.0677767219230634,-0.203737827460455,-0.100722224652058,-0.0142857142857143,0.0428934300993125,-0.0788573877638487,0,0.16936827362524,0.133926397167323,0.23508574313053,0.130687155981274,0.0843164587918807,-0.133333333333333,0.17,0.190983125458547,0.0878527020564323,-0.133333333333333,-0.1,-0.13859649122807,-0.130904183535762,0.0433799533799534,0.0430624930624931,0.0430624930624931,-0.0883438318416798,-0.0455450615025083,-0.0430624930624931,0.112507439131948,0.152575042761556,0.133512770877174,0.136486748572342,0.130204882836462,0.134941724941725,0.135641025641026,0.143333333333333,0.169784341303329,-0.180344827586207,-0.121959856501025,-0.104546133256026,0.039777767892322,0.0445748158628017,-0.0232142857142857,-0.0323051948051948,0.0703606557377049,0.072,0.06,0.1,-0.103047619047619,-0.0419047619047619,-0.0133333333333333,-0.0270571383024755
"TWIST1",0.0560166015529856,0.069625154419063,0.0707641065830721,-0.0585185185185185,-0.0636467236467237,-0.0445085987458869,-0.0693071010052142,-0.0853164783860596,-0.1,-0.0480288073508412,-0.0534817614024038,-0.1,-0.0834946747990226,-0.0522840948691143,0.270196199989516,-0.0349166394246486,-0.0894601363889932,0.00476190476190477,-0.113333333333333,-0.0889626239511823,0.0855951636439441,0.00476190476190477,0.0333333333333333,-0.00634920634920634,-0.00634920634920634,0.0514349614439292,0.0504075641836553,0.0504075641836553,-0.0830997664330998,0.0583389703621141,-0.0504075641836553,0.0834527720349118,0.0302419817393343,0.00560380514254201,0.00623635258360009,0.0051443870720979,0.00580183792815371,0.00740183792815371,0.00634920634920634,-0.0301028541351122,0.0915942028985507,-0.0427350605278739,-0.0817122593718338,0.0348757848757849,0.0418064779450918,0.0769230769230769,0.0531135531135531,0.0500334855403349,0.0404444444444444,0.0444444444444444,0.0333333333333333,-0.0247824131119326,-0.0645141065830721,-0.0472727272727273,0.0486741127092004
"SOSGRB2",-0.00908424908424908,0.00131946068116281,0.00912087912087912,0.00909090909090909,0.0244755244755245,0.0267045454545455,0.0117994681374963,0.00256818124052156,-0.1,-0.0923245614035088,0.017494238424471,-0.1,0.0957236842105263,0.0405671641791045,0.155786661276215,0.0610724637681159,0.0280995280995281,-0.1,0.0142857142857143,0.0280995280995281,0.0595614035087719,-0.1,0,-0.114285714285714,-0.109937888198758,-0.150927133130523,-0.147080979284369,-0.147080979284369,-0.0681328320802005,0.0339185576773234,0.147080979284369,0.103313920491995,0.134530088530089,0.100845592241473,0.104096070252946,0.0997929606625259,0.104140786749482,0.114285714285714,0.114285714285714,0.134632838283828,-0.0253968253968254,-0.0238685252108071,-0.0754954085622745,-0.0434408602150538,-0.0329513497255433,0.133333333333333,0.0964912280701754,-0.0198198198198198,-0.0333333333333333,0,0,0.0277777777777778,-0.00142857142857143,0.0285714285714286,0.00121553884711779
"CD44",-0.0595833333333333,-0.0577777777777778,-0.0466666666666667,0.2,0.185714285714286,0.117543859649123,0.201503759398496,0.115431235431235,0.1,0.0333333333333333,0.110909090909091,0,-0.186296296296296,-0.0482721956406167,-0.238685758685759,-0.0316483516483516,-0.2,0,-0.2,-0.2,-0.0253968253968254,-0.1,-0.1,-0.2,-0.15,-0.0866666666666667,-0.0666666666666667,-0.0666666666666667,-0.0650793650793651,0.0654761904761905,0.0666666666666667,-0.0255802844425144,0.0223076923076923,0.0183720930232558,0.0168336314847943,0.03,0.03,0.05,0.1,0.06,0.2,0.109216413838263,-0.0793807641633728,-0.111111111111111,-0.121315192743764,0,0,-0.12,-0.1,-0.1,-0.1,0.019047619047619,0.0466666666666667,0.0666666666666667,0.0365079365079365
"TGFR",0.0715087878705688,0.0703976697061803,0.0760714285714286,-0.116666666666667,-0.109770114942529,-0.076189651356371,-0.120561481849004,-0.0375997844229579,0.0333333333333333,0.0156204464649997,-0.0360750292226768,0.0333333333333333,-0.0543290043290043,0.0541278338180993,-0.102635752156274,0.030471859760116,0.0233757910758632,-0.0142857142857143,0.0333333333333333,0.0274853801169591,0.0281854999818387,0,0,0.02,0.0218867924528302,0.014891395154553,0.0154761904761905,0.0154761904761905,-0.0345356592565262,-0.0388437872832535,-0.0154761904761905,-0.00581178286652569,-0.0108599136658882,-0.014948993409768,-0.0127346444283685,-0.0192552135054618,-0.00566559429614816,-0.0076010781671159,-0.00571428571428572,-0.0208877383412433,-0.0385964912280702,0.0424910184746212,-0.0724330128529239,0.0510068426197458,0.0549214333670768,-0.019047619047619,-0.0295739348370927,0.0355100574712644,0.0198850574712644,0.0233333333333333,0.00666666666666668,-0.00961663417803769,-0.188571428571429,-0.193333333333333,0.00707459727450228
"TGF",0.0780590062111801,0.0760714285714286,0.188571428571429,-0.106666666666667,-0.116666666666667,-0.0791747259832366,-0.109770114942529,-0.0354258713794796,0.0333333333333333,0.0295739348370927,-0.0355100574712644,0,-0.0471861471861472,0.0520629370629371,-0.100089455859978,0.032962962962963,0.0274853801169591,0,0.0333333333333333,0.0385964912280702,0.0317569285532672,0,0,0,0.02,0.0154761904761905,0.0172619047619048,0.0172619047619048,-0.0281205649169036,-0.0371322958407107,-0.0172619047619048,-0.00513035186141496,-0.0150169575457958,-0.0192552135054618,-0.014948993409768,-0.0218867924528302,-0.0076010781671159,-0.00571428571428572,0.0142857142857143,-0.0204585537918871,-0.0333333333333333,0.0386603733133309,-0.0727262679848887,0.0493939393939394,0.0510068426197458,-0.0333333333333333,-0.019047619047619,0.0198850574712644,0.0233333333333333,0.00666666666666668,0.0666666666666667,-0.0157894736842105,-0.193333333333333,-0.16,0.00518780482167209
"SNAI2",0.173008100496408,0.210650815510151,0.208166343460461,-0.322368421052632,-0.341666666666667,-0.0901145268233876,-0.350757575757576,-0.312013240971017,0.2,0.293446198587453,-0.309331281808498,0.1,-0.0134871794871795,-0.0211323390443321,0.0752888199739734,0.261240993543996,0.135903550609433,-0.287272727272727,0.133333333333333,0.137254901960784,-0.0025,-0.287272727272727,-0.26,-0.294415584415584,-0.298640936528261,0.320553143813124,0.31872665979486,0.31872665979486,-0.0235118523180197,-0.240358241489932,-0.31872665979486,0.353997622132626,0.381061020743869,0.304134784216987,0.305687579248043,0.301866742979873,0.302384252036282,0.298640936528261,0.294415584415584,0.364216030519863,-0.13921568627451,0.221456089900812,-0.0163336896571888,0.0641851106639839,0.0656205173625485,-0.275,-0.292241379310345,0.303697478991597,0.289411764705882,0.26,0.2,-0.304124408384043,-0.205602240896359,-0.196078431372549,0.0107497377805748
"FOXC2",0.130539311241066,0.15619660014782,0.153757575757576,-0.287272727272727,-0.292535885167464,-0.0777234530175707,-0.295628668672619,-0.24639589296261,0.2,0.247830687830688,-0.257325268817204,0.1,-0.0166460523603381,-0.0227965900754455,-0.240735416493824,0.208479302832244,0.103995810132863,-0.233333333333333,0.12,0.105026737967914,-0.0037037037037037,-0.233333333333333,-0.233333333333333,-0.227450980392157,-0.229776561787506,0.264837858220211,0.264102564102564,0.264102564102564,-0.0226057791537668,-0.191408099589053,-0.264102564102564,0.166250738080342,0.304478745058013,0.234057498242355,0.235178295253563,0.23238525743968,0.233224837649575,0.229776561787506,0.227450980392157,0.301866742979873,-0.110909090909091,0.171749973452576,-0.0142368742368742,0.0533333333333333,0.0518840579710145,-0.26,-0.255238095238095,0.25625,0.25,0.233333333333333,0.2,-0.253430531732418,-0.155090909090909,-0.159090909090909,0.00952528379772962
