"","Ecadherin","SHH","SNAI2","HEY1","IKK","TWIST1","AKT","ILK","SUFU","NFB","cateninnuc","TCFLEF","CD44","cMet","STAT","SRC","ERK","cfos","Frizzled","NOTCHic","Destcompl","NOTCH","Csl","LIV1","ZEB1","RAS","RAF","DELTA","TGF","GSK3","FOXC2","PAK1","TGFR","CDC42","SOSGRB2","PI3K","Jagged","AXIN2","DSH","EGR1","RKIP","MEK","Wnt","GLI","cateninmemb","Csn","SNAI1","TrCP","FUS","SMAD","Patched","SMO","miR200","ZEB2","KLF4"
"SMO",-0.0592973007399977,0.0330555555555556,-0.334423645320197,0.0827838827838828,-0.0642857142857143,-0.049400871459695,-0.0682857142857143,0.08,-0.1,-0.05,-0.222160741659975,-0.222912621359223,-0.22,-0.22,-0.2,-0.2,-0.0123076923076923,-0.02,-0.1,0.0575757575757576,-0.0272048881351207,0.0625757575757576,0.0666666666666667,-0.1,0.0501412429378531,-0.202482110912343,-0.204807692307692,-0.204807692307692,-0.0847747747747748,0.00866318147871546,0.133448275862069,0.0333333333333333,0.0766666666666667,0.0933333333333333,0.0631578947368421,0.204807692307692,-0.200132275132275,0.0740707568293775,0.1,0,-0.114444444444444,0.00927738927738928,0.125,0.125,-0.118701151825173,0.1,-0.126036866359447,0,0,-0.0657142857142857,-0.0275,-0.04,-0.214948764315853,-0.273305084745763,-0.283333333333333
"ILK",0.0136735935065237,0.112820512820513,0.174312165587159,0.0893182658998419,0.0941176470588235,0.141291337157339,0.122322775263952,0.0935574229691877,0.1,0.1,0.0578951537775201,0.0506786589321593,0.056893348197696,0.033816425120773,0,0.0555555555555556,0.0299719887955182,0.0476190476190476,0.0555555555555556,-0.0480769230769231,0.012645456161819,-0.0222704714640199,-0.025,0.1,0.0591289741467452,0.037448615311629,0.0292294372294372,0.0292294372294372,0.0758091822094692,-0.0206709956709957,-0.063581881533101,-0.075,-0.0928823529411765,-0.0808823529411765,-0.0473076923076923,-0.0292294372294372,-0.037719298245614,-0.0575238095238095,0,-0.0333333333333333,-0.032563025210084,-0.0348900215824034,-0.033816425120773,-0.056893348197696,0.0240122356002552,-0.1,-0.0560144927536232,0,-0.1,-0.0943574229691877,-0.129487179487179,-0.0833333333333333,-0.196965669096817,-0.271534560267459,-0.26140350877193
"FUS",-0.0598452459454771,0.0239646464646465,-0.337475709952154,0.0755375059722886,-0.0682857142857143,-0.0488773112502709,-0.0644395604395604,0.0657142857142857,0,-0.0642857142857143,-0.223519437312149,-0.222160741659975,-0.222912621359223,-0.22,-0.2,-0.22,-0.00927738927738928,-0.0123076923076923,-0.125,0.0625757575757576,-0.0285187567482594,0.0648484848484848,0.0575757575757576,-0.2,0.0446197705452151,-0.207285604362125,-0.202482110912343,-0.202482110912343,-0.0879662641364769,0.00765983699711011,0.137395644283122,0.0933333333333333,0.0847747747747748,0.0766666666666667,0.0785425101214575,0.202482110912343,-0.19651781730095,0.0796608189411788,0.1,0.02,-0.115475372279496,0.00812796399003296,0.125,0.126923076923077,-0.116652734692957,0.05,-0.119433092774541,0.1,-0.04,-0.063778801843318,-0.0330555555555556,-0.0275,-0.212968566296051,-0.270237600083186,-0.284972677595628
"SRC",-0.191500862971451,0.0293464052287582,-0.0815123162000468,0.00854849387619993,-0.0717948717948718,0.0289137299482127,-0.0606837606837607,0.0471491228070175,0.1,-0.0333333333333333,-0.119560010447722,-0.117099160335866,-0.123196721311475,-0.115,0,-0.125,0.0686868686868687,0.124242424242424,-0.125,-0.0392857142857143,-0.0742236024844721,-0.0357142857142857,-0.025,0,0.0650643905360887,-0.103148632760648,-0.0970880267000417,-0.0970880267000417,0.0333694083694084,-0.0681385281385282,-0.0402380952380952,-0.0222222222222222,-0.0424603174603175,-0.0472222222222222,-0.0285714285714286,0.0970880267000417,-0.0831051517290049,0.0886799268987207,0.1,-0.133333333333333,-0.101173020527859,-0.0705736611396989,0.115,0.123196721311475,0.0879336925609939,0,-0.0415697753589182,0.1,-0.05,-0.0462482219061166,-0.0411111111111111,-0.03,-0.192109500805153,-0.268755615453729,-0.16531007751938
"Wnt",-0.00408845678318535,0.125108225108225,0.142068965517241,0.100512820512821,-0.02,0.115882352941176,-0.0325,0.109401709401709,0,0,0.0487564108947866,0.0520676691729323,0.0342105263157895,0.05,0.1,0,0.0533333333333333,0.0333333333333333,-0.1,-0.0357142857142857,0.0166472080823176,-0.0607142857142857,-0.05,0,0.0631755141080823,-0.00758714969241285,0.00150375939849624,0.00150375939849624,0.0863768115942029,0.078448275862069,-0.0683400809716599,-0.1,-0.0733333333333333,-0.0666666666666667,-0.0575757575757576,-0.00150375939849624,-0.055171568627451,-0.0303030303030303,0,0,-0.0266666666666667,-0.0356862745098039,-0.05,-0.0342105263157895,0.0375847457627119,0.1,-0.0963250517598344,0.1,-0.1,-0.0931226396342675,-0.0727272727272727,-0.1,-0.188686868686869,-0.268101386896222,-0.26078431372549
"TWIST1",0.292424037822464,0.251295379055417,0.413653515690507,0.228161668839635,0.238461538461538,0.172653327158476,0.24354628422425,0.228423878423878,0.166666666666667,0.238461538461538,0.140331727120131,0.134753808776255,0.138582292696622,0.12532928064843,0.104761904761905,0.138095238095238,0.0443478260869565,0.0443478260869565,0.138095238095238,0.0379487179487179,0.0791426809686968,0.0464392839864538,0.0533333333333333,0.133333333333333,-0.0805805805805806,0.121838142261448,0.11464636143953,0.11464636143953,0.142216410432183,-0.0637388988382238,-0.103848364688575,-0.14969696969697,-0.147455590386625,-0.132455590386625,0.034377750396057,-0.11464636143953,0.0108781469384895,-0.0995473880957752,-0.104761904761905,-0.04,-0.165734989648033,-0.0408652390222799,-0.124411027568922,-0.137211027568922,-0.13280225483017,-0.2,-0.171660696349138,-0.2,-0.244444444444444,-0.227433779413977,-0.252773211567732,-0.240444444444444,-0.200736820039828,-0.211551902779973,-0.194423598082135
"cMet",-0.0955443444515256,-0.003125,0.149284551620318,-0.0654626762985896,-0.0933333333333333,0.0551656583117257,-0.105833333333333,0.00612244897959184,-0.1,-0.1,-0.0724258411408589,-0.0809004174120453,-0.0670542635658915,-0.0833333333333333,0,0.05,0.11,0.11,-0.05,-0.105263157894737,0.0184783987304996,-0.103135498320269,-0.1,0.1,-0.0321789321789322,-0.024743935309973,-0.0228571428571429,-0.0228571428571429,-0.0829550827423168,-0.0539938556067588,0.0783808016877637,0.0466666666666667,0.0744444444444445,0.0966666666666667,-0.12047619047619,0.0228571428571429,0.00294922468835512,0.0561904761904762,0.1,-0.05,-0.052962962962963,-0.0863636363636364,0.0833333333333333,0.0651515151515151,0.065263253946528,0.2,-0.0992052550482524,0.2,0,0.00842300556586271,0,0,-0.147640124066754,-0.15974025974026,-0.0587301587301587
"CD44",-0.0922364564108132,0,0.153664113664114,-0.0713450292397661,-0.1,0.0517948717948718,-0.0933333333333333,0,-0.1,-0.2,-0.0809004174120453,-0.0670542635658915,-0.0833333333333333,0.05,0.1,0,0.11,0.05,-0.1,-0.1,0.0198297500818509,-0.105263157894737,-0.2,0.1,-0.0412698412698413,-0.0228571428571429,-0.0142857142857143,-0.0142857142857143,-0.0744444444444445,-0.0523809523809524,0.0745833333333333,0.0666666666666667,0.0966666666666667,0.0466666666666667,-0.107142857142857,0.0142857142857143,-0.0013986013986014,0.08,0,0,-0.0714814814814815,-0.11,0.05,0.0833333333333333,0.0748717948717949,0.2,-0.0856459330143541,0.1,0.1,-0.00612244897959184,0,0,-0.152327624066754,-0.158730158730159,-0.0587301587301587
"RAS",0.0719924368517719,0.0272542372881356,0.340876143947857,0.104347826086957,0.106666666666667,0.117435897435897,0.117777777777778,0.0147186147186147,-0.1,0.1,0.130276552380386,0.132259555213247,0.123028785982478,0.129411764705882,0.1,0.1,0.0602631578947368,0.055,0.1,0.0552631578947368,0.094678749911308,0.0533763654419066,0.05,0,-0.0488070692194404,0.0669230769230769,0.174615384615385,0.174615384615385,-0.0413628421665696,0.0340826873385013,0.0558730158730159,0.06,0.0423529411764706,0.06,0.0428571428571429,-0.174615384615385,0.0707313226887443,-0.0942292490118577,-0.1,0.02,-0.0240062893081761,-0.0622239422084623,-0.129411764705882,-0.125245098039216,0.00336817749692611,0,-0.0981710914454277,0,0,-0.000432900432900432,-0.012,0,-0.106,-0.112378497790869,-0.109285714285714
"cateninnuc",0.171297124920951,0.256642388958434,0.442624476654592,0.0525543674601468,0.252545454545455,0.209628880405065,0.261139204545455,0.0666522366522367,0.211111111111111,0.254545454545455,0.128083561531328,0.225294276803352,0.225667689798125,0.218921658052093,0.204428904428904,0.221095571095571,0.153568589424396,0.147239475500345,0.219497397579589,-0.0114038161141039,0.0287413896638024,-0.00549472520501294,-0.00326428123038292,0.212121212121212,-0.0321983202336298,0.242524662524663,0.238652608652609,0.238652608652609,0.14428015331554,-0.0121196783590687,-0.116828193664259,-0.144571428571429,-0.146463559429077,-0.138417582417582,0.00219759546600691,-0.238652608652609,0.182367662744197,-0.0792595271966013,-0.204428904428904,-0.145652173913043,-0.123325009151312,-0.156779598598708,-0.217323484536111,-0.223647595208048,0.0867384187448826,-0.233333333333333,-0.15200906401221,-0.233333333333333,-0.241111111111111,-0.0665158110042148,-0.252067225559742,-0.242750455373406,-0.0738878900212224,-0.0921381585359103,-0.0458656507588892
"NFB",0.19155384603187,0.130217421409777,0.353832799407768,0.128101503759398,0.227799227799228,0.233618113912232,0.223354783354783,0.121232123212321,0.12,0.214285714285714,0.100503073922234,0.102306995490862,0.0951339997102709,0.102478632478632,0.105555555555556,0.0824786324786325,0.0490793650793651,0.0468571428571429,0.0824786324786325,0.120923520923521,-0.0199404684543626,0.109955778988037,0.103463203463203,0.05,-0.0123361852908132,0.135673031788986,0.140150643729284,0.140150643729284,0.106797289349188,-0.0599956905839259,-0.075737109282926,-0.0888888888888889,-0.0966707070707071,-0.107070707070707,0.114739053516143,-0.140150643729284,-0.00530842430085922,-0.0736727456940223,-0.105555555555556,-0.0428571428571429,-0.111468404091355,-0.0497329598506069,-0.102478632478632,-0.0946134639393066,-0.112124113068347,-0.314285714285714,-0.119672967959071,-0.3,-0.1,-0.12680833139076,-0.122988505747126,-0.133333333333333,-0.0659498091995137,-0.0720905136404229,-0.0681318681318681
"IKK",0.186417409434759,0.122988505747126,0.347938490464679,0.126315789473684,0.214285714285714,0.237745098039216,0.227799227799228,0.122222222222222,0.1,0.314285714285714,0.102306995490862,0.0951339997102709,0.102478632478632,0.0824786324786325,0.05,0.105555555555556,0.0468571428571429,0.0428571428571429,0.105555555555556,0.103463203463203,-0.0201065814111733,0.120923520923521,0.127272727272727,0.1,-0.0157844611528822,0.140150643729284,0.131699939503932,0.131699939503932,0.0966707070707071,-0.0611721611721612,-0.0681673881673882,-0.1,-0.107070707070707,-0.0888888888888889,0.0989495798319328,-0.131699939503932,-0.000991877538269292,-0.0878571428571429,-0.05,0,-0.112750455373406,-0.0490793650793651,-0.0824786324786325,-0.102478632478632,-0.115186415074683,-0.3,-0.117755159739893,-0.2,-0.12,-0.121232123212321,-0.133333333333333,-0.1,-0.063835005574136,-0.0694085213032581,-0.0604395604395604
"ERK",0.132115826807527,-0.0412939592563088,0.339569083713162,-0.0720450944857837,-0.0471161191749427,0.131346994588,-0.0480335503676033,-0.0624057443023623,-0.0266666666666667,-0.0412337662337662,0.0868223771703348,0.0889751549481125,0.0841424411934657,0.0894859526438474,0.0929824561403509,0.0775978407557355,-0.0138041085840059,0.0911958914159941,0.0812820512820513,-0.0748109959788792,0.0237548783694206,-0.080074153873616,-0.077000777000777,0.0666666666666667,-0.00253708243427965,0.117363357214842,0.119233544233544,0.119233544233544,0.0799381369931885,-0.0445443543565174,-0.0663708270604822,-0.0723809523809524,-0.0760919831470347,-0.0826613262127281,0.0572353213129912,-0.119233544233544,0.0899144579734428,-0.0681865718759822,-0.0966666666666667,-0.110344827586207,0.108856300180239,0.0135255570519724,-0.0931701631701632,-0.0874057521425942,-0.0866161879308246,0.0321428571428571,-0.0127500697796767,0.0571428571428571,0.0466666666666667,0.0584543765212072,0.0437094181935069,0.0417486338797814,-0.0331610490120245,-0.043834779619549,-0.0398774370780643
"Ecadherin",0.186111748223698,0.109467868935738,0.205793930358717,0.0253419537430592,0.13005291005291,0.0593642239018512,0.123559403559404,0.0346666666666667,0.1,0.115238095238095,0.0761782947036041,0.0792595271966013,0.0716630141206362,0.0806931144550844,0.0862745098039216,0.0606931144550844,0.111940018744142,0.110909090909091,0.0606931144550844,-0.0212736151531594,0.0334828850490218,-0.0335412731457244,-0.0408612440191388,0.0333333333333333,-0.0145506189504986,0.11523483910109,0.121380090497738,0.121380090497738,0.0854574564058973,-0.0264696093775302,-0.085450768767663,-0.0674545454545455,-0.0762350332594235,-0.0874545454545455,-0.019515663085673,-0.121380090497738,0.0518633984443185,-0.0532907914984947,-0.0862745098039216,-0.110909090909091,-0.0355458969423656,-0.115469430508848,-0.0796586316964637,-0.070991965029797,-0.0894359084907865,-0.12,-0.0511767958414202,-0.1,-0.0833333333333333,-0.0407199354317998,-0.100806451612903,-0.108333333333333,-0.036397182374836,-0.0433191006509863,-0.0224097515236756
"cateninmemb",-0.0665914954875917,0.109467868935738,0.205793930358717,0.0253419537430592,0.13005291005291,0.0593642239018512,0.123559403559404,0.0346666666666667,0.1,0.115238095238095,0.0761782947036041,0.0792595271966013,0.0716630141206362,0.0806931144550844,0.0862745098039216,0.0606931144550844,0.111940018744142,0.110909090909091,0.0606931144550844,-0.0212736151531594,0.0334828850490218,-0.0335412731457244,-0.0408612440191388,0.0333333333333333,-0.0145506189504986,0.11523483910109,0.121380090497738,0.121380090497738,0.0854574564058973,-0.0264696093775302,-0.085450768767663,-0.0674545454545455,-0.0762350332594235,-0.0874545454545455,-0.019515663085673,-0.121380090497738,0.0518633984443185,-0.0532907914984947,-0.0862745098039216,-0.110909090909091,-0.0355458969423656,-0.115469430508848,-0.0796586316964637,-0.070991965029797,0.024519430976636,-0.12,-0.0511767958414202,-0.1,-0.0833333333333333,-0.0407199354317998,-0.100806451612903,-0.108333333333333,-0.036397182374836,-0.0433191006509863,-0.0224097515236756
"HEY1",0.281535312001692,0.100806451612903,0.200676531201583,0.0219862490450726,0.115238095238095,0.0643921568627451,0.13005291005291,0.0346666666666667,0,0.12,0.0792595271966013,0.0716630141206362,0.0806931144550844,0.0606931144550844,0.0333333333333333,0.0862745098039216,0.110909090909091,0.110909090909091,0.0862745098039216,-0.0408612440191388,0.0336692783388634,-0.0212736151531594,-0.0145454545454545,0.1,-0.0173942208462332,0.121380090497738,0.109615384615385,0.109615384615385,0.0762350332594235,-0.0273526115850357,-0.0788146131612556,-0.0954545454545455,-0.0874545454545455,-0.0674545454545455,-0.0366209262435678,-0.109615384615385,0.0580418881468357,-0.0695794512923091,-0.0333333333333333,-0.12,-0.0359204287775716,-0.111940018744142,-0.0606931144550844,-0.0796586316964637,-0.0941794982343763,-0.1,-0.0483286945755974,-0.1,-0.1,-0.0346666666666667,-0.108333333333333,-0.0833333333333333,-0.0347212047212047,-0.0409494324045408,-0.0148148148148148
"FOXC2",0.281535312001692,0.100806451612903,0.200676531201583,0.0219862490450726,0.115238095238095,0.0643921568627451,0.13005291005291,0.0346666666666667,0,0.12,0.0792595271966013,0.0716630141206362,0.0806931144550844,0.0606931144550844,0.0333333333333333,0.0862745098039216,0.110909090909091,0.110909090909091,0.0862745098039216,-0.0408612440191388,0.0336692783388634,-0.0212736151531594,-0.0145454545454545,0.1,-0.0173942208462332,0.121380090497738,0.109615384615385,0.109615384615385,0.0762350332594235,-0.0273526115850357,-0.0788146131612556,-0.0954545454545455,-0.0874545454545455,-0.0674545454545455,-0.0366209262435678,-0.109615384615385,0.0580418881468357,-0.0695794512923091,-0.0333333333333333,-0.12,-0.0359204287775716,-0.111940018744142,-0.0606931144550844,-0.0796586316964637,-0.0941794982343763,-0.1,-0.0483286945755974,-0.1,-0.1,-0.0346666666666667,-0.108333333333333,-0.0833333333333333,-0.0347212047212047,-0.0409494324045408,-0.0148148148148148
"RAF",0.131159495757157,-0.0417486338797814,0.336926910299003,-0.0771583430120015,-0.0321428571428571,0.123615567439097,-0.0412337662337662,-0.0647732135216089,-0.1,-0.0571428571428571,0.0841424411934657,0.0894859526438474,0.0775978407557355,0.0929824561403509,0.1,0.0666666666666667,0.110344827586207,0.1,0.0666666666666667,-0.0616161616161616,0.0243875250448612,-0.077000777000777,-0.0888888888888889,0,-0.00143472022955524,0.114471639471639,0.120454545454545,0.120454545454545,0.0826613262127281,-0.039913317572892,-0.0689949896846449,-0.0666666666666667,-0.0723809523809524,-0.0866666666666667,0.0612698412698413,-0.120454545454545,0.0871048589214973,-0.0618143459915612,-0.1,-0.1,0.114705882352941,-0.0911958914159941,-0.0966666666666667,-0.0812820512820513,-0.0847740177151942,0.1,-0.00982984185944883,0.1,0.0666666666666667,0.059822718472104,0.0466666666666667,0.0266666666666667,-0.0294071790429842,-0.0387766618842659,-0.0367766618842659
"SNAI2",0.458948838710221,0.185658150584177,0.484821306145176,0.026416515973478,0.161781609195402,0.174799060855855,0.172624982689378,0.0451374916163649,0.1,0.158333333333333,0.188757103154665,0.184564556570814,0.186007855539886,0.175255167367843,0.150909090909091,0.179480519480519,0.141176470588235,0.13921568627451,0.179480519480519,-0.0881578947368421,0.0890026810600479,-0.0803656869446343,-0.0758771929824561,0.16,-0.0169406335221313,0.169210348280864,0.163274275221503,0.163274275221503,0.132655380992977,-0.081721669216568,-0.11626999312163,-0.129411764705882,-0.135760971055089,-0.124649859943978,-0.0534820824881677,-0.163274275221503,0.17004489952115,-0.116293234890327,-0.150909090909091,-0.133333333333333,-0.0291794871794872,-0.142527821939587,-0.175255167367843,-0.18541559517533,-0.174641751729043,-0.133333333333333,-0.0443150284835396,-0.1,-0.16,-0.0475298361139725,-0.184249699879952,-0.165882352941176,-0.0338459845585314,-0.0385603104677995,-0.0126923076923077
