"","FOXC2","NOTCH","SNAI1","NFB","Jagged","ILK","SMAD","cfos","AKT","HEY1","ERK","FUS","Csn","Destcompl","RKIP","TWIST1","Frizzled","Wnt","ZEB2","ZEB1","SNAI2","GSK3","SOSGRB2","TGF","RAS","DELTA","RAF","PI3K","PAK1","TGFR","CDC42","Ecadherin","GLI","cateninmemb","TCFLEF","cateninnuc","KLF4","CD44","cMet","miR200","SRC","DSH","SUFU","STAT","MEK","AXIN2","EGR1","SMO","TrCP","LIV1","Patched","IKK","SHH","Csl","NOTCHic"
"Frizzled",-0.123935599284436,-0.0417366946778711,-0.000741890959282263,0.126666666666667,0.0927606951871658,0.021506658715961,0.018702920398204,0.0333333333333333,0.120416666666667,0.0277686852154937,0.0392156862745098,0,0.0666666666666667,0.0447175239117614,0.00261904761904762,-0.152408963585434,0.15,0.186842105263158,-0.151559488803974,-0.151559488803974,-0.243548623953008,-0.106097178683386,0.096969696969697,0.0824430641821946,-0.133930387888117,-0.137867395762133,0.137867395762133,0.137867395762133,-0.0666666666666667,-0.0910144927536232,-0.0866666666666667,-0.218627746499501,-0.186842105263158,-0.214217783158461,-0.188828860230045,-0.187876479277664,-0.146498599439776,-0.186842105263158,-0.186842105263158,-0.0670107323232323,-0.15,-0.2,0,-0.1,-0.0540305010893246,-0.232741367159972,-0.0333333333333333,0.00909090909090909,-0.1,-0.1,0.0329004329004329,-0.114166666666667,0.0393520458036587,0.0642857142857143,0.0476190476190476
"Wnt",-0.112307692307692,-0.0476190476190476,-0.00709109730848861,0.0666666666666667,0.0897303921568628,0.0145299145299145,0.021506658715961,0.0333333333333333,0.114166666666667,0.0256410256410256,0.0333333333333333,0,0.1,0.0386167281557932,0.0133333333333333,-0.147647058823529,0.2,0.15,-0.148589191774271,-0.148589191774271,-0.236293103448276,-0.107915360501567,0.0939393939393939,0.0910144927536232,-0.137867395762133,-0.101503759398496,0.101503759398496,0.101503759398496,-0.1,-0.0866666666666667,-0.0666666666666667,-0.221658049529804,-0.186842105263158,-0.215805084745763,-0.186842105263158,-0.188828860230045,-0.16078431372549,-0.186842105263158,-0.15,-0.0623232323232323,-0.1,-0.2,0,-0.1,-0.0392156862745098,-0.218787878787879,0,0,-0.1,0,0.00909090909090909,-0.126666666666667,0.0329004329004329,0.05,0.0642857142857143
"Destcompl",-0.0742068200499094,-0.00539604473341512,-0.00758407810935853,0.0111801242236025,0.0123111347837069,0.00944444444444444,0.0100292397660819,-0.0333333333333333,0.0246573598484891,0.0136883629191322,-0.0284153005464481,0.0743295019157088,0.0285714285714286,-0.0888583292915031,0.00044671394201995,-0.013599452352798,0.0144270493585562,0.0134369503486552,-0.0903742492988562,-0.0903742492988562,0.0835983689060958,-0.0112263348728309,-0.00987558409956878,-0.0634197562872699,-0.0303967224012278,-0.0275709767183393,0.0275709767183393,0.0275709767183393,0.06,0.0660798548094374,0.0634482758620689,-0.0649298860127907,-0.0165909392169298,-0.0375191444755289,-0.0163666663421315,-0.015652744873493,-0.0947631487521684,-0.0169146115476109,-0.0139295369207453,-0.0679534164102121,-0.0144270493585562,-0.0103174603174603,-0.0777777777777778,-0.0103174603174603,0.027571418689908,0.083237640305162,0.0333333333333333,-0.0657580733442803,0,0.0111111111111111,-0.0652399386292543,-0.0192882323317106,-0.0642728206408598,-0.000470035252643949,0.00279083431257344
"NFB",-0.224611970588066,0.0682111436950147,-0.109628157907986,-0.157142857142857,0.00531041333755863,-0.105851210121012,-0.105479462909116,-0.0317142857142857,-0.148734448734449,-0.10812140645732,-0.0250476190476191,-0.12,-0.0571428571428571,0.0993651494552134,-0.0955233291298865,-0.243580765639589,0.111111111111111,0.10957264957265,-0.0567684729064039,-0.0567684729064039,-0.373920058204074,-0.0197382029734971,-0.0882330827067669,0.0577085794655415,-0.0149149958395441,-0.0134224585261113,0.0134224585261113,0.0134224585261113,-0.0611111111111111,-0.0539111111111111,-0.0611111111111111,-0.105753466737585,-0.114067031595122,-0.142302031637953,-0.114793274617347,-0.1145579804997,-0.0527472527472527,-0.113527451832537,-0.10957264957265,-0.0379766054690526,-0.111111111111111,-0.111111111111111,0.12,-0.111111111111111,0.0257012138188609,-0.143074974670719,0.0357142857142857,0.131111111111111,0.1,-0.1,0.127662835249042,0.15984555984556,0.127662835249042,-0.0774891774891775,-0.0727272727272727
"ZEB2",-0.198083916083916,-0.119828499369483,-0.118834517049823,-0.113888888888889,-0.11158885761714,-0.104685033276583,-0.103465521081461,-0.0969298245614035,-0.0943665628245067,-0.0927712609970674,-0.0904782116581777,-0.0892857142857143,-0.0888888888888889,-0.0859357615465986,-0.0841062801932367,-0.0804599399680847,-0.0593939393939394,-0.0542657342657343,-0.0376293328059088,-0.0376293328059088,-0.0341779588093115,-0.0273856907605264,-0.0163553113553114,-0.0109599395313681,-0.00684372016277798,-0.0032034632034632,0.0032034632034632,0.0032034632034632,0.00519480519480519,0.0136054421768707,0.0142857142857143,0.0197320189559183,0.0515134406877526,0.0544073223703525,0.0579215056420394,0.0579215056420394,0.0582932000368722,0.0586257309941521,0.0614035087719298,0.0623860945621688,0.0666666666666667,0.0727272727272727,0.075,0.08,0.0868196750728119,0.0903331671176289,0.0916666666666667,0.0978571428571429,0.1,0.1,0.100296167247387,0.102777777777778,0.10393253088375,0.117948717948718,0.119282051282051
"cateninnuc",0.0840781076846651,0.011135836090507,-0.089187772987192,-0.18219696969697,-0.11857072075528,-0.0166046176046176,-0.0156496380684648,-0.152760524499655,-0.17619696969697,-0.0123019469202808,-0.151494701714845,0.101111111111111,-0.179166666666667,-0.0299532506961827,-0.0692927973597949,0.0910231738938372,-0.115180253536418,-0.108658514405983,-0.0320366277119089,-0.0320366277119089,0.28700896391102,0.0144930004608935,-0.133105193312132,-0.00346595932802829,0.168578103578104,0.171103356103356,-0.171103356103356,-0.171103356103356,0,0.00346595932802829,0.00461538461538462,-0.0348667593785551,0.106286972904007,0.0886679722672441,0.104496234266179,0.00369535053240419,-0.0493582139489613,0.104869647260952,0.107250599641904,-0.0134177728097134,0.113772338772339,0.116550116550117,-0.111111111111111,0.116550116550117,0.150577270522184,0.25923562911867,0.154347826086957,-0.0961930783242259,0.166666666666667,0.124242424242424,-0.0943297242869588,0.17619696969697,-0.0914974802782442,-0.0128060263653484,-0.00931765427232514
"Csn",-0.100471427315605,0.0876595626595627,-0.100099005383174,-0.105,-0.00815496261832309,-0.00440864389233954,-0.00312329684863775,-0.04,-0.0997,-0.00890088593576966,-0.0412987012987013,0.00317460317460317,-0.105,-0.00370045411929891,-0.0915521610433301,-0.00908524232507402,-0.0701149425287356,-0.0616812075889766,-0.0286021505376344,-0.0286021505376344,0.0199749431545517,0.0722592236462623,-0.0212360198316615,-0.0863366566702512,0.07288935344532,0.0757684321401376,-0.0757684321401376,-0.0757684321401376,0.0840909090909091,0.0851433392478169,0.0915535956580733,-0.0202182062826687,0.0603711639208543,0.00849954280511056,0.059704787438923,0.0576001572525129,-0.0304575163398693,0.0603478742556433,0.0616812075889766,-0.0201733353312682,0.0701149425287356,0.0666666666666667,-0.0142857142857143,0.0666666666666667,0.0412987012987013,0.0949851471514007,0.04,-0.0062049062049062,-0.02,0.0666666666666667,-0.0051296373877019,0.0925,-0.00267062099425928,-0.0883838383838384,-0.0818903318903319
"Ecadherin",0.139208368525289,-0.0818502093267054,-0.0354762677842631,-0.234285714285714,-0.267891269676167,-0.0135652173913043,-0.014775871144331,-0.19903743315508,-0.24039442039442,0.000935393071200414,-0.202130216660235,0.25,-0.22,-0.132644853882476,-0.0127567812961071,0.231021628266452,-0.270223438212494,-0.26849930028146,-0.0266591590490025,-0.0266591590490025,0.351386516444219,0.117549572765491,-0.188580692726671,-0.00637743197422111,0.238567645794889,0.241640271493213,-0.241640271493213,-0.241640271493213,0.00509090909090909,0.00619660014781966,0.00375757575757576,0.088802804614186,0.263832633614793,0.32936704217192,0.25923562911867,0.257741698212974,-0.0469760900140647,0.262598020152294,0.26761474256032,-0.0148932135524314,0.270223438212494,0.272549019607843,-0.233333333333333,0.272549019607843,0.20252237352298,0.332320226850314,0.187272727272727,-0.25,0.2,0.266666666666667,-0.246774193548387,0.241693121693122,-0.244411988823978,0.0838277511961723,0.0807349676910176
"cateninmemb",0.139208368525289,-0.0818502093267054,-0.0354762677842631,-0.234285714285714,-0.267891269676167,-0.0135652173913043,-0.014775871144331,-0.19903743315508,-0.24039442039442,0.000935393071200414,-0.202130216660235,0.25,-0.22,-0.132644853882476,-0.0127567812961071,0.231021628266452,-0.270223438212494,-0.26849930028146,-0.0266591590490025,-0.0266591590490025,0.351386516444219,0.117549572765491,-0.188580692726671,-0.00637743197422111,0.238567645794889,0.241640271493213,-0.241640271493213,-0.241640271493213,0.00509090909090909,0.00619660014781966,0.00375757575757576,0.106573556418494,0.263832633614793,0.237498711672126,0.25923562911867,0.257741698212974,-0.0469760900140647,0.262598020152294,0.26761474256032,-0.0148932135524314,0.270223438212494,0.272549019607843,-0.233333333333333,0.272549019607843,0.20252237352298,0.332320226850314,0.187272727272727,-0.25,0.2,0.266666666666667,-0.246774193548387,0.241693121693122,-0.244411988823978,0.0838277511961723,0.0807349676910176
"KLF4",0.140810199188905,-0.0807349676910176,-0.0348433563918581,-0.22,-0.270408432147563,-0.0106666666666667,-0.0135652173913043,-0.187272727272727,-0.241693121693122,0.00294881588999236,-0.19903743315508,0.233333333333333,-0.2,-0.13311083710708,-0.0131313131313131,0.234187363834423,-0.272549019607843,-0.270223438212494,-0.0252373581011352,-0.0252373581011352,0.354336546546567,0.119757078284255,-0.185949113779302,-0.00619660014781966,0.241640271493213,0.243846153846154,-0.243846153846154,-0.243846153846154,0.00909090909090909,0.00375757575757576,0.00509090909090909,0.190068627398996,0.26849930028146,0.332187554992433,0.262598020152294,0.25923562911867,-0.0444444444444444,0.26761474256032,0.270223438212494,-0.0143345543345543,0.272549019607843,0.266666666666667,-0.2,0.266666666666667,0.202130216660235,0.335000639221448,0.16,-0.25,0.1,0.233333333333333,-0.25,0.234285714285714,-0.246774193548387,0.0890909090909091,0.0838277511961723
"HEY1",0.140810199188905,-0.0807349676910176,-0.0348433563918581,-0.22,-0.270408432147563,-0.0106666666666667,-0.0135652173913043,-0.187272727272727,-0.241693121693122,0.00294881588999236,-0.19903743315508,0.233333333333333,-0.2,-0.13311083710708,-0.0131313131313131,0.234187363834423,-0.272549019607843,-0.270223438212494,-0.0252373581011352,-0.0252373581011352,0.354336546546567,0.119757078284255,-0.185949113779302,-0.00619660014781966,0.241640271493213,0.243846153846154,-0.243846153846154,-0.243846153846154,0.00909090909090909,0.00375757575757576,0.00509090909090909,0.190068627398996,0.26849930028146,0.332187554992433,0.262598020152294,0.25923562911867,-0.0444444444444444,0.26761474256032,0.270223438212494,-0.0143345543345543,0.272549019607843,0.266666666666667,-0.2,0.266666666666667,0.202130216660235,0.335000639221448,0.16,-0.25,0.1,0.233333333333333,-0.25,0.234285714285714,-0.246774193548387,0.0890909090909091,0.0838277511961723
"FOXC2",0.140810199188905,-0.0807349676910176,-0.0348433563918581,-0.22,-0.270408432147563,-0.0106666666666667,-0.0135652173913043,-0.187272727272727,-0.241693121693122,0.00294881588999236,-0.19903743315508,0.233333333333333,-0.2,-0.13311083710708,-0.0131313131313131,0.234187363834423,-0.272549019607843,-0.270223438212494,-0.0252373581011352,-0.0252373581011352,0.354336546546567,0.119757078284255,-0.185949113779302,-0.00619660014781966,0.241640271493213,0.243846153846154,-0.243846153846154,-0.243846153846154,0.00909090909090909,0.00375757575757576,0.00509090909090909,0.190068627398996,0.26849930028146,0.332187554992433,0.262598020152294,0.25923562911867,-0.0444444444444444,0.26761474256032,0.270223438212494,-0.0143345543345543,0.272549019607843,0.266666666666667,-0.2,0.266666666666667,0.202130216660235,0.335000639221448,0.16,-0.25,0.1,0.233333333333333,-0.25,0.234285714285714,-0.246774193548387,0.0890909090909091,0.0838277511961723
"CD44",-0.00624999999999999,-0.190977443609023,-0.0198298777246146,0,-0.0846620046620047,-0.0888888888888889,-0.0909297052154195,0,-0.00666666666666667,-0.0847953216374269,-0.02,-0.1,-0.1,-0.0586107170140784,0.118888888888889,-0.0227838827838828,0.1,0.1,0.0190476190476191,0.0190476190476191,-0.248964368964369,-0.0761904761904762,-0.133333333333333,0.0213888888888889,-0.0971428571428571,-0.128571428571429,0.128571428571429,0.128571428571429,0,-0.0325,-0.02,-0.0215079795896211,-0.08,-0.0715018315018315,-0.0869767441860465,-0.0931305903398927,-0.0761904761904762,-0.08,0,0.0377821695213,0,0,0.1,0.1,0,-0.11,0,0.1,0,0.1,0.12,0,0.101818181818182,0.2,0.185714285714286
"cMet",0.00514240506329115,-0.197360422332427,-0.0147451319619027,0,-0.0824880916185264,-0.0909297052154195,-0.0945660688517831,-0.02,0.0183333333333333,-0.0828345373237014,0,-0.1,0,-0.059286392689754,0.137407407407407,-0.0194130962670288,0.1,0.08,0.0240981240981241,0.0240981240981241,-0.253343931008165,-0.0890937019969278,-0.146666666666667,0.0320271867612293,-0.0971428571428571,-0.0971428571428571,0.0971428571428571,0.0971428571428571,-0.02,-0.0213888888888889,-0.0325,-0.0202357149585779,-0.0890909090909091,-0.0761281660214045,-0.0931305903398927,-0.0931305903398927,-0.080952380952381,-0.0869767441860465,-0.08,0.0440321695213,0,-0.1,0.1,0,-0.00181818181818182,-0.111587301587302,0,0.12,0.1,0.1,0.101818181818182,0.00666666666666667,0.0986931818181818,0.185714285714286,0.190977443609023
"SNAI2",-0.183157282673101,0.134244702665755,0.0305616500267061,0.25,0.331568868700338,0.00898725687458082,0.0123365391712315,0.207843137254902,0.287390943082675,-0.0104882459312839,0.229411764705882,-0.26,0.2,0.184205681234433,0.00964102564102564,-0.285190913609021,0.326883116883117,0.333925370404244,0.0252739668554647,0.0252739668554647,-0.0355602380396094,-0.170305231140265,0.221805273833671,0.00626988811132034,-0.300178272698085,-0.300178272698085,0.300178272698085,0.300178272698085,-0.00588235294117647,-0.00502765208647562,-0.00588235294117647,-0.375866411342863,-0.33552964847911,-0.407983987820924,-0.332320226850314,-0.329214636788202,0.0453846153846154,-0.335000639221448,-0.333925370404244,0.0156194576445582,-0.326883116883117,-0.305454545454545,0.2,-0.305454545454545,-0.238871224165342,-0.395603754246778,-0.166666666666667,0.289411764705882,-0.1,-0.26,0.299615846338535,-0.274137931034483,0.301024297042761,-0.13859649122807,-0.136842105263158
"ZEB1",0.264860210101278,0.0648567898233674,0.0931543450810855,0.0319298245614035,-0.017155755225085,0.101361224678813,0.0989573785249667,0.0133333333333333,0.00574715477217635,0.0939330531299443,0.000392156862745099,0.158333333333333,0.0266666666666667,-0.136983783809711,0.0830746816046623,0.271916585865758,-0.293263646922184,-0.297109800768337,0.0295455197417452,0.0295455197417452,0.355272206967811,0.132953904804743,-0.132982456140351,0.00576436903788536,0.257272243033527,0.256169880828803,-0.256169880828803,-0.256169880828803,-0.000766283524904214,-0.00852027454969639,-0.00801266033649842,0.19917293511227,0.298140728603389,0.329773871382474,0.291622353470815,0.289567558950267,0.0252766173338941,0.293484055598475,0.29278961115403,-0.066940029431527,0.288868042526579,0.276190476190476,-0.133333333333333,0.271794871794872,0.00533471538395094,0.335725973058434,-0.0333333333333333,-0.171969696969697,-0.0666666666666667,0.233333333333333,-0.175891265597148,-0.0171757262007478,-0.177670625027753,-0.0604166666666667,-0.0623774509803922
"IKK",0.224213564213564,-0.0727272727272727,0.110998020921685,0.0571428571428571,-0.00315213995626367,0.104861111111111,0.105851210121012,0.0357142857142857,0.15984555984556,0.109907120743034,0.0317142857142857,0.12,0.1,-0.100029601282456,0.0980874316939891,0.241993464052288,-0.111111111111111,-0.111111111111111,0.0556190476190476,0.0556190476190476,0.37148103381383,0.0162087912087912,0.0892857142857143,-0.0539111111111111,0.0134224585261113,0.0190562613430127,-0.0190562613430127,-0.0190562613430127,0.05,0.0611111111111111,0.0611111111111111,0.105111412162946,0.10957264957265,0.140929275566147,0.113527451832537,0.114793274617347,0.045054945054945,0.10957264957265,0.111111111111111,0.0394871794871795,0.111111111111111,0.1,-0.1,0.1,-0.0250476190476191,0.140238095238095,-0.05,-0.12,0,0.1,-0.131111111111111,-0.157142857142857,-0.127662835249042,0.0727272727272727,0.0774891774891775
"SOSGRB2",0.0840659340659341,0.164926622673102,0.00110874200426439,-0.0666666666666667,-0.0176063915412053,-0.00365591397849463,-0.00994962027220092,-0.019047619047619,-0.0763157894736842,-0.0147727272727273,-0.0163449163449163,0,-0.1,0.00172661045144267,-0.110270467836257,0.0775652173913043,0.0142857142857143,-0.019047619047619,0.0892606516290727,0.0892606516290727,0.25661721259485,-0.0676333297371166,-0.0647222222222222,-0.003676252825189,0.0302694480660582,0.00847457627118644,-0.00847457627118644,-0.00847457627118644,0.0214285714285714,0.00296703296703297,-0.00857142857142857,-0.017511527044703,0.0320910973084886,-0.0336345696345696,0.0228767571101667,0.0215383249877958,0.0964035087719299,0.0291925465838509,0.0161490683229814,0.063304920658947,-0.0142857142857143,0,0,0,0.00725400725400725,0.0224903740374037,-0.0142857142857143,0.0166666666666667,0.1,0,0.013963963963964,0.0929824561403509,-0.0023151058034779,-0.172727272727273,-0.18041958041958
"miR200",0.0388337407849603,-0.0302724666722329,-0.00640988640988641,-0.0357894736842105,-0.071387053464397,-0.000884955752212389,-0.00182539462368574,-0.0342857142857143,-0.0481344871612995,0.00169491525423729,-0.0479220779220779,0.0325,-0.02,-0.150761195154111,-0.00169442009932807,0.150030746349765,-0.232,-0.236225352112676,0.0961648745519713,0.0961648745519713,0.238207985928684,0.0760511694884131,-0.0604738878143133,-0.00137938896488828,0.191920543074003,0.192169919632606,-0.192169919632606,-0.192169919632606,0,0.00196078431372549,0.00196078431372549,0.220642138893282,0.236225352112676,0.254214400462873,0.236475179579895,0.235111543216258,0.0924775707384403,0.237268830373546,0.237268830373546,-0.00188317605902931,0.23304347826087,0.22,-0.02,0.22,0.0526839826839827,0.274823783638343,0.0142857142857143,-0.0391666666666667,0,0.2,-0.042964135021097,0.0443609022556391,-0.0440510915428362,0.0308374384236453,0.0308374384236453
