"","FOXC2","SMAD","HEY1","SHH","FUS","NOTCHic","SUFU","TWIST1","MEK","cfos","ERK","EGR1","PAK1","SNAI2","CDC42","STAT","DSH","RAF","cMet","LIV1","Frizzled","Ecadherin","GLI","Wnt","Destcompl","cateninnuc","CD44","TCFLEF","SRC","AXIN2","cateninmemb","PI3K","DELTA","RAS","SOSGRB2","ZEB1","TGFR","TGF","GSK3","TrCP","Csl","Csn","NOTCH","NFB","RKIP","Jagged","IKK","SMO","AKT","Patched","SNAI1","ILK","miR200","ZEB2","KLF4"
"cateninmemb",-0.0653259140410302,0.0226839316419272,0.0296030065473413,-0.0206899288798578,-0.0166666666666667,0.0859981255857545,-0.0333333333333333,-0.00766149389613077,-0.0853148832166419,-0.0890909090909091,-0.0880599812558576,-0.0890909090909091,0.0652727272727273,0.104469837616238,0.0692727272727273,0.0274509803921569,0.0274509803921569,-0.00811085972850679,0.0289069965701144,0.0333333333333333,0.0297765617875057,0.135566066670754,-0.029109895120839,-0.0297765617875057,-0.0876389873724949,-0.0286970814108246,-0.0285725484095793,-0.0286970814108246,-0.0297765617875057,-0.0382554935988942,0.103129304297446,0.00811085972850679,0.00811085972850679,0.00839018933744534,-0.13939544401312,0.0109470847455969,-0.0687849223946785,-0.0693274178738828,-0.0890065258020001,0,-0.0890909090909091,0.02,-0.0871133672214422,0.00571428571428572,-0.0329623916301284,-0.0352036900210182,0.00941798941798942,0.0229166666666667,0.00422318422318422,0.0175403225806452,-0.024814820231192,-0.019536231884058,-0.0128115770015211,-0.0200257997936017,-0.00379746835443038
"IKK",0.125772005772006,-0.105259900990099,-0.106501547987616,-0.0837037037037037,-0.08,-0.00432900432900433,-0.1,0.196339869281046,0.0116190476190476,0.0142857142857143,0.0182857142857143,0,-0.15,0.211385083713851,-0.15,-0.1,-0.1,-0.0824561403508772,-0.0965811965811966,-0.1,-0.0888888888888889,0.296247234923857,0.095042735042735,0.0965811965811966,-0.0918242952557564,0.0956077067941475,0.095042735042735,0.0956077067941475,0.0888888888888889,0.0821428571428572,0.247398588376242,0.0824561403508772,0.0824561403508772,0.0838645910551025,0.139285714285714,-0.00326315789473684,0.15,0.1524,0.0245604395604396,0.2,0.00909090909090909,0.3,0.00274170274170274,0.285714285714286,0.0127504553734062,0.0989097157138394,0.185714285714286,0.08,0.193822393822394,0.0837037037037037,0.0118744698897371,0.10625,0.00434782608695652,0.00726315789473684,0.00256410256410256
"NFB",0.125373599397504,-0.106375142625787,-0.106501547987616,-0.0837037037037037,-0.08,-0.00274170274170274,-0.08,0.196022408963585,0.0109654528478058,0.0182857142857143,0.0116190476190476,0.0142857142857143,-0.15,0.211588335746371,-0.15,-0.0888888888888889,-0.0888888888888889,-0.0838645910551025,-0.095042735042735,-0.1,-0.0965811965811966,0.296568262211176,0.095042735042735,0.095042735042735,-0.0918242952557564,0.0953724126765004,0.0956077067941475,0.0956077067941475,0.0965811965811966,0.0835612968591692,0.247926571480783,0.0838645910551025,0.0838645910551025,0.0838645910551025,0.142443609022556,-0.00364629965718895,0.1524,0.1524,0.0253447532859298,0.3,0.00432900432900433,0.285714285714286,0.00338686403202532,0.185714285714286,0.0140325066554575,0.0989097157138394,0.193822393822394,0.0837037037037037,0.196044616044616,0.0837037037037037,0.0126963876979562,0.105259900990099,0.00585840010508341,0.00764629965718895,0.00448717948717949
"ERK",-0.00772369186162289,0.0830810368669046,0.106984542599293,0.0916067809875197,0.08,0.172835599112971,0.1,-0.0552796404052829,-0.0108853122481609,0.0866030814380044,-0.0150635852286623,0.0972413793103448,0.0685714285714286,0.307800587883027,0.0620293724966622,-0.00526315789473684,-0.01,0.0185808635808636,-0.00596245859403754,0,-0.01,0.192676652636328,0.0119524335313809,0.0106993006993007,-0.181496372416262,0.00707130934651822,0.0072347232250808,0.00686297601318489,0.00526315789473684,0.00382658669784326,0.161444728187913,-0.0185808635808636,-0.0185808635808636,-0.0164906545599615,0.0662407150562491,0.00262418094438339,-0.0656790075331586,-0.065129556983708,-0.0150113397171198,-0.0142857142857143,-0.172105672105672,-0.0267857142857143,-0.172004574182223,-0.00557359307359307,0.0107430730685472,-0.0882560048985499,-0.0114559460147695,-0.0881967213114754,-0.0151256707854117,-0.0901575056252009,-0.0139380826855904,-0.085816599176935,0.00361179498704172,0.016490753218258,0.0185356956168741
"MEK",-0.00960403374196477,0.085816599176935,0.10596065181431,0.0901575056252009,0.1,0.172105672105672,0.1,-0.0562505141916907,-0.0150635852286623,0.0972413793103448,0.0866030814380044,0.08,0.0733333333333333,0.30762024523199,0.0685714285714286,0,0,0.0195332445332445,-0.00526315789473684,0,-0.01,0.192573666024588,0.0106993006993007,0.01,-0.180932674558313,0.00686297601318489,0.00596245859403754,0.0072347232250808,0.00526315789473684,0.00333878181979448,0.161444728187913,-0.0195332445332445,-0.0195332445332445,-0.0185808635808636,0.0652698412698413,0.00341158251918654,-0.0620293724966622,-0.0656790075331586,-0.0145572071103986,0,-0.17979797979798,-0.0142857142857143,-0.172835599112971,-0.0267857142857143,0.013250036856848,-0.0882560048985499,-0.00557359307359307,-0.08,-0.0114559460147695,-0.0881967213114754,-0.0153269715744793,-0.0839715807267505,0.00336669694782604,0.0185379973127462,0.0200860832137733
"SNAI2",0.100110179073485,-0.0341782753939907,-0.0491862567811935,0.113341561976903,0.12,-0.140350877192982,0.1,0.114295262414403,0.107843137254902,0.105882352941176,0.107843137254902,0.1,-0.117647058823529,0.196014541204545,-0.117647058823529,-0.129090909090909,-0.129090909090909,0.0566833955738804,-0.130499359795134,-0.12,-0.129090909090909,0.412480038624089,0.131034119153423,0.130499359795134,0.13548744980948,0.130293174228124,0.130499359795134,0.130293174228124,0.129090909090909,0.0885311683463979,0.317154360337845,-0.0566833955738804,-0.0566833955738804,-0.0553135325601818,0.179580797836376,-0.00951185231801972,0.120211161387632,0.120832279400054,0.1367415385152,-0.1,0.13859649122807,-0.0666666666666667,0.139052175894281,-0.0666666666666667,0.0265128205128205,0.136918787323914,-0.0563218390804598,-0.114117647058824,-0.0551170198033513,-0.116158463385354,0.0215761427803293,0.0356136820925553,0.0122715112884377,0.0187027480595763,0
"KLF4",0.0660124128968654,-0.019536231884058,-0.0343009931245225,0.0175403225806452,0.0333333333333333,-0.0890909090909091,0,0.00859259259259259,0.0880599812558576,0.0890909090909091,0.0890909090909091,0.08,-0.0772727272727273,-0.104409632920271,-0.0652727272727273,-0.0333333333333333,-0.0333333333333333,0.00884615384615385,-0.0297765617875057,-0.0333333333333333,-0.0274509803921569,0.229139207912008,0.0297765617875057,0.0297765617875057,0.0877321840174157,0.0286970814108246,0.0289069965701144,0.0285725484095793,0.0274509803921569,0.0384616791659045,0.230664983164983,-0.00884615384615385,-0.00884615384615385,-0.00811085972850679,0.136763865065752,-0.00952528379772962,0.0692727272727273,0.0687849223946785,0.0892272763538765,-0.1,0.0890909090909091,0,0.0859981255857545,-0.02,0.0318387961245104,0.0372631865885239,-0.00571428571428572,-0.0166666666666667,-0.00941798941798942,-0.0229166666666667,0.025447731623597,0.0253333333333333,0.0103907203907204,0.0200257997936017,0
"HEY1",0.0660124128968654,-0.019536231884058,-0.0343009931245225,0.0175403225806452,0.0333333333333333,-0.0890909090909091,0,0.00859259259259259,0.0880599812558576,0.0890909090909091,0.0890909090909091,0.08,-0.0772727272727273,-0.104409632920271,-0.0652727272727273,-0.0333333333333333,-0.0333333333333333,0.00884615384615385,-0.0297765617875057,-0.0333333333333333,-0.0274509803921569,0.229139207912008,0.0297765617875057,0.0297765617875057,0.0877321840174157,0.0286970814108246,0.0289069965701144,0.0285725484095793,0.0274509803921569,0.0384616791659045,0.230664983164983,-0.00884615384615385,-0.00884615384615385,-0.00811085972850679,0.136763865065752,-0.00952528379772962,0.0692727272727273,0.0687849223946785,0.0892272763538765,-0.1,0.0890909090909091,0,0.0859981255857545,-0.02,0.0318387961245104,0.0372631865885239,-0.00571428571428572,-0.0166666666666667,-0.00941798941798942,-0.0229166666666667,0.025447731623597,0.0253333333333333,0.0103907203907204,0.0200257997936017,0
"FOXC2",0.0660124128968654,-0.019536231884058,-0.0343009931245225,0.0175403225806452,0.0333333333333333,-0.0890909090909091,0,0.00859259259259259,0.0880599812558576,0.0890909090909091,0.0890909090909091,0.08,-0.0772727272727273,-0.104409632920271,-0.0652727272727273,-0.0333333333333333,-0.0333333333333333,0.00884615384615385,-0.0297765617875057,-0.0333333333333333,-0.0274509803921569,0.229139207912008,0.0297765617875057,0.0297765617875057,0.0877321840174157,0.0286970814108246,0.0289069965701144,0.0285725484095793,0.0274509803921569,0.0384616791659045,0.230664983164983,-0.00884615384615385,-0.00884615384615385,-0.00811085972850679,0.136763865065752,-0.00952528379772962,0.0692727272727273,0.0687849223946785,0.0892272763538765,-0.1,0.0890909090909091,0,0.0859981255857545,-0.02,0.0318387961245104,0.0372631865885239,-0.00571428571428572,-0.0166666666666667,-0.00941798941798942,-0.0229166666666667,0.025447731623597,0.0253333333333333,0.0103907203907204,0.0200257997936017,0
"Ecadherin",0.0653259140410302,-0.0226839316419272,-0.0296030065473413,0.0206899288798578,0.0166666666666667,-0.0859981255857545,0.0333333333333333,0.00766149389613077,0.0853148832166419,0.0890909090909091,0.0880599812558576,0.0890909090909091,-0.0652727272727273,-0.104469837616238,-0.0692727272727273,-0.0274509803921569,-0.0274509803921569,0.00811085972850679,-0.0289069965701144,-0.0333333333333333,-0.0297765617875057,0.128652352994774,0.029109895120839,0.0297765617875057,0.0876389873724949,0.0286970814108246,0.0285725484095793,0.0286970814108246,0.0297765617875057,0.0382554935988942,0.230921393421393,-0.00811085972850679,-0.00811085972850679,-0.00839018933744534,0.13939544401312,-0.0109470847455969,0.0687849223946785,0.0693274178738828,0.0890065258020001,0,0.0890909090909091,-0.02,0.0871133672214422,-0.00571428571428572,0.0329623916301284,0.0352036900210182,-0.00941798941798942,-0.0229166666666667,-0.00422318422318422,-0.0175403225806452,0.024814820231192,0.019536231884058,0.0128115770015211,0.0200257997936017,0.00379746835443038
"RAF",-0.0114058355437666,0.0839715807267505,0.104142469996129,0.0881967213114754,0.1,0.17979797979798,0.1,-0.0588146167557932,0.0866030814380044,0.08,0.0972413793103448,0.03,0.0666666666666667,0.307863554234423,0.0733333333333333,0,0,0.0152597402597403,-0.00526315789473684,0,0,0.192209367299633,0.01,0.01,-0.181560289621075,0.0072347232250808,0.00526315789473684,0.00596245859403754,0,0.00243788091889358,0.160956923309864,-0.0152597402597403,-0.0152597402597403,-0.0195332445332445,0.0563809523809524,-0.000556671449067432,-0.0685714285714286,-0.0620293724966622,-0.0182427107959023,0,-0.188888888888889,0,-0.172105672105672,-0.0142857142857143,0.0145658263305322,-0.0874363327674024,-0.0267857142857143,-0.1,-0.00557359307359307,-0.08,-0.014044920292428,-0.0810012836970475,0.00615307465680436,0.0201252989000478,0.0181252989000478
