"","FUS","TGF","NOTCHic","NOTCH","RAS","RAF","PI3K","DELTA","Destcompl","EGR1","Wnt","cMet","Frizzled","SRC","DSH","LIV1","Ecadherin","TWIST1","miR200","SNAI2","FOXC2","STAT","cateninmemb","ZEB2","ZEB1","CD44","cfos","TCFLEF","MEK","ERK","GLI","cateninnuc","SOSGRB2","AXIN2","TrCP","SUFU","Csn","Csl","KLF4","PAK1","CDC42","TGFR","HEY1","NFB","RKIP","SMAD","ILK","SNAI1","SMO","Patched","GSK3","Jagged","SHH","IKK","AKT"
"PAK1",0.114285714285714,0.362216809227417,0.0666666666666667,0.0732600732600733,0.0524471882864996,0.0492653701046814,0.0492653701046814,0.0492653701046814,-0.109688016722304,0.28,-0.0984405458089669,-0.101001001001001,-0.103703703703704,-0.103703703703704,-0.1,-0.1,-0.0457839805831738,0.202003482025221,0.140062119294726,0.0952391991881967,-0.0574588254141017,0.1,0.0871480461561245,-0.0357126915292794,-0.0357126915292794,0.1000109019911,-0.301739130434783,0.0981590501392482,-0.323162859248342,-0.327162859248342,0.0979527409309181,0.0967797397944206,-0.360891089108911,0.130799640610961,-0.0666666666666667,-0.080952380952381,-0.0916666666666667,-0.0743589743589744,-0.0276736924277908,-0.347619047619048,-0.357422969187675,-0.358938120702827,-0.155847076461769,-0.129166666666667,-0.234082473695733,-0.163898276156341,-0.163253114866018,-0.212197248588898,-0.104608294930876,-0.120657677646925,-0.035237012987013,-0.0976158827539196,-0.123657677646925,-0.12390350877193,-0.140570175438597
"NOTCH",0.0666666666666667,0.377232974910394,0.154285714285714,0.063963133640553,-0.0409749670619236,-0.0424242424242424,-0.0424242424242424,-0.0424242424242424,-0.162131707141053,0.2,-0.127692307692308,-0.127692307692308,-0.12,-0.12,-0.1,0,-0.0270543293718166,0.217084745762712,0.133766233766234,0.14100409394527,-0.036530612244898,0.1,0.117167057557147,-0.0297101449275362,-0.0297101449275362,0.136783216783217,-0.3,0.137882117882118,-0.328571428571429,-0.3,0.136783216783217,0.139106607678036,-0.357894736842105,0.176064690026954,0,-0.1,-0.1,-0.14,-0.0297101449275362,-0.3,-0.355555555555556,-0.367555555555556,-0.0282608695652174,-0.0666666666666667,-0.213881520778073,-0.162380952380952,-0.135714285714286,-0.187051282051282,-0.0666666666666667,-0.0897435897435898,0.0525165447579241,-0.0522655122655123,-0.0779788838612368,-0.0777777777777778,-0.1
"Ecadherin",0.233333333333333,-0.166791816190396,0.0646150051793025,0.0634997635436148,0.30743855169915,0.304924585218703,0.304924585218703,0.304924585218703,0.314804477253292,-0.205454545454545,0.302838184191078,0.302028588988679,0.29594163246694,0.29594163246694,0.284313725490196,0.266666666666667,-0.142425227593374,-0.242451576782172,0.0328501397216481,-0.154978557458819,-0.188474792818016,-0.284313725490196,-0.241250877622829,-0.0296328603778753,-0.0296328603778753,-0.306376415075636,0.223101604278075,-0.308742542099297,0.241108477130309,0.234441810463642,-0.307504850857745,-0.310143102323387,0.302148596190304,-0.369892645064287,-0.2,-0.233333333333333,-0.26,-0.0656459330143541,-0.0506797937177684,0.163090909090909,0.164424242424242,0.165887657058389,0.0525711004352931,-0.264761904761905,-0.0427987742594484,0.0476249429764537,0.0468985507246377,-0.0730279937552573,-0.239583333333333,-0.242809139784946,-0.310699139847029,-0.28300084407557,-0.244383942934553,-0.272169312169312,-0.276065416065416
"cfos",0.080952380952381,0.358938120702827,0.0743589743589744,0.0666666666666667,0.0492653701046814,0.0382897603485839,0.0382897603485839,0.0382897603485839,-0.112545159579447,0.2,-0.103703703703704,-0.103703703703704,-0.1,-0.1,-0.1,-0.1,-0.0450227349084333,0.198199134199134,0.135493591375944,0.0968666856258097,-0.0505622736899638,0.1,0.0880637970718754,-0.029603366770437,-0.029603366770437,0.101001001001001,-0.28,0.1000109019911,-0.327162859248342,-0.301739130434783,0.0984405458089669,0.0981590501392482,-0.35,0.131428571428571,-0.1,-0.0666666666666667,-0.0666666666666667,-0.0666666666666667,-0.030952380952381,-0.342857142857143,-0.347619047619048,-0.357422969187675,-0.155847076461769,-0.0916666666666667,-0.221375291375291,-0.163253114866018,-0.161640211640212,-0.21052660419749,-0.114285714285714,-0.104608294930876,-0.0319642857142857,-0.0963888888888889,-0.120657677646925,-0.129166666666667,-0.12390350877193
"CDC42",0.080952380952381,0.358938120702827,0.0743589743589744,0.0666666666666667,0.0492653701046814,0.0382897603485839,0.0382897603485839,0.0382897603485839,-0.112545159579447,0.3,-0.103703703703704,-0.103703703703704,-0.1,-0.1,-0.1,-0.1,-0.0450227349084333,0.198199134199134,0.135493591375944,0.0968666856258097,-0.0505622736899638,0.1,0.0880637970718754,-0.029603366770437,-0.029603366770437,0.101001001001001,-0.28,0.1000109019911,-0.327162859248342,-0.301739130434783,0.0984405458089669,0.0981590501392482,-0.35,0.131428571428571,-0.1,-0.0666666666666667,-0.0666666666666667,-0.0666666666666667,-0.030952380952381,-0.242857142857143,-0.347619047619048,-0.357422969187675,-0.155847076461769,-0.0916666666666667,-0.221375291375291,-0.163253114866018,-0.161640211640212,-0.21052660419749,-0.114285714285714,-0.104608294930876,-0.0319642857142857,-0.0963888888888889,-0.120657677646925,-0.129166666666667,-0.12390350877193
"FOXC2",0.233333333333333,-0.165887657058389,0.0656459330143541,0.0646150051793025,0.304924585218703,0.300512820512821,0.300512820512821,0.300512820512821,0.312474561130272,-0.16,0.29594163246694,0.29594163246694,0.284313725490196,0.284313725490196,0.266666666666667,0.233333333333333,-0.0417436307092454,-0.24077559912854,0.0315466015466015,-0.154436715195123,-0.18595763034662,-0.266666666666667,-0.240738057110008,-0.0291589267285862,-0.0291589267285862,-0.302028588988679,0.205454545454545,-0.306376415075636,0.234441810463642,0.223101604278075,-0.302838184191078,-0.308742542099297,0.294253859348199,-0.363088521352947,-0.1,-0.2,-0.2,-0.0709090909090909,-0.0481481481481481,0.159090909090909,0.163090909090909,0.164424242424242,0.0505576776165011,-0.26,-0.0424242424242424,0.0468985507246377,0.044,-0.0717621709704472,-0.233333333333333,-0.239583333333333,-0.307167131017007,-0.280941347508064,-0.242809139784946,-0.264761904761905,-0.272169312169312
"STAT",0.05,0.36104855765897,0.0257551669316375,0.0228425455724142,-0.16128623322593,-0.165017576509512,-0.165017576509512,-0.165017576509512,-0.258542184644365,0.3,-0.235876623376623,-0.235876623376623,-0.226785714285714,-0.226785714285714,-0.214285714285714,-0.3,-0.122972098305617,0.31472402326975,0.127868125389956,0.122067241949032,0.0258500340831629,0.214285714285714,0.206141780471094,-0.0274610005379236,-0.0274610005379236,0.238440725940726,-0.32,0.240018013006972,-0.371992409867173,-0.349411764705882,0.236716959511077,0.240375581540941,-0.460344827586207,0.284314509020391,-0.1,-0.05,-0.05,-0.0176470588235294,0.0765102000396118,-0.345454545454545,-0.351704545454545,-0.359599282296651,-0.166,-0.05,-0.2111212998713,-0.170334277305792,-0.168035426731079,-0.191573073802203,-0.07,-0.0630232558139535,0.179597240765465,0.0112316662589266,-0.0727577690882898,-0.0642857142857143,-0.0592009685230024
"NOTCHic",0.0666666666666667,0.379143802935872,0.063963133640553,0.0586999757458162,-0.0345710261752241,-0.0409749670619236,-0.0409749670619236,-0.0409749670619236,-0.16179837380772,0.3,-0.136783216783217,-0.136783216783217,-0.127692307692308,-0.127692307692308,-0.12,-0.1,-0.0265949113013725,0.216455814945102,0.132032129719991,0.14160529635008,-0.0316919025674786,0.12,0.11655853828737,-0.0260064412238325,-0.0260064412238325,0.137882117882118,-0.3,0.139106607678036,-0.357142857142857,-0.328571428571429,0.135707947966012,0.138648592410861,-0.366985645933014,0.18162024558251,-0.1,-0.0666666666666667,-0.0666666666666667,-0.154285714285714,-0.0261387163561077,-0.355555555555556,-0.367555555555556,-0.377232974910394,-0.0574916387959866,-0.0777777777777778,-0.209656168665396,-0.164539225762247,-0.162380952380952,-0.19498778998779,-0.0897435897435898,-0.0779788838612368,0.0508636521959406,-0.0621992870999493,-0.0919573784848927,-0.1,-0.0883720930232558
"SHH",-0.2,0.36,0,0.0333333333333333,-0.257692307692308,-0.25,-0.25,-0.25,-0.325454545454545,0,-0.3,-0.2,-0.2,-0.1,-0.2,0,0.0377777777777778,0.2,0.116666666666667,0.0908045977011494,0,0.1,0.158566308243728,-0.025,-0.025,0.25,-0.1,0.27,-0.26,-0.2,0.35,0.281111111111111,-0.3,0.371428571428571,0,0.2,0,0.1,0,-0.2,-0.3,-0.3,-0.0666666666666667,0,-0.16,-0.1,-0.0666666666666667,-0.133333333333333,0.3,0.2,0.271794871794872,0.122857142857143,0.16,0.1,0.05
"SUFU",-0.1475,0.392082983146813,0.0360606060606061,0.0336796536796537,-0.27047697962863,-0.272375713805845,-0.272375713805845,-0.272375713805845,-0.345233159016182,0.329230769230769,-0.393803418803419,-0.287907227615965,-0.386111111111111,-0.281111111111111,-0.375,-0.25,0.0457793058448117,0.216376146783597,0.110113042133015,0.0927786012557459,0.0363508486712632,0.27,0.160358673542732,-0.0114241763905403,-0.0114241763905403,0.290914746412958,-0.344382284382284,0.291729963804262,-0.377114003629044,-0.363922514267342,0.395662154862898,0.292394925441091,-0.464421543368912,0.446606290212356,0.05,0.16,0.0928571428571429,-0.0292424242424242,0.00420088784180273,-0.376666666666667,-0.382072072072072,-0.38951888058271,-0.137127007792278,0.0808571428571429,-0.180611309816023,-0.146576499233133,-0.14126472094214,-0.136975561614498,0.141944444444444,0.144974747474747,0.287930217681688,0.117533760574856,0.142272044772045,0.077010989010989,0.0763398480713917
"SMO",-0.2,0.382072072072072,0.0242424242424242,0.0292424242424242,-0.270192307692308,-0.270192307692308,-0.270192307692308,-0.270192307692308,-0.342193620333155,0.2,-0.375,-0.27,-0.35,-0.25,-0.3,-0.1,0.044749439727407,0.20958605664488,0.108257986738999,0.092328407224959,0.033448275862069,0.2,0.160508055816543,-0.0100282485875706,-0.0100282485875706,0.281111111111111,-0.26,0.287907227615965,-0.344382284382284,-0.329230769230769,0.386111111111111,0.290914746412958,-0.424561403508772,0.428481862964622,0,0.3,0.1,-0.0333333333333333,0.00555555555555555,-0.3,-0.36,-0.376666666666667,-0.128937728937729,0.05,-0.165555555555556,-0.131587301587302,-0.13,-0.137250384024578,0.16,0.1475,0.287236388207262,0.115582010582011,0.141944444444444,0.0928571428571429,0.0808571428571429
"Patched",-0.3,0.376666666666667,0.0333333333333333,0.0242424242424242,-0.270192307692308,-0.257692307692308,-0.257692307692308,-0.257692307692308,-0.337542457542458,0.1,-0.35,-0.25,-0.3,-0.2,-0.2,-0.1,0.0406903991370011,0.203703703703704,0.10952380952381,0.0894712643678161,0.03,0.1,0.158566308243728,-0.00833333333333333,-0.00833333333333333,0.27,-0.2,0.281111111111111,-0.329230769230769,-0.26,0.375,0.287907227615965,-0.366666666666667,0.407792207792208,0,0.2,0,0,-0.0111111111111111,-0.3,-0.3,-0.36,-0.105128205128205,0.1,-0.16,-0.13,-0.1,-0.13010752688172,0.2,0.16,0.276556776556777,0.119153439153439,0.1475,0.05,0.0928571428571429
"FUS",0.16,-0.38951888058271,-0.0292424242424242,-0.0360606060606061,0.272375713805845,0.270192307692308,0.270192307692308,0.270192307692308,0.344967342960892,-0.26,0.386111111111111,0.281111111111111,0.375,0.27,0.35,0.2,-0.044749439727407,-0.215345218948545,-0.111228283768702,-0.0917898075840254,-0.0321324863883848,-0.25,-0.159949396598666,0.014322727115178,0.014322727115178,-0.287907227615965,0.329230769230769,-0.290914746412958,0.363922514267342,0.344382284382284,-0.393803418803419,-0.291729963804262,0.455330634278003,-0.440283105200646,-0.1,-0.2,-0.05,0.0242424242424242,-0.00719489981785064,0.36,0.376666666666667,0.382072072072072,0.12748845357541,-0.0928571428571429,0.181019473081329,0.14126472094214,0.131587301587302,0.134420195345332,-0.1475,-0.141944444444444,-0.286901940046727,-0.119196468413336,-0.144974747474747,-0.0808571428571429,-0.077010989010989
"SRC",0.0166666666666667,-0.354033189033189,0.0961904761904762,0.114047619047619,-0.0752440550688361,-0.0752440550688361,-0.0752440550688361,-0.0752440550688361,0.084162685140946,0.0666666666666667,0.22,0.22,0.2,0.2,0.2,0.2,0.145659324335795,-0.16701780977643,-0.131014492753623,-0.097750609963108,0.0667647058823529,-0.3,-0.208060170633139,0.0157607067984426,0.0157607067984426,-0.218360655737705,-0.0212121212121212,-0.220799680127949,-0.00423098913664952,-0.0212121212121212,-0.218360655737705,-0.222365675653676,0.154285714285714,-0.256375111564452,0.1,0.0333333333333333,0.15,-0.12,-0.073578811369509,0.311111111111111,0.336111111111111,0.350396825396825,0.0535584243627938,0.0833333333333333,0.10971000325839,0.0514995258416311,0.0361842105263158,0.205244521271747,0.00333333333333333,-0.0151851851851852,-0.0318614718614719,-0.0516549047282992,-0.0122440087145969,0.106410256410256,0.0952991452991453
"SNAI2",-0.12,0.1073581718083,-0.0596491228070175,-0.0596491228070175,-0.173368894895997,-0.171542410877733,-0.171542410877733,-0.171542410877733,-0.180073068913059,0.133333333333333,-0.140459118346442,-0.140459118346442,-0.136233766233766,-0.136233766233766,-0.129090909090909,-0.12,0.0179659829368213,0.118927328947723,-0.0177471172190263,0.0227908988811883,0.125255291507643,0.129090909090909,0.116323609984318,0.0160595762534089,0.0160595762534089,0.142609655980851,-0.150980392156863,0.144465326083944,-0.162268150503445,-0.156862745098039,0.143132915137886,0.145241723599472,-0.184178498985801,0.195488134327886,0.1,0.1,0.133333333333333,0.0614035087719298,0.0275,-0.105882352941176,-0.105882352941176,-0.106737053795877,-0.0383212778782399,0.158333333333333,0.02,-0.0332752495836262,-0.0327967806841046,0.0343630280262309,0.114117647058824,0.120240096038415,0.178539122155509,0.133827840236231,0.120240096038415,0.154885057471264,0.160909153856807
"cateninmemb",-0.0166666666666667,0.0570928791286927,-0.0119400187441425,-0.0108247771084547,-0.122775558869874,-0.122496229260935,-0.122496229260935,-0.122496229260935,-0.130384511883399,0.129090909090909,-0.0432654056008931,-0.0424108328872499,-0.0415412676698586,-0.0415412676698586,-0.0392156862745098,-0.0333333333333333,0.114089177136315,0.0148570246223878,-0.0165394960925687,0.0425998685377705,0.0913151854871784,0.0392156862745098,-0.0792723311789789,0.016078431372549,0.016078431372549,0.0440830736899255,-0.129090909090909,0.0442076066911709,-0.134637705128912,-0.134245548266167,0.0445987389342265,0.0446744600992007,-0.145626824350757,0.144465326083944,0.1,0.0333333333333333,0.12,0.0109090909090909,0.0259259259259259,-0.0550909090909091,-0.0564242424242424,-0.0569120473022912,-0.0205228644233776,0.105714285714286,0.0246169560776302,-0.0201261887216198,-0.0198840579710145,0.0381377496216588,0.0291666666666667,0.0259408602150538,0.130750614366044,0.0356657078159485,0.0275156633646601,0.116825396825397,0.114227994227994
"IKK",0.04,-0.206606060606061,0.178354978354978,0.173593073593074,-0.0858686298066682,-0.0788263762855414,-0.0788263762855414,-0.0788263762855414,-0.124555873253991,0,0.125641025641026,0.125641025641026,0.133333333333333,0.133333333333333,0.1,0.1,0.118418831796726,-0.146274509803922,-0.13,-0.0317738084579342,0.0868398268398269,-0.1,-0.150878032581943,0.0270676691729323,0.0270676691729323,-0.124102564102564,0.0428571428571429,-0.122407648848327,0.0810793650793651,0.0788571428571428,-0.124102564102564,-0.120297944206977,0.103151260504202,-0.15452380952381,0.2,-0.1,0.1,-0.154545454545455,0.0249084249084249,0.15,0.183333333333333,0.210606060606061,0.029514963880289,0.142857142857143,0.154918032786885,0.0185574807480748,0.0215277777777778,0.186450381679389,-0.06,-0.0637037037037037,0.232930402930403,-0.058778506716651,-0.036117496807152,0.0261904761904762,0.0342985842985843
"KLF4",-0.233333333333333,0.165887657058389,-0.0656459330143541,-0.0646150051793025,-0.304924585218703,-0.300512820512821,-0.300512820512821,-0.300512820512821,-0.312474561130272,0.16,-0.29594163246694,-0.29594163246694,-0.284313725490196,-0.284313725490196,-0.266666666666667,-0.233333333333333,0.0417436307092454,0.24077559912854,-0.0315466015466015,0.154436715195123,0.18595763034662,0.266666666666667,0.240738057110008,0.0291589267285862,0.0291589267285862,0.302028588988679,-0.205454545454545,0.306376415075636,-0.234441810463642,-0.223101604278075,0.302838184191078,0.308742542099297,-0.294253859348199,0.363088521352947,0.1,0.2,0.2,0.0709090909090909,0.0481481481481481,-0.159090909090909,-0.163090909090909,-0.164424242424242,-0.0505576776165011,0.26,0.0424242424242424,-0.0468985507246377,-0.044,0.0717621709704472,0.233333333333333,0.239583333333333,0.307167131017007,0.280941347508064,0.242809139784946,0.264761904761905,0.272169312169312
"HEY1",-0.233333333333333,0.165887657058389,-0.0656459330143541,-0.0646150051793025,-0.304924585218703,-0.300512820512821,-0.300512820512821,-0.300512820512821,-0.312474561130272,0.16,-0.29594163246694,-0.29594163246694,-0.284313725490196,-0.284313725490196,-0.266666666666667,-0.233333333333333,0.0417436307092454,0.24077559912854,-0.0315466015466015,0.154436715195123,0.18595763034662,0.266666666666667,0.240738057110008,0.0291589267285862,0.0291589267285862,0.302028588988679,-0.205454545454545,0.306376415075636,-0.234441810463642,-0.223101604278075,0.302838184191078,0.308742542099297,-0.294253859348199,0.363088521352947,0.1,0.2,0.2,0.0709090909090909,0.0481481481481481,-0.159090909090909,-0.163090909090909,-0.164424242424242,-0.0505576776165011,0.26,0.0424242424242424,-0.0468985507246377,-0.044,0.0717621709704472,0.233333333333333,0.239583333333333,0.307167131017007,0.280941347508064,0.242809139784946,0.264761904761905,0.272169312169312
"Jagged",-0.1,-0.367555555555556,-0.14,-0.154285714285714,0.0424242424242424,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.160262548262548,-0.1,0.12,0.12,0.1,0.1,0,0,0.0294736842105263,-0.212,-0.130909090909091,-0.139416792357969,0.0385714285714286,0,-0.116643497347723,0.0297101449275362,0.0297101449275362,-0.127692307692308,0.2,-0.136783216783217,0.3,0.3,-0.127692307692308,-0.137882117882118,0.3,-0.162857142857143,0,0,0,0.2,0.0166666666666667,0.2,0.3,0.355555555555556,0.05,0.1,0.18974358974359,0.135714285714286,0.15,0.191666666666667,0.0666666666666667,0.0666666666666667,-0.0547892720306513,0.0633766233766234,0.0897435897435898,0.0666666666666667,0.0777777777777778
