"","CDC42","Ecadherin","Csl","NOTCHic","SMO","Patched","FUS","cateninnuc","NOTCH","cMet","Wnt","SUFU","cateninmemb","ZEB2","miR200","ZEB1","SNAI2","RAS","RAF","PI3K","DELTA","GSK3","KLF4","TrCP","AKT","IKK","NFB","Csn","HEY1","SNAI1","GLI","SMAD","ILK","CD44","RKIP","LIV1","TCFLEF","TWIST1","Frizzled","SHH","DSH","MEK","ERK","SRC","cfos","SOSGRB2","STAT","Jagged","EGR1","AXIN2","Destcompl","TGFR","TGF","PAK1","FOXC2"
"cfos",-0.247619047619048,0.11703040457601,-0.0333333333333333,-0.0564102564102564,-0.0476190476190476,-0.0572964669738863,-0.0476190476190476,0.100590788808611,-0.0579487179487179,0.0762962962962963,0.0762962962962963,-0.0333333333333333,0.07642441453067,-0.517051001191437,0.533129615482557,0.517051001191437,-0.213353872404967,-0.157577448323503,-0.147821350762527,-0.147821350762527,-0.147821350762527,-0.125208333333333,-0.493936507936508,0,0.108333333333333,0.108333333333333,0.0833333333333333,0.0333333333333333,0.0779110444777611,0.210864156940106,-0.08682261208577,0.0869004949650111,0.0788359788359788,-0.0871071071071071,0.256713286713287,-0.1,-0.097998196216018,0.121376623376623,-0.08,0.0634693064800592,-0.1,0.39177597641857,0.376521739130435,-0.08,0.32,0.297222222222222,-0.1,0.0321527777777778,0.36,-0.113743842364532,-0.110156060968465,0.265266106442577,0.266781257957729,0.214285714285714,0.270862881738061
"ERK",-0.28417445482866,0.196265820906814,-0.241686091686092,-0.261394120883172,-0.153530054644809,-0.160719597128469,-0.145333333333333,0.168926171381871,-0.263887195675416,0.148116795485217,0.153379953379953,-0.133333333333333,0.0969069332650669,-0.48341968982715,0.495182991170229,0.48341968982715,0.250972252071898,-0.202252120816477,-0.190700965700966,-0.190700965700966,-0.190700965700966,-0.190626000646871,-0.458058345289335,0.214285714285714,0.3436583941333,0.338153806977336,0.315800865800866,0.264285714285714,0.194665658619708,0.272646955279456,-0.165159402001507,0.233286381865483,0.223255986728705,-0.159567177164606,0.406288445593748,-0.166666666666667,-0.167745615826316,0.149584375583804,-0.151282051282051,0.168449065727503,-0.166666666666667,0.502970105950403,0.479293225727562,-0.146018893387314,0.542626559060895,0.571710895361381,-0.16140350877193,0.119239387820503,0.472413793103448,-0.19703812333482,0.122334271899944,0.300232848989244,0.303254827011222,0.253333333333333,0.300072406624131
"MEK",-0.253333333333333,0.195270283659989,-0.207070707070707,-0.241686091686092,-0.145333333333333,-0.153530054644809,-0.133333333333333,0.167745615826316,-0.261394120883172,0.146018893387314,0.151282051282051,-0.133333333333333,0.0985628670277164,-0.46341968982715,0.472879069601601,0.46341968982715,0.256562874254045,-0.190700965700966,-0.185939060939061,-0.185939060939061,-0.185939060939061,-0.183269052417989,-0.424725011956002,0.2,0.338153806977336,0.315800865800866,0.264285714285714,0.214285714285714,0.184085453841551,0.264545103427604,-0.153379953379953,0.223255986728705,0.210340857577414,-0.148116795485217,0.396539141972578,-0.1,-0.159567177164606,0.156657884599061,-0.166666666666667,0.160719597128469,-0.166666666666667,0.479293225727562,0.542626559060895,-0.16140350877193,0.472413793103448,0.543555555555556,-0.166666666666667,0.120745411916889,0.4,-0.189721050164088,0.125829198619223,0.28417445482866,0.300232848989244,0.22,0.296824543376268
"Jagged",-0.2,0.106526315789474,-0.1,-0.08,-0.0333333333333333,-0.0333333333333333,0,0.0872660672660673,-0.108571428571429,0.12,0.12,0,0.0617669654289373,-0.46207729468599,0.472121212121212,0.46207729468599,-0.213876319758673,-0.16,-0.16,-0.16,-0.16,-0.136781609195402,-0.405555555555556,0,0.0888888888888889,0.0333333333333333,0,0,-0.0333333333333333,0.225,-0.0969230769230769,0.0714285714285714,0.0666666666666667,-0.0969230769230769,0.235897435897436,0,-0.0817715617715618,0.094,-0.1,0.0256410256410256,0,0.326666666666667,0.26,-0.1,0.2,0.26,0,0.00337662337662337,0.1,-0.142857142857143,-0.130749034749035,0.211111111111111,0.247111111111111,0.2,0.225714285714286
"SOSGRB2",-0.272857142857143,0.214356426276174,-0.409090909090909,-0.416783216783217,-0.233333333333333,-0.246846846846847,-0.233333333333333,0.185763752635392,-0.440726878755048,0.184472049689441,0.188095238095238,-0.2,0.100014196014196,-0.442719298245614,0.450639206337193,0.442719298245614,0.269559120578622,-0.504766043749095,-0.486817325800377,-0.486817325800377,-0.486817325800377,-0.330576473549826,-0.392719298245614,0.3,0.511842105263158,0.470175438596491,0.433333333333333,0.4,0.179924242424242,0.399792466240227,-0.183747412008282,0.310488006617039,0.302795698924731,-0.180124223602484,0.509173976608187,0,-0.179071592023537,0.158521739130435,-0.171428571428571,0.253823591032893,-0.1,0.683729183729184,0.623123123123123,-0.171428571428571,0.555555555555556,0.619444444444444,-0.1,0.205484152468419,0.5,-0.215958470847085,0.169982217633224,0.29978021978022,0.328858233964617,0.242857142857143,0.316703296703297
"RKIP",-0.22,0.190534400235581,-0.188888888888889,-0.207070707070707,-0.133333333333333,-0.145333333333333,-0.133333333333333,0.159567177164606,-0.241686091686092,0.16140350877193,0.166666666666667,-0.1,0.09709945239357,-0.427705404112865,0.434179379199125,0.427705404112865,0.262888908317305,-0.185939060939061,-0.178246753246753,-0.178246753246753,-0.178246753246753,-0.176635145784082,-0.375705404112865,0.2,0.315800865800866,0.264285714285714,0.214285714285714,0.2,0.180449090205188,0.263904077786579,-0.151282051282051,0.210340857577414,0.207370560547711,-0.146018893387314,0.36890756302521,0,-0.148116795485217,0.150430778371955,-0.166666666666667,0.153530054644809,-0.1,0.542626559060895,0.472413793103448,-0.166666666666667,0.4,0.505777777777778,-0.1,0.120745411916889,0.4,-0.189721050164088,0.129176478953951,0.253333333333333,0.28417445482866,0.2,0.273401119952844
"Csn",-0.127510176390773,0.0839354118336551,-0.0964646464646465,-0.123737373737374,-0.0284271284271284,-0.0381045477819671,-0.0253968253968254,0.169547117271605,-0.120852758352758,0.139378202465033,0.139378202465033,-0.0142857142857143,0.00191838267923686,-0.400762613730356,0.412509707827212,0.400762613730356,-0.179531497076763,-0.106324308176017,-0.0976870720915644,-0.0976870720915644,-0.0976870720915644,-0.0276338398796913,-0.386808877397113,0.18,0.167033333333333,0.175833333333333,0.155,0.105,0.0605481727574751,0.0780067467505295,-0.155535407705207,0.0746094893473205,0.0656120600414079,-0.155822646909477,0.13053144080478,-0.2,-0.169005926652242,0.0153475144148356,-0.145402298850575,0.0446619248311475,-0.183333333333333,0.246680194805195,0.241471861471861,-0.145402298850575,0.201212121212121,0.24537299665629,-0.183333333333333,0.0101198798460086,0.146666666666667,-0.188078080736544,0.105420850701235,0.141612740493338,0.136600807319113,0.0931818181818182,0.129082907698739
"SHH",-0.233333333333333,-0.00472222222222222,0.1,0,0.1,0.0666666666666667,0,-0.0155555555555556,-0.0666666666666667,0,0.1,0,-0.0527598566308244,-0.375,0.383333333333333,0.375,-0.150114942528736,-0.192307692307692,-0.2,-0.2,-0.2,-0.158974358974359,-0.3,0,0.15,0.1,0,0,0.0666666666666667,0.233333333333333,-0.05,0.0833333333333333,0.0666666666666667,0.05,0.26,0,0.0433333333333333,0.15,-0.2,-0.106666666666667,-0.2,0.3,0.2,-0.1,0.1,0.25,-0.1,0.00285714285714285,0,-0.123809523809524,-0.14987012987013,0.333333333333333,0.373333333333333,0.2,0.275
"AKT",-0.0574117647058824,0.133305000842201,-0.0807692307692308,-0.0968982630272953,0,-0.00555555555555555,0,0.188954576619225,-0.0932397264419294,0.168688219992568,0.168688219992568,0,-0.0106664007096239,-0.366244210535209,0.370759103979933,0.366244210535209,-0.0785494666567023,-0.133914150106921,-0.124034632034632,-0.124034632034632,-0.124034632034632,-0.11070846716008,-0.352333558254611,0.166666666666667,0.148946478358243,0.253996983408748,0.241176470588235,0.2,0.0466993586276255,0.114254658385093,-0.181537382003741,0.061954271809734,0.0542101640656262,-0.181682570275054,0.138278856693179,-0.2,-0.189723807388456,-0.06859586807732,-0.167149758454106,0.0108187134502924,-0.188888888888889,0.197928775162275,0.190333838453414,-0.167149758454106,0.162464985994398,0.202692307692308,-0.188888888888889,-0.0332717555478099,0.10952380952381,-0.213676465532061,0.122792210269485,0.0663548541367767,0.0630315912968975,0.0294117647058824,0.0537883733724555
"miR200",-0.0262254901960784,0.28125425345103,0.0308374384236453,0.0204926108374384,0.0391666666666667,0.0379008438818565,0.0325,0.220860159997751,0.0154078650747266,0.211426821800367,0.211774647887324,0.02,0.121768632638593,-0.358028673835125,0.292850192550783,0.358028673835125,-0.191013752913561,-0.213090055191146,-0.209349406812093,-0.209349406812093,-0.209349406812093,-0.169431350957192,-0.345186335403727,0,0.0557355653284154,0.0500751879699248,0.0357894736842105,0.02,0.00502824858757062,0.0641637991637991,-0.213972450085126,0.00673010236635504,0.00265486725663717,-0.213674012811603,0.0622342220086135,-0.2,-0.218435917573508,-0.112618158937177,-0.216,-0.0346399743166391,-0.22,0.0844836116264688,0.0715584415584416,-0.215652173913043,0.0442857142857143,0.0729174725983237,-0.22,-0.0572847278830017,0.0142857142857143,-0.252261614976814,-0.241777802182279,0.0359029095509171,0.0388098862951032,0.0125,0.0100883398444374
"ILK",-0.0294117647058824,0.134365606902807,-0.05,-0.0807692307692308,0,0,0,0.189723807388456,-0.0968982630272953,0.167149758454106,0.167149758454106,0,-0.00750635993490419,-0.357340100946167,0.360598676172447,0.357340100946167,-0.0724188133903707,-0.124034632034632,-0.124034632034632,-0.124034632034632,-0.124034632034632,-0.104256854256854,-0.332675438596491,0.2,0.253996983408748,0.241176470588235,0.2,0.166666666666667,0.0384286819358961,0.109492753623188,-0.168688219992568,0.0542101640656262,0.0454101640656262,-0.168688219992568,0.140142210730446,-0.1,-0.181682570275054,-0.0572808833678399,-0.188888888888889,0.00555555555555555,-0.2,0.190333838453414,0.162464985994398,-0.188888888888889,0.10952380952381,0.182692307692308,-0.2,-0.0292982456140351,0.0666666666666667,-0.206095238095238,0.126845146580486,0.0574117647058824,0.0663548541367767,0,0.0582996515679443
"NFB",-0.0661616161616162,0.302937797100953,0.0406926406926407,0.00418470418470419,0.143703703703704,0.136807151979566,0.14,0.221182269053491,-0.0158152958152958,0.20017094017094,0.20017094017094,0.12,0.130343733633098,-0.350030824186904,0.354455704985063,0.350030824186904,0.094828372229465,-0.211008262285108,-0.213993336911974,-0.213993336911974,-0.213993336911974,-0.121923076923077,-0.320695970695971,0.1,0.0927713427713428,0.0816602316602317,0.0357142857142857,0.0857142857142857,-0.0490914786967419,0.0964922676519456,-0.196800153654086,-0.0451145556005415,-0.0536647414741474,-0.197346081413878,0.126166456494325,-0.2,-0.211692072975059,-0.15234827264239,-0.232478632478632,-0.12596377848559,-0.255555555555556,0.163897292250233,0.139714285714286,-0.232478632478632,0.0797142857142857,0.120205661211853,-0.255555555555556,-0.126965673946316,0.0357142857142857,-0.257436676798379,-0.0227151162626483,0.0941616161616162,0.101123641478072,0.0388888888888889,0.0356884726605842
"DSH",-0.121449275362319,0.0636417425165924,-0.0773809523809524,-0.106792717086835,-0.0138528138528139,-0.0235302332076526,-0.00909090909090909,0.153534498128404,-0.10189761219173,0.120488721804511,0.120488721804511,0,-0.0368947135261443,-0.330917797775101,0.339532443335797,0.330917797775101,-0.163789895498004,-0.0879758873371901,-0.0798526380374702,-0.0798526380374702,-0.0798526380374702,-0.012668977154536,-0.321228685649017,0.0666666666666667,0.142772988505747,0.155416666666667,0.136666666666667,0.0866666666666667,0.0505309099262067,0.0580745341614907,-0.139442970170524,0.0679736331272297,0.0585396708630788,-0.139694019817756,0.116653346653347,-0.2,-0.153979734103471,0.0100247332975744,-0.127631578947368,0.0302786994653213,-0.175,0.193693056169836,0.192941176470588,-0.127631578947368,0.159607843137255,0.225572801182557,-0.175,-0.00643859940029571,0.106666666666667,-0.17564374983274,0.116332915795383,0.133830227743271,0.125816290461041,0.0866666666666667,0.112417015868668
"IKK",-0.0388888888888889,0.301493174308016,0.0454545454545455,0.0406926406926407,0.14,0.143703703703704,0.12,0.211692072975059,0.00418470418470419,0.232478632478632,0.232478632478632,0.1,0.130871716737639,-0.329724310776942,0.331192865105909,0.329724310776942,0.103568209627839,-0.213993336911974,-0.222444041137326,-0.222444041137326,-0.222444041137326,-0.121923076923077,-0.286080586080586,0.2,0.0816602316602317,0.0357142857142857,0.0857142857142857,0.1,-0.0508771929824561,0.108821034775233,-0.20017094017094,-0.0536647414741474,-0.0506944444444445,-0.20017094017094,0.12103825136612,-0.1,-0.197346081413878,-0.153300653594771,-0.255555555555556,-0.136807151979566,-0.2,0.139714285714286,0.0797142857142857,-0.255555555555556,0.0357142857142857,0.102310924369748,-0.2,-0.127685098406748,0.05,-0.265238095238095,-0.019226744169625,0.0661616161616162,0.0941616161616162,0.05,0.0185569985569986
"Frizzled",-0.0866666666666667,0.0675925765815616,-0.0357142857142857,-0.0773809523809524,-0.00909090909090909,-0.0138528138528139,0,0.153979734103471,-0.106792717086835,0.127631578947368,0.127631578947368,0,-0.0311232176486414,-0.326980789901085,0.332825126262626,0.326980789901085,-0.153196181877515,-0.0798526380374702,-0.0900888585099111,-0.0900888585099111,-0.0900888585099111,-0.00594043887147335,-0.300840336134454,0.1,0.155416666666667,0.136666666666667,0.0866666666666667,0.0666666666666667,0.0435133660665576,0.0595238095238095,-0.120488721804511,0.0585396708630788,0.0519976147883125,-0.120488721804511,0.127142857142857,-0.1,-0.139694019817756,0.0291736694677871,-0.175,0.0235302332076526,-0.1,0.192941176470588,0.159607843137255,-0.175,0.106666666666667,0.206060606060606,-0.2,0.00208853238265003,0.0666666666666667,-0.168470754052149,0.122821465413703,0.121449275362319,0.133830227743271,0.0666666666666667,0.120642124093776
"SNAI2",-0.0983193277310924,0.322892669114143,0.0714912280701754,0.0557017543859649,0.202352941176471,0.183985594237695,0.22,0.191820376483629,0.0557017543859649,0.175524053411377,0.175524053411377,0.2,0.114998383403649,-0.289370044052863,0.302717451889798,0.289370044052863,0.14323433165991,-0.274877114174387,-0.266657936092195,-0.266657936092195,-0.266657936092195,-0.252770386801151,-0.241153846153846,0.1,0.263959285417532,0.260344827586207,0.25,0.2,0.0448764315852923,0.23027972640082,-0.187823518652019,0.042643420330596,0.0325955734406439,-0.188427279217829,0.247858974358974,-0.22,-0.193994289527107,-0.125776642339341,-0.171298701298701,-0.176943340716568,-0.192727272727273,0.299655537890832,0.290196078431373,-0.171298701298701,0.264705882352941,0.229986477349561,-0.192727272727273,-0.179360369545767,0.2,-0.250166786873422,-0.241765706840871,0.100883430295195,0.0977778402330832,0.0745098039215686,-0.00313143944699636
"Ecadherin",-0.0981212121212121,0.0224889666632571,-0.0107177033492823,-0.00143935283381837,0.114583333333333,0.113508064516129,0.133333333333333,0.112710210901548,0.000419383225661179,0.121544043299828,0.120524553044955,0.166666666666667,0.0171822813591106,-0.255957551391721,0.267816022173564,0.255957551391721,-0.168054360176634,-0.226908941917979,-0.222439668174962,-0.222439668174962,-0.222439668174962,-0.211472447317109,-0.211204875761838,0.2,0.225627705627706,0.215238095238095,0.215238095238095,0.22,0.0466734686553084,0.196369354495262,-0.121191219711622,0.0445864476962487,0.0457971014492754,-0.122547387781433,0.215894904097151,-0.1,-0.11569807271294,-0.0824753350129624,-0.10328317373461,-0.118232473964948,-0.0823529411764706,0.25668155172097,0.252367826230773,-0.10328317373461,0.251336898395722,0.19767160181758,-0.0823529411764706,-0.102823851232279,0.245454545454545,-0.193994289527107,-0.19274090358009,0.091779748706578,0.0959388807138113,0.107454545454545,0.0253851388146083
"cateninmemb",-0.0981212121212121,0.0626862751901444,-0.0107177033492823,-0.00143935283381837,0.114583333333333,0.113508064516129,0.133333333333333,0.112710210901548,0.000419383225661179,0.121544043299828,0.120524553044955,0.166666666666667,-0.0685170359666813,-0.255957551391721,0.267816022173564,0.255957551391721,-0.168054360176634,-0.226908941917979,-0.222439668174962,-0.222439668174962,-0.222439668174962,-0.211472447317109,-0.211204875761838,0.2,0.225627705627706,0.215238095238095,0.215238095238095,0.22,0.0466734686553084,0.196369354495262,-0.121191219711622,0.0445864476962487,0.0457971014492754,-0.122547387781433,0.215894904097151,-0.1,-0.11569807271294,-0.0824753350129624,-0.10328317373461,-0.118232473964948,-0.0823529411764706,0.25668155172097,0.252367826230773,-0.10328317373461,0.251336898395722,0.19767160181758,-0.0823529411764706,-0.102823851232279,0.245454545454545,-0.193994289527107,-0.19274090358009,0.091779748706578,0.0959388807138113,0.107454545454545,0.0253851388146083
"SRC",-0.0666666666666667,0.169555357496534,0.185,0.142142857142857,0.0333333333333333,0.037037037037037,0.0333333333333333,0.135517359051905,0.120714285714286,0.125,0.125,0.0333333333333333,0.0815065110013471,-0.246039233303384,0.251679109939979,0.246039233303384,-0.175759998189349,0.146732658247051,0.131581143095536,0.131581143095536,0.131581143095536,0.0643290043290043,-0.335723514211886,-0.1,-0.0905982905982906,-0.0961538461538462,-0.15,-0.15,0.0406570671962926,-0.0032424797962576,-0.110245901639344,-2.37079184447592e-05,0.000877192982456142,-0.110245901639344,-0.0955360052134246,0,-0.123660535785686,0.0824617910824807,-0.175,-0.0282135076252723,-0.2,-0.0994473032208881,-0.12020202020202,-0.175,-0.142424242424242,0.0271428571428571,-0.1,-0.0224641260879793,-0.133333333333333,-0.160493433635089,-0.181383580187928,0.0952380952380952,0.0988744588744589,0.0666666666666667,0.0924463118580766
