"","TCFLEF","CD44","GLI","SRC","RAS","AKT","PI3K","DELTA","AXIN2","SUFU","SNAI1","TrCP","RKIP","ERK","MEK","NOTCH","SOSGRB2","TGF","CDC42","TGFR","PAK1","TWIST1","ZEB1","GSK3","ZEB2","FOXC2","Jagged","SNAI2","NOTCHic","Csl","cfos","EGR1","ILK","SMAD","miR200","HEY1","Destcompl","Csn","FUS","KLF4","SMO","NFB","Patched","IKK","LIV1","SHH","RAF","Ecadherin","DSH","Frizzled","STAT","Wnt","cMet","cateninmemb","cateninnuc"
"GLI",-0.279723829983197,-0.269334219593586,-0.280027453671929,-0.23258064516129,0.0441562960920139,0.0779636964434897,0.0506909495573604,0.0506909495573604,-0.175840881642512,0.152380952380952,0.11703317615809,0.0833333333333333,0.0629225722969516,0.319220779220779,0.31203845877879,0.14183023872679,0.355027391487568,0.0417050658910278,0.060632183908046,0.0499403600086749,0.0916666666666666,0.237578620210199,0.108530124594641,0.0675882675185727,-0.108530124594641,0.0305042784657723,-0.170705966766711,0.167099902120853,-0.135163572060124,-0.125163572060124,-0.325714285714286,-0.325714285714286,-0.0776104272325697,-0.0727455623677048,-0.0360395332221958,-0.0852887962820051,0.149681057079094,-0.0722222222222222,-0.139880952380952,-0.0982419562419563,-0.129354636591479,-0.077485380116959,-0.121191371285356,-0.0795261964434897,0.15,-0.111726350709225,-0.0506909495573604,0.252009301482217,0.12,0.14258064516129,0.21,0.16258064516129,0.252092840283242,0.290594734229351,0.286717254968254
"TGFR",-0.0594116939002738,-0.0565408805031447,-0.0667098513172768,-0.0433333333333333,0.231599832915622,0.291743894620272,0.23452380952381,0.23452380952381,-0.0306376834631484,0.153333333333333,0.130600650355276,0.233333333333333,0.0483982683982684,0.189557226399332,0.179968185303441,0.297798726536013,0.283300844704354,-0.0565417088821344,0.0641269841269841,-0.0501587301587302,0.0688888888888889,0.211611967839726,0.105906123102272,0.208367504150738,-0.105906123102272,0.0496637418969866,-0.169923534182835,0.0358208479519892,-0.289885057471264,-0.293333333333333,-0.178446115288221,-0.204761904761905,-0.148494623655914,-0.146003520453067,-0.00770323021435368,-0.176392698018611,-0.0218877172850285,-0.283333333333333,-0.153333333333333,-0.122229940794014,-0.142988505747126,-0.297619047619048,-0.139863505747126,-0.287092731829574,0,-0.132518872978765,-0.23452380952381,0.0709767540566234,0.0428571428571429,0.0528571428571429,0.0333333333333333,0.0660646900269542,0.0565408805031447,0.0706400765441819,0.0612717470446494
"cMet",-0.146463923673226,-0.14031007751938,-0.142424242424242,-0.2,0.0810062893081761,0.205833333333333,0.0866666666666667,0.0866666666666667,-0.105238095238095,0.1,0.047273358022689,0.1,-0.0274074074074074,0.185,0.172272727272727,0.22817149256119,0.219047619047619,0.0249172576832151,0.0466666666666667,0.0355555555555556,0.0466666666666667,0.11963452278059,0.0878787878787879,0.12202380952381,-0.0878787878787879,-0.0345042194092827,-0.142843822843823,0.031253142640004,-0.209022556390977,-0.214285714285714,-0.175,-0.175,-0.104988662131519,-0.104988662131519,0.0411071310935441,-0.114413484692122,-0.0525328804740569,-0.2,-0.1,0.0111111111111111,-0.1,-0.2,-0.1,-0.193333333333333,0.1,-0.0875,-0.0866666666666667,0.14262880867908,0.1,0.1,0.2,0.133333333333333,0.133333333333333,0.177972898987134,0.149853754181701
"Csn",-0.260748383191635,-0.249815907307391,-0.249590773877017,-0.221264367816092,-0.115327692145628,-0.0814333333333333,-0.110145350494956,-0.110145350494956,-0.160810119609695,0.0142857142857143,-0.0111750461767217,-0.18,-0.0481066158400052,0.107965367965368,0.104840367965368,-0.0207806082806083,0.135175833045082,-0.158819455636682,-0.128493894165536,-0.15285286852451,-0.109090909090909,0.168112825307776,0.0781538461538462,-0.035290211140801,-0.0781538461538462,0.128535987427409,-0.115356682684588,0.116896489033479,0.0236652236652237,0.0353535353535354,-0.106666666666667,-0.106666666666667,-0.0346169772256729,-0.0312750749120482,-0.0306872630957418,-0.0314285714285714,0.074692911421653,0.08,-0.0142857142857143,-0.0891603821015586,0.00692640692640693,0.0716666666666667,0.0187543639156542,0.0758333333333333,0.133333333333333,0.024492068833687,0.110145350494956,0.219540185931639,0.183333333333333,0.221264367816092,0.183333333333333,0.236927018418502,0.236927018418502,0.23690386785821,0.268505448735832
"SNAI1",-0.280218996053069,-0.272908651225483,-0.272360715306694,-0.247437437437437,-0.0498888654016542,0.0133162768031189,-0.0464405895395852,-0.0464405895395852,-0.175025380171769,0.00238095238095238,-0.047442036339685,0.0333333333333333,0.0298458743996089,0.190680422500614,0.189783561514067,0.0999162742019885,0.139486269381655,-0.104099723274724,-0.0876368729309906,-0.095833594242466,-0.07703081232493,0.209278294169599,0.0733903945633154,0.140913864600746,-0.0733903945633154,0.0716778295182446,-0.13741908757368,0.167829744025171,-0.0978754578754579,-0.0912820512820513,-0.197347089167281,-0.195652173913043,-0.0243915343915344,-0.0227925184013745,-0.0297176700399995,-0.0317637924735111,0.142946242248082,-0.0333333333333333,0.0137480798771121,-0.0686122212737809,0.0223900551857541,-0.0228070175438596,0.0323900551857541,-0.0209551656920078,0.21,0.0419046182925502,0.0464405895395852,0.250792359237815,0.228518518518519,0.246939571150097,0.228518518518519,0.263037132125707,0.263279021595853,0.292776356881703,0.284039336786162
"PAK1",-0.272908651225483,-0.263279021595853,-0.263037132125707,-0.228518518518519,-0.0464405895395852,0.0209551656920078,-0.039167862266858,-0.039167862266858,-0.171062676209065,0.019047619047619,0.0603871451549769,0.0333333333333333,0.035703614985383,0.197347089167281,0.190680422500614,0.0978754578754579,0.139108910891089,-0.095833594242466,-0.07703081232493,-0.0876368729309906,-0.0476190476190476,0.206714191605496,0.0730213908732785,0.140319805194805,-0.0730213908732785,0.0654516541688164,-0.133183793456033,0.165114356831071,-0.0912820512820513,-0.0897435897435897,-0.195652173913043,-0.2,-0.029552824714115,-0.0243915343915344,-0.0242421657172329,-0.0347399829497016,0.14135632996738,-0.0333333333333333,-0.00238095238095238,-0.0658084829560239,0.0137480798771121,-0.0333333333333333,0.0223900551857541,-0.0228070175438596,0.15,0.0323900551857541,0.039167862266858,0.246109736969345,0.21,0.228518518518519,0.21,0.246939571150097,0.247437437437437,0.286938705759078,0.280218996053069
"LIV1",-0.272908651225483,-0.263279021595853,-0.263037132125707,-0.228518518518519,-0.0464405895395852,0.0209551656920078,-0.039167862266858,-0.039167862266858,-0.171062676209065,0.019047619047619,0.0603871451549769,0.0333333333333333,0.035703614985383,0.197347089167281,0.190680422500614,0.0978754578754579,0.139108910891089,-0.095833594242466,-0.07703081232493,-0.0876368729309906,-0.0476190476190476,0.206714191605496,0.0730213908732785,0.140319805194805,-0.0730213908732785,0.0654516541688164,-0.133183793456033,0.165114356831071,-0.0912820512820513,-0.0897435897435897,-0.195652173913043,-0.2,-0.029552824714115,-0.0243915343915344,-0.0242421657172329,-0.0347399829497016,0.14135632996738,-0.0333333333333333,-0.00238095238095238,-0.0658084829560239,0.0137480798771121,-0.0333333333333333,0.0223900551857541,-0.0228070175438596,0.15,0.0323900551857541,0.039167862266858,0.246109736969345,0.21,0.228518518518519,0.21,0.246939571150097,0.247437437437437,0.286938705759078,0.280218996053069
"EGR1",-0.272908651225483,-0.263279021595853,-0.263037132125707,-0.228518518518519,-0.0464405895395852,0.0209551656920078,-0.039167862266858,-0.039167862266858,-0.171062676209065,0.019047619047619,0.0603871451549769,0.0333333333333333,0.035703614985383,0.197347089167281,0.190680422500614,0.0978754578754579,0.139108910891089,-0.095833594242466,-0.07703081232493,-0.0876368729309906,-0.0476190476190476,0.206714191605496,0.0730213908732785,0.140319805194805,-0.0730213908732785,0.0654516541688164,-0.133183793456033,0.165114356831071,-0.0912820512820513,-0.0897435897435897,-0.195652173913043,-0.2,-0.029552824714115,-0.0243915343915344,-0.0242421657172329,-0.0347399829497016,0.14135632996738,-0.0333333333333333,-0.00238095238095238,-0.0658084829560239,0.0137480798771121,-0.0333333333333333,0.0223900551857541,-0.0228070175438596,0.15,0.0323900551857541,0.039167862266858,0.246109736969345,0.21,0.228518518518519,0.21,0.246939571150097,0.247437437437437,0.286938705759078,0.280218996053069
"cfos",-0.263279021595853,-0.247437437437437,-0.246939571150097,-0.21,-0.039167862266858,0.0228070175438596,-0.0294117647058824,-0.0294117647058824,-0.165402298850575,0.0333333333333333,0.0668310592361225,0,0.0406759906759907,0.195652173913043,0.197347089167281,0.0912820512820513,0.15,-0.0876368729309906,-0.0476190476190476,-0.07703081232493,-0.0142857142857143,0.200735930735931,0.0681982397478766,0.135592532467532,-0.0681982397478766,0.0599344127895061,-0.125208333333333,0.160955224823838,-0.0897435897435897,-0.0666666666666667,-0.2,-0.08,-0.0343915343915344,-0.029552824714115,-0.0318563789152024,-0.0376811594202899,0.141055578087681,-0.0333333333333333,-0.019047619047619,-0.0838412698412698,-0.00238095238095238,-0.0333333333333333,0.0137480798771121,-0.0333333333333333,0.1,0.0223900551857541,0.0294117647058824,0.24174987537765,0.15,0.21,0.15,0.228518518518519,0.228518518518519,0.279429548249921,0.272908651225483
"CDC42",-0.263279021595853,-0.247437437437437,-0.246939571150097,-0.21,-0.039167862266858,0.0228070175438596,-0.0294117647058824,-0.0294117647058824,-0.165402298850575,0.0333333333333333,0.0668310592361225,0,0.0406759906759907,0.195652173913043,0.197347089167281,0.0912820512820513,0.15,-0.0876368729309906,-0.0476190476190476,-0.07703081232493,0.0857142857142857,0.200735930735931,0.0681982397478766,0.135592532467532,-0.0681982397478766,0.0599344127895061,-0.125208333333333,0.160955224823838,-0.0897435897435897,-0.0666666666666667,-0.2,-0.18,-0.0343915343915344,-0.029552824714115,-0.0318563789152024,-0.0376811594202899,0.141055578087681,-0.0333333333333333,-0.019047619047619,-0.0838412698412698,-0.00238095238095238,-0.0333333333333333,0.0137480798771121,-0.0333333333333333,0.1,0.0223900551857541,0.0294117647058824,0.24174987537765,0.15,0.21,0.15,0.228518518518519,0.228518518518519,0.279429548249921,0.272908651225483
"Csl",-0.314960960522574,-0.302594548308834,-0.302202421234679,-0.256503496503496,-0.095551243190475,0.000516795865633073,-0.0863600667198868,-0.0863600667198868,-0.178905297369793,0.00833333333333333,0.0362514377731769,0.0333333333333333,0.015336220282248,0.209047619047619,0.202525879917184,0.113222278570326,0.144167736414206,-0.137533105318012,-0.109591397849462,-0.125514964728443,-0.0773333333333333,0.239000727420079,0.0595207338013007,0.140206639084414,-0.0595207338013007,0.098258609339175,-0.172168670105342,0.210288307572612,-0.105949551297599,-0.10331797235023,-0.206190476190476,-0.213333333333333,-0.0249537512846865,-0.0188426401735754,-0.0253561963116536,0.0684324655168645,0.14192142717402,-0.0222222222222222,0.0147435897435897,-0.0534748102139406,0.0382730015082956,-0.0222222222222222,0.0522514961319515,-0.00594315245478036,0.16,0.0660445995802274,0.0863600667198868,0.285784167670837,0.229230769230769,0.256503496503496,0.229230769230769,0.281234679299195,0.281778221778222,0.338576223871578,0.324966678075462
"NOTCHic",-0.302594548308834,-0.281778221778222,-0.281234679299195,-0.229230769230769,-0.0863600667198868,0.00594315245478036,-0.0740447957839262,-0.0740447957839262,-0.171450284516322,0.0333333333333333,0.04494708994709,0,0.0231703216647364,0.206190476190476,0.209047619047619,0.105949551297599,0.154736842105263,-0.125514964728443,-0.0773333333333333,-0.109591397849462,-0.0333333333333333,0.232002984756423,0.0573107890499195,0.134757449099142,-0.0573107890499195,0.0896379196840026,-0.161231170105342,0.205142893702366,-0.10331797235023,0.0257142857142857,-0.213333333333333,-0.18,-0.0314285714285714,-0.0249537512846865,-0.030367089557841,0.0638573021181717,0.141494858008877,-0.0333333333333333,-0.00833333333333333,-0.0706176673567978,0.0147435897435897,-0.0222222222222222,0.0382730015082956,-0.0222222222222222,0.1,0.0522514961319515,0.0740447957839262,0.279388818833628,0.16,0.229230769230769,0.16,0.256503496503496,0.256503496503496,0.328025765155981,0.314960960522574
"miR200",-0.115884461630555,-0.115884461630555,-0.115437857916731,-0.104347826086957,-0.0947447779327036,-0.0213675698680664,-0.0934978951396862,-0.0934978951396862,-0.0800845031341834,-0.02,-0.025960520960521,0,-0.0183055799006719,0.00428571428571428,0.00496598639455782,0.00972753332776711,-0.00590264345583494,-0.0467964417574982,-0.0399509803921569,-0.0415638836179633,-0.0458333333333333,0.0991608391608391,0.0391308243727598,0.00374267370165648,-0.0391308243727598,0.0327406468869883,-0.0271310796771358,0.0949271185491774,-0.00916256157635468,-0.00916256157635468,-0.00428571428571428,-0.0142857142857143,0.00458865945591609,0.00427517983209164,-0.0722063968015992,0.00336158192090395,0.0700124486420186,0.02,0.02,-0.0381124913733609,0.02,0.0147368421052632,0.0237974683544304,0.017593984962406,0.1,0.0270583379196478,0.0934978951396862,0.0250477896240242,0.1,0.104,0.1,0.111042253521127,0.111390079608083,0.11605822305617,0.117702643448737
"STAT",-0.413194783660083,-0.393951881451881,-0.393477845683728,-0.333928571428571,-0.170440909595941,-0.0295399515738499,-0.157754342431762,-0.157754342431762,-0.221207811796047,0,-0.00405982186284405,0,-0.0249790862290862,0.2,0.198924731182796,0.119851719223507,0.210837438423645,-0.185039467905601,-0.132954545454545,-0.167165071770335,-0.0954545454545455,0.321211147672917,0.0340236686390532,0.187914997774811,-0.0340236686390532,0.135443762781186,-0.206825161057328,0.188754220417603,-0.114997350291468,-0.096078431372549,-0.2,-0.2,-0.0223832528180354,-0.0154867010938975,-0.0385571887307269,-0.0293333333333333,0.177401247487194,0,0.025,0.0558427411368588,0.0583333333333333,0,0.0839147286821705,0.0142857142857143,0.3,0.100728887974206,0.157754342431762,0.411596135796287,0.271428571428571,0.333928571428571,0.271428571428571,0.365746753246753,0.365746753246753,0.447896262674912,0.427616714530167
"ZEB2",-0.20323367103204,-0.198304093567251,-0.187023160325913,-0.176666666666667,-0.157540995763694,-0.154597611630322,-0.154329004329004,-0.154329004329004,-0.139718523241588,-0.125,-0.101250525343241,-0.1,-0.0818840579710145,-0.0812959818902094,-0.0776374453048435,-0.0724791929382093,-0.0685897435897436,-0.0535971964543393,-0.0506493506493506,-0.047247990105133,-0.0415584415584416,-0.0312223648172506,-0.02465117826521,0.00287685080044526,0.02465117826521,0.0306635586635587,0.0330393024754058,0.0562509215537039,0.073025641025641,0.0743589743589744,0.0780701754385965,0.0833333333333333,0.119540318836093,0.120759831031215,0.126805646126281,0.12875366568915,0.132885254546926,0.133333333333333,0.139285714285714,0.140145036428684,0.142142857142857,0.145833333333333,0.147020905923345,0.148055555555556,0.15,0.151566360468799,0.154329004329004,0.157327241666579,0.159090909090909,0.165757575757576,0.17,0.176013986013986,0.18719298245614,0.204978695502074,0.207129774928144
"ERK",0.17639297173732,0.170445016346985,0.163491946649841,0.148380566801619,0.066011502249126,0.206987650773404,0.0652414252414252,0.0652414252414252,0.116159683919795,0.12,-0.00561837895527432,0.185714285714286,-0.0202532691716182,-0.045343604793348,-0.043393744069114,0.15871879332158,0.0456692864848205,0.0998013272172492,0.0846372941700045,0.0948562722721942,0.0780952380952381,-0.164238527510943,-0.024876131516559,0.0257497904462946,0.024876131516559,-0.0781533522912833,-0.0308103353322556,-0.141898428351502,-0.163427934595818,-0.165617715617716,-0.0579897285399853,-0.0558620689655172,-0.0877748292855518,-0.0889906347566765,0.0153999131496289,-0.108446933811123,-0.0676362909596817,-0.210714285714286,-0.108,0.0271996263054286,-0.119475409836066,-0.201623376623377,-0.125357762777242,-0.205152788388083,-0.1,-0.129222497076759,-0.0652414252414252,-0.180958903151563,-0.13,-0.141538461538462,-0.136842105263158,-0.156223776223776,-0.163065881486934,-0.212848502640976,-0.181601305070653
"MEK",0.170445016346985,0.163065881486934,0.156223776223776,0.136842105263158,0.0652414252414252,0.205152788388083,0.0554001554001554,0.0554001554001554,0.115346675789714,0.1,-0.00862763821453358,0.2,-0.0216460268317853,0.0579897285399853,-0.045343604793348,0.163427934595818,0.0446984126984127,0.0948562722721942,0.0780952380952381,0.0846372941700045,0.0733333333333333,-0.161603298662122,-0.029128100020496,0.0285654126079658,0.029128100020496,-0.0755892497271808,-0.0359308172599664,-0.138742431958355,-0.165617715617716,-0.184848484848485,-0.0558620689655172,-0.08,-0.0896198477357363,-0.0877748292855518,0.0176057955025701,-0.10878823073945,-0.0680496693888437,-0.185714285714286,-0.12,0.0318507890961263,-0.108,-0.210714285714286,-0.119475409836066,-0.201623376623377,-0.1,-0.125357762777242,-0.0554001554001554,-0.178658868822692,-0.1,-0.13,-0.1,-0.141538461538462,-0.148380566801619,-0.206960738151556,-0.17639297173732
"RKIP",0.163065881486934,0.148380566801619,0.141538461538462,0.1,0.0554001554001554,0.201623376623377,0.0545454545454545,0.0545454545454545,0.104535864978903,0.1,-0.0105507151376105,0.2,-0.0348039215686274,0.0558620689655172,0.0579897285399853,0.165617715617716,0.058031746031746,0.0846372941700045,0.0733333333333333,0.0780952380952381,0.0666666666666667,-0.158306595365419,-0.0338900047824008,0.03274231678487,0.0338900047824008,-0.0656793398172709,-0.0433078664402943,-0.138255813953488,-0.184848484848485,-0.166666666666667,-0.08,-0.03,-0.0866495507060334,-0.0896198477357363,0.011104247514954,-0.10878823073945,-0.0644931840331952,-0.2,-0.1,0.0298900047824008,-0.12,-0.185714285714286,-0.108,-0.210714285714286,0,-0.119475409836066,-0.0545454545454545,-0.172830089223421,-0.1,-0.1,-0.1,-0.13,-0.136842105263158,-0.200619274736922,-0.170445016346985
"RAF",0.163065881486934,0.148380566801619,0.141538461538462,0.1,0.0554001554001554,0.201623376623377,0.0545454545454545,0.0545454545454545,0.104535864978903,0.1,-0.0105507151376105,0.2,-0.0348039215686274,0.0558620689655172,0.0579897285399853,0.165617715617716,0.058031746031746,0.0846372941700045,0.0733333333333333,0.0780952380952381,0.0666666666666667,-0.158306595365419,-0.0338900047824008,0.03274231678487,0.0338900047824008,-0.0656793398172709,-0.0433078664402943,-0.138255813953488,-0.184848484848485,-0.166666666666667,-0.08,-0.03,-0.0866495507060334,-0.0896198477357363,0.011104247514954,-0.10878823073945,-0.0644931840331952,-0.2,-0.1,0.0298900047824008,-0.12,-0.185714285714286,-0.108,-0.210714285714286,0,-0.119475409836066,-0.0545454545454545,-0.172830089223421,-0.1,-0.1,-0.1,-0.13,-0.136842105263158,-0.200619274736922,-0.170445016346985
