"","TGFR","PAK1","HEY1","SOSGRB2","IKK","ERK","cfos","Csn","KLF4","TrCP","EGR1","Destcompl","DSH","PI3K","DELTA","RAS","Wnt","GLI","Frizzled","LIV1","TCFLEF","cateninnuc","cateninmemb","Ecadherin","SNAI2","CD44","SRC","cMet","RAF","AXIN2","STAT","FOXC2","ZEB2","Csl","NOTCH","NOTCHic","NFB","TWIST1","SUFU","FUS","GSK3","RKIP","Jagged","AKT","MEK","SMO","Patched","SHH","SNAI1","SMAD","ILK","CDC42","miR200","TGF","ZEB1"
"FUS",-0.482072072072072,-0.46,0.0305940436375219,-0.244534412955466,0.184285714285714,-0.136783216783217,-0.127692307692308,0.15,-0.0134790528233151,0.1,-0.12,-0.303007973749783,-0.3,-0.260017889087657,-0.260017889087657,-0.256961120528705,-0.311111111111111,-0.303418803418803,-0.3,-0.2,-0.215492939468412,-0.21250380903363,-0.266114900048076,0.222988200562947,-0.00356004830789701,0.210981661272923,0.206666666666667,0.217777777777778,0.260017889087657,0.375453182499659,0.2,0.0596551724137931,0.00352674084087207,-0.275757575757576,-0.288484848484848,-0.290757575757576,-0.164285714285714,0.217794773523138,-0.133333333333333,-0.253333333333333,0.260196339470295,0.204046800850925,-0.160661375661376,-0.172747252747253,0.142530343219998,-0.278333333333333,-0.261666666666667,-0.272777777777778,0.235318667941918,-0.00218637992831541,-0.0144444444444444,0.476666666666667,0.254462607201046,0.486327391221008,0.335924231395792
"SMO",-0.476666666666667,-0.4,0.0146520146520147,-0.236842105263158,0.164285714285714,-0.127692307692308,-0.12,0.1,0.0111111111111111,0,-0.1,-0.301986075939564,-0.3,-0.257692307692308,-0.257692307692308,-0.260017889087657,-0.3,-0.311111111111111,-0.3,-0.1,-0.210981661272923,-0.215492939468412,-0.259597209172843,0.218330666316372,0.0016464148877942,0.217777777777778,0.2,0.206666666666667,0.257692307692308,0.374832064487237,0.2,0.0596551724137931,0.00536723163841808,-0.266666666666667,-0.290757575757576,-0.275757575757576,-0.15,0.221459694989107,-0.1,-0.133333333333333,0.263206372915111,0.203015873015873,-0.160661375661376,-0.184285714285714,0.136783216783217,-0.253333333333333,-0.278333333333333,-0.261666666666667,0.232488479262673,-0.0144444444444444,-0.00333333333333333,0.46,0.241591320072333,0.482072072072072,0.335310734463277
"NFB",0.261660606060606,0.233333333333333,0.139287557128114,0.0956169836355595,-0.050965250965251,0.0418412698412698,0.0262857142857143,-0.142857142857143,-0.00494505494505494,-0.1,0.0142857142857143,0.291635674846462,0.111111111111111,0.245493042952208,0.245493042952208,0.248478117579074,0.112649572649573,0.117143954672045,0.111111111111111,0.1,0.113228847483299,0.116444533757809,0.0281695392795131,-0.0782714654965295,0.0602133955263807,-0.11660437490946,-0.111111111111111,-0.112649572649573,-0.245493042952208,-0.145688956433637,-0.111111111111111,-0.146967224895512,0.00589819376026273,0.132034632034632,0.134861052925569,0.136796536796537,0.0428571428571429,-0.178538748832866,-0.08,-0.1,-0.364738202973497,-0.264319742188595,-0.00717943358527798,0.0465208065208065,-0.045109243697479,-0.0888888888888889,-0.102681992337165,-0.102681992337165,-0.29006150247288,-0.155275518258146,-0.148212321232123,-0.256060606060606,-0.276400084875062,-0.266723897199847,-0.353860513352346
"RAF",-0.0123809523809524,-0.0333333333333333,-0.108555942702284,0.0706031746031746,-0.114285714285714,0.076551724137931,0.08,-0.1,-0.00631276901004304,-0.1,0.08,0.318316525216358,0,0.142207792207792,0.142207792207792,0.156737706737707,0.0333333333333333,0.0525641025641026,0.0333333333333333,0,0.0585265611581401,0.0648878843133564,0.129564186034774,-0.11049135362768,-0.0708856443434167,-0.0578272604588394,-0.0333333333333333,-0.0385964912280702,-0.142207792207792,-0.0525668073136428,0,-0.0656793398172709,0.00631276901004304,0.111111111111111,0.131740481740482,0.12020202020202,0.114285714285714,0.0356327985739751,0.1,0.1,-0.280141843971631,0.00686274509803921,0.127075753900881,0.129437229437229,-0.074424064563463,0.1,0.112,0.107081967213115,-0.0353708609874453,0.10289657977351,0.0979460847240051,0.0266666666666667,0.00459603874259425,0.00396973742768135,0.015011956001913
"AKT",-0.366842180774749,-0.342647058823529,-0.0350467784838951,-0.18474358974359,0.0432880844645551,-0.0526197364191578,-0.0509803921568627,0.0333333333333333,-0.0034919028340081,0.0333333333333333,-0.0333333333333333,-0.407321830152824,-0.111111111111111,-0.278298997805847,-0.278298997805847,-0.282877311058859,-0.131846897064288,-0.136874830025182,-0.124154589371981,-0.1,-0.140436797466175,-0.141667566696945,-0.231871477869518,0.291095037638285,0.0143616194290751,0.136931642827,0.124154589371981,0.131846897064288,0.278298997805847,0.181144920061888,0.111111111111111,0.0871591173054588,0.00715317846146801,-0.165384615384615,-0.175140712945591,-0.165384615384615,-0.0509803921568627,0.232890244032815,0,-0.0166666666666667,0.333124641189157,0.25306905370844,-0.0302457302195887,-0.154399195575666,0.0551513819887781,-0.00128205128205128,-0.0123931623931624,-0.00607737291947818,0.265265397794002,0.0424373127028589,0.0461410164065626,0.354647058823529,0.252529129023825,0.375603510079885,0.317312648995418
"SUFU",-0.486327391221008,-0.476666666666667,0.019750670143546,-0.246632315053368,0.172747252747253,-0.142530343219998,-0.136783216783217,0.164285714285714,-0.0116826456376864,0.15,-0.127692307692308,-0.301678893473335,-0.3,-0.256961120528705,-0.256961120528705,-0.256644664832502,-0.303418803418803,-0.307508022749658,-0.311111111111111,-0.2,-0.21250380903363,-0.212861865299614,-0.266933453936207,0.223091187174688,-0.000461828136506105,0.215492939468412,0.217777777777778,0.210981661272923,0.256961120528705,0.378497678986779,0.206666666666667,0.062880978865406,0.0083576587152682,-0.290757575757576,-0.289278499278499,-0.288484848484848,-0.184285714285714,0.221299928162313,-0.253333333333333,-0.278333333333333,0.262509964148958,0.205271290646843,-0.158998667822896,-0.178787521203629,0.143806938964679,-0.261666666666667,-0.272777777777778,-0.262353067353067,0.23446687918553,-0.00426490186826922,-0.00218637992831541,0.482072072072072,0.255206101624837,0.484552243292014,0.343653699994826
"SOSGRB2",0.0296703296703297,0.0142857142857143,-0.112215909090909,0.188888888888889,-0.116374269005848,0.171900471900472,0.174603174603175,-0.1,-0.00526315789473684,0,0.185714285714286,0.363038490219698,0,0.0896421845574388,0.0896421845574388,0.106308851224105,0.0428571428571429,0.0645962732919255,0.0428571428571429,0,0.0721019941157241,0.0807062006166801,0.149369369369369,-0.136900595883024,-0.0669009381464751,-0.068944099378882,-0.0428571428571429,-0.0472049689440994,-0.0896421845574388,-0.0646452145214521,0,0.00778998778998779,0.00954887218045113,0.109090909090909,0.134334679405102,0.124475524475524,0.111111111111111,-0.0672753623188406,0.2,0.2,-0.407406048836624,0.107675438596491,0.230984232955749,0.128874269005848,-0.168870168870169,0.2,0.208108108108108,0.208108108108108,-0.0337661691542289,0.199300699300699,0.2,-0.0142857142857143,-0.00908196473170362,-0.038890187826358,-0.0138345864661654
"ERK",0.00916894870370551,-0.0123809523809524,-0.112986597371847,0.0740767452612113,-0.132966641201935,-0.0272426021032037,0.074424064563463,-0.114285714285714,-0.00941354420384149,-0.114285714285714,0.076551724137931,0.326783550070953,0.0333333333333333,0.162769452769453,0.162769452769453,0.166839859810157,0.0532634032634033,0.0595290674238043,0.0525641025641026,0.0333333333333333,0.066560746766888,0.0676024134335546,0.137878185182125,-0.118300702711024,-0.0685341692414529,-0.0648878843133564,-0.0578272604588394,-0.0585265611581401,-0.162769452769453,-0.0652145770345832,-0.0385964912280702,-0.0664416405795716,0.0110684245531002,0.131740481740482,0.147600723971106,0.141229532835372,0.129437229437229,0.0245299855294144,0.1,0.112,-0.288769247694403,-0.00855288310896856,0.132546818487095,0.143058384321201,0.0275211536352371,0.107081967213115,0.116885888781742,0.115919705206863,-0.0464819720985564,0.101963415426669,0.101051561323326,0.00396973742768135,-0.00533688179404146,-0.0143887289234857,0.00284847643685859
"TGF",0.212063492063492,0.22,0.177304964539007,0.0460526315789474,0.0476190476190476,0.0634085213032581,0.0476190476190476,0.0333333333333333,-0.031070429697432,0,0.0333333333333333,-0.0756149693774859,0,0.031547619047619,0.031547619047619,0.019047619047619,-0.0428571428571429,-0.0598382749326146,-0.0428571428571429,0,-0.087595167163191,-0.0919013872588848,0.0737878649166757,-0.168935760058213,-0.0484421407094584,0.0836477987421384,0.0666666666666667,0.0666666666666667,-0.031547619047619,0.0803350970017637,0,-0.0130900621118012,0.0183431569701593,-0.0333333333333333,-0.0771264367816092,-0.0633333333333333,-0.0333333333333333,-0.176851851851852,-0.133333333333333,-0.153333333333333,0.135193986270307,-0.185281385281385,-0.190783014236622,-0.068671679197995,-0.0789640768588137,-0.153333333333333,-0.170574712643678,-0.176824712643678,-0.203788938334393,-0.174740957966764,-0.171515151515151,-0.231111111111111,-0.236335503576883,-0.304920634920635,-0.289333610706608
"Csn",-0.379069686532373,-0.368181818181818,-0.0577353266888151,-0.223650409316269,0.111666666666667,-0.121168831168831,-0.117272727272727,0.12,-0.0257171586583351,0.22,-0.09,-0.388634801810773,-0.0666666666666667,-0.302483001070086,-0.302483001070086,-0.303826571127667,-0.0737294003600609,-0.0732927191373535,-0.0701149425287356,-0.0666666666666667,-0.0761788465908576,-0.0762389788818979,-0.218752646919146,0.314111461738243,0.0430571016836541,0.0732849559156165,0.0701149425287356,0.0737294003600609,0.302483001070086,0.106197080579163,0.0666666666666667,0.110025780270289,0.0326153846153846,-0.12979797979798,-0.125514763014763,-0.120707070707071,-0.128333333333333,0.226178899797413,0.0142857142857143,0.00317460317460317,0.427457801869872,0.249102268631285,0.0201960687556542,-0.117266666666667,0.126377164502164,0.0304473304473304,0.0250709863613089,0.0340873798039319,0.288299559073029,0.0636689406398527,0.0654684265010352,0.372659430122117,0.279380133588211,0.385036273644545,0.345765095119934
"cMet",0.100833333333333,0.113333333333333,-0.0987960096319229,0.276666666666667,-0.0933333333333333,0.21,0.2,-0.1,-0.147619047619048,-0.1,0.2,0.10727639950329,-0.1,-0.0228571428571429,-0.0228571428571429,-0.0228571428571429,-0.12,-0.12,-0.1,-0.1,-0.11613595706619,-0.118960815823252,0.171515323348064,-0.268243249925482,-0.0454283591509869,0.117674418604651,0.2,0.12,0.0228571428571429,0.144761904761905,0.2,-0.0667457805907173,0.0466089466089466,0.0857142857142857,0.0740681490961446,0.0804511278195489,0.1,-0.0611968555788781,0.1,0.1,-0.130606758832565,0.0237037037037037,0.067103476233911,0.0933333333333333,-0.211818181818182,0.08,0.0890909090909091,0.0797159090909091,-0.0691247893745664,0.0902411873840445,0.0938775510204082,-0.100833333333333,-0.118839619016249,-0.092322695035461,-0.131168831168831
"CD44",0.100833333333333,0.133333333333333,-0.104678362573099,0.283333333333333,-0.1,0.2,0.2,-0.1,-0.152380952380952,0,0.2,0.105249372476263,0,-0.0142857142857143,-0.0142857142857143,-0.0228571428571429,-0.1,-0.12,-0.1,-0.1,-0.117674418604651,-0.11613595706619,0.167600732600733,-0.271042232113777,-0.0461582861582862,0.12,0.2,0.2,0.0142857142857143,0.14,0.1,-0.0604166666666667,0.0476190476190476,0.1,0.0804511278195489,0.0857142857142857,0.1,-0.0600732600732601,0.1,0.1,-0.127380952380952,0.0237037037037037,0.0692773892773893,0.0933333333333333,-0.21,0.1,0.08,0.0890909090909091,-0.0725146198830409,0.0938775510204082,0.1,-0.113333333333333,-0.117277119016249,-0.100833333333333,-0.13015873015873
"SMAD",-0.223252363342064,-0.228571428571429,-0.168023713551611,-0.248395445134576,-0.124183006535948,-0.240574429321616,-0.238248847926267,-0.0888888888888889,-0.0526330897863479,-0.1,-0.228571428571429,-0.0150794283444176,0.019047619047619,-0.0284410669388835,-0.0284410669388835,-0.0317305406230941,0.0320818070818071,0.0292041092400805,0.0301587301587302,0.06,0.0582760047483489,0.0556417595609122,-0.0659149422764763,0.159756661446145,0.113050796281631,-0.0562407265936678,-0.0568253968253968,-0.0587861811391223,0.0284410669388835,-0.0607934931668795,-0.0457142857142857,0.0212356840021479,0.0570424727305707,0.128571428571429,0.138286808976464,0.13431855500821,0.122222222222222,0.0941952587800962,0.108333333333333,0.145833333333333,0.134845591612509,0.0746594661425503,0.147875855327468,0.129516339869281,0.240574429321616,0.140833333333333,0.149090214067278,0.152435938974341,0.118980759383985,0.0525203107394888,0.151091739310917,0.227162977867203,0.254825404061784,0.222853956967562,0.282194880243704
"Ecadherin",0.189359940872136,0.167636363636364,-0.0243300639352751,-0.00476889049381602,-0.170582010582011,-0.080115772644578,-0.0832085561497326,-0.16,-0.0595405532114393,-0.1,-0.0890909090909091,0.168353646003839,0.096078431372549,0.177922322775264,0.177922322775264,0.180156959646772,0.0949557369058289,0.102289070239162,0.0984040127678979,0.0666666666666667,0.0979619414383936,0.100856432568179,-0.0127251249202469,0.0357680612172564,0.0372012587296646,-0.102818728486961,-0.0984040127678979,-0.095795317115724,-0.177922322775264,-0.207683812258724,-0.096078431372549,0.0447293653368248,0.0591035855599411,0.190143540669856,0.193945326589452,0.189112612834805,0.174285714285714,-0.110867151081413,0.1,0.1,-0.156161946833582,-0.131062285315897,0.0946761547455937,0.180971620971621,0.0797236157818329,0.1,0.111827956989247,0.10237913809161,-0.130378565718306,0.0115605151419448,0.00550724637681159,-0.184969696969697,-0.142748116770463,-0.190264100004143,-0.174667561711639
"cateninmemb",0.189359940872136,0.167636363636364,-0.0243300639352751,-0.00476889049381602,-0.170582010582011,-0.080115772644578,-0.0832085561497326,-0.16,-0.0595405532114393,-0.1,-0.0890909090909091,0.168353646003839,0.096078431372549,0.177922322775264,0.177922322775264,0.180156959646772,0.0949557369058289,0.102289070239162,0.0984040127678979,0.0666666666666667,0.0979619414383936,0.100856432568179,0.10789726461223,-0.239566222155279,0.0372012587296646,-0.102818728486961,-0.0984040127678979,-0.095795317115724,-0.177922322775264,-0.207683812258724,-0.096078431372549,0.0447293653368248,0.0591035855599411,0.190143540669856,0.193945326589452,0.189112612834805,0.174285714285714,-0.110867151081413,0.1,0.1,-0.156161946833582,-0.131062285315897,0.0946761547455937,0.180971620971621,0.0797236157818329,0.1,0.111827956989247,0.10237913809161,-0.130378565718306,0.0115605151419448,0.00550724637681159,-0.184969696969697,-0.142748116770463,-0.190264100004143,-0.174667561711639
"SNAI2",0.118508942038354,0.119607843137255,-0.0361060880048222,-0.0401622718052738,-0.113218390804598,-0.0745098039215686,-0.0843137254901961,-0.0666666666666667,-0.0413461538461538,-0.1,-0.0666666666666667,0.108329966994697,0.0363636363636364,0.113300607760636,0.113300607760636,0.111930744746937,0.0637278214743003,0.0674711369823217,0.0792207792207792,0.1,0.0707093091142516,0.0666720420335062,-0.0326297736305964,0.0400763675538878,-0.0170402130818541,-0.0680288967431175,-0.0792207792207792,-0.0637278214743003,-0.113300607760636,-0.120304898108958,-0.0363636363636364,0.0403965628364878,0.0632997692469058,0.100877192982456,0.112383230804283,0.120175438596491,0.116666666666667,-0.0759361144502359,0,0.1,-0.100827076444719,-0.0929102564102564,0.0677025160197113,0.112013571527489,0.07586115527292,0.0705882352941176,0.0807923169267707,0.0850176690394468,-0.085195347599219,0.00624031268953433,0.023943661971831,-0.100560224089636,-0.109659804335859,-0.11478223396382,-0.114250262219425
"KLF4",0.184969696969697,0.163636363636364,-0.0370817417876241,-0.0139794168096055,-0.174285714285714,-0.0832085561497326,-0.0890909090909091,-0.1,-0.0481481481481481,-0.1,-0.08,0.16965839903273,0.0666666666666667,0.180128205128205,0.180128205128205,0.177922322775264,0.0984040127678979,0.0949557369058289,0.096078431372549,0.1,0.102818728486961,0.0979619414383936,-0.0111866633817853,0.137812851869642,0.042559476670664,-0.095795317115724,-0.096078431372549,-0.0984040127678979,-0.180128205128205,-0.202529173083467,-0.0666666666666667,0.0431275346732092,0.0662125902992776,0.169090909090909,0.189112612834805,0.190143540669856,0.16,-0.107328976034858,0,0.1,-0.153292189659189,-0.131436817151103,0.0944473217936486,0.170582010582011,0.080115772644578,0.1,0.1,0.111827956989247,-0.130062110022104,0.00550724637681159,0.02,-0.167636363636364,-0.144424094424094,-0.189359940872136,-0.167084623323013
"HEY1",0.184969696969697,0.163636363636364,-0.0370817417876241,-0.0139794168096055,-0.174285714285714,-0.0832085561497326,-0.0890909090909091,-0.1,-0.0481481481481481,-0.1,-0.08,0.16965839903273,0.0666666666666667,0.180128205128205,0.180128205128205,0.177922322775264,0.0984040127678979,0.0949557369058289,0.096078431372549,0.1,0.102818728486961,0.0979619414383936,-0.0111866633817853,0.137812851869642,0.042559476670664,-0.095795317115724,-0.096078431372549,-0.0984040127678979,-0.180128205128205,-0.202529173083467,-0.0666666666666667,0.0431275346732092,0.0662125902992776,0.169090909090909,0.189112612834805,0.190143540669856,0.16,-0.107328976034858,0,0.1,-0.153292189659189,-0.131436817151103,0.0944473217936486,0.170582010582011,0.080115772644578,0.1,0.1,0.111827956989247,-0.130062110022104,0.00550724637681159,0.02,-0.167636363636364,-0.144424094424094,-0.189359940872136,-0.167084623323013
"FOXC2",0.184969696969697,0.163636363636364,-0.0370817417876241,-0.0139794168096055,-0.174285714285714,-0.0832085561497326,-0.0890909090909091,-0.1,-0.0481481481481481,-0.1,-0.08,0.16965839903273,0.0666666666666667,0.180128205128205,0.180128205128205,0.177922322775264,0.0984040127678979,0.0949557369058289,0.096078431372549,0.1,0.102818728486961,0.0979619414383936,-0.0111866633817853,0.137812851869642,0.042559476670664,-0.095795317115724,-0.096078431372549,-0.0984040127678979,-0.180128205128205,-0.202529173083467,-0.0666666666666667,0.0431275346732092,0.0662125902992776,0.169090909090909,0.189112612834805,0.190143540669856,0.16,-0.107328976034858,0,0.1,-0.153292189659189,-0.131436817151103,0.0944473217936486,0.170582010582011,0.080115772644578,0.1,0.1,0.111827956989247,-0.130062110022104,0.00550724637681159,0.02,-0.167636363636364,-0.144424094424094,-0.189359940872136,-0.167084623323013
