"","ZEB1","GSK3","Jagged","NOTCH","AXIN2","ILK","TWIST1","Wnt","cMet","SRC","SHH","SMO","cateninmemb","RAF","PI3K","DELTA","RAS","EGR1","cfos","MEK","ERK","Destcompl","TrCP","SUFU","LIV1","SNAI1","Patched","Csn","CD44","FUS","TCFLEF","cateninnuc","STAT","Frizzled","GLI","DSH","IKK","RKIP","AKT","NFB","SMAD","miR200","Ecadherin","HEY1","Csl","NOTCHic","SOSGRB2","SNAI2","PAK1","FOXC2","CDC42","TGFR","TGF","ZEB2","KLF4"
"RAF",0.209434720229555,-0.00386130811662727,0.136413614681866,0.10951825951826,0.0149085794655415,0.153754813863928,0.180834818775995,0.02,0.0157894736842105,0,0.135081967213115,0.12,-0.0859706765589119,-0.114285714285714,-0.114285714285714,-0.114285714285714,-0.116849816849817,-0.17,-0.07,-0.0617828319882612,-0.0596551724137931,-0.00735137260479105,-0.1,-0.1,0,-0.128866795946795,-0.14,-0.1,-0.0157894736842105,-0.1,-0.0164887743835112,-0.0147076039000507,0,0,-0.02,0,-0.126785714285714,-0.16624649859944,-0.147997835497835,-0.114285714285714,-0.148804318814423,-0.115250632065024,0.0658687508234421,-0.159581881533101,-0.0888888888888889,-0.097979797979798,-0.262539682539683,-0.402100600338054,-0.2,-0.210506926024167,-0.193333333333333,-0.198095238095238,-0.212113929684023,-0.209434720229555,-0.201434720229555
"Wnt",0.201386896221903,-0.103369905956113,0.0764950980392157,0.15952380952381,0.167272727272727,0.058974358974359,0.159411764705882,0.125,0.125,0.1,0.012987012987013,0,-0.00258474576271186,0.0909774436090226,0.0909774436090226,0.0909774436090226,0.0818865345181135,-0.1,0,-0.0376470588235294,-0.02,-0.0485312660533321,0.1,0,0,-0.0777950310559006,-0.0272727272727273,0.1,-0.119736842105263,0,-0.123308270676692,-0.121321515709804,-0.1,-0.2,-0.119736842105263,-0.2,0.0866666666666667,-0.0933333333333333,0.0616666666666667,0.0666666666666667,-0.0566487775790101,-0.0968686868686869,-0.111376493949271,-0.0656410256410257,-0.1,-0.142857142857143,-0.0909090909090909,-0.211120689655172,-0.1,-0.169392712550607,-0.133333333333333,-0.153333333333333,-0.179420289855072,-0.201386896221903,-0.184313725490196
"PI3K",0.16868745638379,-0.00901875901875902,0.071140350877193,0.137158808933002,0.152857142857143,0.061328531412565,0.116061953410492,0.106763285024155,0.106763285024155,0.111111111111111,0.0228632478632479,0.0333333333333333,-0.017671837750994,0.011047619047619,0.011047619047619,0.011047619047619,0.00967775603392042,0,0.0142857142857143,-0.0148367543738807,-0.00336134453781513,-0.0307328501354418,0.2,0,-0.1,-0.0224718196457327,-0.0256410256410256,0.166666666666667,-0.105224823485693,0,-0.103529908231456,-0.103736093798466,-0.1,-0.111111111111111,-0.105224823485693,-0.1,0.137254901960784,-0.045846800258565,0.139819004524887,0.166666666666667,-0.060528531412565,-0.0746817980424538,-0.0721809079703235,-0.0672451484882118,-0.125,-0.140384615384615,-0.0719230769230769,-0.205999450188411,-0.1,-0.121210220673635,-0.105882352941176,-0.129882352941176,-0.130695361071258,-0.16868745638379,-0.167763157894737
"AKT",0.164577867342694,-0.0106316622445655,0.0698158475659347,0.132280760152515,0.151774110366168,0.060528531412565,0.112698039037404,0.105224823485693,0.105224823485693,0.106763285024155,0.0228632478632479,0.0256410256410256,-0.0163466593615954,0.00967775603392042,0.00967775603392042,0.00967775603392042,0.00847293675681198,0.0142857142857143,-0.00336134453781513,-0.0097734632346402,-0.0148367543738807,-0.0308155631213806,0.166666666666667,0,-0.1,-0.0212186868136525,-0.0228632478632479,0.166666666666667,-0.103529908231456,-0.0333333333333333,-0.103736093798466,-0.104505324567697,-0.111111111111111,-0.106763285024155,-0.103548845832062,-0.111111111111111,0.139819004524887,-0.0427412101964532,0.0388089035147859,0.137254901960784,-0.0655790364630701,-0.0725427606092987,-0.0729384837278993,-0.0679970281874599,-0.140384615384615,-0.137158808933002,-0.0897008547008547,-0.206300957726099,-0.105882352941176,-0.115947062778898,-0.129882352941176,-0.130695361071258,-0.126163639016877,-0.164577867342694,-0.170327260458839
"SRC",0.1217280622941,0.175930735930736,0.0235138790872736,-0.0902380952380952,0.145650048875855,0.00723684210526316,0.0398484274346343,0.1,0.1,0.1,-0.0258605664488017,-0.0133333333333333,0.0969604101182458,-0.182911973299958,-0.182911973299958,-0.182911973299958,-0.182911973299958,0.1,0.127272727272727,0.0991804840861445,0.116161616161616,0.00703495779582736,-0.1,0.0333333333333333,-0.2,0.0336777957466635,0.017037037037037,-0.1,-0.0983606557377049,0.0333333333333333,-0.095921631347461,-0.0961453449939935,-0.2,-0.1,-0.0983606557377049,-0.1,-0.123076923076923,0.122808732486152,-0.117521367521368,-0.1,-0.00273233760075865,-0.0506104523495828,-0.194671292759528,0.0101373717312148,0.095,0.0902380952380952,0.00714285714285714,-0.048802963432391,-0.0666666666666667,-0.0555835667600374,-0.0541666666666667,-0.068452380952381,-0.0702705627705628,-0.1217280622941,-0.221834625322997
"Destcompl",0.0901049880328326,-0.0297888415953535,-0.0125387368560875,-0.0297440749104947,-0.134010241520168,0.0147619047619048,-0.0100694538317211,-0.0280634619234918,-0.0285806778241863,-0.0241030658838878,0.0911373039962444,0.092512315270936,0.0414323791868159,0.0298476041781617,0.0298476041781617,0.0298476041781617,0.0314174628908775,0,-0.00909090909090909,-0.00635866865375062,-0.00635866865375062,-0.0735800319340988,0.0333333333333333,-0.1,0.0166666666666667,-0.00789237260023102,-0.0878491028357028,0.00476190476190476,0.0270881405107535,-0.0896551724137931,0.0279100583189727,0.0274001144128023,0.030952380952381,0.0241030658838878,0.0267647606247905,0.030952380952381,0.011499076716468,-0.0147359564972041,0.0168682042332465,0.0178053830227743,-0.0146449456975773,-0.0690463869446981,-0.0556296529896674,-0.0132149901380671,0.0262828045436741,0.0295436741088915,-0.0782742509325307,0.125636738276644,-0.0626530612244898,-0.0643452711713286,-0.0578254750175932,-0.0594044223860143,-0.0565472795288714,-0.0901049880328326,-0.0872167965248412
"TWIST1",0.0711465851816729,-0.0545560745907901,-0.00458060762066724,-0.0329979035639413,-0.128403639371381,0.0547229047229047,-0.0913002615233736,-0.09156223893066,-0.0925700776764607,-0.0968253968253968,0.167208373634448,0.165777777777778,-0.0766945263088141,-0.0800047032874357,-0.0800047032874357,-0.0800047032874357,-0.0813745663011344,0.133333333333333,0.146376811594203,0.149859398658879,0.146376811594203,0.0787384252553252,-0.2,-0.166666666666667,0.1,-0.0390498611196523,-0.172627092846271,-0.15,0.0953813226563804,-0.177777777777778,0.0949219045859362,0.0956694606526412,0.0857142857142857,0.0968253968253968,0.09396223893066,0.0857142857142857,-0.158791208791209,-0.0203969617013095,-0.167265785062395,-0.173076923076923,-0.0543928717196044,-0.0679051811480278,0.112802579836312,-0.0538896132116471,0.0311111111111111,0.0311111111111111,-0.0676289385671537,-0.193301047795377,-0.0593939393939394,-0.0796082949308756,-0.0628422152560084,-0.0528422152560084,-0.0539811674200175,-0.0711465851816729,-0.0667917448405253
"HEY1",0.0213157894736842,0.0285053493371971,0.0190850029530689,0.0901218369259606,0.118794034982131,0.0306666666666667,0.0165925925925926,0.0106703146374829,0.0106703146374829,0.0176470588235294,-0.00712365591397849,0,-0.0161625107051936,0.0337179487179487,0.0337179487179487,0.0337179487179487,0.036659125188537,-0.08,-0.0890909090909091,-0.0824808423838139,-0.0773262032085562,-0.0317790552365852,0.1,0,-0.0333333333333333,-0.02816001247611,0.0125,0,-0.0150181407244394,0.0333333333333333,-0.0133458999217638,-0.0142176309304811,0,-0.0176470588235294,-0.0141185904995519,0,0.0266666666666667,-0.0333127190270047,0.0377777777777778,0.06,-0.027768115942029,-0.0103907203907204,0.016004745720743,-0.0387929717341482,-0.0890909090909091,-0.0890909090909091,0.0200257289879931,-0.136985275077245,-0.0772727272727273,-0.086222020568663,-0.0572727272727273,-0.0692727272727273,-0.0678093126385809,-0.0213157894736842,-0.0296296296296296
"SNAI2",0.0204883574575205,0.0824436908772178,0.125397532200004,0.141649578491684,0.173648069416238,0.0423205902079141,0.121243362214382,0.116643497347723,0.116643497347723,0.118051948051948,-0.10157685609455,-0.102352941176471,0.0836763900156824,0.0794393563031931,0.0794393563031931,0.0794393563031931,0.0803525983123256,-0.1,-0.105882352941176,-0.101351351351351,-0.1,-0.0875917718937505,0.1,0.1,-0.12,-0.0244202094687896,0.104393757503001,0.0666666666666667,-0.118794034982131,0.12,-0.118587849415121,-0.119053687924438,-0.110909090909091,-0.118051948051948,-0.118247775422589,-0.110909090909091,0.0744252873563218,-0.029025641025641,0.0756301066334303,0.0916666666666667,-0.0418421213083926,-0.0122715112884377,-0.186395541583154,-0.0549879445449066,-0.13859649122807,-0.140350877192982,0.041683569979716,0.162354990138398,-0.117647058823529,-0.121050869615654,-0.112885154061625,-0.118868060044531,-0.120110296069375,-0.0204883574575205,-0.03
"TGFR",-0.0149023502151606,-0.173425482327439,-0.0653507929393183,0.0469304556354916,0.00584962645048482,-0.0620332355816227,0.0624331092658495,-0.00862533692722372,0.00566037735849057,0,-0.0672469803233976,-0.0763218390804598,-0.0056460201945368,0.167857142857143,0.167857142857143,0.167857142857143,0.166687552213868,-0.261904761904762,-0.267167919799499,-0.251947219647292,-0.256056808688388,-0.0424262290979549,0.166666666666667,0.0866666666666667,0,-0.0690299617250542,0.0700718390804598,0.191666666666667,-0.00697616683217478,0.0866666666666667,-0.00697616683217478,-0.00635614911738293,0,0.0142857142857143,0.00668985305625598,0.0142857142857143,0.195426065162907,-0.0684848484848485,0.188449320976861,0.205952380952381,0.0616773636955017,0.0373411534701857,0.0036062054936276,0.06520973469211,-0.0433333333333333,-0.0433333333333333,-0.0222871994801819,-0.0587071530228381,0.0177777777777778,-0.0917872738615097,0.0177777777777778,-0.0822222222222222,-0.0864775413711584,0.0149023502151606,0.0175438596491228
"TGF",-0.0175438596491228,-0.174158978659957,-0.0689739813451154,0.0433333333333333,0.0037037037037037,-0.0684848484848485,0.0585185185185185,-0.0142857142857143,0,0,-0.0700718390804598,-0.0866666666666667,-0.00426033890123426,0.166071428571429,0.166071428571429,0.166071428571429,0.167857142857143,-0.233333333333333,-0.261904761904762,-0.256056808688388,-0.267167919799499,-0.0420230032915033,0.2,0.0666666666666667,0,-0.0657851239669422,0.0763218390804598,0.166666666666667,-0.00566037735849057,0.0866666666666667,-0.00697616683217478,-0.00697616683217478,0,0.0142857142857143,0.00862533692722372,0,0.205952380952381,-0.0627705627705628,0.195426065162907,0.191666666666667,0.0620332355816227,0.0393939393939394,0.00241370123468382,0.0711798839458414,-0.0333333333333333,-0.0433333333333333,-0.0210526315789474,-0.0563923382080233,0.04,-0.0878571428571429,0.0177777777777778,0.0177777777777778,-0.0822222222222222,0.0175438596491228,0.0175438596491228
"KLF4",-0.0213157894736842,-0.0285053493371971,-0.0190850029530689,-0.0901218369259606,-0.118794034982131,-0.0306666666666667,-0.0165925925925926,-0.0106703146374829,-0.0106703146374829,-0.0176470588235294,0.00712365591397849,0,0.0161625107051936,-0.0337179487179487,-0.0337179487179487,-0.0337179487179487,-0.036659125188537,0.08,0.0890909090909091,0.0824808423838139,0.0773262032085562,0.0317790552365852,-0.1,0,0.0333333333333333,0.02816001247611,-0.0125,0,0.0150181407244394,-0.0333333333333333,0.0133458999217638,0.0142176309304811,0,0.0176470588235294,0.0141185904995519,0,-0.0266666666666667,0.0333127190270047,-0.0377777777777778,-0.06,0.027768115942029,0.0103907203907204,-0.016004745720743,0.0387929717341482,0.0890909090909091,0.0890909090909091,-0.0200257289879931,0.136985275077245,0.0772727272727273,0.086222020568663,0.0572727272727273,0.0692727272727273,0.0678093126385809,0.0213157894736842,0.0296296296296296
"FOXC2",-0.0213157894736842,-0.0285053493371971,-0.0190850029530689,-0.0901218369259606,-0.118794034982131,-0.0306666666666667,-0.0165925925925926,-0.0106703146374829,-0.0106703146374829,-0.0176470588235294,0.00712365591397849,0,0.0161625107051936,-0.0337179487179487,-0.0337179487179487,-0.0337179487179487,-0.036659125188537,0.08,0.0890909090909091,0.0824808423838139,0.0773262032085562,0.0317790552365852,-0.1,0,0.0333333333333333,0.02816001247611,-0.0125,0,0.0150181407244394,-0.0333333333333333,0.0133458999217638,0.0142176309304811,0,0.0176470588235294,0.0141185904995519,0,-0.0266666666666667,0.0333127190270047,-0.0377777777777778,-0.06,0.027768115942029,0.0103907203907204,-0.016004745720743,0.0387929717341482,0.0890909090909091,0.0890909090909091,-0.0200257289879931,0.136985275077245,0.0772727272727273,0.086222020568663,0.0572727272727273,0.0692727272727273,0.0678093126385809,0.0213157894736842,0.0296296296296296
"Ecadherin",-0.0217897231229733,-0.0274015965778152,-0.0170255063855632,-0.0904935841378565,-0.118587849415121,-0.027768115942029,-0.0171512518104697,-0.0141185904995519,-0.0150181407244394,-0.0106703146374829,0.0102732622131911,0.0125,0.016547126089809,-0.036659125188537,-0.036659125188537,-0.036659125188537,-0.0347038179259671,0.0890909090909091,0.0773262032085562,0.0820886855210688,0.0824808423838139,0.0320586451713475,0,-0.0333333333333333,0,0.0256283669064897,-0.00712365591397849,-0.06,0.0133458999217638,0,0.0142176309304811,0.0138441482040572,0.0176470588235294,0.0106703146374829,0.0127852571662185,0.0176470588235294,-0.0377777777777778,0.0336872508622107,-0.0325829725829726,-0.0266666666666667,0.0289787696950556,0.0113218190871822,-0.115810003753849,0.0367795489153563,0.0890909090909091,0.0901218369259606,-0.0147625710932563,0.137406707949009,0.0572727272727273,0.0873661853283884,0.0692727272727273,0.0678093126385809,0.069436799076194,0.0217897231229733,0.0296296296296296
"cateninmemb",-0.0398714656728244,-0.116631564312929,-0.258659952320491,-0.23930558655028,-0.315169811585499,-0.0627826086956522,-0.247451467241149,-0.243265405600893,-0.244149963322033,-0.241541267669859,0.207190860215054,0.210416666666667,0.170452175222197,-0.108846153846154,-0.108846153846154,-0.108846153846154,-0.108008165019338,0.129090909090909,0.123208556149733,0.123354098902916,0.122177628314681,0.1284055494153,-0.1,-0.233333333333333,0.233333333333333,0.0511292595780421,-0.207190860215054,-0.12,0.245153307803638,-0.216666666666667,0.245775972809865,0.245962714173077,0.23921568627451,0.241541267669859,0.24393207226756,0.23921568627451,-0.0983068783068783,0.0615304616909753,-0.0944107744107744,-0.105714285714286,0.0635090009474681,0.0228501397216481,-0.00564979315148504,0.0833732394727262,0.234354066985646,0.237446850490801,-0.0202822665583341,0.348852952316001,0.181272727272727,0.180098376737557,0.187939393939394,0.193305247597931,0.196379388646755,0.0398714656728244,0.0569151429910924
"cateninnuc",-0.0538861067774625,-0.0451218565416508,-0.204948653210279,-0.278689788437522,-0.3820061273267,-0.0612756132756133,-0.176079647099082,-0.19200944479384,-0.19349346305868,-0.19458041958042,0.166336062578987,0.165191256830601,0.197538474871417,-0.0663157113157113,-0.0663157113157113,-0.0663157113157113,-0.0668207618207618,0.120289855072464,0.125051759834369,0.124703368242219,0.123785937049558,0.0591892008859015,-0.1,-0.166666666666667,0.193939393939394,0.115333575298113,-0.168296846892713,-0.0625,0.195477590042807,-0.176666666666667,0.195253542245944,0.0957782591749692,0.186247086247086,0.193096401315579,0.193590472461824,0.186247086247086,-0.0595909090909091,0.126069116987231,-0.0619346590909091,-0.0715909090909091,0.0619577415157224,0.0253339001835201,-0.128894713882803,0.083423282738338,0.275455116133082,0.277780697528431,0.0218932741026472,0.412058347117771,0.177142857142857,0.178431732202224,0.178681318681319,0.1844284451181,0.1844284451181,0.0538861067774625,0.0751391550323935
"miR200",-0.102916666666667,-0.00225313342622613,-0.020418061216335,-0.0314024101750578,-0.142311097657876,-0.00458865945591609,-0.101226993865031,-0.0974084507042254,-0.0970606246172688,-0.0956521739130435,0.0162025316455696,0.02,-0.0832404785608695,-0.0828205128205128,-0.0828205128205128,-0.0828205128205128,-0.0825711362619093,0.0142857142857143,0.0142857142857143,0.0122448979591837,0.0142857142857143,0.0734503435285482,0,-0.02,0.1,0.00557072557072557,-0.0162025316455696,-0.02,0.0970606246172688,-0.02,0.0974574500140942,0.0974574500140942,0.1,0.096,0.0974084507042254,0.1,-0.017593984962406,0.00660239555945077,-0.0138204000567456,-0.0147368421052632,0.00490213907974054,0.00152688361701502,0.173445144598991,0.00675141242937853,0.0308374384236453,0.0308374384236453,0.0101579626047711,0.137384089593625,0.0333333333333333,0.022527824479044,0.0352941176470588,0.0336812144212524,0.0348440051189268,0.102916666666667,0.104347826086957
"AXIN2",-0.139324297848161,0.136849478769387,0.12059723472767,0.0262323037323037,0.515193051237678,-0.0138946399815965,0.0123716703500341,0.131919272921679,0.131919272921679,0.133643410852713,-0.122567555395424,-0.123076923076923,-0.148910686116285,-0.0758938313004057,-0.0758938313004057,-0.0758938313004057,-0.0745814953424005,0.0733333333333333,0.0708943089430894,0.0755672061393511,0.0755672061393511,-0.133513503155579,-0.0666666666666667,0.1,-0.133333333333333,0.106502454190061,0.124862637362637,-0.0777777777777778,-0.134127474814423,0.123076923076923,-0.134010241520168,-0.134485814369281,-0.126666666666667,-0.133643410852713,-0.133806065374509,-0.126666666666667,-0.0690821256038647,0.116407203907204,-0.0668599033816425,-0.0647342995169082,0.0146882907752473,0.103524396347883,0.0696305526358209,0.0120901109744923,-0.0266666666666667,-0.0248809523809524,0.110023942085653,-0.176334053046945,0.0675,0.0993229097210362,0.0736728395061728,0.0727878837539605,0.0734479497605611,0.139324297848161,0.134246832883923
"ILK",-0.16868745638379,0.00901875901875902,-0.071140350877193,-0.137158808933002,-0.152857142857143,-0.061328531412565,-0.116061953410492,-0.106763285024155,-0.106763285024155,-0.111111111111111,-0.0228632478632479,-0.0333333333333333,0.017671837750994,-0.011047619047619,-0.011047619047619,-0.011047619047619,-0.00967775603392042,0,-0.0142857142857143,0.0148367543738807,0.00336134453781513,0.0307328501354418,-0.2,0,0.1,0.0224718196457327,0.0256410256410256,-0.166666666666667,0.105224823485693,0,0.103529908231456,0.103736093798466,0.1,0.111111111111111,0.105224823485693,0.1,-0.137254901960784,0.045846800258565,-0.139819004524887,-0.166666666666667,0.060528531412565,0.0746817980424538,0.0721809079703235,0.0672451484882118,0.125,0.140384615384615,0.0719230769230769,0.205999450188411,0.1,0.121210220673635,0.105882352941176,0.129882352941176,0.130695361071258,0.16868745638379,0.167763157894737
