"","GSK3","RKIP","MEK","TWIST1","SNAI1","KLF4","Destcompl","EGR1","RAS","RAF","PI3K","DELTA","NFB","Csn","Frizzled","DSH","GLI","Wnt","SUFU","HEY1","CD44","TCFLEF","ILK","FUS","AXIN2","SMO","Patched","NOTCHic","NOTCH","Csl","SNAI2","PAK1","TGF","TGFR","CDC42","SOSGRB2","Jagged","SHH","ZEB2","ZEB1","SMAD","cateninnuc","cMet","TrCP","STAT","SRC","LIV1","IKK","AKT","ERK","miR200","cfos","cateninmemb","Ecadherin","FOXC2"
"RAS",0.124806201550388,0.138018867924528,0.137409700722394,0.015493726132024,0.0985447394296952,-0.0725,0.111832290902058,0.1,0.10025641025641,0.188717948717949,0.188717948717949,0.188717948717949,0.0333333333333333,0,-0.1,-0.1,-0.103186274509804,-0.0823529411764706,-0.1,-0.102766798418972,-0.101501877346683,-0.0984249542697603,-0.1004329004329,-0.1,-0.0868511198945981,-0.0833333333333333,-0.111333333333333,-0.0947368421052632,-0.115491559086395,-0.1,0.0212283231855811,0.1,0.0811881188118812,0.1,0.1,-0.0848484848484849,0.0649674748669426,0.0994689265536723,0.038479381443299,0.038479381443299,0.104514533085962,0.0947422347230181,0.0823529411764706,-0.1,0.1,0.1,0,-0.04,-0.0233333333333333,-0.123684210526316,-0.0356615384615385,-0.15,0.0298853676378071,0.0030213648920262,-0.0592063492063492
"STAT",-0.161978193146417,0.0887033462033462,0.155977229601518,0.00143770106288847,0.0534244942711345,-0.174876213111507,-0.143506152715129,0.166666666666667,-0.110171845487204,-0.110918114143921,-0.110918114143921,-0.110918114143921,-0.02,0,-0.0696428571428571,-0.0571428571428571,-0.0620798319327731,-0.0696428571428571,0.05,0.0106666666666667,-0.0619505494505495,-0.0641587513432939,0.00515297906602254,0.025,-0.0536631995455525,0.005,0.0119767441860465,0.0453630100688924,0.0463338838553002,0.0372549019607843,0.0369034889806069,0.0409090909090909,0.0237323174537133,0.0280801435406699,0.00965909090909091,0.0921592775041051,-0.0203125036405363,-0.0128616999382589,0.0559530213376367,0.0559530213376367,0.000594147370759065,0.064993077922555,0.0696428571428571,0,0.0571428571428571,0.0696428571428571,0.2,0.0247619047619048,0.0230669895076675,-0.154901960784314,-0.0337691283330722,-0.166666666666667,0.200873319252328,0.236629738925217,-0.140835719154738
"cateninmemb",0.123984782308377,0.0781487194809827,0.108458018633883,0.0196580129258407,0.0697108830310501,-0.0643225503984998,0.120788129947704,0.0927272727272727,0.0863049706345796,0.086025641025641,0.086025641025641,0.086025641025641,0.0752380952380952,0.08,-0.0246238030095759,-0.0176470588235294,-0.0210605846187713,-0.017727251285438,0.0333333333333333,-0.0276994067913926,-0.0204766458189405,-0.0213483768276578,-0.0173333333333333,0,0.0165971950050415,0.01875,0.0198252688172043,-0.0818744142455483,-0.0867071280001951,-0.0890909090909091,-0.00856602941527512,-0.0210909090909091,-0.0142010106801709,-0.00931855136733185,-0.0117575757575758,-0.0932231952092925,-0.0105431494778926,-0.0166756625179917,0.061447454012785,0.061447454012785,0.017091202582728,0.0200411872851741,0.0167977160530542,-0.1,0.0176470588235294,0.0246238030095759,0,-0.0789417989417989,-0.0789417989417989,-0.107281548045647,-0.045145008105902,-0.110374331550802,0.116679344266336,0.128918159142169,-0.135377048317946
"SRC",-0.0227705627705628,0.265461062235256,0.241604726510387,0.0994240242516104,0.124796747144016,-0.141020671834625,-0.0249705367096671,0.3,0.108669549057534,0.116245306633292,0.116245306633292,0.116245306633292,0.0666666666666667,0.1,-0.075,-0.1,-0.0800819672131148,-0.085,-0.0333333333333333,-0.0496110559417411,-0.0800819672131148,-0.0800819672131148,-0.0322368421052632,0.0166666666666667,-0.0607314378001615,-0.00333333333333333,-0.00703703703703704,-0.0938095238095238,-0.0866666666666667,-0.07,0.00593593614436925,0.0666666666666667,0.0805844155844156,0.0678571428571429,0.0916666666666667,-0.0671428571428571,0.00556457304163726,0.0129193899782135,0.0660002994908655,0.0660002994908655,0.0223269321953532,0.0807531081527121,0.085,-0.1,0.2,0.075,0.2,-0.058974358974359,-0.058974358974359,-0.258585858585859,-0.0596193822280779,-0.236363636363636,0.20511899416255,0.229265483971366,-0.252609710550887
"KLF4",0.125088535067759,0.0792723149866007,0.107281548045647,0.0235686274509804,0.0671792374614299,-0.0592592592592593,0.120788129947704,0.12,0.086025641025641,0.086025641025641,0.086025641025641,0.086025641025641,0.08,0.1,-0.0176470588235294,0,-0.017727251285438,-0.0246238030095759,0,-0.0270282658517953,-0.0167977160530542,-0.0204766458189405,-0.0173333333333333,0.0333333333333333,0.0205147207782374,0,0.01875,-0.0890909090909091,-0.0818744142455483,-0.0890909090909091,-0.00790377775964598,-0.00909090909090909,-0.00931855136733185,-0.0117575757575758,-0.0210909090909091,-0.095854774156661,-0.00802598700649675,-0.0198252688172043,0.066186790505676,0.066186790505676,0.0173333333333333,0.0213483768276578,0.0246238030095759,-0.1,0,0.0176470588235294,0.0333333333333333,-0.0752380952380952,-0.0789417989417989,-0.110374331550802,-0.0505453805453805,-0.0927272727272727,-0.217000316756414,-0.27849702216821,-0.135148215366001
"HEY1",0.125088535067759,0.0792723149866007,0.107281548045647,0.0235686274509804,0.0671792374614299,-0.0592592592592593,0.120788129947704,0.12,0.086025641025641,0.086025641025641,0.086025641025641,0.086025641025641,0.08,0.1,-0.0176470588235294,0,-0.017727251285438,-0.0246238030095759,0,-0.0270282658517953,-0.0167977160530542,-0.0204766458189405,-0.0173333333333333,0.0333333333333333,0.0205147207782374,0,0.01875,-0.0890909090909091,-0.0818744142455483,-0.0890909090909091,-0.00790377775964598,-0.00909090909090909,-0.00931855136733185,-0.0117575757575758,-0.0210909090909091,-0.095854774156661,-0.00802598700649675,-0.0198252688172043,0.066186790505676,0.066186790505676,0.0173333333333333,0.0213483768276578,0.0246238030095759,-0.1,0,0.0176470588235294,0.0333333333333333,-0.0752380952380952,-0.0789417989417989,-0.110374331550802,-0.0505453805453805,-0.0927272727272727,-0.217000316756414,-0.27849702216821,-0.135148215366001
"SMO",0.245695081617412,0.228730158730159,0.142750582750583,0.0964052287581699,0.210061443932412,-0.0861111111111111,0.238113824160336,0.1,0.156093470483005,0.151442307692308,0.151442307692308,0.151442307692308,0.1,0.1,0.1,0.1,0.0833333333333333,0.1,-0.1,-0.0336996336996337,-0.01,-0.00902912621359223,-0.0233333333333333,-0.133333333333333,-0.0293924466338259,-0.173333333333333,-0.198333333333333,-0.172727272727273,-0.187727272727273,-0.2,0.0339244663382594,0,0.0175225225225225,0.0283333333333333,0.02,-0.13859649122807,0.06994708994709,0.192777777777778,0.0662429378531074,0.0662429378531074,0.0249206349206349,0.00902912621359223,-0.00666666666666667,0,0,0,-0.1,-0.0857142857142857,-0.0737142857142857,-0.121538461538462,-0.0374020494273659,-0.16,-0.0739363886279013,-0.025713486746518,-0.306551724137931
"TGFR",0.0878763071472128,0.118917748917749,0.258377221592795,0.0280064584157111,0.00947371480758448,-0.092013094330028,0.0278729319866604,0.238095238095238,0.0999269005847953,0.0958333333333333,0.0958333333333333,0.0958333333333333,0.152380952380952,0.166666666666667,0.0328571428571428,0.0428571428571429,0.0304225719502652,0.0271967654986523,0.0866666666666667,0.0647160714801236,0.0216203243958954,0.0211418554963739,0.057663734115347,0.0533333333333333,0.0140947763623014,0.0498850574712644,0.0498850574712644,-0.0395402298850575,-0.0416985032663524,-0.0533333333333333,-0.0294045532079557,0.202222222222222,0.0758291117865586,0.0807936507936508,0.159365079365079,0.0123944119558155,-0.0547317559924014,-0.0560997467368011,0.0681666106250537,0.0681666106250537,-0.0487669369623221,-0.0191046544334864,-0.0176729559748428,-0.166666666666667,-0.0333333333333333,-0.0233333333333333,0,-0.147117794486216,-0.149443375881564,-0.246048454469507,-0.0501018138949173,-0.274937343358396,-0.0449357328419609,-0.0592956604919813,-0.00388008896362798
"TCFLEF",0.165412876947465,0.175177480828397,0.00486809357889497,0.213905950144636,0.183777795890767,-0.0829816017316017,0.143691865324644,-0.00571428571428572,0.0582648578521954,0.0565565792713807,0.0565565792713807,0.0565565792713807,0.0440519480519481,0.048051948051948,0.0625490196078431,0.0725490196078431,0.0587426810188959,0.0599849170437406,-0.15,-0.0782927649316459,0.0659736332849541,-0.0341409142522739,-0.048609857978279,-0.143333333333333,0.00785054945054945,-0.138571428571429,-0.138571428571429,-0.194898772517137,-0.196559902085243,-0.200781125458313,0.0451666332323035,-0.00512820512820513,-0.00773374293959367,-0.00508473631707711,-0.0144305307096005,-0.173217257792108,0.112594821833033,0.134276950043821,0.0712358231437179,0.0712358231437179,0.0507131084562905,0.0343127355581158,-0.0666025641025641,-0.0571428571428571,-0.0791666666666667,-0.0691666666666667,-0.0666666666666667,-0.0505035609551739,-0.0505035609551739,0.00125435540069687,-0.0531662581060171,-0.00160278745644599,-0.0772898959633145,-0.0993944346162121,-0.387808084011009
"Wnt",0.33628526645768,0.26,0.229411764705882,0.0794117647058824,0.237215320910973,-0.107843137254902,0.243000358037952,0.1,0.207587149692413,0.198496240601504,0.198496240601504,0.198496240601504,0.133333333333333,0.1,-0.1,0,-0.190789473684211,-0.175,0,0.00102564102564102,-0.190789473684211,-0.197932330827068,0.00769230769230769,0,-0.126060606060606,0.05,0.0409090909090909,-0.0571428571428571,-0.0821428571428571,-0.1,0.09,0.1,0.131884057971014,0.166666666666667,0.133333333333333,0.109090909090909,-0.076421568627451,-0.0361471861471861,0.0712577714012434,0.0712577714012434,-0.00536672629695886,0.191972065926405,0.175,-0.1,0.1,0.2,0,-0.153333333333333,-0.140833333333333,-0.2,-0.0326262626262626,-0.2,0.150889830508475,0.134610917537747,-0.317165991902834
"SUFU",0.245567836558905,0.228965799378171,0.142535371207418,0.0980244871378321,0.206353752119227,-0.0845601147431912,0.236826110294827,0.121538461538462,0.155492342850481,0.153910064369468,0.153910064369468,0.153910064369468,0.0737142857142857,0.0857142857142857,0.0833333333333333,0.1,0.0829615861214374,0.0833333333333333,-0.173333333333333,-0.0291248126764104,-0.00902912621359223,-0.0103878218657661,-0.0204045058883769,-0.198333333333333,-0.0266839648091645,-0.192777777777778,-0.187727272727273,-0.176363636363636,-0.178744588744589,-0.187727272727273,0.0348291149111657,0.0283333333333333,0.0257519908174573,0.030288479969331,0.0175225225225225,-0.133351735983315,0.0694892013857186,0.18502457002457,0.0739279501526835,0.0739279501526835,0.0238687091216332,0.0102343691803442,0.00902912621359223,-0.1,-0.00666666666666667,0.01,0,-0.0737142857142857,-0.0757277085330777,-0.137003456313801,-0.0413440421396483,-0.142750582750583,-0.0707597288460299,-0.0235547180713772,-0.303995239875165
"SNAI1",-0.0995776541939908,0.128408922114972,0.173913929103701,0.0833027190201103,-0.00736648995888457,-0.0855868395261685,-0.0936847326649958,0.169565217391304,-0.0259542193579694,-0.0272678482578052,-0.0272678482578052,-0.0272678482578052,-0.00416666666666667,-0.00416666666666667,-0.0532163742690058,-0.0611111111111111,-0.0552264514081685,-0.0517529596348595,0.00238095238095238,0.000184676569278386,-0.0553462373264353,-0.0536910649126422,-0.00122546509643284,-0.000844854070660522,-0.0577171494738183,0.00779712123798145,-0.00120287876201855,0.026996336996337,0.0233228676085819,0.0258974358974359,0.0666076167081686,0.0120448179271709,0.0061261321268087,0.00834387406229257,0.0105296664120193,-0.00570163148390311,-0.0125449822567064,-0.00170974259720475,0.076003460240141,0.076003460240141,0.00233247616654354,0.053381307555905,0.052012903993102,-0.00833333333333333,0.0611111111111111,0.053003003003003,0.05,0.00416666666666667,0.00694444444444445,-0.169429624170965,-0.0401636161979264,-0.181429624170965,0.0907924570306272,0.0879294407758084,-0.179124529305344
"NOTCHic",-0.0273233906462747,0.152526120471725,0.197619047619048,0.110713676580322,0.113638583638584,-0.098567977915804,0.0102857142857143,0.18,0.0104633397586921,0.00898550724637681,0.00898550724637681,0.00898550724637681,0.0222222222222222,0.0333333333333333,0.0123076923076923,0.02,0.0125031957290022,0.00927738927738928,0.0333333333333333,0.100267558528428,0.0125740925740926,0.0121659293087865,-0.00142857142857143,0.00833333333333333,0.00756139562743336,0.000641025641025639,0.000641025641025639,0.00110599078341014,0.00110599078341014,0.0914285714285714,0.0613477667585884,0.0111111111111111,-0.00394457000662055,-0.000759856630824377,-0.0168888888888889,-0.0329186602870813,0.00317307416645165,-0.00386683209263854,0.0812399355877617,0.0812399355877617,0.00790339157245632,-0.0107918835072597,-0.00927738927738928,0,-0.02,-0.0123076923076923,0,-0.0111111111111111,-0.00878552971576227,-0.191904761904762,-0.0410064309486275,-0.213333333333333,-0.0306501621272606,-0.0436094998401007,-0.202244897959184
"GLI",0.0099517687489329,0.0947620337292631,0.0668804859965081,0.0768866805708911,0.0766621876179186,-0.062968682968683,-0.0765272509603219,0.0971428571428571,-0.0883634193057056,-0.0846010430680818,-0.0846010430680818,-0.0846010430680818,-0.0497076023391813,-0.0444444444444444,0.00387096774193549,0.02,-0.0911227744357867,0.00504743833017078,-0.114285714285714,-0.0295338786849823,-0.0602417320057516,-0.0631638099278296,-0.0280790278428669,-0.114285714285714,-0.0601117149758454,-0.119548872180451,-0.105263157894737,-0.0014500442086649,0.00521662245800177,-0.0014500442086649,0.0721031489317015,-0.123333333333333,-0.100213785449118,-0.10327260897853,-0.10264367816092,-0.000906409224993299,0.0149425423853817,0.112259042668399,0.0817089093701997,0.0817089093701997,0.0226736224374615,0.0623867627072677,0.0636900078678206,0.0333333333333333,0.05,0.0661290322580645,0.05,0.0476667860126507,0.0461042860126507,-0.0806926406926407,-0.057135712584629,-0.0638095238095238,0.100742829515601,0.0974813331565827,-0.169591825765394
"ZEB2",-0.246725286219525,-0.20378421900161,-0.185514583074523,-0.178992717003303,-0.178562477519865,-0.174388521616324,-0.168938706993739,-0.158333333333333,-0.135524903362162,-0.134025974025974,-0.134025974025974,-0.134025974025974,-0.133333333333333,-0.133333333333333,-0.109090909090909,-0.109090909090909,-0.104880135155364,-0.103962703962704,-0.1,-0.098900293255132,-0.0956627680311891,-0.0953106553551328,-0.0904395604395604,-0.0857142857142857,-0.0834487851266918,-0.0828571428571429,-0.080418118466899,-0.0449230769230769,-0.0443766288356452,-0.0435897435897436,-0.00506165651711415,0.00519480519480519,0.010741427884285,0.0117996289424861,0.0179220779220779,0.0591575091575092,0.0667614165396987,0.0822363002850808,0.0833608475859407,0.0833608475859407,0.0867810238541946,0.0938820839265613,0.0947368421052632,0.1,0.1,0.1,0.1,0.131111111111111,0.132045690550363,0.178197509903792,0.179416755302872,0.184649122807018,0.216170077958769,0.256249255328662,0.277485625485625
"DSH",0.332378917586134,0.274360639360639,0.227378904778286,0.086078431372549,0.230148378191856,-0.10849038644584,0.242353426659249,0.2,0.205610926132123,0.203650141818397,0.203650141818397,0.203650141818397,0.140833333333333,0.153333333333333,-0.190789473684211,-0.175,-0.192049977885891,-0.197932330827068,0.05,0.00591552531082206,-0.191972065926405,-0.192448256402596,0.0100396234932205,0.0409090909090909,-0.120781438167367,0.0361471861471861,0.039372992598799,-0.0684173669467787,-0.0691166676460794,-0.0821428571428571,0.0862857552065163,0.166666666666667,0.1511639650558,0.155693581780538,0.131884057971014,0.0962305986696231,-0.0779014840608548,-0.0448944649914371,0.0842459993578974,0.0842459993578974,-0.00211509519133374,0.194496341887903,0.197932330827068,-0.133333333333333,0.175,0.190789473684211,0.2,-0.134583333333333,-0.138031609195402,-0.214596949891068,-0.0407055309189456,-0.229411764705882,0.152646519049615,0.137837892494309,-0.313541709208784
"TrCP",-0.0979274891774892,0.130500972324177,0.169429624170965,0.0870975908149821,0.088896855236845,-0.0709450949778819,-0.0940685045948204,0.2,-0.0272678482578052,-0.024086030075987,-0.024086030075987,-0.024086030075987,-0.00416666666666667,0.00833333333333333,-0.0611111111111111,-0.05,-0.0517529596348595,-0.0532163742690058,0.019047619047619,-0.00576770438310257,-0.052012903993102,-0.0553462373264353,-0.00703191670933606,0.00238095238095238,-0.0560854478421167,-0.000844854070660522,0.00779712123798145,0.0258974358974359,0.026996336996337,0.0243589743589744,0.0681161651493352,-0.00952380952380953,0.00834387406229257,0.0105296664120193,0.0120448179271709,-4.12541254125404e-05,-0.0083096881390593,0.00120287876201855,0.0857205574111128,0.0857205574111128,0.00122546509643284,0.0536910649126422,0.053003003003003,-0.0333333333333333,0.05,0.0611111111111111,0.05,0.00416666666666667,0.00416666666666667,-0.181429624170965,-0.0508264404054192,-0.169565217391304,0.0913796763743233,0.087253062003696,-0.181030501351087
"LIV1",-0.0979274891774892,0.130500972324177,0.169429624170965,0.0870975908149821,0.088896855236845,-0.0709450949778819,-0.0940685045948204,0.2,-0.0272678482578052,-0.024086030075987,-0.024086030075987,-0.024086030075987,-0.00416666666666667,0.00833333333333333,-0.0611111111111111,-0.05,-0.0517529596348595,-0.0532163742690058,0.019047619047619,-0.00576770438310257,-0.052012903993102,-0.0553462373264353,-0.00703191670933606,0.00238095238095238,-0.0560854478421167,-0.000844854070660522,0.00779712123798145,0.0258974358974359,0.026996336996337,0.0243589743589744,0.0681161651493352,-0.00952380952380953,0.00834387406229257,0.0105296664120193,0.0120448179271709,-4.12541254125404e-05,-0.0083096881390593,0.00120287876201855,0.0857205574111128,0.0857205574111128,0.00122546509643284,0.0536910649126422,0.053003003003003,-0.0333333333333333,0.05,0.0611111111111111,0.05,0.00416666666666667,0.00416666666666667,-0.181429624170965,-0.0508264404054192,-0.169565217391304,0.0913796763743233,0.087253062003696,-0.181030501351087
