"","PAK1","CDC42","TrCP","SUFU","FUS","NOTCHic","NOTCH","Jagged","Csn","KLF4","RKIP","LIV1","AXIN2","Destcompl","RAS","RAF","PI3K","TCFLEF","STAT","MEK","Ecadherin","FOXC2","ZEB2","cfos","ERK","EGR1","Frizzled","DSH","GLI","Wnt","SRC","cateninmemb","CD44","cateninnuc","cMet","SNAI2","DELTA","miR200","SNAI1","TWIST1","Csl","NFB","ZEB1","SMAD","ILK","AKT","IKK","SHH","Patched","SMO","GSK3","HEY1","TGF","TGFR","SOSGRB2"
"Csl",0.299111111111111,0.292659498207885,0.0666666666666667,0.0916666666666667,0.130128205128205,0.100984719864177,0.103711992591449,0.110698533744891,0.0555555555555556,0.0484989648033126,0.122396286965683,0.12,0.126582277993735,0.123304357982193,0.0380327354466388,0.0361945001525211,0.0361945001525211,0.0789359894921509,0.0969230769230769,-0.0439544513457557,0.0264470214031303,0.0253798248999266,-0.050865739628651,0.0419047619047619,0.0504761904761905,0.0133333333333333,-0.0817715617715618,-0.0969230769230769,-0.0780081209113467,-0.0763952176855403,-0.0817715617715618,-0.0873020540885697,-0.0796993482707768,-0.0793362181942664,-0.0784748584748585,-0.132924616573043,-0.0361945001525211,-0.0348999065966084,-0.128124363559146,-0.164381451100791,-0.116774193548387,-0.0666666666666667,-0.190085497459987,-0.0790322028091812,-0.0840322028091812,-0.0573643410852713,-0.0503875968992248,-0.0934730981465916,-0.0969213740086605,-0.106598793363499,-0.131963244431331,0.002952980523313,-0.28616008315524,-0.288200899481771,-0.24378651729101
"SHH",0,0.0333333333333333,0,0,0,0,0.0333333333333333,0.145714285714286,0,0,0.16,0,0.247619047619048,0.220519480519481,0.242307692307692,0.25,0.25,0.08,0.1,0.04,-0.0322222222222222,0.025,-0.05,-0.1,-0.1,0,-0.2,-0.2,-0.2,-0.2,-0.1,-0.076989247311828,-0.1,-0.0688888888888889,-0.1,-0.0301149425287356,-0.25,-0.0666666666666667,-0.133333333333333,-0.125,-0.1,0,-0.2,-0.0666666666666667,-0.0666666666666667,0.05,0.1,-0.28,-0.2,-0.1,-0.241025641025641,-0.0666666666666667,-0.0533333333333333,-0.0333333333333333,-0.05
"miR200",0,-0.00196078431372549,0,0.02,0.0325,0.0032512315270936,0.0072060337869806,0.0296391432909774,-0.02,0.0385093167701863,-0.0142810023277073,0.2,0.184834462143857,0.189152783673577,0.143074957077265,0.142326827401454,0.142326827401454,0.152651148709551,0.18,-0.0386147186147186,0.146714508418089,-0.0256972837460642,-0.0430958781362007,0.0342857142857143,0.0433766233766234,0.0142857142857143,-0.152,-0.18,-0.154987153691379,-0.150591549295775,-0.149565217391304,-0.162662367904443,-0.152651148709551,-0.15204508810349,-0.148156766687079,-0.100158939361926,-0.142326827401454,-0.0650665843548814,0.00985754985754986,-0.103915082872138,-0.0170443349753695,0.0357894736842105,0.0530734767025089,0.00547618387105723,0.00265486725663717,0.0310994467300326,0.0386466165413534,-0.0147986607961842,-0.0169725738396624,-0.0258333333333333,-0.118710156487023,-2.82485875706215e-05,0.00634938146301281,0.00518659076533839,-0.0231431334622824
"cateninnuc",0.0325714285714286,0.0356483516483516,0.233333333333333,-0.0888888888888889,-0.0588888888888889,0.0709024949269332,0.0699934040178423,-0.0333072978810614,0.220833333333333,0.04943197372023,0.138328530857067,-0.0393939393939394,-0.199998758291795,-0.204113176754617,-0.191214586214586,-0.190036135036135,-0.190036135036135,-0.0357381643261762,-0.0317016317016317,0.163692130188977,0.0885537518593379,0.0990214757919676,-0.034420542455852,-0.171048999309869,-0.165985708170628,-0.178985507246377,0.0303317686879331,0.0317016317016317,0.0336914524823995,0.0325056817314113,0.0317016317016317,0.030078737315715,0.0350660209355862,-0.0639028188276488,0.03387554474511,-0.00217444121706299,0.190036135036135,-0.024362891463255,-0.118158461912049,0.0206355462175742,-0.0720652856246077,-0.21780303030303,-0.0544538888096227,-0.0422218895247545,-0.0445411255411255,-0.21580303030303,-0.21580303030303,0.0494824083113882,0.0488288135401464,0.0506921675774135,0.188977174045783,-0.0411581723083247,-0.0342002765592586,-0.0350736390046735,0.0261949817275441
"Patched",0.0333333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0.00606060606060606,0.134603174603175,0,0.0333333333333333,0.145714285714286,0.1,0.238528138528139,0.212827172827173,0.229807692307692,0.242307692307692,0.242307692307692,0.0688888888888889,0.1,0.0323076923076923,-0.0293096008629989,0.005,-0.0333333333333333,-0.1,-0.04,-0.1,-0.2,-0.2,-0.175,-0.2,-0.1,-0.0686559139784946,-0.08,-0.0659762675296656,-0.1,-0.0261149425287356,-0.242307692307692,-0.0738095238095238,-0.123655913978495,-0.106481481481481,0,0.1,-0.2,-0.0866666666666667,-0.0666666666666667,0.0928571428571429,0.05,-0.28,-0.28,-0.2,-0.241025641025641,-0.0743589743589744,-0.0533333333333333,-0.0533333333333333,-0.05
"SMO",0.0333333333333333,0.0533333333333333,0,0.1,0.2,0.00606060606060606,0.00106060606060606,0.134603174603175,-0.1,0.0166666666666667,0.129047619047619,0.1,0.228183310941932,0.208176010036475,0.225156529516995,0.229807692307692,0.229807692307692,0.0659762675296656,0.1,0.0292773892773893,-0.0282025897928882,0.00844827586206896,-0.0248587570621469,-0.04,-0.0323076923076923,-0.1,-0.2,-0.2,-0.163888888888889,-0.175,-0.1,-0.0686559139784946,-0.0688888888888889,-0.0674800269281618,-0.08,-0.0223054187192118,-0.229807692307692,-0.0649487643158529,-0.121274961597542,-0.0947167755991285,-0.0333333333333333,0.05,-0.198305084745763,-0.0723809523809524,-0.0866666666666667,0.0888571428571429,0.0928571428571429,-0.28,-0.28,-0.28,-0.22840428180234,-0.0886446886446886,-0.0479279279279279,-0.0533333333333333,-0.0447368421052632
"Csn",0.134090909090909,0.135583446404342,0.02,0.0142857142857143,0.0253968253968254,-0.0614718614718615,-0.0633949383949384,0.0307014596281806,-0.08,0.0196265172735761,0.110789815735148,0.133333333333333,0.15791450267548,-0.109655803364191,0.0171150844747825,0.0199941631696002,0.0199941631696002,0.119539417677362,0.133333333333333,0.00462391774891775,-0.000574696954449231,0.0799071049133213,-0.0202795698924731,-0.0142424242424242,-0.00774891774891775,-0.0233333333333333,-0.129885057471264,-0.133333333333333,-0.119930830081355,-0.123860961085722,-0.129885057471264,-0.0375003939469876,-0.119860961085722,-0.120200872878805,-0.123860961085722,-0.0343927613852303,-0.0199941631696002,-0.0206729796890202,-0.122580050187903,-0.116619136668225,0.0575757575757576,0.08,-0.0428751033912324,-0.0128610647623305,-0.0151746894409938,0.0833666666666667,0.0841666666666667,-0.0278630529820376,-0.0295023972443327,-0.0284271284271284,0.0620849756638705,-0.0116389811738649,-0.132153423761909,-0.134301395122291,-0.117760867058688
"SNAI2",0.00588235294117647,0.0106442577030812,0.1,-0.1,-0.08,-0.0381578947368421,-0.0381578947368421,-0.0602898068225922,0.133333333333333,0.0225,0.0376794871794872,-0.08,-0.117639471469876,-0.124406677033432,-0.113090043896696,-0.11263342289213,-0.11263342289213,-0.0644639797142643,-0.0709090909090909,0.129279279279279,0.007673357620427,0.0930050006570312,-0.0142739668554647,-0.13921568627451,-0.133333333333333,-0.133333333333333,0.0637662337662338,0.0709090909090909,0.0628925424202972,0.0623577830620084,0.0637662337662338,0.0768429195491803,0.0634330518792127,0.0647745387204754,0.0623577830620084,-0.00912873185462487,0.11263342289213,-0.0120783705082526,-0.0263256501910514,0.0645426262740019,0.0364035087719298,-0.133333333333333,-0.0235118523180197,-0.0180325974988688,-0.0185110663983903,-0.121783686470018,-0.122988505747126,0.0610966640177198,0.0639135654261705,0.0741176470588235,0.118646812125073,-0.00871006630500301,-0.0121200765702044,-0.0114989585577821,0.0658215010141988
"ERK",0.0314285714285714,0.0323631508678238,-0.114285714285714,-0.1,-0.112,-0.110575434298062,-0.109190392746815,-0.106059123553214,-0.0892857142857143,0.014155906264945,-0.15018670714144,-0.1,-0.116765257075538,0.141626410984956,0.066025520134431,0.0661355311355311,0.0661355311355311,-0.0808403595868441,-0.0842105263157895,-0.0130508647768216,-0.0460518966694678,-0.0388937478592651,-0.0138097583569629,0.111658107116654,0.0116581071166544,0.126551724137931,0.08,0.08,0.0766489650700177,0.0779020979020979,0.0842105263157895,0.0883660340791508,0.0808403595868441,0.0811181373646219,0.0821126242178874,0.101043456513871,-0.0661355311355311,-0.00597063958112202,-0.0171514083005561,-0.0117420991978388,0.111305361305361,0.0923160173160173,-0.0357985162184713,0.0826832571078854,0.0845069653145724,0.0902221155351215,0.091139546727782,0.100535304832315,0.100535304832315,0.103803278688525,0.0402172863127121,0.0985761000378498,-0.0339172536992989,-0.033093077875123,0.0982752350130991
"cateninmemb",0.0130909090909091,0.0117575757575758,0.1,0.0333333333333333,0.0333333333333333,0.00667686084940562,0.0063051136375097,0.0377094228005614,0.08,0.0210501640881388,0.0390534559073885,0.0333333333333333,-0.0644639797142643,-0.0772826742968946,-0.0622262106389612,-0.0608295625942685,-0.0608295625942685,0.033402597746627,0.0392156862745098,0.0964437583843284,0.102261977256633,0.0585033019552602,-0.0133666407445992,-0.099144385026738,-0.0960516015215833,-0.110909090909091,-0.036890104879161,-0.0392156862745098,-0.0338326336147932,-0.0351659669481265,-0.036890104879161,-0.113033022152524,-0.0332780647453817,-0.033402597746627,-0.0342814092269871,0.0126206163185668,0.0608295625942685,-0.0103856499387226,-0.0287945737260931,-0.0308251116709875,-0.00564593301435407,-0.0657142857142857,-0.0216579118551886,-0.016859318524757,-0.0171014492753623,-0.0707166907166907,-0.0694179894179894,-0.0423958597917196,-0.044758064516129,-0.0458333333333333,0.0721519052024322,-0.0135885275403633,-0.0113412215036173,-0.0122453806356245,0.03463633354398
"SOSGRB2",0.0142857142857143,0.0242857142857143,0,0,0,0.0118881118881119,0.00766275977543583,0.0195209309418712,0,0.00640350877192983,0.115679824561404,0,0.0976210121012101,-0.0323151494292434,0.00346226278429668,0.00602636534839925,0.00602636534839925,0.0683229813664596,0.1,0.0273897273897274,0.0537678623306738,0.0216605616605617,-0.0121177944862155,-0.0476190476190476,-0.0395109395109395,-0.0142857142857143,-0.0857142857142857,-0.1,-0.0650621118012422,-0.0607142857142857,-0.0857142857142857,-0.0894070824070824,-0.0683229813664596,-0.0669845492440887,-0.0639751552795031,-0.00760175838742345,-0.00602636534839925,-0.00763011175862156,-0.0371115849324805,-0.020231884057971,-0.0272727272727273,-0.0111111111111111,-0.0187844611528822,-0.00983682983682984,-0.0133333333333333,0.000511695906432748,0.00467836257309942,-0.0177980305887283,-0.0247747747747748,-0.0166666666666667,0.0414989031538821,-0.0215909090909091,-0.0197303405814044,-0.0204395604395604,-0.0361111111111111
"RAF",0.0333333333333333,0.0266666666666667,-0.1,-0.1,-0.1,-0.115151515151515,-0.111305361305361,-0.109639016897081,-0.1,0.018077474892396,-0.155882352941176,0,-0.120030473511486,0.140451372186505,0.0632783882783883,0.0607142857142857,0.0607142857142857,-0.0821126242178874,-0.1,-0.111658107116654,-0.0452413226269713,-0.0405246094901267,-0.012077474892396,0.13,0.126551724137931,0.08,0.1,0.1,0.08,0.08,0.1,0.0886698463169051,0.0842105263157895,0.0808403595868441,0.0842105263157895,0.101584484466981,-0.0607142857142857,-0.00838292028287641,-0.0161008384999863,-0.00810754604872252,0.133333333333333,0.114285714285714,-0.0338900047824008,0.0833999542444617,0.0883504492939666,0.0923160173160173,0.0892857142857143,0.103803278688525,0.112,0.1,0.0423167848699764,0.100735578784359,-0.0323631508678238,-0.0314285714285714,0.108825396825397
"DSH",0.0933333333333333,0.0846376811594203,0.133333333333333,0.05,0.0409090909090909,0.0955182072829132,0.0920217037864097,0.010200862938551,0.113333333333333,0.008196676728944,0.0156693306693307,-0.1,-0.145293440736479,0.111628854852098,-0.0304766083806088,-0.0324373926943343,-0.0324373926943343,-0.0938267025178841,-0.1,0.00813799203892083,0.050755063330469,-0.0626620380843147,-0.00869340314661613,-0.00588235294117647,-0.00588235294117647,0,0.105263157894737,0.1,0.0971165659246155,0.101691729323308,0.105263157894737,0.0249114682706046,0.095731464422646,0.0953405048331112,0.101691729323308,-0.00129896500943992,0.0324373926943343,-0.0209912386055679,-0.001432022084196,-0.0124256511115084,-0.0857142857142857,-0.113333333333333,-0.125344904603092,-0.0610767380838694,-0.0576805116687751,-0.124037356321839,-0.132083333333333,-0.0404510885908076,-0.0422915793883536,-0.0551948051948052,-0.0801701954338165,-0.0695868148275763,-0.085427460485785,-0.0836853002070393,-0.0648189209164819
"GSK3",0.0846376811594203,0.0836853002070393,0.113333333333333,0.0409090909090909,0.0551948051948052,0.0920217037864097,0.0938398856045915,0.0126826147633686,0.113333333333333,0.0112501118434478,0.0169224635014109,-0.1,-0.142705921710604,0.111452736500566,-0.0269051798091802,-0.0304766083806088,-0.0304766083806088,-0.0953405048331112,-0.105263157894737,0.0109789011298299,0.0513806807160469,-0.0634594862501839,-0.00765328427588805,-0.00588235294117647,-0.00813799203892083,-0.00588235294117647,0.101691729323308,0.105263157894737,0.0947580753585777,0.0971165659246155,0.101691729323308,0.0254419722493845,0.0938267025178841,0.0959983995699533,0.095731464422646,-0.000694996070699622,0.0304766083806088,-0.0229842046079125,-0.00109979617057473,-0.0140901837619566,-0.0955182072829132,-0.132083333333333,-0.12787090757486,-0.0618263632712757,-0.0610767380838694,-0.123182655467138,-0.124037356321839,-0.0442788397869798,-0.0404510885908076,-0.0422915793883536,-0.181501310242469,-0.0727010016787874,-0.086453101511426,-0.085427460485785,-0.0652840371955517
"Frizzled",0.1,0.0933333333333333,0.1,0.1,0.05,0.0857142857142857,0.0955182072829132,0.00865047534165181,0.133333333333333,0.00140056022408963,0.0135714285714286,-0.1,-0.149090909090909,0.10933877851622,-0.0324373926943343,-0.0300751879699248,-0.0300751879699248,-0.095731464422646,-0.1,0.00588235294117647,0.0503160817676947,-0.0613633367856134,-0.00554379684740353,0,-0.00588235294117647,0,0.1,0.2,0.101691729323308,0.105263157894737,0.1,0.0245581113801453,0.101691729323308,0.0938267025178841,0.105263157894737,-0.000484063961709997,0.0300751879699248,-0.017332702020202,1.72532781228446e-05,-0.00887955182072829,-0.0857142857142857,-0.113333333333333,-0.126919707752698,-0.0576805116687751,-0.0623534088650368,-0.132083333333333,-0.113333333333333,-0.0422915793883536,-0.0551948051948052,-0.0409090909090909,-0.0752978056426332,-0.0748499727223132,-0.0836853002070393,-0.0846376811594203,-0.0696969696969697
"Wnt",0.1,0.1,0.1,0,0.1,0.0857142857142857,0.0857142857142857,0.0137009803921569,0.1,0.0156862745098039,0.01,0,-0.149090909090909,0.105890502654151,-0.0300751879699248,-0.0300751879699248,-0.0300751879699248,-0.101691729323308,-0.1,0.00588235294117647,0.0528801843317972,-0.0683400809716599,0.0013868962219034,0,0,-0.1,0.2,0.2,0.105263157894737,0.1,0.1,0.0274152542372881,0.105263157894737,0.095731464422646,0.1,0.00172413793103448,0.0300751879699248,-0.022020202020202,0.00160455486542443,-0.00411764705882353,-0.1,-0.133333333333333,-0.129890004782401,-0.0623534088650368,-0.0786324786324786,-0.113333333333333,-0.113333333333333,-0.0551948051948052,-0.0409090909090909,-0.05,-0.077115987460815,-0.0897435897435898,-0.0846376811594203,-0.0933333333333333,-0.0727272727272727
"NFB",-0.1,-0.104545454545455,0.1,0.12,0.12,0.156854256854257,0.157499418144579,0.0880822764468837,0.0571428571428571,-0.00769230769230769,-0.00392321703797114,0.1,0.108819655521783,0.197021532349778,0.0231651486693726,0.0246576859828055,0.0246576859828055,0.0792558729739592,0.0888888888888889,-0.00956302521008403,0.0857325296222932,0.0668116566921348,0.00411373260738052,0.00485714285714285,0.0115238095238095,-0.00714285714285715,-0.0811965811965812,-0.0888888888888889,-0.0765811965811966,-0.0765811965811966,-0.0811965811965812,-0.115982368907985,-0.077146168332609,-0.0794911670916063,-0.0765811965811966,0.00280864500828731,-0.0246576859828055,0.00437571360729117,0.0126815930224902,0.0161998132586368,-0.158441558441558,-0.14047619047619,0.00964629965718895,-0.102321681982325,-0.104180418041804,-0.147623337623338,-0.143178893178893,-0.114231331456093,-0.120255427841635,-0.123703703703704,-0.115186382245206,-0.112743255196816,0.106945454545455,0.106945454545455,0.0762759840778417
"IKK",-0.1,-0.1,0,0.1,0.12,0.158441558441558,0.156854256854257,0.0902405498281787,0.1,-0.00769230769230769,-0.00264116575591985,0.1,0.110238095238095,0.195858741652104,0.0246576859828055,0.0316999395039322,0.0316999395039322,0.077146168332609,0.1,-0.0115238095238095,0.0857325296222932,0.0648196248196248,0.00526315789473684,-0.00714285714285715,0.00485714285714285,-0.05,-0.0888888888888889,-0.1,-0.0765811965811966,-0.0811965811965812,-0.0888888888888889,-0.115243192561628,-0.0765811965811966,-0.0792558729739592,-0.0811965811965812,0.00321514907332796,-0.0316999395039322,0.00588628762541806,0.0140514560361889,0.0158823529411765,-0.172727272727273,-0.0571428571428571,0.00926315789473684,-0.104180418041804,-0.111111111111111,-0.143178893178893,-0.14047619047619,-0.120255427841635,-0.123703703703704,-0.12,-0.115970695970696,-0.121671826625387,0.106945454545455,0.104545454545455,0.0689075630252101
"AKT",-0.00588235294117647,-0.0138823529411765,0.0333333333333333,0.05,0.05,0.110918114143921,0.106040065363433,0.0196578366445916,0.0333333333333333,-0.00563990103463787,0.00128369073381861,-0.1,-0.133663400378202,0.141875022757036,-0.0442660190664812,-0.0449889106327463,-0.0449889106327463,-0.0867125233424453,-0.0888888888888889,0.0152500344400055,0.0856468890359511,0.0200363102879149,0.00587467299653338,-0.0201680672268908,-0.0152500344400055,-0.0142857142857143,0.0932367149758454,0.0888888888888889,0.0889049573479984,0.0916982534373839,0.0932367149758454,0.0015118933458582,0.0877434511774969,0.0879432925732146,0.0916982534373839,0.0126375706562475,0.0449889106327463,-0.0161805971834901,0.0135878948579177,0.088990576580734,-0.107692307692308,-0.0392156862745098,-0.133867678173676,-0.0706583142347848,-0.0676280112044818,-0.137817084875908,-0.0469079939668175,-0.0532208726945569,-0.0542735042735043,-0.0653846153846154,-0.00431368213626278,-0.0779414483135495,0.0137890166603816,0.0146953610712578,-0.0274786324786325
