"","KLF4","PAK1","SOSGRB2","CDC42","TGFR","SNAI2","MEK","TWIST1","ERK","DSH","Csl","TrCP","SUFU","FUS","NOTCHic","cateninnuc","cateninmemb","Patched","GSK3","Ecadherin","NFB","HEY1","IKK","AKT","ILK","SMAD","Csn","SHH","GLI","TCFLEF","RKIP","Wnt","CD44","cMet","Frizzled","NOTCH","Jagged","SMO","SRC","Destcompl","RAS","SNAI1","RAF","PI3K","DELTA","AXIN2","cfos","STAT","EGR1","LIV1","FOXC2","TGF","ZEB2","ZEB1","miR200"
"AXIN2",0.17545382667975,0.16625,0.136844744783034,0.167484567901235,0.156865098874686,0.16098421981667,0.00589264519780228,0.0902487435685543,0.0045133348529747,0.106666666666667,-0.0185964912280702,-0.133333333333333,0.1,0.0923076923076923,-0.0275250626566416,0.0823176421981292,0.057658239433265,0.0821886446886447,-0.0927517064679536,0.0819321178998556,0.135265700483092,0.0248690156398067,0.139613526570048,0.135169082125604,0.0265930526800092,0.02738670347366,0.122222222222222,-0.0772706119017594,-0.0817669072440524,-0.0814961981860237,-0.10069094883611,-0.0817669072440524,-0.0820823646573016,-0.0817669072440524,-0.0903875968992248,0.0282007383323173,-0.0800589070154288,-0.0875457875457875,-0.0903875968992248,0.101107181999628,-0.12627937502505,-0.0990466446631409,-0.12627937502505,-0.12627937502505,-0.12627937502505,0.316513193561726,-0.00731707317073171,-0.106666666666667,0,-0.1,-0.145953710614132,-0.153234735838382,-0.173394399490596,-0.173394399490596,-0.190392532511374
"RAS",0.144285714285714,0.1,0.147619047619048,0.12,0.131764705882353,0.236025226184757,0.107063983488132,0.0357228587015821,0.120789473684211,-0.1,0,0,-0.1,-0.1,-0.00526315789473684,-0.116020742314906,-0.0968225338422286,-0.112666666666667,0.0230878552971576,0.0594715954014456,-0.0333333333333333,0.100197628458498,-0.0133333333333333,-0.00777777777777777,0.109090909090909,0.11317254174397,0,0.124531073446328,0.123774509803922,0.114037739482045,0.012314465408805,0.102941176470588,0.126345431789737,0.102941176470588,0.05,0.0260178748758689,0.163094815690913,0.116666666666667,0.05,-0.00973732427220799,-0.0291025641025641,-0.107512291052114,0.0766666666666667,0.0766666666666667,0.0766666666666667,0.143899868247694,-0.105,0.1,-0.08,0,-0.113809523809524,-0.101071636575422,-0.14119293078056,-0.14119293078056,-0.155292307692308
"Destcompl",0.126473944196052,0.115102040816327,0.0829533085994183,0.0978606615059817,0.0983869772954554,0.110013024082984,-0.000286869525300731,-0.0108857727652708,0.00140089418777944,-0.0174603174603175,-0.0371876224050137,-0.0666666666666667,0.0555555555555556,0.0521072796934866,-0.0328397963180572,-0.0131251063045117,-0.0365428743286476,0.0417297815439677,-0.00805976872946667,0.0668048605608428,0.0952380952380952,0.0229502121809814,0.0853281853281853,0.0906973128449639,0.0251587301587302,0.0215329991645781,0.0952380952380952,-0.0438574411184358,0.017547055236695,0.0155728370541292,0.0031768826942479,0.0166194114519084,0.0172166726705676,0.016097269685493,0.0215699065014133,0.0338418003260732,0.0189936797829931,-0.0463929939792009,0.0215699065014133,-0.0883700432578974,-0.0690669533199806,0.00100256124227266,-0.0704798261614249,-0.0704798261614249,-0.0704798261614249,-0.0814961981860237,0.00242424242424242,0.0174603174603175,-0.00666666666666667,-0.0111111111111111,-0.0942297462751626,-0.0990766324678692,-0.120256633334802,-0.120256633334802,-0.145823222431211
"ZEB1",0.035117203719651,0.307471264367816,0.280389863547758,0.291529235382309,0.275793194773172,0.254831721085305,0.131394834585817,0.22404898616492,0.126549019607843,0.204761904761905,0.108333333333333,0.0666666666666667,0.133333333333333,0.133333333333333,0.0985294117647059,0.167927319213766,0.172917118098,0.104010695187166,0.00946080652852509,-0.0149900606200547,-0.0203508771929825,-0.0366304938584731,-0.0252689099798677,-0.0281260528370106,-0.0490448404980219,-0.0514486866518681,-0.0466666666666667,-0.0972491293508668,-0.159659134344827,-0.164209119605156,-0.088545303825768,-0.163439203073349,-0.16527294939239,-0.168745171614612,-0.173054587688734,-0.0960500729217307,-0.119431601732736,-0.11969696969697,-0.17854909318324,-0.100999701935218,-0.140373775999721,-0.103586755408547,-0.142106059464287,-0.142106059464287,-0.142106059464287,-0.214912785888187,-0.120666666666667,-0.21025641025641,-0.116666666666667,-0.233333333333333,-0.250856234452877,-0.269887682962148,-0.0246710694426542,-0.0246710694426542,0.0182906814520033
"cateninnuc",0.0364715454573106,0.072,0.15834345542197,0.0643076923076923,0.063158267020336,0.222336902709834,-0.0226755640766032,0.0533537928443918,-0.0157948301316491,0.00582750582750584,-0.0168236032642812,-0.0333333333333333,0.0666666666666667,0.0466666666666667,-0.0191491846596301,-0.080261558552251,-0.0218999067419229,0.0358123748430235,0.0106592731058367,0.174270579865454,0.0181818181818182,0.0252955341714862,0.0241818181818182,0.0249630681818182,0.0260663780663781,0.0248385472341816,0.0333333333333333,-0.0399518083942217,-0.0140155506593863,-0.019545124684424,-0.0713266220958529,-0.0104582384064219,-0.0154375817419296,-0.011866153170501,-0.00719736884120447,0.0182400937505392,-0.0221695312679317,-0.0351912568306011,-0.00860528360528361,-0.00574954027561873,-0.0037055787055787,-0.0689820430274014,-0.00202207702207702,-0.00202207702207702,-0.00202207702207702,-0.178686992408208,0.0107315389924086,-0.00582750582750584,0.0123188405797101,-0.0212121212121212,-0.0783321869387443,-0.0622849045749211,-0.0192051919578917,-0.0192051919578917,-0.0124500849409605
"KLF4",0.037037037037037,0.140909090909091,0.1852487135506,0.128909090909091,0.108909090909091,0.203157534526786,-0.0317558851094327,0.1340174291939,-0.0286631016042781,0.133333333333333,0.0709090909090909,-0.1,0.2,0.166666666666667,0.0551196172248804,0.0978831099463617,0.0850034168631729,0.114583333333333,0.0842981756829354,0.133240807889565,0.08,0.0469213139801375,0.0847619047619048,0.0773544973544974,0.04,0.0414492753623188,0.1,-0.107056451612903,-0.0893666367910436,-0.0952679169202098,-0.0196351267779839,-0.0876424988600091,-0.090251194512183,-0.0876424988600091,-0.103921568627451,-0.0520268337197258,-0.0909236290945436,-0.133333333333333,-0.103921568627451,-0.0807101313940785,-0.0641892911010558,-0.0147673221398438,-0.0605128205128205,-0.0605128205128205,-0.0605128205128205,-0.165794316239568,0.0345454545454546,-0.133333333333333,0.08,-0.166666666666667,-0.10218682081961,-0.0986651884700665,-0.0173684210526316,-0.0173684210526316,-0.015966625966626
"FOXC2",0.037037037037037,0.140909090909091,0.1852487135506,0.128909090909091,0.108909090909091,0.203157534526786,-0.0317558851094327,0.1340174291939,-0.0286631016042781,0.133333333333333,0.0709090909090909,-0.1,0.2,0.166666666666667,0.0551196172248804,0.0978831099463617,0.0850034168631729,0.114583333333333,0.0842981756829354,0.133240807889565,0.08,0.0469213139801375,0.0847619047619048,0.0773544973544974,0.04,0.0414492753623188,0.1,-0.107056451612903,-0.0893666367910436,-0.0952679169202098,-0.0196351267779839,-0.0876424988600091,-0.090251194512183,-0.0876424988600091,-0.103921568627451,-0.0520268337197258,-0.0909236290945436,-0.133333333333333,-0.103921568627451,-0.0807101313940785,-0.0641892911010558,-0.0147673221398438,-0.0605128205128205,-0.0605128205128205,-0.0605128205128205,-0.165794316239568,0.0345454545454546,-0.133333333333333,0.08,-0.166666666666667,-0.10218682081961,-0.0986651884700665,-0.0173684210526316,-0.0173684210526316,-0.015966625966626
"cateninmemb",0.0160806375996249,0.0369090909090909,0.0775533387499624,0.0222424242424242,0.0246814486326681,0.0766625791268189,-0.0456655089402209,-0.0238874161706893,-0.0437047246264954,-0.0509803921568627,0.000382775119617226,0,-0.0333333333333333,-0.05,0.00759926996497805,-0.0378644787323492,-0.123259998179074,-0.0510752688172043,0.013164327323455,0.108099000783434,0.0247619047619048,0.0182287826662086,0.0136507936507937,0.0201443001443001,0.0173333333333333,0.0137013720742534,0.02,0.0479256625179917,0.0404249257040426,0.0394517803196508,-0.0118255473793194,0.041758259037376,0.0398253793233868,0.0408287238049922,0.0486548107615139,-0.00722752275308214,0.0432469889457185,0.05,0.0486548107615139,-0.0122346376784335,-0.0123926497973491,-0.00688986295717527,-0.0140686274509804,-0.0140686274509804,-0.0140686274509804,-0.0574795010654063,0.0426737967914439,0.0509803921568627,0.0309090909090909,0.0333333333333333,-0.0521390376936288,-0.0277555896814927,-0.00765534899417487,-0.00765534899417487,-0.0061914084260453
"Ecadherin",-0.0332395686826067,-0.128909090909091,-0.172090818813758,-0.108909090909091,-0.0986651884700665,-0.204181014358213,0.0352852968741386,-0.136438285804701,0.0317558851094327,-0.103921568627451,-0.0551196172248804,0.1,-0.166666666666667,-0.133333333333333,-0.0520268337197258,-0.100590859712935,-0.088080339940096,-0.107056451612903,-0.0842981756829354,-0.233825033790246,-0.0847619047619048,-0.0475924549197348,-0.0773544973544974,-0.0773544973544974,-0.0414492753623188,-0.0383015756044496,-0.08,0.107056451612903,0.0940333034577103,0.0978831099463617,0.017762467601954,0.0893666367910436,0.0952679169202098,0.090251194512183,0.0876424988600091,0.0531420753554135,0.0938984574698297,0.114583333333333,0.0876424988600091,0.0804305414593161,0.0641892911010558,0.011919220874021,0.0641892911010558,0.0641892911010558,0.0641892911010558,0.16682524407462,-0.0286631016042781,0.103921568627451,-0.0345454545454546,0.133333333333333,0.101957987867665,0.098846020296468,0.0149987528061861,0.0149987528061861,0.01391820883441
"HEY1",-0.037037037037037,-0.140909090909091,-0.1852487135506,-0.128909090909091,-0.108909090909091,-0.203157534526786,0.0317558851094327,-0.1340174291939,0.0286631016042781,-0.133333333333333,-0.0709090909090909,0.1,-0.2,-0.166666666666667,-0.0551196172248804,-0.0978831099463617,-0.0850034168631729,-0.114583333333333,-0.0842981756829354,-0.133240807889565,-0.08,-0.0469213139801375,-0.0847619047619048,-0.0773544973544974,-0.04,-0.0414492753623188,-0.1,0.107056451612903,0.0893666367910436,0.0952679169202098,0.0196351267779839,0.0876424988600091,0.090251194512183,0.0876424988600091,0.103921568627451,0.0520268337197258,0.0909236290945436,0.133333333333333,0.103921568627451,0.0807101313940785,0.0641892911010558,0.0147673221398438,0.0605128205128205,0.0605128205128205,0.0605128205128205,0.165794316239568,-0.0345454545454546,0.133333333333333,-0.08,0.166666666666667,0.10218682081961,0.0986651884700665,0.0173684210526316,0.0173684210526316,0.015966625966626
"SNAI2",-0.0403846153846154,-0.184313725490196,-0.238066260987153,-0.184313725490196,-0.171493212669683,0.109157762913842,0.0541600423953365,-0.182434625921456,0.0568627450980392,-0.210909090909091,-0.128070175438597,0.1,-0.2,-0.22,-0.115789473684211,-0.168843877614993,-0.17845970130135,-0.183985594237695,-0.131117008177124,0.0840538723646712,-0.133333333333333,-0.0633212778782399,-0.136781609195402,-0.133167151364077,-0.0518443997317237,-0.0542367442293313,-0.133333333333333,0.172717988603892,0.165288307384413,0.16682524407462,0.0181410256410256,0.17117066032559,0.165794316239568,0.17117066032559,0.18948051948052,0.109295967190704,0.164930009037804,0.202352941176471,0.18948051948052,0.128215406111124,0.116606872069345,0.0120258236467862,0.115693630060213,0.115693630060213,0.115693630060213,0.237294541347961,-0.0705882352941176,0.210909090909091,-0.1,0.22,0.150616766954172,0.160313088446081,0.0190830711139081,0.0190830711139081,0.0189824404641025
"cMet",-0.180952380952381,-0.0466666666666667,-0.245714285714286,-0.0716666666666667,-0.0772222222222222,-0.263055225390992,-0.179545454545455,-0.0114022307280734,-0.185,-0.1,0.0857142857142857,0.1,0.1,0.1,0.0909774436090226,-0.0795976471301658,-0.0619782826900265,0.0909090909090909,-0.104147465437788,0.0181540132207232,-0.1,-0.0999656002751978,-0.12,-0.12,-0.104988662131519,-0.110443207586065,-0.1,-0.100284090909091,0.0809090909090909,0.0829874776386404,-0.0411111111111111,0.09,0.0783720930232558,0.09,0.15,-0.110126379779235,-0.101754332623898,-0.1,0.25,-0.0660129162230002,0.00756513926325247,0.0325840924859658,0.0019047619047619,0.0019047619047619,0.0019047619047619,0.112539682539683,0.195,0.2,0.175,0.1,0.0476793248945148,0.0516903073286052,0.0759018759018759,0.0759018759018759,0.094915321695213
"CD44",-0.180952380952381,-0.0666666666666667,-0.219047619047619,-0.0466666666666667,-0.0716666666666667,-0.267434787434787,-0.185,-0.0192673992673993,-0.195,0,0.1,0,0.1,0.1,0.0857142857142857,-0.0829874776386404,-0.0594871794871795,0.1,-0.0928571428571429,0.0123015959179242,-0.1,-0.105847953216374,-0.1,-0.12,-0.111111111111111,-0.104988662131519,-0.1,-0.0909090909090909,0.09,0.0783720930232558,-0.0337037037037037,0.15,0.09,0.25,0.1,-0.0909774436090226,-0.0995804195804196,-0.1,0.2,-0.0680399432500273,0.0019047619047619,0.0241095162147794,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.13,0.175,0.1,0.2,0.1,0.0666666666666667,0.0772222222222222,0.080952380952381,0.080952380952381,0.096477821695213
"RAF",-0.196508847441416,-0.0333333333333333,-0.0455238095238095,-0.04,-0.0733333333333333,0.234943754735676,0.03995597945708,0.0136244800950683,0.016551724137931,0,-0.111111111111111,-0.1,-0.1,-0.1,-0.12020202020202,-0.0545507458926503,-0.1248244883539,-0.092,0.0210795902285264,0.0918055182380629,0.114285714285714,0.0596980255516841,0.0892857142857143,0.055952380952381,0.0665275994865212,0.0635573024568182,0.1,0.0903606557377049,0.0530769230769231,0.0593853514906146,0.0450980392156863,0.08,0.0572874493927126,0.0842105263157895,0.1,0.0932789432789433,0.100953997897971,0.08,0.1,0.0323029560256158,-0.0431485181485182,-0.0922169721137301,-0.0405844155844156,-0.0405844155844156,-0.0405844155844156,0.0721870604781997,-0.02,0,-0.07,0,0.0483053345122311,0.0574454828660436,0.192508847441416,0.192508847441416,0.211767597621042
"TCFLEF",-0.19755538579068,-0.128205128205128,-0.218396437893444,-0.107274895646989,-0.0951253629367083,-0.130297067866529,-0.0830429732868757,-0.0441491369829642,-0.0878048780487805,0.0627450980392157,0.0611669057867049,0.114285714285714,-0.0166666666666667,0.0166666666666667,0.0631276901004304,0.146390497375714,0.189203583607324,0.0293394777265745,-0.0998390200081632,-0.145409641389301,-0.125194805194805,-0.0641160909696451,-0.121968998743192,-0.115447259612758,-0.0768411938938255,-0.0724434883488924,-0.105194805194805,-0.0250449991989671,-0.0549609498202849,-0.147249603904924,0.0235454837672774,-0.0667621920563097,-0.0510296726334462,-0.0623504273504273,-0.0727450980392157,-0.0568153977416264,-0.00773191987805826,-0.0309523809523809,-0.0683333333333333,0.061644247999289,0.0562558445052954,-0.055041025919687,0.0540219417457685,0.0540219417457685,0.0540219417457685,0.292612454212454,0.102090592334495,-0.0583333333333333,0.114285714285714,-0.0333333333333333,0.109347053186119,0.0974432437314103,0.196391281233387,0.196391281233387,0.202853231106243
"ERK",-0.20111441059691,-0.0733333333333333,-0.0384687933425797,-0.0574454828660436,-0.0494162857857516,0.243209240179918,-0.0747886816385561,0.0117965345778024,-0.0667106872095867,-0.08,-0.0932789432789433,-0.114285714285714,-0.08,-0.092,-0.092549016271644,-0.0549550209855871,-0.124041397726306,-0.0792495446265938,0.019399188003165,0.0988091706047853,0.055952380952381,0.0502596141337505,0.0712464985994398,0.0712464985994398,0.0580222471062647,0.0622775662552009,0.0892857142857143,0.0763509939019561,0.0504129204129204,0.0512050209855871,0.0534729109353755,0.0551748251748252,0.0545507458926503,0.0593853514906146,0.0530769230769231,0.0933800412023919,0.0958335159702599,0.0903606557377049,0.0572874493927126,0.0254305592955351,-0.0456567689736007,-0.102259707156465,-0.0409262959262959,-0.0409262959262959,-0.0409262959262959,0.0641932129721571,-0.03995597945708,0.0842105263157895,-0.016551724137931,0.1,0.0455564317633283,0.0505151868846527,0.197755691585898,0.197755691585898,0.216140662636522
"MEK",-0.192587278813965,-0.04,-0.0588571428571429,-0.0733333333333333,-0.0574454828660436,0.240053243786771,-0.0667106872095867,0.00666477313536137,0.03995597945708,-0.1,-0.12020202020202,-0.1,-0.1,-0.08,-0.0932789432789433,-0.0512050209855871,-0.122385463963656,-0.0903606557377049,0.0114972806462168,0.0983628952872432,0.0892857142857143,0.0560616619153205,0.055952380952381,0.0712464985994398,0.0635573024568182,0.0580222471062647,0.114285714285714,0.0792495446265938,0.0551748251748252,0.0545507458926503,0.0543085655314757,0.0530769230769231,0.0593853514906146,0.0572874493927126,0.08,0.092549016271644,0.100953997897971,0.092,0.0842105263157895,0.0264452154398418,-0.0409262959262959,-0.0967041516009096,-0.0431485181485182,-0.0431485181485182,-0.0431485181485182,0.0685834568745961,-0.016551724137931,0.1,-0.02,0,0.0447017309086275,0.0494162857857516,0.198858053790622,0.198858053790622,0.213934780283581
"SOSGRB2",-0.202456140350877,-0.135714285714286,-0.144166666666667,-0.135714285714286,-0.166483516483517,0.126905864781819,-0.0261456261456261,-0.116463768115942,-0.0382668382668383,0,-0.109090909090909,-0.2,0,0,-0.116783216783217,-0.0289632719257617,-0.111852852852853,0.013963963963964,0.1309756536124,0.0940042085334506,0.111111111111111,-0.0335227272727273,0.0953216374269006,0.0661549707602339,-0.0301075268817204,-0.0308068275810211,0.1,-0.013963963963964,0.0297619047619048,0.0295368856924921,0.0774122807017544,0.0630952380952381,0.0337474120082816,0.0670807453416149,0.0714285714285714,0.0956564562198365,-0.00781743779176657,-0.0166666666666667,0.0714285714285714,0.0906757299374749,0.00782268578878749,0.0640255863539445,0.0180790960451977,0.0180790960451977,0.0180790960451977,0.0492436743674367,0.0301587301587302,0,0.019047619047619,0,0.150757020757021,0.157263658327488,0.201027568922306,0.201027568922306,0.219914257423245
"TWIST1",-0.229570564936419,-0.107272727272727,-0.0691544915801209,-0.110721003134796,-0.104471003134796,0.0811454727244571,0.0136867151655908,-0.20406627983001,0.0151792524790237,-0.219047619047619,-0.156296296296296,-0.1,-0.3,-0.333333333333333,-0.146039886039886,-0.174706955947071,-0.185297184176926,-0.292785388127854,-0.130633370486794,0.0720598646891627,0.0576923076923077,0.0612156205376544,0.0529304029304029,0.0478456571676911,0.0761807261807262,0.0732104291510232,0.05,0.280470117191893,0.171180952380952,0.173154339500837,0.162187629578934,0.182380952380952,0.172388642716764,0.18323201621074,0.202380952380952,0.134719131322905,0.178447659720052,0.313333333333333,0.202380952380952,0.144417460349565,0.0371881369035069,0.151939430744317,0.0371881369035069,0.0371881369035069,0.0371881369035069,0.248683789328951,-0.036231884057971,0.219047619047619,-0.0666666666666667,0.233333333333333,0.0906657670911234,0.0910313675994887,0.217139946964508,0.217139946964508,0.23242147922999
