"","HEY1","ILK","SMAD","SHH","Patched","Jagged","Csn","NFB","FUS","MEK","Csl","EGR1","CDC42","TGFR","TGF","LIV1","STAT","AXIN2","SRC","Destcompl","Frizzled","CD44","Wnt","SOSGRB2","Ecadherin","GLI","cateninmemb","cateninnuc","TCFLEF","cMet","SNAI2","RAS","RAF","PI3K","DELTA","DSH","GSK3","ZEB2","PAK1","TrCP","TWIST1","KLF4","ERK","cfos","NOTCHic","NOTCH","SUFU","AKT","SMO","IKK","SNAI1","RKIP","FOXC2","miR200","ZEB1"
"STAT",0.135333333333333,0.130193236714976,0.124446110278194,0.139036495849626,0.123992248062016,0.136585235149524,0.05,0.03,0.075,0.243795066413662,0.0725490196078431,0.2,-0.0477272727272727,-0.0529904306220096,-0.0515411552596907,0,-0.142857142857143,-0.217135413606002,-0.167857142857143,-0.26442728951244,-0.167857142857143,-0.163583638583639,-0.167857142857143,0.0683497536945813,0.134717199966125,-0.163655462184874,0.213527779479796,0.154287608684743,0.158220862558402,0.167857142857143,-0.236765347733544,0.0566723609002136,0.0656275847808106,0.0656275847808106,0.0656275847808106,0.142857142857143,-0.267078326657766,-0.0462524654832347,0.0227272727272727,0,-0.274217977591291,0.0572291542879778,-0.234117647058824,-0.24,-0.0968733439321675,-0.0959024701457597,-0.1,-0.0521146085552865,-0.121666666666667,-0.0538095238095238,-0.20659305328687,-0.233632561132561,-0.319308793456033,-0.28418201893166,-0.333109198493814
"FOXC2",0.0301145912910619,0.0533333333333333,0.0446376811594203,-0.188239247311828,-0.197916666666667,-0.178177274998864,0.1,0.08,-0.233333333333333,-0.0957483874524505,-0.129090909090909,-0.12,0.147090909090909,0.137757575757576,0.125562453806356,0.233333333333333,0.233333333333333,0.258467638676635,0.215686274509804,0.370172434971987,0.215686274509804,0.176495172386447,0.194756041951664,-0.0344625500285878,-0.197534594603378,0.17751466264132,-0.282356169124462,-0.15993269971915,-0.164789486767718,-0.194756041951664,0.285069509534163,0.0290309200603318,0.0135897435897436,0.0135897435897436,0.0135897435897436,-0.233333333333333,0.366924464614164,-0.0435552115583075,-0.159090909090909,-0.1,0.226893246187364,-0.0111111111111111,0.105026737967914,0.110909090909091,0.129090909090909,0.130121836925961,0.2,-0.0471957671957672,0.216666666666667,-0.0657142857142857,0.114276138962223,0.107699443413729,0.201166789899397,0.0561660561660562,0.0802167182662539
"SRC",0.0283763654419067,0.0469298245614035,0.0532361308677098,0.0740087145969499,0.0651851851851852,0.0895312867560574,-0.15,-0.0833333333333333,0.0666666666666667,0.233466742900705,-0.07,0.233333333333333,-0.111111111111111,-0.13015873015873,-0.142886002886003,0,0,-0.225141314973012,-0.15,-0.122758799171843,-0.15,-0.178360655737705,-0.18,-0.1,0.138879198143904,-0.178360655737705,0.219755276156264,0.171671072063345,0.175921631347461,0.18,-0.126436774324967,0.16473015511814,0.182911973299958,0.182911973299958,0.182911973299958,0.1,-0.111948051948052,-0.0418688230008985,0.111111111111111,0.1,-0.198901098901099,0.0596899224806202,-0.235353535353535,-0.224242424242424,0.0652380952380952,0.050952380952381,0.0333333333333333,0.100854700854701,-0.0466666666666667,0.106410256410256,-0.0490384695461149,-0.150309547083741,-0.16359943977591,-0.164625969843361,-0.214188379754418
"SUFU",0.151615731919556,0.154971838197645,0.151045741199954,-0.068017628017628,-0.0753535353535354,0.0212226979781282,0.114285714285714,0.0942857142857143,-0.106666666666667,0.172657393963337,0.00909090909090909,0.143076923076923,0.21981981981982,0.207053862373011,0.200939463950921,0.1,0.0666666666666667,0.175343082131491,0.0388888888888889,0.299789312191639,0.147222222222222,0.0160551054010431,0.133760683760684,0.0950864924549135,0.0619875877776636,0.125210497887078,-0.0257803482947956,-0.0145109877539842,-0.0141529314879996,-0.0243257820927724,0.172526587833617,0.138135505858921,0.136869683074111,0.136869683074111,0.136869683074111,-0.175,0.290496878868205,-0.0389575198709612,-0.233333333333333,-0.1,-0.0376756786568222,-0.0223018443986344,-0.166274415239932,-0.158228438228438,-0.0159090909090909,-0.0151154401154401,0.106666666666667,-0.0751840106202522,0.0844444444444445,-0.0865934065934066,-0.0860281092511473,-0.115682726698927,-0.108460480155639,-0.162151254451326,-0.224340991872786
"GLI",0.157856579376104,0.155991250389512,0.163018277416539,0.0529083953269417,0.0516738274257071,0.142945407453427,0.05,0.0657894736842105,0.0154761904761905,0.36431656741049,0.0697789566755084,0.354285714285714,0.137988505747126,0.134843851659076,0.135549734012017,0.05,0.01,0.00955314009661836,0.000322580645161288,0.0382914086783508,0.130322580645161,-0.0137438617434005,0.119734345351044,-0.012481707083477,0.0616896226941801,0.0142024304574266,0.0329644264415638,0.0139068786428191,0.0150425630421018,0.00943351691581432,-0.173226725636889,0.128770211417474,0.135304864882821,0.135304864882821,0.135304864882821,-0.14,0.0228365809824594,-0.0373518518518519,-0.148333333333333,-0.0833333333333333,-0.194962634045826,-0.0405568425568426,-0.365974025974026,-0.354285714285714,-0.0747789566755084,-0.0881122900088417,0.00952380952380953,-0.0834552900107411,-0.031265664160401,-0.0678302900107411,-0.218983501056253,-0.251657703435261,-0.318405250257998,-0.301429818891119,-0.347163253114866
"SMO",0.149450549450549,0.153333333333333,0.151746031746032,-0.0844444444444445,-0.106666666666667,0.00637566137566137,0.1,0.1,-0.266666666666667,0.158228438228438,0,0.1,0.233333333333333,0.233333333333333,0.21981981981982,0.1,0.1,0.205299298402747,0.1,0.313215002052211,0.2,0.0388888888888889,0.175,0.0947368421052632,0.0608606603056322,0.147222222222222,-0.0329910916240387,-0.0160551054010431,-0.0243257820927724,-0.0666666666666667,0.188194854953476,0.132066189624329,0.113461538461538,0.113461538461538,0.113461538461538,-0.2,0.301116682670081,-0.0334745762711864,-0.233333333333333,0,-0.0302832244008715,-0.0111111111111111,-0.143076923076923,-0.12,-0.00909090909090909,-0.00909090909090909,0.3,-0.0942857142857143,0.106666666666667,-0.114285714285714,-0.08963133640553,-0.12,-0.106896551724138,-0.163019891500904,-0.230084745762712
"SMAD",0.235066860631531,0.231876616534151,0.136638521296056,0.254481088639542,0.255596330275229,0.216317413769027,0.166666666666667,0.19047619047619,0.225,0.23917648368136,0.192380952380952,0.228571428571429,0.011569416498994,0.0154800310241336,0.0174720628966436,-0.06,-0.0885714285714286,-0.10028067734766,-0.0941269841269841,-0.173189547270048,-0.100793650793651,-0.0942695866225278,-0.102716727716728,0.00636645962732919,0.160750384236701,-0.101997303256296,0.133587311043546,0.0886520539487868,0.0916915676265984,0.0960877684407096,-0.22165064202436,-0.103426086802954,-0.0925708236450595,-0.0925708236450595,-0.0925708236450595,0.0952380952380952,-0.263689400268348,-0.0306471344851028,-0.0214285714285714,-0.2,-0.190225391848016,-0.0333591711312862,-0.241099560604437,-0.231797235023041,-0.195829228243021,-0.207733990147783,-0.175,-0.211103641456583,-0.24,-0.192436974789916,-0.233610830477766,-0.246178031465207,-0.313317587816398,-0.301181955344253,-0.347824699601504
"Csn",-0.0418023255813953,-0.0365191511387164,-0.0388327758173796,0.00444243752017417,0.010180142438207,0.0275926513380251,-0.145,-0.161666666666667,0.0142857142857143,0.0355762987012987,-0.114646464646465,0.04,-0.147659430122117,-0.155351737814424,-0.155590401298911,-0.133333333333333,-0.15,-0.197655413912496,-0.160344827586207,0.232265807041524,-0.160344827586207,-0.159327424641093,-0.161549646863315,-0.0327891156462585,-0.0082141147676298,-0.159366240749778,0.0516986199911033,0.153204758634399,0.155790447149132,0.161549646863315,-0.0925508910746299,0.335929683030569,0.339192638884696,0.339192638884696,0.339192638884696,0.15,0.343382875090237,-0.0206815550041357,0.143181818181818,0.02,0.00182484026803802,-0.0261983767866121,-0.0387012987012987,-0.04,0.115945165945166,0.118829781329781,-0.0142857142857143,0.1756,-0.0112554112554113,0.17,0.165895604585231,0.139909997487794,0.138806568138313,0.0575975826031682,0.0776426799007444
"SOSGRB2",-0.205965909090909,-0.200430107526882,-0.210919618016392,-0.196480201131364,-0.208108108108108,-0.192187645618524,-0.2,-0.166666666666667,-0.2,0.139222339222339,-0.172727272727273,0.152380952380952,-0.0271428571428571,-0.0194505494505495,-0.0315072870392019,0,0,-0.0246012101210121,-0.0142857142857143,-0.171771926805484,-0.0142857142857143,-0.0229813664596273,-0.0226190476190476,-0.180555555555556,0.135889435233784,-0.0182712215320911,0.127838305838306,0.0191552620015414,0.0208761033017326,0.0273291925465838,0.323156188339726,-0.0103288425322324,-0.00263653483992467,-0.00263653483992467,-0.00263653483992467,0,-0.147779096390597,-0.0202255639097744,0.00714285714285715,0.1,-0.0047536231884058,-0.00736842105263157,-0.133161733161733,-0.141269841269841,0.172727272727273,0.168501920614597,0.2,0.171929824561404,0.2,0.171929824561404,0.0481947405828003,-0.110453216374269,0.0271672771672772,0.0346901094881304,0.0517543859649123
"PI3K",-0.155927757037635,-0.147298919567827,-0.173698919567827,-0.061965811965812,-0.0564102564102564,-0.00666666666666667,-0.233333333333333,-0.3,-0.05,-0.0526197364191578,-0.125,-0.0333333333333333,-0.277941176470588,-0.273941176470588,-0.278006217120995,-0.1,-0.2,-0.241904761904762,-0.211111111111111,0.205107569054417,-0.211111111111111,-0.20214790040877,-0.206763285024155,-0.112307692307692,0.0135233504663116,-0.20214790040877,0.0815959383709837,0.187586772795048,0.194803267640408,0.206763285024155,-0.117814141332868,0.269450750163079,0.272190476190476,0.272190476190476,0.272190476190476,0.2,0.237301587301587,-0.0155926935748251,0.225,0.2,0.0204810553349399,-0.0138157894736842,0.0509803921568627,0.0333333333333333,0.132692307692308,0.145595533498759,0,0.335595776772247,0.0333333333333333,0.317647058823529,0.316940418679549,0.308742727860375,0.269814169570267,0.285630563499416,0.357400230455881
"NFB",0.0883071649712517,0.0941487898789879,0.0885725817005492,0.0914604009909369,0.0866411238825032,0.0275882986207098,0.0857142857142857,-0.030952380952381,0.08,0.0756059757236228,-0.113852813852814,0.0642857142857143,0.136363636363636,0.129163636363636,0.121568699654776,0.1,0.0888888888888889,0.0876899696048632,0.0735042735042735,0.271975393695107,0.0735042735042735,0.0511835433869332,0.0596581196581196,0.078984962406015,-0.0729750453943257,0.0506693556131758,-0.093435057074306,-0.0456794480779235,-0.0465421931759627,-0.0596581196581196,0.316827554053139,0.216037651267194,0.212555064202517,0.212555064202517,0.212555064202517,-0.0888888888888889,0.367926093514329,-0.0132083081266384,-0.15,-0.1,0.186974789915966,-0.00769230769230769,-0.074952380952381,-0.0682857142857143,0.118614718614719,0.114098589582461,-0.08,0.0520935220935221,-0.0762962962962963,0.0498712998712999,0.0399443844136932,0.0168838447526972,0.147723909556579,0.0175127565197183,0.0242734422262553
"Frizzled",-0.160229132569558,-0.149711786921089,-0.182422067294921,-0.0625122189638319,-0.0560606060606061,-0.0108348187759952,-0.133333333333333,-0.233333333333333,-0.05,-0.0309803921568627,-0.142857142857143,-0.0333333333333333,-0.193333333333333,-0.18463768115942,-0.189399585921325,-0.1,-0.2,-0.233939393939394,-0.2,0.239473446784829,-0.2,-0.191165413533835,-0.194736842105263,-0.0909090909090909,-0.0392261554338659,-0.191165413533835,0.0557089050309389,0.179014672442696,0.185205148633172,0.194736842105263,-0.0586889481126944,0.348907702326683,0.34812030075188,0.34812030075188,0.34812030075188,0.1,0.365381400208986,-0.00753299146270438,0.133333333333333,0.1,0.122983193277311,-0.00560224089635855,0.0309803921568627,0.0133333333333333,0.151190476190476,0.168837535014006,0,0.270833333333333,0.0227272727272727,0.245833333333333,0.336835748792271,0.314047619047619,0.385878919122493,0.301565656565657,0.383774876770317
"AKT",-0.182243546511319,-0.173698919567827,-0.174035619904527,-0.0809131803868646,-0.061965811965812,-0.0218984547461369,-0.3,-0.317647058823529,-0.0333333333333333,-0.064012141482449,-0.132692307692308,-0.0333333333333333,-0.273941176470588,-0.278006217120995,-0.275287183888366,-0.2,-0.211111111111111,-0.237211621110538,-0.206763285024155,0.208167949534153,-0.206763285024155,-0.194803267640408,-0.20214790040877,-0.107863247863248,0.0106445625875237,-0.194885330576368,0.0749700464239909,0.182971388179663,0.187586772795048,0.20214790040877,-0.111884493091662,0.263426653777537,0.269450750163079,0.269450750163079,0.269450750163079,0.211111111111111,0.239720942140297,-0.00600365247893471,0.277941176470588,0.233333333333333,0.0244565905031356,-0.0197986954565902,0.0526197364191578,0.0509803921568627,0.145595533498759,0.148034557889003,0.05,0.236605877782348,0.0564102564102564,0.335595776772247,0.323707335972782,0.313090553947331,0.275077327465004,0.28830436029086,0.369728997579168
"ERK",0.0913058063961252,0.0910074608823212,0.094654877295695,0.0969967995751401,0.100378442087217,0.0990653252884622,-0.0142857142857143,-0.0233766233766234,0.104,0.0656678969529637,-0.0188034188034188,-0.026551724137931,-0.0629817534490432,-0.0702810235220359,-0.0705557487967612,0,0.00526315789473684,-0.00237864292202051,0.001417004048583,0.288865941437447,-0.00384615384615385,-0.00386066993138106,-0.00734265734265734,0.0555395284327323,-0.129374879166556,-0.00909704330756963,-0.11524836203868,0.00425487687066235,0.00404654353732902,0.0020794994479205,-0.323062047007134,0.234296165880324,0.232866022866023,0.232866022866023,0.232866022866023,0,0.28712928245075,-0.0055052784829443,0.0695238095238095,0.0142857142857143,-0.053686804977496,-0.00913883420639952,-0.0687319638053314,0.0329347028613353,0.0195333458107181,0.0187023208799702,-0.1,0.0278234663339898,-0.0958032786885246,0.0269060351413293,0.0357191529085733,0.173009863672782,-0.00234098820305717,0.000109638706325779,-0.00887106507669324
"Wnt",-0.153846153846154,-0.142735042735043,-0.149711786921089,-0.0560606060606061,-0.0227272727272727,-0.0057843137254902,-0.1,-0.133333333333333,0,-0.0309803921568627,-0.1,0,-0.133333333333333,-0.193333333333333,-0.18463768115942,0,-0.1,-0.233939393939394,-0.2,0.23655567490154,-0.1,-0.194736842105263,-0.2,-0.0575757575757576,-0.0329324491401596,-0.194736842105263,0.0649152542372881,0.185205148633172,0.191165413533835,0.2,-0.064051724137931,0.34812030075188,0.34812030075188,0.34812030075188,0.34812030075188,0,0.365987460815047,-0.00258249641319943,0.1,0.1,0.114411764705882,-0.0294117647058824,0.0133333333333333,0.0333333333333333,0.142857142857143,0.151190476190476,0,0.245833333333333,0.05,0.233333333333333,0.330486542443064,0.303333333333333,0.374251012145749,0.276565656565657,0.372883787661406
"DSH",0.193562465902891,0.182422067294921,0.182044708804355,0.0852116054668993,0.0625122189638319,0.0278890823418867,0.233333333333333,0.245833333333333,0.0227272727272727,0.0437623470440808,0.151190476190476,0.0133333333333333,0.18463768115942,0.189399585921325,0.188354289754078,0.2,0.2,0.230141925584964,0.194736842105263,-0.242908561288646,0.194736842105263,0.185205148633172,0.191165413533835,0.0835920177383592,0.0415966558728475,0.185283060592658,-0.0494662666328235,-0.175007548667095,-0.179014672442696,-0.191165413533835,0.052984640778585,-0.343025349385506,-0.348907702326683,-0.348907702326683,-0.348907702326683,-0.2,-0.3697897528772,-0.00191582743493342,-0.193333333333333,-0.133333333333333,-0.127238512426247,0.0123983574012129,-0.0309803921568627,-0.0309803921568627,-0.168837535014006,-0.172334038510509,-0.05,-0.274281609195402,-0.0560606060606061,-0.270833333333333,-0.345821256038647,-0.321739926739927,-0.393238226481801,-0.305833949248583,-0.39952290826638
"RKIP",0.0941540843979868,0.0930680359435173,0.0980185309930223,0.0958032786885246,0.104,0.0967741935483871,0,-0.0142857142857143,0.1,-0.0329347028613353,-0.0111111111111111,-0.03,-0.06,-0.0695238095238095,-0.0629817534490432,0,0,0.00243788091889358,0,0.28818447239523,0,0.001417004048583,0,0.0563809523809524,-0.129678211318076,-0.00384615384615385,-0.114672824084589,0.00386066993138106,0.0020794994479205,-0.00526315789473684,-0.321484816692895,0.23000888000888,0.224025974025974,0.224025974025974,0.224025974025974,0,0.28360914105595,-0.00119081779053085,0.0666666666666667,0,-0.0558348187759953,-0.0111908177905308,0.026551724137931,0.03,0.0111111111111111,0.0188034188034188,-0.1,0.0233766233766234,-0.1,0.0142857142857143,0.0305019164413369,0.163165266106443,-0.00782493368700265,-0.00702400422453077,-0.0161339072214252
"GSK3",-0.193908486664137,-0.182044708804355,-0.192389536390562,-0.0871254810649855,-0.0852116054668993,-0.0315387173783831,-0.245833333333333,-0.270833333333333,-0.0560606060606061,-0.0448987106804444,-0.168837535014006,-0.0309803921568627,-0.189399585921325,-0.188354289754078,-0.189636341036129,-0.2,-0.194736842105263,-0.224814680531691,-0.191165413533835,0.246747941352048,-0.191165413533835,-0.179014672442696,-0.185283060592658,-0.0868478316918476,-0.0444613249541777,-0.178679287007752,0.0462832427601445,0.173494390772358,0.175007548667095,0.185205148633172,-0.0484117330995514,0.343025349385506,0.343025349385506,0.343025349385506,0.343025349385506,0.194736842105263,0.272618371845586,-0.000610175536834783,0.18463768115942,0.233333333333333,0.134280765947374,-0.00323805205770146,0.0437623470440808,0.0309803921568627,0.172334038510509,0.184022350198821,0.0227272727272727,0.289666224580018,0.0625122189638319,0.274281609195402,0.348146837433996,0.329509350298824,0.400096280708276,0.316971112202862,0.40620938672106
"RAF",-0.0941540843979868,-0.0930680359435173,-0.0980185309930223,-0.0958032786885246,-0.104,-0.0967741935483871,0,0.0142857142857143,-0.1,0.0329347028613353,0.0111111111111111,0.03,0.06,0.0695238095238095,0.0629817534490432,0,0,-0.00243788091889358,0,-0.28818447239523,0,-0.001417004048583,0,-0.0563809523809524,0.129678211318076,0.00384615384615385,0.114672824084589,-0.00386066993138106,-0.0020794994479205,0.00526315789473684,0.321484816692895,-0.23000888000888,-0.224025974025974,-0.224025974025974,-0.224025974025974,0,-0.28360914105595,0.00119081779053085,-0.0666666666666667,0,0.0558348187759953,0.0111908177905308,-0.026551724137931,-0.03,-0.0111111111111111,-0.0188034188034188,0.1,-0.0233766233766234,0.1,-0.0142857142857143,-0.0305019164413369,-0.163165266106443,0.00782493368700265,0.00702400422453077,0.0161339072214252
