"","KLF4","SOSGRB2","PAK1","CDC42","ILK","TrCP","SUFU","FUS","Csn","RKIP","ZEB1","cateninmemb","AXIN2","NOTCHic","RAF","STAT","NOTCH","TCFLEF","Csl","RAS","EGR1","CD44","SRC","Wnt","DSH","GLI","ERK","Frizzled","MEK","cfos","LIV1","GSK3","cateninnuc","PI3K","DELTA","cMet","Destcompl","Jagged","TWIST1","SNAI2","SNAI1","NFB","IKK","AKT","SHH","SMO","Patched","HEY1","SMAD","TGF","TGFR","Ecadherin","FOXC2","miR200","ZEB2"
"Destcompl",0.228118626678902,0.230552145334041,0.176326530612245,0.171498944405348,0.16,-0.2,-0.0555555555555556,-0.0659003831417625,-0.2,0.229385496700328,-0.0603273717751054,-0.190317093070863,0.346157943960111,-0.243325499412456,0.298203195523721,0.29047619047619,-0.242724297007646,0.286485186591504,-0.241151586368978,0.293493619385574,0.207692307692308,0.289361898920272,0.294585779517286,0.293595680507385,0.29047619047619,0.289699576611282,0.202774274905422,0.294585779517286,0.200242629335802,0.207692307692308,0.283333333333333,-0.186688826255517,-0.284292427794972,-0.298203195523721,-0.298203195523721,-0.293093242203854,0.0821571816844101,0.203514108379001,-0.248868515948454,-0.369166957208575,-0.193356059529341,0.208695652173913,0.209596553074814,0.209596553074814,0.0699692940566661,0.0659003831417625,0.0674547872868402,-0.178190185882494,-0.157076023391813,-0.164169413681988,-0.167814733879033,-0.122571460260871,-0.255679719200099,-0.179569354937508,-0.236588476278578
"cMet",0.30952380952381,0.0461904761904762,0.193333333333333,0.205833333333333,0.0505668934240363,0,-0.1,0,-0.1,0.244814814814815,-0.0754689754689755,0.0808636085148541,0.157460317460317,-0.0699248120300752,0.0895238095238095,0,-0.0677971524556071,0.140894454382826,-0.0857142857142857,0.104618149146451,0.125,0.136279069767442,0,0.12,0.1,0.138181818181818,0.155,0.1,0.149545454545455,0.165,-0.1,-0.169393241167435,-0.139764510880002,-0.0895238095238095,-0.0895238095238095,-0.12,0.134206901433792,0.0275646093037397,-0.161956620158867,0.0772224207260704,-0.213783238270303,0.0666666666666667,0.0466666666666667,0.0341666666666667,-0.0272727272727273,0,-0.0272727272727273,0.00890952872377021,-0.0469305297876726,-0.207960992907801,-0.205833333333333,-0.1621877841048,-0.219662447257384,-0.179392018006148,-0.220634920634921
"SNAI2",0.195576923076923,-0.0661257606490872,0.0509803921568627,0.065266106442577,0.103152246814219,0.1,0.1,0.12,0.0666666666666667,0.176076923076923,-0.10148814768198,-0.202158454572248,-0.150463033259311,0.126315789473684,-0.0334910469366949,-0.110909090909091,0.121120984278879,-0.0863548415686853,0.128070175438597,-0.0252718688545031,-0.0333333333333333,-0.0902723673418812,-0.103766233766234,-0.096723980245107,-0.110909090909091,-0.0908416273039305,-0.0137254901960784,-0.103766233766234,-0.00561738208797032,-0.0274509803921569,-0.12,-0.213708735151209,0.0835598105127847,0.0334910469366949,0.0334910469366949,0.096723980245107,0.21083012235353,-0.11562412867517,0.0393123082723518,0.386232575504546,-0.183366899072342,-0.0666666666666667,-0.0701149425287356,-0.0665004846974103,-0.146586409211572,-0.137647058823529,-0.143769507803121,-0.0709162145871007,-0.113200093704171,-0.0819672796654894,-0.0763772175536881,0.397722635510649,-0.0152645910257725,-0.163031241565394,-0.199774910845395
"Ecadherin",0.167932489451477,-0.0178899220607264,0.0710909090909091,0.0804242424242424,0.0900289855072464,0,0.0333333333333333,0.05,0.02,0.120281466348882,-0.0576060970659154,-0.115912191918289,-0.0863548415686853,0.0636925960637301,0.0254901960784314,0.00588235294117647,0.0610903655804587,0.0234042517938785,0.0709090909090909,0.0257695256873699,-0.0272727272727273,0.0212871907727079,0.012859097127223,0.0180315109203264,0.00588235294117647,0.0206981775869931,-0.00447102927394013,0.012859097127223,-0.00329455868570483,-0.00962566844919786,0,-0.160494317283613,-0.0231241397490606,-0.0254901960784314,-0.0254901960784314,-0.0189460536489621,0.154144255450256,-0.00892118534034418,-0.0642270663696888,0.0935661506916513,-0.122571196022761,-0.0247619047619048,-0.0173544973544974,-0.0173544973544974,-0.0534374735416137,-0.05,-0.0510752688172043,-0.0665552371039935,-0.0917239007614837,-0.0848524169049023,-0.0828632668144863,0.109084569593797,-0.0489373247099647,-0.138609195480704,-0.167534469013347
"cateninmemb",0.167932489451477,-0.0178899220607264,0.0710909090909091,0.0804242424242424,0.0900289855072464,0,0.0333333333333333,0.05,0.02,0.120281466348882,-0.0576060970659154,0.00985941844742278,-0.0863548415686853,0.0636925960637301,0.0254901960784314,0.00588235294117647,0.0610903655804587,0.0234042517938785,0.0709090909090909,0.0257695256873699,-0.0272727272727273,0.0212871907727079,0.012859097127223,0.0180315109203264,0.00588235294117647,0.0206981775869931,-0.00447102927394013,0.012859097127223,-0.00329455868570483,-0.00962566844919786,0,-0.160494317283613,-0.0231241397490606,-0.0254901960784314,-0.0254901960784314,-0.0189460536489621,0.154144255450256,-0.00892118534034418,-0.0642270663696888,0.0935661506916513,-0.122571196022761,-0.0247619047619048,-0.0173544973544974,-0.0173544973544974,-0.0534374735416137,-0.05,-0.0510752688172043,-0.0665552371039935,-0.0917239007614837,-0.0848524169049023,-0.0828632668144863,-0.155289225511801,-0.0489373247099647,-0.138609195480704,-0.167534469013347
"HEY1",0.166666666666667,-0.0284162378502001,0.0590909090909091,0.0710909090909091,0.0813333333333333,0.1,0,0.0333333333333333,0,0.116161616161616,-0.0609236326109391,-0.115783986790084,-0.0902723673418812,0.0709090909090909,0.0166666666666667,0,0.0636925960637301,0.0212871907727079,0.0709090909090909,0.0254901960784314,0,0.0189460536489621,0.00588235294117647,0.012859097127223,0,0.0180315109203264,-0.00962566844919786,0.00588235294117647,-0.00447102927394013,-0.0272727272727273,-0.0333333333333333,-0.161377319491119,-0.0234042517938785,-0.0166666666666667,-0.0166666666666667,-0.012859097127223,0.156287778283434,-0.00777702058061878,-0.0621786492374728,0.0967569995778644,-0.121938284630355,-0.02,-0.0247619047619048,-0.0173544973544974,-0.0510752688172043,-0.05,-0.05,-0.0578304048892284,-0.0900289855072464,-0.0828632668144863,-0.0804242424242424,0.212103070080652,-0.0450471645268983,-0.137305657305657,-0.161847265221878
"FOXC2",0.166666666666667,-0.0284162378502001,0.0590909090909091,0.0710909090909091,0.0813333333333333,0.1,0,0.0333333333333333,0,0.116161616161616,-0.0609236326109391,-0.115783986790084,-0.0902723673418812,0.0709090909090909,0.0166666666666667,0,0.0636925960637301,0.0212871907727079,0.0709090909090909,0.0254901960784314,0,0.0189460536489621,0.00588235294117647,0.012859097127223,0,0.0180315109203264,-0.00962566844919786,0.00588235294117647,-0.00447102927394013,-0.0272727272727273,-0.0333333333333333,-0.161377319491119,-0.0234042517938785,-0.0166666666666667,-0.0166666666666667,-0.012859097127223,0.156287778283434,-0.00777702058061878,-0.0621786492374728,0.0967569995778644,-0.121938284630355,-0.02,-0.0247619047619048,-0.0173544973544974,-0.0510752688172043,-0.05,-0.05,-0.0578304048892284,-0.0900289855072464,-0.0828632668144863,-0.0804242424242424,0.212103070080652,-0.0450471645268983,-0.137305657305657,-0.161847265221878
"ERK",0.100384816433664,0.201653259361997,0.14952380952381,0.159804183355585,-0.0553362525548132,-0.214285714285714,-0.08,-0.076,-0.201785714285714,0.284238153551994,-0.0276005409653779,-0.148832949704895,0.0247089571819427,-0.213895552946648,0.231762681762682,0.0157894736842105,-0.215280594497894,0.0252850487222243,-0.205866355866356,0.232752780772583,0.216551724137931,0.0249133015103284,0.0196356275303644,0.0273426573426573,0.02,0.0290970433075696,0.132012717045732,0.0238461538461538,0.131177062449632,0.218679383712399,0,-0.223741155603872,-0.025701715388891,-0.231762681762682,-0.231762681762682,-0.0231321310268679,0.258150844290385,0.0902454835105642,-0.17249593353534,0.295097183102272,-0.234410680866004,0.198755411255411,0.209343646549529,0.209343646549529,0.0755756059610825,0.0809180327868853,0.0789572484731598,0.0386853347545931,0.0541204470836886,-0.163642316025835,-0.161993964377483,0.153613588171325,-0.175887717956683,-0.0682907617993651,-0.10401948214149
"MEK",0.0965088474414156,0.194857142857143,0.14,0.14952380952381,-0.0623473226655143,-0.2,-0.1,-0.08,-0.214285714285714,0.280616983635559,-0.027128100020496,-0.149936905546662,0.0219447295396662,-0.205866355866356,0.227000777000777,0,-0.213895552946648,0.0249133015103284,-0.202020202020202,0.231762681762682,0.22,0.0231321310268679,0.0157894736842105,0.0238461538461538,0,0.0273426573426573,0.218679383712399,0.02,0.132012717045732,0.216551724137931,0,-0.225466859509413,-0.0252850487222243,-0.227000777000777,-0.227000777000777,-0.0196356275303644,0.259390979577871,0.0920527124262269,-0.170138097196921,0.296900609612641,-0.23371623642156,0.201785714285714,0.198755411255411,0.209343646549529,0.0789572484731598,0.076,0.0809180327868853,0.044487382536163,0.0553362525548132,-0.161993964377483,-0.159804183355585,0.155570333794394,-0.172981735050701,-0.0641240951326984,-0.100712395527317
"RKIP",0.0847441415590627,0.188190476190476,0.133333333333333,0.14,-0.0672978177150193,-0.2,-0.1,-0.1,-0.2,0.281932773109244,-0.0318900047824008,-0.15042471042471,0.0174402250351617,-0.202020202020202,0.222727272727273,0,-0.205866355866356,0.0231321310268679,-0.211111111111111,0.227000777000777,0.17,0.0196356275303644,0,0.02,0,0.0238461538461538,0.216551724137931,0,0.218679383712399,0.22,0,-0.227186761229314,-0.0249133015103284,-0.222727272727273,-0.222727272727273,-0.0157894736842105,0.260646209703394,0.0920527124262269,-0.168306595365419,0.300793553651571,-0.229870082575406,0.214285714285714,0.201785714285714,0.198755411255411,0.0809180327868853,0.08,0.076,0.0499419279907085,0.0623473226655143,-0.159804183355585,-0.14952380952381,0.158120424869076,-0.169378131447097,-0.0613377174237201,-0.0967441415590626
"RAF",0.0847441415590627,0.188190476190476,0.133333333333333,0.14,-0.0672978177150193,-0.2,-0.1,-0.1,-0.2,0.281932773109244,-0.0318900047824008,-0.15042471042471,0.0174402250351617,-0.202020202020202,0.222727272727273,0,-0.205866355866356,0.0231321310268679,-0.211111111111111,0.227000777000777,0.17,0.0196356275303644,0,0.02,0,0.0238461538461538,0.216551724137931,0,0.218679383712399,0.22,0,-0.227186761229314,-0.0249133015103284,-0.222727272727273,-0.222727272727273,-0.0157894736842105,0.260646209703394,0.0920527124262269,-0.168306595365419,0.300793553651571,-0.229870082575406,0.214285714285714,0.201785714285714,0.198755411255411,0.0809180327868853,0.08,0.076,0.0499419279907085,0.0623473226655143,-0.159804183355585,-0.14952380952381,0.158120424869076,-0.169378131447097,-0.0613377174237201,-0.0967441415590626
"ZEB1",0.054764077196777,-0.200389863547758,-0.21455938697318,-0.204414459436948,-0.21739583746808,-0.133333333333333,-0.158333333333333,-0.133333333333333,-0.153333333333333,-0.117307811466419,0.251616140862988,-0.120438906251358,-0.1528110466456,-0.104166666666667,-0.106842904746577,-0.0282051282051282,-0.106646005509642,-0.0343471002162125,-0.104166666666667,-0.102905896872562,-0.0833333333333333,-0.0367407172374891,-0.0452782989368355,-0.0331903868489234,-0.0238095238095238,-0.0321594590138719,-0.0889803921568627,-0.0408826945412311,-0.0964693789410037,-0.111333333333333,-0.0666666666666667,-0.0479467477433908,0.0332707792768779,0.106842904746577,0.106842904746577,0.0374351616819336,0.168638882370924,0.162239387836337,0.175241502340303,0.198554332674275,0.0972705501431538,0.127017543859649,0.138492953695715,0.137064382267143,0.145102479684854,0.151515151515152,0.147593582887701,0.203893619334034,0.217876606698849,0.201150939711939,0.20390684522375,0.27358916970909,0.229836709423451,-0.173185968543651,-0.0540860645953688
"RAS",-0.0882142857142857,0.0705627705627706,-0.06,-0.06,-0.181385281385281,-0.1,-0.1,-0.2,-0.2,0.0377672955974843,0.0445692194403535,-0.0404869201166159,-0.182529644268775,-0.184210526315789,-0.0276923076923077,-0.1,-0.171002979145978,-0.152216231828247,-0.2,-0.118076923076923,0.06,-0.153754693366708,-0.15,-0.155882352941176,-0.1,-0.15171568627451,0.0547368421052632,-0.15,0.0527760577915377,0.06,0,0.0523514211886305,0.147966940043544,0.0276923076923077,0.0276923076923077,0.155882352941176,-0.0484611397402095,0.106177804060714,0.0089252591380251,0.290324700508311,0.0411307767944936,0.233333333333333,0.226666666666667,0.21,0.165028248587571,0.183333333333333,0.163333333333333,0.0778656126482213,0.17730364873222,0.0471869539895166,0.0541176470588235,0.136247781501709,0.063968253968254,0.0866461538461538,0.0851215022091311
"SOSGRB2",-0.082280701754386,-0.065,-0.0642857142857143,-0.0642857142857143,-0.0367741935483871,0.1,0,0,0.1,-0.151790935672515,0.0296741854636591,0.139247689247689,-0.03877200220022,0.0832167832167832,-0.0998116760828625,0,0.09025903673791,-0.0424779339653482,0.0909090909090909,-0.104939881211068,-0.0761904761904762,-0.0403726708074534,-0.0142857142857143,-0.0392857142857143,0,-0.0436335403726708,-0.0623766623766624,-0.0142857142857143,-0.0654069654069654,-0.0650793650793651,0,0.225722779635823,0.0434339569098988,0.0998116760828625,0.0998116760828625,0.0360248447204969,-0.231279756783112,0.0043963026662487,0.0691304347826087,-0.169229301856602,0.115891257995736,-0.0888888888888889,-0.0730994152046784,-0.0730994152046784,0.0213283050492353,0.0333333333333333,0.0306306306306306,-0.0514204545454545,0.041669298443492,0.0783610007014262,0.071978021978022,-0.1286338905143,0.0882173382173382,0.0571252428164182,0.0879949874686717
"TGFR",-0.103094239221242,-0.141033138401559,-0.148888888888889,-0.134603174603175,-0.168504398826979,-0.1,-0.18,-0.146666666666667,-0.1,-0.0074891774891775,0.0101534144606551,-0.116493633771291,-0.114126757045212,-0.073448275862069,-0.119642857142857,-0.0666666666666667,-0.0698511535599107,-0.0783205440702958,-0.07,-0.112625313283208,0.119047619047619,-0.0768851373717312,-0.0866666666666667,-0.0752560646900269,-0.0571428571428571,-0.0655786453351882,0.144310776942356,-0.0771428571428571,0.133351872832767,0.124310776942356,-0.1,-0.120987660228039,0.0757518992518724,0.119642857142857,0.119642857142857,0.0847798742138365,0.0857830369280245,0.158811978399607,0.0119019375247133,0.16992758336556,-0.011013507811577,0.0714285714285714,0.0872180451127819,0.0802413009267354,0.158986460159751,0.177701149425287,0.165201149425287,0.162492181260044,0.173842477118794,0.0364142181695373,0.0399603174603175,0.171650503497488,0.0403517860533239,0.12309538656869,0.102368314202864
"TGF",-0.0977370963640987,-0.144736842105263,-0.16,-0.148888888888889,-0.178181818181818,0,-0.2,-0.18,-0.1,-0.0203463203463204,0.0203420937059381,-0.116955527535725,-0.117989417989418,-0.07,-0.121428571428571,-0.1,-0.073448275862069,-0.0768851373717312,-0.08,-0.119642857142857,0.133333333333333,-0.0847798742138365,-0.0666666666666667,-0.0771428571428571,-0.1,-0.0752560646900269,0.124310776942356,-0.0571428571428571,0.144310776942356,0.119047619047619,0,-0.119765166340509,0.0783205440702958,0.121428571428571,0.121428571428571,0.0866666666666667,0.0835652949925406,0.158811978399607,0.0222222222222222,0.169696101884079,-0.00481881754609028,0.1,0.0714285714285714,0.0872180451127819,0.165201149425287,0.146666666666667,0.177701149425287,0.169954867827208,0.168504398826979,0.0399603174603175,0.134603174603175,0.171650503497488,0.0451552795031056,0.129253744339951,0.105009823636826
"TWIST1",-0.130216802168022,-0.0755715934205637,-0.135151515151515,-0.138599791013584,-0.206652106652107,-0.1,-0.1,-0.155555555555556,0,-0.0418579592492636,0.0604332402578017,0.00318735790721116,0.0241272705788835,-0.0311111111111111,-0.066839589066028,0.00476190476190476,-0.0273375262054507,0.00767555669785553,-0.0311111111111111,-0.0685519178331513,0.00666666666666668,0.00568474505926441,0.00476190476190476,0.00791979949874687,0.00476190476190476,0.00711979949874687,0.0500305110602594,0.00476190476190476,0.0545081230005579,0.0631884057971015,0.0333333333333333,0.0357277528000768,-0.00888314726714823,0.066839589066028,0.066839589066028,-0.00688956433637285,-0.0351555019937393,0.0287705597099974,-0.0145171806327413,0.302614307019082,0.070390825185003,0.0538461538461538,0.0538461538461538,0.0453715775749674,0.142675064294337,0.151555555555556,0.139226788432268,0.198491339169305,0.205001941635605,0.131316191924746,0.136099791013584,0.110734957685016,0.137362384427276,0.109198197253957,0.117650106246598
"KLF4",-0.166666666666667,0.0284162378502001,-0.0590909090909091,-0.0710909090909091,-0.0813333333333333,-0.1,0,-0.0333333333333333,0,-0.116161616161616,0.0609236326109391,0.115783986790084,0.0902723673418812,-0.0709090909090909,-0.0166666666666667,0,-0.0636925960637301,-0.0212871907727079,-0.0709090909090909,-0.0254901960784314,0,-0.0189460536489621,-0.00588235294117647,-0.012859097127223,0,-0.0180315109203264,0.00962566844919786,-0.00588235294117647,0.00447102927394013,0.0272727272727273,0.0333333333333333,0.161377319491119,0.0234042517938785,0.0166666666666667,0.0166666666666667,0.012859097127223,-0.156287778283434,0.00777702058061878,0.0621786492374728,-0.0967569995778644,0.121938284630355,0.02,0.0247619047619048,0.0173544973544974,0.0510752688172043,0.05,0.05,0.0578304048892284,0.0900289855072464,0.0828632668144863,0.0804242424242424,-0.212103070080652,0.0450471645268983,0.137305657305657,0.161847265221878
"CD44",-0.30952380952381,-0.0261904761904762,-0.133333333333333,-0.193333333333333,-0.0444444444444444,-0.1,0.1,0.1,0,-0.233703703703704,0.0825396825396826,-0.0790842490842491,-0.14,0.0857142857142857,-0.080952380952381,0.1,0.0699248120300752,-0.136279069767442,0.1,-0.0895238095238095,-0.1,-0.12,0,-0.1,0,-0.12,-0.165,-0.1,-0.155,-0.125,0.1,0.172619047619048,0.140894454382826,0.080952380952381,0.080952380952381,0,-0.140963658190549,-0.0232167832167832,0.14959706959707,-0.0837917637917638,0.210393407761829,-0.1,-0.0666666666666667,-0.0466666666666667,0.0272727272727273,0,0,-0.0187134502923977,0.0505668934240363,0.205833333333333,0.205833333333333,0.155317555097166,0.213333333333333,0.176267018006148,0.20952380952381
