"","FOXC2","CDC42","TGFR","PAK1","TGF","Jagged","NOTCHic","Ecadherin","NOTCH","TWIST1","SNAI2","SMO","Csl","SUFU","FUS","SOSGRB2","Csn","RKIP","TCFLEF","CD44","SRC","cMet","SNAI1","cfos","cateninmemb","ERK","ZEB2","RAS","miR200","PI3K","DELTA","RAF","KLF4","EGR1","MEK","DSH","STAT","LIV1","Wnt","Frizzled","GLI","TrCP","NFB","AKT","cateninnuc","ZEB1","IKK","SMAD","AXIN2","ILK","HEY1","Patched","SHH","Destcompl","GSK3"
"ZEB2",-0.368068376068376,-0.334285714285714,-0.333605442176871,-0.332467532467532,-0.328843537414966,-0.31229928474691,-0.287076923076923,-0.275877291995094,-0.275601513240858,-0.270025294346314,-0.269209217472481,-0.264285714285714,-0.256410256410256,-0.25,-0.25,-0.233901098901099,-0.233333333333333,-0.220338164251208,-0.210441067457376,-0.209736842105263,-0.19,-0.184736842105263,-0.175240161303439,-0.149122807017544,-0.143092380938702,-0.132993774759479,-0.0656481239382366,-0.0150023638032203,-0.0131071131609992,-0.00922077922077922,-0.00922077922077922,0.00922077922077922,0.022088009753739,0.133333333333333,0.136652311344845,0.140909090909091,0.15,0.15,0.173216783216783,0.180909090909091,0.197987425418618,0.2,0.208333333333333,0.216889927310488,0.22472678174309,0.228979534539674,0.232777777777778,0.23764257213072,0.241712076252136,0.24374013310633,0.261590345138732,0.269163763066202,0.273709217611657,0.298179034817099,0.366156520761733
"SOSGRB2",-0.114603174603175,-0.105714285714286,-0.124945054945055,-0.0857142857142857,-0.124235835086899,-0.0225220492921351,-0.237062937062937,0.0964575065152039,-0.196217866640402,-0.0627826086956522,0.255052567510212,-0.0666666666666667,-0.190909090909091,0,-0.0333333333333333,0.00277777777777778,-0.2,-0.163779239766082,0.106662307943772,0.0919254658385093,0.0571428571428571,0.104968944099379,-0.0488379530916844,-0.103174603174603,0.0553991653991654,-0.105877305877306,-0.0588972431077694,0.175054324206867,-0.0323314790988673,0.185310734463277,0.185310734463277,-0.185310734463277,-0.0617543859649123,0.114285714285714,0.13011973011973,-0.1,-0.1,0,-0.107142857142857,-0.0571428571428571,-0.0940993788819876,0.2,0.211111111111111,0.220979532163743,-0.104941466643581,0.0819799498746867,0.258479532163743,0.0739288668320926,-0.12112898789879,0.0662365591397849,0.171969696969697,0.0423423423423423,0.0376911795516447,-0.175124763379797,-0.0467258843696431
"Csn",-0.151123096754054,-0.153629579375848,-0.16516804091431,-0.143181818181818,-0.173998589840324,0.0634863299378473,0.162987012987013,-0.007692830184405,0.175487012987013,0.0142987377279102,0.165604793832988,0.0173160173160173,0.159090909090909,0.0142857142857143,0.0142857142857143,0.0361789461547331,0.12,-0.20705585835527,0.234725299987695,0.220577390019849,0.183908045977011,0.206799612242072,-0.209141750196183,-0.130606060606061,-0.0969190799982668,-0.142294372294372,-0.0570835401157982,-0.263481361376208,-0.0167171009282098,-0.256763511088301,-0.256763511088301,0.256763511088301,-0.0486432521726639,0.103333333333333,0.156877705627706,-0.166666666666667,-0.166666666666667,-0.133333333333333,-0.206799612242072,-0.183908045977011,-0.220336730146002,-0.22,-0.128333333333333,-0.129766666666667,-0.244887657173504,0.0728966087675765,-0.124166666666667,0.0324952065603262,-0.252662397702235,0.0296674430641822,0.018936877076412,-0.0205418237676302,-0.0246401844233679,-0.551492601190509,-0.603562446048927
"Ecadherin",0.0595344871423937,-0.0277575757575758,-0.0370258684405026,-0.0210909090909091,-0.0433549823645532,0.129363260953255,0.0882947763034578,0.134577932388722,0.102792917567398,0.0566219495867869,0.267469226340921,0.114583333333333,0.0913875598086124,0.1,0.0833333333333333,0.0999586229725257,-0.06,-0.0829462939414785,0.170253145312122,0.1561809161714,0.121933424532604,0.147150815836952,-0.100882870304596,0.0437433155080214,0.0191314286436238,0.0427123876729698,-0.0456085572168503,0.0185899121143945,-0.016205619334111,0.0255731523378582,0.0255731523378582,-0.0255731523378582,-0.0225035161744023,-0.0672727272727273,-0.0305555249278718,-0.119607843137255,-0.119607843137255,-0.0666666666666667,-0.146071355567087,-0.121933424532604,-0.15540468890042,0,0.0361904761904762,0.0371043771043771,-0.178469765293448,0.0603228764691209,0.0435978835978836,0.00799677158999193,-0.25561796188545,0.00533333333333333,-0.00322947482836942,-0.109206989247312,-0.120230611294556,-0.316328904355781,-0.286573846280343
"SNAI2",0.101339934450912,-0.015406162464986,-0.0230984701572937,-0.00588235294117647,-0.0317941223312067,0.225164829100463,0.13421052631579,0.416992188888647,0.140704032809296,0.168737223257283,0.531085509456463,0.165882352941176,0.11140350877193,0.1,0.16,0.128296146044625,-0.0666666666666667,-0.0612179487179487,0.25561796188545,0.24180352889576,0.204805194805195,0.220298152551674,-0.0808548098685774,0.0725490196078431,0.117535817794625,0.0588235294117647,-0.0385368156073002,0.0711321548948199,-0.0177395989873144,0.073415259917651,0.073415259917651,-0.073415259917651,-0.0101923076923077,-0.0666666666666667,-0.0534181240063593,-0.169090909090909,-0.169090909090909,-0.16,-0.220298152551674,-0.204805194805195,-0.241153767524936,0.1,0.0916666666666667,0.0825266583575682,-0.269593117164953,0.0495368156073002,0.0813218390804598,0.00467269325682966,-0.285308441044913,0.002280348759222,-0.0130198915009042,-0.188331332533013,-0.192556684645689,-0.343277766467455,-0.311601934053668
"SRC",-0.106834733893557,-0.101388888888889,-0.101388888888889,-0.0888888888888889,-0.0868434343434343,-0.0638579157845213,-0.149761904761905,-0.222492643522055,-0.149761904761905,-0.151496779082986,-0.248975083931225,-0.0466666666666667,-0.145,0.0333333333333333,-0.0666666666666667,-0.272857142857143,-0.1,0.135516454871294,-0.176827269092363,-0.159754098360656,-0.125,-0.145,0.0313996261421403,0.190909090909091,-0.0761974255350995,0.202020202020202,-0.021623240491165,0.206507755907005,0.0240521153564632,0.198931998331247,0.198931998331247,-0.198931998331247,0.0718346253229974,-0.2,-0.219001334095674,0.1,0,0,0.145,0.125,0.159754098360656,0.1,0.133333333333333,0.114529914529915,0.185104674014063,0.0812294100029949,0.125641025641026,0.0228959222380275,0.200578010115177,0.0111842105263158,0.0467974180734856,0.0355555555555556,0.0384967320261438,0.296028029941073,0.448917748917749
"SMO",-0.186551724137931,-0.0133333333333333,0.00333333333333334,-0.0333333333333333,0.0114414414414414,-0.231111111111111,-0.0787878787878788,-0.0267048905925952,-0.0887878787878788,-0.172875816993464,-0.481652983032293,-0.266666666666667,-0.0333333333333333,-0.1,-0.0666666666666667,-0.0157894736842105,0.1,-0.0577777777777778,-0.344552319309601,-0.322222222222222,-0.25,-0.283333333333333,0.00422427035330261,-0.14,0.192999965201656,-0.132307692307692,-0.013135593220339,0.0209190518783542,0.0107896323086196,0.0139423076923077,0.0139423076923077,-0.0139423076923077,-0.0388888888888889,0.2,0.129277389277389,0.3,0.2,0.1,0.375,0.35,0.413888888888889,0,-0.1,-0.0611428571428571,0.371619988482533,0.103248587570621,-0.0571428571428571,0.0457142857142857,0.458262427227944,0.06,0.0637362637362638,0.266666666666667,0.283333333333333,0.541688698898001,0.459625164479533
"FUS",-0.17997277676951,0.00333333333333334,0.0114414414414414,-0.0133333333333333,0.02420739888825,-0.23954484605087,-0.0887878787878788,-0.0283487262090336,-0.109242424242424,-0.175493618040584,-0.505889966874304,-0.266666666666667,-0.0787878787878788,-0.0666666666666667,-0.266666666666667,-0.0196356275303644,0.1,-0.0381901489117984,-0.371619988482533,-0.344552319309601,-0.283333333333333,-0.322222222222222,0.02780917601368,-0.132307692307692,0.206594006169999,-0.129277389277389,-0.00270614536757825,0.0327094448914546,0.0147500283482236,0.0209190518783542,0.0209190518783542,-0.0209190518783542,-0.0306921675774135,0.14,0.114334860541757,0.35,0.25,0.2,0.413888888888889,0.375,0.435042735042735,-0.1,-0.0571428571428571,-0.0534505494505495,0.387652597178185,0.09159214585283,-0.0611428571428571,0.0450691244239631,0.487454973811795,0.0457142857142857,0.0535913362000319,0.283333333333333,0.288383838383838,0.578914976270264,0.494742221335721
"SUFU",-0.168806523667773,0.0114414414414414,0.02420739888825,0.00333333333333334,0.037422389026317,-0.25640945412688,-0.109242424242424,-0.0281427529855526,-0.117178932178932,-0.180648257215842,-0.522963137606011,-0.283333333333333,-0.0887878787878788,-0.266666666666667,-0.266666666666667,-0.0259293338240707,0.0571428571428571,-0.0173738223811862,-0.387652597178185,-0.371619988482533,-0.322222222222222,-0.344552319309601,0.0416081538671723,-0.129277389277389,0.213824565515156,-0.114334860541757,0.00743878216865364,0.0368233689420876,0.017352258831495,0.0327094448914546,0.0327094448914546,-0.0327094448914546,-0.0217101316492698,0.132307692307692,0.102845498839629,0.375,0.283333333333333,0.25,0.435042735042735,0.413888888888889,0.462180281511137,-0.1,-0.0611428571428571,-0.0554639722693414,0.405095052421152,0.0775824840170813,-0.0534505494505495,0.0429906024840093,0.515323826270812,0.0450691244239631,0.0560009747542487,0.288383838383838,0.296491946491947,0.606825662075687,0.528418313880708
"TCFLEF",0.167961930925521,0.0729874776386404,0.0608379449283601,0.0846153846153846,0.0522286734051813,0.217263700472967,0.0589988841064881,-0.0783461838665964,0.0659756282925346,0.201791029877721,0.388322469434955,0.168571428571429,0.0393910409692332,0.166666666666667,0.173333333333333,0.126550591125441,-0.0688311688311688,0.0435105845616935,0.165562409288824,0.254451298177713,0.219166666666667,0.233696581196581,-0.076778272866139,0.10184668989547,-0.17071221260931,0.0856562137049942,0.00770769094453305,0.0874254832897508,-0.0286965176724213,0.0896593860492777,0.0896593860492777,-0.0896593860492777,0.116911764705882,-0.104285714285714,-0.0788534926165588,-0.172549019607843,-0.179166666666667,-0.166666666666667,-0.227078934137758,-0.212549019607843,-0.247575828547696,0.114285714285714,0.0808311688311688,0.0722056428844648,-0.178449007226969,-0.0586985645933014,0.074379555927943,-0.0511070549657648,-0.595451526251526,-0.0551223513328776,-0.0378924731182796,-0.184700460829493,-0.187154448559554,-0.489091579893751,-0.357569482275177
"IKK",-0.0713708513708514,-0.1,-0.0954545454545455,-0.1,-0.0898545454545455,-0.028455170259294,-0.112987012987013,0.0802782038303007,-0.127272727272727,-0.0352287581699346,-0.2599125555854,-0.1,-0.127272727272727,-0.1,-0.08,-0.139285714285714,-0.3,0.0392531876138434,0.0268912067217152,0.0364957264957265,0.0611111111111111,0.038034188034188,0.026039016115352,0.0642857142857143,0.093269588884114,0.0682857142857143,0.00926315789473684,0.128501316428517,0.00588628762541806,0.122867513611615,0.122867513611615,-0.122867513611615,0.00769230769230769,-0.05,-0.0882857142857143,-0.05,-0.05,-0.1,-0.038034188034188,-0.0611111111111111,-0.0364957264957265,0.2,0.314285714285714,0.205727155727156,-0.0226717974390148,-0.0132631578947368,0.197619047619048,0.0878987898789879,-0.0583333333333333,0.0888888888888889,0.0947368421052632,0.0888888888888889,0.0992337164750958,0.191332844753984,0.295457875457875
"NFB",-0.0677851940003334,-0.0954545454545455,-0.0898545454545455,-0.1,-0.0866899884925201,-0.0342105659427472,-0.127272727272727,0.0791546083246827,-0.126627565982405,-0.0393557422969188,-0.264993856398408,-0.0888888888888889,-0.112987012987013,-0.08,-0.1,-0.144548872180451,-0.314285714285714,0.0430993414599972,0.0226717974390148,0.0268912067217152,0.038034188034188,0.0364957264957265,0.029052714745489,0.0682857142857143,0.0954871179231848,0.0882857142857143,0.0104125831820932,0.128501316428517,0.00377148400004042,0.128501316428517,0.128501316428517,-0.128501316428517,0.00961538461538462,-0.0642857142857143,-0.0915536881419234,-0.0611111111111111,-0.0611111111111111,-0.05,-0.0364957264957265,-0.038034188034188,-0.0275069624507827,0.3,0.197619047619048,0.203504933504933,-0.0175737582233285,-0.0159451502319016,0.205727155727156,0.0852965593957165,-0.049822695035461,0.0878987898789879,0.0965225563909775,0.0992337164750958,0.0992337164750958,0.199306266680894,0.307222581340228
"miR200",0.236222801588655,0.201225490196078,0.204451296647691,0.1875,0.199218738508156,0.16300241348997,0.129852216748768,0.283198432799056,0.149626228048204,0.242256639066455,0.273783282083135,0.164166666666667,0.15743842364532,0.12,0.1575,0.141534493874919,0.08,0.113226466125734,0.185141592102689,0.167284449245547,0.138260869565217,0.1706552357624,0.0785113035113035,0.0657142857142857,0.119245466083981,0.0975324675324675,0.0175134408602151,0.0608205471777884,-0.0729286827174648,0.0740375047837734,0.0740375047837734,-0.0740375047837734,0.0173740510697032,-0.0857142857142857,-0.0818862090290662,-0.16,-0.16,-0.1,-0.164394366197183,-0.132,-0.16109766290048,-0.1,-0.127368421052632,-0.107260604341041,-0.186505228466326,-0.179838709677419,-0.0959398496240601,-0.124499443187267,-0.222766195383018,-0.116662452591656,-0.125028248587571,-0.155305907172996,-0.164001559346909,-0.277110112873163,-0.231022631769145
"SHH",0.2,0.0333333333333333,0.0333333333333333,0,0.0133333333333333,0.191428571428571,0,0.0202777777777778,0.0333333333333333,0.15,0.422605363984674,0.1,0.1,0,0,0,0,0.08,0.283333333333333,0.25,0.1,0.2,0.0333333333333333,0.1,-0.163010752688172,0.2,0.025,-0.00769230769230769,-0.0166666666666667,0,0,0,0.05,0,-0.14,-0.2,-0.1,0,-0.3,-0.2,-0.35,0,0,0.1,-0.322222222222222,-0.125,0.1,-0.05,-0.371428571428571,-0.0666666666666667,-0.0666666666666667,-0.0666666666666667,-0.266666666666667,-0.447532467532468,-0.353846153846154
"Patched",0.19,0.0333333333333333,0.0133333333333333,0.0333333333333333,-0.00333333333333334,0.202539682539683,0.0333333333333333,0.0270738942826321,0.0787878787878788,0.161111111111111,0.455938697318008,0.0666666666666667,0,0,0.1,0,0,0.08,0.322222222222222,0.283333333333333,0.2,0.25,0.0172043010752688,0.2,-0.185232974910394,0.14,0.025,-0.0139423076923077,-0.00952380952380952,-0.00769230769230769,-0.00769230769230769,0.00769230769230769,0.0388888888888889,-0.1,-0.132307692307692,-0.2,-0.1,-0.1,-0.35,-0.3,-0.375,0,0.1,0.0571428571428571,-0.344552319309601,-0.108333333333333,0.1,-0.06,-0.416883116883117,-0.05,-0.058974358974359,-0.266666666666667,-0.266666666666667,-0.501378621378621,-0.406227106227106
"KLF4",-0.0611363178060093,0.0210909090909091,0.0277575757575758,0.00909090909090909,0.0370258684405026,-0.123184771250738,-0.0913875598086124,-0.234091077471487,-0.0882947763034578,-0.0564357298474946,-0.2550068542759,-0.0833333333333333,-0.0545454545454545,0,-0.1,-0.0973270440251572,0,0.0713358070500928,-0.1561809161714,-0.147150815836952,-0.119607843137255,-0.121933424532604,0.09012337663371,-0.0672727272727273,-0.0260545055667007,-0.0437433155080214,0.0422910216718266,-0.0255731523378582,0.0175091575091575,-0.0241025641025641,-0.0241025641025641,0.0241025641025641,0.0111111111111111,0.04,0.0427123876729698,0.0666666666666667,0.0666666666666667,0.1,0.121933424532604,0.119607843137255,0.146071355567087,-0.1,-0.06,-0.0435978835978836,0.170253145312122,-0.0527399380804954,-0.0361904761904762,-0.00533333333333333,0.24180352889576,-0.00533333333333333,0.006585179526356,0.114583333333333,0.109206989247312,0.298248755241149,0.270017554889614
"HEY1",-0.0611363178060093,0.0210909090909091,0.0277575757575758,0.00909090909090909,0.0370258684405026,-0.123184771250738,-0.0913875598086124,-0.234091077471487,-0.0882947763034578,-0.0564357298474946,-0.2550068542759,-0.0833333333333333,-0.0545454545454545,0,-0.1,-0.0973270440251572,0,0.0713358070500928,-0.1561809161714,-0.147150815836952,-0.119607843137255,-0.121933424532604,0.09012337663371,-0.0672727272727273,-0.0260545055667007,-0.0437433155080214,0.0422910216718266,-0.0255731523378582,0.0175091575091575,-0.0241025641025641,-0.0241025641025641,0.0241025641025641,0.0111111111111111,0.04,0.0427123876729698,0.0666666666666667,0.0666666666666667,0.1,0.121933424532604,0.119607843137255,0.146071355567087,-0.1,-0.06,-0.0435978835978836,0.170253145312122,-0.0527399380804954,-0.0361904761904762,-0.00533333333333333,0.24180352889576,-0.00533333333333333,0.006585179526356,0.114583333333333,0.109206989247312,0.298248755241149,0.270017554889614
"FOXC2",-0.0611363178060093,0.0210909090909091,0.0277575757575758,0.00909090909090909,0.0370258684405026,-0.123184771250738,-0.0913875598086124,-0.234091077471487,-0.0882947763034578,-0.0564357298474946,-0.2550068542759,-0.0833333333333333,-0.0545454545454545,0,-0.1,-0.0973270440251572,0,0.0713358070500928,-0.1561809161714,-0.147150815836952,-0.119607843137255,-0.121933424532604,0.09012337663371,-0.0672727272727273,-0.0260545055667007,-0.0437433155080214,0.0422910216718266,-0.0255731523378582,0.0175091575091575,-0.0241025641025641,-0.0241025641025641,0.0241025641025641,0.0111111111111111,0.04,0.0427123876729698,0.0666666666666667,0.0666666666666667,0.1,0.121933424532604,0.119607843137255,0.146071355567087,-0.1,-0.06,-0.0435978835978836,0.170253145312122,-0.0527399380804954,-0.0361904761904762,-0.00533333333333333,0.24180352889576,-0.00533333333333333,0.006585179526356,0.114583333333333,0.109206989247312,0.298248755241149,0.270017554889614
"cateninmemb",-0.0595344871423937,0.0277575757575758,0.0370258684405026,0.0210909090909091,0.0433549823645532,-0.129363260953255,-0.0882947763034578,0.129676534672461,-0.102792917567398,-0.0566219495867869,-0.267469226340921,-0.114583333333333,-0.0913875598086124,-0.1,-0.0833333333333333,-0.0999586229725257,0.06,0.0829462939414785,-0.170253145312122,-0.1561809161714,-0.121933424532604,-0.147150815836952,0.100882870304596,-0.0437433155080214,0.0989933181780283,-0.0427123876729698,0.0456085572168503,-0.0185899121143945,0.016205619334111,-0.0255731523378582,-0.0255731523378582,0.0255731523378582,0.0225035161744023,0.0672727272727273,0.0305555249278718,0.119607843137255,0.119607843137255,0.0666666666666667,0.146071355567087,0.121933424532604,0.15540468890042,0,-0.0361904761904762,-0.0371043771043771,0.178469765293448,-0.0603228764691209,-0.0435978835978836,-0.00799677158999193,0.25561796188545,-0.00533333333333333,0.00322947482836942,0.109206989247312,0.120230611294556,0.316328904355781,0.286573846280343
