"","cateninmemb","GLI","Wnt","cateninnuc","TCFLEF","PAK1","Frizzled","CDC42","SRC","Ecadherin","DSH","miR200","RKIP","AXIN2","Patched","SMO","FUS","Destcompl","SNAI2","SUFU","cfos","EGR1","MEK","ERK","SMAD","IKK","KLF4","HEY1","FOXC2","NOTCH","Jagged","RAS","RAF","PI3K","DELTA","ZEB2","ZEB1","SOSGRB2","NOTCHic","Csl","TWIST1","AKT","ILK","NFB","Csn","TrCP","SNAI1","SHH","STAT","LIV1","TGF","TGFR","cMet","CD44","GSK3"
"AXIN2",-0.0557148843519345,-0.0500224942377429,-0.0468778401496926,-0.0504461043705181,-0.0493652569861688,0.105416666666667,-0.0417054263565892,0.10912037037037,-0.0417054263565892,-0.0756761209871103,-0.0533333333333333,0.0797973795903426,0.0373375280633345,-0.085352828869116,-0.072481684981685,-0.0778388278388279,-0.0730769230769231,0.0218688705218221,-0.0306468833694695,-0.05,0.0552845528455285,0.0333333333333333,0.0444047590975426,0.0506116556492668,-0.0116459627329193,0.0729468599033817,0.0227389534030241,-0.0162501533698288,0.0399027514249997,0.0593190747138116,0.0325556640774032,-0.0797854633760418,-0.0774232586516324,-0.0774232586516324,-0.0774232586516324,-0.0271461497582844,-0.0271461497582844,-0.080476858345021,-0.0606704260651629,-0.0624561403508772,-0.0406211888429603,-0.0673913043478261,0.0128364389233954,-0.0685990338164251,-0.0555555555555556,-0.0666666666666667,-0.0286710834374535,0.0767439800636522,0.0533333333333333,0.0333333333333333,-0.108220811387923,-0.105580547361521,0.0468778401496926,0.0497169568689355,-0.0237355805902717
"GSK3",0.0579916088717019,0.012073213926418,0.0130166101528331,0.0135257435353582,0.0126046909037793,-0.104347826086957,0.00582706766917293,-0.0957763975155279,0.00582706766917293,0.114994849864353,-0.00131578947368421,-0.085758403687029,-0.0503162626846837,-0.0129215430686914,0.0104686856121647,0.00740120094958805,0.0138528138528139,0.0218482347331863,-0.0186853361381078,0.00909090909090909,-0.0552505446623094,-0.0811764705882353,-0.0637903601100196,-0.052994905564565,0.0166529080990918,-0.0613218390804598,0.02571523236138,0.0263058143152069,0.0701077135838458,-0.0840079528314822,0.00113401708579297,0.0400708654030124,0.0438523780080544,0.0438523780080544,0.0438523780080544,-0.0262928834321174,-0.0262928834321174,-0.00497877240928857,0.0764754852990147,0.0799719887955182,0.0679288397735753,0.0690141467727675,-0.0159032829116855,0.0716666666666667,0.0841666666666667,0.0466666666666667,0.0282982650424511,-0.0119040923107293,0.00131578947368421,-0.025,0.102357296291549,0.100306014240267,-0.0131118358810935,-0.0121594549287125,-0.0156599775297105
"DSH",0.0570190182439389,0.0130166101528331,0.00582706766917293,0.0126046909037793,0.0121594549287125,-0.1,-0.00131578947368421,-0.104347826086957,-0.00131578947368421,0.114566795863695,0.025,-0.0818897049765952,-0.0555794205794206,-0.0118560940580369,0.00740120094958805,0.0138528138528139,0.00909090909090909,0.0217425637222669,-0.0199795552925513,0,-0.0811764705882353,-0.04,-0.052994905564565,-0.0552505446623094,0.0159032829116855,-0.0716666666666667,0.0325854613690136,0.0252677520314698,0.0670774105535427,-0.0764754852990147,0.00128000248725283,0.0438523780080544,0.0418915936943289,0.0418915936943289,0.0418915936943289,-0.0258471182018054,-0.0258471182018054,-0.00916481892091648,0.0799719887955182,0.0976190476190476,0.0685690446391322,0.0613218390804598,-0.0177900753645157,0.0841666666666667,0.0466666666666667,0.0666666666666667,0.0273015873015873,-0.0104686856121647,-0.025,0,0.100306014240267,0.0957763975155279,-0.00582706766917293,-0.0131118358810935,0.0828425183105558
"TGFR",-0.0445216065195603,-0.0182053734457873,-0.0123989218328841,-0.0393723209882328,-0.0394608949474888,0.231111111111111,-0.0142857142857143,0.226349206349206,-0.0333333333333333,-0.0462928378545464,-0.0142857142857143,0.158461540622275,0.215974025974026,-0.0229543717025834,0.0969899425287356,0.100114942528736,0.0966666666666667,-0.00854409759308895,0.078996927246851,0.113333333333333,0.11203007518797,0.0857142857142857,0.0957743674254129,0.105363408521303,0.097144084630022,0.00983709273182957,0.0172405651810686,0.0921244839631629,-0.00330175757411375,0.0186421896965186,0.122890653347847,0.112593984962406,0.117857142857143,0.117857142857143,0.117857142857143,-0.022771072409689,-0.022771072409689,0.0678525016244314,-0.0236781609195402,-0.0133333333333333,-0.223017661789904,-0.00286034854578306,-0.094652981427175,0.00595238095238095,-0.00833333333333333,-0.0333333333333333,-0.194325425178201,-0.0952950272744983,0.0333333333333333,0,-0.320282843633908,-0.320992063492064,0.0314465408805031,0.0380254882489242,0.114374421325172
"FUS",0.271531845441699,0.351495726495726,0.336111111111111,0.258899536638839,0.253193014899709,-0.3,0.325,-0.325,0.22,0.184732166143978,0.3,-0.125626794144152,-0.0976959581083292,0.0899193260512601,0.301944444444444,0.290833333333333,0.253333333333333,0.0594923234407193,0.0360569278496598,0.333333333333333,-0.0476923076923077,-0.04,-0.052498995257616,-0.0628438228438229,0.091321044546851,-0.0842857142857143,0.0354735883424408,0.0959547698678133,0.0347640653357532,-0.238939393939394,-0.140932619366354,0.124212128254603,0.112421735241503,0.112421735241503,0.112421735241503,-0.0223649093618939,-0.0223649093618939,0.302226720647773,0.232121212121212,0.212121212121212,0.167439459786241,0.0881318681318681,-0.0880952380952381,0.0642857142857143,0.05,0.1,0.0824884792626728,-0.309015151515152,-0.2,-0.1,0.335724554341576,0.330405405405405,-0.231111111111111,-0.245674217907228,-0.0285401948550957
"RKIP",0.127118883589472,0.0394871794871795,0.0433333333333333,0.0433341200115005,0.0410440436756226,0.133333333333333,0.0333333333333333,0.14,0.0333333333333333,0.120121923208537,0,0.0541983743914415,0.312675070028011,0.0200304735114862,0.129333333333333,0.133333333333333,0.133333333333333,0.0263039013514814,0.128741330069359,0.1,0.3,0.25,0.27960381511372,0.268965517241379,0.125851031829755,0.0178571428571429,0.0181252989000478,0.124777390631049,0.0323460064839375,-0.00932400932400932,0.105564314010834,0.062953712953713,0.0603896103896104,0.0603896103896104,0.0603896103896104,-0.0221252989000478,-0.0221252989000478,0.20247619047619,-0.00606060606060606,-0.0333333333333333,-0.123461081402258,0.00335497835497836,-0.124860932819855,-0.0428571428571429,0,0,-0.199070457669862,-0.137530054644809,0,0,-0.130565198041834,-0.135238095238095,-0.0385964912280702,-0.0347503373819163,0.0629235618597321
"SMO",0.262779517694958,0.336111111111111,0.325,0.253193014899709,0.245674217907228,-0.3,0.3,-0.3,0.2,0.178978741486444,0.2,-0.127606992163954,-0.0946031746031746,0.0830870279146141,0.290833333333333,0.253333333333333,0.333333333333333,0.0573025424188215,0.0358773946360153,0.3,-0.04,-0.1,-0.0628438228438229,-0.0476923076923077,0.0880952380952381,-0.0642857142857143,0.0305555555555556,0.0945054945054945,0.033448275862069,-0.232121212121212,-0.133703703703704,0.112421735241503,0.110096153846154,0.110096153846154,0.110096153846154,-0.0217514124293785,-0.0217514124293785,0.286842105263158,0.212121212121212,0.166666666666667,0.15958605664488,0.0842857142857143,-0.0833333333333333,0.05,0.1,0,0.0824884792626728,-0.301944444444444,-0.1,-0.1,0.330405405405405,0.325,-0.22,-0.231111111111111,-0.0268679540524201
"SUFU",0.277261722658616,0.359302417945541,0.351495726495726,0.262735853774389,0.258899536638839,-0.325,0.336111111111111,-0.330405405405405,0.231111111111111,0.188233710943154,0.325,-0.125255046932256,-0.0997367744348599,0.0920270543884966,0.309015151515152,0.301944444444444,0.290833333333333,0.0612467094056316,0.0374412389900685,0.253333333333333,-0.0628438228438229,-0.0476923076923077,-0.0512223995129351,-0.052498995257616,0.0910900976646339,-0.0881318681318681,0.0384676003184887,0.101978866253356,0.0384861497029988,-0.244494949494949,-0.144495564734525,0.128326052305236,0.124212128254603,0.124212128254603,0.124212128254603,-0.0213987257870146,-0.0213987257870146,0.304324622745675,0.238939393939394,0.232121212121212,0.171769356693458,0.0874607271922708,-0.091321044546851,0.0842857142857143,0.0642857142857143,0.05,0.0836809835216166,-0.31712325962326,-0.22,-0.2,0.341838952763666,0.335724554341576,-0.245674217907228,-0.253193014899709,-0.0305967501250185
"MEK",0.129314005540691,0.0457808857808858,0.0394871794871795,0.0435199936174484,0.0433341200115005,0.14,0.0433333333333333,0.135238095238095,0.0385964912280702,0.121761267470832,0.0333333333333333,0.055127166961101,0.303464543712222,0.0245349780159907,0.137530054644809,0.129333333333333,0.133333333333333,0.0269315164142429,0.128254712064493,0.133333333333333,0.268965517241379,0.3,0.18960381511372,0.27960381511372,0.123268005999497,-0.00335497835497836,0.0220468675274988,0.122959208812867,0.0296433037812348,0.000165041770881186,0.102285625486243,0.0715251415251415,0.062953712953713,0.062953712953713,0.062953712953713,-0.0197443465190954,-0.0197443465190954,0.195809523809524,0.00932400932400932,-0.00606060606060606,-0.119431777372954,-0.00958619811560988,-0.125851031829755,-0.0178571428571429,-0.0428571428571429,0,-0.198429432028837,-0.136876459873567,-0.0333333333333333,0,-0.129835271034534,-0.130565198041834,-0.0347503373819163,-0.0410440436756226,0.0587466576828279
"ERK",0.130233968742163,0.0485377780114622,0.0457808857808858,0.0446311047285596,0.0435199936174484,0.135238095238095,0.0394871794871795,0.130565198041834,0.0347503373819163,0.122756804717656,0.0433333333333333,0.0534114806865912,0.304300198308322,0.0243723763899744,0.136876459873567,0.137530054644809,0.129333333333333,0.0265181379850809,0.128254712064493,0.133333333333333,0.27960381511372,0.268965517241379,0.183197129876951,0.18960381511372,0.124787762838403,0.00958619811560988,0.0204964799305996,0.12261791188454,0.0311817653196964,-0.0028820496418612,0.0998759869320265,0.0700949985108401,0.0715251415251415,0.0715251415251415,0.0715251415251415,-0.0189569449442923,-0.0189569449442923,0.199693018955155,-0.000165041770881186,0.00932400932400932,-0.117351333544937,-0.00866876692294933,-0.123268005999497,0.00335497835497836,-0.0178571428571429,-0.0428571428571429,-0.197966469065874,-0.137359551661007,-0.0385964912280702,-0.0333333333333333,-0.126813293012556,-0.129835271034534,-0.0410440436756226,-0.0433341200115005,0.0575659129053529
"TGF",-0.0440597127551261,-0.0123989218328841,-0.0142857142857143,-0.0394608949474888,-0.0380254882489242,0.22,-0.0142857142857143,0.231111111111111,-0.0333333333333333,-0.0447596180930473,0,0.162860367601747,0.211688311688312,-0.0190917107583774,0.100114942528736,0.0966666666666667,0.113333333333333,-0.00854409759308895,0.0780710013209251,0.133333333333333,0.0857142857142857,0.1,0.105363408521303,0.11203007518797,0.094652981427175,-0.00595238095238095,0.0243834223239258,0.0936170212765957,-0.00461180124223602,0.0236781609195402,0.120716740304369,0.117857142857143,0.117857142857143,0.117857142857143,0.117857142857143,-0.0171106950511985,-0.0171106950511985,0.0592105263157895,-0.0133333333333333,-0.0133333333333333,-0.219814814814815,-0.00983709273182957,-0.0978787878787879,-0.00833333333333333,-0.0333333333333333,0,-0.196980292434838,-0.0969899425287356,0,0,-0.320992063492064,-0.226349206349206,0.0333333333333333,0.0314465408805031,0.113151927437642
"Patched",0.251129032258065,0.325,0.3,0.245674217907228,0.231111111111111,-0.3,0.2,-0.3,0.1,0.169015641855448,0.2,-0.123809523809524,-0.105714285714286,0.0761904761904762,0.253333333333333,0.333333333333333,0.3,0.0534265734265734,0.0292107279693487,0.2,-0.1,-0.1,-0.0476923076923077,-0.04,0.0833333333333333,-0.05,0.0388888888888889,0.0897435897435897,0.03,-0.212121212121212,-0.126560846560847,0.110096153846154,0.103846153846154,0.103846153846154,0.103846153846154,-0.0166666666666667,-0.0166666666666667,0.25,0.166666666666667,0.2,0.153703703703704,0.0642857142857143,-0.0833333333333333,0.1,0,0,0.0801075268817204,-0.290833333333333,-0.1,-0.1,0.325,0.3,-0.2,-0.22,-0.0278388278388278
