"","ZEB2","ZEB1","TGF","CDC42","PAK1","Ecadherin","Csn","AXIN2","miR200","Patched","SHH","SMO","FUS","RKIP","Frizzled","ILK","SMAD","Wnt","DSH","CD44","TrCP","cfos","SNAI1","EGR1","Csl","TWIST1","NOTCH","SNAI2","FOXC2","NOTCHic","Jagged","Destcompl","ERK","STAT","LIV1","TCFLEF","cMet","MEK","HEY1","cateninnuc","SRC","GLI","SUFU","KLF4","NFB","RAS","RAF","PI3K","DELTA","IKK","AKT","SOSGRB2","cateninmemb","TGFR","GSK3"
"IKK",-0.192977443609023,-0.192977443609023,-0.0958343434343434,-0.0888888888888889,-0.1,0.133464623728037,0.1,0.140238095238095,-0.0971571906354515,0.101481481481481,0.108378033205619,0.12,0.12,-0.110746812386157,0.0944444444444444,0.0666666666666667,0.0636963696369637,0.10982905982906,0.15,0.0898290598290598,0,0.0214285714285714,-0.103442182640656,-0.05,-0.145454545454545,-0.100490196078431,-0.142279942279942,-0.023152475602113,0.0584126984126984,0.140692640692641,0.000688847235238987,-0.114366077708952,-0.0494285714285714,-0.15,-0.1,-0.102823410111546,-0.10982905982906,-0.0383174603174603,-0.0719298245614035,-0.0943845915461449,-0.0944444444444444,-0.0898290598290598,-0.1,0.188278388278388,-0.142857142857143,-0.203119381747229,-0.200302480338778,-0.200302480338778,-0.200302480338778,-0.242857142857143,-0.234749034749035,0.0611344537815126,-0.169040382336472,0.0934343434343434,-0.216904761904762
"SOSGRB2",-0.120914786967419,-0.120914786967419,-0.0940550229911932,-0.0771428571428571,-0.107142857142857,-0.118832247392436,-0.1,-0.0223116061606161,-0.0837145866444663,-0.0247747747747748,-0.0224491933794259,-0.0166666666666667,0,0.0436038011695906,-0.0142857142857143,-0.0202150537634409,-0.0181171516655388,-0.0226190476190476,0,-0.0229813664596273,-0.1,0.019047619047619,-0.0589211087420043,-0.0142857142857143,0.00909090909090909,-0.0218840579710145,0.0125578646705407,-0.00833729627694705,0.0502442002442002,-0.0167832167832168,0.00242563394362498,-0.0186542763723972,-0.0271557271557272,0,0,0.0124550506701536,0.0186335403726708,-0.012004212004212,0.105965909090909,0.0176175745707273,0.0142857142857143,0.0269668737060041,0,0.113771929824561,0.111111111111111,0.165681587715486,0.170809792843691,0.170809792843691,0.170809792843691,0.137426900584795,0.137426900584795,0.0797222222222222,0.117616746616747,0.0848351648351648,0.0263058462497453
"cateninnuc",-0.0234486018883013,-0.0234486018883013,-0.00589073978774325,-0.00813186813186813,-0.0142857142857143,0.0223774894614199,-0.166666666666667,-0.230871868644988,-0.00763028282458818,-0.0842457771894693,-0.0809778033332601,-0.0774134790528233,-0.0888888888888889,-0.0969758182264386,-0.0677491458313376,0.0136046176046176,0.0142867458447267,-0.0590534936574246,-0.0526806526806527,-0.0642230957448349,-0.166666666666667,-0.140890269151139,-0.0791932546103139,-0.145652173913043,0.191839296924043,0.0621477415999394,0.195179677473726,0.0118425519500191,0.0904036455347931,-0.198816041110089,-0.0666407870599681,-0.0160264847665001,0.137092800796708,0.0526806526806527,0.0757575757575758,0.0590699964169783,0.0578738893956285,0.136634085200378,0.0128203063668753,-0.0373122184407958,0.0665695415695416,0.0653776043293613,0.0888888888888889,0.0412400766493293,0.157575757575758,0.160385945385945,0.162574497574498,0.162574497574498,0.162574497574498,0.157575757575758,0.157575757575758,-0.0575284011315661,0.0648838827756494,0.00698244284451181,0.00460868785128977
"SNAI2",0.00510656597440738,0.00510656597440738,-4.21573311598887e-05,0.00112044817927171,0.00588235294117647,0.0674671307949914,0.0666666666666667,0.0842407361714781,0.00114219511049928,0.0448739495798319,0.0336063439460291,0.0305882352941176,0.06,0.00703846153846154,0.0431168831168831,-0.00335345405767941,-0.00383192295720094,0.0191732211450521,0.0145454545454545,0.0385280598547295,0.1,0.0941176470588235,0.00900469277255862,0.1,-0.0653508771929825,-0.0284435387323513,-0.06815333789018,-0.0327867468947625,-0.0578643502587451,0.081140350877193,0.0343022390051359,-0.0242014187525388,-0.096078431372549,-0.0145454545454545,-0.06,-0.0238888845969976,-0.0191732211450521,-0.0933757286698463,-0.00974984930681133,-0.0346031703112833,-0.0431168831168831,-0.0389593174017366,0,-0.0171153846153846,-0.0666666666666667,-0.0666424309314339,-0.0693821569588311,-0.0693821569588311,-0.0693821569588311,-0.0701149425287356,-0.0640908461431935,0.0616632860040568,-0.102338361433283,-0.00368455074337427,-0.0426521426741173
"KLF4",0.0108152734778122,0.0108152734778122,0.0020339985218034,0.00509090909090909,0.00909090909090909,0.209256603678148,0.1,0.114644406025596,0.00308099308099308,0.0229166666666667,0.013239247311828,0.0166666666666667,0.0333333333333333,0.0231086373943517,0.0176470588235294,-0.00666666666666667,-0.00666666666666667,-0.00328317373461012,0,0.0132385653958247,0.1,0.110909090909091,0.0168048427675958,0.12,-0.0927272727272727,-0.0052244008714597,-0.0919133823311794,-0.0240877939265036,-0.0655637337276781,0.103253588516746,0.0107655263277452,-0.0100852846120357,-0.110909090909091,0,-0.0333333333333333,-0.00153287977709556,0.00328317373461012,-0.107816307403936,-0.0102215431627196,-0.00987659086053267,-0.0176470588235294,-0.0139582055757347,0,-0.0259259259259259,-0.08,-0.0813499245852187,-0.0828205128205128,-0.0828205128205128,-0.0828205128205128,-0.0847619047619048,-0.0773544973544974,0.0579188107489994,-0.209325338166802,-0.00642424242424242,-0.0294177397787075
"HEY1",0.0108152734778122,0.0108152734778122,0.0020339985218034,0.00509090909090909,0.00909090909090909,0.209256603678148,0.1,0.114644406025596,0.00308099308099308,0.0229166666666667,0.013239247311828,0.0166666666666667,0.0333333333333333,0.0231086373943517,0.0176470588235294,-0.00666666666666667,-0.00666666666666667,-0.00328317373461012,0,0.0132385653958247,0.1,0.110909090909091,0.0168048427675958,0.12,-0.0927272727272727,-0.0052244008714597,-0.0919133823311794,-0.0240877939265036,-0.0655637337276781,0.103253588516746,0.0107655263277452,-0.0100852846120357,-0.110909090909091,0,-0.0333333333333333,-0.00153287977709556,0.00328317373461012,-0.107816307403936,-0.0102215431627196,-0.00987659086053267,-0.0176470588235294,-0.0139582055757347,0,-0.0259259259259259,-0.08,-0.0813499245852187,-0.0828205128205128,-0.0828205128205128,-0.0828205128205128,-0.0847619047619048,-0.0773544973544974,0.0579188107489994,-0.209325338166802,-0.00642424242424242,-0.0294177397787075
"FOXC2",0.0108152734778122,0.0108152734778122,0.0020339985218034,0.00509090909090909,0.00909090909090909,0.209256603678148,0.1,0.114644406025596,0.00308099308099308,0.0229166666666667,0.013239247311828,0.0166666666666667,0.0333333333333333,0.0231086373943517,0.0176470588235294,-0.00666666666666667,-0.00666666666666667,-0.00328317373461012,0,0.0132385653958247,0.1,0.110909090909091,0.0168048427675958,0.12,-0.0927272727272727,-0.0052244008714597,-0.0919133823311794,-0.0240877939265036,-0.0655637337276781,0.103253588516746,0.0107655263277452,-0.0100852846120357,-0.110909090909091,0,-0.0333333333333333,-0.00153287977709556,0.00328317373461012,-0.107816307403936,-0.0102215431627196,-0.00987659086053267,-0.0176470588235294,-0.0139582055757347,0,-0.0259259259259259,-0.08,-0.0813499245852187,-0.0828205128205128,-0.0828205128205128,-0.0828205128205128,-0.0847619047619048,-0.0773544973544974,0.0579188107489994,-0.209325338166802,-0.00642424242424242,-0.0294177397787075
"Ecadherin",0.0117631407763904,0.0117631407763904,0.00293815765381063,0.00642424242424242,0.00509090909090909,0.112859330065684,0.08,0.109902137984359,0.00587428917037855,0.013239247311828,0.0211132630598595,0.0229166666666667,0.0166666666666667,0.0287266149224416,-0.00328317373461012,-0.00666666666666667,-0.00642453591606134,0.0139582055757347,0.0176470588235294,0.00153287977709556,0.1,0.110909090909091,0.0120580073245579,0.110909090909091,-0.103253588516746,0.00427280583245092,-0.100463568204785,-0.0355868908560641,-0.0758612165652067,0.0919133823311794,0.00275637300966741,-0.0201505222634802,-0.107816307403936,-0.0176470588235294,0,-0.00987659086053267,-0.0132385653958247,-0.106639836815701,-0.00820812034392769,-0.00352738451132632,0.00328317373461012,-0.00195820557573471,-0.0333333333333333,-0.0195968120018753,-0.0847619047619048,-0.0835845614567271,-0.0813499245852187,-0.0813499245852187,-0.0813499245852187,-0.0773544973544974,-0.0799518999519,0.0513398633805784,-0.210863799705263,-0.0020339985218034,-0.0172764594255067
"cateninmemb",0.0117631407763904,0.0117631407763904,0.00293815765381063,0.00642424242424242,0.00509090909090909,-0.14911100678278,0.08,0.109902137984359,0.00587428917037855,0.013239247311828,0.0211132630598595,0.0229166666666667,0.0166666666666667,0.0287266149224416,-0.00328317373461012,-0.00666666666666667,-0.00642453591606134,0.0139582055757347,0.0176470588235294,0.00153287977709556,0.1,0.110909090909091,0.0120580073245579,0.110909090909091,-0.103253588516746,0.00427280583245092,-0.100463568204785,-0.0355868908560641,-0.0758612165652067,0.0919133823311794,0.00275637300966741,-0.0201505222634802,-0.107816307403936,-0.0176470588235294,0,-0.00987659086053267,-0.0132385653958247,-0.106639836815701,-0.00820812034392769,-0.00352738451132632,0.00328317373461012,-0.00195820557573471,-0.0333333333333333,-0.0195968120018753,-0.0847619047619048,-0.0835845614567271,-0.0813499245852187,-0.0813499245852187,-0.0813499245852187,-0.0773544973544974,-0.0799518999519,0.0513398633805784,0.125095391641958,-0.0020339985218034,-0.0172764594255067
"miR200",0.10130376344086,0.10130376344086,0.000929276436756248,0.00196078431372549,0,0.00637738166298426,0.02,0.0684492623843337,0.000659082223594085,0.0103691983122363,0.0125431113557145,0.0141666666666667,0.0075,0.00460358297286855,0.008,-0.000884955752212389,-0.000571476128387938,0.0150422535211268,0.02,0.00725720222654933,0,0.0142857142857143,-0.000899840899840899,0.0142857142857143,-0.00916256157635468,-0.068821628269481,-0.00622081211210376,-0.0649054776420598,-0.0107225565762151,0.00226600985221675,-0.0117568129145688,-0.0177320029125833,-0.00974025974025974,-0.02,0,-0.0128127577821049,-0.0139987752602572,-0.0104205318491033,-2.82485875706215e-05,-0.0087218486911958,-0.00695652173913044,-0.00844884692772017,-0.02,-0.101173222912353,-0.0147368421052632,-0.075940048462846,-0.0741944125526215,-0.0741944125526215,-0.0741944125526215,-0.0118796992481203,-0.0137664917009505,-0.00622501611863314,-0.0912324388869495,-0.000347881087919039,0.0596009759996634
"Destcompl",0.115313679279914,0.115313679279914,0.1173884217934,0.113800140745954,0.114489795918367,0.0521892763746434,-0.104761904761905,-0.113165170896439,0.0858439492042387,-0.0582269980233175,-0.0661573655281531,-0.0691078270388615,-0.060536398467433,0.0301911429086312,0.00575125027179822,0.0263492063492064,0.0259983291562239,-0.0170210269559246,-0.023015873015873,0.000154235346425086,-0.133333333333333,-0.0503030303030303,0.0384842405487099,-0.0533333333333333,0.0924481002741872,0.0152136307159206,0.0883682013458959,0.0380557164852384,-0.0417803583072162,-0.0761437524481003,-0.00893727476823779,-0.0644118653027243,0.0464778936910085,0.023015873015873,-0.00555555555555556,0.0120375454754927,0.0166368094296943,0.0460559527627384,-0.0180491303568227,0.00255258882072475,-0.00575125027179822,0.00013791007280767,0.0777777777777778,-0.114009197362076,0.113457556935818,0.124208209244167,0.119812604848562,0.119812604848562,0.119812604848562,0.101745845224106,0.107114972740885,-0.0825021826252511,-0.0182465668146592,-0.11906329864069,0.0288734977543832
"AXIN2",0.166429698281953,0.166429698281953,0.148569813716868,0.14283950617284,0.136666666666667,0.0708718179362694,-0.166666666666667,0.281246172616404,0.121157603440309,-0.0999542124542125,-0.0937247042574911,-0.0981684981684982,-0.107692307692308,0.136878077120013,-0.124961240310078,0.0239245456636761,0.0255118472509777,-0.111168136861802,-0.113333333333333,-0.120316401846029,-0.133333333333333,-0.0473170731707317,0.140974799427508,-0.04,0.148070175438596,0.133460018057719,0.150241990110411,0.0929898470254266,-0.0652030327205971,-0.156998746867168,-0.123777603125429,0.153171891538888,0.048251652609984,0.113333333333333,0.133333333333333,0.113165170896439,0.111168136861802,0.0461826870927427,-0.0125597489694853,0.118223536655194,0.124961240310078,0.120602099125953,0.1,-0.156986558911321,0.16231884057971,0.180422428726382,0.18252216625919,0.18252216625919,0.18252216625919,0.166666666666667,0.161111111111111,-0.118719594259566,0.0844108850237083,-0.144609417677264,0.169611267578087
"TWIST1",0.17159615756107,0.17159615756107,0.164733566122302,0.165872518286311,0.162424242424242,0.267300503498143,0.25,0.155554284425252,0.127809104566258,0.227372907153729,0.228850739666044,0.234222222222222,0.222222222222222,0.132660276138537,0.103174603174603,0.137869687869688,0.138859786879589,0.10843776106934,0.114285714285714,0.105421890195025,0.2,0.0356521739130435,0.147218703236783,0.04,-0.0562962962962963,-0.0687407377138499,-0.0514341772832339,-0.00813183993592051,-0.00368675772839314,0.0486039886039886,-0.00177948717248797,-0.0862077902884545,-0.0303890160183066,-0.114285714285714,-0.1,-0.108331537974505,-0.107429922323539,-0.0308865284561176,-0.144092630533309,-0.106203878400037,-0.103174603174603,-0.10683776106934,-0.233333333333333,-0.179539295392954,-0.242307692307692,-0.133010930915933,-0.130271204888536,-0.130271204888536,-0.130271204888536,-0.242307692307692,-0.242307692307692,-0.0498112617105752,-0.236291750040934,-0.165872518286311,-0.095352909171617
"SMAD",0.198986795526186,0.198986795526186,0.178991941514579,0.1780348759222,0.173809523809524,0.0575216635138973,0.161111111111111,0.0281183787222164,0.101749758485569,0.148081039755352,0.149939775814831,0.150833333333333,0.145833333333333,0.148661103499813,0.0365079365079365,0.134097135740971,0.0336209452647809,0.0422771672771673,0.0476190476190476,0.0243296833885069,0.15,0.0447004608294931,0.117714054314861,0.0285714285714286,0.0657142857142857,0.076146439652382,0.0675752599890531,0.0502271521975623,-0.00668676470316248,-0.0691625615763547,-0.108897500349113,-0.0417971821057509,-0.0516772050155396,-0.0342857142857143,-0.02,-0.027993184066933,-0.0290569561157796,-0.0497541280924627,-0.101824482002687,-0.0253589388794963,-0.0231746031746032,-0.0379606205145773,-0.133333333333333,-0.198491736930033,-0.184920634920635,-0.18226629769143,-0.17930577137564,-0.17930577137564,-0.17930577137564,-0.18688141923436,-0.18688141923436,-0.173151434486838,-0.0454409836276538,-0.178593535140077,-0.150486154057583
"DELTA",0.215458937198068,0.215458937198068,0.215111111111111,0.2,0.2,0.197859649122807,0,0.134285714285714,0.109090909090909,0.0583333333333333,0.0506410256410256,0.0333333333333333,0,0.158974358974359,0.1,0.0333333333333333,0.0380952380952381,0.08,0,0.103076923076923,0,0,0.141666666666667,0.1,0.1,0.063,0.0657142857142857,0.0290346907993967,-0.0328571428571428,-0.08,0.0251948051948052,-0.0608185328185328,0.02,0,0,-0.0818648018648019,-0.08,-0.0466666666666667,0.0666666666666667,-0.0917549117549118,-0.1,-0.103076923076923,0,-0.211111111111111,0,-0.14,-0.14,-0.14,-0.14,-0.0333333333333333,-0.0666666666666667,-0.14,-0.190190232302908,-0.211111111111111,-0.0908045977011494
