"","ZEB1","Ecadherin","cateninmemb","GSK3","miR200","AXIN2","GLI","Frizzled","DSH","TCFLEF","cateninnuc","Destcompl","cMet","TWIST1","STAT","LIV1","NOTCHic","NOTCH","Csl","SOSGRB2","TGF","CDC42","TGFR","PAK1","FOXC2","SHH","Patched","SMO","HEY1","RAS","RAF","SNAI2","SMAD","NFB","TrCP","SUFU","ILK","IKK","AKT","PI3K","DELTA","Csn","FUS","SNAI1","ZEB2","Jagged","EGR1","cfos","RKIP","ERK","MEK","SRC","CD44","Wnt","KLF4"
"CDC42",0.0870517698604866,-0.162734068434969,-0.164833204333767,-0.073538961038961,0.212027841439606,-0.128390804597701,-0.0962962962962963,-0.1,-0.1,-0.098998998998999,-0.0993693693693694,-0.0932956006891364,-0.0962962962962963,-0.087982683982684,-0.1,-0.1,0.05,0.0515384615384615,0.05,-0.05,-0.0870002546473135,-0.0904761904761905,-0.088515406162465,0.0142857142857143,-0.0691576142652183,-0.0846333276440804,-0.0858678955453149,-0.0761904761904762,-0.0577961019490255,0.0601493171794463,0.0528322440087146,0.116347205106329,-0.0658986175115207,-0.116666666666667,-0.1,0.0666666666666667,0.0642857142857143,-0.0666666666666667,-0.0824561403508772,-0.0528322440087146,-0.0528322440087146,-0.0666666666666667,0.10952380952381,0.0346890240561127,-0.218440370498482,-0.0545486111111111,0.02,0,0.101934731934732,0.0217391304347826,0.0200442151805453,0.1,0.098998998998999,0.0962962962962963,-0.208698412698413
"TCFLEF",0.0311408825093036,0.181958262259773,0.190671036840587,0.12604981688903,0.168963820650568,0.564942124542124,0.205469070571372,0.200882352941176,0.205882352941176,0.11582772233278,0.114453151886044,0.172263314817934,0.215192307692308,0.0895623731778573,0.2125,0.2,0.195297305914236,0.187656109900947,0.187454168659334,0.271579302932596,0.0590374566589786,0.0657125819916518,0.0507593109636144,0.0564102564102564,0.0498072878811667,0.136009913959647,0.138463901689708,0.135238095238095,0.0374078091794335,0.0211179947265043,0.013102226001143,-0.113974917403706,0.00901865852997985,0.0542337662337662,0.0571428571428571,-0.133333333333333,0.00188000303789777,0.060685379136992,0.0498158139196007,-0.013102226001143,-0.013102226001143,0.0662337662337662,-0.14,0.0330890494907231,-0.216250487329435,-0.141692605430009,-0.0228571428571429,-0.0399303135888502,0.117533177205308,-0.0389779326364692,-0.0532636469221835,-0.2075,-0.212047653604257,-0.208574660633484,-0.113225744843392
"SNAI1",0.0883466445455678,-0.162061218282482,-0.165182613128772,-0.0729701041532725,0.215114974565213,-0.129485935881512,-0.0966012858178551,-0.0962962962962963,-0.0962962962962963,-0.0989555762659211,-0.0994718385271498,-0.0949575681076828,-0.098998998998999,-0.0868037542167977,-0.0962962962962963,-0.1,0.0548351648351648,0.0527943485086342,0.0515384615384615,-0.0525929385391369,-0.0888940938858116,-0.0870002546473135,-0.0919182874341987,-0.088515406162465,-0.0714255019224062,-0.0877692499741774,-0.0856333276440804,-0.0846333276440804,-0.0622428806605101,0.056829418687134,0.0546947717249009,0.117171102308013,-0.0653113858327523,-0.0824561403508772,-0.116666666666667,0.0761904761904762,0.0691244239631336,-0.0750487329434698,-0.0799098440545809,-0.0546947717249009,-0.0546947717249009,-0.0666666666666667,0.0858678955453149,-0.0636798256878125,-0.215898081409996,-0.0561032845142147,0.0217391304347826,0.0200442151805453,0.101146456662534,0.026710881847212,0.0226750074077501,0.098998998998999,0.0993693693693694,0.0967841011743451,-0.214254819419213
"NOTCHic",0.0869243156199678,-0.0373894627642564,-0.0284088583527001,-0.019600392641145,0.210728423792008,-0.0147836178496556,-0.00996165125197383,-0.0123076923076923,-0.02,-0.0148984348984349,-0.0132190455854578,-0.0125180120039933,-0.0153379953379953,-0.0763299221831361,-0.02,0,0.0767741935483871,0.0794057724957555,0.18,-0.0192822966507177,-0.0766736524895555,-0.0786666666666667,-0.0722150537634409,-0.0666666666666667,-0.0658591178406847,-0.0733968277137158,-0.0744720965309201,-0.0685897435897436,0.047190635451505,0.0133047761833369,0.0147826086956522,0.146232146833349,-0.0659883521754025,-0.1,-0.1,0.0666666666666667,0.0609523809523809,-0.0666666666666667,-0.0736434108527132,-0.0147826086956522,-0.0147826086956522,-0.0666666666666667,0.0916666666666667,0.0385409035409035,-0.215072463768116,-0.0791711501645277,0.02,0.02,0.101244069189674,0.0271428571428571,0.03,0.0123076923076923,0.012041292041292,0.0153379953379953,-0.207056590752243
"TrCP",0.0899456605357278,-0.161280781237737,-0.166115255615819,-0.0688116883116883,0.214058298292398,-0.129019735415311,-0.0967841011743451,-0.0962962962962963,-0.1,-0.0993693693693694,-0.0989555762659211,-0.0972053751252266,-0.098998998998999,-0.0852652926783362,-0.1,-0.1,0.0515384615384615,0.0548351648351648,0.05,-0.052970297029703,-0.0919182874341987,-0.088515406162465,-0.0870002546473135,-0.0904761904761905,-0.0753645108169424,-0.0856333276440804,-0.0846333276440804,-0.0858678955453149,-0.0592666901843196,0.0546947717249009,0.0601493171794463,0.117070532411935,-0.0691244239631336,-0.0666666666666667,-0.0666666666666667,0.10952380952381,0.0658986175115207,-0.0824561403508772,-0.0750487329434698,-0.0601493171794463,-0.0601493171794463,-0.116666666666667,0.0761904761904762,0.039700957230337,-0.212331045739639,-0.0551621080436264,0,0.0217391304347826,0.0969623562441242,0.0200442151805453,0.026710881847212,0.0962962962962963,0.098998998998999,0.0962962962962963,-0.220173822534478
"PAK1",0.0899456605357278,-0.161280781237737,-0.166115255615819,-0.0688116883116883,0.214058298292398,-0.129019735415311,-0.0967841011743451,-0.0962962962962963,-0.1,-0.0993693693693694,-0.0989555762659211,-0.0972053751252266,-0.098998998998999,-0.0852652926783362,-0.1,-0.1,0.0515384615384615,0.0548351648351648,0.05,-0.052970297029703,-0.0919182874341987,-0.088515406162465,-0.0870002546473135,-0.0904761904761905,-0.0753645108169424,-0.0856333276440804,-0.0846333276440804,-0.0858678955453149,-0.0592666901843196,0.0546947717249009,0.0601493171794463,0.117070532411935,-0.0691244239631336,-0.0666666666666667,-0.0666666666666667,0.10952380952381,0.0658986175115207,-0.0824561403508772,-0.0750487329434698,-0.0601493171794463,-0.0601493171794463,-0.116666666666667,0.0761904761904762,0.039700957230337,-0.212331045739639,-0.0551621080436264,0,0.0217391304347826,0.0969623562441242,0.0200442151805453,0.026710881847212,0.0962962962962963,0.098998998998999,0.0962962962962963,-0.220173822534478
"LIV1",0.0899456605357278,-0.161280781237737,-0.166115255615819,-0.0688116883116883,0.214058298292398,-0.129019735415311,-0.0967841011743451,-0.0962962962962963,-0.1,-0.0993693693693694,-0.0989555762659211,-0.0972053751252266,-0.098998998998999,-0.0852652926783362,-0.1,-0.1,0.0515384615384615,0.0548351648351648,0.05,-0.052970297029703,-0.0919182874341987,-0.088515406162465,-0.0870002546473135,-0.0904761904761905,-0.0753645108169424,-0.0856333276440804,-0.0846333276440804,-0.0858678955453149,-0.0592666901843196,0.0546947717249009,0.0601493171794463,0.117070532411935,-0.0691244239631336,-0.0666666666666667,-0.0666666666666667,0.10952380952381,0.0658986175115207,-0.0824561403508772,-0.0750487329434698,-0.0601493171794463,-0.0601493171794463,-0.116666666666667,0.0761904761904762,0.039700957230337,-0.212331045739639,-0.0551621080436264,0,0.0217391304347826,0.0969623562441242,0.0200442151805453,0.026710881847212,0.0962962962962963,0.098998998998999,0.0962962962962963,-0.220173822534478
"EGR1",0.0899456605357278,-0.161280781237737,-0.166115255615819,-0.0688116883116883,0.214058298292398,-0.129019735415311,-0.0967841011743451,-0.0962962962962963,-0.1,-0.0993693693693694,-0.0989555762659211,-0.0972053751252266,-0.098998998998999,-0.0852652926783362,-0.1,-0.1,0.0515384615384615,0.0548351648351648,0.05,-0.052970297029703,-0.0919182874341987,-0.088515406162465,-0.0870002546473135,-0.0904761904761905,-0.0753645108169424,-0.0856333276440804,-0.0846333276440804,-0.0858678955453149,-0.0592666901843196,0.0546947717249009,0.0601493171794463,0.117070532411935,-0.0691244239631336,-0.0666666666666667,-0.0666666666666667,0.10952380952381,0.0658986175115207,-0.0824561403508772,-0.0750487329434698,-0.0601493171794463,-0.0601493171794463,-0.116666666666667,0.0761904761904762,0.039700957230337,-0.212331045739639,-0.0551621080436264,0,0.0217391304347826,0.0969623562441242,0.0200442151805453,0.026710881847212,0.0962962962962963,0.098998998998999,0.0962962962962963,-0.220173822534478
"Csl",0.0852668570564319,-0.0366917883456517,-0.0281030479551466,-0.0215149729062407,0.2153035871907,-0.0160689648933574,-0.0131874577035867,-0.0153379953379953,-0.0123076923076923,-0.0132190455854578,-0.014305380634057,-0.0109945506999104,-0.012041292041292,-0.0779100576233167,-0.0123076923076923,-0.02,0.0794057724957555,0.0794057724957555,0.0767741935483871,-0.0184692885206364,-0.0750863509022539,-0.0722150537634409,-0.0766736524895555,-0.0786666666666667,-0.0652844051970065,-0.074258896679233,-0.0733968277137158,-0.0744720965309201,0.0426154720528122,0.014040070300984,0.0133047761833369,0.146903287772947,-0.0648772410642914,-0.0666666666666667,-0.0666666666666667,0.0916666666666667,0.0659883521754025,-0.0736434108527132,-0.0728682170542636,-0.0133047761833369,-0.0133047761833369,-0.1,0.0685897435897436,0.0389361604578996,-0.211757546641044,-0.0791711501645277,0.02,0.0271428571428571,0.100783239696586,0.03,0.03,0.0153379953379953,0.0148984348984349,0.00996165125197383,-0.215628019323672
"DELTA",0.0884057971014493,-0.0387368421052632,-0.0276824583866837,-0.0187739463601533,0.198787878787879,-0.0142857142857143,-0.0123076923076923,0,0,-0.0153379953379953,-0.012041292041292,-0.012988416988417,-0.02,-0.071,0,0,0.18,0.18,0.2,-0.02,-0.0786666666666667,-0.1,-0.0666666666666667,0,-0.0671428571428571,-0.0685897435897436,-0.0916666666666667,-0.0666666666666667,0.05,0.0133333333333333,0.0133333333333333,0.144444444444444,-0.0642857142857143,-0.1,0,0,0.05,-0.0666666666666667,-0.1,-0.0133333333333333,-0.0133333333333333,0,0.1,0.0416666666666667,-0.210628019323672,-0.0748051948051948,0.1,0,0.0923076923076923,0.02,0.02,0,0.0123076923076923,0.02,-0.188888888888889
"STAT",0.094262148108302,-0.278397245233232,-0.253297271295324,-0.104612817089453,0.200657899265172,-0.15851285968933,-0.104994270435447,-0.101785714285714,-0.114285714285714,-0.110704065475359,-0.10796270671493,-0.0966275169999505,-0.110876623376623,-0.164327360129459,-0.114285714285714,0,0.00317965023847377,0.00997576674332814,0.00588235294117647,-0.141420361247947,-0.0831804891015417,-0.0852272727272727,-0.0720693779904306,-0.0727272727272727,-0.0769897750511248,-0.111091788433834,-0.111976744186047,-0.105,-0.0593333333333333,0.0751144247743911,0.0810845740281224,0.0085003885003885,-0.0704675440057749,-0.12,-0.1,0.1,0.0612721417069243,-0.0961904761904762,-0.0944955609362389,-0.0810845740281224,-0.0810845740281224,-0.1,0.125,0.0211752153108921,-0.210435718128026,-0.014100758396533,0,0.02,0.0796444658944659,0.0258823529411765,0.0355597722960152,0.101785714285714,0.106603119103119,0.110876623376623,-0.109427609427609
"SUFU",0.0506223002844701,-0.0676910319528181,-0.147063265777208,-0.0212402785614395,0.150693361719051,-0.271652155612634,-0.0180217964604582,-0.0194444444444444,-0.025,-0.117338677441458,-0.115343792530972,-0.0536230542044942,-0.117357065803668,-0.0878938804850908,-0.12,-0.1,-0.190757575757576,-0.184408369408369,-0.183939393939394,0.00810330020856337,0.0826774382339031,0.0806756756756757,0.089186313973548,0.105,-0.017619712411001,-0.0353049803049803,-0.0418686868686869,-0.0327777777777778,-0.0180569386960168,0.02353494900903,0.0295476072368781,-0.175307621204446,-0.0161568333906857,-0.118285714285714,-0.1,0.0133333333333333,0.00853558627752176,-0.110593406593407,-0.112606829412199,-0.0295476072368781,-0.0295476072368781,-0.114285714285714,0.0383333333333333,0.0645028546267191,-0.206960763924994,0.0955184172197594,0.0276923076923077,0.0367832167832168,0.0770804404235921,0.0310360903464352,0.0365680052400522,0.114444444444444,0.114349547006675,0.0213675213675214,-0.218089776730692
"FUS",0.0399942809607986,-0.06810297839978,-0.14569900929699,-0.0263816667362467,0.158871800380761,-0.272354731725047,-0.0213675213675214,-0.025,0,-0.114349547006675,-0.117338677441458,-0.0481472434655256,-0.114444444444444,-0.0938732619283897,-0.1,-0.1,-0.183939393939394,-0.190757575757576,-0.193939393939394,0.0213900134952767,0.089186313973548,0.105,0.0806756756756757,0.08,-0.00992740471869329,-0.0418686868686869,-0.0327777777777778,-0.0383333333333333,-0.0276954929128842,0.0295476072368781,0.0238707513416816,-0.174846184157643,-0.00853558627752176,-0.114285714285714,-0.1,0.133333333333333,0.0207936507936508,-0.118285714285714,-0.110593406593407,-0.0238707513416816,-0.0238707513416816,-0.1,0.0133333333333333,0.0575181868243341,-0.206960763924994,0.092905590616434,0.02,0.0276923076923077,0.0848355424644084,0.0367832167832168,0.0310360903464352,0.12,0.117357065803668,0.0194444444444444,-0.22108378870674
"NOTCH",0.0772946859903382,-0.0363174872665535,-0.0282060185961078,-0.0187739463601533,0.215930735930736,-0.0161725067385445,-0.0153379953379953,-0.02,0,-0.012041292041292,-0.0148984348984349,-0.01018467867066,-0.0123076923076923,-0.0794745762711864,0,0,0.18,0.0767741935483871,0.18,-0.0147368421052632,-0.0722150537634409,-0.0666666666666667,-0.0786666666666667,-0.1,-0.0610204081632653,-0.0744720965309201,-0.0685897435897436,-0.0916666666666667,0.0456521739130435,0.0147826086956522,0.0133333333333333,0.146031746031746,-0.0609523809523809,-0.0666666666666667,0,0.1,0.0642857142857143,-0.1,-0.0666666666666667,-0.0133333333333333,-0.0133333333333333,-0.1,0.0666666666666667,0.0401282051282051,-0.206924315619968,-0.0785088985088985,0,0.02,0.102652519893899,0.02,0.0271428571428571,0.02,0.0153379953379953,0.0123076923076923,-0.210628019323672
"TWIST1",-0.0832595753648385,0.40199724596671,0.310892871870986,0.124083616158833,0.141665443873808,0.18983065321775,0.139436257309942,0.138888888888889,0.133333333333333,0.140743781660588,0.141836363604234,0.123458324653529,0.138888888888889,0.0952711488867095,0.133333333333333,0.133333333333333,0.0185754985754986,0.0176321023490835,0.0237037037037037,0.277132351503061,0.21787565784306,0.213103448275862,0.218103448275862,0.22,0.210033514872225,0.23104036109799,0.227592085235921,0.226222222222222,0.0811386353759235,0.0226576910228232,0.0230001567762479,-0.178559827013561,0.0801322474589801,0.0923076923076923,0.1,-0.233333333333333,-0.0804622804622805,0.0827838827838828,0.0793940522754082,-0.0230001567762479,-0.0230001567762479,0.1,-0.222222222222222,0.13675378717996,-0.167617617617618,-0.0412663684931501,-0.0866666666666667,-0.0997101449275362,0.102441428528385,-0.11023646071701,-0.113719047781687,-0.138888888888889,-0.140896921017403,-0.137836257309942,-0.154398582447363
"ERK",-0.0170052559785837,-0.247198216699867,-0.23314707440089,-0.32391500328772,0.051217731659764,-0.160394764940921,-0.117837776258829,-0.11,-0.11,-0.127834496115453,-0.126584496115453,-0.110700093179218,-0.12488038277512,-0.2141530647156,-0.115789473684211,-0.1,0.229550700718584,0.23924599157731,0.231740481740482,-0.342346124210202,-0.0114636309639379,-0.00932799287939475,-0.00129879579910278,0.000952380952380949,0.000676193434814119,-0.203152758561253,-0.202669666773813,-0.190251366120219,-0.16357214989197,-0.258816584955199,-0.251885891885892,0.347973981431993,-0.202256921245622,-0.0176948051948052,-0.0142857142857143,0.173333333333333,0.191314672005501,-0.0235771581359817,-0.0189900021726789,0.251885891885892,0.251885891885892,-0.0267857142857143,0.185333333333333,0.212424124765984,-0.0841160436007192,-0.116615180219253,0.403448275862069,0.452384446074835,0.351471019429616,0.355717779408168,0.368809701413739,0.115789473684211,0.124117023996494,0.119090909090909,-0.0850633390054831
"MEK",-0.0266115551911822,-0.245928048488402,-0.229191232634561,-0.328365502833588,0.0553843983264306,-0.157955740550677,-0.119090909090909,-0.11,-0.1,-0.124117023996494,-0.127834496115453,-0.103747819597858,-0.115789473684211,-0.218175256116433,-0.1,-0.1,0.231740481740482,0.229550700718584,0.22020202020202,-0.32584126984127,-0.00129879579910278,0.000952380952380949,-0.00932799287939475,-0.0133333333333333,0.0111035438621645,-0.202669666773813,-0.190251366120219,-0.185333333333333,-0.168009009960229,-0.251885891885892,-0.258552558552559,0.347072268176808,-0.191314672005501,-0.0267857142857143,0,0.133333333333333,0.195373712595907,-0.0176948051948052,-0.0235771581359817,0.258552558552559,0.258552558552559,-0.0142857142857143,0.173333333333333,0.206405606247466,-0.0833286420259161,-0.117819999496361,0.4,0.403448275862069,0.352863777089783,0.452384446074835,0.355717779408168,0.115789473684211,0.12488038277512,0.11,-0.0788617886178862
"RKIP",-0.0178813964610234,-0.241738613151425,-0.227240013122366,-0.313869188337273,0.0451676800601768,-0.149847632442569,-0.11,-0.1,-0.1,-0.12488038277512,-0.124117023996494,-0.110860790309155,-0.115789473684211,-0.206087344028521,-0.1,0,0.22020202020202,0.231740481740482,0.211111111111111,-0.328063492063492,-0.00932799287939475,-0.0133333333333333,0.000952380952380949,0.0333333333333333,0.00119363395225464,-0.190251366120219,-0.185333333333333,-0.173333333333333,-0.151645373596593,-0.258552558552559,-0.233766233766234,0.346585650171941,-0.195373712595907,-0.0142857142857143,0,0.1,0.176561831407788,-0.0267857142857143,-0.0176948051948052,0.233766233766234,0.233766233766234,0,0.133333333333333,0.215379965221825,-0.0769794356767097,-0.115360983102919,0.35,0.4,0.339705882352941,0.403448275862069,0.452384446074835,0.1,0.115789473684211,0.11,-0.0729794356767097
