"","GSK3","Destcompl","SOSGRB2","TrCP","LIV1","AXIN2","ZEB2","ZEB1","STAT","Frizzled","GLI","Wnt","TCFLEF","cateninnuc","SRC","Csn","cMet","DELTA","RAS","SNAI1","EGR1","FUS","SHH","NFB","IKK","KLF4","ILK","SMAD","Jagged","NOTCH","Patched","SNAI2","miR200","NOTCHic","Csl","HEY1","PAK1","SMO","RKIP","TWIST1","AKT","cfos","MEK","ERK","CDC42","SUFU","RAF","PI3K","TGF","TGFR","FOXC2","CD44","DSH","cateninmemb","Ecadherin"
"TGFR",0.0721247925770435,-0.0625138434287246,-0.418502274204029,-0.0333333333333333,-0.1,-0.11286588550537,-0.149399848840288,-0.149399848840288,-0.1,-0.0942857142857143,-0.0917537605425615,-0.0923989218328841,-0.0795486142457344,-0.0799914840420143,-0.08,-0.0833333333333333,-0.0781132075471698,-0.119047619047619,-0.120802005012531,0.203563658117158,-0.233333333333333,-0.0566666666666667,0.0791249025910773,-0.0404761904761905,-0.0194235588972431,-0.150613399440631,0.0789247311827957,0.0714514215742548,-0.0853647734306632,-0.0229116017530803,0.0921192528735632,-0.0203425025510775,0.00161883444697684,-0.0164367816091954,-0.0233333333333333,-0.0829469672912036,0.368888888888889,0.101494252873563,-0.0959307359307359,0.213544220376961,0.0287258844786385,0.249122807017544,0.246565729391973,0.242456140350877,0.368888888888889,-0.00666666666666668,0.119047619047619,0.119047619047619,0.289190307328605,0.281388888888889,0.30289701375139,0.0781132075471698,0.114285714285714,0.0962176645517279,0.129424283793252
"TGF",0.0713912962445252,-0.0619090047190472,-0.419736842105263,0,0,-0.114153439153439,-0.149022490349721,-0.149022490349721,-0.1,-0.114285714285714,-0.0923989218328841,-0.0942857142857143,-0.0781132075471698,-0.0795486142457344,-0.1,-0.0333333333333333,-0.08,-0.122619047619048,-0.119047619047619,0.212708200890019,-0.233333333333333,-0.00666666666666668,0.0921192528735632,-0.0833333333333333,-0.0404761904761905,-0.138113399440631,0.0966666666666667,0.0789247311827957,-0.0933357879234168,-0.0164367816091954,0.101494252873563,-0.0208054655140404,0.0066041716903786,-0.0233333333333333,-0.0533333333333333,-0.0978723404255319,0.38,0.0566666666666667,-0.0930735930735931,0.20962962962963,0.0194235588972431,0.233333333333333,0.242456140350877,0.249122807017544,0.368888888888889,-0.0666666666666667,0.122619047619048,0.122619047619048,0.281388888888889,0.368888888888889,0.293726708074534,0.0781132075471698,0.1,0.0955248239050766,0.129764999295808
"MEK",0.230301287748096,0.221317895461073,-0.32031746031746,0.1,0,-0.0822550398499766,-0.147984878504247,-0.147984878504247,-0.0666666666666667,-0.0866666666666667,-0.0793240093240093,-0.0828205128205128,-0.0748590300820112,-0.0761601453236469,-0.0824561403508772,0.0571428571428571,-0.0786099865047233,0.11975246975247,0.118800088800089,0.290893748682512,-0.27,0.00666666666666667,0.0869705346619522,0.0321428571428571,0.0715367965367965,-0.13481587757054,0.0848915636107898,0.0645963606587603,-0.101189382764155,0.109844656559985,0.0863169398907104,-0.320773217630734,-0.000116293624907067,0.0974358974358975,0.0666666666666667,-0.077308978284588,0.28,0.0453333333333333,-0.103814683768244,0.24519379313497,-0.0938897377132671,0.266551724137931,0.182190022010271,0.277190022010271,0.265714285714286,-0.0333333333333333,-0.11975246975247,-0.11975246975247,0.281336088020036,0.270387182910547,0.294324961566341,0.0751134830082198,0.0666666666666667,-0.0828837261118466,-0.0250875044543502
"Destcompl",0.19912631695079,0.0940001131787531,-0.219264028282215,0.2,-0.283333333333333,-0.332259231077877,-0.146442484178377,-0.146442484178377,-0.29047619047619,-0.286366601435095,-0.274055574414025,-0.279435908365788,-0.271488253448998,-0.270366376855423,-0.286366601435095,0.2,-0.27890391486793,0.256800064585139,0.252875417803349,0.152171766962643,-0.255384615384615,-0.0865900383141762,0.113043943795752,0.21304347826087,0.221151586368978,-0.158471984955896,-0.083968253968254,-0.0913366750208856,-0.22299464438026,0.24410914661285,0.119040075323799,-0.248344654072819,0.0310341702129746,0.247115158636898,0.24385428907168,0.108077221923376,0.135918367346939,0.112304324028462,-0.123343622365425,0.213293872902806,-0.221151586368978,0.249324009324009,0.244060123317231,0.246591768886851,0.131090781140042,-0.0555555555555556,-0.256800064585139,-0.256800064585139,0.135397236934701,0.133722360087411,0.216708963043026,0.273680034270915,0.29047619047619,-0.215663917901781,0.0548361152610433
"ERK",0.228938889927933,0.219701961601621,-0.324200955463091,0.0571428571428571,-0.0666666666666667,-0.0820924382239603,-0.145307713149917,-0.145307713149917,-0.0824561403508772,-0.0828205128205128,-0.0780708764919291,-0.0793240093240093,-0.0761601453236469,-0.0758129231014247,-0.0786099865047233,0.0321428571428571,-0.0751134830082198,0.118800088800089,0.117149923783587,0.28279189683066,-0.266551724137931,-0.0453333333333333,0.0724777810387638,0.0715367965367965,0.0938897377132671,-0.148769365942633,0.0645963606587603,0.0563896737286691,-0.0927556478243962,0.10790559838824,0.0869705346619522,-0.320502703654179,-0.00697903872294628,0.109844656559985,0.0974358974358975,-0.0585376472265676,0.265714285714286,0.0863169398907104,-0.104650338364344,0.246719451942182,-0.0929723065206066,0.277190022010271,0.186368294990773,0.182190022010271,0.270387182910547,0.00666666666666667,-0.118800088800089,-0.118800088800089,0.286006417690366,0.281336088020036,0.299282226523606,0.0748590300820112,0.0866666666666667,-0.0822397518708163,-0.0256024375130525
"SRC",0.0142857142857143,-0.0343936136327441,-0.118571428571429,-0.1,0,-0.141302222788899,-0.12185534591195,-0.12185534591195,0,-0.1,-0.0918032786885246,-0.1,-0.0905837664934026,-0.0925971893121946,-0.1,-0.15,-0.1,0.00532332081768877,0.00229301778738574,0.122794075444561,-0.1,0.1,0.00579520697167756,-0.15,-0.126923076923077,0.0067829457364341,0.0100877192982456,-0.0250474158368895,0.00524464831804281,-0.0842857142857143,-0.0118518518518519,0.0662974628250685,-0.000196164543990621,-0.105714285714286,-0.12,-0.0596160211850381,0.266666666666667,-0.06,-0.204789833822092,0.131736768978148,0.0935897435897436,0.0727272727272727,0.0635029540689918,0.0616161616161616,0.216666666666667,0.1,-0.00532332081768877,-0.00532332081768877,0.23961038961039,0.221428571428571,0.245961718020542,0.0918032786885246,0.1,0.107535174375094,0.211368092691622
"NOTCH",0.0525165447579241,-0.00301115000180421,-0.164210526315789,0,0,-0.00862533692722372,-0.105958132045089,-0.105958132045089,0,-0.02,-0.00321678321678322,-0.0123076923076923,-0.00651348651348651,-0.0126359354930783,-0.02,-0.1,-0.0123076923076923,-0.0333333333333333,-0.0318840579710145,0.0734615384615385,-0.2,0.133333333333333,-0.000867269984917038,-0.133333333333333,-0.0777777777777778,-0.0763285024154589,0.0523809523809524,-0.00428571428571427,0.0341414141414141,-0.0545622119815668,0.0108974358974359,0.117175417175417,-0.0116017316017316,0.0228571428571429,-0.02,0.0376811594202899,0.1,-0.0583333333333333,-0.0584438549955791,0.0932542372881356,0.0333333333333333,0.18,0.168095238095238,0.146666666666667,0.0666666666666667,0.1,0.0333333333333333,0.0333333333333333,0.123698924731183,0.0946666666666667,0.131836734693878,0.00321678321678322,0,0.0137507481825747,0.0329784946236559
"GLI",-0.0968607204788411,-0.135590576765491,-0.425303988047351,-0.0833333333333333,-0.1,-0.102068236714976,-0.097931558286397,-0.097931558286397,-0.08,0.0496774193548387,-0.0512737696313941,0.050853889943074,-0.0732334628663883,-0.0723368699195862,-0.0703225806451613,-0.0277777777777778,-0.0703225806451613,-0.175322221668577,-0.175124201866597,0.12345507729516,-0.265714285714286,0.0291666666666667,-0.0821695442309477,-0.00146198830409356,-0.0157477025898078,-0.113193479193479,0.0327123220000605,0.0446042138919524,-0.018243516616853,-0.0294079196665404,-0.0735275689223057,0.0933639858506188,-0.0467837013347849,-0.017026967285588,-0.00452696728558797,-0.0393390612405893,0.271666666666667,-0.0449561403508772,-0.0810870228745105,0.116814197875318,0.0360602025898078,0.282380952380952,0.290531917437995,0.288874458874459,0.299252873563218,0.0666666666666667,0.175322221668577,0.175322221668577,0.300288759615753,0.306171112556929,0.209640952872377,0.072908787541713,-0.04,0.105524733030767,0.122424082160636
"ZEB2",-0.197327898951903,-0.138544835340365,-0.116501831501832,-0.1,-0.1,-0.0955468905401465,-0.0940372961000996,-0.0940372961000996,-0.08,-0.0775757575757576,-0.073364983640213,-0.0724475524475524,-0.0676475029514318,-0.0672578925618214,-0.0666666666666667,-0.0666666666666667,-0.0640350877192983,-0.0518831168831169,-0.0508124530715537,-0.0458087256294836,-0.0416666666666667,-0.0214285714285714,-0.0210864745011086,-0.0166666666666667,-0.0144444444444445,-0.0118594543263085,-0.00992364443068668,-0.00809437613800376,-0.00557870958185204,-0.00484068936527953,0.000731707317073177,0.00502988215637488,0.00735367112169118,0.00882051282051282,0.0128205128205128,0.0167911121136928,0.0194805194805195,0.03,0.0328180354267311,0.0329395846757087,0.0359397715472482,0.0364035087719298,0.0416356094800337,0.0428551216751556,0.0431168831168831,0.05,0.0518831168831169,0.0518831168831169,0.0528674500103071,0.0560420531849103,0.056982128982129,0.0658869395711501,0.0909090909090909,0.0933538382200941,0.0953855396815927
"NOTCHic",0.0508636521959406,-0.00467781666847087,-0.173301435406699,-0.1,0,-0.00862533692722372,-0.090402576489533,-0.090402576489533,-0.02,-0.0123076923076923,-0.00429205203398752,-0.00321678321678322,-0.0126359354930783,-0.0133992942717043,-0.0123076923076923,-0.133333333333333,-0.00321678321678322,-0.0318840579710145,-0.0294210037838224,0.05494301994302,-0.18,0.0583333333333333,-0.0406522162214762,-0.0777777777777778,-0.0333333333333333,-0.104899930986888,-0.00428571428571427,-0.0237101747173689,0.0546712154659174,-0.0624569488236721,-0.000867269984917038,0.11737581797702,-0.0306768761104021,-0.0545622119815668,0.0228571428571429,0.0884503901895206,0.0666666666666667,0.0108974358974359,-0.0598523056998045,0.0951410297409658,0.0403100775193798,0.146666666666667,0.17952380952381,0.168095238095238,0.0946666666666667,0.133333333333333,0.0318840579710145,0.0318840579710145,0.130705294157934,0.123698924731183,0.138288347597103,0.00651348651348651,0.02,0.0135479084259825,0.0309876829850648
"cfos",0.0176623376623377,-0.114015640761655,-0.180555555555556,-0.1,-0.1,-0.102085385878489,-0.0900687958799339,-0.0900687958799339,-0.1,-0.08,-0.0688888888888889,-0.0688888888888889,-0.0775321856509975,-0.0779025560213679,-0.08,-0.133333333333333,-0.0688888888888889,-0.0308823529411765,-0.0296628407460545,0.0569762726724752,-0.28,0.0333333333333333,-0.0235364396654719,-0.0583333333333333,-0.0208333333333333,-0.105015873015873,-0.00317460317460316,-0.024142345110087,0.0410416666666667,-0.0453846153846154,0.0172043010752688,0.0908597971371694,-0.0328155504626093,-0.0346153846153846,-0.05,-0.0105947026486757,0.0571428571428571,0.0333333333333333,-0.0582750582750583,0.0938961038961039,0.031359649122807,0.16,0.184907885040531,0.17304347826087,0.080952380952381,0.133333333333333,0.0308823529411765,0.0308823529411765,0.123376623376623,0.114285714285714,0.141235225797636,0.0715915915915916,0.1,0.0978838377117044,0.111620188032474
"CDC42",0.0176623376623377,-0.114015640761655,-0.180555555555556,-0.1,-0.1,-0.102085385878489,-0.0900687958799339,-0.0900687958799339,-0.1,-0.08,-0.0688888888888889,-0.0688888888888889,-0.0775321856509975,-0.0779025560213679,-0.08,-0.133333333333333,-0.0688888888888889,-0.0308823529411765,-0.0296628407460545,0.0569762726724752,-0.18,0.0333333333333333,-0.0235364396654719,-0.0583333333333333,-0.0208333333333333,-0.105015873015873,-0.00317460317460316,-0.024142345110087,0.0410416666666667,-0.0453846153846154,0.0172043010752688,0.0908597971371694,-0.0328155504626093,-0.0346153846153846,-0.05,-0.0105947026486757,0.157142857142857,0.0333333333333333,-0.0582750582750583,0.0938961038961039,0.031359649122807,0.16,0.184907885040531,0.17304347826087,0.080952380952381,0.133333333333333,0.0308823529411765,0.0308823529411765,0.123376623376623,0.114285714285714,0.141235225797636,0.0715915915915916,0.1,0.0978838377117044,0.111620188032474
"ZEB1",-0.10420432332162,-0.127075829097212,-0.0964912280701754,-0.0333333333333333,0,-0.0781356812793282,-0.087154351072686,-0.087154351072686,0.00769230769230769,0.0121951219512195,0.0169334248853987,0.0179643527204503,0.0202924498076212,0.0201946024494999,0.0198874296435272,-0.0333333333333333,0.0238089982709782,-0.0241133525445069,-0.023640911599625,-0.0296969968069857,-0.05,-0.0541666666666667,0.0217658318584632,0.0140350877192982,0.0222318090307737,-0.102233419448728,-0.00151444184231069,0.000889404311535461,-0.00470700247171308,0.0284435261707989,0.044897504456328,-0.0470151035530137,-0.000866688802385659,0.0416666666666667,0.0416666666666667,0.0106049132214935,0.0687739463601533,0.0723484848484849,0.0164877289055239,0.077238652909698,-0.00223180903077365,0.054,0.0556169992225965,0.0551764705882353,0.0905130767949359,0.00833333333333333,0.0241133525445069,0.0241133525445069,0.0995981721224869,0.101172975272093,0.0963826315741942,-0.0224201093820893,0,0.0224612735515681,0.0857915227044018
"HEY1",0.116731097005073,0.113454692999211,0.0215980560320183,-0.1,-0.0333333333333333,0.0524229049762898,-0.0821001031991744,-0.0821001031991744,-0.0333333333333333,-0.0392156862745098,-0.0479165683915908,-0.0461924304605563,-0.0477977816311249,-0.0464279186174262,-0.0392156862745098,0,-0.0461924304605563,0.0324358974358974,0.0324358974358974,0.0576798891153897,0.04,-0.0333333333333333,0.0182795698924731,0.02,0.00571428571428572,-0.0703703703703704,-0.0453333333333333,-0.0380869565217391,-0.034041161237563,-0.03101760962857,0,0.0559348898641967,0.031986161986162,-0.0361722488038278,-0.0309090909090909,0.0287394957983193,0.0590909090909091,0,-0.0529684601113173,0.0519651416122004,-0.00941798941798942,-0.0309090909090909,-0.0181134571916864,-0.019144385026738,0.0550909090909091,0,-0.0324358974358974,-0.0324358974358974,0.0476762749445676,0.0510909090909091,0.0138194304407251,0.0488011261127302,0.0333333333333333,-0.0309427609427609,-0.0074383337223365
"DELTA",0.0547892720306513,-0.00488030888030888,-0.18,0,0,-0.0142857142857143,-0.0763285024154589,-0.0763285024154589,0,0,-0.0123076923076923,-0.02,-0.00321678321678322,-0.00651348651348651,0,0,-0.02,-0.0333333333333333,-0.0333333333333333,0.075,-0.1,0.1,0.0108974358974359,-0.1,-0.133333333333333,-0.0111111111111111,0.0666666666666667,0.0523809523809524,0.023030303030303,0.0228571428571429,-0.0583333333333333,0.114529914529915,0.016969696969697,-0.02,0,0.0333333333333333,0.2,-0.133333333333333,-0.0205128205128205,0.078,0.0777777777777778,0.2,0.146666666666667,0.18,0.1,0,0.0333333333333333,0.0333333333333333,0.0946666666666667,0.0666666666666667,0.0971428571428571,0.0123076923076923,0,0.00799158587890982,0.0273333333333333
"Csl",0.051010927600948,-0.00583564725957386,-0.190374606138406,-0.133333333333333,-0.02,-0.0124813780583291,-0.0716180461027927,-0.0716180461027927,-0.0123076923076923,-0.00321678321678322,-0.0099372133243101,-0.00429205203398752,-0.0133992942717043,-0.0120842571076105,-0.00321678321678322,-0.0777777777777778,-0.00651348651348651,-0.0294210037838224,-0.0283180626073518,0.0486189092710832,-0.146666666666667,-0.0108974358974359,-0.0518591127732003,-0.0333333333333333,-0.0403100775193798,-0.0906142167011732,-0.0237101747173689,-0.00537684138403562,0.0577962154659174,-0.0760933124600357,-0.0406522162214762,0.116853819468445,-0.0291518216441712,-0.0624569488236721,-0.0545622119815668,0.110019017640501,0.0946666666666667,-0.000867269984917038,-0.0409582964832146,0.089497688883178,0.065891472868217,0.168095238095238,0.182784679089027,0.17952380952381,0.123698924731183,0.0583333333333333,0.0294210037838224,0.0294210037838224,0.123222300960655,0.130705294157934,0.129092945298253,0.0126359354930783,0.0123076923076923,0.0121717616369916,0.0280807062408788
"TrCP",0.0176623376623377,-0.114617144521054,-0.197387238723872,-0.133333333333333,-0.1,-0.10523003996654,-0.0698115611532458,-0.0698115611532458,-0.08,-0.0688888888888889,-0.0742547425474255,-0.0688888888888889,-0.0779025560213679,-0.0765232456765403,-0.0688888888888889,-0.0583333333333333,-0.0715915915915916,-0.0296628407460545,-0.0278446589278727,0.0505323585913296,-0.16,-0.0333333333333333,-0.0365364396654719,-0.0208333333333333,-0.031359649122807,-0.0919011189175124,-0.024142345110087,-0.00736815156169994,0.045336145194274,-0.0607692307692308,-0.0235364396654719,0.0908597971371694,-0.0328155504626093,-0.0453846153846154,-0.0346153846153846,0.0129347091160302,0.080952380952381,0.0172043010752688,-0.0389380417004726,0.0868308865047996,0.0591374269005848,0.17304347826087,0.186241218373864,0.184907885040531,0.114285714285714,0.0333333333333333,0.0296628407460545,0.0296628407460545,0.115179902065148,0.123376623376623,0.130890398211429,0.0775321856509975,0.08,0.0966017864296531,0.108367592876765
"PAK1",0.0176623376623377,-0.114617144521054,-0.197387238723872,-0.133333333333333,-0.1,-0.10523003996654,-0.0698115611532458,-0.0698115611532458,-0.08,-0.0688888888888889,-0.0742547425474255,-0.0688888888888889,-0.0779025560213679,-0.0765232456765403,-0.0688888888888889,-0.0583333333333333,-0.0715915915915916,-0.0296628407460545,-0.0278446589278727,0.0505323585913296,-0.16,-0.0333333333333333,-0.0365364396654719,-0.0208333333333333,-0.031359649122807,-0.0919011189175124,-0.024142345110087,-0.00736815156169994,0.045336145194274,-0.0607692307692308,-0.0235364396654719,0.0908597971371694,-0.0328155504626093,-0.0453846153846154,-0.0346153846153846,0.0129347091160302,0.080952380952381,0.0172043010752688,-0.0389380417004726,0.0868308865047996,0.0591374269005848,0.17304347826087,0.186241218373864,0.184907885040531,0.114285714285714,0.0333333333333333,0.0296628407460545,0.0296628407460545,0.115179902065148,0.123376623376623,0.130890398211429,0.0775321856509975,0.08,0.0966017864296531,0.108367592876765
