"","PAK1","CDC42","ZEB2","ZEB1","HEY1","MEK","IKK","SHH","EGR1","Csn","cfos","NOTCH","Csl","NOTCHic","RKIP","TrCP","RAF","DELTA","KLF4","miR200","AXIN2","Destcompl","SRC","TCFLEF","Frizzled","cateninnuc","cMet","CD44","Wnt","GLI","DSH","STAT","cateninmemb","Ecadherin","LIV1","GSK3","SNAI2","RAS","PI3K","SUFU","TWIST1","Jagged","FUS","NFB","SMAD","ILK","Patched","SMO","ERK","AKT","SNAI1","SOSGRB2","TGF","TGFR","FOXC2"
"SOSGRB2",-0.107142857142857,-0.127142857142857,-0.0414035087719298,-0.0414035087719298,-0.133522727272727,0.0125931125931126,-0.315204678362573,-0.00967944688874921,0.0142857142857143,-0.3,0.00317460317460317,-0.306421747266818,-0.272727272727273,-0.288111888111888,0.0415204678362573,-0.3,-0.302636534839925,-0.302636534839925,-0.0414035087719298,0.0876609841317894,-0.115573432343234,0.0784489187173751,-0.114285714285714,-0.0937212596709164,-0.114285714285714,-0.0847346439921401,-0.0751552795031056,-0.0853002070393375,-0.0726190476190476,-0.0827639751552795,-0.1,0.1,0.0646875316875317,-0.0883882787764246,0,0.213729396674698,-0.202422804439091,0.302636534839925,0.302636534839925,0,0.0570144927536232,-0.00675987664257695,0,0.288888888888889,0.0237115572599444,0.0202150537634409,0.0027027027027027,0,-0.000471900471900472,0.323538011695906,0.0647455579246624,0.0936111111111111,0.114676954251422,0.130989010989011,0.109365079365079
"Patched",0.0333333333333333,-0.0666666666666667,-0.0333333333333333,-0.0333333333333333,-0.00769230769230769,-0.152307692307692,0.1,-0.199166666666667,-0.1,0,-0.1,-0.00909090909090909,0,0,-0.182857142857143,0,0.0115384615384615,0.0115384615384615,-0.0166666666666667,0.154761904761905,0.285281385281385,0.0597002997002997,0.1,0.137777777777778,0.2,0.142632146709817,0.15,0.143333333333333,0.25,0.25,0.2,-0.1,0.0582258064516129,0.0962594390507012,-0.1,0.0732600732600732,0.25967816091954,-0.0115384615384615,-0.0115384615384615,0.2,0.0259259259259259,0.119153439153439,0.3,-0.1,0.01,0,0.186666666666667,0.266666666666667,0.16,-0.114285714285714,0.196774193548387,0.0333333333333333,0.0666666666666667,0.0666666666666667,0.21
"FUS",-0.0666666666666667,-0.0666666666666667,-0.028217392811341,-0.028217392811341,-0.016802038541169,-0.162548026685958,0.0942857142857143,-0.205732323232323,-0.16,0.1,-0.152307692307692,-0.0190909090909091,-0.00909090909090909,-0.0190909090909091,-0.183086237931599,0.1,-8.94454382826496e-05,-8.94454382826496e-05,-0.0385245901639344,0.1584465770266,0.288386975343497,0.061859525638171,0.143333333333333,0.138120868514328,0.25,0.137849129383893,0.137777777777778,0.142632146709817,0.244444444444444,0.250213675213675,0.25,-0.15,0.061257753080674,0.0998322035454694,-0.1,0.0780397595931576,0.261996704135749,-0.000347235784424774,8.94454382826496e-05,0.266666666666667,0.0314849034436346,0.123972716261873,0.186666666666667,-0.114285714285714,0.0141167434715822,0.0147619047619048,0.204722222222222,0.199166666666667,0.161398601398601,-0.0904395604395604,0.206792163000319,0.0558029689608637,0.0822215832854131,0.0747747747747748,0.228239564428312
"ERK",-0.166666666666667,-0.148909657320872,-0.0279872426276701,-0.0279872426276701,-0.151658459468332,-0.0250870567205581,-0.246201935319582,-0.112548441947461,-0.126551724137931,-0.239285714285714,-0.115913426265591,-0.221893995677282,-0.23014763014763,-0.217738871023543,-0.0718996409588612,-0.214285714285714,-0.247749472749473,-0.247749472749473,-0.0302092022288212,0.0961560068705434,-0.111373548602632,0.00697670863692872,-0.0823886639676113,-0.0801391101218147,-0.0792307692307692,-0.0804168878995925,-0.0844865660655134,-0.074562901943376,-0.0813286713286713,-0.0715542352384458,-0.06,0.0631578947368421,0.0716451748317188,-0.0853966238210267,0.1,0.239024096749182,-0.311776944503804,0.248079505752773,0.247749472749473,0.1,0.0787771730775729,0.105872624703974,0.104,0.254437229437229,0.130738406470389,0.134385822883763,0.11351462552234,0.115475409836066,0.0225800929322573,0.254458816053527,0.106350994264099,0.199114193250116,0.160408012979812,0.159858562430361,0.152946527429286
"cateninnuc",-0.00971428571428571,-0.0158681318681319,-0.0270456731475179,-0.0270456731475179,-0.0152965406329689,-0.126454803383959,0.00818181818181818,-0.106379733171482,-0.129710144927536,0.0333333333333333,-0.131297446514838,-0.0599136550102258,-0.05323289391086,-0.067186382282953,-0.0239325744561477,0.0333333333333333,-0.00908325908325909,-0.00908325908325909,-0.0767116829394409,0.105677951395771,0.290241233155954,0.0620212081642172,0.166297591297591,0.157464196373019,0.167401092058626,0.0541778113964928,0.153254113036722,0.152460462243071,0.154357613797757,0.153567099963765,0.146853146853147,-0.146853146853147,0.0889988769781618,0.10323942461932,-0.154545454545455,0.0657950055083353,0.236650935914279,0.00807315807315808,0.00908325908325909,0.111111111111111,-0.100341048528854,0.167951177723738,0.101111111111111,-0.0181818181818182,0.00843562303998866,0.00720779220779221,0.108340517485207,0.102750455373406,0.123702509805977,-0.0113068181818182,0.0470330409747474,0.0891838303037329,0.0153837670636346,0.00839686750031578,0.0360915205013566
"FOXC2",-0.00909090909090909,0.0269090909090909,-0.0261609907120743,-0.0261609907120743,-0.00881588999236058,-0.0894029439329621,0.0247619047619048,0.0218413978494624,-0.12,0,-0.0745454545454545,-0.0313747348690376,-0.0472727272727273,-0.0262200956937799,-0.011698618841476,0.1,0.00692307692307693,0.00692307692307693,-0.0481481481481481,0.0671916971916972,0.0956221788207249,0.0298254527092632,-0.00784313725490196,-0.00254330059005013,-0.00784313725490196,-0.00291689959378612,-0.0101687186502508,0.0098312813497492,-0.0101687186502508,0.010520936522163,0.0333333333333333,-0.0333333333333333,-0.0249693802132827,0.0715732150172424,0.0333333333333333,0.0366652730837437,0.08284607750977,-0.0105995475113122,-0.00692307692307693,0,0.00610457516339869,0.0162509654263777,-0.0333333333333333,-0.02,-0.00614492753623188,0.004,-0.0229166666666667,-0.0166666666666667,0.0863101604278075,-0.0136507936507937,0.0189349157623874,0.0376500857632933,-0.004470066518847,-0.0069090909090909,-0.0100535502229392
"RAF",-0.133333333333333,-0.166666666666667,-0.0258900047824008,-0.0258900047824008,-0.145180023228804,-0.115913426265591,-0.239285714285714,-0.115475409836066,-0.08,-0.2,-0.13,-0.23014763014763,-0.188888888888889,-0.207070707070707,-0.0651960784313726,-0.2,-0.239935064935065,-0.239935064935065,-0.0298900047824008,0.0938469253431956,-0.112810595405532,0.00897850429370355,-0.1,-0.0844865660655134,-0.1,-0.074562901943376,-0.0631578947368421,-0.0823886639676113,-0.06,-0.0792307692307692,-0.1,0.1,0.0659434224140106,-0.0846590220771951,0,0.233806146572104,-0.31530920324066,0.249336774336774,0.239935064935065,0.1,0.0811883541295306,0.0985103888754143,0.1,0.214285714285714,0.1347548265738,0.127824133504493,0.104,0.1,0.126551724137931,0.254437229437229,0.10944928486239,0.208952380952381,0.148909657320872,0.166666666666667,0.143766578249337
"SUFU",-0.0666666666666667,-0.0747747747747748,-0.0248357502992637,-0.0248357502992637,-0.016802038541169,-0.162122494771064,0.0904395604395604,-0.207662825162825,-0.152307692307692,0.114285714285714,-0.161398601398601,-0.0262337662337662,-0.0190909090909091,-0.0190909090909091,-0.180229095074456,0.1,0.000347235784424774,0.000347235784424774,-0.046309021301659,0.157703082602808,0.286747631081202,0.06499615509059,0.137777777777778,0.137849129383893,0.244444444444444,0.139639410713816,0.142632146709817,0.138120868514328,0.250213675213675,0.245380961459028,0.25,-0.143333333333333,0.0598934966004557,0.100347136604172,-0.15,0.074697857279533,0.261798945401405,0.00471605535481573,-0.000347235784424774,0.186666666666667,0.0333405735467274,0.120884830276125,0.199166666666667,-0.0942857142857143,0.016195265411536,0.0141167434715822,0.205732323232323,0.204722222222222,0.162548026685958,-0.0817147282247953,0.210710391279706,0.0606980738559686,0.0812353899915275,0.0822215832854131,0.228487703386129
"Ecadherin",0.0269090909090909,0.0069090909090909,-0.024739189764207,-0.024739189764207,-0.00143333965679011,-0.0827362772662955,0.0136507936507937,0.0179043899754466,-0.0745454545454545,0.02,-0.0863101604278075,-0.0421554040140191,-0.0262200956937799,-0.0313747348690376,-0.00907689599503404,0,0.0105995475113122,0.0105995475113122,-0.0532114392873887,0.0666330379738201,0.0917046530475291,0.0334601218611737,-0.0101687186502508,-0.00291689959378612,-0.0101687186502508,0.00212511721293657,0.0098312813497492,-0.00254330059005013,0.010520936522163,-0.00214573014450367,-0.00784313725490196,0.00784313725490196,-0.0294565597004621,-0.0300820917013555,-0.0333333333333333,0.0320295114943397,0.0804980943670849,-0.00808558103086529,-0.0105995475113122,-0.0333333333333333,0.0126222660386315,0.00458048487717863,-0.0166666666666667,-0.0247619047619048,-0.00154444327473067,-0.00614492753623188,-0.0218413978494624,-0.0229166666666667,0.0894029439329621,-0.00975468975468976,0.0208336499396026,0.0494921910264512,-0.0133308260125179,-0.004470066518847,-0.0157743740215662
"SMO",-0.0666666666666667,-0.0666666666666667,-0.0214689265536723,-0.0214689265536723,-0.0124542124542125,-0.161398601398601,0.114285714285714,-0.204722222222222,-0.1,0.1,-0.16,-0.0190909090909091,0,-0.00909090909090909,-0.171746031746032,0,0.0115384615384615,0.0115384615384615,-0.05,0.153496081977095,0.285281385281385,0.0666770438863462,0.15,0.142632146709817,0.25,0.138120868514328,0.143333333333333,0.137777777777778,0.25,0.244444444444444,0.2,-0.1,0.0640510491700595,0.0973664501208119,-0.1,0.0703474519008499,0.262535303776683,8.94454382826496e-05,-0.0115384615384615,0.3,0.0288671023965142,0.119153439153439,0.266666666666667,-0.1,0.0147619047619048,0.01,0.199166666666667,0.186666666666667,0.152307692307692,-0.0942857142857143,0.208678955453149,0.0596491228070175,0.0747747747747748,0.0666666666666667,0.220344827586207
