"","TGF","PAK1","FOXC2","DELTA","TWIST1","cateninnuc","GLI","Jagged","SNAI1","MEK","RKIP","ERK","NOTCH","NOTCHic","SNAI2","IKK","FUS","Csn","SHH","TrCP","SUFU","SMO","ILK","SMAD","Patched","HEY1","NFB","cfos","AKT","EGR1","Csl","LIV1","Frizzled","AXIN2","Wnt","SRC","DSH","TCFLEF","cMet","CD44","STAT","cateninmemb","RAF","PI3K","RAS","Destcompl","Ecadherin","TGFR","CDC42","ZEB2","SOSGRB2","GSK3","KLF4","miR200","ZEB1"
"SMAD",0.111698432935524,0.107142857142857,0.113409372959756,0.0802266961568272,0.0463882511941415,-0.0474167011493147,-0.0710927960927961,-0.019069403714565,0.0215118013706723,-0.0490236226639077,0.0210900121206966,-0.0538313149716,-0.0311713191023536,-0.0351395730706075,0.196604376402251,0.0146591970121382,0.0333333333333333,-0.0111111111111111,-0.0206871070791128,0,-0.0583333333333333,0.0333333333333333,-0.00861002011686944,-0.0899614084545591,-0.0195718654434251,0.000324689100588965,-0.0126984126984127,0.0631336405529954,-0.0173258636788049,0.0857142857142857,0.0523809523809524,0.04,0.073015873015873,0.0486091979797333,0.0710927960927961,0.0463492063492063,0.0952380952380952,0.045491675820034,0.0463492063492063,0.0467128427128427,0.0685714285714286,0.0658472167968442,-0.0802266961568272,-0.0802266961568272,-0.0782530119463009,0.0189875473577955,0.0686805797077015,-0.107315962816002,-0.094466800804829,-0.0711662355747127,-0.0941437444543035,-0.055507997989201,-0.073958845829978,-0.200001736732988,-0.200793504719106
"Destcompl",-0.0817811770806326,-0.09,-0.145994694499689,-0.0552214807960596,0.0251430553625284,0.278289147925889,0.279832569502407,0.309240589489472,-0.231131886248713,-0.122922967604437,-0.211420023229904,-0.125032672245787,0.185070379693975,0.191282804543674,-0.306038913872867,-0.020547255329864,-0.2727969348659,-0.0380952380952381,0.267180635169565,-0.0666666666666667,0.255555555555556,-0.2727969348659,-0.162142857142857,0.15968671679198,0.271242530720823,0.145943458251151,0.0250517598343685,0.128857808857809,0.0178626915714748,0.137948717948718,-0.192369761065413,-0.283333333333333,-0.287442922374429,-0.137445932916282,-0.281502328315023,-0.287442922374429,-0.283333333333333,-0.279207046956996,-0.281970285558509,-0.280850882573434,-0.283333333333333,0.226307248975468,0.0552214807960596,0.0552214807960596,0.0536516220833437,0.117456571526475,-0.0408411204574824,0.0812885662431942,0.086551724137931,-0.0691405664948681,-0.00901578252186758,0.214370875027957,-0.0831201832393741,0.205887424455023,0.269597888492431
"Csn",0.209229629179403,0.213636363636364,0.223534570140455,0.202495748170959,0.0231213962911018,-0.193586724107623,-0.195738744769773,-0.148238443794328,0.139177829401057,0.0531818181818182,0.135768188917895,0.0448484848484849,-0.24040959040959,-0.251948051948052,0.237945990036966,0.0316666666666667,0.165079365079365,0.015,-0.142686210904085,0.14,-0.142857142857143,0.143867243867244,0.111202122153209,-0.109402636292027,-0.149243587953265,-0.0934440753045404,-0.015,-0.0357575757575758,-0.0260666666666667,-0.0266666666666667,0.245454545454545,0.2,0.207471264367816,0.141176030846711,0.191808613765406,0.207471264367816,0.183333333333333,0.193406327234503,0.191808613765406,0.197586391543184,0.183333333333333,-0.0204980276031976,-0.202495748170959,-0.202495748170959,-0.20000054663545,-0.210061293325021,0.0642792120131669,-0.202308388129284,-0.215128900949796,-0.0674971050454921,-0.115249625273838,-0.292958779907884,-0.0593679523091288,-0.211469638334321,-0.243124896608768
"RAS",-0.105264997087944,-0.14,-0.11984126984127,-0.304102564102564,0.0276923076923077,0.155055120382282,0.160049019607843,0.0477902621722846,-0.132900688298918,-0.14172342621259,-0.0486729559748428,-0.143684210526316,0.238728897715988,0.236842105263158,-0.293977130552494,-0.133333333333333,0,-0.2,0.0556949152542373,-0.2,-0.1,-0.05,-0.0406926406926407,0.0345701917130489,0.054,0.0411067193675889,0.166666666666667,0.17,0.138888888888889,0.12,-0.2,0,-0.15,-0.121449275362319,-0.155882352941176,-0.15,-0.1,-0.156471550977183,-0.155882352941176,-0.158010012515645,-0.1,-0.032566128037408,0.304102564102564,0.304102564102564,0.202179487179487,0.088768962024776,-0.123090634584971,0.108235294117647,0.12,-0.0651215022091311,0.118614718614719,0.152583979328165,-0.0682142857142857,0.161692307692308,0.186940353460972
"AXIN2",-0.0766077101810476,-0.0841666666666667,-0.104780902157951,-0.0571815451140711,0.0107650754574352,0.136019214368941,0.13609124792584,0.15675996154257,-0.114944036763893,-0.0811027880178898,-0.107112332112332,-0.083861408707545,0.111547619047619,0.111547619047619,-0.180249918632692,-0.0381642512077295,-0.173076923076923,-0.0555555555555556,0.175725244700655,-0.0666666666666667,0.15,-0.177838827838828,-0.113894639981596,0.113100989187946,0.176053113553114,0.105935477639332,0.042512077294686,0.0829268292682927,0.0370531400966184,0.1,-0.113333333333333,-0.133333333333333,-0.137674418604651,-0.114381497873818,-0.14112269446672,-0.137674418604651,-0.14,-0.137445932916282,-0.14112269446672,-0.136390833267982,-0.14,0.114817272973031,0.0571815451140711,0.0571815451140711,0.056656610730869,0.10483390598797,-0.0302200108423709,0.0795780072107506,0.080462962962963,-0.0612037447537857,-0.00191706688200377,0.104205030413268,-0.0666739808440664,0.13597435955945,0.159311014760349
"TCFLEF",0.00949300633036245,0.00512820512820513,-0.00971863330981513,-0.213799276584475,0.0301539722567087,0.102421462617436,0.00680342817171462,-0.0659278879286243,-0.0283577254916167,0.0128305956528953,0.0586421453827433,0.0107897793263647,0.0611484223108794,0.0608161963972581,-0.277682810461063,-0.153226644323419,0.0933333333333333,-0.17012987012987,-0.0695238095238095,-0.142857142857143,-0.1,0.0695238095238095,0.00276418318523582,-0.00333779695196622,-0.0695238095238095,0.00299248263393282,0.16612987012987,-0.000313588850174212,0.15105273127994,-0.0271428571428571,-0.0647377650247091,0.0333333333333333,-0.00284313725490196,-0.0252703296703297,-0.00369783810960281,0.000833333333333332,-0.00784313725490196,-0.100531428253175,-2.1367521367523e-05,-0.00316602160941784,-0.00416666666666667,-0.0765287512645471,0.213799276584475,0.213799276584475,0.21077693755688,0.102734159630793,-0.146942143228563,-0.0111486354694353,-0.0167561121049493,-0.0546102250575935,0.0588220482112698,0.155087929358366,0.0424528902470079,-0.123516490203237,-0.154180134680135
"SUFU",0.0856361995887364,0.0916666666666667,0.19612772626355,0.230773429627141,0.0679133151134428,0.0285699079606664,-0.0660725065929527,0.0164533918958267,0.116149670909786,0.158997720303663,0.0851756785188302,0.152614741580259,-0.0855988455988456,-0.0824242424242424,-0.110879255151928,0.101252747252747,0.0783333333333333,0.0857142857142857,-0.0837991887991888,0.1,-0.0533333333333333,0.0727777777777778,0.0819150025601638,-0.0826078432068151,-0.0818686868686869,-0.0786008822677235,-0.0897142857142857,-0.144568764568765,-0.0978970425547607,-0.141538461538462,0.0756060606060606,-0.05,0.0611111111111111,0.0105537182441353,0.064957264957265,-0.0322222222222222,0.05,-0.028621058855807,-0.0293096008629989,-0.0278058414645027,-0.0433333333333333,0.0732792293298123,-0.230773429627141,-0.230773429627141,-0.229507606842331,-0.271347496334229,0.00690165802829643,-0.0874113475177305,-0.0916666666666667,-0.0310384087357382,-0.100061342166605,-0.243004748778556,-0.0334813978600177,-0.17597820007738,-0.244836865474233
"IKK",0.172432323232323,0.2,0.181847041847042,0.16291591046582,0.0745751633986928,0.0273240766718561,0.025042735042735,-0.00882380506091847,0.175537178399774,0.0689523809523809,0.156193078324226,0.0622857142857143,-0.0858585858585859,-0.0779220779220779,-0.226846927507685,0.14047619047619,-0.04,0.3,-0.0111111111111111,0.2,0.1,0,0.0444444444444444,-0.0434543454345434,-0.0111111111111111,-0.0444788441692466,-0.257142857142857,-0.114285714285714,-0.143178893178893,-0.1,0.0636363636363636,-0.1,-0.0388888888888889,-0.0426190476190476,-0.0388888888888889,-0.0388888888888889,-0.05,-0.0323873678110966,-0.0388888888888889,-0.025042735042735,-0.05,-0.118900587308409,-0.16291591046582,-0.16291591046582,-0.155873656944693,-0.23154654194144,-0.138710081678396,-0.173232323232323,-0.177777777777778,-0.0292832080200501,-0.113235294117647,-0.320164835164835,-0.0161172161172161,-0.215819397993311,-0.273904761904762
"SOSGRB2",-0.0897911308549607,-0.0928571428571429,-0.0940537240537241,-0.253860640301318,-0.0503188405797101,0.0396759918751072,0.0324016563146998,0.0327568604858046,-0.141522388059701,-0.0938223938223938,-0.119883040935673,-0.0938223938223938,0.235112774549394,0.213986013986014,0.126741301869046,-0.117543859649123,0.0333333333333333,-0.1,0.0336266499057197,0,0,0,-0.0397849462365591,0.037687044138657,0.0243243243243243,0.0251893939393939,0.133333333333333,0.0857142857142857,0.105043859649123,0.0523809523809524,-0.190909090909091,0,-0.0142857142857143,-0.0206408140814081,-0.030952380952381,-0.0142857142857143,0,-0.0406320148196578,-0.0360248447204969,-0.0374741200828157,0,0.141354159354159,0.253860640301318,0.253860640301318,0.25514269158337,0.227473756668388,0.137299732933093,0.099010989010989,0.102857142857143,-0.028609022556391,0.123611111111111,0.226941417628655,-0.0328947368421053,0.0693720199803224,0.10359649122807
"SHH",0.1,0,0.2,0.2,0.075,0.0322222222222222,-0.05,0.0371428571428572,0.116666666666667,0.18,0.08,0.2,-0.0333333333333333,0,-0.129425287356322,0.1,0,0,-0.0533333333333333,0,0,-0.1,0.0666666666666667,-0.0833333333333333,0.0666666666666667,-0.0666666666666667,0,-0.1,-0.1,0,-0.1,0,0,0.00952380952380952,0,-0.1,0,-0.0433333333333333,-0.1,-0.05,-0.1,0.0834408602150538,-0.2,-0.2,-0.223076923076923,-0.277662337662338,0.00777777777777777,-0.1,-0.1,-0.025,-0.1,-0.241025641025641,0,-0.15,-0.225
"KLF4",-0.0734028085735403,-0.0772727272727273,-0.0993989603638726,-0.141282051282051,-0.00859259259259259,0.0136651453803951,0.0151044860606632,0.0221343873517787,-0.0542908429490087,-0.0998246871382105,-0.0485466914038343,-0.100855614973262,0.0220312731218862,0.0230622009569378,0.0735422161914955,-0.124761904761905,0.0333333333333333,-0.1,0.00967741935483871,-0.1,0,0,-0.0426666666666667,0.039768115942029,0,0.0415737203972498,0.12,0.0890909090909091,0.124761904761905,0.08,-0.00727272727272727,0.0333333333333333,-0.00588235294117647,0.0207136464928378,-0.00820793433652531,-0.00588235294117647,0,-0.0132915463766591,-0.00820793433652531,-0.0142948908582644,0,0.117226430976431,0.141282051282051,0.141282051282051,0.137605580693816,0.143160156266788,0.224591867705461,0.0719393939393939,0.0732727272727273,-0.0239473684210526,0.131446540880503,0.150370133496734,-0.0037037037037037,0.0316442816442816,0.0448710010319917
"HEY1",-0.0734028085735403,-0.0772727272727273,-0.0993989603638726,-0.141282051282051,-0.00859259259259259,0.0136651453803951,0.0151044860606632,0.0221343873517787,-0.0542908429490087,-0.0998246871382105,-0.0485466914038343,-0.100855614973262,0.0220312731218862,0.0230622009569378,0.0735422161914955,-0.124761904761905,0.0333333333333333,-0.1,0.00967741935483871,-0.1,0,0,-0.0426666666666667,0.039768115942029,0,0.0415737203972498,0.12,0.0890909090909091,0.124761904761905,0.08,-0.00727272727272727,0.0333333333333333,-0.00588235294117647,0.0207136464928378,-0.00820793433652531,-0.00588235294117647,0,-0.0132915463766591,-0.00820793433652531,-0.0142948908582644,0,0.117226430976431,0.141282051282051,0.141282051282051,0.137605580693816,0.143160156266788,0.224591867705461,0.0719393939393939,0.0732727272727273,-0.0239473684210526,0.131446540880503,0.150370133496734,-0.0037037037037037,0.0316442816442816,0.0448710010319917
"SNAI2",-0.12450590046498,-0.117647058823529,-0.132503717159873,-0.191343353779775,-0.114295262414403,-0.0919448410829361,-0.0936585287123813,-0.087403562830832,-0.0511147433801896,-0.118388977212507,-0.0416794871794872,-0.115686274509804,-0.0298929141034404,-0.0350877192982456,0.360030316628872,-0.16867816091954,0.12,-0.133333333333333,-0.0877797879715266,-0.1,-0.1,0.102352941176471,-0.0507712944332663,0.0531636389308739,-0.0962304921968788,0.054249547920434,0.158333333333333,0.105882352941176,0.172292618750866,0.1,0.0508771929824561,0.12,0.103766233766234,0.0726413378379233,0.0995408816535577,0.103766233766234,0.110909090909091,0.0927212385984641,0.0995408816535577,0.0941645375675362,0.110909090909091,0.202736453878649,0.191343353779775,0.191343353779775,0.190886732775209,0.197448099336459,0.408653990877761,0.123263664440135,0.122408963585434,-0.0234883574575204,0.173698444895199,0.202701143708835,-0.00519230769230769,0.0310116112031446,0.0433459198657437
"Ecadherin",-0.0703286675247157,-0.0732727272727273,-0.0973394637963669,-0.137605580693816,-0.00728905441754604,0.014038628106819,0.0137711527273299,0.0205325566881631,-0.0568224885186289,-0.104138412628407,-0.0436777775461564,-0.0998246871382105,0.0290944701479086,0.0220312731218862,0.0727595551439338,-0.124761904761905,0,-0.12,0.011252222504445,-0.1,-0.0333333333333333,0,-0.039768115942029,0.0419472926974769,0.00967741935483871,0.0368757338200686,0.124761904761905,0.100855614973262,0.122164502164502,0.0890909090909091,-0.0230622009569378,0,-0.00820793433652531,0.0217445743278893,-0.0151044860606632,-0.00820793433652531,-0.00588235294117647,-0.0136651453803951,-0.0142948908582644,-0.0132915463766591,-0.00588235294117647,0.11671361046361,0.137605580693816,0.137605580693816,0.137884910302755,0.142787369687105,0.125955061473718,0.0734028085735403,0.0719393939393939,-0.0192080319281616,0.132762330354187,0.149266380737352,-0.00876699484294421,0.0303407434692351,0.0453449346812808
"Patched",0.0916666666666667,0.1,0.2,0.223076923076923,0.0787037037037037,0.0293096008629989,-0.05,0.026031746031746,0.113440860215054,0.141538461538462,0.08,0.18,-0.0606060606060606,-0.0333333333333333,-0.117425287356322,0.1,-0.1,0,-0.0783333333333333,0,0,-0.0666666666666667,0.0833333333333333,-0.0733333333333333,-0.0533333333333333,-0.0897435897435897,-0.1,-0.2,-0.0857142857142857,-0.1,0,-0.1,0,0.000432900432900432,0.05,-0.1,0,-0.0322222222222222,-0.05,-0.0433333333333333,-0.1,0.0751075268817204,-0.223076923076923,-0.223076923076923,-0.235576923076923,-0.274365634365634,0.00874865156418554,-0.1,-0.1,-0.0166666666666667,-0.133333333333333,-0.245787545787546,-0.0333333333333333,-0.171428571428571,-0.233333333333333
"RKIP",-0.131588785046729,-0.133333333333333,-0.132979664014147,-0.10974025974026,-0.126185383244207,0.0185226184020881,0.01,0.110451532055946,-0.187540855251778,0.00280997798972854,-0.165196078431373,0.013448275862069,0.113364413364413,0.097979797979798,0.250594218103398,0.0696428571428571,-0.0666666666666667,0.1,0.110142076502732,0.1,0.1,-0.0866666666666667,-0.119651262302097,0.116680965272394,0.0986666666666667,0.104258614014712,-0.0571428571428571,-0.01,-0.0726731601731602,-0.06,-0.0888888888888889,0,0,-0.00731364275668073,-0.01,0,0,-0.019285977180714,-0.0157894736842105,-0.0157894736842105,0,0.150583692936634,0.10974025974026,0.10974025974026,0.112304362304362,0.24526291352778,0.166016863138641,0.14,0.14,-0.0161339072214252,0.0151746031746032,0.187194641449961,-0.0201339072214252,0.0460386096279032,0.072988043998087
"MEK",-0.13012893103213,-0.14,-0.131177862212345,-0.112304362304362,-0.122888679947503,0.0179649975842442,0.0134965034965035,0.111271204187094,-0.186899829610752,-0.0888566886769381,-0.165196078431373,0.00280997798972854,0.115554194386311,0.113364413364413,0.250594218103398,0.0726731601731602,-0.0866666666666667,0.0571428571428571,0.108181292189007,0.1,0.0666666666666667,-0.0986666666666667,-0.116680965272394,0.114835946822209,0.110142076502732,0.10244043219653,-0.0696428571428571,-0.013448275862069,-0.0809084542908072,-0.01,-0.097979797979798,0,-0.01,-0.0109172463602843,-0.01,-0.0157894736842105,0,-0.0185226184020881,-0.0157894736842105,-0.019285977180714,0,0.151071497814683,0.112304362304362,0.112304362304362,0.11008214008214,0.244844503485939,0.166199012501118,0.131588785046729,0.14,-0.0153402564277744,0.0107301587301587,0.185966140221459,-0.0162123385939742,0.046348207151123,0.072988043998087
"ERK",-0.127931128834328,-0.14,-0.129297520332003,-0.11008214008214,-0.123304768713107,0.0178261086953553,0.0132458769300875,0.110066384909985,-0.187362792573715,-0.0908065494011721,-0.163246217707139,-0.0888566886769381,0.116939235937558,0.115554194386311,0.25104507473099,0.0809084542908072,-0.0986666666666667,0.0696428571428571,0.108181292189007,0.0571428571428571,0.0866666666666667,-0.110142076502732,-0.114835946822209,0.11240433587996,0.108181292189007,0.100051353698236,-0.0726731601731602,-0.00280997798972854,-0.0781561607128256,-0.013448275862069,-0.113364413364413,0,-0.01,-0.00912862847410547,-0.0134965034965035,-0.0157894736842105,-0.01,-0.0179649975842442,-0.019285977180714,-0.0185226184020881,-0.0157894736842105,0.150887505174389,0.11008214008214,0.11008214008214,0.109092041072239,0.244431125056777,0.16664528781866,0.13012893103213,0.131588785046729,-0.0148678154828925,0.0087884111573432,0.184785395443984,-0.0154371447955246,0.046348207151123,0.0728305636831264
"TGFR",0.196502026342452,0.113333333333333,0.193607841275869,-0.116071428571429,0.127317121391855,-0.0544841193909057,-0.0741196417702809,0.0209333845595612,0.0914807678242916,-0.0709451711470457,0.0345454545454546,-0.0777944862155388,0.124878028611594,0.109770114942529,0.200383800723288,-0.081641604010025,0.0266666666666667,-0.0583333333333333,0.00653090298071305,-0.0333333333333333,0.00666666666666668,0.0232183908045977,-0.028455522971652,0.029523138630015,-0.00759339080459769,0.0182972949565519,0.0869047619047619,0.0844611528822055,0.0700136970332809,0.0476190476190476,-0.116666666666667,0.1,0.0957142857142857,0.0558083732618783,0.0825067385444744,0.0766666666666667,0.0857142857142857,0.0565213204537932,0.0634591194968554,0.0555643826547501,0.0666666666666667,0.0854182946189336,0.116071428571429,0.116071428571429,0.114901837928154,0.0721519346737573,0.101744139158714,-0.190119047619048,-0.0990476190476191,-0.00370565462055466,-0.0499025341130604,0.148619325815867,-0.00607088373106679,-0.177410247335164,-0.201071454582961
