"","FOXC2","RKIP","SNAI1","cfos","MEK","ERK","ILK","SMO","NOTCHic","HEY1","Patched","AKT","Destcompl","KLF4","AXIN2","FUS","cateninmemb","TrCP","LIV1","TCFLEF","cateninnuc","Ecadherin","PAK1","CD44","DSH","cMet","GLI","Wnt","Frizzled","TGF","CDC42","GSK3","DELTA","SOSGRB2","RAS","RAF","PI3K","SNAI2","ZEB2","ZEB1","TGFR","SRC","STAT","Csl","NFB","NOTCH","miR200","Jagged","SMAD","IKK","SUFU","EGR1","SHH","Csn","TWIST1"
"NFB",-0.0238792018074887,-0.140815468684321,-0.130171862231362,-0.0682857142857143,-0.0641027077497666,-0.0660634920634921,-0.0921685918591859,-0.0837037037037037,0.0686868686868687,-0.0970477664750111,-0.0940485312899106,-0.165534105534106,0.104673671071654,0.0429487179487179,-0.0868844984802432,-0.08,-0.0343957390097509,-0.3,-0.1,-0.0641253390105568,-0.065144946853694,0.0349092851959151,-0.15,-0.0582181660147762,-0.0666666666666667,-0.0497435897435898,-0.0576087582829156,-0.0497435897435898,-0.0512820512820513,-0.148487456846951,-0.145454545454545,-0.0294947209653092,0.0300418360130535,0.089077841662981,-0.0340219355155411,-0.0300418360130535,-0.0300418360130535,-0.294141719203923,-0.0425122000403307,-0.0425122000403307,0.147854545454545,0.0512820512820513,0.0666666666666667,-0.0766233766233766,0.185714285714286,-0.0615900944933203,0.0214927569912464,0.0211634179067243,0.0903098557997064,0.172200772200772,0.08,0.0642857142857143,0.0928437120128022,0.285714285714286,0.0223716153127918
"Patched",-0.175,-0.122857142857143,-0.093010752688172,-0.2,-0.196923076923077,-0.22,-0.0333333333333333,0.333333333333333,0.233333333333333,-0.0435897435897436,0.173333333333333,-0.142857142857143,-0.12003996003996,0.0166666666666667,-0.20995670995671,0.3,-0.0665591397849462,0,-0.1,-0.0544444444444444,-0.0709492988133765,0.0176402373247033,-0.166666666666667,-0.0433333333333333,-0.2,-0.05,-0.15,-0.15,-0.2,-0.171666666666667,-0.166666666666667,0.127106227106227,0.176923076923077,0.0166666666666667,-0.158173076923077,-0.176923076923077,-0.176923076923077,-0.130758620689655,-0.0416666666666667,-0.0416666666666667,0.146666666666667,0.1,0.1,-0.2,0.1,-0.187878787878788,0.0428571428571429,-0.0596825396825397,0.0833333333333333,0.1,-0.2,0.1,-0.185833333333333,0,0.0611111111111111
"IKK",-0.0226839826839827,-0.138251366120219,-0.130993780039582,-0.0642857142857143,-0.0660634920634921,-0.0682857142857143,-0.0951388888888889,-0.08,0.0766233766233766,-0.10061919504644,-0.0837037037037037,-0.172200772200772,0.109823172732784,0.041025641025641,-0.0840476190476191,-0.08,-0.0304886640361501,-0.2,-0.1,-0.0582181660147762,-0.0641253390105568,0.0313779850354014,-0.15,-0.0497435897435898,-0.1,-0.0512820512820513,-0.0497435897435898,-0.0512820512820513,-0.0666666666666667,-0.147854545454545,-0.15,-0.0357692307692308,0.0370840895341803,0.0880252100840336,-0.0300418360130535,-0.0370840895341803,-0.0370840895341803,-0.290483182618557,-0.0405964912280702,-0.0405964912280702,0.145454545454545,0.0666666666666667,0.1,-0.0909090909090909,0.285714285714286,-0.0686868686868687,0.0217948717948718,0.0276382380506092,0.0921685918591859,0.185714285714286,0.1,0.05,0.0940485312899106,0.3,0.0163398692810457
"SMO",-0.185344827586207,-0.133968253968254,-0.112058371735791,-0.22,-0.19995337995338,-0.196923076923077,-0.0833333333333333,0.173333333333333,0.187878787878788,-0.095970695970696,0.185833333333333,-0.114857142857143,-0.132443060815154,0.0583333333333333,-0.213404985818779,0.333333333333333,-0.0752970038626161,0,-0.1,-0.0709492988133765,-0.073956817610369,0.0165332262545926,-0.166666666666667,-0.0544444444444444,-0.2,-0.0433333333333333,-0.161111111111111,-0.15,-0.15,-0.171666666666667,-0.146666666666667,0.128077100892635,0.158173076923077,0.0114035087719298,-0.155847495527728,-0.158173076923077,-0.158173076923077,-0.137425287356322,-0.0264124293785311,-0.0264124293785311,0.171666666666667,0.05,0.1,-0.233333333333333,0.1,-0.187878787878788,0.0213381555153707,-0.048968253968254,0.05,0.142857142857143,-0.3,0.2,-0.158055555555556,0.1,0.0699346405228758
"Csn",-0.148935671318597,-0.129287352680961,-0.123817111867017,-0.0490909090909091,-0.0483062770562771,-0.0503896103896104,0.0050491718426501,0.0223665223665224,0.113347763347763,-0.0025359911406423,0.0234417911837267,-0.0843333333333333,0.129170490366171,0.0280657904187316,-0.154740419420837,0.0253968253968254,-0.0380344242537378,-0.18,-0.133333333333333,-0.122799350411959,-0.124783716016289,0.00355662575001178,-0.1,-0.118297742694918,-0.133333333333333,-0.116964409361584,-0.118274453029707,-0.116964409361584,-0.122988505747126,-0.0974640748890028,-0.0985074626865672,-0.0831248285047736,0.0156105022693194,-0.0287074829931973,-0.0134991778931198,-0.0156105022693194,-0.0156105022693194,-0.0470292453258819,-0.025262200165426,-0.025262200165426,0.0972254114045159,0.122988505747126,0.133333333333333,-0.114646464646465,0.08,-0.112386224886225,0.0100191025693271,-0.0256164079909454,-0.00582038006887118,0.0883333333333333,-0.0142857142857143,0.04,-0.019343430527989,0.08,0.114300296088515
"SOSGRB2",-0.0307936507936508,-0.0119517543859649,0.0777306325515281,-0.00793650793650794,0.00189150189150189,0.010982410982411,-0.0262365591397849,-0.0166666666666667,-0.0853146853146853,-0.0120265151515152,0.00765765765765765,0.00263157894736842,-0.0849452188378363,0.0248245614035088,-0.0510932343234323,0.0666666666666667,-0.128492414492414,0,0,-0.0404925356870437,-0.0372420576755714,-0.121366279784848,0.0428571428571429,-0.0457556935817805,0,-0.0559006211180124,-0.0410455486542443,-0.0511904761904762,-0.0428571428571429,0.0151539240900943,0.0328571428571428,0.0601309022907901,0.0263653483992467,0.0275,-0.0314935535274518,-0.0263653483992467,-0.0263653483992467,0.205537838970435,-0.00768170426065163,-0.00768170426065163,-0.00593406593406593,0.0428571428571429,0,0.0545454545454545,-0.0333333333333333,0.0754555303851079,0.0267531660738162,-0.0143542798078471,0.00315963606286187,0.0140350877192982,0,0.019047619047619,-0.00068091347161114,0,0.0222028985507247
"cateninnuc",0.0831778440139096,-0.0495064860697615,-0.0590734391689977,0.0821946169772257,0.0921934556719185,0.0885237309012763,0.0105930735930736,-0.0514207650273224,-0.168122162367334,0.0315570594797548,-0.0632220072633473,0.184152462121212,0.115365941007072,-0.02336511847188,0.193542020154907,-0.0366666666666667,-0.0163204003602954,0.233333333333333,-0.0272727272727273,0.00965650362020138,-0.0923595140544741,-0.140104072261817,0.008,0.0158551593334202,-0.0118881118881119,0.0190297625080234,0.0169331561827095,0.0200952115186779,0.0113995593447648,0.00676536202842482,0.0126153846153846,-0.116729476149511,-0.168041283041283,0.0891964598598804,0.170903235903236,0.168041283041283,0.168041283041283,0.146964051546145,-0.00624647038292301,-0.00624647038292301,-0.00916710875331565,-0.0103341103341103,0.0118881118881119,0.158819836785938,-0.187121212121212,0.176758526003697,-0.00307054198769168,0.0115822690214857,-0.0137308634975756,-0.177121212121212,0.0666666666666667,-0.0869565217391304,0.0704115497470074,-0.208333333333333,-0.0239949606209697
"GSK3",0.00716937081686164,-0.0392663476874003,-0.0783476174426629,-0.0044880174291939,0.00338108715043699,0.0067901780595279,-0.00985670539008001,-0.0324954615277196,0.0645903116491352,-0.0104564121838811,-0.0208390198099282,-0.0700029472443265,0.14862161644376,0.0156071173744826,-0.107826059010142,-0.00346320346320346,0.0317452019123856,-0.0733333333333333,-0.075,-0.0677850270294869,-0.0655481849242237,0.126651408625046,-0.108695652173913,-0.0659150359342064,-0.0592105263157895,-0.0606769406961111,-0.0653892871282906,-0.0592572116565925,-0.0520676691729323,-0.106012725344645,-0.102028985507246,-0.188429917231073,-0.00973963710488905,-0.0531755444404339,0.00574804046623359,0.00973963710488905,0.00973963710488905,-0.119652974130833,-0.00536841506417357,-0.00536841506417357,0.109346058677978,0.0520676691729323,0.0592105263157895,-0.0820728291316527,0.0733333333333333,-0.0716032986621222,-0.0159751095505999,-0.0011588069073815,-0.00348662294575208,0.0836781609195402,0.0272727272727273,0.0007843137254902,0.0289729911017942,0.0983333333333333,0.0271587933944929
"cateninmemb",0.0589289906703568,-0.000773847162290181,-0.006024455701601,0.0650267379679144,0.0719400187441425,0.066057665802966,0.004,0.05625,-0.0432318847728506,0.0135557139268154,0.0379704301075269,0.0537854737854738,0.0477063193328206,-0.0123769338959212,0.0669766599719246,0.05,-0.122305403919431,0.1,-0.0666666666666667,-0.0386538162744115,-0.0413615660409848,-0.0988495482434925,0.00290909090909091,-0.0332988972208624,-0.0607843137254902,-0.0302888637760463,-0.0328425869144771,-0.0295092535811438,-0.0398540811673507,0.00262381767661175,0.00690909090909091,-0.0489802796356829,-0.0544909502262444,0.0545469591646354,0.0578429055335069,0.0544909502262444,0.0544909502262444,0.0564270951639763,-0.00249991440826767,-0.00249991440826767,-0.00642128603104213,0.0398540811673507,0.0607843137254902,0.0422009569377991,-0.0561904761904762,0.054012553917832,0.000323008255969148,-0.0425183580458574,-0.00230508474576271,-0.0524867724867725,-0.0333333333333333,-0.0709090909090909,-0.033246020658708,-0.08,0.0230540767517435
"HEY1",-0.101515202437767,-0.0122655122655123,-0.0060595065889456,-0.110909090909091,-0.0939897458514802,-0.099144385026738,-0.016,0.133333333333333,0.166411483253589,-0.0418792971734148,0.108333333333333,-0.173968253968254,-0.13264650099644,0.0185185185185185,-0.171758449032415,0.166666666666667,-0.112993685402222,-0.1,-0.166666666666667,-0.112985373040093,-0.109872048008959,0.104315902703127,0.00909090909090909,-0.103955272705644,-0.1,-0.0822161422708618,-0.10462993537431,-0.0822161422708618,-0.0705882352941176,-0.00863266814486327,0.00509090909090909,0.117487193398459,0.138589743589744,-0.111034877072613,-0.14961915535445,-0.138589743589744,-0.138589743589744,-0.1555839561948,-0.00226522187822497,-0.00226522187822497,0.00424242424242424,0.0705882352941176,0.1,-0.192727272727273,0.22,-0.153009421397918,0.00605209605209605,-0.0980727817909227,0.0087536231884058,0.196190476190476,-0.2,0.12,-0.115860215053763,0.2,0.139220043572985
"Frizzled",-0.0121363336785613,0.0314285714285714,0.0778295376121463,0.00666666666666667,0.0044880174291939,0.0007843137254902,0.014370900417412,0.0272727272727273,-0.0761904761904762,0.0138134206219313,0.00346320346320346,0.0733333333333333,-0.155761535079771,-0.0207282913165266,0.101606765327696,0,-0.0346885929513048,0.1,0.1,0.0606769406961111,0.0659150359342064,-0.121109168827501,0.133333333333333,0.0520676691729323,0.2,0.0592105263157895,0.0520676691729323,0.0592105263157895,0.075,0.102028985507246,0.1,0.0966300940438871,0.00461380724538619,0.0606060606060606,-0.0117004214186145,-0.00461380724538619,-0.00461380724538619,0.113904873273143,-0.00180594817013982,-0.00180594817013982,-0.108695652173913,-0.075,-0.1,0.0928571428571429,-0.0733333333333333,0.0820728291316527,0.0223800505050505,-0.00943701723113488,0.00712442668539169,-0.0983333333333333,-0.1,0.0333333333333333,-0.0324954615277196,-0.133333333333333,-0.0151120448179272
"SHH",0.175,0.08,0.0833333333333333,0.1,0.22,0.2,0.0666666666666667,-0.3,-0.2,0.0666666666666667,-0.333333333333333,0.1,0.114545454545455,-0.05,0.219047619047619,-0.2,0.0498924731182796,0,0,0.0433333333333333,0.0544444444444444,-0.0186111111111111,0.2,0.05,0.2,0.1,0.15,0.2,0.2,0.146666666666667,0.166666666666667,-0.146153846153846,-0.2,-0.05,0.176923076923077,0.2,0.2,0.129425287356322,0,0,-0.166666666666667,-0.1,-0.1,0.1,0,0.233333333333333,0,0.0485714285714286,-0.0333333333333333,-0.1,0.2,0,0.173333333333333,0,-0.05
"Ecadherin",0.109982021659735,0.0103928530894823,-0.00121897442371263,0.099144385026738,0.0983034713416763,0.0939897458514802,0.0087536231884058,-0.108333333333333,-0.153009421397918,0.0331544649586497,-0.115860215053763,0.166176046176046,0.13143494461247,-0.0223159868729489,0.181861541815921,-0.133333333333333,0.107352659761196,0.2,0.1,0.109872048008959,0.103989695067783,-0.207626516140323,-0.00509090909090909,0.112985373040093,0.0705882352941176,0.103955272705644,0.113963268707643,0.10462993537431,0.0822161422708618,0.00628185440164446,0.00424242424242424,-0.127862469336649,-0.14961915535445,0.10708750865156,0.161350998929868,0.14961915535445,0.14961915535445,0.154801295147239,0.000843420930357675,0.000843420930357675,-0.00863266814486327,-0.0822161422708618,-0.0705882352941176,0.166411483253589,-0.196190476190476,0.159329124000149,-0.00214148152695639,0.106539601012891,-0.00463740042811524,-0.173968253968254,0.166666666666667,-0.110909090909091,0.13003344340022,-0.22,-0.143875537055294
"SNAI2",-0.139663527838627,-0.0100512820512821,-0.00763076615273036,-0.13921568627451,-0.127927927927928,-0.133333333333333,-0.0156941649899396,0.202352941176471,0.239473684210526,-0.0456148282097649,0.179903961584634,-0.230889073535521,-0.172419205381863,0.0151923076923077,-0.235842333023326,0.22,-0.205661628453909,-0.1,-0.22,-0.181861541815921,-0.183724895853188,-0.117745936496341,0.00588235294117647,-0.171758449032415,-0.192727272727273,-0.159930492043168,-0.17222995728381,-0.159930492043168,-0.164155844155844,-0.00506949714110839,0.00588235294117647,0.157373618899282,0.204183071697731,-0.158620689655172,-0.205096313706863,-0.204183071697731,-0.204183071697731,0.161196662964551,0.00101111810362912,0.00101111810362912,0.000100553041729513,0.164155844155844,0.192727272727273,-0.255263157894737,0.25,-0.225187969924812,0.00260706926941511,-0.170847328057813,0.0113879448942459,0.246551724137931,-0.2,0.133333333333333,-0.177087060176183,0.2,0.182472757230259
"KLF4",0.101515202437767,0.0122655122655123,0.0060595065889456,0.110909090909091,0.0939897458514802,0.099144385026738,0.016,-0.133333333333333,-0.166411483253589,0.0418792971734148,-0.108333333333333,0.173968253968254,0.13264650099644,-0.0185185185185185,0.171758449032415,-0.166666666666667,0.112993685402222,0.1,0.166666666666667,0.112985373040093,0.109872048008959,-0.104315902703127,-0.00909090909090909,0.103955272705644,0.1,0.0822161422708618,0.10462993537431,0.0822161422708618,0.0705882352941176,0.00863266814486327,-0.00509090909090909,-0.117487193398459,-0.138589743589744,0.111034877072613,0.14961915535445,0.138589743589744,0.138589743589744,0.1555839561948,0.00226522187822497,0.00226522187822497,-0.00424242424242424,-0.0705882352941176,-0.1,0.192727272727273,-0.22,0.153009421397918,-0.00605209605209605,0.0980727817909227,-0.0087536231884058,-0.196190476190476,0.2,-0.12,0.115860215053763,-0.2,-0.139220043572985
"FOXC2",0.101515202437767,0.0122655122655123,0.0060595065889456,0.110909090909091,0.0939897458514802,0.099144385026738,0.016,-0.133333333333333,-0.166411483253589,0.0418792971734148,-0.108333333333333,0.173968253968254,0.13264650099644,-0.0185185185185185,0.171758449032415,-0.166666666666667,0.112993685402222,0.1,0.166666666666667,0.112985373040093,0.109872048008959,-0.104315902703127,-0.00909090909090909,0.103955272705644,0.1,0.0822161422708618,0.10462993537431,0.0822161422708618,0.0705882352941176,0.00863266814486327,-0.00509090909090909,-0.117487193398459,-0.138589743589744,0.111034877072613,0.14961915535445,0.138589743589744,0.138589743589744,0.1555839561948,0.00226522187822497,0.00226522187822497,-0.00424242424242424,-0.0705882352941176,-0.1,0.192727272727273,-0.22,0.153009421397918,-0.00605209605209605,0.0980727817909227,-0.0087536231884058,-0.196190476190476,0.2,-0.12,0.115860215053763,-0.2,-0.139220043572985
"AKT",-0.050525826762027,-0.00941583991456114,-0.0233039422227065,0.0249299719887955,0.0334172100049814,0.0232906277265004,0.00736422569027611,-0.00128205128205128,0.0660669975186104,0.00366115571442985,-0.0262820512820513,-0.0754559166323872,0.136959399942474,-0.0172908232118758,-0.100352071514526,-0.0166666666666667,0.0292148488367568,-0.0333333333333333,-0.1,-0.066431514682584,-0.0668930531441224,0.117530464775203,0.00441176470588235,-0.0616892466413469,-0.0666666666666667,-0.0520847268673356,-0.060464615135492,-0.0520847268673356,-0.0536231884057971,-0.000845818866932227,0.000411764705882354,-0.0771470465018852,-0.0351572080887149,-0.0802564102564103,0.0315427502573896,0.0351572080887149,0.0351572080887149,-0.0162604529511261,0.00558874185450955,0.00558874185450955,-0.00610282161645146,0.0536231884057971,0.0666666666666667,-0.0596153846153846,-0.0156862745098039,-0.052652363372269,-0.0108282846711005,-0.00889857093063786,0.00711388878783837,-0.0336349924585219,0,-0.019047619047619,0.0157557354925776,-0.0333333333333333,0.103334799952794
"DSH",-0.01083763237986,0.0405194805194805,0.0758005521048999,0.0007843137254902,-0.0067901780595279,0.0044880174291939,-0.00712442668539169,0.00346320346320346,-0.0820728291316527,-0.00373043902719154,0.0324954615277196,0.0836781609195402,-0.150418023629389,-0.000339941801963503,0.103716469969046,0.0272727272727273,-0.0303305246356393,0.133333333333333,0.1,0.0659150359342064,0.0677850270294869,-0.125762373392909,0.1,0.0606769406961111,0.075,0.0520676691729323,0.0592572116565925,0.0520676691729323,0.0592105263157895,0.109346058677978,0.108695652173913,0.0917577042527039,0.0117004214186145,0.050849963045085,-0.00973963710488905,-0.0117004214186145,-0.0117004214186145,0.118445036253352,0.0147294849007263,0.0147294849007263,-0.102028985507246,-0.0592105263157895,-0.075,0.0761904761904762,-0.0983333333333333,0.0645903116491352,0.00530687977334318,0.00451647114095814,-0.00985670539008001,-0.0733333333333333,0,-0.00666666666666667,-0.0208390198099282,-0.0733333333333333,-0.0257503426902676
"Wnt",-0.00283400809716599,0.035,0.0667184265010352,-0.0333333333333333,0.0007843137254902,0.00666666666666667,-0.0205128205128205,0,-0.0928571428571429,-0.0138461538461538,0.0272727272727273,0.0983333333333333,-0.15867930696306,0.00784313725490196,0.110909090909091,0.1,-0.0407203389830508,0.1,0,0.0520676691729323,0.0606769406961111,-0.124605672324004,0.1,0.0592105263157895,0.2,0.075,0.0592105263157895,0.075,0.2,0.108695652173913,0.133333333333333,0.087539184952978,-0.00902255639097744,0.0393939393939394,-0.00461380724538619,0.00902255639097744,0.00902255639097744,0.112327586206897,0.018986131037781,0.018986131037781,-0.1,-0.1,-0.1,0.05,-0.133333333333333,0.0761904761904762,0.000505050505050503,0.00975490196078431,-0.014370900417412,-0.0733333333333333,0,0,-0.00346320346320346,-0.1,-0.0255882352941176
