"","KLF4","PAK1","HEY1","ILK","Patched","SHH","Csn","SMO","AXIN2","TrCP","SUFU","GLI","Wnt","Frizzled","NOTCH","NOTCHic","Csl","LIV1","EGR1","DELTA","SNAI2","RAF","PI3K","RAS","ZEB1","cfos","ERK","MEK","Jagged","Destcompl","STAT","DSH","miR200","SRC","cMet","Ecadherin","CD44","TCFLEF","cateninnuc","cateninmemb","FUS","NFB","RKIP","IKK","GSK3","AKT","TWIST1","ZEB2","SNAI1","SMAD","SOSGRB2","CDC42","TGFR","FOXC2","TGF"
"IKK",0.0937728937728938,0.05,0.033952528379773,0.0395833333333333,-0.0037037037037037,-0.0209450830140485,-0.3,0,-0.0126190476190476,-0.2,-0.1,0.014957264957265,0.00726495726495727,-0.0388888888888889,-0.105916305916306,-0.0852813852813853,-0.109090909090909,-0.1,0.05,-0.107562008469449,0.248590145342764,0.107562008469449,0.107562008469449,0.117421163399027,-0.171934837092732,0.0214285714285714,0.0174285714285714,0.00187301587301587,-0.00130115588878476,-0.0816762158135786,0.05,0.05,0.00177257525083612,0.0388888888888889,-0.00726495726495727,-0.130365893175097,-0.014957264957265,-0.0369911632623497,-0.0420544544015902,-0.0642818819913792,0,0.285714285714286,-0.142805100182149,0.135714285714286,-0.155750915750916,0.138416988416988,0.0084640522875817,-0.0867418546365915,-0.181997455470738,-0.0663160066006601,-0.0487394957983193,-0.0833333333333333,-0.110606060606061,-0.13979797979798,-0.130606060606061
"cMet",-0.0492063492063492,0.0733333333333333,-0.0799793601651187,-0.0102040816326531,0.0127272727272727,0.0127272727272727,-0.2,0.04,-0.161111111111111,-0.2,-0.1,-0.137878787878788,-0.133333333333333,-0.1,-0.0840985442329227,-0.0947368421052632,-0.1,-0.1,0.05,-0.0161904761904762,-0.225449959610544,0.0161904761904762,0.0161904761904762,0.014303683737646,-0.0572871572871573,-0.07,-0.05,-0.0481818181818182,-0.0156987939596635,0.0103874719420938,0.2,0.1,0.0442605401844532,0.2,0.133333333333333,0.14331113120362,0.135658914728682,0.160274299344067,0.160839271095479,0.183965494766207,0,0.1,-0.00407407407407407,0.0933333333333333,0.0848118279569892,0.0933333333333333,0.01689838251636,-0.0578643578643579,0.0136922300615432,0.0229313543599258,0.0966666666666667,-0.0358333333333333,-0.0302777777777778,-0.0248892405063291,-0.0175118203309693
"CD44",-0.0253968253968254,0.133333333333333,-0.0701754385964912,0,0.04,0.0127272727272727,-0.2,0,-0.15,-0.1,-0.1,-0.133333333333333,-0.1,-0.1,-0.0947368421052632,-0.1,-0.2,-0.1,0,0.00952380952380952,-0.214501054501055,-0.00952380952380952,-0.00952380952380952,0.0161904761904762,-0.0603174603174603,-0.05,-0.07,-0.05,-0.02004662004662,-0.0065044199497981,0.1,0,0.0380105401844532,0.2,0.2,0.142038866572576,0.133333333333333,0.135658914728682,0.160274299344067,0.168663003663004,0.1,0.2,-0.00407407407407407,0.1,0.104166666666667,0.0933333333333333,0.018021978021978,-0.0507936507936508,0.000132908027644869,0.0102040816326531,0.0833333333333333,-0.0733333333333333,-0.0358333333333333,-0.03375,-0.0302777777777778
"SRC",-0.0569121447028424,0.0666666666666667,0.0549569678914267,0.0947368421052631,0.133703703703704,0.127821350762527,0,0.13,-0.189848697352204,-0.1,0.1,-0.149590163934426,-0.125,-0.125,0.00714285714285714,0.0142857142857143,0,-0.2,0.0666666666666667,0.002636629119733,-0.0843361172094848,-0.002636629119733,-0.002636629119733,0.0170603405772367,-0.106349206349206,-0.0393939393939394,-0.0393939393939394,-0.04505431675243,-0.127527640555163,0.0937991718426501,0.2,0.1,-0.0173532425706339,0.125,0.125,0.0551461392637863,0.149590163934426,0.150809676129548,0.160429362930443,0.150232001197426,-0.15,0,-0.0757575757575758,-0.00769230769230769,0.246839826839827,0.00341880341880342,0.0152191486674245,-0.0399745432764301,-0.0104386021182278,-0.0992413466097677,-0.0571428571428571,-0.0666666666666667,-0.0571428571428571,-0.0668954248366013,-0.0553246753246753
"ERK",0.0247405825631444,0.0542857142857143,0.118342913503157,0.111711672744659,0.0743666559519983,0.0801637574012737,0.0857142857142857,0.0828633879781421,0.0725495625294946,0.0857142857142857,0.0866666666666667,0.0783877525982789,0.0671095571095571,0.0664102564102564,0.0814321110790771,0.0756149365638417,0.0836441336441336,0.0333333333333333,-0.063448275862069,0.102926517926518,0.312319316265386,-0.102926517926518,-0.102926517926518,-0.113377563031028,-0.0427175598745996,0.0442993396918562,-0.0557006603081438,-0.0587647271605115,-0.0602275728760459,-0.000188848313707566,-0.0385964912280702,-0.0433333333333333,-0.0067044461782017,-0.0616734143049932,-0.0623727150042939,-0.161482914785875,-0.0743320025361006,-0.0747037497479965,-0.0817870830813298,-0.164359641127429,-0.0746666666666667,-0.0948051948051948,-0.0116205021812273,-0.0959816653934301,0.0956578448491023,-0.106073408512696,-0.126793024223064,-0.0343100060842466,-0.0389319008520863,-0.109887964537972,-0.0151530282015719,-0.06456608811749,-0.0740551392123805,-0.074428911670291,-0.0787254688827102
"RKIP",0.0172166427546628,0.0333333333333333,0.112311265969803,0.103476679503637,0.0746666666666667,0.0828633879781421,0.1,0.0866666666666667,0.055098452883263,0.1,0.1,0.0664102564102564,0.0433333333333333,0.0333333333333333,0.0836441336441336,0.0797979797979798,0.0888888888888889,0,-0.06,0.0899350649350649,0.305559538380836,-0.0899350649350649,-0.0899350649350649,-0.109593184593185,-0.0387680535628886,0.06,0.063448275862069,0.0442993396918562,-0.0643604980192417,0.00465572988777393,0,0,-0.00558215515652988,-0.0333333333333333,-0.0385964912280702,-0.154633273363121,-0.0616734143049932,-0.0623727150042939,-0.0743320025361006,-0.152252252252252,-0.0666666666666667,-0.0857142857142857,-0.0069327731092437,-0.0857142857142857,0.095665878644602,-0.0948051948051948,-0.11729055258467,-0.0312166427546628,-0.0281947213649068,-0.102486580493736,0.00704761904761905,-0.04,-0.0542857142857143,-0.062481579722959,-0.06456608811749
"RAF",0.0172166427546628,0.0333333333333333,0.112311265969803,0.103476679503637,0.0746666666666667,0.0828633879781421,0.1,0.0866666666666667,0.055098452883263,0.1,0.1,0.0664102564102564,0.0433333333333333,0.0333333333333333,0.0836441336441336,0.0797979797979798,0.0888888888888889,0,-0.06,0.0899350649350649,0.305559538380836,-0.0899350649350649,-0.0899350649350649,-0.109593184593185,-0.0387680535628886,0.06,0.063448275862069,0.0442993396918562,-0.0643604980192417,0.00465572988777393,0,0,-0.00558215515652988,-0.0333333333333333,-0.0385964912280702,-0.154633273363121,-0.0616734143049932,-0.0623727150042939,-0.0743320025361006,-0.152252252252252,-0.0666666666666667,-0.0857142857142857,-0.0069327731092437,-0.0857142857142857,0.095665878644602,-0.0948051948051948,-0.11729055258467,-0.0312166427546628,-0.0281947213649068,-0.102486580493736,0.00704761904761905,-0.04,-0.0542857142857143,-0.062481579722959,-0.06456608811749
"MEK",0.0309421329507413,0.04,0.110493084151621,0.102486580493736,0.0828633879781421,0.0743666559519983,0.0857142857142857,0.0746666666666667,0.0623056600904702,0.1,0.0666666666666667,0.0671095571095571,0.0664102564102564,0.0433333333333333,0.0756149365638417,0.0836441336441336,0.0797979797979798,0,-0.06,0.109593184593185,0.310425718429498,-0.109593184593185,-0.109593184593185,-0.102926517926518,-0.0403553551501902,0.063448275862069,0.0442993396918562,-0.0557006603081438,-0.0635408258880941,-0.00601372617917168,-0.0333333333333333,-0.0333333333333333,-0.0133220932370252,-0.0385964912280702,-0.0616734143049932,-0.155544020175507,-0.0623727150042939,-0.0743320025361006,-0.0747037497479965,-0.163715666886399,-0.0866666666666667,-0.0857142857142857,-0.00298540468819107,-0.0948051948051948,0.105739588718312,-0.0959816653934301,-0.114726450020568,-0.0240737856118057,-0.0410152341854196,-0.111711672744659,0.00038095238095238,-0.0542857142857143,-0.06456608811749,-0.0687878860292653,-0.0740551392123805
"TCFLEF",-0.158882416603005,-0.225641025641026,-0.106344783836077,-0.117734639629376,-0.018678955453149,-0.022359937048241,-0.209090909090909,-0.0219047619047619,-0.424615873015873,-0.2,0,-0.0678230266465561,-0.0678230266465561,-0.0823529411764706,-0.106056542488427,-0.10173760561135,-0.0958552526701738,-0.1,-0.00571428571428572,-0.222874357080133,0.312775659667856,0.222874357080133,0.222874357080133,0.22510825983966,0.123543638135743,0.0179094076655052,0.0131475029036005,0.0111066865770699,-0.00920927111632032,-0.139134039001516,0.0875,0.0823529411764706,0.0103824823101932,0.0875,0.0729700854700855,0.036148483700818,0.0717122238348653,-0.0355042710104955,-0.0374802160276776,0.0469001203772354,-0.00666666666666667,0.221090909090909,0.0304298112687698,0.230768328445748,-0.0817850901516583,0.22859441540227,0.178838708108566,0.061318491936913,0.0252365556340452,0.115248979973545,0.282031629049593,0.214013118664281,0.214013118664281,0.221184796811973,0.212026363697394
"SOSGRB2",-0.0497368421052632,-0.0928571428571429,-0.137121212121212,-0.0361290322580645,-0.0027027027027027,-0.0120050282840981,-0.1,0,-0.0666254125412541,-0.2,0,-0.0758281573498965,-0.0511904761904762,-0.0428571428571429,-0.0958928395548114,-0.0832167832167832,-0.0909090909090909,0,-0.0238095238095238,-0.0248587570621469,-0.179360383375377,0.0248587570621469,0.0248587570621469,0.0466536288570187,0.0691353383458646,0.0349206349206349,0.0376233376233376,0.0497445497445498,-0.0188007811507146,0.00780129639190042,0,0,-0.00768797774918641,0.0428571428571429,0.0472049689440994,0.149090886384356,0.0718426501035197,0.0718426501035197,0.082358902493577,0.153500994500994,-0.0333333333333333,0.0888888888888889,0.110928362573099,0.0941520467836257,0.0833854784766426,0.114985380116959,0.150289855072464,0.062593984962406,0.127307746979389,0.0354297315587638,0.116666666666667,0.102857142857143,0.118241758241758,0.126190476190476,0.128880056114099
"Destcompl",-0.101323176101201,-0.210408163265306,-0.123595720518797,-0.132380952380952,0.0235184948852985,0.0418937366647956,-0.0238095238095238,0.0478708264915162,-0.253747184042278,0.0333333333333333,0.0555555555555556,-0.143795862672653,-0.14954725413833,-0.115883887801696,0.0308761235749996,0.0158460634547591,0.0364982373678026,-0.0666666666666667,-0.0287179487179487,-0.0167859868363157,-0.173924139570228,0.0167859868363157,0.0167859868363157,0.00485506061967524,0.143183817159303,0.0226573426573427,0.0341327524934082,0.0299133432107078,-0.0425634022017606,-0.0333120572449604,0.130952380952381,0.130952380952381,-0.0388205850304858,0.115883887801696,0.150212246010651,0.174986339628975,0.143868962428562,0.162362113113493,0.159914382363876,0.168067215683889,-0.010727969348659,0.0238095238095238,0.107720699212209,0.0481338481338481,0.0499015208561644,0.0461204253150562,0.125173384873617,0.0782517289987225,0.123800793416128,0.148872180451128,0.196149263016486,0.234546094299789,0.239282936405052,0.23962192505914,0.253174562020816
"miR200",-0.0880779848171152,0.0458333333333333,0.00847457627118644,0.0102261553588987,-0.020337552742616,-0.0257723353513117,0.02,-0.0266666666666667,0.186337566898315,0,-0.02,0.139972759634731,0.136676056338028,0.124,-0.0143057526926609,-0.0126108374384236,-0.0160591133004926,0.1,0.0142857142857143,0.11044776119403,0.151846212644184,-0.11044776119403,-0.11044776119403,-0.110697137752633,-0.114027777777778,-0.0142857142857143,-0.0142857142857143,-0.0136054421768707,0.0354644130104691,-0.0849928675499688,-0.12,-0.12,0.00412426139871241,-0.124347826086957,-0.137023882424985,-0.0534135524070877,-0.140394668941839,-0.147934351481521,-0.150207078754248,-0.153547239784682,0.02,-0.0147368421052632,-0.0235301989388671,-0.0233082706766917,-0.0117628652821434,-0.0289686480351823,-0.133836715431807,0.0916577060931899,-0.0361888111888112,-0.0149283497162655,-0.0665344938749194,-0.0556372549019608,-0.0604759645793801,-0.0528803987340573,-0.0680341041142639
"TWIST1",-0.101438398999375,-0.190909090909091,-0.229260569938536,-0.228537628537629,-0.090337899543379,-0.101667948804463,-0.15,-0.102666666666667,-0.057972457649877,-0.2,-0.0333333333333333,-0.0207057644110276,-0.0223057644110276,-0.0380952380952381,-0.079937106918239,-0.0733333333333333,-0.0733333333333333,-0.0666666666666667,0,-0.0521057032315729,0.280791618009506,0.0521057032315729,0.0521057032315729,0.0538180319986962,0.118651985318652,-0.0130434782608696,-0.0209382151029748,-0.0164606031626763,0.0935728457372879,0.0420276416764259,0.0380952380952381,0.0380952380952381,-0.0620413653355693,0.0380952380952381,0.0210739614994934,-0.0658146428913471,0.019869142222385,0.00930252660217059,0.00774991015593713,-0.0128861783120664,0.0666666666666667,0.188461538461538,0.110879034792078,0.188461538461538,0.0537041415672081,0.186766623207301,0.0753836130180524,0.100456596947825,0.0990346278416661,0.224907265501325,0.128387021064367,0.180564263322884,0.181814263322884,0.193620604826531,0.174297179040424
"AKT",-0.119961763382816,-0.342647058823529,-0.176230304345264,-0.187499959983994,-0.119230769230769,-0.107651821862348,-0.1,-0.102564102564103,-0.252859205776173,-0.0333333333333333,-0.1,-0.199867424832205,-0.20266072092159,-0.173429951690821,0.0549990921745446,0.0428039702233251,0.0653846153846154,-0.1,0.0333333333333333,0.0499918164027753,0.00403842384918563,-0.0499918164027753,-0.0499918164027753,-0.0589074790533777,0.190564143368191,-0.0274509803921569,-0.00941819350691096,-0.0119498390765312,0.031850819100732,0.0808231443448918,0.177777777777778,0.177777777777778,-0.0180140888675122,0.173429951690821,0.20266072092159,0.195754924409807,0.198705918661703,0.215406949589539,0.214483872666462,0.211736603704633,0.133333333333333,0.117647058823529,0.250144740170316,0.150980392156863,0.140903078403078,0.0499702911467617,0.260969436501553,0.107636587794553,0.26241391522284,0.20399827648231,0.298247863247863,0.370647058823529,0.381216164514586,0.377388960205392,0.396624019499481
"cateninnuc",-0.153133649663899,-0.366285714285714,-0.137768685487143,-0.168291486291486,0.195218296394348,0.188028753910688,-0.1375,0.179690346083789,-0.595499830066591,-0.1,0.144444444444444,-0.434466729419082,-0.405217717561375,-0.388913369735288,0.0700677050361717,0.0787040686725354,0.0659133709981168,-0.315151515151515,-0.0956521739130435,-0.193205128205128,-0.417499560078306,0.193205128205128,0.193205128205128,0.212228697228697,0.188263585630947,0.113112491373361,0.115644136942981,0.122524870887935,-0.310261530631712,0.0713980240334852,0.338228438228438,0.338228438228438,-0.0482507836106972,0.391006216006216,0.407310563832303,0.424998004487081,0.437072468594208,0.448050810640511,0.36542170265929,0.471265160516388,-0.194444444444444,0.176893939393939,0.112605556560892,0.192893939393939,0.0881751108570102,0.219456439393939,0.379887804967201,0.110627216040763,0.149117187454585,0.172520681380163,0.453878125661449,0.39243956043956,0.420025767336112,0.415727922350873,0.437929697467117
"Wnt",-0.129411764705882,-0.3,-0.176410256410256,-0.18974358974359,-0.127272727272727,-0.112987012987013,0.1,-0.1,-0.223636363636364,0.1,0,-0.180263157894737,-0.175,0,0.0738095238095238,0.0571428571428571,0.1,0,0,0.056390977443609,-0.0487931034482759,-0.056390977443609,-0.056390977443609,-0.0745727956254272,0.215208034433285,-0.0333333333333333,-0.0133333333333333,-0.00745098039215686,0.0419362745098039,0.0896013325238562,0.1,0,-0.0122222222222222,0.1,0.175,0.214488029672923,0.180263157894737,0.215977443609023,0.219288701887168,0.216398305084746,0.1,-0.0666666666666667,0.261666666666667,-0.00666666666666668,0.133855799373041,0.00583333333333332,0.267941176470588,0.117216642754663,0.312525879917184,0.219976147883125,0.260606060606061,0.366666666666667,0.4,0.414251012145749,0.426086956521739
"PI3K",-0.0951754385964912,-0.325,-0.175478424646016,-0.189899959983994,-0.102564102564103,-0.119230769230769,-0.0333333333333333,-0.133333333333333,-0.246,0,-0.1,-0.20266072092159,-0.173429951690821,-0.177777777777778,0.0428039702233251,0.0653846153846154,0.05,-0.1,0.0333333333333333,0.0746493506493506,0.00936505701501478,-0.0746493506493506,-0.0746493506493506,-0.0499918164027753,0.184399759806547,-0.0333333333333333,-0.0274509803921569,-0.00941819350691096,0.0305263157894737,0.0661829458337255,0.1,0.1,-0.0292440353915764,0.177777777777778,0.173429951690821,0.194997348652232,0.20266072092159,0.198705918661703,0.215406949589539,0.196548020626142,0.1,0.1,0.254492566257272,0.117647058823529,0.153403078403078,0.150980392156863,0.263721730079535,0.117910560397293,0.246123188405797,0.187499959983994,0.282692307692308,0.342647058823529,0.370647058823529,0.365358885017422,0.381216164514586
"TGF",-0.114543605390287,-0.16,-0.232495164410058,-0.196363636363636,-0.17367816091954,-0.18617816091954,-0.3,-0.163333333333333,0.00123456790123457,-0.2,-0.2,-0.0123989218328841,-0.0142857142857143,-0.0142857142857143,-0.276896551724138,-0.27,-0.28,0,0.0666666666666667,-0.0571428571428571,0.00897979347475838,0.0571428571428571,0.0571428571428571,0.0607142857142857,0.0749938746735085,-0.080952380952381,-0.0756892230576441,-0.0779114452798663,0.192016445753559,0.01421448022337,0,0,-0.0591582268306406,0,0,-0.00142669945073001,-0.00188679245283019,0.00337636544190665,0.00481177214047125,0.00167769427313509,0.18,0.275,0.14025974025974,0.260714285714286,0.148063243562265,0.271240601503759,0.0774074074074074,0.123634514481196,0.102323585505404,0.202815249266862,0.185526315789474,0.193333333333333,0.202857142857143,0.112593167701863,0.108214285714286
