"","FOXC2","PAK1","TGFR","CDC42","Jagged","SUFU","RKIP","SMO","Patched","Csl","cfos","NOTCH","NOTCHic","FUS","IKK","NFB","Csn","TrCP","SOSGRB2","EGR1","PI3K","DELTA","RAS","ZEB2","STAT","cMet","SRC","Ecadherin","LIV1","KLF4","miR200","GSK3","cateninmemb","Frizzled","CD44","TCFLEF","cateninnuc","GLI","Wnt","DSH","AXIN2","RAF","Destcompl","SNAI2","TWIST1","SNAI1","AKT","ERK","HEY1","MEK","SMAD","ZEB1","SHH","ILK","TGF"
"DELTA",-0.242857142857143,-0.2,-0.233333333333333,-0.2,-0.0556709956709957,0,-0.21025641025641,-0.1,-0.075,-0.1,-0.2,-0.145714285714286,-0.16,0,-0.1,0,0,0,-0.08,-0.1,-0.0533333333333333,-0.0533333333333333,-0.0533333333333333,-0.102898550724638,0,-0.02,0,-0.076140350877193,0,-0.133333333333333,-0.00606060606060606,0.0256704980842912,0.0547448326321566,0,0.0276923076923077,0.0489044289044289,0.0543989343989344,0.0276923076923077,0.02,0,0.0242857142857143,0.0533333333333333,0.0397992277992278,0.205580693815988,0.138,0.166666666666667,0.0666666666666667,0.22,-0.0333333333333333,0.253333333333333,0.0714285714285714,0.128985507246377,0.0826923076923077,0.0666666666666667,0.229333333333333
"TrCP",-0.179595922473279,-0.228571428571429,-0.203348612172142,-0.210924369747899,-0.0156935923653715,-0.0571428571428571,-0.175177272083349,-0.0539170506912442,-0.0674972976048245,-0.017948717948718,-0.240869565217391,-0.0203663003663004,-0.0225641025641026,-0.0571428571428571,-0.0677631578947368,-0.0625,-0.075,-0.1,-0.0412678767876788,-0.28,-0.0216470056857431,-0.0216470056857431,-0.0211924602311977,-0.0994642796897493,0.12,0.12980980980981,0.116296296296296,0.0915401821962134,0.1,-0.0933614363778298,0.00464668870163047,0.146816017316017,-0.125704750764469,-0.116296296296296,-0.12980980980981,-0.133883883883884,-0.135125263194229,-0.127990776398992,-0.129454191033138,-0.12,-0.158880317253772,0.0216470056857431,-0.142408857551902,0.0922422106520785,0.0576351402220967,0.109364765924991,0.0733187134502924,0.242564480471629,0.0686311256136638,0.231897813804962,0.0705922512374125,0.0936672668958586,0.0504972976048245,0.0705922512374125,0.205534404521868
"PAK1",-0.179595922473279,-0.228571428571429,-0.203348612172142,-0.210924369747899,-0.0156935923653715,-0.0571428571428571,-0.175177272083349,-0.0539170506912442,-0.0674972976048245,-0.017948717948718,-0.240869565217391,-0.0203663003663004,-0.0225641025641026,-0.0571428571428571,-0.0677631578947368,-0.0625,-0.075,-0.1,-0.0412678767876788,-0.28,-0.0216470056857431,-0.0216470056857431,-0.0211924602311977,-0.0994642796897493,0.12,0.12980980980981,0.116296296296296,0.0915401821962134,0.1,-0.0933614363778298,0.00464668870163047,0.146816017316017,-0.125704750764469,-0.116296296296296,-0.12980980980981,-0.133883883883884,-0.135125263194229,-0.127990776398992,-0.129454191033138,-0.12,-0.158880317253772,0.0216470056857431,-0.142408857551902,0.0922422106520785,0.0576351402220967,0.109364765924991,0.0733187134502924,0.242564480471629,0.0686311256136638,0.231897813804962,0.0705922512374125,0.0936672668958586,0.0504972976048245,0.0705922512374125,0.205534404521868
"LIV1",-0.179595922473279,-0.228571428571429,-0.203348612172142,-0.210924369747899,-0.0156935923653715,-0.0571428571428571,-0.175177272083349,-0.0539170506912442,-0.0674972976048245,-0.017948717948718,-0.240869565217391,-0.0203663003663004,-0.0225641025641026,-0.0571428571428571,-0.0677631578947368,-0.0625,-0.075,-0.1,-0.0412678767876788,-0.28,-0.0216470056857431,-0.0216470056857431,-0.0211924602311977,-0.0994642796897493,0.12,0.12980980980981,0.116296296296296,0.0915401821962134,0.1,-0.0933614363778298,0.00464668870163047,0.146816017316017,-0.125704750764469,-0.116296296296296,-0.12980980980981,-0.133883883883884,-0.135125263194229,-0.127990776398992,-0.129454191033138,-0.12,-0.158880317253772,0.0216470056857431,-0.142408857551902,0.0922422106520785,0.0576351402220967,0.109364765924991,0.0733187134502924,0.242564480471629,0.0686311256136638,0.231897813804962,0.0705922512374125,0.0936672668958586,0.0504972976048245,0.0705922512374125,0.205534404521868
"EGR1",-0.179595922473279,-0.228571428571429,-0.203348612172142,-0.210924369747899,-0.0156935923653715,-0.0571428571428571,-0.175177272083349,-0.0539170506912442,-0.0674972976048245,-0.017948717948718,-0.240869565217391,-0.0203663003663004,-0.0225641025641026,-0.0571428571428571,-0.0677631578947368,-0.0625,-0.075,-0.1,-0.0412678767876788,-0.28,-0.0216470056857431,-0.0216470056857431,-0.0211924602311977,-0.0994642796897493,0.12,0.12980980980981,0.116296296296296,0.0915401821962134,0.1,-0.0933614363778298,0.00464668870163047,0.146816017316017,-0.125704750764469,-0.116296296296296,-0.12980980980981,-0.133883883883884,-0.135125263194229,-0.127990776398992,-0.129454191033138,-0.12,-0.158880317253772,0.0216470056857431,-0.142408857551902,0.0922422106520785,0.0576351402220967,0.109364765924991,0.0733187134502924,0.242564480471629,0.0686311256136638,0.231897813804962,0.0705922512374125,0.0936672668958586,0.0504972976048245,0.0705922512374125,0.205534404521868
"cfos",-0.180285577645692,-0.242857142857143,-0.210924369747899,-0.228571428571429,-0.0230555555555556,-0.1,-0.173519813519813,-0.0571428571428571,-0.0539170506912442,-0.0333333333333333,-0.28,-0.0225641025641026,-0.017948717948718,-0.0571428571428571,-0.0625,-0.075,-0.1,0,-0.0402777777777778,-0.12,-0.0265250544662309,-0.0265250544662309,-0.0216470056857431,-0.0952842153810677,0.1,0.116296296296296,0.12,0.0860730541685318,0.1,-0.10647619047619,-0.00195229606994313,0.145725108225108,-0.123873248932967,-0.12,-0.12980980980981,-0.12980980980981,-0.133883883883884,-0.129454191033138,-0.116296296296296,-0.1,-0.155106732348112,0.0265250544662309,-0.139702090634609,0.0974863336177205,0.0549177489177489,0.120581949695874,0.0677631578947368,0.240869565217391,0.0848075962018991,0.242564480471629,0.0705922512374125,0.0901302894038971,0.0674972976048245,0.08994708994709,0.203348612172142
"CDC42",-0.180285577645692,-0.142857142857143,-0.210924369747899,-0.228571428571429,-0.0230555555555556,-0.1,-0.173519813519813,-0.0571428571428571,-0.0539170506912442,-0.0333333333333333,-0.28,-0.0225641025641026,-0.017948717948718,-0.0571428571428571,-0.0625,-0.075,-0.1,0,-0.0402777777777778,-0.22,-0.0265250544662309,-0.0265250544662309,-0.0216470056857431,-0.0952842153810677,0.1,0.116296296296296,0.12,0.0860730541685318,0.1,-0.10647619047619,-0.00195229606994313,0.145725108225108,-0.123873248932967,-0.12,-0.12980980980981,-0.12980980980981,-0.133883883883884,-0.129454191033138,-0.116296296296296,-0.1,-0.155106732348112,0.0265250544662309,-0.139702090634609,0.0974863336177205,0.0549177489177489,0.120581949695874,0.0677631578947368,0.240869565217391,0.0848075962018991,0.242564480471629,0.0705922512374125,0.0901302894038971,0.0674972976048245,0.08994708994709,0.203348612172142
"SNAI1",-0.174894524760445,-0.210924369747899,-0.205534404521868,-0.203348612172142,-0.0131053570712539,-0.0571428571428571,-0.165553841121006,-0.0674972976048245,-0.0504972976048245,-0.0225641025641026,-0.242564480471629,-0.0171009942438514,-0.0203663003663004,-0.0539170506912442,-0.0733187134502924,-0.0677631578947368,-0.0625,-0.075,-0.033343348485792,-0.240869565217391,-0.0211924602311977,-0.0211924602311977,-0.0200430349438414,-0.0904851898988514,0.116296296296296,0.12980980980981,0.12980980980981,0.0914361239235808,0.12,-0.0967882276550884,-0.00217367633199104,0.14939027474176,-0.12905535525497,-0.129454191033138,-0.133883883883884,-0.135125263194229,-0.138687472796707,-0.132561160311241,-0.127990776398992,-0.116296296296296,-0.162843021216476,0.0211924602311977,-0.144053594394007,0.0900631962370601,0.0503530889400455,0.00847508620968821,0.0677631578947368,0.231897813804962,0.06982160180414,0.234588396764603,0.0692392377072772,0.0910842410656003,0.0510798218766691,0.0705922512374125,0.201502146457352
"cMet",-0.144567510548523,-0.113333333333333,-0.1425,-0.125833333333333,0.027103476233911,0.1,-0.05,0.01,0.0281818181818182,-0.0142857142857143,-0.08,-0.0196608542633179,-0.00902255639097744,0.05,-0.00666666666666667,0,0,0,0.06,-0.1,-0.0133333333333333,-0.0133333333333333,-0.0152201257861635,-0.0857142857142857,0,-0.07,0.05,-0.0543960203020893,0.1,0.00317460317460317,0.0433244126043039,0.0407450076804916,0.0973293314040645,0.05,0.0816279069767442,0.092397137745975,0.0986118270115117,0.0790909090909091,0.07,0.1,0.101111111111111,0.0133333333333333,0.00395745521795942,-0.0902476760870921,0.142270239124172,0.0876066643238811,0.0129166666666667,0.08,-0.07781217750258,0.0963636363636364,-0.0284456813028242,0.104473304473304,-0.0281818181818182,-0.0339002267573696,0.138244680851064
"GLI",-0.143575313897489,-0.07,-0.0527369334200824,-0.0596551724137931,0.0143068022865543,-0.123809523809524,-0.0868133885313627,-0.11328320802005,-0.131650554958826,0.0136516357206012,-0.0926190476190476,0.00710401667298219,0.00615163572060124,-0.123809523809524,-0.0195846759756534,-0.0175438596491228,-0.0333333333333333,-0.0666666666666667,-0.0345446883499981,-0.134285714285714,0.0497961200524856,0.0497961200524856,0.0503901794584262,-0.082405103259942,0.12,0.113627065302911,0.103870967741935,0.0755329435874789,0.1,-0.0719287859287859,0.00311865636943036,0.200955469134993,-0.106232318865993,0.0161290322580645,-0.111040858406359,-0.113638261003762,-0.112502576604479,-0.0906294158020106,0.00554079696394687,0,-0.140339673913043,-0.0497961200524856,-0.107018007699101,0.0956497731933913,0.0468681262144759,0.0562165928329278,0.0242721759756534,0.0991125541125541,0.0214552142820394,0.0864053717921121,0.0222090181338245,0.0784044205495818,0.117247262777756,0.0200468559716623,0.0572075216553765
"SMAD",-0.115541195118027,-0.185714285714286,-0.155672582983937,-0.167404426559356,-0.0542453567937439,-0.15,-0.124415913046912,-0.135,-0.146926605504587,-0.0714285714285714,-0.221658986175115,-0.0648056923918993,-0.0679802955665025,-0.15,-0.132166199813259,-0.134126984126984,-0.138888888888889,-0.15,-0.0205708370304644,-0.257142857142857,-0.0673794211610806,-0.0673794211610806,-0.0660636316873963,-0.0790568105939652,0.148571428571429,0.175695611577965,0.154126984126984,0.143091062781234,0.12,-0.0731200121589638,0.000690568454416186,0.227305330425631,-0.200270619810105,-0.134126984126984,-0.183331975214328,-0.194322477249606,-0.201212041585979,-0.161755650424715,-0.15528083028083,-0.128571428571429,-0.223458372040875,0.0673794211610806,-0.116373573366949,-0.0175451824488866,0.0251635248262728,0.0614629859387924,0.141499533146592,0.219333404779766,0.11342735241328,0.207794943241305,0.0600417846993189,0.067806682836639,0.127967497697896,0.161946546604081,0.154477363860431
"SHH",-0.35,0,-0.133333333333333,-0.0333333333333333,-0.191428571428571,-0.2,-0.22,-0.3,-0.266666666666667,-0.1,-0.1,-0.0333333333333333,0,-0.2,0.1,0,0,0,0,0,0,0,-0.0230769230769231,-0.075,-0.1,-0.2,-0.1,-0.186388888888889,0,-0.1,0.0166666666666667,-0.271794871794872,0.263942652329749,0.2,0.25,0.31,0.354444444444444,0.35,0.3,0.2,0.371428571428571,0,0.348311688311688,0.450191570881226,0.225,0.266666666666667,-0.1,0,0.0666666666666667,0.1,0.05,0.225,0.266666666666667,0.0666666666666667,0.153333333333333
"TGF",0.0405434782608696,-0.08,-0.0831746031746032,-0.102222222222222,-0.109088119783996,-0.133333333333333,-0.0670995670995671,-0.126666666666667,-0.137011494252874,-0.0333333333333333,-0.152380952380952,-0.0133333333333333,-0.0133333333333333,-0.193333333333333,-0.0297619047619048,-0.0583333333333333,-0.0333333333333333,0,-0.0657894736842105,-0.166666666666667,-0.0833333333333333,-0.0833333333333333,-0.0851190476190476,-0.0745634838083351,0.1,0.11,0.1,0.0816316663536923,0,-0.0581998474446987,0.0468404201162822,0.0240269623831268,-0.124185046010781,-0.0857142857142857,-0.10811320754717,-0.121271102284012,-0.122228040083055,-0.0938274932614555,-0.0957142857142857,-0.1,-0.142989417989418,0.0833333333333333,-0.0313531256187437,0.0468145860852605,-0.0331481481481481,-0.0257851239669421,0.0350250626566416,0.178696741854637,0.123920051579626,0.149807852965748,0.149169110459433,0.00184129625777223,0.130761494252874,0.137878787878788,-0.0257539682539683
"ZEB2",-0.355367521367521,-0.341558441558442,-0.338144712430427,-0.336103896103896,-0.251601060653086,-0.25,-0.249404186795491,-0.247142857142857,-0.234947735191638,-0.233333333333333,-0.232894736842105,-0.230972677595628,-0.229333333333333,-0.221428571428571,-0.213333333333333,-0.211111111111111,-0.211111111111111,-0.2,-0.179120879120879,-0.175,-0.0922294372294372,-0.0922294372294372,-0.0920153044671246,-0.0740620609685629,-0.07,-0.0671929824561403,-0.0566666666666667,-0.0560860003425536,-0.05,0.0139302106758917,0.014074817398865,0.0317032279138845,0.0610144258705332,0.0639393939393939,0.0644152046783626,0.0707532328473767,0.0712727133668572,0.0740076131819251,0.0767599067599068,0.0772727272727273,0.0838354954999142,0.0922294372294372,0.118942949470528,0.147919737761054,0.204191725819936,0.205258357257094,0.208660436137072,0.210314091680815,0.221205729754117,0.221289701436913,0.240647090799959,0.24151874183936,0.248584098828001,0.250403188360935,0.336028310314025
"SRC",-0.196615312791783,-0.111111111111111,-0.153373015873016,-0.148611111111111,-0.160091155022348,-0.0333333333333333,-0.180384490061909,-0.113333333333333,-0.117037037037037,-0.145,-0.175757575757576,-0.162857142857143,-0.159285714285714,-0.133333333333333,-0.125641025641026,-0.133333333333333,-0.1,-0.1,-0.04,-0.166666666666667,-0.037363370880267,-0.037363370880267,-0.0449391284560246,-0.0721398622342019,0,-0.19,-0.15,-0.169708994708995,0,0.0421834625322998,-0.00850534328795198,0.0148051948051948,0.256213141745248,0.15,0.224426229508197,0.248816473410636,0.273201260882672,0.224426229508197,0.19,0.1,0.257679884397977,0.037363370880267,0.271194855868769,0.317105239571781,0.242853353543009,0.107580423893141,0.108974358974359,0.209090909090909,0.0686444885799404,0.199656946826758,0.116755571360835,0.136897274633124,0.137625272331155,0.105043859649123,0.155191197691198
"Csn",0.00779502891085982,-0.0840909090909091,-0.0539914066033469,-0.0706580732700136,0.0366828412424267,-0.0714285714285714,0.0118195471475539,-0.0229437229437229,-0.0154168412232928,-0.0772727272727273,-0.106666666666667,-0.0603896103896104,-0.0603896103896104,-0.0380952380952381,-0.125833333333333,-0.138333333333333,-0.155,0.02,0.0689334716937622,-0.106666666666667,-0.011299298574002,-0.011299298574002,-0.00611695692333017,-0.0324449958643507,0.216666666666667,0.249238332640908,0.240804597701149,0.127532855566054,0.2,-0.039494361847303,-0.0130816844099158,0.253950920274298,-0.175499606671967,-0.240804597701149,-0.266571665974242,-0.275574881408325,-0.285135915683731,-0.266268900326498,-0.249238332640908,-0.216666666666667,-0.298727769908719,0.011299298574002,-0.333707010887299,-0.0759621022863696,-0.102558048932523,-0.0684743178401729,0.131433333333333,0.0793939393939394,0.0693853820598007,0.0762689393939394,0.0617065576649795,0.0579222497932175,0.0178758576167355,0.0737888198757764,0.0446835307083588
"ERK",-0.0629055049744705,0.0123809523809524,-0.00365015478870448,0.00583889630618603,-0.194375423787531,-0.12,-0.218829968580307,-0.137311475409836,-0.144501017893496,-0.141025641025641,-0.13454878943507,-0.159453770511861,-0.15197454613513,-0.116,-0.0962242169595111,-0.0926948051948052,-0.101785714285714,-0.114285714285714,0.0533493604561566,-0.119655172413793,0.0597097347097347,0.0597097347097347,0.0565194156778315,-0.012637960427113,-0.170175438596491,-0.217727886148939,-0.193252361673414,-0.221231244057421,-0.133333333333333,-0.0118292126833717,0.0220566051791115,-0.116310296245365,0.262783873066884,0.196410256410256,0.235285138057336,0.252757257016443,0.26629892368311,0.238179013968488,0.220885780885781,0.173333333333333,0.266631197421565,-0.0597097347097347,0.367006051064343,0.494368074535202,0.0989734023828827,0.0758459608869641,0.0925544921888689,0.037882122768403,0.0875987929862899,0.0459601171973724,0.100212597227588,0.0146414223329688,0.156095220792047,0.100212597227588,0.012166638305188
"MEK",-0.0463243083932739,0.0266666666666667,0.00583889630618603,0.0123809523809524,-0.182026026197169,-0.1,-0.206295149638803,-0.116,-0.137311475409836,-0.133333333333333,-0.119655172413793,-0.15197454613513,-0.141025641025641,-0.12,-0.0926948051948052,-0.101785714285714,-0.114285714285714,-0.1,0.0591746031746032,-0.13,0.0644716394716395,0.0644716394716395,0.0597097347097347,-0.00933087381293981,-0.133333333333333,-0.193252361673414,-0.170175438596491,-0.209319125966107,-0.1,0.000573888091822095,0.0230369973359743,-0.105865246290778,0.248616439764216,0.173333333333333,0.217727886148939,0.235285138057336,0.252757257016443,0.220885780885781,0.196410256410256,0.133333333333333,0.2459807909175,-0.0644716394716395,0.355318715476219,0.475792781478395,0.0844102955867662,0.0635774423684456,0.0962242169595111,0.13454878943507,0.0831619329180305,0.037882122768403,0.100212597227588,0.00598000501013414,0.144501017893496,0.095415549257108,0.00365015478870448
