"","TGFR","CDC42","PAK1","RKIP","SNAI1","GSK3","ERK","SUFU","HEY1","FUS","SHH","Patched","ILK","SMAD","IKK","AKT","Destcompl","RAS","RAF","PI3K","DELTA","ZEB2","cateninmemb","Ecadherin","FOXC2","AXIN2","Wnt","Frizzled","DSH","GLI","cateninnuc","KLF4","miR200","SNAI2","CD44","TCFLEF","STAT","SRC","LIV1","cMet","SOSGRB2","NFB","SMO","NOTCH","NOTCHic","Csl","Jagged","TrCP","TWIST1","Csn","cfos","MEK","EGR1","ZEB1","TGF"
"STAT",-0.157864832535885,-0.171022727272727,-0.177272727272727,-0.119510939510939,-0.0777301232686508,0.0681330663106364,-0.202352941176471,-0.05,0.0306666666666667,0.025,0.0170985113535021,0.00205426356589147,0.0294685990338164,0.0237214725970348,0.0342857142857143,0.0359806295399516,0.0877797447923184,-0.0697126958260805,-0.0629962779156328,-0.0629962779156328,-0.0629962779156328,-0.0912856374394836,0.120339550104984,0.074374092862556,-0.00525153374233129,0.0711574699809994,0.012012987012987,0.0392857142857143,0.0142857142857143,0.019576012223071,0.0179103081846133,0.188730441671618,-0.00331011312110019,0.0199180048771943,-0.0197052947052947,-0.0206516669450423,-0.0142857142857143,-0.0392857142857143,0.1,-0.012012987012987,0.145238095238095,-0.02,-0.0183333333333333,-0.0258863660919629,-0.0365659777424483,-0.0176470588235294,-0.0148616596185883,0,0.0293628077736024,0,0.22,0.199127134724858,0.2,0.0867670790747714,0.167043576497238
"ZEB2",-0.375287569573284,-0.373246753246753,-0.371428571428571,-0.280950080515298,-0.252105146325035,-0.24689537687759,-0.222962648556876,-0.2,-0.188302503947665,-0.185714285714286,-0.178815331010453,-0.178815331010453,-0.168642882938658,-0.164374590255731,-0.158888888888889,-0.150477673935618,-0.120415436384803,-0.0921745599154593,-0.0911038961038961,-0.0911038961038961,-0.0911038961038961,-0.0831040598014524,-0.0802131152243512,-0.0742193840044019,-0.0705843045843046,-0.0670205698746298,-0.0616550116550117,-0.0590909090909091,-0.0590909090909091,-0.0570678556917089,-0.0467788210745957,-0.0150255931292492,0.024811120467155,0.0336380884294631,0.0453703703703704,0.0467788210745957,0.05,0.05,0.05,0.05,0.158827838827839,0.161111111111111,0.188571428571429,0.188620428751576,0.193538461538462,0.194871794871795,0.19946149107462,0.2,0.210085734521191,0.211111111111111,0.219736842105263,0.224182160751998,0.225,0.252305732129156,0.376874871160585
"cMet",-0.117222222222222,-0.111666666666667,-0.0866666666666667,-0.0688888888888889,-0.104951837735067,-0.0322196620583717,-0.095,0.1,0.0374957000343997,0.05,0.0476136363636364,0.0663636363636364,0.0497732426303855,0.0606823335394764,-0.00666666666666667,0.00583333333333333,0.0693351050493908,0.00765498652291105,0.0114285714285714,0.0114285714285714,0.0114285714285714,-0.0784992784992785,0.132679858694094,0.112822522744268,-0.0701107594936709,0.0815873015873016,0.0566666666666667,0.05,0.1,0.0612121212121212,0.0638249295048664,0.171428571428571,0.0531977382520861,0.00130273619324714,-0.0589922480620155,-0.0559153249850924,0,0.05,0.1,-0.0566666666666667,-0.0880952380952381,0,-0.03,-0.00913453847384419,0.00150375939849624,-0.0142857142857143,-0.0672656329178068,0,0.0765814709634934,0,0.095,0.0968181818181818,0.075,0.0747474747474748,0.112966903073286
"TGFR",0.0172222222222222,0.113650793650794,0.108888888888889,-0.013982683982684,0.00312197724506655,-0.109581575426388,-0.0360066833751044,-0.0866666666666667,-0.0917665059614885,-0.0533333333333333,-0.0666199103837912,-0.0705747126436782,-0.0680742913000977,-0.0641597005527668,-0.129072681704261,-0.133723844494958,0.00481370248576427,0.0179720133667502,0.0244047619047619,0.0244047619047619,0.0244047619047619,-0.0734263842169373,0.048279632684391,0.0601890226458804,-0.0817451653150343,0.0240360378772396,-0.00646900269541779,0.0142857142857143,0.0142857142857143,0.00449873924006608,0.0211207059348018,0.0729840906614362,0.0493905535201419,0.056320524023835,-0.0231049321416749,-0.0226264632421534,-0.0333333333333333,-0.0333333333333333,0,-0.0125786163522013,0.039554905782976,0.123809523809524,0.0705747126436782,0.14090630943521,0.130114942528736,0.126666666666667,0.059968570574801,0.166666666666667,0.00444773955450112,0.166666666666667,0.0471177944862156,0.0401162724162003,0.0523809523809524,0.0153361602729074,-0.00942080378250591
"HEY1",-0.0989090909090909,-0.102909090909091,-0.0909090909090909,-0.0874355802927232,-0.078228551514081,-0.137571314744426,-0.100855614973262,0,0.00851031321619557,-0.0333333333333333,-0.0153225806451613,-0.025,0.02,0.0185507246376812,0.0152380952380952,0.0263492063492064,-0.134409579124844,-0.0293929110105581,-0.0301282051282051,-0.0301282051282051,-0.0301282051282051,-0.0726883384932921,-0.223584069498704,-0.291791367047733,0.0186837624072954,-0.0755721622009673,0.0199726402188783,0.0176470588235294,0,0.0216967781499127,0.0214861118574243,0.0888888888888889,0.0426577126577127,-0.00679970338515294,-0.0208422054362696,-0.0238522388810856,0,-0.0176470588235294,-0.0333333333333333,-0.0199726402188783,0.000343053173241853,-0.02,0,0.0366112563508114,0.0438277511961723,0.0490909090909091,-0.0215092453773113,0.1,0.0249803921568627,0,0.0890909090909091,0.089515408787695,0.08,0.105655314757482,0.102323725055432
"FOXC2",-0.0989090909090909,-0.102909090909091,-0.0909090909090909,-0.0874355802927232,-0.078228551514081,-0.137571314744426,-0.100855614973262,0,0.00851031321619557,-0.0333333333333333,-0.0153225806451613,-0.025,0.02,0.0185507246376812,0.0152380952380952,0.0263492063492064,-0.134409579124844,-0.0293929110105581,-0.0301282051282051,-0.0301282051282051,-0.0301282051282051,-0.0726883384932921,-0.223584069498704,-0.291791367047733,0.0186837624072954,-0.0755721622009673,0.0199726402188783,0.0176470588235294,0,0.0216967781499127,0.0214861118574243,0.0888888888888889,0.0426577126577127,-0.00679970338515294,-0.0208422054362696,-0.0238522388810856,0,-0.0176470588235294,-0.0333333333333333,-0.0199726402188783,0.000343053173241853,-0.02,0,0.0366112563508114,0.0438277511961723,0.0490909090909091,-0.0215092453773113,0.1,0.0249803921568627,0,0.0890909090909091,0.089515408787695,0.08,0.105655314757482,0.102323725055432
"CD44",-0.111666666666667,-0.0866666666666667,-0.0666666666666667,-0.0614814814814815,-0.0998670919723551,-0.0273809523809524,-0.095,0.1,0.0590643274853801,0.1,0.0663636363636364,0.03,0.0722222222222222,0.0497732426303855,0,-0.00666666666666667,0.0706864564007421,0.0114285714285714,0.0142857142857143,0.0142857142857143,0.0142857142857143,-0.0714285714285714,0.126630036630037,0.120710563456737,-0.06125,0.08,0.05,0.1,0,0.0566666666666667,0.0559153249850924,0.166666666666667,0.0469477382520861,0.00422244422244422,-0.0566666666666667,-0.0589922480620155,0.1,0,0.1,0.05,-0.0880952380952381,0,-0.05,0.00150375939849624,-0.0142857142857143,0,-0.0781351981351981,0.1,0.0754578754578755,0,0.075,0.095,0.1,0.0777777777777778,0.117222222222222
"cateninmemb",-0.102323725055432,-0.0989090909090909,-0.102909090909091,-0.0855629211166932,-0.078228551514081,-0.136688312536921,-0.089515408787695,-0.0333333333333333,0.00649689039740362,0,-0.0168973837947676,-0.0153225806451613,0.0185507246376812,0.0154030248798119,0.0263492063492064,0.0341414141414141,-0.134689169059606,-0.031906877491005,-0.0293929110105581,-0.0293929110105581,-0.0293929110105581,-0.0707926038961357,0.110900107106371,0.116956841031281,0.0212009248786913,-0.0728917498298333,0.0216967781499127,0.0199726402188783,0.0176470588235294,0.0243634448165794,0.0223264479918781,0.0914205344585091,0.0391195376111577,-0.00842523017624264,-0.0238522388810856,-0.0214861118574243,-0.0176470588235294,-0.0199726402188783,0,-0.0208422054362696,-0.00360431524781078,-0.0152380952380952,0.025,0.0317785425961646,0.0366112563508114,0.0438277511961723,-0.0231110760409269,0,0.0214422171103078,-0.02,0.100855614973262,0.0930448205524009,0.0890909090909091,0.103285646511036,0.100696238617819
"SOSGRB2",-0.070989010989011,-0.0671428571428571,-0.0571428571428571,-0.0976608187134503,-0.011409381663113,-0.0337075796262332,-0.0328614328614329,0,-0.0116477272727273,0,-0.00629583071443536,0.00765765765765766,-0.00279569892473119,-0.00489360102263328,0.00584795321637427,0.0350146198830409,-0.0994493202546894,-0.0653411560191221,-0.0717514124293785,-0.0717514124293785,-0.0717514124293785,-0.0470551378446115,-0.0769150189150189,-0.0733448909688092,-0.0474725274725275,0.0246012101210121,0.0226190476190476,0.0142857142857143,0,0.0182712215320911,0.0216348836177233,0.0499122807017544,0.0305013686016297,0.00533844740424365,-0.0229813664596273,-0.0145603138280484,0,-0.0142857142857143,0,-0.0273291925465838,0.0730555555555556,-0.0111111111111111,0.0166666666666667,-0.0330345710627401,-0.00909090909090909,-0.00909090909090909,-0.00872228482347858,0,0.00310144927536232,0,0.0301587301587302,0.0237705237705238,0.019047619047619,0.0631203007518797,0.0631875925492947
"miR200",-0.195018975332068,-0.201470588235294,-0.191666666666667,-0.131673404766617,-0.106733266733267,-0.0742332166204192,-0.125194805194805,-0.12,-0.0850282485875706,-0.12,-0.0974885342139057,-0.099662447257384,-0.0753345507327808,-0.0769019488519031,-0.0643609022556391,-0.0568137324443184,0.0620097810423491,-0.109028662557155,-0.110275545350172,-0.110275545350172,-0.110275545350172,-0.0205779569892473,0.111100882055691,0.0428543659254544,-0.00677690872812824,0.0690295592804201,0.0105915492957746,0.012,0,0.00289924160346696,0.0165852803110005,0.01783988957902,-0.0677584737043243,0.0868419790248761,-0.0124655111912314,-0.0164337651594854,0,-0.0217391304347826,0,-0.0203306797305573,0.0854738878143133,0.0957894736842105,0.0933333333333333,0.0730895327154824,0.0770443349753695,0.104630541871921,0.0976141772556541,0.1,0.0403169019119939,0.08,0.134285714285714,0.119072356215213,0.114285714285714,0.185833333333333,0.193856184634394
"IKK",0.109090909090909,0.1,0.1,-0.0617486338797814,-0.0698826689284705,-0.18485347985348,0.0397142857142857,-0.1,-0.0959752321981424,-0.12,-0.123192848020434,-0.116296296296296,-0.101388888888889,-0.090497799779978,0.0142857142857143,0.0223938223938224,-0.099534153220747,-0.139227865681688,-0.142044767090139,-0.142044767090139,-0.142044767090139,-0.0125513784461153,0.179518237814327,0.17961846585876,-0.176969696969697,0.140238095238095,0.111111111111111,0.111111111111111,0.1,0.10957264957265,0.110423682970347,0.0175824175824176,0.0089520624303233,0.00399080789088847,-0.10957264957265,-0.111267564826887,-0.1,-0.111111111111111,-0.1,-0.111111111111111,-0.0571428571428571,-0.114285714285714,0.12,-0.118614718614719,-0.113852813852814,-0.109090909090909,-0.00605748203686348,-0.2,-0.188202614379085,-0.1,-0.0357142857142857,-0.0419365079365079,-0.05,0.0175438596491228,-0.113090909090909
"NFB",-0.113090909090909,-0.109090909090909,-0.1,0.0630306851618327,0.0657730798873746,0.181324068088774,-0.0419365079365079,0.12,0.0852609464838567,0.12,0.115963932357784,0.123192848020434,0.090497799779978,0.094587019110833,-0.0223938223938224,-0.0201716001716002,0.0983713625230726,0.139227865681688,0.139227865681688,0.139227865681688,0.139227865681688,0.01523337078328,-0.178356674984338,-0.181544629582677,0.178961728842207,-0.141656534954407,-0.10957264957265,-0.111111111111111,-0.111111111111111,-0.110696245078268,-0.107992310421327,-0.00989010989010989,-0.0122753252702025,-0.00256804366324619,0.111267564826887,0.110423682970347,0.111111111111111,0.111111111111111,0.1,0.10957264957265,0.0603007518796992,0.0142857142857143,-0.116296296296296,0.116679234743751,0.118614718614719,0.113852813852814,0.0110934532598851,0.1,0.188520074696545,0.114285714285714,0.0397142857142857,0.0452044817927171,0.0357142857142857,-0.0171607178866707,0.112457997698504
"Csn",0.0851494276867411,0.0864314789687924,0.0909090909090909,0.0855888938647559,0.10343128347582,0.284463168419206,-0.0412987012987013,0.0142857142857143,-0.0181035437430786,0.0142857142857143,0.0146014042365179,0.016240748498813,-0.00813535196687371,-0.00685000492317191,-0.153333333333333,-0.157333333333333,0.235753646877037,0.317069037037655,0.319180361413855,0.319180361413855,0.319180361413855,0.0210752688172043,-0.0574887577355381,-0.0229326907729658,0.112012466743093,-0.173708097261567,-0.137986428472511,-0.136781609195402,-0.133333333333333,-0.138423109695218,-0.135518613856991,-0.0209337068160598,-0.00497611242857386,-0.0360488358040205,0.138430872916955,0.136180069058434,0.133333333333333,0.136781609195402,0.133333333333333,0.137986428472511,-0.122930935085899,0.153333333333333,-0.0173160173160173,0.170344932844933,0.167460317460317,0.166161616161616,0.0384100352864232,0.22,0.0142441951067477,0.145,0.04,0.0433820346320346,0.04,-0.0266517783291977,-0.083478783295333
"TWIST1",-0.143372518286311,-0.145872518286311,-0.142424242424242,0.00398209963427355,0.000318592030010454,-0.122113500343009,-0.07627765064836,0.166666666666667,0.0859502079841063,0.155555555555556,0.160861446641324,0.152487062404871,0.0844298844298844,0.0814595874001815,0.147069597069597,0.14537468181536,-0.126312468160088,-0.0573609404432189,-0.0549636801692463,-0.0549636801692463,-0.0549636801692463,0.0244349612770665,-0.168917897067246,-0.24005822528268,0.14318644596214,-0.0954259718775848,-0.0621637426900585,-0.0611111111111111,-0.0666666666666667,-0.0597637426900585,-0.0604100031887425,-0.0224932249322493,-0.038294378646543,0.0186923628519973,0.0612307385570651,0.0586273694912152,0.0666666666666667,0.0611111111111111,0.0666666666666667,0.0632387706855792,0.0455084198791293,-0.142307692307692,-0.167555555555556,-0.0395377089716712,-0.0414245014245014,-0.0362962962962963,-0.0355746846407883,-0.1,0.0792579274272638,-0.15,0.0710144927536232,0.0727950635836834,0.0666666666666667,-0.0238729958028204,0.145878213047131
"SNAI2",0.0730374200962436,0.0773109243697479,0.0725490196078431,0.0664871794871795,0.0599342618842188,0.0923336857774152,0.0862745098039216,0,-0.0133363471971067,-0.02,-0.0292825862739462,-0.0151980792316927,-0.023943661971831,-0.0148527528809219,0.021551724137931,0.0155276277523889,0.0903641785816174,-0.0141905997445564,-0.0160170837628213,-0.0160170837628213,-0.0160170837628213,0.0630839102160688,0.108956420363407,0.096206676869928,-0.0323489658618155,0.064231056364315,0.0190305469178709,0.0148051948051948,0.0290909090909091,0.016356750126427,0.0177124354856778,-0.0707692307692308,-0.0486405107097355,-0.0335444116071476,-0.0168800092834623,-0.0158490814484107,-0.0290909090909091,-0.0148051948051948,-0.02,-0.0190305469178709,0.0240027045300879,-0.025,0.0376470588235294,-0.0473855092276145,-0.0486842105263158,-0.0574561403508772,-0.01414220925909,-0.1,-0.0308002739578462,0,-0.0843137254901961,-0.0781664016958135,-0.0666666666666667,-0.0806070904132578,-0.0767641281707778
"Ecadherin",0.102323725055432,0.0989090909090909,0.102909090909091,0.0855629211166932,0.078228551514081,0.136688312536921,0.089515408787695,0.0333333333333333,-0.00649689039740362,0,0.0168973837947676,0.0153225806451613,-0.0185507246376812,-0.0154030248798119,-0.0263492063492064,-0.0341414141414141,0.134689169059606,0.031906877491005,0.0293929110105581,0.0293929110105581,0.0293929110105581,0.0707926038961357,0.223199454114088,0.191499254097393,-0.0212009248786913,0.0728917498298333,-0.0216967781499127,-0.0199726402188783,-0.0176470588235294,-0.0243634448165794,-0.0223264479918781,-0.0914205344585091,-0.0391195376111577,0.00842523017624264,0.0238522388810856,0.0214861118574243,0.0176470588235294,0.0199726402188783,0,0.0208422054362696,0.00360431524781078,0.0152380952380952,-0.025,-0.0317785425961646,-0.0366112563508114,-0.0438277511961723,0.0231110760409269,0,-0.0214422171103078,0.02,-0.100855614973262,-0.0930448205524009,-0.0890909090909091,-0.103285646511036,-0.100696238617819
"KLF4",0.0989090909090909,0.102909090909091,0.0909090909090909,0.0874355802927232,0.078228551514081,0.137571314744426,0.100855614973262,0,-0.00851031321619557,0.0333333333333333,0.0153225806451613,0.025,-0.02,-0.0185507246376812,-0.0152380952380952,-0.0263492063492064,0.134409579124844,0.0293929110105581,0.0301282051282051,0.0301282051282051,0.0301282051282051,0.0726883384932921,0.223584069498704,0.291791367047733,-0.0186837624072954,0.0755721622009673,-0.0199726402188783,-0.0176470588235294,0,-0.0216967781499127,-0.0214861118574243,-0.0888888888888889,-0.0426577126577127,0.00679970338515294,0.0208422054362696,0.0238522388810856,0,0.0176470588235294,0.0333333333333333,0.0199726402188783,-0.000343053173241853,0.02,0,-0.0366112563508114,-0.0438277511961723,-0.0490909090909091,0.0215092453773113,-0.1,-0.0249803921568627,0,-0.0890909090909091,-0.089515408787695,-0.08,-0.105655314757482,-0.102323725055432
"TGF",-0.113650793650794,-0.108888888888889,-0.12,0.0125541125541126,-0.00636681500317864,0.111782064423943,0.0471177944862156,0.0666666666666667,0.0887814313346228,0.0866666666666667,0.0705747126436782,0.0705747126436782,0.0648484848484848,0.0680742913000977,0.123809523809524,0.129072681704261,-0.00461208958253847,-0.0244047619047619,-0.0136904761904762,-0.0136904761904762,-0.0136904761904762,0.0730490257263713,-0.0485105795666081,-0.0596779493920473,0.0839285714285714,-0.021031746031746,-0.0142857142857143,-0.0142857142857143,0,0.00646900269541779,-0.0226264632421534,-0.0694126620900076,-0.0473377675963883,-0.0584038573571683,0.0125786163522013,0.0231049321416749,0,0.0333333333333333,0,0.0333333333333333,-0.0407894736842105,-0.166666666666667,-0.0533333333333333,-0.130114942528736,-0.126666666666667,-0.166666666666667,-0.0643163966617575,-0.2,-0.00907407407407407,-0.166666666666667,-0.0523809523809524,-0.0360066833751044,-0.0666666666666667,-0.0134493678200772,0.0172222222222222
"SHH",0.4,0.3,0.2,0.22,0.216666666666667,0.287179487179487,0.2,0,0,0,-0.173333333333333,-0.133333333333333,0,-0.05,0.1,0.05,0.274025974025974,0.0923076923076923,0.1,0.1,0.1,0.075,0.121433691756272,0.0966666666666667,0.1,0.180952380952381,0.1,0.2,0.2,0.15,0.0133333333333333,-0.1,-0.0166666666666667,-0.0285823754789272,-0.05,-0.03,-0.1,-0.1,0,0,-0.15,0,0.1,-0.133333333333333,-0.2,-0.1,-0.0828571428571429,0,-0.125,0,-0.1,-0.22,0,-0.225,-0.38
