"","ZEB1","Csl","NFB","Csn","IKK","AKT","RAF","DELTA","GSK3","cateninmemb","cMet","Wnt","GLI","cateninnuc","STAT","TGF","SOSGRB2","TGFR","Ecadherin","CDC42","Frizzled","SRC","DSH","PAK1","TCFLEF","Destcompl","CD44","RAS","PI3K","AXIN2","LIV1","SNAI1","MEK","TWIST1","ERK","NOTCH","SUFU","SNAI2","NOTCHic","cfos","RKIP","EGR1","Jagged","HEY1","TrCP","FUS","SMAD","ILK","SHH","Patched","miR200","SMO","FOXC2","ZEB2","KLF4"
"PAK1",0.206228765054081,0.0102564102564103,-0.0333333333333333,-0.00833333333333333,-0.0385964912280702,-0.0256335282651072,0.0324857856421702,0.0324857856421702,0.0280384199134199,-0.0793220960340439,-0.104074074074074,-0.104074074074074,-0.111391147244806,-0.114130242909348,0.13,0.000155919297674361,-0.0397002200220022,0.00179526355996944,-0.110219596513855,-0.000280112044817928,0.104074074074074,0.104074074074074,-0.13,0.00952380952380952,0.114957829116245,0.145555590220364,0.111994866153282,-0.0333948765512611,-0.0324857856421702,0.150353192675899,0.15,-0.0992205255043236,-0.0333746008351756,-0.0604900244682854,-0.0320412675018423,-0.0041025641025641,-0.00952380952380952,-0.0973960296994576,0.00358974358974359,-0.0269565217391304,-0.128850854486214,-0.04,-0.0184147068847989,0.00480421553928918,0.0333333333333333,-0.0261904761904762,0.00154804574159413,0.00219320703191671,-0.00980935313193377,-0.0128093531319338,-0.102661947720174,-0.0165130568356375,-0.188290939588619,-0.206228765054081,-0.202256570387718
"CDC42",0.20590722164572,0.0333333333333333,-0.00833333333333333,-0.0333333333333333,-0.0333333333333333,-0.0385964912280702,0.037363834422658,0.037363834422658,0.0262202380952381,-0.0802378469497948,-0.104074074074074,-0.104074074074074,-0.104074074074074,-0.114957829116245,0.15,0.00179526355996944,-0.0486111111111111,0.000280112044817928,-0.109596759143613,0.00952380952380952,0.13,0.13,-0.15,0.0857142857142857,0.111994866153282,0.144202206761718,0.104074074074074,-0.0324857856421702,-0.037363834422658,0.147208538587849,0.1,-0.0989818620198367,-0.0320412675018423,-0.0642943722943723,-0.0269565217391304,0.00358974358974359,0.0333333333333333,-0.0992043479634721,-0.0102564102564103,-0.04,-0.128298368298368,-0.06,-0.0153472222222222,-0.00254872563718141,0,-0.00952380952380952,0.00219320703191671,-0.00264550264550265,-0.0128093531319338,-0.0165130568356375,-0.101646719293778,-0.0261904761904762,-0.187601284416206,-0.20590722164572,-0.207174603174603
"NOTCH",0.205636070853462,-0.08,-0.0333333333333333,0,-0.0222222222222222,-0.0555555555555556,0.0933333333333333,0.0933333333333333,0.069531522117729,-0.0599365445409248,-0.121538461538462,-0.121538461538462,-0.0882051282051282,-0.10007326007326,0.1,0.000788530465949819,-0.0547368421052632,-0.00888888888888889,-0.0912959818902094,-0.0111111111111111,0.16,0.16,-0.1,0,0.0915018315018315,0.146539458016094,0.0882051282051282,-0.068695652173913,-0.0933333333333333,0.150673854447439,0,-0.083974358974359,-0.00523809523809524,-0.0512542372881356,-0.0266666666666667,-0.0130875576036866,0,-0.050093370681606,0.0514285714285714,-0.06,-0.126525198938992,0,-0.0194227994227994,-0.0956521739130435,0,0.0333333333333333,-0.0019047619047619,0.00476190476190476,-0.0220965309200603,-0.0397435897435897,-0.101385281385281,-0.0166666666666667,-0.171428571428571,-0.205636070853462,-0.201932367149758
"Jagged",0.201932367149758,-0.1,0,0,-0.0333333333333333,-0.0222222222222222,0.0933333333333333,0.0933333333333333,0.0854406130268199,-0.061507225169197,-0.16,-0.16,-0.121538461538462,-0.0915018315018315,0,-0.00888888888888889,-0.06,0.0111111111111111,-0.0880701754385965,0,0.1,0.1,0,0,0.0882051282051282,0.151212355212355,0.121538461538462,-0.0933333333333333,-0.0933333333333333,0.171428571428571,0,-0.0916666666666667,-0.0266666666666667,-0.036,-0.06,0.0514285714285714,0,-0.042156862745098,0.08,0,-0.123076923076923,-0.1,-0.0416450216450216,-0.1,0,0,0.00476190476190476,0,-0.0397435897435897,-0.0166666666666667,-0.104242424242424,0.0333333333333333,-0.157142857142857,-0.201932367149758,-0.188888888888889
"DELTA",0.201932367149758,-0.1,0,0,-0.0333333333333333,-0.0222222222222222,0.0933333333333333,0.0933333333333333,0.0854406130268199,-0.061507225169197,-0.16,-0.16,-0.121538461538462,-0.0915018315018315,0,-0.00888888888888889,-0.06,0.0111111111111111,-0.0880701754385965,0,0.1,0.1,0,0,0.0882051282051282,0.151212355212355,0.121538461538462,-0.0933333333333333,-0.0933333333333333,0.171428571428571,0,-0.0916666666666667,-0.0266666666666667,-0.036,-0.06,0.0514285714285714,0,-0.042156862745098,0.08,0,-0.123076923076923,-0.1,-0.0416450216450216,-0.1,0,0,0.00476190476190476,0,-0.0397435897435897,-0.0166666666666667,-0.104242424242424,0.0333333333333333,-0.157142857142857,-0.201932367149758,-0.188888888888889
"NOTCHic",0.200450885668277,-0.0514285714285714,-0.0222222222222222,-0.0333333333333333,-0.0555555555555556,-0.0578811369509044,0.068695652173913,0.068695652173913,0.0645728444317786,-0.057299627705225,-0.0882051282051282,-0.0882051282051282,-0.0914309346567411,-0.102363336409138,0.16,0.00269935849142753,-0.0592822966507177,0.000788530465949819,-0.0932867935288005,0.00888888888888889,0.121538461538462,0.121538461538462,-0.16,-0.0111111111111111,0.10007326007326,0.147872791349427,0.0915018315018315,-0.0622917112872135,-0.068695652173913,0.145118298891884,0.1,-0.0866198616198616,-0.0080952380952381,-0.0468517215648652,-0.00523809523809524,0.00270191608052389,0.0333333333333333,-0.0502937714832092,-0.0130875576036866,-0.0266666666666667,-0.116666044009415,-0.06,-0.0240585610122034,-0.100267558528428,0,-0.0166666666666667,0.00313120931825968,-0.0019047619047619,-0.0145696491996302,-0.0220965309200603,-0.0984951079748768,-0.0397435897435897,-0.174654377880184,-0.200450885668277,-0.201932367149758
"TGF",0.0953729514827913,0.0333333333333333,0.00833333333333333,0.0333333333333333,0.0226190476190476,0.00682957393483709,0.161309523809524,0.161309523809524,-0.0671574565899419,-0.05977407971503,-0.103333333333333,-0.112857142857143,-0.107196765498652,-0.106644247840871,0.1,-0.121190476190476,0.1,-0.0247619047619048,-0.0922960541758603,0.02,0.142857142857143,0.133333333333333,-0.1,0.02,0.104251903343264,0.0630889430015108,0.0976729559748428,-0.150595238095238,-0.161309523809524,0.13668430335097,0,-0.0358677685950413,-0.0373266499582289,0.00481481481481481,-0.0528822055137845,-0.0326436781609195,-0.133333333333333,-0.0656907968442909,-0.0533333333333333,-0.0476190476190476,-0.140692640692641,-0.0333333333333333,-0.153178694158076,-0.120889748549323,0,-0.113333333333333,-0.130400782013685,-0.128787878787879,-0.144511494252874,-0.157011494252874,-0.0826541274817137,-0.146666666666667,-0.0269409937888199,-0.0953729514827913,-0.0917365878464277
"TGFR",0.0934861590299611,0.0533333333333333,0.0226190476190476,0.00833333333333333,0.00682957393483709,0.00915515533018593,0.150595238095238,0.150595238095238,-0.0683799504774725,-0.0600050265972471,-0.0976729559748428,-0.107196765498652,-0.114293539692201,-0.106909969718639,0.133333333333333,-0.119772036474164,0.106172839506173,-0.121190476190476,-0.0921256964245826,0.0247619047619048,0.112857142857143,0.103333333333333,-0.142857142857143,0.02,0.106644247840871,0.063895394614414,0.104251903343264,-0.150595238095238,-0.150595238095238,0.138830226097751,0.1,-0.0379326653502036,-0.0414362389993248,0.00944114933438777,-0.0373266499582289,-0.0319242537004879,-0.113333333333333,-0.0654593153628094,-0.0326436781609195,-0.0528822055137845,-0.137835497835498,-0.0476190476190476,-0.157526520245032,-0.122382285862756,-0.0333333333333333,-0.146666666666667,-0.130044910127564,-0.130400782013685,-0.143946522501461,-0.144511494252874,-0.0811878518218897,-0.157011494252874,-0.0256309501206976,-0.0934861590299611,-0.093522302132142
"cateninnuc",0.0494115074158018,0.0797865662272442,0.138636363636364,0.141666666666667,0.142636363636364,0.144198863636364,-0.127131472131472,-0.127131472131472,-0.157278475593176,-0.0748830202031475,-0.0182037768994291,-0.016871965636111,-0.0180577363870991,-0.12046034863863,0.0242424242424242,-0.0126172290792077,0.0818383469509459,-0.012398888467854,-0.0954905111983832,0.0118241758241758,0.0201328352013284,0.0214646464646465,-0.0242424242424242,0.0102857142857143,0.0202670318753054,-0.156439749671514,0.0189974276930799,0.127468172468172,0.127131472131472,-0.128709700341681,0.0242424242424242,-0.110743416070579,-0.137900865721449,-0.0601481821295446,-0.137900865721449,-0.0804948114703732,-0.0111111111111111,-0.180475607052426,-0.0809493569249186,-0.135369220151829,-0.127657752503906,-0.13695652173913,-0.0275527705713552,-0.0103470597022357,-0.166666666666667,-0.0111111111111111,-0.0131953406605521,-0.0136046176046176,-0.00936204686990817,-0.0108871013361391,-0.0257895742879768,-0.0127504553734062,-0.0914616913141503,-0.0494115074158018,-0.0595439060741552
"SNAI2",0.0380595762534088,-0.0464912280701754,0.225,0.2,0.207758620689655,0.196915247195679,-0.185927018030044,-0.185927018030044,-0.199949113130717,0.0749502400426179,0.131627949515273,0.131627949515273,0.13323222759014,0.134355264179952,-0.134545454545455,-0.00916843883595802,0.14526707234618,-0.00978955684838038,0.173845397865157,0.0106442577030812,-0.127402597402597,-0.127402597402597,0.134545454545455,0.00588235294117647,-0.133734146167529,-0.200527803890792,-0.132703218332478,0.188210123052875,0.185927018030044,-0.196877313189212,-0.18,-0.0435959463877084,-0.190063593004769,-0.165808579605687,-0.194117647058824,0.0595465937571201,0.2,0.141498400565387,0.0517543859649123,-0.196078431372549,-0.0592051282051282,-0.166666666666667,0.130447909589391,-0.0213532248342375,-0.1,0.18,-0.0104226635731454,-0.00898725687458082,0.144465786314526,0.144465786314526,-0.0232302413813267,0.150588235294118,-0.151340199188747,-0.0380595762534088,-0.0530769230769231
"HEY1",0.0369762641898865,0.0272727272727273,0.18,0.2,0.146666666666667,0.139259259259259,-0.128205128205128,-0.128205128205128,-0.155824600036382,-0.0316672972465655,0.0626082991336069,0.0626082991336069,0.0626082991336069,0.063115677401557,-0.0333333333333333,-0.00860310421286031,0.104902801600915,-0.00909090909090909,-0.0279682842074775,0.0130909090909091,-0.0509803921568628,-0.0509803921568628,0.0333333333333333,0.00909090909090909,-0.062742078397821,-0.154958807905032,-0.0617387339162156,0.132616892911011,0.128205128205128,-0.132703218332478,-0.1,-0.0470884355690077,-0.146289211092122,-0.126244008714597,-0.15144385026738,0.00832141271642086,0.2,-0.173588436272033,-0.000956937799043062,-0.169090909090909,-0.0641207998350855,-0.16,0.051455181500159,-0.0147135217723453,-0.1,0.1,-0.0106666666666667,-0.0106666666666667,0.0761424731182796,0.0729166666666667,-0.0211599511599512,0.0666666666666667,-0.109966727162734,-0.0369762641898865,-0.0518518518518519
"Ecadherin",0.0365023305405974,0.000956937799043062,0.146666666666667,0.18,0.139259259259259,0.145752765752766,-0.132616892911011,-0.132616892911011,-0.156266101140135,-0.0324365280157963,0.0617387339162156,0.0626082991336069,0.0639416324669403,0.0619952292222853,-0.0509803921568628,-0.00986892699767044,0.106218591074599,-0.00860310421286031,-0.127773542240584,0.00909090909090909,-0.0626082991336069,-0.0626082991336069,0.0509803921568628,0.0130909090909091,-0.063115677401557,-0.155704381064398,-0.062742078397821,0.133175552128888,0.132616892911011,-0.133734146167529,-0.0333333333333333,-0.0480378026576153,-0.149818622856828,-0.127175107411059,-0.146289211092122,0.00423219338556584,0.1,-0.173889459751864,0.00832141271642086,-0.15144385026738,-0.0622481406590556,-0.169090909090909,0.0521416803559943,-0.0127000989535534,-0.2,0.0666666666666667,-0.00994027441485068,-0.0106666666666667,0.0761424731182796,0.0761424731182796,-0.0213461708992435,0.0729166666666667,-0.108822562403009,-0.0365023305405974,-0.0467885607126114
"cateninmemb",0.019632077824894,-0.00650717703349282,0.0257142857142857,0.04,0.0368253968253968,0.042020202020202,-0.0390422322775264,-0.0390422322775264,-0.0594927741129738,0.0212343443723017,-0.0468403417990047,-0.0459557840778653,-0.0439557840778653,-0.046304642500036,0.0372549019607843,-0.00407242896035733,0.0537863741686979,-0.00352993348115299,-0.10447789817971,0.00109090909090909,0.0442316461468308,0.0442316461468308,-0.0372549019607843,0.00509090909090909,0.0453709356839762,-0.0606222672882212,0.0444992046752589,0.0384835730596493,0.0390422322775264,-0.0465589149168778,0.0666666666666667,-0.0264093486101221,-0.0896466177848834,0.0160410170275435,-0.0861172060201775,-0.00686039281282611,-0.1,-0.0658922176682293,-0.0027711734819711,-0.0809625668449198,-0.0344533387069503,-0.0927272727272727,-0.0515827732066981,-0.00496223870878431,-0.1,-0.0833333333333333,-0.0049752605537425,-0.00521739130434783,-0.0740591397849462,-0.0740591397849462,-0.0107580894173073,-0.0708333333333333,-0.0574295454611875,-0.019632077824894,-0.0222222222222222
"KLF4",-0.0369762641898865,-0.0272727272727273,-0.18,-0.2,-0.146666666666667,-0.139259259259259,0.128205128205128,0.128205128205128,0.155824600036382,0.0316672972465655,-0.0626082991336069,-0.0626082991336069,-0.0626082991336069,-0.063115677401557,0.0333333333333333,0.00860310421286031,-0.104902801600915,0.00909090909090909,0.0279682842074775,-0.0130909090909091,0.0509803921568628,0.0509803921568628,-0.0333333333333333,-0.00909090909090909,0.062742078397821,0.154958807905032,0.0617387339162156,-0.132616892911011,-0.128205128205128,0.132703218332478,0.1,0.0470884355690077,0.146289211092122,0.126244008714597,0.15144385026738,-0.00832141271642086,-0.2,0.173588436272033,0.000956937799043062,0.169090909090909,0.0641207998350855,0.16,-0.051455181500159,0.0147135217723453,0.1,-0.1,0.0106666666666667,0.0106666666666667,-0.0761424731182796,-0.0729166666666667,0.0211599511599512,-0.0666666666666667,0.109966727162734,0.0369762641898865,0.0518518518518519
"FOXC2",-0.0369762641898865,-0.0272727272727273,-0.18,-0.2,-0.146666666666667,-0.139259259259259,0.128205128205128,0.128205128205128,0.155824600036382,0.0316672972465655,-0.0626082991336069,-0.0626082991336069,-0.0626082991336069,-0.063115677401557,0.0333333333333333,0.00860310421286031,-0.104902801600915,0.00909090909090909,0.0279682842074775,-0.0130909090909091,0.0509803921568628,0.0509803921568628,-0.0333333333333333,-0.00909090909090909,0.062742078397821,0.154958807905032,0.0617387339162156,-0.132616892911011,-0.128205128205128,0.132703218332478,0.1,0.0470884355690077,0.146289211092122,0.126244008714597,0.15144385026738,-0.00832141271642086,-0.2,0.173588436272033,0.000956937799043062,0.169090909090909,0.0641207998350855,0.16,-0.051455181500159,0.0147135217723453,0.1,-0.1,0.0106666666666667,0.0106666666666667,-0.0761424731182796,-0.0729166666666667,0.0211599511599512,-0.0666666666666667,0.109966727162734,0.0369762641898865,0.0518518518518519
"RAS",-0.0592452135493373,0.05,0.0666666666666667,0.1,0.1,0.0833333333333333,0.048974358974359,0.048974358974359,0.0455426356589147,-0.038506722096814,0.0941176470588235,0.0941176470588235,0.0857843137254902,0.0795978193487119,-0.1,0.0430285381479324,0.164935064935065,0.0341176470588235,-0.0221506257311884,-0.04,-0.1,-0.1,0.1,-0.06,-0.0815808221815731,0.0950425752751334,-0.0877346683354193,-0.152820512820513,-0.048974358974359,-0.115652173913043,0,0.0182497541789577,-0.167936016511868,0.014151663938898,-0.154210526315789,-0.0668818272095333,-0.1,-0.226964993769117,-0.0763157894736842,-0.17,-0.101446540880503,-0.12,-0.0817583284052829,-0.0100790513833992,-0.1,-0.1,-0.110265924551639,-0.108225108225108,-0.101751412429379,-0.0966666666666667,0.0663076923076923,-0.116666666666667,0.049047619047619,0.0592452135493373,0.0582142857142857
"TWIST1",-0.0784038424389301,-0.0362962962962963,0.0423076923076923,0.05,0.0375457875457875,0.034155957037313,-0.140691275131503,-0.140691275131503,-0.14239463097708,0.0760920044673662,0.0989530563998649,0.0999832915622389,0.0967832915622389,0.0966605813313357,-0.0857142857142857,-0.0851888762338649,-0.0764732343679712,-0.0854166666666667,0.119838478793468,0.0866666666666667,-0.0968253968253968,-0.0968253968253968,0.0857142857142857,0.0866666666666667,-0.0957980166389837,-0.145817228006567,-0.0953385985685396,0.140348809378078,0.140691275131503,-0.146356707808321,-0.1,0.0496129799315335,0.0393838587383449,-0.0906944898478079,0.038886346300534,0.0468187926678493,0.233333333333333,0.187932656854878,0.043988603988604,0.0336231884057971,0.075802367106715,0.0466666666666667,0.0997094696251084,0.116713230272552,0,0.222222222222222,0.124103176083374,0.125093275093275,0.217564148128154,0.217071537290715,0.0721908954337421,0.210222222222222,0.0820383667345408,0.0784038424389301,0.0704607046070461
"miR200",-0.0968593189964158,0.0115270935960591,0.0252631578947368,0.02,0.0166917293233083,0.0110313519648177,-0.0899540757749713,-0.0899540757749713,-0.0482825502349702,0.00851743478185916,0.0655113288426209,0.0658591549295775,0.0669580560284786,0.065747478460793,-0.06,-0.000797993616051072,0.0109090909090909,-0.00196078431372549,-0.00812151353308467,0.00196078431372549,-0.056,-0.0556521739130435,0.06,0,-0.0654444481577627,-0.109821211218843,-0.0666349243482389,0.0931959710368167,0.0899540757749713,-0.103703423427968,-0.1,-0.00395308395308395,-0.014978354978355,-0.0855403492213308,-0.0197402597402597,-0.000734184965628565,0.02,-0.10262006231933,-0.00807881773399015,-0.0242857142857143,-0.00737421428100233,-0.0142857142857143,0.00695139454966835,-0.00169491525423729,0,0.02,-0.00119843537603684,-0.000884955752212389,0.00866171344707393,0.00540084388185654,-0.00137166710762266,0.00666666666666667,-0.0155245296708711,0.0968593189964158,0.0940648723257419
