"","ILK","AKT","NFB","CDC42","PAK1","Csn","AXIN2","TCFLEF","TrCP","RAS","NOTCHic","RAF","PI3K","DELTA","STAT","SNAI2","cfos","ERK","TWIST1","MEK","EGR1","LIV1","DSH","Frizzled","SRC","NOTCH","RKIP","Ecadherin","Destcompl","Csl","Wnt","SOSGRB2","SNAI1","cMet","GLI","CD44","Jagged","cateninmemb","FOXC2","cateninnuc","TGF","TGFR","GSK3","SUFU","IKK","FUS","SMO","Patched","ZEB2","ZEB1","HEY1","miR200","SHH","SMAD","KLF4"
"Destcompl",0.412539682539683,0.395208614759242,0.358592132505176,0.265249824067558,0.249387755102041,0.323809523809524,-0.285622022230093,-0.20887946114178,0.266666666666667,-0.26436077346128,0.329447708578143,-0.273465953995032,-0.273465953995032,-0.273465953995032,-0.261111111111111,-0.34359370580104,0.278228438228438,0.283146471015323,-0.289751088143404,-0.282302589158783,-0.263076923076923,0.261111111111111,0.261111111111111,0.248782343987823,0.248782343987823,-0.332453720602191,-0.320314256136654,-0.209507607078682,0.187254789038816,-0.32075205640423,0.23492095784921,0.0114647306292322,-0.384868068552169,0.235349508166928,0.220635243563495,0.220797269360958,-0.36591510838057,0.110045443818681,-0.38270260042866,0.199343510096395,-0.279551094484981,-0.274723508278084,0.248651627858423,0.0333333333333333,-0.381114655027698,-0.0114942528735632,-0.0486371100164204,-0.0823158664931043,-0.464341769085062,-0.464341769085062,-0.373112186958341,-0.476181414719079,-0.108428052179758,-0.436048454469507,-0.431142331298523
"Ecadherin",0.295652173913043,0.434295334295334,0.352380952380952,0.170121212121212,0.139454545454545,0.3,-0.47661077955068,-0.394737790588327,0.2,-0.386128504259461,0.461145365757411,-0.392273755656109,-0.392273755656109,-0.392273755656109,-0.407843137254902,-0.522165690423246,0.328877005347594,0.356712056893985,-0.475185452952131,-0.372006174541044,-0.281818181818182,0.366666666666667,0.407843137254902,0.419471044231646,0.419471044231646,-0.480104473564103,-0.3277207989086,-0.122706550331308,0.38226086073892,-0.429186602870813,0.417746906300612,0.184633324305618,-0.399107833950018,0.418601479014255,0.406413572967278,0.407564689716596,-0.481291746471262,0.313780763049056,-0.480071172990503,0.381385783118672,-0.207081473224727,-0.192072431633407,0.343611069400845,0.3,-0.400529100529101,0.3,0.28125,0.243615591397849,-0.438486200167271,-0.438486200167271,-0.222877241195441,-0.448728567108455,0.208969922106511,-0.341899147278661,-0.345569620253165
"cateninmemb",0.295652173913043,0.434295334295334,0.352380952380952,0.170121212121212,0.139454545454545,0.3,-0.47661077955068,-0.394737790588327,0.2,-0.386128504259461,0.461145365757411,-0.392273755656109,-0.392273755656109,-0.392273755656109,-0.407843137254902,-0.522165690423246,0.328877005347594,0.356712056893985,-0.475185452952131,-0.372006174541044,-0.281818181818182,0.366666666666667,0.407843137254902,0.419471044231646,0.419471044231646,-0.480104473564103,-0.3277207989086,-0.113234399747559,0.38226086073892,-0.429186602870813,0.417746906300612,0.184633324305618,-0.399107833950018,0.418601479014255,0.406413572967278,0.407564689716596,-0.481291746471262,0.21516892774685,-0.480071172990503,0.381385783118672,-0.207081473224727,-0.192072431633407,0.343611069400845,0.3,-0.400529100529101,0.3,0.28125,0.243615591397849,-0.438486200167271,-0.438486200167271,-0.222877241195441,-0.448728567108455,0.208969922106511,-0.341899147278661,-0.345569620253165
"cateninnuc",0.334264069264069,0.423017045454545,0.382954545454545,0.226637362637363,0.209714285714286,0.3375,-0.394737790588327,-0.199633310735041,0.3,-0.318057888057888,0.433661805281829,-0.327148797148797,-0.327148797148797,-0.327148797148797,-0.252913752913753,-0.447671543988454,0.31456176673568,0.322156703444541,-0.300301107722597,-0.32169798784821,-0.297101449275362,0.260606060606061,0.252913752913753,0.243324711817863,0.24458041958042,-0.43457089619092,-0.293260881384951,-0.29210930658599,0.315967971996798,-0.422033898305085,0.225933407470036,0.124025719326997,-0.356444852664999,0.227189115232593,0.211704158458179,0.213300226343705,-0.323775970635636,0.0224860719462342,-0.434240742863694,0.089829389166414,-0.242360396317029,-0.237556902867248,0.277117957960547,0.166666666666667,-0.408954545454545,0.136666666666667,0.0891256830601093,0.0562064284017242,-0.424060726176563,-0.424060726176563,-0.262483968128013,-0.436009206410042,0.0263589338483473,-0.35895711155602,-0.343429297076984
"SNAI2",0.227900737759893,0.41973410884919,0.3,0.117366946778711,0.0745098039215686,0.2,-0.529791267295538,-0.47661077955068,0.1,-0.444064108264988,0.450877192982456,-0.434475067169097,-0.434475067169097,-0.434475067169097,-0.381818181818182,-0.191637001054527,0.288235294117647,0.349019607843137,-0.519222311038861,-0.388208797032326,-0.2,0.3,0.381818181818182,0.438961038961039,0.438961038961039,-0.493734335839599,-0.346641025641026,0.196143502389521,0.439150508913422,-0.389473684210526,0.468538503749771,0.221805273833671,-0.422498227035872,0.468538503749771,0.478698931557258,0.479291191921814,-0.511907148550197,0.4144875860337,-0.493771200085486,0.467604568370556,-0.179117756355608,-0.152409681821447,0.399101089356936,0.2,-0.36551724137931,0.3,0.329411764705882,0.327370948379352,-0.422709251101322,-0.422709251101322,-0.163215792646172,-0.429416507444346,0.302018835703295,-0.296321790391472,-0.314423076923077
"KLF4",0.233333333333333,0.400529100529101,0.3,0.139454545454545,0.0954545454545455,0.2,-0.479291191921814,-0.407564689716596,0.1,-0.392273755656109,0.429186602870813,-0.391538461538462,-0.391538461538462,-0.391538461538462,-0.366666666666667,-0.522707532686942,0.281818181818182,0.328877005347594,-0.472392156862745,-0.356712056893985,-0.2,0.3,0.366666666666667,0.407843137254902,0.407843137254902,-0.461145365757411,-0.313863121005978,-0.00868512871494938,0.386081923180672,-0.381818181818182,0.419471044231646,0.185949113779302,-0.386766061798119,0.419471044231646,0.417746906300612,0.418601479014255,-0.469163600018173,0.331344865613158,-0.461535703882951,0.394737790588327,-0.192072431633407,-0.170121212121212,0.348688332094002,0.2,-0.352380952380952,0.3,0.3,0.28125,-0.402941176470588,-0.402941176470588,-0.171199388846448,-0.410553520553521,0.243615591397849,-0.295652173913043,-0.3
"HEY1",0.233333333333333,0.400529100529101,0.3,0.139454545454545,0.0954545454545455,0.2,-0.479291191921814,-0.407564689716596,0.1,-0.392273755656109,0.429186602870813,-0.391538461538462,-0.391538461538462,-0.391538461538462,-0.366666666666667,-0.522707532686942,0.281818181818182,0.328877005347594,-0.472392156862745,-0.356712056893985,-0.2,0.3,0.366666666666667,0.407843137254902,0.407843137254902,-0.461145365757411,-0.313863121005978,-0.00868512871494938,0.386081923180672,-0.381818181818182,0.419471044231646,0.185949113779302,-0.386766061798119,0.419471044231646,0.417746906300612,0.418601479014255,-0.469163600018173,0.331344865613158,-0.461535703882951,0.394737790588327,-0.192072431633407,-0.170121212121212,0.348688332094002,0.2,-0.352380952380952,0.3,0.3,0.28125,-0.402941176470588,-0.402941176470588,-0.171199388846448,-0.410553520553521,0.243615591397849,-0.295652173913043,-0.3
"FOXC2",0.233333333333333,0.400529100529101,0.3,0.139454545454545,0.0954545454545455,0.2,-0.479291191921814,-0.407564689716596,0.1,-0.392273755656109,0.429186602870813,-0.391538461538462,-0.391538461538462,-0.391538461538462,-0.366666666666667,-0.522707532686942,0.281818181818182,0.328877005347594,-0.472392156862745,-0.356712056893985,-0.2,0.3,0.366666666666667,0.407843137254902,0.407843137254902,-0.461145365757411,-0.313863121005978,-0.00868512871494938,0.386081923180672,-0.381818181818182,0.419471044231646,0.185949113779302,-0.386766061798119,0.419471044231646,0.417746906300612,0.418601479014255,-0.469163600018173,0.331344865613158,-0.461535703882951,0.394737790588327,-0.192072431633407,-0.170121212121212,0.348688332094002,0.2,-0.352380952380952,0.3,0.3,0.28125,-0.402941176470588,-0.402941176470588,-0.171199388846448,-0.410553520553521,0.243615591397849,-0.295652173913043,-0.3
"PI3K",0.319543817527011,0.0766214177978884,0.0666666666666667,0.142647058823529,0.125,0.0333333333333333,0.360952380952381,0.35659328962203,0,0.176823103836802,0.0923076923076923,0.157645021645022,0.157645021645022,0.157645021645022,0.2,0.113268160544984,0,-0.0176470588235294,0.0680853952414893,0.0422372227579556,0,-0.1,-0.2,-0.255555555555556,-0.255555555555556,-0.069727047146402,-0.0131544925662573,-0.207732167360514,-0.379363266501417,-0.1,-0.303381642512077,-0.173846153846154,-0.0306521739130435,-0.303381642512077,-0.33568933481977,-0.33568933481977,-0.0380701754385965,-0.275745785503921,-0.0858792102206736,-0.369170609209658,-0.13295600191296,-0.138647058823529,-0.183766233766234,-0.1,-0.0843137254901961,-0.2,-0.266666666666667,-0.312820512820513,-0.327151435480468,-0.327151435480468,-0.303612148118252,-0.332280715887273,-0.340598290598291,-0.333143817527011,-0.326315789473684
"IKK",0.404166666666667,0.24015444015444,0.142857142857143,0.311111111111111,0.3,0.1,0.443809523809524,0.455280312907432,0,0.199180320884776,0.0480519480519481,0.156926799758016,0.156926799758016,0.156926799758016,0.2,0.0483513892619452,0.00714285714285715,-0.0208571428571429,0.0989542483660131,0.0675238095238095,-0.05,-0.1,-0.2,-0.3,-0.3,-0.0178932178932179,-0.063023679417122,-0.353995616914033,-0.457566499256864,-0.0909090909090909,-0.369230769230769,-0.30546218487395,-0.0507845631891433,-0.369230769230769,-0.423076923076923,-0.423076923076923,0.0573477038425492,-0.459004570848146,-0.185598845598846,-0.473001831894773,-0.292965656565657,-0.306565656565657,-0.32540293040293,-0.1,-0.242857142857143,-0.2,-0.3,-0.377777777777778,-0.32131328320802,-0.32131328320802,-0.393188854489164,-0.334057971014493,-0.429501915708812,-0.415057755775578,-0.327472527472527
"cMet",0.208390022675737,0.0183333333333333,-0.0666666666666667,0.203333333333333,0.153333333333333,-0.1,-0.0925396825396825,-0.040608228980322,0,0.0198921832884097,-0.00977443609022556,0.00857142857142857,0.00857142857142857,0.00857142857142857,-0.2,-0.224474309145842,0.095,0.145,-0.211356134502202,-0.154090909090909,-0.075,0.1,0.1,0.1,0.2,-0.000863861782114862,-0.150740740740741,-0.0941159342339602,0.0372311823992496,0.0571428571428571,0.08,0.0323809523809524,-0.246406527361032,0.08,0.0618181818181818,0.0590697674418605,-0.164750177358873,-0.00930331234601696,-0.258507383966245,0.0230941046865367,-0.246004728132388,-0.231111111111111,0.058026113671275,-0.1,0.00666666666666668,-0.1,-0.12,-0.156363636363636,-0.29004329004329,-0.29004329004329,-0.236842105263158,-0.302153738471673,-0.184488636363636,-0.246571840857555,-0.158730158730159
"GSK3",0.28613117661856,0.132465001473622,0.147083333333333,0.0937474120082816,0.10231884057971,0.165833333333333,0.370329627322784,0.328557736654386,0.153333333333333,0.243034805000627,0.0372054416172063,0.237992788193905,0.237992788193905,0.237992788193905,0.286842105263158,0.192518026711053,-0.0598692810457516,-0.0786662735269546,0.109219975673818,0.0888935462542274,0.0376470588235294,-0.25,-0.286842105263158,-0.308270676691729,-0.308270676691729,-0.0296729740847388,0.0352312599681021,-0.132174242926619,-0.356099082679238,-0.051890756302521,-0.31938178780284,-0.150066175080355,0.0163211196173785,-0.320853458148683,-0.324570467048123,-0.327043934339159,-0.0267969607404388,-0.225223156738404,-0.0118484045534229,-0.327505105075439,-0.0791391747171174,-0.0850366106145533,-0.371364310425528,-0.263636363636364,-0.136738505747126,-0.296969696969697,-0.313098729227761,-0.323528177080522,-0.2742930553629,-0.2742930553629,-0.271608872843853,-0.280102061146304,-0.324963583779087,-0.277585449482129,-0.287523149777216
"RAS",0.135930735930736,0.0755555555555556,0.0333333333333333,0.2,0.18,0,0.223899868247694,0.219739096948108,-0.1,0.0193589743589744,0.00526315789473684,0.0982051282051282,0.0982051282051282,0.0982051282051282,0.1,0.249978623979677,0.035,0.0192105263157895,-0.0816693944353519,-0.013328173374613,-0.06,0,-0.1,-0.15,-0.15,-0.0109235352532274,-0.238767295597484,-0.0587401864566644,-0.320616639802686,0,-0.179411764705882,-0.165800865800866,-0.182448377581121,-0.179411764705882,-0.204411764705882,-0.202816020025031,0.0252592154543663,-0.113004703890074,-0.197777777777778,-0.230787255588335,-0.216715200931858,-0.211764705882353,-0.0410723514211886,0.1,-0.0533333333333333,0,-0.05,-0.102,-0.272882916053019,-0.272882916053019,-0.225098814229249,-0.285323076923077,-0.137593220338983,-0.156338899196042,-0.255357142857143
"CD44",0.177777777777778,-0.00666666666666668,-0.1,0.153333333333333,0.133333333333333,0,-0.11,-0.0590697674418605,-0.1,0.00857142857142857,-0.0571428571428571,0,0,0,-0.1,-0.233233433233433,0.075,0.095,-0.207985347985348,-0.145,-0.1,0.1,0,0.1,0.2,0.00977443609022556,-0.135925925925926,-0.0841922701118228,0.0487176688857361,0.1,0.1,0.0523809523809524,-0.237931951089846,0.2,0.08,0.08,-0.158228438228438,0.00884615384615386,-0.244583333333333,0.040608228980322,-0.231111111111111,-0.203333333333333,0.0773809523809524,-0.1,0.0666666666666667,-0.1,-0.1,-0.12,-0.258730158730159,-0.258730158730159,-0.203508771929825,-0.269341238471673,-0.156363636363636,-0.208390022675737,-0.120634920634921
"TWIST1",-0.058990808990809,0.152765878189607,0.0692307692307692,-0.0590386624869383,-0.096969696969697,0,-0.541894073668267,-0.495689871700558,-0.1,-0.346899912004363,0.289059829059829,-0.334571144881075,-0.334571144881075,-0.334571144881075,-0.385714285714286,-0.204549100995352,0.217971014492754,0.270602593440122,-0.444699429733755,-0.306921001400321,-0.126666666666667,0.3,0.385714285714286,0.446825396825397,0.446825396825397,-0.326795678116433,-0.120345094258138,0.248357899473921,0.450812611248862,-0.237777777777778,0.479456975772765,0.332670304523851,-0.214911034581719,0.480867950016886,0.493056975772765,0.494924174916485,-0.368261581065754,0.442036209733485,-0.203034971405189,0.489306892977154,0.00557624790835065,0.0290386624869383,0.402772755798792,0.3,-0.112087912087912,0.377777777777778,0.429777777777778,0.444846270928463,-0.10610961839032,-0.10610961839032,0.081300055876327,-0.0847046081822311,0.431545778317625,0.00585549545945583,-0.0301021471753179
"MEK",-0.0528835521549588,0.0131875477463713,-0.00178571428571429,0.0314285714285714,0.0266666666666667,-0.0142857142857143,-0.0725868273336628,-0.0803404443420514,0,-0.0259373959373959,0.0186091686091686,-0.0173659673659674,-0.0173659673659674,-0.0173659673659674,-0.0333333333333333,0.250461183088429,-0.083448275862069,-0.0813206162876009,-0.111047547224018,-0.0253460503790658,0.08,0,0.0333333333333333,0.0433333333333333,0.0491228070175439,-0.0280982197040591,-0.038062066932036,0.163778637189767,-0.140879669699145,-0.00707070707070707,0.0587179487179487,-0.0706031746031746,-0.0286254987194544,0.0645074224021592,0.0692074592074592,0.0749969328916697,0.0380734358370808,0.179239032022389,-0.0533100739997292,0.082199180401531,-0.0400717258047226,-0.0342323097463284,-0.00124631401227146,0.1,-0.00730519480519481,0.08,0.076,0.0743606557377049,-0.0547975678076108,-0.0547975678076108,0.0545876887340302,-0.0515619987169483,0.0802430086788814,0.0480865041844791,-0.0475370636059302
"RKIP",-0.0518934531450578,0.00730519480519481,-0.0142857142857143,0.0266666666666667,0.0333333333333333,0,-0.0599742147210502,-0.0749969328916697,0,-0.0173659673659674,0.00707070707070707,-0.00454545454545455,-0.00454545454545455,-0.00454545454545455,0,0.258247071166288,-0.08,-0.083448275862069,-0.100424836601307,0.0813206162876009,0.03,0,0,0.0333333333333333,0.0333333333333333,-0.0186091686091686,-0.0288515406162465,0.168332371251697,-0.145900590201237,0.0111111111111111,0.0433333333333333,-0.0706031746031746,-0.022215242309198,0.0491228070175439,0.0587179487179487,0.0645074224021592,0.0438111407551136,0.178995129583365,-0.0424992631889184,0.0803404443420514,-0.0342323097463284,-0.0314285714285714,-0.00788022064617809,0.1,0.00178571428571429,0.1,0.08,0.076,-0.0476547106647537,-0.0476547106647537,0.0545876887340302,-0.0438220606364529,0.0743606557377049,0.0528835521549588,-0.0416547106647537
"RAF",-0.0518934531450578,0.00730519480519481,-0.0142857142857143,0.0266666666666667,0.0333333333333333,0,-0.0599742147210502,-0.0749969328916697,0,-0.0173659673659674,0.00707070707070707,-0.00454545454545455,-0.00454545454545455,-0.00454545454545455,0,0.258247071166288,-0.08,-0.083448275862069,-0.100424836601307,0.0813206162876009,0.03,0,0,0.0333333333333333,0.0333333333333333,-0.0186091686091686,-0.0288515406162465,0.168332371251697,-0.145900590201237,0.0111111111111111,0.0433333333333333,-0.0706031746031746,-0.022215242309198,0.0491228070175439,0.0587179487179487,0.0645074224021592,0.0438111407551136,0.178995129583365,-0.0424992631889184,0.0803404443420514,-0.0342323097463284,-0.0314285714285714,-0.00788022064617809,0.1,0.00178571428571429,0.1,0.08,0.076,-0.0476547106647537,-0.0476547106647537,0.0545876887340302,-0.0438220606364529,0.0743606557377049,0.0528835521549588,-0.0416547106647537
"SOSGRB2",0.0195698924731183,-0.0719298245614035,-0.0666666666666667,0.0528571428571429,0.0428571428571429,-0.1,0.0791254125412541,0.0971210635283862,-0.1,0.0473634651600753,-0.0881118881118881,0.0306967984934087,0.0306967984934087,0.0306967984934087,0,-0.148687311163616,0.0365079365079365,0.0338052338052338,-0.0325217391304348,-0.0277446277446277,0.019047619047619,0,0,-0.0428571428571429,-0.0428571428571429,0.0951541416330149,0.0134502923976608,-0.179133932962939,0.000209373028164984,0.0727272727272727,-0.0595238095238095,-0.0325,-0.0465550817341862,-0.0645962732919255,-0.0783643892339545,-0.0834368530020704,0.0271242300751498,-0.192046605046605,-0.0447374847374847,-0.105342860851522,-0.0535663627152989,-0.0528571428571429,0.0477011783603649,0,0.0719298245614035,0,0,-0.0135135135135135,-0.0399624060150376,-0.0399624060150376,-0.115909090909091,-0.0409883574257675,-0.0274670018856065,-0.0314580043612302,-0.0371052631578947
"ERK",0.0480865041844791,-0.0196095660949951,-0.00730519480519481,-0.0342323097463284,-0.0314285714285714,0.00178571428571429,0.0805543070084595,0.082199180401531,0.0142857142857143,0.0308878909869009,-0.0280982197040591,0.0259373959373959,0.0259373959373959,0.0259373959373959,0.0491228070175439,-0.245321417533875,0.0813206162876009,-0.0253460503790658,0.116456701176861,0.0334240448080351,-0.083448275862069,-0.0333333333333333,-0.0433333333333333,-0.0587179487179487,-0.0645074224021592,0.036131460701289,0.0433545460406711,-0.159556186108407,0.138286659552584,0.0186091686091686,-0.0692074592074592,0.0676905532439513,0.0346440172379729,-0.0749969328916697,-0.074470617102196,-0.0803404443420514,-0.03295295390937,-0.177859087220181,0.0616861423757975,-0.082199180401531,0.0447420554750523,0.0400717258047226,-0.00247757336284207,-0.08,0.0131875477463713,-0.076,-0.0743606557377049,-0.0802430086788814,0.0618841819808392,0.0618841819808392,-0.0515160163790814,0.0584247438149875,-0.080726100466321,-0.042007476828856,0.0537386139935271
