"","SNAI1","RKIP","SHH","TWIST1","SNAI2","TCFLEF","RAS","RAF","PI3K","DELTA","GLI","Csn","cMet","Wnt","MEK","cfos","TrCP","EGR1","STAT","NOTCHic","SOSGRB2","FOXC2","PAK1","CDC42","TGFR","TGF","ZEB1","NOTCH","LIV1","DSH","Csl","AXIN2","Jagged","Frizzled","ERK","SRC","NFB","Ecadherin","AKT","IKK","CD44","cateninmemb","SUFU","cateninnuc","FUS","Destcompl","SMO","Patched","GSK3","HEY1","ILK","SMAD","miR200","ZEB2","KLF4"
"Csl",0.0945074812466117,0.165408439915325,0.0514365718906712,-0.0915389588436162,-0.20640322930359,-0.365625672037886,-0.248144169893663,-0.225350052246604,-0.225350052246604,-0.225350052246604,-0.345206406496729,0.111111111111111,-0.313586413586414,-0.3129483419806,0.273188405797101,0.260952380952381,0.1,0.246666666666667,-0.238461538461538,0.23453795779772,-0.0671225736180807,0.0777458703169811,0.0977777777777778,0.101003584229391,-0.119474921809009,-0.126504400267058,-0.0861429168779637,-0.266356139615902,0.2,0.238461538461538,-0.197695852534562,0.2033030397168,-0.270421312422554,0.283916083916084,-0.266666666666667,0.283916083916084,-0.177777777777778,0.27062200149457,-0.241343669250646,-0.208010335917313,0.345014985014985,0.35527914514235,-0.075,0.383635963633083,-0.0673076923076923,0.35931750011044,-0.0555429864253394,-0.0609193305113609,0.210824146516387,-0.0999989070321551,-0.191692360397396,-0.195581249286285,-0.249002569206581,-0.264957874040267,-0.285786749482402
"AXIN2",0.271110055221846,0.242932864626413,0.184601423166997,0.248954531807811,0.326800779001303,0.26491840002818,0.294289833843481,0.280904007071827,0.280904007071827,0.280904007071827,0.248498333106374,-0.166666666666667,0.234661855118952,0.234661855118952,-0.0109307279344144,-0.0170731707317073,-0.133333333333333,0,0.186666666666667,-0.205670426065163,0.104819584342726,0.0791973756142375,0.0420833333333333,0.0507253086419753,-0.0418757511198514,-0.0392354870934488,0.109875633123569,0.216481236875974,-0.166666666666667,-0.186666666666667,0.182456140350877,-0.167443379226202,0.185432111953851,-0.212248062015504,0.00679279689993162,-0.212248062015504,0.179710144927536,-0.0573573407409391,0.204782608695652,0.201449275362319,-0.248857438715167,-0.216809114805845,-0.1,-0.275337768813307,-0.153846153846154,-0.318785578170463,-0.153846153846154,-0.17706043956044,-0.284602260947799,-0.0396327216814032,-0.0518978605935128,-0.0626121463077985,-0.210545185162402,-0.26439947102505,-0.242343884806857
"cMet",0.190793753773236,0.275925925925926,0.125681818181818,0.132329094126847,-0.317316179359975,-0.26180679785331,-0.0502425876010782,-0.0257142857142857,-0.0257142857142857,-0.0257142857142857,-0.246363636363636,0.1,-0.21,-0.21,0.233181818181818,0.225,0.1,0.225,0,0.140601503759398,-0.00285714285714286,0.117225738396624,0.0733333333333333,0.0983333333333333,-0.115,-0.134148936170213,0.0847041847041847,-0.17251639737642,-0.1,0.1,-0.114285714285714,0.171111111111111,-0.22130738826391,0.15,-0.235,0.05,-0.1,0.33198071202067,-0.13875,-0.12,0.244883720930233,0.341134814177519,-0.1,0.279885893898507,-0.1,-0.0307415103633591,-0.12,-0.138181818181818,-0.118990015360983,-0.172136222910217,-0.168707482993197,-0.18143475572047,-0.202878650636803,-0.253535353535354,-0.144444444444444
"GLI",0.0783132927470608,0.107222086090011,0.139541921381938,-0.0182270398908769,-0.0825812640989552,-0.282294799803956,-0.210887445737947,-0.200392396232996,-0.200392396232996,-0.200392396232996,-0.272317816625621,0.0555555555555556,-0.25477576711251,-0.153168880455408,0.127159599148549,0.122380952380952,0.0666666666666667,0.105714285714286,-0.22,0.142674624226348,-0.0562130789564418,0.0221422428620571,-0.0483333333333333,-0.0586781609195402,0.0442127521145088,0.0430362815262735,-0.0733238607270865,-0.160769862321586,0.2,0.12,-0.127674624226348,0.183398248792271,-0.170208725790571,0.14258064516129,-0.121082251082251,0.24258064516129,-0.102923976608187,0.190062383997734,-0.13500305824084,-0.11312805824084,0.272879215388372,0.272921927809369,-0.152380952380952,0.290364136325176,-0.139880952380952,0.253980637815329,-0.129354636591479,-0.141599534550662,0.000117671143866765,-0.121688875169351,-0.117686391321381,-0.119308012943003,-0.227628573696685,-0.241938812083973,-0.251260403260403
"STAT",0.00201486007294601,0.0797570785070785,-0.0128225972422309,-0.215451581568523,-0.336618244625562,-0.472215481679204,-0.359843076799625,-0.328499793217535,-0.328499793217535,-0.328499793217535,-0.43781512605042,0.1,-0.4,-0.4,0.24460468058191,0.22,0,0.2,-0.3,0.248436671966084,-0.122619047619048,0.0824294478527607,0.0954545454545455,0.126704545454545,-0.131967703349282,-0.150808283059427,-0.0987358795051103,-0.290184244781618,0.1,0.3,-0.186274509803922,0.242966053554289,-0.30464881930125,0.35,-0.243529411764706,0.35,-0.12,0.394354033548138,-0.227021791767554,-0.191428571428571,0.438461538461539,0.476176357587074,-0.05,0.498794742704234,-0.025,0.446354796988252,-0.005,0.00662790697674419,0.320198041833556,-0.191333333333333,-0.182850241545894,-0.186298517407963,-0.211939407999981,-0.224717590102205,-0.146672608437314
"RKIP",0.151652691666894,0.326120448179272,0.144918032786885,0.0402257872846108,-0.341652095354666,-0.0834621518832045,0.118539793539794,0.121103896103896,0.121103896103896,0.121103896103896,-0.0733333333333333,0.1,-0.0701754385964912,-0.0733333333333333,0.18454878943507,0.18,0.1,0.13,0,0.116161616161616,-0.0500952380952381,0.125508399646331,0.1,0.106666666666667,-0.125714285714286,-0.134125500667557,0.0167594452415112,-0.12000777000777,0,0,-0.0888888888888889,0.0371894045944679,-0.179497129921578,0.0333333333333333,-0.169655172413793,0.0333333333333333,-0.0857142857142857,0.239874748195229,-0.0955627705627706,-0.110714285714286,0.0701754385964912,0.217798975446034,-0.1,0.0893145691860035,-0.1,-0.25453338129677,-0.16,-0.14,-0.300827423167849,-0.190321331784746,-0.186039794608472,-0.189010091638175,-0.184279236925134,-0.209582974653276,-0.191582974653276
"MEK",0.156780896795099,0.318225711337166,0.146878817100611,0.0296030766619002,-0.34749151141306,-0.0893145691860035,0.11504773004773,0.118539793539794,0.118539793539794,0.118539793539794,-0.0866200466200466,0.0857142857142857,-0.0701754385964912,-0.0733333333333333,0.0912154561017364,0.169655172413793,0.1,0.18,-0.0333333333333333,0.12000777000777,-0.0456507936507937,0.121003895141826,0.106666666666667,0.125714285714286,-0.134125500667557,-0.13047586563106,0.0127911912732573,-0.133876383146456,0,0.0333333333333333,-0.116161616161616,0.0480002154052787,-0.188513523364201,0.0733333333333333,-0.18454878943507,0.0701754385964912,-0.110714285714286,0.241331943095047,-0.117915711739241,-0.0955627705627706,0.0834621518832045,0.224872146177742,-0.1,0.0967495134239217,-0.16,-0.250767690920201,-0.14,-0.144918032786885,-0.294684917025343,-0.192139513602928,-0.189010091638175,-0.203401235549614,-0.19201917500563,-0.206408371478673,-0.209230033476805
"SOSGRB2",0.0246950959488273,0.11641081871345,0.0280012570710245,-0.00434782608695652,-0.237675788012424,-0.0834215974719407,0.0185643922932059,0.0224105461393597,0.0224105461393597,0.0224105461393597,-0.0747412008281574,0,-0.0732919254658385,-0.0761904761904762,0.0372021372021372,0.0301587301587302,0,0.019047619047619,0,0.0216783216783217,0.0594444444444444,0.0635409035409035,0.0428571428571429,0.0528571428571429,-0.0720879120879121,-0.0727971319460681,0.0117418546365915,-0.023086772382547,0,0,0.00909090909090909,0.0408828382838284,-0.061698197931052,0.0428571428571429,-0.022050622050622,0.0428571428571429,0.0111111111111111,0.197267335727865,-0.0027046783625731,-0.0152046783625731,0.0718426501035197,0.190743028743029,0,0.0897313489059751,0,-0.0635576206046005,-0.05,-0.0256756756756757,-0.0162443509428082,-0.0605113636363636,-0.0561290322580645,-0.0554297315587638,-0.108220597139181,-0.119486215538847,-0.113771929824561
"TCFLEF",-0.0903785614664276,-0.0554681544749047,0.0234963670803766,0.0123783844136041,0.109437567233625,-0.193412967978228,-0.0932474315060286,-0.0828663539764623,-0.0828663539764623,-0.0828663539764623,-0.0867878611868382,-0.0506493506493506,-0.0745299145299145,-0.0774710910005028,-0.0778413804546209,-0.0879094076655052,-0.114285714285714,-0.0757142857142857,-0.05,-0.105196875498167,-0.0132019038845386,-0.184086517502869,-0.179487179487179,-0.153905784138342,0.164186157970118,0.156570263930383,-0.0730633971291866,0.09290451669418,0,0.0529411764705882,0.120883150007971,0.0646178266178266,0.0254240576420191,0.0629411764705882,0.071718931475029,0.06,0.0386493506493506,0.114410759613051,0.00842494672228192,0.0192945119396732,0.0845928076116755,0.191069453184986,-0.05,0.202004033270324,-0.0566666666666667,0.282831925919624,-0.0328571428571429,-0.02963133640553,0.259614068503073,0.0300437085672598,-0.00567570441254652,-0.00777895489055799,-0.0941279403327596,-0.111389287612972,-0.024438184364655
"Patched",-0.0956989247311828,-0.0342857142857143,-0.0258333333333333,-0.223148148148148,-0.482421455938697,-0.428888888888889,-0.394711538461538,-0.338461538461538,-0.338461538461538,-0.338461538461538,-0.275,0,-0.3,-0.2,0.103076923076923,0.1,0,0.1,-0.1,0.233333333333333,-0.166666666666667,0.045,0.0333333333333333,-0.0666666666666667,0.0266666666666667,-0.00666666666666666,-0.075,-0.333333333333333,0.1,0,-0.2,0.15974025974026,-0.268148148148148,0.1,-0.08,0.2,-0.1,0.224266450916936,-0.2,-0.1,0.373333333333333,0.359498207885305,0,0.464811218985976,0.1,0.445554445554446,0.133333333333333,0.0133333333333333,0.334798534798535,-0.0897435897435898,-0.0833333333333333,-0.0733333333333333,-0.0761904761904762,-0.108333333333333,-0.138888888888889
"SMO",-0.138556067588326,-0.0620634920634921,-0.0647222222222222,-0.264324618736383,-0.529088122605364,-0.464811218985976,-0.443548747763864,-0.394711538461538,-0.394711538461538,-0.394711538461538,-0.330555555555556,0.1,-0.373333333333333,-0.275,0.10004662004662,0.08,0,0.1,-0.2,0.333333333333333,-0.16140350877193,0.0518965517241379,-0.0666666666666667,-0.0266666666666667,-0.00666666666666666,-0.0282882882882883,-0.086864406779661,-0.378333333333333,0.1,0.1,-0.233333333333333,0.176981639050605,-0.300291005291005,0.2,-0.103076923076923,0.3,-0.1,0.243823646488892,-0.228,-0.2,0.428888888888889,0.391537042836761,0.1,0.501653324249134,0.133333333333333,0.481213360283128,0.0133333333333333,0.0258333333333333,0.372662612468438,-0.084981684981685,-0.0733333333333333,-0.0717460317460318,-0.0597347799879446,-0.0896892655367232,-0.122222222222222
"FUS",-0.168744746833609,-0.0960841106201931,-0.0859343434343434,-0.302544514024342,-0.569842162102671,-0.501653324249134,-0.474553114576091,-0.443548747763864,-0.443548747763864,-0.443548747763864,-0.36517094017094,0.1,-0.428888888888889,-0.330555555555556,0.110391447632827,0.103076923076923,0.1,0.08,-0.3,0.378333333333333,-0.172941970310391,0.0466333938294011,-0.0266666666666667,0.00666666666666666,-0.0282882882882883,-0.0346712670116925,-0.100974836227514,-0.419242424242424,0.2,0.2,-0.333333333333333,0.193751825386008,-0.321977752278957,0.275,-0.10004662004662,0.373333333333333,-0.2,0.257796249228618,-0.258769230769231,-0.228,0.464811218985976,0.419656223469908,0.133333333333333,0.530457672075221,0.0133333333333333,0.513184163202836,0.0258333333333333,0.0647222222222222,0.401090706113923,-0.0864309603440038,-0.0717460317460318,-0.0762621607782898,-0.0399327997899247,-0.0596279158434716,-0.107468123861566
"SUFU",-0.189698750240764,-0.122614722865091,-0.0971312546312546,-0.334503276910939,-0.603527066519283,-0.530457672075221,-0.502717671538116,-0.474553114576091,-0.474553114576091,-0.474553114576091,-0.401230419724843,0.2,-0.464811218985976,-0.36517094017094,0.111668043377508,0.10004662004662,0.1,0.103076923076923,-0.373333333333333,0.419242424242424,-0.175039872408293,0.0488666444497485,0.00666666666666666,0.0282882882882883,-0.0346712670116925,-0.043547006656663,-0.106771937676789,-0.450194805194805,0.3,0.275,-0.378333333333333,0.21037946004643,-0.346918369856154,0.330555555555556,-0.110391447632827,0.428888888888889,-0.228,0.26902178990833,-0.286286009292721,-0.258769230769231,0.501653324249134,0.441075050209335,0.0133333333333333,0.554652045476756,0.0258333333333333,0.539180973410172,0.0647222222222222,0.0859343434343434,0.42782592462292,-0.0972743338379797,-0.0762621607782898,-0.0737217450739018,-0.0232041752546088,-0.0345071428966117,-0.0805220160771353
"SHH",0.0666666666666667,0.02,0.0133333333333333,0.175,0.417088122605364,0.373333333333333,0.338461538461538,0.3,0.3,0.3,0.2,0,0.2,0.1,-0.08,-0.1,0,0,0.1,-0.2,0.1,-0.025,0,-0.0333333333333333,-0.0666666666666667,-0.0266666666666667,0.075,0.233333333333333,0,0,0.1,-0.114285714285714,0.22,0,0.1,-0.1,0,-0.196111111111111,0.1,0.1,-0.3,-0.326164874551971,0,-0.428888888888889,0,-0.396103896103896,-0.1,-0.133333333333333,-0.287179487179487,0.0666666666666667,0.0666666666666667,0.0833333333333333,0.0833333333333333,0.125,0.15
"RAF",-0.151652691666894,-0.326120448179272,-0.144918032786885,-0.0402257872846108,0.341652095354666,0.0834621518832045,-0.118539793539794,-0.121103896103896,-0.121103896103896,-0.121103896103896,0.0733333333333333,-0.1,0.0701754385964912,0.0733333333333333,-0.18454878943507,-0.18,-0.1,-0.13,0,-0.116161616161616,0.0500952380952381,-0.125508399646331,-0.1,-0.106666666666667,0.125714285714286,0.134125500667557,-0.0167594452415112,0.12000777000777,0,0,0.0888888888888889,-0.0371894045944679,0.179497129921578,-0.0333333333333333,0.169655172413793,-0.0333333333333333,0.0857142857142857,-0.239874748195229,0.0955627705627706,0.110714285714286,-0.0701754385964912,-0.217798975446034,0.1,-0.0893145691860035,0.1,0.25453338129677,0.16,0.14,0.300827423167849,0.190321331784746,0.186039794608472,0.189010091638175,0.184279236925134,0.209582974653276,0.191582974653276
"ERK",-0.15539200790621,-0.324632396573935,-0.151709734975007,-0.0291869878962969,0.354885560105576,0.0967495134239217,-0.110977323007026,-0.11504773004773,-0.11504773004773,-0.11504773004773,0.0923844576476156,-0.110714285714286,0.0834621518832045,0.0866200466200466,-0.0898226984415692,-0.18454878943507,-0.0857142857142857,-0.169655172413793,0.0701754385964912,-0.133876383146456,0.0446799198643859,-0.128696202834134,-0.125714285714286,-0.134125500667557,0.13047586563106,0.139267074422269,-0.0113738684386116,0.140801590902689,-0.0333333333333333,-0.0733333333333333,0.12000777000777,-0.0478376137792624,0.197850872761791,-0.0733333333333333,0.0912154561017364,-0.0701754385964912,0.0955627705627706,-0.243151373235796,0.120668005317223,0.117915711739241,-0.0893145691860035,-0.229287969544807,0.16,-0.100568957868366,0.14,0.246370847628205,0.144918032786885,0.146878817100611,0.293685825290556,0.207497875377672,0.203401235549614,0.206136797859645,0.194225057358571,0.212865064392059,0.206904452081457
"RAS",-0.1968534906588,-0.282540880503145,-0.142418079096045,-0.195253682487725,0.105167812096099,-0.108192933474535,-0.298717948717949,-0.191025641025641,-0.191025641025641,-0.191025641025641,-0.0982843137254902,-0.1,-0.0941176470588235,-0.0941176470588235,-0.110092879256966,-0.12,-0.1,-0.12,-0.1,-0.0552631578947368,0.0991341991341991,-0.0755555555555556,-0.06,-0.04,0.0635294117647059,0.0645195107746069,-0.083059646539028,0.0496027805362463,0,0.1,0.05,0.0843478260869565,0.0930534200670215,0.1,0.104210526315789,0.1,0.0666666666666667,-0.129000888014406,0.0622222222222222,0.0733333333333333,0.100500625782228,-0.0496970234969306,0.1,0.11527508644904,0.1,0.390721534907581,0.133333333333333,0.137333333333333,0.445400516795866,0.140711462450593,0.141558441558442,0.143599257884972,0.181876923076923,0.221373343151694,0.201785714285714
"TWIST1",-0.190624423467191,-0.192923501619154,-0.176193595309325,-0.103326795248992,0.259392046823434,-0.0144282924150104,-0.0765255734743574,-0.0840598200496999,-0.0840598200496999,-0.0840598200496999,-0.0184908939014202,0,-0.0306315433975009,-0.0296908939014202,-0.102656966881838,-0.0936231884057971,0,-0.106666666666667,-0.0523809523809524,0.0011965811965812,-0.0772262316884743,-0.133500258181428,-0.0884848484848485,-0.102277951933124,0.102277951933124,0.108883874484377,-0.111452680750926,0.011067569746815,0.0666666666666667,0.0523809523809524,-0.00888888888888889,0.0426214645569484,0.0842457561228162,0.0412698412698413,0.104149504195271,0.0412698412698413,0.00769230769230769,-0.0832585894147016,0.0260135344881108,0.0124542124542125,0.019788169903525,-0.0191437828317211,0.166666666666667,0.00804531369160615,0.177777777777778,0.0799581876888421,0.173777777777778,0.180627092846271,0.0957981579119477,0.161768175327497,0.168600418600419,0.176191177676326,0.189313139782692,0.231697486960645,0.224160933917031
"CD44",-0.202658160552897,-0.268518518518518,-0.138181818181818,-0.144688644688645,0.296148296148296,0.244883720930233,0.0257142857142857,0,0,0,0.21,-0.1,0.05,0.15,-0.235,-0.225,0,-0.2,-0.1,-0.114285714285714,0.00952380952380952,-0.105833333333333,-0.133333333333333,-0.0733333333333333,0.0983333333333333,0.115,-0.0857142857142857,0.140601503759398,0.1,0,0.1,-0.16,0.203916083916084,-0.1,0.225,0,0.1,-0.32256595375095,0.12,0.1,-0.21,-0.322985347985348,0.1,-0.26180679785331,0.1,0.0449306995525483,0.1,0.12,0.135119047619048,0.170175438596491,0.166666666666667,0.168707482993197,0.191941150636803,0.244444444444444,0.125396825396825
"NOTCHic",-0.108341473341473,-0.177850836228689,-0.0609193305113609,0.0673854599722844,0.180676159952359,0.345014985014985,0.225350052246604,0.201212121212121,0.201212121212121,0.201212121212121,0.3129483419806,-0.1,0.283916083916084,0.283916083916084,-0.266666666666667,-0.246666666666667,0,-0.18,0.2,-0.197695852534562,0.0533014354066986,-0.0765964450296248,-0.0777777777777778,-0.0977777777777778,0.101003584229391,0.119474921809009,0.0817230273752013,0.23453795779772,-0.1,-0.2,0.0428571428571429,-0.187107666966158,0.249067145755888,-0.238461538461538,0.260952380952381,-0.238461538461538,0.111111111111111,-0.259808048006198,0.208010335917313,0.177777777777778,-0.313586413586414,-0.339988625264674,0.1,-0.365625672037886,0.075,-0.339512503157363,0.0673076923076923,0.0555429864253394,-0.189174661980305,0.092809364548495,0.188095238095238,0.191692360397396,0.254013462452769,0.277665056360709,0.287215320910973
