"","SNAI1","Csl","NOTCHic","AXIN2","cMet","cateninmemb","IKK","AKT","ZEB2","DELTA","SUFU","NFB","HEY1","FUS","SHH","Patched","SMAD","ILK","SOSGRB2","TGF","GSK3","KLF4","CDC42","TGFR","LIV1","SMO","miR200","PAK1","Wnt","Frizzled","DSH","RAF","PI3K","ZEB1","GLI","RAS","STAT","SRC","TCFLEF","Destcompl","cateninnuc","CD44","TrCP","Csn","Ecadherin","NOTCH","RKIP","Jagged","SNAI2","ERK","TWIST1","MEK","EGR1","cfos","FOXC2"
"CDC42",0.0182146966957094,0.133333333333333,0.117948717948718,0.0733333333333333,0.0537037037037037,0.0478223880125967,0.108333333333333,0.108333333333333,-0.119030323994004,0.0368191721132898,0.133333333333333,0.133333333333333,0.0737381309345327,0.119047619047619,0.0850173522216533,0.0862519201228879,0.0643625192012289,0.0595238095238095,0.0430555555555556,0.0664374840845429,0.0537662337662338,-0.115904761904762,-0.0714285714285714,-0.0694677871148459,-0.1,-0.102380952380952,-0.0624310330192683,0.0428571428571429,-0.0537037037037037,-0.05,-0.05,-0.0368191721132898,-0.0368191721132898,0.119030323994004,-0.0510721247563353,-0.0258435623571922,-0.05,-0.05,-0.0566740007334067,-0.0624255313248543,-0.0540814081408141,-0.0537037037037037,-0.1,-0.133333333333333,-0.0282353490721268,-0.104102564102564,-0.00934731934731934,-0.0994444444444445,0.139888141056024,0.0582608695652174,0.0228311688311688,0.0769049373618276,0.1,0.08,0.0483213773314204
"NOTCH",0.0203846153846154,0.02,0.02,-0.0261725067385445,-0.0276923076923077,-0.0228329424428532,0.122222222222222,0.111111111111111,-0.116022544283414,-0.00424242424242424,0.1,0.133333333333333,-0.0297101449275362,0.133333333333333,0.0984917043740573,0.11025641025641,0.0628571428571428,0.0595238095238095,0.0231578947368421,0.0928888888888889,0.0610240334378265,-0.11231884057971,-0.0888888888888889,-0.0928888888888889,0,-0.133333333333333,-0.0604329004329004,-0.1,0.0276923076923077,0.02,0,0.00424242424242424,0.00424242424242424,0.116022544283414,0.0246620046620047,-0.00300395256916996,0,0.02,0.0257609057609058,0.00945217046151626,0.0245364159649874,0.0246620046620047,0,-0.1,0.0616129032258064,-0.0974193548387097,-0.0168877099911583,-0.0796921596921597,0.176771050300462,0.1,0.0590847457627119,0.0785714285714286,0.2,0.1,0.063265306122449
"TCFLEF",0.0434152040428191,0.0257133747808066,0.0100271002710027,-0.514684249084249,-0.159978632478632,0.0709204951715581,-0.0536003351487222,-0.0666438134095918,-0.115701754385965,-0.109045667637725,0.2,-0.060051948051948,0.0258742030640404,0.193333333333333,0.188108714295138,0.186881720430108,0.0444076408647205,0.0403923444976077,0.0617208659603869,0.225846854779811,0.124190505396094,-0.0118220015278839,-0.223315444245677,-0.225184603124181,0.133333333333333,-0.193333333333333,-0.0429146021314696,-0.225641025641026,0.165125691302162,0.165980392156863,0.150980392156863,0.109045667637725,0.109045667637725,0.115701754385965,0.171957989438808,0.113382067112101,0.145833333333333,0.160833333333333,0.065753557374351,0.12645676429682,0.0665267532506396,0.165639009837123,0.0571428571428571,0.048051948051948,0.0305033695779223,-0.00903042253013892,-0.0380015612802498,0.0961139420399099,0.339896818232182,0.0355400696864112,0.166717214479013,0.0457441513190642,0.0457142857142857,0.038397212543554,0.159853487480639
"Jagged",0.025,0,0.02,-0.0242857142857143,-0.02,-0.0233565026522773,0.133333333333333,0.122222222222222,-0.11231884057971,-0.0133333333333333,0,0.1,-0.0166666666666667,0.1,0.11025641025641,0.133333333333333,0.0595238095238095,0.0833333333333333,0.06,0.0928888888888889,0.0701149425287356,-0.116666666666667,-0.1,-0.0888888888888889,0,-0.133333333333333,-0.0575757575757576,0,0.02,0,0,0.0133333333333333,0.0133333333333333,0.11231884057971,0.0276923076923077,0.00424242424242424,0,0,0.0246620046620047,0.00758301158301158,0.0257609057609058,0.0276923076923077,0,0,0.06,-0.02,-0.041025641025641,-0.0870995670995671,0.177300150829563,0.1,0.054,0.1,0.1,0.2,0.0571428571428571
"DELTA",0.025,0,0.02,-0.0242857142857143,-0.02,-0.0233565026522773,0.133333333333333,0.122222222222222,-0.11231884057971,-0.0133333333333333,0,0.1,-0.0166666666666667,0.1,0.11025641025641,0.133333333333333,0.0595238095238095,0.0833333333333333,0.06,0.0928888888888889,0.0701149425287356,-0.116666666666667,-0.1,-0.0888888888888889,0,-0.133333333333333,-0.0575757575757576,0,0.02,0,0,0.0133333333333333,0.0133333333333333,0.11231884057971,0.0276923076923077,0.00424242424242424,0,0,0.0246620046620047,0.00758301158301158,0.0257609057609058,0.0276923076923077,0,0,0.06,-0.02,-0.041025641025641,-0.0870995670995671,0.177300150829563,0.1,0.054,0.1,0.1,0.2,0.0571428571428571
"GLI",0.0353021686618118,0.0796816976127321,0.0646816976127321,0.0745486111111111,0.050786782061369,0.0506931397686423,0.120509607351713,0.125197107351713,-0.0940415599931729,0.147392329795539,0.219047619047619,0.134795321637427,0.0705613006122344,0.206547619047619,0.185186898021067,0.178191013247404,0.064212847505876,0.0582669015599301,0.0396544458491361,0.183396086085703,0.128190079922836,-0.0913419133419133,-0.181436781609195,-0.180807850791585,-0.05,-0.180231829573935,-0.0462692931423582,-0.188333333333333,0.0626565464895636,0.0567741935483871,0.06,-0.147392329795539,-0.147392329795539,0.0940415599931729,-0.0420243045742662,-0.149570547617321,-0.05,-0.0532258064516129,-0.0536864685817452,-0.0817713024706846,-0.0542244243498265,-0.0559591958544724,-0.15,-0.161111111111111,-0.0308355558287293,-0.0599197928508273,0.00424762592587816,-0.0950766622373948,0.121149550382441,-0.0203246753246753,0.00351355398044702,-0.01977218913683,-0.02,-0.045,0.0387850447196422
"RAS",-0.0673451327433628,0,0.0368421052631579,-0.108722002635046,-0.0911764705882353,0.0082364752522382,-0.02,-0.0366666666666667,-0.0896833578792342,-0.122564102564103,-0.1,0,0.0960474308300395,0,0.0119209039548023,-0.00333333333333334,0.00160791589363018,-0.000432900432900432,0.0337662337662338,-0.0808153756552126,0.00316537467700258,-0.0907142857142857,0.08,0.0976470588235294,0,-0.0166666666666667,-0.0814461538461538,0.1,0.0911764705882353,0.05,0.1,0.122564102564103,0.122564102564103,0.0896833578792342,0.0786764705882353,0.0129487179487179,0.1,0.05,0.0820766342543564,0.0570558919396129,0.0823599203733366,0.0805381727158949,0.2,0.1,0.0337988019098724,-0.0236345580933466,-0.00154088050314465,0.065117287601025,0.247479928454419,0.0847368421052632,-0.00843426077468631,0.110227038183695,0.04,0.09,0.0758730158730159
"ZEB2",-0.153712659057988,-0.135897435897436,-0.129230769230769,-0.11359704408531,-0.09,-0.0867218353713461,-0.0847222222222222,-0.0819184839044652,-0.0801539012168933,-0.0790692640692641,-0.075,-0.0736111111111111,-0.0678096097450936,-0.0607142857142857,-0.0566883116883117,-0.0521428571428571,-0.0519578446287481,-0.0513480885311871,-0.048956043956044,-0.0417480931766646,0.00103508504250906,0.019890896568277,0.0394805194805195,0.040160791589363,0.05,0.0521428571428571,0.0547990912678565,0.0558441558441558,0.0747086247086247,0.0772727272727273,0.0772727272727273,0.0790692640692641,0.0790692640692641,0.0801539012168933,0.0811306430572486,0.0844225831270799,0.09,0.09,0.0923865414710485,0.094386482227874,0.0952436843281914,0.0955555555555556,0.1,0.111111111111111,0.121655640571197,0.130870113493064,0.131143317230274,0.14498053157271,0.15770709681117,0.164134125636672,0.165764661401893,0.16901217441716,0.175,0.180263157894737,0.310340326340326
"cMet",0.00558844466070157,0.142857142857143,0.14812030075188,0.135238095238095,0.12,0.129306310534069,0.18,0.16125,-0.0665223665223665,0.0980952380952381,0.1,0.2,0.0782593739250086,0.2,0.130852272727273,0.152727272727273,0.134924757781901,0.133106575963719,0.0214285714285714,-0.0298049645390071,-0.00339861751152074,-0.163492063492064,0.0191666666666667,0.0191666666666667,-0.1,-0.18,-0.0636256587615283,0.00666666666666668,-0.12,-0.1,-0.1,-0.0980952380952381,-0.0980952380952381,0.0665223665223665,-0.101818181818182,-0.105642407906559,-0.2,-0.2,-0.119105545617173,0.0179262368337999,-0.115715715108699,-0.103720930232558,-0.2,-0.1,-0.20239885489277,-0.141737322028475,0.126296296296296,-0.163651565825479,-0.283666438994906,-0.015,0.0605152899534922,-0.0459090909090909,0.075,-0.005,0.0483491561181435
"RKIP",-0.168114239932993,-0.166666666666667,-0.148484848484848,-0.0250937646507267,-0.0175438596491228,-0.11619501854796,0.00178571428571429,0.0169372294372294,-0.0523538976566236,-0.0454545454545455,-0.1,0.0142857142857143,-0.048586914440573,-0.0666666666666667,-0.0301420765027322,-0.0186666666666667,-0.0335590394726251,-0.0226679503637142,0.0166984126984127,-0.014161103693814,-0.00232466509062254,-0.0603538976566236,0.0266666666666667,0.00761904761904762,0,0.0466666666666667,-0.0225261706262145,0.0333333333333333,0.0133333333333333,0.0333333333333333,0,0.0454545454545455,0.0454545454545455,0.0523538976566236,0.021025641025641,0.048018648018648,0,0.0333333333333333,0.021739663844927,0.013171400964567,0.0250475518856395,0.0252361673414305,0,0,0.135636059944133,0.133100233100233,0.0628151260504202,0.0614742501414827,0.301685317946028,0.131034482758621,0.125225787284611,0.0991195891415994,0.05,0.1,0.119569702328323
"RAF",-0.168114239932993,-0.166666666666667,-0.148484848484848,-0.0250937646507267,-0.0175438596491228,-0.11619501854796,0.00178571428571429,0.0169372294372294,-0.0523538976566236,-0.0454545454545455,-0.1,0.0142857142857143,-0.048586914440573,-0.0666666666666667,-0.0301420765027322,-0.0186666666666667,-0.0335590394726251,-0.0226679503637142,0.0166984126984127,-0.014161103693814,-0.00232466509062254,-0.0603538976566236,0.0266666666666667,0.00761904761904762,0,0.0466666666666667,-0.0225261706262145,0.0333333333333333,0.0133333333333333,0.0333333333333333,0,0.0454545454545455,0.0454545454545455,0.0523538976566236,0.021025641025641,0.048018648018648,0,0.0333333333333333,0.021739663844927,0.013171400964567,0.0250475518856395,0.0252361673414305,0,0,0.135636059944133,0.133100233100233,0.0628151260504202,0.0614742501414827,0.301685317946028,0.131034482758621,0.125225787284611,0.0991195891415994,0.05,0.1,0.119569702328323
"ERK",-0.170553698622452,-0.133100233100233,-0.139669576165927,-0.0259814816360046,-0.021739663844927,-0.114975506352838,0.0157607588489941,0.00933874050037029,-0.052347648437776,-0.041986901986902,-0.0466666666666667,0.0169372294372294,-0.0602965017815596,-0.0186666666666667,-0.0400312495632608,-0.0347172399014251,-0.0392241994676901,-0.0398321022032524,0.026299275697334,-0.0143496013275671,-0.00229788577229009,-0.0509603728048224,0.014161103693814,0.0127012496792154,0.0333333333333333,0.0301420765027322,-0.0233259642278657,0.00761904761904762,0.0175291375291375,0.021025641025641,0.0133333333333333,0.041986901986902,0.041986901986902,0.052347648437776,0.0212885360253781,0.040996802977001,0.0175438596491228,0.0252361673414305,0.0233746894321079,0.013529746130052,0.0237219116543301,0.0250475518856395,-0.0142857142857143,-0.00178571428571429,0.135610172599106,0.140500601096674,0.0628444472643184,0.068451338824082,0.303730517694162,-0.00754707752506725,0.126207330013726,-0.0145108658259029,0.131034482758621,0.0991195891415994,0.120641543400164
"MEK",-0.169396291215044,-0.148484848484848,-0.133100233100233,-0.0241928637498258,-0.0252361673414305,-0.114975506352838,0.0169372294372294,0.0157607588489941,-0.0515602468629728,-0.048018648018648,-0.0666666666666667,0.00178571428571429,-0.0558596417133003,-0.0466666666666667,-0.0347172399014251,-0.0301420765027322,-0.0398321022032524,-0.0335590394726251,0.0389206349206349,-0.0127012496792154,-0.00257036533632278,-0.0525107604017217,0.00761904761904762,0.014161103693814,0,0.0186666666666667,-0.0228357681494343,0.0266666666666667,0.021025641025641,0.0133333333333333,0.0333333333333333,0.048018648018648,0.048018648018648,0.0515602468629728,0.0175291375291375,0.041986901986902,0.0333333333333333,0.0175438596491228,0.0250475518856395,0.014845041131931,0.0233746894321079,0.021739663844927,0,-0.0142857142857143,0.133996715681838,0.139669576165927,0.0575519681556833,0.0639332665349254,0.304361716972792,0.0991195891415994,0.12412688618571,-0.00754707752506725,0.1,0.131034482758621,0.120470603229224
"cateninnuc",-0.0755253171307499,-0.0754551161330822,-0.0742923254354078,-0.47200389941198,-0.30119506097767,0.112098181688006,-0.090530303030303,-0.088967803030303,-0.0235110739989662,-0.116262746262746,0.233333333333333,-0.090530303030303,0.0352297751565048,0.253333333333333,0.27526750178966,0.272435257780946,0.0529708525520258,0.052015873015873,0.0073479249498726,0.20027170209703,0.0823463779795553,0.0164507102229522,-0.194813186813187,-0.194813186813187,0.260606060606061,-0.268087431693989,-0.00790754036195368,-0.179428571428571,0.302488820490607,0.290532298751477,0.283682983682984,0.116262746262746,0.116262746262746,0.0235110739989662,0.304860361992584,0.115084295084295,0.283682983682984,0.289238539238539,0.3074360961022,0.0879255821593279,0.208402679918825,0.303179187961797,0.1,0.0875,0.196948217060553,0.0792923254354078,0.0629145139393278,0.264227945566191,0.494927668399553,0.124243694909628,0.228135905662983,0.125161126102288,0.128985507246377,0.130572808833678,0.176409071802514
"miR200",-0.0726038776038776,-0.034679802955665,-0.0450246305418719,0.0658849075720694,0.00273116962645438,0.00348300885880644,-0.00721804511278195,-0.0109916300184423,-0.0176388888888889,0.022353616532721,-0.04,-0.0157894736842105,-0.00847457627118644,-0.015,-0.0269088240689782,-0.0279957805907173,0.00134920855091743,0.00228964742239079,-0.0376208897485493,-0.00503894355941927,0.00393479615792987,-0.0190648723257419,0.00955882352941176,0.00794592030360531,0,0.0216666666666667,-0.023473116382985,-0.00416666666666667,-0.0117746478873239,-0.016,-0.02,-0.022353616532721,-0.022353616532721,0.0176388888888889,-0.0172691533818294,-0.0265930180289804,-0.02,-0.00695652173913044,-0.0047777185831157,-0.0095527030448604,-0.00689893070432782,-0.00834914715454427,0.1,0,0.0193732867772496,0.0512393198074087,0.0558515921706106,0.0410839606808919,-0.0215561230519625,0.0942857142857143,0.00850172322564961,0.0868027210884354,0.114285714285714,0.0942857142857143,0.166323432664896
"cateninmemb",-0.0202320828196476,-0.123827751196172,-0.126920534701327,-0.375434299826024,-0.306679751779377,0.0956601234310089,-0.121058201058201,-0.121058201058201,-0.0158148088369795,-0.144487179487179,0.233333333333333,-0.124761904761905,0.0344220958670228,0.266666666666667,0.299031093895521,0.295094086021505,0.0566034319402042,0.0587826086956522,-0.0360062893081761,0.200043348850388,0.144107880071386,0.0100328176277543,-0.188424242424242,-0.197692535107169,0.266666666666667,-0.285416666666667,-0.00811245034708722,-0.179090909090909,0.307489346981776,0.300592795257638,0.284313725490196,0.144487179487179,0.144487179487179,0.0158148088369795,0.314156013648443,0.146721816358688,0.284313725490196,0.300592795257638,0.316147591860678,0.147766102915074,0.318388488219221,0.313034266829544,0.1,0.12,0.249907580393337,0.128035776337015,0.00865094420471627,0.284831507691131,0.40533577360776,0.128059981255858,0.273531967721912,0.124530569491152,0.129090909090909,0.129090909090909,0.175192350218653
"SNAI2",-0.00861662352602819,-0.0864035087719298,-0.0846491228070176,-0.197183049582123,-0.143276019754893,-0.115166251373148,-0.0882183908045977,-0.0870135715274893,-0.00986868051185232,-0.0972193120307316,0.1,-0.0916666666666667,0.0213532248342375,0.12,0.147994859915797,0.143769507803121,0.039982157698985,0.0395036887994634,-0.046551724137931,0.122939209128467,0.093849319901745,0.0025,-0.115406162464986,-0.117970265029089,0.12,-0.137647058823529,-0.0051893370158266,-0.105882352941176,0.143276019754893,0.136233766233766,0.129090909090909,0.0972193120307316,0.0972193120307316,0.00986868051185232,0.144880297829759,0.0967626910261654,0.129090909090909,0.136233766233766,0.147856443211273,0.0965900494181068,0.148477561223695,0.144351288572097,0.1,0.0666666666666667,0.2926967716659,0.0872465254044202,0.00216666666666667,0.133827840236231,0.445573918728972,0.103921568627451,0.131258890164693,0.103921568627451,0.1,0.105882352941176,0.119820849500392
"Ecadherin",-0.0120593680214555,-0.0327272727272727,-0.0378819119025305,-0.147856443211273,-0.0435837348083824,-0.0152021138301626,-0.0457142857142857,-0.047012987012987,-0.00868342797333451,-0.0512217194570136,0.0333333333333333,-0.0457142857142857,0.0167269445911373,0.05,0.0524384048768098,0.0532258064516129,0.0240032284100081,0.0266666666666667,-0.0232869910625621,0.0726632344705824,0.0418151927563446,0.00750117205813408,-0.0697575757575758,-0.0760990391722099,0.0333333333333333,-0.05,-0.0037964497741034,-0.0710909090909091,0.0444682925295218,0.0461924304605563,0.0392156862745098,0.0512217194570136,0.0512217194570136,0.00868342797333451,0.0491349591961885,0.0540150155463991,0.0392156862745098,0.0461924304605563,0.0474796602052012,0.0408283122166088,0.0489735911108968,0.0486004572164092,0,0.06,0.00619529924854222,0.0360231758430509,0.00757274649730509,0.0374963714315091,0.163693575617333,0.0842394839847842,0.0313964533050961,0.0807100722200783,0.0890909090909091,0.0832085561497326,0.0841632059214058
"KLF4",-0.012375823717658,-0.0327272727272727,-0.0327272727272727,-0.144351288572097,-0.0461924304605563,-0.0148174984455472,-0.0457142857142857,-0.0457142857142857,-0.00820949432404541,-0.0526923076923077,0,-0.06,0.0147135217723453,0.0333333333333333,0.0532258064516129,0.05,0.0266666666666667,0.0266666666666667,-0.0193396226415094,0.0760990391722099,0.0385039344781989,0.0037037037037037,-0.0710909090909091,-0.0697575757575758,0.0333333333333333,-0.05,-0.00212047212047212,-0.0590909090909091,0.0461924304605563,0.0392156862745098,0.0333333333333333,0.0526923076923077,0.0526923076923077,0.00820949432404541,0.0444682925295218,0.0512217194570136,0.0333333333333333,0.0392156862745098,0.0486004572164092,0.0422262618904205,0.0474796602052012,0.0435837348083824,0.1,0,0.105124218430626,0.0378819119025305,0.00345289631003917,0.0340638771523329,0.163512961529434,0.0832085561497326,0.0274858387799564,0.0842394839847842,0.08,0.0890909090909091,0.0839343729694607
