"","GSK3","ZEB2","ZEB1","Csn","FUS","TrCP","miR200","SMO","NFB","IKK","AKT","SHH","cfos","Csl","SMAD","LIV1","EGR1","SOSGRB2","ILK","HEY1","SRC","KLF4","cateninmemb","TGF","NOTCH","Jagged","MEK","STAT","RAS","SNAI2","TWIST1","RAF","Ecadherin","PI3K","DELTA","DSH","PAK1","CDC42","Frizzled","TGFR","SNAI1","RKIP","ERK","NOTCHic","GLI","CD44","Wnt","AXIN2","cateninnuc","TCFLEF","cMet","FOXC2","Patched","Destcompl","SUFU"
"TGF",-0.0691237225483801,-0.16871275685921,-0.16871275685921,0.166666666666667,-0.0333333333333333,0.2,-0.0985129812716019,-0.0666666666666667,0.0916666666666667,0.0630952380952381,0.0630952380952381,-0.0613864942528735,-0.0476190476190476,0.106666666666667,-0.0328641251221896,0,-0.0333333333333333,-0.114473684210526,-0.0506060606060606,-0.00812379110251449,0.0333333333333333,-0.174167302313755,0.0311212093469715,-0.242896825396825,0.0766666666666667,-0.0329835542464408,-0.0700751879699248,0,-0.0583333333333333,-0.0919386868852844,-0.178333333333333,-0.0619047619047619,-0.0599672081122952,0.0619047619047619,0.0619047619047619,0,0.18,0.157777777777778,-0.0428571428571429,0.148253968253968,-0.102479338842975,-0.0376623376623377,0.0634085213032581,-0.0766666666666667,-0.044743935309973,-0.0352201257861635,-0.0428571428571429,-0.0215608465608466,-0.0340239535373597,-0.0325885468387951,-0.0333333333333333,0.0527639751552795,0.0770114942528735,-0.0187570484840059,-0.0666666666666667
"SMO",-0.372257192645542,-0.160028248587571,-0.160028248587571,-0.1,0,0,-0.0799879445449066,-0.12,-0.15,-0.221428571428571,-0.201428571428571,-0.0672222222222222,0.08,0,-0.142698412698413,-0.1,0.1,-0.0192982456140351,-0.163333333333333,-0.162637362637363,-0.25,-0.172222222222222,0.194016076834743,-0.0598198198198199,-0.00227272727272727,0.109497354497355,0.0632167832167832,-0.2,0.00831842576028622,0.0951220580186097,0.131808278867102,0.0269230769230769,0.0163208899079282,-0.0269230769230769,-0.0269230769230769,0.1,0.166666666666667,0.106666666666667,0.15,0.0733333333333334,-0.0668202764976959,-0.0368253968253968,-0.0723076923076923,0.0272727272727273,0.204166666666667,0.3,0.1875,0.112987012987013,0.346324549237171,0.332038834951456,0.283333333333333,-0.127241379310345,0.095,0.483123543123543,-0.1
"TWIST1",-0.0788946219322304,-0.159743076409743,-0.159743076409743,0.2,0.133333333333333,0.1,-0.121238514481361,0.105333333333333,0.146153846153846,0.16043956043956,0.133320916371764,0.0916481993836741,0.115072463768116,0.0792592592592593,0.0151464245523652,-0.0666666666666667,0.0933333333333333,0.0508302528897495,0.0115160615160615,0.0341156019122121,-0.0658730158730159,-0.163195747342089,-0.0419849311097441,0.0714456450848918,0.072413589206042,0.0398706307275224,0.106457643134442,-0.0380952380952381,-0.0483998299381315,0.0386263919910639,0.0244456249318949,-0.0634683230888165,0.0142613615180255,0.0634683230888165,0.0634683230888165,0.0380952380952381,-0.0806060606060606,-0.0668129571577847,0.0658730158730159,-0.0830629571577847,-0.131515679130025,-0.103407612103264,-0.0940198321891686,-0.0997720797720798,0.0590519632414369,0.0603017948185854,0.0374519632414369,0.0610561481529224,0.0565443767182003,0.0463661133484476,0.0382134414049308,-0.167081137167409,-0.103963470319635,0.0758566215794942,-0.1
"CD44",-0.0428571428571429,-0.146031746031746,-0.146031746031746,0.2,0.1,0.1,-0.106139657444005,0,0.1,0.0666666666666667,0.06,-0.0781818181818182,0.075,0.1,-0.0746031746031746,-0.1,0,0.0119047619047619,-0.0888888888888889,-0.0152046783625731,0,-0.265079365079365,0.0530769230769231,-0.1725,0.062406015037594,-0.0624708624708625,0.055,-0.1,-0.189523809523809,-0.00653124653124653,-0.16043956043956,-0.180952380952381,-0.0540603626099229,0.180952380952381,0.180952380952381,0,0.133333333333333,0.193333333333333,-0.1,0.205833333333333,-0.101382243487507,-0.0566666666666667,-0.115,-0.0571428571428571,-0.0966666666666667,-0.0966666666666667,-0.05,-0.09,-0.0941979725700656,-0.0757364341085271,0.05,-0.0658333333333333,0.06,-0.0704463603623268,-0.1
"ZEB2",-0.158958274424982,-0.14490389810419,-0.14490389810419,-0.133333333333333,-0.110714285714286,-0.1,-0.0982997834744126,-0.0964285714285714,-0.0958333333333333,-0.0847222222222222,-0.0763110072689512,-0.0714618308520748,-0.0657894736842105,-0.0564102564102564,-0.0562029840078621,-0.05,-0.05,-0.0482967032967033,-0.0464468864468864,-0.0451488833746898,-0.0433333333333333,-0.0388936428510555,-0.0359224874436908,-0.0350085892943036,-0.0340277427490542,-0.0338474303086733,-0.0310137065717007,-0.03,-0.016325815512111,-0.014485171393029,-0.0128372002619962,-0.00883116883116883,0.00743604391533697,0.00883116883116883,0.00883116883116883,0.0227272727272727,0.0285714285714286,0.034025974025974,0.0360606060606061,0.0360667903525046,0.0384688735980312,0.0430756843800322,0.0432088285229202,0.0444102564102564,0.0450232030965976,0.049083820662768,0.0514452214452214,0.0522935314842517,0.0523625841527991,0.0536612854515004,0.0564912280701754,0.0747552447552448,0.0769163763066202,0.101527920539595,0.125
"cateninnuc",-0.562198639600161,-0.136877324869269,-0.136877324869269,0.0166666666666667,0.273333333333333,-0.0333333333333333,-0.0803728496438536,0.268415300546448,0.00757575757575758,0.0275757575757576,0.0189820075757576,0.280239547153303,0.171083505866115,0.161268047708726,-0.0329320273481256,-0.315151515151515,0.153623188405797,0.277551306474009,-0.0221544011544012,-0.00458440027079111,-0.378399378399378,-0.150202269063479,0.234425632197526,0.143082449849503,0.196151768638958,0.35156707084355,0.17611195784614,-0.322843822843823,-0.0748921898921899,0.143253684892724,0.206414049687514,-0.0745554895554895,0.0946240492932163,0.0745554895554895,0.0745554895554895,0.322843822843823,-0.148571428571429,-0.134725274725275,0.376268480378069,-0.146794240242516,-0.23288114197998,-0.19082919148676,-0.166020214726874,-0.196151768638958,0.418659784725896,0.42130828109089,0.3882250021172,0.166810451007089,0.350307858075119,0.43139043194974,0.390355900138509,-0.254060682486912,-0.283943250857007,0.614573792056031,-0.233333333333333
"cMet",-0.0444700460829493,-0.130880230880231,-0.130880230880231,0.1,0,0.2,-0.0967646574440053,-0.06,0.0666666666666667,0.06,0.0475,-0.0781818181818182,0.115,0.0571428571428571,-0.0582395382395382,-0.1,0.075,-0.00142857142857144,-0.0746031746031746,-0.00540075679394564,-0.05,-0.246031746031746,0.0335039693402683,-0.1725,0.039001759718445,-0.0450795581230364,0.0168181818181818,0,-0.161221922731357,-0.0291589837575239,-0.134596863810347,-0.189523809523809,-0.0568593447982181,0.189523809523809,0.189523809523809,-0.1,0.193333333333333,0.205833333333333,-0.05,0.1725,-0.106466989250219,-0.027037037037037,-0.055,-0.062406015037594,-0.0784848484848485,-0.0757364341085271,-0.0966666666666667,-0.0598412698412698,-0.0761188765248678,-0.0941979725700656,-0.0966666666666667,-0.0443143459915612,0.0781818181818182,-0.0826085225244889,-0.1
"SMAD",-0.0563108890552499,-0.12874903940271,-0.12874903940271,-0.0611111111111111,-0.1125,-0.05,-0.0627391535597599,-0.0775,-0.0468253968253968,-0.0448646125116713,-0.035531279178338,-0.0707062344394802,-0.111059907834101,-0.0419047619047619,-0.136785451990931,0.06,-0.114285714285714,-0.128564034309376,-0.0334521186575981,0.00128693666845141,0.036984126984127,-0.122397522120857,0.0341566618527198,-0.138278011753517,-0.0351176792556103,-0.0444344365312107,-0.0797092817160334,0.0314285714285714,-0.0484574715868671,-0.0933806915699015,-0.0772572466016582,-0.0431943136921303,-0.0774055652652672,0.0431943136921303,0.0431943136921303,-0.0380952380952381,0.14047619047619,0.130617035546613,-0.0436507936507936,0.137879605379015,0.0182115089211863,0.0132211282880048,0.0854785124852642,0.0430541871921182,-0.0381167593397809,-0.0343745013156778,-0.035958485958486,-0.0214092748609198,-0.0344597341732193,-0.0307110006372517,-0.0311017740429505,0.0541474764325862,0.0710779816513762,0.00802691681952633,0.1
"cateninmemb",-0.452949998651928,-0.0994600628976959,-0.0994600628976959,-0.08,0.266666666666667,-0.1,-0.0605082275473337,0.297916666666667,-0.0466666666666667,-0.0392592592592593,-0.0327657527657528,0.30371634493269,0.147272727272727,0.189377990430622,-0.00138863740042812,-0.266666666666667,0.147272727272727,0.254051187144534,0.00950724637681159,0.0246028270978922,-0.340538075695394,-0.106610407876231,0.204672401583257,0.164083749326726,0.218765182397816,0.354437135499236,0.15360383703622,-0.319607843137255,0.00618441231241101,0.19367452427546,0.264775428731393,0.0165196078431373,0.11999315962992,-0.0165196078431373,-0.0165196078431373,0.319607843137255,-0.155090909090909,-0.164424242424242,0.340538075695394,-0.161009608277901,-0.1396930817718,-0.104460681105946,-0.152427366447985,-0.202780052286292,0.385457615925279,0.386959480377669,0.368124282591946,0.180604986349048,0.416127876669353,0.405016765558242,0.369233727869308,-0.22875884182665,-0.298991935483871,0.494746782456773,-0.233333333333333
"TrCP",0.0829832251082251,-0.0889545532457174,-0.0889545532457174,-0.225,-0.185714285714286,-0.2,-0.0454334110201533,-0.137327188940092,-0.1875,-0.182236842105263,-0.161866471734893,-0.12268521363145,-0.115652173913043,-0.161538461538462,-0.0853968253968254,0,-0.12,-0.0434543454345434,-0.0802355350742447,-0.102451715318811,-0.0214814814814815,-0.081192297684101,-0.0382339576599946,-0.0107937064542658,-0.145274725274725,-0.124063991138378,-0.0719459592237779,-0.04,0.108291837552957,-0.042280820906895,-0.000666478449087145,0.122837292098411,0.0181752287549401,-0.122837292098411,-0.122837292098411,0.04,0.0142857142857143,0.000560224089635852,0.0214814814814815,0.015711739241151,0.0818282180041644,0.0566826359644039,0.0732792925571113,0.166153846153846,0.0290681310321875,0.0252813209248853,0.0451656920077973,0.0317740186510518,0.0254882174766094,0.0352813209248853,0.0431031031031031,0.0859421447300535,0.12868521363145,0.0298493467416813,0.185714285714286
"EGR1",0.0829832251082251,-0.0889545532457174,-0.0889545532457174,-0.225,-0.185714285714286,-0.2,-0.0454334110201533,-0.137327188940092,-0.1875,-0.182236842105263,-0.161866471734893,-0.12268521363145,-0.115652173913043,-0.161538461538462,-0.0853968253968254,0,-0.12,-0.0434543454345434,-0.0802355350742447,-0.102451715318811,-0.0214814814814815,-0.081192297684101,-0.0382339576599946,-0.0107937064542658,-0.145274725274725,-0.124063991138378,-0.0719459592237779,-0.04,0.108291837552957,-0.042280820906895,-0.000666478449087145,0.122837292098411,0.0181752287549401,-0.122837292098411,-0.122837292098411,0.04,0.0142857142857143,0.000560224089635852,0.0214814814814815,0.015711739241151,0.0818282180041644,0.0566826359644039,0.0732792925571113,0.166153846153846,0.0290681310321875,0.0252813209248853,0.0451656920077973,0.0317740186510518,0.0254882174766094,0.0352813209248853,0.0431031031031031,0.0859421447300535,0.12868521363145,0.0298493467416813,0.185714285714286
"NOTCHic",0.00753855166080872,-0.0875201288244767,-0.0875201288244767,-0.2,-0.175,-0.1,-0.0447999399444486,-0.182692307692308,-0.233333333333333,-0.188888888888889,-0.18656330749354,-0.125956064808057,-0.1,-0.277142857142857,-0.0807605344295992,-0.1,-0.1,-0.0526315789473684,-0.0742857142857143,-0.190869565217391,-0.0384615384615385,-0.079848171152519,-0.0354189122423199,-0.0217464557222108,-0.140470531166626,-0.0869829802280133,-0.06,0,0.0980011293054771,-0.0566901045741079,0.00056955548448993,0.0837154150197628,0.00299315336208921,-0.0837154150197628,-0.0837154150197628,0,0,0.02,0.0384615384615385,0.00709677419354839,0.0772568172568173,0.0611648671872081,0.1,0.135207373271889,0.0501917437401308,0.0485847485847486,0.0233100233100233,0.0557023060796646,0.0440108274132265,0.0310337281765853,0.0233100233100233,0.0800394996708361,0.135633484162896,0.065742840303588,0.2
"cfos",0.0742559523809524,-0.082845228486875,-0.082845228486875,-0.2,-0.185714285714286,-0.1,-0.0428953399541635,-0.185714285714286,-0.225,-0.1875,-0.182236842105263,-0.12868521363145,-0.12,-0.2,-0.0802355350742447,-0.1,0,-0.0444444444444444,-0.0753968253968254,-0.0936281859070465,-0.04,-0.0746349206349206,-0.0462925657186026,-0.015711739241151,-0.166153846153846,-0.111180555555556,-0.0732792925571113,0,0.122837292098411,-0.0558432078870035,0.0112900432900433,0.10942265795207,0.01658353325321,-0.10942265795207,-0.10942265795207,0,0,0.0142857142857143,0.04,0.000560224089635852,0.0830215354265987,0.0616550116550117,0.115652173913043,0.161538461538462,0.0451656920077973,0.0431031031031031,0.0214814814814815,0.0525287356321839,0.0352813209248853,0.0252813209248853,0.0214814814814815,0.0928386964541914,0.137327188940092,0.0254884444860422,0.2
"ZEB1",-0.158789505456784,-0.0692790773326976,-0.0692790773326976,0.1,0.104166666666667,0.1,0.0566716637411098,0.090530303030303,0.0631578947368421,0.0746333045729077,0.0674904474300505,0.105686258650985,0.096,0.08125,0.0284786537672756,-0.0333333333333333,0.1,-0.143937621832359,0.0270363460749679,0.0483451695109726,-0.0370856785490932,-0.0699828570284181,0.0164445873026867,-0.209514290378693,0.0889797034516286,0.0833727670793099,0.0911282715729464,-0.0102564102564103,0.0200034291747474,0.0341435406416292,-0.0675437178521131,0.011656972481834,0.0652642871844092,-0.011656972481834,-0.011656972481834,0.00476190476190476,0.209195402298851,0.213543228385807,0.0315911730545877,0.200852873055858,-0.156830347811225,-0.142041079487888,-0.0783529411764706,-0.0988970588235294,0.0344196160892163,0.0414157439085703,0.0162065576699723,0.0447708004056918,0.0463455852709386,0.0382242545468682,0.0233601883530147,-0.051145492475669,-0.108177361853832,0.180315279379763,-0.116666666666667
"Ecadherin",-0.199802339879341,-0.0537938168532566,-0.0537938168532566,-0.02,0.05,0,-0.0314580619049893,0.0625,0.0133333333333333,-0.00518518518518519,0.0052044252044252,0.0579703242739819,0.0896256684491979,0.0877511961722488,-0.0076149770151244,-0.0333333333333333,0.107272727272727,0.125889982245494,-0.00301449275362319,0.00329284611953384,-0.0582307341541268,-0.0594467885607126,0.0361654582996046,0.0584232133000271,0.0876975419354803,0.066483743774046,0.0958678354190786,-0.0745098039215686,-0.0189908111934073,0.0650135145852782,0.0252216258322075,-0.00697963800904977,-0.0607928725173454,0.00697963800904977,0.00697963800904977,0.0745098039215686,-0.0470909090909091,-0.0617575757575758,0.0582307341541268,-0.0495624538063563,-0.0738369245357501,-0.0580157224619504,-0.100965874634765,-0.0702254229763725,0.0807594697863107,0.0815083261273709,0.084092803119644,0.0581393996290224,0.09386837184761,0.0943352252556399,0.0851872558932572,-0.113633948133146,-0.0485215053763441,0.218458675174841,-0.0333333333333333
"KLF4",-0.196491081601195,-0.0514241486068111,-0.0514241486068111,0,0.0333333333333333,-0.1,-0.0316442816442816,0.05,-0.02,0.0133333333333333,-0.00518518518518519,0.0485215053763441,0.107272727272727,0.0509090909090909,-0.00301449275362319,-0.0333333333333333,0.08,0.119311034877073,0.00133333333333333,0.00799083269671505,-0.0745098039215686,-0.0518518518518519,0.0278321249662713,0.0495624538063563,0.0702254229763725,0.0703739039571123,0.100965874634765,-0.0333333333333333,-0.00697963800904977,0.0525511425202571,0.0268976034858388,-0.0165384615384615,0.0361886269957997,0.0165384615384615,0.0165384615384615,0.0333333333333333,-0.0590909090909091,-0.0470909090909091,0.0745098039215686,-0.0617575757575758,-0.0687736333965096,-0.0561430632859204,-0.0896256684491979,-0.0877511961722488,0.084092803119644,0.0851872558932572,0.0582307341541268,0.0703043480826307,0.0943352252556399,0.0815083261273709,0.0582307341541268,-0.10974378795008,-0.0625,0.206622701269902,0
"FOXC2",-0.196491081601195,-0.0514241486068111,-0.0514241486068111,0,0.0333333333333333,-0.1,-0.0316442816442816,0.05,-0.02,0.0133333333333333,-0.00518518518518519,0.0485215053763441,0.107272727272727,0.0509090909090909,-0.00301449275362319,-0.0333333333333333,0.08,0.119311034877073,0.00133333333333333,0.00799083269671505,-0.0745098039215686,-0.0518518518518519,0.0278321249662713,0.0495624538063563,0.0702254229763725,0.0703739039571123,0.100965874634765,-0.0333333333333333,-0.00697963800904977,0.0525511425202571,0.0268976034858388,-0.0165384615384615,0.0361886269957997,0.0165384615384615,0.0165384615384615,0.0333333333333333,-0.0590909090909091,-0.0470909090909091,0.0745098039215686,-0.0617575757575758,-0.0687736333965096,-0.0561430632859204,-0.0896256684491979,-0.0877511961722488,0.084092803119644,0.0851872558932572,0.0582307341541268,0.0703043480826307,0.0943352252556399,0.0815083261273709,0.0582307341541268,-0.10974378795008,-0.0625,0.206622701269902,0
"SOSGRB2",0.00638975797461071,-0.0215914786967419,-0.0215914786967419,0.1,-0.0333333333333333,0.1,-0.00599535810691491,-0.0666666666666667,0.0888888888888889,0.0941520467836257,0.0983187134502924,-0.0577414623926252,0.00476190476190476,0.0909090909090909,-0.0418753289721032,0,0.0380952380952381,0.00805555555555556,-0.0537634408602151,0.0518939393939394,0.0428571428571429,-0.0258771929824561,-0.0758436098436099,-0.0412197022835321,0.09025903673791,-0.0605593022172141,-0.0660816660816661,0,-0.166854990583804,-0.00517822923518299,-0.0702608695652174,-0.166854990583804,0.0505349916181283,0.166854990583804,0.166854990583804,0,0.0642857142857143,0.0542857142857143,-0.0428571428571429,0.0504395604395604,-0.0196680881307747,0.0747441520467836,0.0357786357786358,-0.0832167832167832,-0.0533643892339545,-0.0486542443064182,-0.0345238095238095,-0.0333952145214521,-0.0457740993934666,-0.0360226653590498,-0.0298136645962733,0.0246764346764347,0.0693693693693694,-0.112149371880915,0
"ERK",-0.317000999281131,-0.00409378992618749,-0.00409378992618749,0.0303571428571429,-0.0346666666666667,0.0428571428571429,-0.0111882469899809,-0.0461420765027322,0.0273268398268398,0.0308562515915457,0.0253516644355824,-0.0527916928710187,-0.0785399853264857,0.0385780885780886,-0.0860058050470503,-0.0666666666666667,-0.118965517241379,0.0915345970103252,-0.0853979023114879,-0.0841187607124509,-0.0883265856950067,-0.00621934536718829,0.107450169206335,0.0227671382668313,0.0457236898074393,-0.0314987264437687,0.00950086889821254,-0.0614035087719298,-0.185895468667746,0.111660736379666,0.0862372369682478,-0.191726051726052,-0.0505480561405088,0.191726051726052,0.191726051726052,0.0666666666666667,-0.0266666666666667,-0.016386292834891,0.0935897435897436,-0.0244154899151829,-0.049631960838875,-0.160707376338602,-0.0147933480068476,-0.0509868477021762,0.104985365511681,0.100479826855881,0.0886946386946387,0.0589423539006744,0.108245213059929,0.0971341019488183,0.0834314807999018,-0.0878733640802606,0.0494100503589414,0.35155163680079,0.0466666666666667
