"","ZEB1","HEY1","miR200","Patched","NFB","Csn","Jagged","RKIP","KLF4","SNAI1","NOTCH","NOTCHic","Csl","TrCP","MEK","ERK","Ecadherin","AXIN2","STAT","SRC","LIV1","TCFLEF","cateninnuc","CD44","cMet","PAK1","TGF","CDC42","Destcompl","SNAI2","GSK3","SOSGRB2","RAS","TGFR","RAF","PI3K","DELTA","cateninmemb","Wnt","Frizzled","DSH","GLI","TWIST1","EGR1","cfos","ZEB2","SUFU","FUS","AKT","IKK","FOXC2","SMO","SHH","ILK","SMAD"
"TWIST1",-0.095902920464324,-0.14780530204259,-0.0932466897250463,-0.127963470319635,-0.153846153846154,-0.1,-0.0913080645608902,-0.099270986227508,0.0465603502188868,-0.0629311568579218,-0.0313320432188357,-0.0417094017094017,-0.0288888888888889,-0.2,-0.0922592984733085,-0.100717009916095,0.0765757523588672,-0.033924838602258,-0.019047619047619,-0.019047619047619,-0.0333333333333333,-0.0201540486106465,-0.0152661820206522,-0.0132627775539849,-0.0233029381965552,0.0866666666666667,0.0784659165292069,0.0763218390804598,-0.0314493856837159,0.291830295107753,-0.0228653834111886,-0.131711944297757,0.0450704399557215,-0.0850718390804598,0.0433581111885982,0.0433581111885982,0.0433581111885982,0.0132806298151385,0.0243107769423559,0.019047619047619,0.019047619047619,0.0147107769423559,-0.0211496131633431,0.106666666666667,0.0849275362318841,-0.0568392954357867,0.1,0.133333333333333,0.148357856832433,0.134798534798535,0.127236192164924,0.129333333333333,0.133382189531457,0.145277095277095,0.143626930260594
"GLI",0.272122631848438,0.068180103239526,0.24700302793182,-0.0533834586466165,0.00526315789473684,0,0.0277699845371328,0.142249319697185,0.0547979407979408,0.134854932301741,0.0349529493495011,0.0263815207780725,0.0338815207780725,-0.0333333333333333,-0.0545351701705293,-0.053982683982684,-0.0227166191814385,0.0592013888888889,0.03,0.0396774193548387,0.05,0.0354615553197989,0.0362386025403608,0.0409810358392794,0.032360346184107,0.103333333333333,0.0985588681796727,0.0964367816091954,0.0454172129140561,-0.164311580980333,-0.0331156676109812,-0.210380416044133,0.0837179001421992,-0.0983235740620256,0.0874802763798229,0.0874802763798229,0.0874802763798229,-0.0279686462243283,0.0785578747628084,0.0703225806451613,0.08,-0.0303782954499576,-0.112257569821237,0.0771428571428571,0.0604761904761905,-0.055784007509814,0.0571428571428571,0.0571428571428571,-0.0110348415682062,-0.00322234156820623,-0.210577807877537,0.0676691729323308,0.0570871623503202,-0.0686152911261545,-0.0761828586937221
"SHH",0.2,0,0.133333333333333,-0.133333333333333,0,0,-0.134285714285714,0.08,0,0.0666666666666667,-0.2,-0.2,-0.1,0,-0.02,0,0.00777777777777777,0.276190476190476,0.1,0.1,0,0.13,0.141111111111111,0.15,0.1,0.2,0.146666666666667,0.166666666666667,0.00233766233766234,0.249885057471264,-0.00769230769230769,-0.15,0.00769230769230769,-0.166666666666667,0,0,0,0.103655913978495,0,0,0,-0.05,0.05,0,-0.1,-0.05,0.2,0.2,-0.05,-0.1,-0.075,0.1,0.0133333333333333,0,-0.0166666666666667
"SUFU",0.213666368784344,0.0129256634756897,0.156036393417302,0.00712121212121212,0.0682857142857143,0.0642857142857143,-0.119830854542099,0.081051967178624,0.0452892030147356,0.0708977063002348,-0.198744588744589,-0.196363636363636,-0.194090909090909,0.05,-0.0169129525402453,-0.0164874206253517,0.0171383980300369,0.287058110289118,0.13,0.141111111111111,0.15,0.144841528596361,0.143358152637281,0.142395876422448,0.140140237324703,0.163333333333333,0.162622015191573,0.163333333333333,0.00467581606321343,0.267903579762502,-0.0123843712442592,-0.192092994724574,0.00300936114172941,-0.164397163120567,0.00522455101514714,0.00522455101514714,0.00522455101514714,0.109909041679102,-0.0361111111111111,-0.0361111111111111,-0.025,-0.0379698471705907,0.0370140746126509,0.0123076923076923,0.0153379953379953,-0.0430882510288996,0.0133333333333333,-0.0116666666666667,-0.0728030090714654,-0.0721318681318681,-0.0742771770703391,-0.00611111111111111,-0.0105961155961156,-0.0277112135176651,-0.0260945853421455
"SMO",0.211864406779661,0.0124542124542125,0.150964436407474,0.0116666666666667,0.05,0.1,-0.119338624338624,0.08,0.0388888888888889,0.0722734254992319,-0.194090909090909,-0.209090909090909,-0.2,0,-0.0153379953379953,-0.0123076923076923,0.0169634618676284,0.283087027914614,0.1,0.15,0.1,0.140140237324703,0.142395876422448,0.141111111111111,0.13,0.166666666666667,0.163333333333333,0.146666666666667,0.0033087842390168,0.263789819376026,-0.0114833386678047,-0.18859649122807,0.00304114490161002,-0.163333333333333,0.00769230769230769,0.00769230769230769,0.00769230769230769,0.110047499739012,-0.025,-0.05,0,-0.0361111111111111,0.037363834422658,0,0.02,-0.0418079096045198,0.1,0.133333333333333,-0.0682857142857143,-0.0642857142857143,-0.0753448275862069,0.0133333333333333,-0.00611111111111111,-0.0266666666666667,-0.0219047619047619
"FUS",0.211250909847146,0.00810638636725593,0.157895129476781,0.00611111111111111,0.0642857142857143,0.05,-0.120543443615733,0.0830927835051546,0.0470856102003643,0.0703866330464018,-0.196363636363636,-0.194090909090909,-0.209090909090909,0.1,-0.0164874206253517,-0.0153379953379953,0.0155935988539298,0.284950381951881,0.15,0.13,0.1,0.142395876422448,0.144841528596361,0.140140237324703,0.141111111111111,0.146666666666667,0.164397163120567,0.163333333333333,0.00462265285215548,0.266123751153405,-0.0131555794704803,-0.18859649122807,0.00522455101514714,-0.163333333333333,0.00304114490161002,0.00304114490161002,0.00304114490161002,0.107999082606796,-0.0361111111111111,-0.025,-0.05,-0.0361111111111111,0.0347460333755375,0.02,0.0123076923076923,-0.0387404249419431,0.133333333333333,0.0133333333333333,-0.0721318681318681,-0.0682857142857143,-0.0740290381125227,-0.0116666666666667,-0.00712121212121212,-0.0219047619047619,-0.0277112135176651
"cateninnuc",-0.0462109721484787,-0.0392032850902796,-0.0246199368518808,0.106202242360475,0.0238636363636364,0.0208333333333333,-0.150179410012178,-0.117440713133021,0.0425898044225446,-0.10300055837532,-0.206415853449752,-0.204143126177024,-0.204143126177024,0.0333333333333333,-0.141636914729976,-0.140719483537315,0.051260026665929,0.298072436451675,0.147319347319347,0.141763791763792,0.124242424242424,0.148262118492173,0.0494496357525987,0.147888705497401,0.148285530894227,-0.008,-0.0059595288012695,-0.00338461538461538,0.00256012326396743,0.33726291785121,-0.00334171603294544,-0.133329029798902,-0.0252570002570003,0.00683289124668435,-0.0266038016038016,-0.0266038016038016,-0.0266038016038016,0.103663616814468,-0.149731497408686,-0.143209758278251,-0.147319347319347,-0.14933624049169,0.160275730154833,0.128985507246377,0.136922015182885,-0.0236693541785079,-0.111111111111111,-0.101111111111111,-0.0235198863636364,-0.0258636363636364,0.14271642019183,-0.109307832422587,-0.107727296826706,0.0180591630591631,0.0184684400032285
"GSK3",0.33739289111231,0.139849677143663,0.270562646794338,0.0626447106557932,-0.0945833333333333,-0.100833333333333,0.0811159305416997,0.316185831712147,0.0229282493402015,0.252530052803056,0.193442439913028,0.1848710113416,0.182773109243697,-0.113333333333333,0.231512407727578,0.22583058954576,0.00667588483139515,-0.112611415855051,-0.0447368421052632,-0.0518796992481203,-0.05,-0.0576035327537351,-0.0566824801221562,-0.0527059370280005,-0.0565154608375243,0.0956521739130435,0.099074848799133,0.0985093167701863,0.0313395810679944,-0.193305613812233,0.079454080362127,0.0296849378641778,0.228520536044731,-0.0967671564914407,0.230201208313639,0.230201208313639,0.230201208313639,-0.0394274631803312,0.0564548626468131,0.0518796992481203,0.0447368421052632,0.0526812777411527,-0.211382287352514,-0.202745098039216,-0.21755991285403,-0.023264237055731,-0.0454545454545455,-0.0502164502164502,0.0860068523430592,0.0911350574712644,-0.378507506365524,-0.0534422566680631,-0.0631231795553147,-0.128607022284443,-0.137152749420874
"TGF",-0.0910879966715207,-0.169374597034172,-0.116656954156954,-0.173448275862069,-0.258333333333333,-0.233333333333333,-0.142231222385862,-0.10995670995671,0.0169590643274854,-0.00032739987285442,-0.0371264367816092,-0.0233333333333333,-0.0133333333333333,-0.2,-0.0340517961570593,-0.0318295739348371,-0.0337019740857237,-0.0740299823633157,-0.1,-0.0333333333333333,0,-0.0346987752399868,-0.0418758087328097,-0.0465408805031447,-0.0333333333333333,-0.02,-0.11484126984127,-0.00888888888888889,0.00109476726240268,0.108526752466331,0.0925356443947442,-0.121052631578947,0.169047619047619,0.0184126984126984,0.172619047619048,0.172619047619048,0.172619047619048,0.0488646350902599,0.0571428571428571,0.0571428571428571,0.1,0.0703504043126685,-0.0225925925925926,0.0333333333333333,0.0476190476190476,-0.0151408825093036,0.133333333333333,0.153333333333333,0.272619047619048,0.272619047619048,0.00357142857142857,0.17,0.167198275862069,0.162424242424242,0.168875855327468
"Ecadherin",-0.0209478672985782,-0.0217055901066955,-0.0146352116743178,0.0346102150537634,0.0361904761904762,0.06,-0.041832767826613,-0.03539175288774,0.017065166432255,-0.0256389669468292,-0.101370962935851,-0.10694717111429,-0.0914832535885167,0,-0.103609901317603,-0.104786371905838,0.148494020341185,0.140717052159274,0.0274509803921569,0.0437300501595987,0.0333333333333333,0.0387438154294688,0.0401443756535585,0.0418571404606021,0.0341648327682944,0.00290909090909091,-0.00460357466964444,-0.00642424242424243,0.0220237982307054,0.1576995612002,0.0205643564040454,-0.0893781408925401,-0.042445208422862,8.27790096082789e-05,-0.0407692307692308,-0.0407692307692308,-0.0407692307692308,-0.098848470860666,-0.0351093605044263,-0.0437300501595987,-0.0274509803921569,-0.0424426938377596,0.0351644210756929,0.107272727272727,0.0955080213903743,-0.0130290424975178,-0.0333333333333333,-0.0333333333333333,-0.0447041847041847,-0.0473015873015873,0.0924113235779771,-0.0270833333333333,-0.0298858056049445,0.00811594202898551,0.00884233428080149
"cateninmemb",-0.0209478672985782,-0.0217055901066955,-0.0146352116743178,0.0346102150537634,0.0361904761904762,0.06,-0.041832767826613,-0.03539175288774,0.017065166432255,-0.0256389669468292,-0.101370962935851,-0.10694717111429,-0.0914832535885167,0,-0.103609901317603,-0.104786371905838,-0.116807702695152,0.140717052159274,0.0274509803921569,0.0437300501595987,0.0333333333333333,0.0387438154294688,0.0401443756535585,0.0418571404606021,0.0341648327682944,0.00290909090909091,-0.00460357466964444,-0.00642424242424243,0.0220237982307054,0.1576995612002,0.0205643564040454,-0.0893781408925401,-0.042445208422862,8.27790096082789e-05,-0.0407692307692308,-0.0407692307692308,-0.0407692307692308,0.0291280412139629,-0.0351093605044263,-0.0437300501595987,-0.0274509803921569,-0.0424426938377596,0.0351644210756929,0.107272727272727,0.0955080213903743,-0.0130290424975178,-0.0333333333333333,-0.0333333333333333,-0.0447041847041847,-0.0473015873015873,0.0924113235779771,-0.0270833333333333,-0.0298858056049445,0.00811594202898551,0.00884233428080149
"AKT",0.31608851608956,0.12664197573947,0.25178266940562,0.0576923076923077,-0.182352941176471,-0.2,0.0772934820494946,0.296239566060538,0.000286774628879895,0.259031364643493,0.169105186709435,0.165446650124069,0.155769230769231,-0.233333333333333,0.208374007415791,0.19951324792212,0.0277138806724359,-0.102597902698986,-0.0333333333333333,-0.0376811594202899,0,-0.0435709339244275,-0.0469555493090428,-0.0462513462955615,-0.0422965440356745,0.104411764705882,0.100131755863498,0.100411764705882,0.0223497161673692,-0.202789746911238,0.162955010938882,0.0215811965811966,0.186157200229489,-0.102850789096126,0.184952380952381,0.184952380952381,0.184952380952381,-0.0501242837596995,0.0422965440356745,0.0376811594202899,0.0333333333333333,0.0462071585608141,-0.219397106265351,-0.161904761904762,-0.191316526610644,-0.0104857092231929,0,-0.05,0.0705425293660588,0.169532428355958,-0.360789168042056,-0.0576923076923077,-0.0661133603238866,-0.119985914365746,-0.123016217396049
"SNAI2",-0.019607300188798,-0.0238848704038577,-0.0122790295201496,0.123841536614646,0.0916666666666667,0.0666666666666667,-0.136619246089725,-0.0276923076923077,0.0248076923076923,-0.0230520349340922,-0.151651856915015,-0.143859649122807,-0.149122807017544,0.1,-0.121091679915209,-0.115686274509804,0.429989404392388,0.190954046222661,0.129090909090909,0.129090909090909,0.12,0.140717052159274,0.140251213649957,0.136799526386078,0.138950064020487,-0.00588235294117647,-0.00290948040308654,-0.00112044817927171,0.0783993420171597,0.440425505733694,0.0754547094022844,-0.122413793103448,-0.0850748013090229,0.00539395245277598,-0.0850748013090229,-0.0850748013090229,-0.0850748013090229,-0.185656075708436,-0.138950064020487,-0.129090909090909,-0.129090909090909,-0.13734578594562,0.1321451523661,0.1,0.117647058823529,-0.00865428990979652,-0.1,-0.12,-0.0849362969117851,-0.0813218390804598,0.126848917005651,-0.125882352941176,-0.128066888727322,0.00617035546613011,0.00760576216469471
"TCFLEF",-0.30520955165692,-0.146797982681511,-0.243015090665693,0.0568509984639017,0.0806233766233766,0.0766233766233766,-0.181457055693653,-0.268816641410663,0.114027883880825,-0.249696305554046,-0.251749495411702,-0.248095010361868,-0.240251873106966,0.0857142857142857,-0.278093578894973,-0.26993031358885,0.0181085611138261,0.510306227106227,0.145833333333333,0.155833333333333,0.133333333333333,0.0611444155166194,0.0623471646575128,0.159655297532656,0.158397435897436,-0.1,-0.102929035006787,-0.102325581395349,-0.126588202587283,0.367880162813324,-0.160428621689402,-0.207440503608168,-0.108168068928863,0.103260160834601,-0.106722602437404,-0.106722602437404,-0.106722602437404,0.0739732181643858,-0.163544494720965,-0.160980392156863,-0.150980392156863,-0.16478673074581,0.288196705044891,0.244285714285714,0.261358885017422,-0.00842060960482013,-0.0666666666666667,-0.06,-0.0731198703120162,-0.0709459572685379,0.458109866104842,-0.0552380952380952,-0.0507160291387483,0.116719070403281,0.119587139236933
"KLF4",-0.02,-0.0183498854087089,-0.00923483923483923,0.0270833333333333,0.06,0,-0.036111944027986,-0.0312719027004741,0.0259259259259259,-0.0278541568202469,-0.10694717111429,-0.0914832535885167,-0.107272727272727,0.1,-0.104786371905838,-0.0955080213903743,0.247033455589481,0.136799526386078,0.0333333333333333,0.0274509803921569,0.0333333333333333,0.0418571404606021,0.0387438154294688,0.0341648327682944,0.0437300501595987,-0.00909090909090909,-8.27790096082789e-05,0.00290909090909091,0.0228625680349924,0.158602631639694,0.0205643564040454,-0.0920097198399085,-0.0407692307692308,0.00642424242424243,-0.0407692307692308,-0.0407692307692308,-0.0407692307692308,-0.0966689836811788,-0.0437300501595987,-0.0274509803921569,-0.0333333333333333,-0.0351093605044263,0.0275294117647059,0.08,0.107272727272727,-0.00686790505675955,0,-0.0333333333333333,-0.0473015873015873,-0.0361904761904762,0.0935554883377025,-0.0333333333333333,-0.0346102150537634,0.00666666666666667,0.00811594202898551
"HEY1",-0.02,-0.0183498854087089,-0.00923483923483923,0.0270833333333333,0.06,0,-0.036111944027986,-0.0312719027004741,0.0259259259259259,-0.0278541568202469,-0.10694717111429,-0.0914832535885167,-0.107272727272727,0.1,-0.104786371905838,-0.0955080213903743,0.247033455589481,0.136799526386078,0.0333333333333333,0.0274509803921569,0.0333333333333333,0.0418571404606021,0.0387438154294688,0.0341648327682944,0.0437300501595987,-0.00909090909090909,-8.27790096082789e-05,0.00290909090909091,0.0228625680349924,0.158602631639694,0.0205643564040454,-0.0920097198399085,-0.0407692307692308,0.00642424242424243,-0.0407692307692308,-0.0407692307692308,-0.0407692307692308,-0.0966689836811788,-0.0437300501595987,-0.0274509803921569,-0.0333333333333333,-0.0351093605044263,0.0275294117647059,0.08,0.107272727272727,-0.00686790505675955,0,-0.0333333333333333,-0.0473015873015873,-0.0361904761904762,0.0935554883377025,-0.0333333333333333,-0.0346102150537634,0.00666666666666667,0.00811594202898551
"FOXC2",-0.02,-0.0183498854087089,-0.00923483923483923,0.0270833333333333,0.06,0,-0.036111944027986,-0.0312719027004741,0.0259259259259259,-0.0278541568202469,-0.10694717111429,-0.0914832535885167,-0.107272727272727,0.1,-0.104786371905838,-0.0955080213903743,0.247033455589481,0.136799526386078,0.0333333333333333,0.0274509803921569,0.0333333333333333,0.0418571404606021,0.0387438154294688,0.0341648327682944,0.0437300501595987,-0.00909090909090909,-8.27790096082789e-05,0.00290909090909091,0.0228625680349924,0.158602631639694,0.0205643564040454,-0.0920097198399085,-0.0407692307692308,0.00642424242424243,-0.0407692307692308,-0.0407692307692308,-0.0407692307692308,-0.0966689836811788,-0.0437300501595987,-0.0274509803921569,-0.0333333333333333,-0.0351093605044263,0.0275294117647059,0.08,0.107272727272727,-0.00686790505675955,0,-0.0333333333333333,-0.0473015873015873,-0.0361904761904762,0.0935554883377025,-0.0333333333333333,-0.0346102150537634,0.00666666666666667,0.00811594202898551
"PI3K",0.307869338007368,0.113860020852252,0.25178266940562,0.0576923076923077,-0.2,-0.233333333333333,0.0686842105263158,0.294376212023271,0.00285087719298246,0.252765700483092,0.165446650124069,0.155769230769231,0.125,-0.2,0.19951324792212,0.191316526610644,0.0290775170360723,-0.0979047619047619,0,-0.0333333333333333,-0.1,-0.0462513462955615,-0.0435709339244275,-0.0422965440356745,-0.0376811594202899,0.075,0.102850789096126,0.104411764705882,0.019620187631389,-0.199272158971539,0.16497113997114,0.0126923076923077,0.184952380952381,-0.100411764705882,0.184952380952381,0.184952380952381,0.184952380952381,-0.0555269341164783,0.0376811594202899,0.0333333333333333,0,0.0422965440356745,-0.21847967507269,-0.133333333333333,-0.161904761904762,-0.000896668127302533,0,0,0.169532428355958,0.182352941176471,-0.357781649245064,-0.05,-0.0576923076923077,-0.104785914365746,-0.119985914365746
