"","Jagged","ILK","miR200","Csl","IKK","SMO","cateninmemb","Ecadherin","AKT","GSK3","AXIN2","cateninnuc","NFB","TCFLEF","RKIP","GLI","Wnt","TrCP","Frizzled","cfos","MEK","EGR1","ZEB1","DSH","SNAI2","FOXC2","TGFR","TGF","SOSGRB2","RAF","PI3K","DELTA","RAS","TWIST1","CDC42","PAK1","Destcompl","LIV1","STAT","ERK","SNAI1","SRC","cMet","CD44","FUS","Patched","SUFU","Csn","SHH","HEY1","NOTCHic","NOTCH","SMAD","ZEB2","KLF4"
"KLF4",-0.346211439734678,0.0293333333333333,0.174436304436304,-0.265454545454545,0.134285714285714,0.266666666666667,-0.531538028367297,-0.506019559119681,0.145396825396825,-0.152562535172012,-0.421877422895142,-0.395534815166786,0.12,-0.386194840073386,0.210265924551639,-0.374479928298505,-0.350341997264022,0.1,-0.329411764705882,0.187272727272727,0.224204200893103,0.16,-0.0930804953560372,-0.3,-0.462581736497316,-0.106477000291277,0.0542424242424242,0.0566814486326681,0.163993710691824,0.148333333333333,0.148333333333333,0.148333333333333,0.157156862745098,-0.383755991285403,-0.0449090909090909,-0.0409090909090909,0.168164516338426,0.233333333333333,0.3,-0.210802139037433,-0.203745888373825,0.329411764705882,0.350341997264022,0.373820258133587,-0.233333333333333,-0.297916666666667,-0.2,-0.1,-0.305443548387097,-0.0536440030557678,0.286507177033493,0.291661816208751,-0.0365797101449275,-0.222848297213622,-0.17037037037037
"HEY1",-0.346211439734678,0.0293333333333333,0.174436304436304,-0.265454545454545,0.134285714285714,0.266666666666667,-0.531538028367297,-0.506019559119681,0.145396825396825,-0.152562535172012,-0.421877422895142,-0.395534815166786,0.12,-0.386194840073386,0.210265924551639,-0.374479928298505,-0.350341997264022,0.1,-0.329411764705882,0.187272727272727,0.224204200893103,0.16,-0.0930804953560372,-0.3,-0.462581736497316,-0.106477000291277,0.0542424242424242,0.0566814486326681,0.163993710691824,0.148333333333333,0.148333333333333,0.148333333333333,0.157156862745098,-0.383755991285403,-0.0449090909090909,-0.0409090909090909,0.168164516338426,0.233333333333333,0.3,-0.210802139037433,-0.203745888373825,0.329411764705882,0.350341997264022,0.373820258133587,-0.233333333333333,-0.297916666666667,-0.2,-0.1,-0.305443548387097,-0.0536440030557678,0.286507177033493,0.291661816208751,-0.0365797101449275,-0.222848297213622,-0.17037037037037
"FOXC2",-0.346211439734678,0.0293333333333333,0.174436304436304,-0.265454545454545,0.134285714285714,0.266666666666667,-0.531538028367297,-0.506019559119681,0.145396825396825,-0.152562535172012,-0.421877422895142,-0.395534815166786,0.12,-0.386194840073386,0.210265924551639,-0.374479928298505,-0.350341997264022,0.1,-0.329411764705882,0.187272727272727,0.224204200893103,0.16,-0.0930804953560372,-0.3,-0.462581736497316,-0.106477000291277,0.0542424242424242,0.0566814486326681,0.163993710691824,0.148333333333333,0.148333333333333,0.148333333333333,0.157156862745098,-0.383755991285403,-0.0449090909090909,-0.0409090909090909,0.168164516338426,0.233333333333333,0.3,-0.210802139037433,-0.203745888373825,0.329411764705882,0.350341997264022,0.373820258133587,-0.233333333333333,-0.297916666666667,-0.2,-0.1,-0.305443548387097,-0.0536440030557678,0.286507177033493,0.291661816208751,-0.0365797101449275,-0.222848297213622,-0.17037037037037
"Destcompl",0.0359407791142858,0.048015873015873,0.0743146735658576,0.0776889933411673,-0.0716020368194281,-0.0517569786535304,0.0346517193986485,0.03894384693252,-0.0722731777590254,-0.00656573050776235,0.126837170374723,0.03343927052944,-0.0797101449275362,0.031807450029695,-0.0207493630192035,0.0300446958310592,0.0328276271854191,-0.0666666666666667,0.0258969341161122,-0.0363636363636364,-0.0358171882762047,-0.0333333333333333,-0.00171805941001131,0.019047619047619,0.125532421168392,0.0647292033869976,0.0564157931775251,0.0547409163302345,-0.0112563356239002,-0.0857808182509106,-0.0857808182509106,-0.0857808182509106,-0.0845249312807379,0.0193694900234483,-0.0506263194933146,-0.0595918367346939,-0.103050800492731,-0.0333333333333333,-0.019047619047619,0.0358171882762047,0.00901998203237536,-0.0258969341161122,-0.0323645958076545,-0.029752655509147,0.0574712643678161,0.0491663050784008,0.0333333333333333,0.0666666666666667,0.0520676590435846,-0.0412216842986074,-0.075515080297689,-0.0825291083538012,-0.0450918964076859,-0.0824276463591912,-0.0849527354320414
"NFB",-0.0244363047518873,0.110891089108911,0.0347658357667553,0.0774891774891775,0.00617760617760618,0.136296296296296,-0.17996528881166,-0.133577632143227,0.0128442728442728,-0.117439129497953,-0.196403242147923,-0.161489257856637,0.0142857142857143,-0.159057885307617,0.0550511419363878,-0.155397099779122,-0.154273504273504,0.1,-0.146581196581197,0.0342857142857143,0.0429131652661064,0.0142857142857143,-0.0204871373836891,-0.138888888888889,0.133274950920339,0.0742638680487286,0.113422222222222,0.117852601969058,0.142010172490049,-0.0721113127646703,-0.0721113127646703,-0.0721113127646703,-0.0736038500781031,-0.0670915032679738,-0.122222222222222,-0.122222222222222,0.0133096844304244,0.15,0.138888888888889,-0.0409523809523809,-0.0727559924245065,0.146581196581197,0.154273504273504,0.154838476024917,-0.14,-0.139744572158365,-0.12,-0.114285714285714,-0.149383126375233,-0.107236842105263,-0.0790764790764791,-0.0719797048829307,-0.112006330744599,-0.0510723360124449,-0.0426739926739927
"IKK",-0.0280334270540456,0.1,0.0302341137123746,0.0727272727272727,0.0142857142857143,0.14,-0.177114180047141,-0.132133009350289,0.00617760617760618,-0.118223443223443,-0.192857142857143,-0.159057885307617,0.114285714285714,-0.154838476024917,0.0473588342440801,-0.154273504273504,-0.146581196581197,0,-0.138888888888889,0.0142857142857143,0.0409523809523809,0,-0.0185714285714286,-0.15,0.136730235473185,0.0706782106782107,0.122222222222222,0.113422222222222,0.145168067226891,-0.0721113127646703,-0.0721113127646703,-0.0721113127646703,-0.0721113127646703,-0.0648692810457516,-0.122222222222222,-0.1,0.0108179900782649,0.1,0.15,-0.0342857142857143,-0.0664546225614928,0.138888888888889,0.146581196581197,0.154273504273504,-0.12,-0.136296296296296,-0.1,-0.1,-0.139744572158365,-0.0947368421052632,-0.0774891774891775,-0.0790764790764791,-0.110891089108911,-0.0476240601503759,-0.0465201465201465
"Csn",0.0134595498533322,-0.000494306418219462,0.00891768407830291,-0.0868686868686869,0.0925,-0.00519480519480519,0.0343993652054459,0.0141274662222077,0.0869,0.136549348229816,0.108649669499528,0.0786595687622584,0.0883333333333333,0.0790804947995404,0.0758799820868786,0.0764538049805002,0.0733970364215483,-0.02,0.0770114942528736,0.0266666666666667,0.0258820346320346,0.0266666666666667,0.00392886683209264,0.0666666666666667,0.0513395426352944,0.0786775815702463,0.0750748008210695,0.0719721755227401,-0.0253176524847227,0.0285790001576615,0.0285790001576615,0.0285790001576615,0.0264676757814619,0.0177886863020103,-0.0763568521031208,-0.0659090909090909,-0.00284184260080548,-0.0666666666666667,-0.0666666666666667,-0.027965367965368,-0.0588139171145342,-0.0770114942528736,-0.0733970364215483,-0.0765081475326594,0.0142857142857143,0.0127216869152353,0.0142857142857143,-0.08,0.0127216869152353,-0.00455149501661129,0.0777777777777778,0.0797008547008547,-0.00181931826044378,-0.00594871794871795,-0.0100308841485312
"AXIN2",-0.131175545958155,-0.0424660685530251,-0.108996283674998,-0.134385964912281,0.12512077294686,0.0864468864468864,-0.134647625107476,-0.0524891307656222,0.122898550724638,0.0938741516556162,0.277207135600921,-0.128263888922065,0.117874396135266,-0.126837170374723,-0.0768814250265863,-0.126783071825211,-0.12112269446672,0.133333333333333,-0.117674418604651,0.0291056910569106,0.0325990845470814,0.0266666666666667,0.0513727851766888,-0.12,-0.17024878201098,-0.0971985391657523,-0.0717581667212936,-0.0734083317377952,0.0104149489282729,0.138989069395644,0.138989069395644,0.138989069395644,0.14056387254525,-0.021440486991535,0.0770679012345679,0.0758333333333333,-0.0881114508803531,0.1,0.12,-0.0319094293746676,0.0817676216898624,0.117674418604651,0.12112269446672,0.126485470491957,-0.0769230769230769,-0.0864468864468864,-0.1,-0.122222222222222,-0.0848075421845914,0.034711573352547,0.136171679197995,0.135496003522319,0.0440533701403267,0.125255161725768,0.128755688446948
"SOSGRB2",0.0126125763570587,-0.0565591397849462,-0.13555715330861,0.0454545454545455,-0.170175438596491,-0.0666666666666667,0.212903747903748,0.19856220214206,-0.153508771929825,-0.0328380144088419,0.173184818481848,0.153725372538504,-0.133333333333333,0.149327666993571,0.0125,0.149430641821946,0.139285714285714,-0.1,0.114285714285714,-0.0476190476190476,-0.054007254007254,-0.0142857142857143,0.0281077694235589,0.1,0.308315694522307,-0.0422100122100122,-0.0687912087912088,-0.0581529109188684,-0.08,-0.193032015065913,-0.193032015065913,-0.193032015065913,-0.198160220194119,0.105565217391304,0.0457142857142857,0.0357142857142857,-0.0361613032753972,0,-0.1,0.0449163449163449,0.0942842928216062,-0.114285714285714,-0.136024844720497,-0.146169772256729,0,0.0639639639639639,0,0.1,0.0732662895453593,0.139204545454545,-0.0300699300699301,-0.0314783807741554,0.0558598390856455,0.166203007518797,0.157631578947368
"cateninnuc",0.229120383975936,-0.0531919191919192,-0.152085475917387,0.239359698681733,-0.0529242424242424,-0.158415300546448,0.307826258024787,0.233636252350906,-0.0646429924242424,0.0564520593658286,0.395534815166786,0.172019055971792,-0.0549242424242424,0.269395471326666,-0.0824161355600562,0.263447585767419,0.255937704344494,-0.0333333333333333,0.250502921735798,-0.179675638371291,-0.194151309025105,-0.171739130434783,0.0215321468362286,0.224475524475524,0.434355025869548,0.0650311819328213,-0.0813153972464317,-0.0861188906962134,-0.124593153515856,-0.0616047916047916,-0.0616047916047916,-0.0616047916047916,-0.0654768454768455,0.261891133294896,0.0818901098901099,0.0834285714285714,-0.0753280833063277,-0.209090909090909,-0.224475524475524,0.187270575080151,0.0688131438068883,-0.249475524475524,-0.25491030708422,-0.262449989623903,0.163333333333333,0.177669958931541,0.133333333333333,0.0458333333333333,0.182245122330234,0.0748901208919156,-0.256801559146849,-0.260437922783212,0.0560568578003776,0.19109479008378,0.144440642394379
"RAS",-0.0646993889217426,-0.141558441558442,-0.176430769230769,-0.25,0.133333333333333,-0.133333333333333,0.169138726067632,0.168959926526605,0.133333333333333,0.113113695090439,0.206113306982872,0.198287025812119,0.166666666666667,0.191771445075575,-0.0665408805031446,0.184313725490196,0.167647058823529,0.1,0.15,0.095,0.0799329205366357,0.12,0.078059646539028,0.1,0.421522749956793,-0.0574603174603175,-0.0776470588235294,-0.0766569598136284,-0.128138528138528,0.154102564102564,0.154102564102564,0.154102564102564,0.0483333333333333,0.224637206764866,0.06,0.06,0.0287826723873235,0,-0.1,-0.0897368421052632,0.178869223205506,-0.15,-0.167647058823529,-0.182540675844806,0.1,0.145333333333333,0.1,-0.2,0.157197740112994,0.0274703557312253,0.244736842105263,0.242850049652433,0.143599257884972,0.212249631811487,0.196785714285714
"Ecadherin",0.352389929437195,-0.0365797101449275,-0.181326434790122,0.286507177033493,-0.145396825396825,-0.297916666666667,0.542820079649348,0.413906608778882,-0.147994227994228,0.154107789035146,0.439403196091018,0.403377952421688,-0.134285714285714,0.395534815166786,-0.218880156761377,0.387146594965171,0.374479928298505,-0.1,0.350341997264022,-0.210802139037433,-0.234008122461731,-0.187272727272727,0.0907108271095917,0.329411764705882,0.475766564913933,0.112197824089904,-0.0566814486326681,-0.0572239441118725,-0.169256868586561,-0.157156862745098,-0.157156862745098,-0.157156862745098,-0.159391499616606,0.393253197989314,0.0542424242424242,0.0449090909090909,-0.171705988845416,-0.3,-0.329411764705882,0.224204200893103,0.213239559259901,-0.350341997264022,-0.373820258133587,-0.386194840073386,0.266666666666667,0.305443548387097,0.233333333333333,0.12,0.320404178308357,0.0637111171497275,-0.291661816208751,-0.304672968625107,0.0416644559076394,0.232326970199404,0.183028598218472
"cateninmemb",0.352389929437195,-0.0365797101449275,-0.181326434790122,0.286507177033493,-0.145396825396825,-0.297916666666667,0.447157992384981,0.406289820637584,-0.147994227994228,0.154107789035146,0.439403196091018,0.403377952421688,-0.134285714285714,0.395534815166786,-0.218880156761377,0.387146594965171,0.374479928298505,-0.1,0.350341997264022,-0.210802139037433,-0.234008122461731,-0.187272727272727,0.0907108271095917,0.329411764705882,0.475766564913933,0.112197824089904,-0.0566814486326681,-0.0572239441118725,-0.169256868586561,-0.157156862745098,-0.157156862745098,-0.157156862745098,-0.159391499616606,0.393253197989314,0.0542424242424242,0.0449090909090909,-0.171705988845416,-0.3,-0.329411764705882,0.224204200893103,0.213239559259901,-0.350341997264022,-0.373820258133587,-0.386194840073386,0.266666666666667,0.305443548387097,0.233333333333333,0.12,0.320404178308357,0.0637111171497275,-0.291661816208751,-0.304672968625107,0.0416644559076394,0.232326970199404,0.183028598218472
"PI3K",-0.0126315789473684,-0.0920048019207683,-0.184929042306091,-0.075,0.129411764705882,-0.0833333333333333,0.121308353961554,0.119732841826174,0.11659125188537,0.0365319865319865,0.162571428571429,0.125587299138416,0.1,0.122082144499241,-0.0815934065934066,0.116997398736529,0.115458937198068,0.2,0.111111111111111,-0.0333333333333333,-0.055898424943748,-0.0333333333333333,-0.0295522339614068,0.1,0.210830360774743,0.0772102206736353,0.0655882352941176,0.0631492109038737,-0.0726923076923077,-0.0126580086580087,-0.0126580086580087,-0.0126580086580087,-0.0153977346854059,0.154382332643202,-0.0455882352941176,-0.075,-0.0314661709181806,-0.1,-0.1,0.0509803921568627,0.0833454106280193,-0.111111111111111,-0.115458937198068,-0.116997398736529,0.1,0.091025641025641,0,-0.166666666666667,0.0965811965811966,0.0880435879326001,0.075,0.0685483870967742,0.108804801920768,0.238277504584774,0.236842105263158
"ILK",-0.0126315789473684,-0.0920048019207683,-0.184929042306091,-0.075,0.129411764705882,-0.0833333333333333,0.121308353961554,0.119732841826174,0.11659125188537,0.0365319865319865,0.162571428571429,0.125587299138416,0.1,0.122082144499241,-0.0815934065934066,0.116997398736529,0.115458937198068,0.2,0.111111111111111,-0.0333333333333333,-0.055898424943748,-0.0333333333333333,-0.0295522339614068,0.1,0.210830360774743,0.0772102206736353,0.0655882352941176,0.0631492109038737,-0.0726923076923077,-0.0126580086580087,-0.0126580086580087,-0.0126580086580087,-0.0153977346854059,0.154382332643202,-0.0455882352941176,-0.075,-0.0314661709181806,-0.1,-0.1,0.0509803921568627,0.0833454106280193,-0.111111111111111,-0.115458937198068,-0.116997398736529,0.1,0.091025641025641,0,-0.166666666666667,0.0965811965811966,0.0880435879326001,0.075,0.0685483870967742,0.108804801920768,0.238277504584774,0.236842105263158
"AKT",-0.0166050888811433,-0.108804801920768,-0.184929042306091,-0.075,0.11659125188537,-0.091025641025641,0.122633532350952,0.122308599401932,0.0115407468348645,0.038144889757793,0.167264569365652,0.12543345298457,0.129411764705882,0.125587299138416,-0.0846989966555184,0.122025331697423,0.116997398736529,0.166666666666667,0.115458937198068,-0.0509803921568627,-0.0609617160829885,-0.0333333333333333,-0.034346754509352,0.111111111111111,0.214347948714441,0.0764583409743872,0.0631492109038737,0.0622428664929976,-0.0593589743589744,-0.0153977346854059,-0.0153977346854059,-0.0153977346854059,-0.0146748431191409,0.156523005426077,-0.0655882352941176,-0.0455882352941176,-0.0313834579322418,-0.1,-0.111111111111111,0.055898424943748,0.0901123279212524,-0.115458937198068,-0.116997398736529,-0.122082144499241,0.0833333333333333,0.0965811965811966,0.1,-0.1,0.108160143949618,0.102329302218314,0.0685483870967742,0.0685483870967742,0.103754296870263,0.244441888146418,0.235987404408457
"SMAD",-0.161223711772099,-0.209115177060383,-0.239312036645066,-0.127619047619048,-0.186274509803922,-0.1975,-0.00466048484373455,-0.0137383003884354,-0.203607843137255,-0.108484143258579,0.00403931313371682,-0.000979231728489194,-0.2,-0.000371328992926884,-0.151538477895677,0.0164051176641105,0.0171245421245421,-0.2,0.019047619047619,-0.203225806451613,-0.206356396791506,-0.2,-0.0571182222581668,0.019047619047619,0.126234936157683,0.0015748229554101,0.009597810325641,0.00242649558460514,0.0156388642413487,-0.0879508497325091,-0.0879508497325091,-0.0879508497325091,-0.0886087444693512,0.0876672178338589,-0.000100603621730382,-0.00714285714285714,-0.0273740283319403,-0.02,-0.00571428571428572,0.210202550637659,0.111994008231911,-0.00571428571428572,-0.00375350140056023,-0.00193531958237841,0.2125,0.213096330275229,0.175,0.166666666666667,0.209007110944374,0.157457679627965,0.126469622331691,0.130437876299945,0.117686605631811,0.251034681600719,0.250321477117982
"Wnt",-0.00276960784313725,-0.0965811965811966,-0.182626262626263,-0.05,0.00666666666666668,-0.1,0.150974576271186,0.160321831328912,0.0316666666666667,0.13064263322884,0.180606060606061,0.148074241896131,0.0666666666666667,0.140789473684211,-0.0866666666666667,0.140789473684211,0.125,0.1,0.2,-0.0333333333333333,-0.0509803921568627,0,-0.0307508369201339,0.2,0.208793103448276,0.0731174089068826,0.0333333333333333,0.055072463768116,-0.0757575757575758,0.0165413533834586,0.0165413533834586,0.0165413533834586,0.0119958988380041,0.172941176470588,-0.0666666666666667,-0.1,-0.0204626473014835,0,-0.1,0.0333333333333333,0.102743271221532,-0.1,-0.125,-0.140789473684211,0,0.0909090909090909,0,-0.1,0.105194805194805,0.0876923076923077,0.0928571428571429,0.0928571428571429,0.103557940767243,0.253371592539455,0.241176470588235
"SNAI2",0.393831513257708,-0.0280348759221999,-0.201545471907306,0.297368421052632,-0.175574712643678,-0.301176470588235,0.586514724626775,0.660309939951874,-0.188827724691871,0.199123897606083,0.466516645472318,0.451825556339466,-0.158333333333333,0.439403196091018,-0.254782051282051,0.422274179838389,0.396070971282239,-0.1,0.366493506493506,-0.207843137254902,-0.256173820879703,-0.166666666666667,0.132369414726243,0.323636363636364,0.712854072198244,0.138955330063099,-0.0516698987287223,-0.0560177248156788,-0.203144016227181,-0.196978798785605,-0.196978798785605,-0.196978798785605,-0.205197976867797,0.425258380931163,0.0439775910364146,0.0392156862745098,-0.216034382828809,-0.26,-0.323636363636364,0.237254901960784,0.255544277657794,-0.366493506493506,-0.396070971282239,-0.421877422895142,0.26,0.335870348139256,0.2,0.133333333333333,0.35277175658996,0.0564798071127185,-0.32719298245614,-0.341478696741855,0.0342549716159798,0.256133417243549,0.198076923076923
