"","PAK1","cateninmemb","NFB","Wnt","TrCP","Csl","cMet","SRC","CD44","Jagged","DSH","STAT","ZEB2","GSK3","DELTA","RAF","PI3K","RAS","FOXC2","ZEB1","KLF4","NOTCHic","SOSGRB2","AXIN2","NOTCH","TCFLEF","cateninnuc","GLI","Frizzled","LIV1","Ecadherin","Csn","AKT","SMAD","SMO","IKK","ILK","Destcompl","SUFU","FUS","HEY1","Patched","SHH","SNAI1","SNAI2","miR200","ERK","cfos","TWIST1","EGR1","RKIP","MEK","CDC42","TGFR","TGF"
"ILK",-0.075,-0.0628360789130747,-0.133333333333333,-0.141545893719807,-0.2,0.05,-0.141545893719807,-0.111111111111111,-0.136930509104422,0.0280701754385965,-0.1,-0.1,-0.0282432607884188,-0.102453102453102,0.0966233766233766,-0.0966233766233766,-0.0966233766233766,-0.10347269169187,0.117084785133566,0.0282432607884188,-0.0278508771929824,-0.05,0.0169230769230769,0.0896190476190476,-0.0661290322580645,0.130715819838885,0.129272520869813,0.136930509104422,0.111111111111111,0.1,-0.00308106379514849,0.166666666666667,0.153544494720965,0.038928531412565,0.0666666666666667,0.150980392156863,0.041328531412565,0.225194900275067,0,0.05,0.0308815121245754,0.0666666666666667,0.0722222222222222,-0.0151127214170692,0.20674583059545,0.0572753453900995,0.0417366946778711,0.0476190476190476,0.103812691624523,0.0333333333333333,0.0111021331609567,0.0433760389401662,0.0691176470588235,0.0891176470588235,0.106190817790531
"ZEB2",-0.251948051948052,-0.132907604296151,-0.111111111111111,-0.101958041958042,-0.1,-0.0897435897435897,-0.0892982456140351,-0.0866666666666667,-0.0865204678362573,-0.0826187385963923,-0.0727272727272727,-0.06,-0.0267977186030842,-0.00245130732332032,-0.000367965367965369,0.000367965367965369,0.000367965367965369,0.00143862917952854,0.00704584304584305,0.0267977186030842,0.0684779262521328,0.0750769230769231,0.0774908424908425,0.0778966356306524,0.078902059688945,0.08722469318837,0.0877441737078505,0.0992057483800603,0.0993939393939394,0.1,0.108179365251107,0.111111111111111,0.113104880581516,0.116302599839185,0.116428571428571,0.117777777777778,0.118131868131868,0.122869591273989,0.125,0.125,0.127463343108504,0.128623693379791,0.129532784288882,0.136165482950177,0.142401144667776,0.144014882440957,0.153070175438596,0.153070175438596,0.154374741509531,0.158333333333333,0.159597423510467,0.160387248609328,0.239220779220779,0.249424860853432,0.252599464028035
"NFB",0.0222222222222222,0.210688521224734,-0.00238095238095238,0.075042735042735,0.1,0.0861471861471862,0.075042735042735,0.0888888888888889,0.0778675937997972,0.00218994064354889,0.0888888888888889,0.0888888888888889,-0.0209921355111918,0.00883214824391295,-0.0746368105791434,0.0746368105791434,0.0746368105791434,0.0721492483900886,-0.0731693715757461,0.0209921355111918,-0.0153846153846154,-0.0877344877344877,-0.0216320212295445,-0.0763931104356636,-0.0974119070893264,-0.0812431212259575,-0.0806941016181144,-0.078413521559589,-0.0888888888888889,-0.1,-0.234173034398073,-0.114285714285714,0.0136722436722437,-0.0718908089693728,-0.0888888888888889,0.0158944658944659,-0.0730060506050605,0.0975837079082342,-0.12,-0.1,-0.0767396432257113,-0.0957854406130268,-0.09337580205881,-0.00220086289363713,-0.297922075984123,0.0669286678993759,0.0116190476190476,0.0182857142857143,-0.121596638655462,0.0142857142857143,0.0111881743029284,0.00965826330532213,-0.0131313131313131,-0.00593131313131313,-0.000868021992072624
"GSK3",-0.119710144927536,-0.0403872274741138,-0.0591666666666667,-0.126081134208069,-0.0466666666666667,0.0747899159663866,-0.125985908479809,-0.133270676691729,-0.126462098955999,0.0268349833825085,-0.136842105263158,-0.136842105263158,-0.0179409387089733,-0.20814826369995,0.105608979077446,-0.105608979077446,-0.105608979077446,-0.104348474875766,0.107229498367809,0.0179409387089733,-0.0201256134262791,-0.0670976082740789,0.0291190979563072,0.0859504623989807,-0.0626820238584944,0.12886637322136,0.128932162695044,0.127024530434484,0.133270676691729,0.1,-0.0416017715263282,0.0591666666666667,0.0431041850869437,0.0383823609137167,0.064006423683843,0.0465229885057471,0.0361334853514978,0.240174120681042,0.0590909090909091,0.0543290043290043,0.0276898973601896,0.062165932886297,0.061208995087254,0.00321111592597943,0.192159879906074,0.0692044223437012,0.0594253607875899,0.0511546840958606,0.113988116128027,0.0474509803921569,0.0209897120423436,0.0599935426057717,0.135900621118012,0.13276473261627,0.128662168513706
"Frizzled",-0.1,-0.0340536723163842,-0.0466666666666667,-0.136842105263158,-0.1,0.0571428571428571,-0.136842105263158,-0.1,-0.133270676691729,0.0314408793820559,-0.2,-0.1,-0.016217547149263,-0.113187042842215,0.103178400546822,-0.103178400546822,-0.103178400546822,-0.108690211570444,0.108550983899821,0.016217547149263,-0.0156862745098039,-0.0571428571428571,0.0212121212121212,0.0864552501761804,-0.0747899159663866,0.125985908479809,0.126462098955999,0.133270676691729,0.1,0.1,-0.0440050835605517,0.0666666666666667,0.0591666666666667,0.0334919759175356,0.0590909090909091,0.0591666666666667,0.0344265553567879,0.23968414867176,0,0.05,0.0235133660665576,0.0543290043290043,0.064006423683843,0.00277777777777778,0.190973838790384,0.071010101010101,0.0474509803921569,0.0533333333333333,0.119789915966387,0.0333333333333333,0.0252380952380952,0.0511546840958606,0.106666666666667,0.119710144927536,0.135900621118012
"NOTCH",0.2,-0.0995892729054001,0.0333333333333333,-0.0261538461538462,0,-0.04,-0.0261538461538462,-0.08,-0.0473659673659674,0.0286868686868687,-0.1,-0.1,-0.0154589371980676,-0.0823493556252177,0.0927272727272727,-0.0927272727272727,-0.0927272727272727,-0.0941765480895916,0.0285714285714286,0.0154589371980676,-0.0154589371980676,0.0685714285714286,-0.0936842105263158,0.0578975741239892,-0.0023963133640553,0.0550582750582751,0.0505684791399077,0.0473659673659674,0.08,0,0.0521114883984154,0,-0.0777777777777778,-0.0219047619047619,-0.00833333333333333,-0.0666666666666667,-0.0285714285714286,0.0759942265362826,0,-0.0333333333333333,0.0710144927536232,-0.016025641025641,-0.0336726998491704,-0.153717948717949,-0.0674698939404822,-0.118614718614719,-0.186666666666667,-0.22,-0.102525423728814,-0.2,-0.200088417329797,-0.193809523809524,-0.166666666666667,-0.186666666666667,-0.215698924731183
"DELTA",0.2,-0.0917358697640388,0,-0.08,0,-0.1,-0.08,-0.1,-0.0261538461538462,0.0175757575757576,0,0,-0.0154589371980676,-0.0800766283524904,0.12,-0.12,-0.12,-0.0927272727272727,0.0428571428571429,0.0154589371980676,-0.0111111111111111,0.04,-0.12,0.0371428571428571,0.0685714285714286,0.0473659673659674,0.0550582750582751,0.0261538461538462,0.1,0,0.0609824561403509,0,-0.0666666666666667,-0.0285714285714286,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,0.0675830115830116,0,0,0.0666666666666667,-0.00833333333333333,-0.016025641025641,-0.158333333333333,-0.0679989944695827,-0.115757575757576,-0.22,-0.2,-0.111,-0.1,-0.18974358974359,-0.186666666666667,-0.2,-0.166666666666667,-0.186666666666667
"cateninnuc",-0.112,-0.179207157453989,0.236363636363636,-0.141054379410544,0.233333333333333,-0.0427495291902072,-0.139646464646465,-0.139646464646465,-0.138852813852814,0.1284749558768,-0.142424242424242,-0.142424242424242,-0.012791815680505,-0.186286108308509,0.25516137016137,-0.25516137016137,-0.25516137016137,-0.253982918982919,0.108069777217318,0.012791815680505,-0.0321919579037017,0.0439123198878816,-0.032594425254194,0.0357323228160781,0.044366865342427,0.139076861649677,0.0394358784958523,0.140263865576552,0.141054379410544,0.142424242424242,0.133186204746958,-0.233333333333333,-0.239144886363636,0.0208652654000539,0.131693989071038,-0.238363636363636,0.0204559884559885,0.181547410325485,0.133333333333333,0.133333333333333,0.0162724692526017,0.131072871058616,0.131726465829858,-0.0685018277269221,0.318750883668429,-0.00464506633942322,0.150495758751125,0.147964113181504,0.113109896406009,0.146376811594203,-0.0558414017744043,0.151413189943785,0.115076923076923,0.113352785145889,0.113352785145889
"cfos",0.185714285714286,-0.0861324936995464,0.0583333333333333,-0.0585185185185185,0,0.0333333333333333,-0.0585185185185185,-0.04,-0.0666266266266266,0.028125,-0.1,-0.1,-0.012137284292248,-0.0943046536796537,0.0955882352941176,-0.0955882352941176,-0.0955882352941176,-0.0980272596843615,0.0249996583999453,0.012137284292248,-0.0158730158730159,-0.00256410256410257,-0.0819444444444444,0.0670279146141215,-0.0164102564102564,0.0626662305870227,0.0597032676240597,0.0664132553606238,0.04,0.1,0.0437706993676618,-0.0333333333333333,-0.0550438596491228,-0.0280935313193378,-0.019047619047619,-0.0708333333333333,-0.0248677248677249,0.0777958554754799,-0.0333333333333333,-0.019047619047619,-0.0289855072463768,-0.0351766513056836,-0.0265346759970416,-0.149947942353006,-0.105112648908269,-0.117167473049826,-0.204347826086957,-0.2,-0.108406926406926,-0.12,-0.198298368298368,-0.212822402358143,-0.2,-0.229411764705882,-0.221836007130125
"NOTCHic",0.166666666666667,-0.0928955609378544,0.0666666666666667,-0.0473659673659674,0,-0.0685714285714286,-0.0473659673659674,-0.0261538461538462,-0.0550582750582751,0.0306736236537561,-0.08,-0.08,-0.0117552334943639,-0.0889609258731516,0.0941765480895916,-0.0941765480895916,-0.0941765480895916,-0.0956543806019068,0.030184331797235,0.0117552334943639,-0.0190303657694962,-0.0023963133640553,-0.0936842105263158,0.0551197963462114,-0.0181857870482658,0.0505684791399077,0.0476677157811291,0.0548928490863975,0.0261538461538462,0.1,0.0492018406189361,-0.0333333333333333,-0.0614987080103359,-0.0269407331277835,-0.016025641025641,-0.0777777777777778,-0.0219047619047619,0.0749942265362826,-0.0333333333333333,-0.00833333333333333,0.0725529542920847,-0.0336726998491704,-0.0218447428599231,-0.146839641839642,-0.0688726995517046,-0.116880614568476,-0.193809523809524,-0.186666666666667,-0.096865046370323,-0.22,-0.19304616380867,-0.19952380952381,-0.186666666666667,-0.215698924731183,-0.206144784603794
"PAK1",0.2,-0.0830189405859933,0.0708333333333333,-0.0664132553606238,0.0333333333333333,0.00256410256410257,-0.0666266266266266,-0.0585185185185185,-0.0626662305870227,0.0268980061349693,-0.04,-0.04,-0.00924339361700681,-0.0924864718614719,0.0980272596843615,-0.0980272596843615,-0.0980272596843615,-0.0975727142298161,0.0236203480551178,0.00924339361700681,-0.0142336716107208,-0.0164102564102564,-0.100756325632563,0.0657700529789014,-0.0186080586080586,0.0597032676240597,0.0598411986585425,0.0620230114581848,0.0585185185185185,0.1,0.0449471699558971,-0.0583333333333333,-0.0531920077972709,-0.0326096603515958,-0.0351766513056836,-0.0550438596491228,-0.0280935313193378,0.0755402163777355,-0.019047619047619,-0.019047619047619,-0.0304560954816709,-0.0265346759970416,-0.0255346759970416,-0.152573240682361,-0.106378471693079,-0.114629401983836,-0.212822402358143,-0.204347826086957,-0.108406926406926,-0.2,-0.193325992607761,-0.210155735691476,-0.229411764705882,-0.221836007130125,-0.215825078168376
"EGR1",0.2,-0.0830189405859933,0.0708333333333333,-0.0664132553606238,0.0333333333333333,0.00256410256410257,-0.0666266266266266,-0.0585185185185185,-0.0626662305870227,0.0268980061349693,-0.04,-0.04,-0.00924339361700681,-0.0924864718614719,0.0980272596843615,-0.0980272596843615,-0.0980272596843615,-0.0975727142298161,0.0236203480551178,0.00924339361700681,-0.0142336716107208,-0.0164102564102564,-0.100756325632563,0.0657700529789014,-0.0186080586080586,0.0597032676240597,0.0598411986585425,0.0620230114581848,0.0585185185185185,0.1,0.0449471699558971,-0.0583333333333333,-0.0531920077972709,-0.0326096603515958,-0.0351766513056836,-0.0550438596491228,-0.0280935313193378,0.0755402163777355,-0.019047619047619,-0.019047619047619,-0.0304560954816709,-0.0265346759970416,-0.0255346759970416,-0.152573240682361,-0.106378471693079,-0.114629401983836,-0.212822402358143,-0.204347826086957,-0.108406926406926,-0.2,-0.193325992607761,-0.210155735691476,-0.229411764705882,-0.221836007130125,-0.215825078168376
"STAT",0.159090909090909,-0.163959452869447,0.07,-0.0743506493506494,0,0.0156862745098039,-0.0743506493506494,-0.0607142857142857,-0.0769147519147519,0.0353502487214436,-0.0857142857142857,-0.0857142857142857,-0.00894746279361664,-0.131430796617712,0.144117038875103,-0.144117038875103,-0.144117038875103,-0.145609576188536,0.0369516019086571,0.00894746279361664,0.0856803327391563,-0.0021727609962904,-0.160591133004926,0.0618244500597442,-0.00896887750114477,0.0734447203690106,0.0721336357444576,0.0768716577540107,0.0607142857142857,0,0.150163697109502,-0.05,-0.0628974979822437,-0.02711977344661,-0.00666666666666667,-0.0747619047619048,-0.0236714975845411,0.100446207196167,0,0,-0.028,-0.0089922480620155,-0.00456746930095356,-0.13234281097747,-0.000931618027030354,-0.113224054601307,-0.2,-0.2,-0.0292982296730423,-0.2,-0.175035392535393,-0.203225806451613,-0.177840909090909,-0.190998803827751,-0.182786243441278
"cateninmemb",-0.118727272727273,-0.212688063862576,0.215238095238095,-0.183191031023476,0.2,0.0309090909090909,-0.182291480798588,-0.186639306885545,-0.181288136316983,0.170179599195617,-0.184313725490196,-0.184313725490196,-0.00715732738593068,-0.17714546051723,0.229966063348416,-0.229966063348416,-0.229966063348416,-0.229686733739478,0.125766064336253,0.00715732738593068,-0.0222222222222222,-0.0298781630740394,-0.0653350786915832,0.0928809634621426,-0.0295064158621434,0.181412669318228,0.181506039999834,0.182524364356809,0.186639306885545,0.166666666666667,0.15579397898042,-0.22,-0.217835497835498,0.0322456398919184,0.195833333333333,-0.215238095238095,0.0305507246376812,0.173055795188073,0.166666666666667,0.183333333333333,0.0176787444691116,0.19260752688172,0.190245322157311,-0.0150943778763858,0.275808923713581,-0.0052514421229505,0.143948398478417,0.140855614973262,0.183637857377588,0.129090909090909,-0.00257690410178372,0.144340555341162,0.133393939393939,0.138759793052476,0.136408979309257
"Ecadherin",-0.0427272727272727,-0.121282605154556,0.0752380952380952,0.00281852917590452,0.1,0.00200956937799043,0.00370308689704395,0.00109439124487004,0.00203084609436837,-0.00472505374107205,-0.00588235294117647,-0.00588235294117647,-0.00576132623166503,-0.0688851145131555,0.0848378582202112,-0.0848378582202112,-0.0848378582202112,-0.0839998693933955,0.0633245755289996,0.00576132623166503,-0.0124706985466479,-0.00304049721304197,-0.0322582829285908,0.0258964848132846,-0.00266875000114606,-0.0021553790956137,-0.00206200841400772,-0.00148519584257119,-0.00109439124487004,0,-0.0461591227852154,-0.08,-0.0802405002405002,0.0134425378109976,-0.00625,-0.0789417989417989,0.012231884057971,0.0684880399500393,-0.0333333333333333,0,0.00725632046595331,-0.0116263440860215,-0.0108389425112184,-0.00906811660755441,0.107752339135227,-0.00293360891126254,0.0918804785269309,0.0949732620320856,-0.00261094679957644,0.0890909090909091,-0.00516758967802307,0.092272635389676,0.0520606060606061,0.0486459719142646,0.04557183086544
"KLF4",-0.0227272727272727,-0.120897989769941,0.08,0.00109439124487004,0.1,0.00727272727272727,0.00109439124487004,-0.00588235294117647,0.00370308689704395,-0.00495388669301713,0,0,-0.00433952528379773,-0.0688851145131555,0.0841025641025641,-0.0841025641025641,-0.0841025641025641,-0.0848378582202112,0.0626380766731644,0.00433952528379773,-0.00740740740740741,-0.00200956937799043,-0.0375214408233276,0.024865556978233,-0.00304049721304197,-0.00203084609436837,-0.0021553790956137,-0.00281852917590452,0.00588235294117647,-0.0333333333333333,0.0534513932809968,-0.1,-0.0789417989417989,0.012231884057971,0,-0.0752380952380952,0.00933333333333333,0.0680220567254354,0,-0.0333333333333333,0.006585179526356,-0.00625,-0.0116263440860215,-0.0109668507847696,0.108173772006991,-0.00125763125763126,0.0949732620320856,0.0890909090909091,-0.00205228758169935,0.08,-0.00254586683158112,0.0918804785269309,0.0427272727272727,0.0520606060606061,0.0486459719142646
"HEY1",-0.0227272727272727,-0.120897989769941,0.08,0.00109439124487004,0.1,0.00727272727272727,0.00109439124487004,-0.00588235294117647,0.00370308689704395,-0.00495388669301713,0,0,-0.00433952528379773,-0.0688851145131555,0.0841025641025641,-0.0841025641025641,-0.0841025641025641,-0.0848378582202112,0.0626380766731644,0.00433952528379773,-0.00740740740740741,-0.00200956937799043,-0.0375214408233276,0.024865556978233,-0.00304049721304197,-0.00203084609436837,-0.0021553790956137,-0.00281852917590452,0.00588235294117647,-0.0333333333333333,0.0534513932809968,-0.1,-0.0789417989417989,0.012231884057971,0,-0.0752380952380952,0.00933333333333333,0.0680220567254354,0,-0.0333333333333333,0.006585179526356,-0.00625,-0.0116263440860215,-0.0109668507847696,0.108173772006991,-0.00125763125763126,0.0949732620320856,0.0890909090909091,-0.00205228758169935,0.08,-0.00254586683158112,0.0918804785269309,0.0427272727272727,0.0520606060606061,0.0486459719142646
"FOXC2",-0.0227272727272727,-0.120897989769941,0.08,0.00109439124487004,0.1,0.00727272727272727,0.00109439124487004,-0.00588235294117647,0.00370308689704395,-0.00495388669301713,0,0,-0.00433952528379773,-0.0688851145131555,0.0841025641025641,-0.0841025641025641,-0.0841025641025641,-0.0848378582202112,0.0626380766731644,0.00433952528379773,-0.00740740740740741,-0.00200956937799043,-0.0375214408233276,0.024865556978233,-0.00304049721304197,-0.00203084609436837,-0.0021553790956137,-0.00281852917590452,0.00588235294117647,-0.0333333333333333,0.0534513932809968,-0.1,-0.0789417989417989,0.012231884057971,0,-0.0752380952380952,0.00933333333333333,0.0680220567254354,0,-0.0333333333333333,0.006585179526356,-0.00625,-0.0116263440860215,-0.0109668507847696,0.108173772006991,-0.00125763125763126,0.0949732620320856,0.0890909090909091,-0.00205228758169935,0.08,-0.00254586683158112,0.0918804785269309,0.0427272727272727,0.0520606060606061,0.0486459719142646
