"","ILK","TGFR","TGF","PAK1","CDC42","Jagged","RKIP","NOTCH","SNAI1","NFB","TrCP","SOSGRB2","TWIST1","MEK","Ecadherin","Destcompl","cateninmemb","EGR1","PI3K","DELTA","RAS","GLI","TCFLEF","cateninnuc","AXIN2","SNAI2","LIV1","GSK3","SRC","CD44","Frizzled","cMet","STAT","Wnt","DSH","RAF","FOXC2","ERK","cfos","ZEB1","Csn","SUFU","Csl","NOTCHic","FUS","IKK","AKT","SMO","Patched","SHH","SMAD","HEY1","miR200","ZEB2","KLF4"
"STAT",0.0910628019323671,0.225598086124402,0.230912095786238,0.204545454545455,0.204545454545455,0.0399511294399981,0.151098777348777,0.0174181034260989,0.133457069133845,0.01,0,0.0498768472906404,0.165343518716832,0.00414927261227071,0.0270481459246401,-0.0479637996890902,-0.0553983808785893,0.0333333333333333,-0.00588296112489661,-0.00588296112489661,-0.0103605730651951,-0.00696142093200917,-0.00356321298750321,-0.00225212836295017,-0.0244614209320092,0.0367247022608689,-0.1,-0.0841410769915443,-0.00178571428571429,0.00703324453324453,-0.00178571428571429,0.00275974025974026,-0.0142857142857143,0.00275974025974026,-0.0142857142857143,0.00588296112489661,0.00353101567825494,0.0184313725490196,0.00666666666666667,-0.0600591715976331,-0.05,-0.05,-0.0156862745098039,-0.0183889772125066,-0.025,-0.0242857142857143,-0.0259806295399516,-0.045,-0.0426744186046512,-0.055948754887837,-0.0922122272197235,-0.0926666666666667,-0.251555503190299,-0.28986013986014,-0.180015844721727
"TCFLEF",0.068347079820764,0.222400370042187,0.226373879975962,0.235897435897436,0.224269528920692,0.13564019342784,0.104809661569546,0.0403269721577419,0.198982382099537,-0.0396883116883117,-0.0571428571428571,0.0977270075234147,0.0830359736359702,-0.0121071843371495,-0.0637053955426927,0.0648475973375292,-0.0938821138952301,0.0157142857142857,0.0504465545999842,0.0504465545999842,0.0461101551256084,0.040127190229492,-0.0542668001669169,-0.0534936042906282,-0.0029010989010989,-0.00790903227900036,0.0333333333333333,0.0976637030377465,-0.0558333333333333,-0.046076842444767,-0.0492156862745098,-0.0498504273504273,-0.0458333333333333,-0.0432327802916038,-0.0392156862745098,-0.0504465545999842,-0.185383684860948,0.0175493612078978,0.0013588850174216,-0.000496012759170656,0.0116883116883117,0.0166666666666667,-0.0400924597481269,-0.0459748126893034,0.0366666666666667,0.0364625052366988,0.0418972878453944,0.0223809523809524,0.0288325652841782,0.0226975959590248,-0.0700679211209552,-0.0625126399593999,-0.221445261565743,-0.271529062555378,-0.267293735676089
"DSH",0.0754761599577944,0.0607867494824017,0.0604383174266525,0.0133333333333333,0.0350724637681159,0.081692817366552,0.0599267399267399,0.107272139625081,0.0223222912353347,0.0341666666666667,0.0666666666666667,0.0654841093865484,-0.0101644913284463,0.0240257506511376,0.138922574942791,-0.101955604038771,0.136770646471042,0,0.0900560276855345,0.0900560276855345,0.0948179324474393,0.144040247678019,0.147927683447028,0.147838636252015,0.0994881401593206,0.0663369377317636,0.2,-0.0699493656462214,-0.138157894736842,-0.144118159637504,-0.138157894736842,-0.138157894736842,-0.175,-0.138157894736842,-0.175,-0.0900560276855345,0.0491515746595306,-0.00522875816993464,0.00588235294117647,-0.0518663088758293,-0.0466666666666667,0,-0.0976190476190476,-0.0995798319327731,0.00909090909090909,-0.0591666666666667,-0.0718103448275862,-0.0147186147186147,-0.0243960340734534,-0.0311445003311221,-0.0735893675049642,-0.084808912625262,-0.158957255481646,-0.207753532953359,-0.208979902640668
"GSK3",0.0735893675049642,0.0604383174266525,0.0558229328112679,0.0350724637681159,0.0607867494824017,0.0832986567826104,0.0591748602274918,0.112207204560146,0.0211041295520568,0.0591666666666667,0.0466666666666667,0.0752515512470135,-0.0131094337100084,0.0194802961056831,0.138033539710654,-0.100440986215594,0.137566402439212,-0.00588235294117647,0.0948179324474393,0.0948179324474393,0.0990196131197082,0.147813832583679,0.147838636252015,0.146917583620436,0.101162417176063,0.0646113121925056,0.175,-0.168951029539732,-0.138157894736842,-0.147927683447028,-0.138157894736842,-0.144118159637504,-0.138157894736842,-0.144040247678019,-0.138157894736842,-0.0948179324474393,0.047716167960966,-0.0240257506511376,-0.00522875816993464,-0.0526092509263494,-0.0341666666666667,0.00909090909090909,-0.0995798319327731,-0.107272139625081,-0.0147186147186147,-0.0718103448275862,-0.0760838491010905,-0.0243960340734534,-0.0311445003311221,-0.0277952180344714,-0.0752385429172581,-0.0816947257740509,-0.161653621249524,-0.205821883622006,-0.21050662019792
"Frizzled",0.0651957861260187,0.0350724637681159,0.0607867494824017,0.0333333333333333,0.0133333333333333,0.0739408793820559,0.0676190476190476,0.0995798319327731,0.0249309868875086,0.0466666666666667,0.1,0.0606060606060606,-0.00378151260504201,0.00522875816993464,0.137254445004248,-0.104436520069305,0.134297148237826,0,0.0892686261107314,0.0892686261107314,0.0900560276855345,0.138157894736842,0.144118159637504,0.147927683447028,0.0973784355179704,0.0645907212009137,0.1,-0.0669331243469174,-0.175,-0.138157894736842,-0.175,-0.138157894736842,-0.2,-0.138157894736842,-0.1,-0.0892686261107314,0.0409264664344224,0.00588235294117647,0,-0.0416300884033884,-0.0666666666666667,0,-0.114285714285714,-0.0976190476190476,0,-0.0341666666666667,-0.0591666666666667,0.00909090909090909,-0.0147186147186147,-0.0243960340734534,-0.0754761599577944,-0.0742825968357883,-0.160176767676768,-0.205391328228949,-0.196358543417367
"AKT",0.0577395758303321,0.0663041606886657,0.0660020458850403,0.0323529411764706,0.0443529411764706,0.0833681886836296,0.0471592985020095,0.113706651334503,0.0283644195028634,-0.0509803921568627,-0.0333333333333333,0.0976923076923077,-0.00639733596307648,0.0122126875236503,0.162217081741432,-0.122271373440684,0.155806141738709,0,0.0444694301132657,0.0444694301132657,0.0466381048120609,0.16278586390804,0.165910210080872,0.165910210080872,0.108019941550627,0.0573531847842468,0.2,0.0186244162050614,-0.158454106280193,-0.162817426575717,-0.158454106280193,-0.159992567818655,-0.188888888888889,-0.159992567818655,-0.188888888888889,-0.0444694301132657,0.0574607249831897,0.00424300867888139,0.00588235294117647,-0.0464344733629596,0.0333333333333333,0,-0.109615384615385,-0.106389578163772,0.0166666666666667,0.0381598793363499,-0.0729512317747612,0.00128205128205128,-0.00705128205128205,-0.0123144399460189,-0.0560560741468304,-0.0679589448851672,-0.152571559900393,-0.199128385001382,-0.199707602339181
"PI3K",0.0489395758303321,0.0443529411764706,0.0663041606886657,0.05,0.0323529411764706,0.0780701754385965,0.0539915966386555,0.106389578163772,0.0296175523349436,-0.0333333333333333,0,0.0976923076923077,-0.00181017999977373,-0.00424300867888139,0.16039889992325,-0.124008346145399,0.154073216152572,0,0.0430995670995671,0.0430995670995671,0.0444694301132657,0.159992567818655,0.162817426575717,0.165910210080872,0.108380952380952,0.055041626995302,0.1,0.021043771043771,-0.188888888888889,-0.159992567818655,-0.188888888888889,-0.158454106280193,-0.2,-0.158454106280193,-0.2,-0.0430995670995671,0.0499419279907085,0.00588235294117647,0,-0.0368454322670691,0.0333333333333333,0,-0.125,-0.109615384615385,0,0.0509803921568627,0.0381598793363499,0.0166666666666667,0.00128205128205128,-0.00705128205128205,-0.0577395758303321,-0.0581845087949417,-0.154710597333548,-0.196388658973984,-0.18859649122807
"Wnt",0.0675213675213675,0.0133333333333333,0.0350724637681159,0.1,0.0333333333333333,0.0749509803921569,0.0533333333333333,0.0976190476190476,0.0328674948240166,0.0666666666666667,0.1,0.0757575757575758,-0.0123529411764706,-0.00588235294117647,0.136088943838747,-0.103110260122356,0.130805084745763,0.1,0.116541353383459,0.116541353383459,0.0892686261107314,0.138157894736842,0.138157894736842,0.144118159637504,0.0927272727272727,0.0611206896551724,0,-0.0602664576802508,-0.2,-0.138157894736842,-0.1,-0.175,-0.1,-0.175,0,-0.116541353383459,0.0362753036437247,0,0,-0.0465805834528933,-0.1,0,-0.1,-0.114285714285714,0,-0.0466666666666667,-0.0341666666666667,0,0.00909090909090909,-0.0147186147186147,-0.0651957861260187,-0.0764102564102564,-0.147676767676768,-0.194500239120038,-0.172549019607843
"cateninnuc",0.0467821067821068,0.0675296198054819,0.0740798381460932,0.076,0.0652307692307692,0.00892144983195731,0.160482870314136,0.0131910021247822,0.153820369830994,0.103409090909091,0.1,0.0359971157536587,0.00955722785062057,0.0131680480910233,0.0234847214930365,0.150617824775422,0.06181627831328,0.0282608695652174,-0.071976536976537,-0.071976536976537,-0.0743334393334393,0.00418400340973301,0.00626630065211745,-0.0922147819217572,-0.0160396510666238,-0.0131579327792926,-0.00606060606060606,0.15397970014264,-0.017016317016317,-0.0051460616678008,-0.0156464540026184,-0.00832066484240397,-0.017016317016317,-0.00695080182870534,-0.017016317016317,0.071976536976537,-0.113476021246513,-0.012709332494693,-0.0139751552795031,0.0270567184287529,-0.1125,-0.0333333333333333,-0.0236032642812304,-0.0154637293975095,-0.0233333333333333,-0.0894090909090909,-0.0917528409090909,-0.00857923497267759,-0.0141692970844788,-0.0187444604831716,-0.0480099376143032,-0.0462803832181553,-0.131682525987949,-0.18404678053442,-0.174925479818718
"cMet",0.143537414965986,0.167222222222222,0.175732860520095,0.153333333333333,0.178333333333333,0.118066281544542,0.291111111111111,0.107662773956167,0.151662026149091,0.1,0.1,-0.226666666666667,0.129621764003786,0.350909090909091,0.00103695161471667,0.115889033746177,-0.057684421154172,0.3,-0.0133333333333333,-0.0133333333333333,-0.00955974842767296,-0.0609090909090909,-0.0614847942754919,-0.0648746247839665,-0.0557142857142857,-0.0180183968505136,-0.1,-0.112749615975422,0.15,0.0630232558139535,0.05,0.07,0.2,0.07,0.1,0.0133333333333333,-0.0837974683544304,-0.36,-0.34,0.0640692640692641,-0.1,-0.1,-0.0857142857142857,-0.122556390977444,-0.1,-0.133333333333333,-0.120833333333333,-0.14,-0.130909090909091,-0.143409090909091,-0.145355596784168,-0.148400412796698,-0.151459568511199,-0.178932178932179,-0.0698412698412698
"Destcompl",0.0303174603174603,0.157119893329383,0.161159302196378,0.137755102040816,0.14396199859254,-0.133945812068526,0.158391062143281,0.0444415780248315,0.125356312044738,0.154037267080745,0.2,0.00173903766136776,0.118455918078234,0.157197969769043,0.0596522685504253,0.0299324656643341,-0.125436035850867,0.149230769230769,-0.133893047367105,-0.133893047367105,-0.132166202783117,-0.115781383841487,-0.113467820713783,-0.112753899245144,-0.0614519733337997,-0.0548907971390005,-0.0944444444444444,0.1090648592047,0.112252663622527,0.11648151934392,0.112252663622527,0.118720325314069,0.0944444444444444,0.118193257681933,0.0944444444444444,0.133893047367105,-0.027902070864858,-0.149181092131912,-0.143170163170163,0.0468388323568712,-0.171428571428571,-0.122222222222222,-0.046870348609479,-0.0414355660007834,-0.104980842911877,-0.156739969783448,-0.16613594293781,-0.10783798576902,-0.116646275924461,-0.12032132428036,-0.0299665831244779,-0.0336489151873767,-0.134785742111272,-0.175785354536511,-0.169789213974171
"CD44",0.133333333333333,0.178333333333333,0.167222222222222,0.133333333333333,0.153333333333333,0.109370629370629,0.276296296296296,0.122556390977444,0.148272195640617,0.1,0,-0.233333333333333,0.128498168498168,0.36,-0.000744218868743892,0.115213358070501,-0.058040293040293,0.3,-0.00476190476190476,-0.00476190476190476,-0.0133333333333333,-0.07,-0.0630232558139535,-0.0614847942754919,-0.07,-0.0158286158286158,-0.1,-0.10952380952381,0.2,0.07,0.1,0.15,0.1,0.05,0,0.00476190476190476,-0.08,-0.34,-0.3,0.0650793650793651,-0.1,-0.1,-0.1,-0.0857142857142857,-0.1,-0.1,-0.133333333333333,-0.1,-0.14,-0.130909090909091,-0.143537414965986,-0.13859649122807,-0.146772068511199,-0.16984126984127,-0.0698412698412698
"RAS",-0.0995670995670996,0.0682352941176471,0.0632847990681421,0.14,0.08,-0.0565700768775872,-0.0641006289308176,-0.0996027805362463,0.0334808259587021,-0.133333333333333,-0.1,0.223376623376623,0.00266230223677031,-0.193828689370485,0.0578919806833581,-0.164560973281903,0.0867305312671149,-0.08,0.182820512820513,0.182820512820513,0.0616666666666667,0.150245098039216,0.147136805622413,0.150819525169155,0.113544137022398,0.0931488076976827,0,0.117764857881137,-0.15,-0.151752190237797,-0.15,-0.179411764705882,-0.1,-0.179411764705882,-0.1,-0.182820512820513,-0.0582539682539683,0.195789473684211,0.18,0.0506737849779087,0.1,0.1,0.1,0.105263157894737,0.1,0.153333333333333,0.158888888888889,0.116666666666667,0.120666666666667,0.125751412429379,0.10160791589363,0.100197628458498,-0.126246153846154,-0.133368924889543,-0.128214285714286
"AXIN2",0.0154589371980676,0.118355184092647,0.124295778152053,0.118333333333333,0.11216049382716,-0.0667115082332474,0.0806900626255465,0.0188481338481338,0.0687657175068547,0.109178743961353,0.133333333333333,0.00171929675435987,0.0649064655825981,0.0921877333501018,0.0410456813709261,0.0748870812782352,-0.0598797196178221,0.1,-0.0956027084919819,-0.0956027084919819,-0.096390110066785,-0.0628930313254957,-0.0614519733337997,-0.0601981903679545,-0.0845444201111843,-0.049543083484574,-0.0666666666666667,0.0675530129672006,0.0536434108527132,0.0632104727476332,0.0536434108527132,0.0622641005078856,0.0466666666666667,0.0622641005078856,0.0466666666666667,0.0956027084919819,-0.0495436413703393,-0.0887394574880328,-0.0878048780487805,0.0493416790886703,-0.122222222222222,-0.1,-0.0266666666666667,-0.0195238095238095,-0.0923076923076923,-0.101932367149758,-0.106376811594203,-0.0827838827838828,-0.0881410256410256,-0.0917475830180748,-0.0166494133885438,-0.0172232359859135,-0.100919472834321,-0.114295631290497,-0.109175841581099
"Ecadherin",0.0299130434782609,0.000833702882483369,0.00318451662570218,0.0152727272727273,0.00327272727272727,-0.01186272892262,0.0486565957673502,0.0337535832906844,0.0501262229175239,0.0247619047619048,0,0.0456554121151936,0.0308889375737881,-0.0376797691897753,0.133877294080792,0.0775840682485032,0.204635644391742,-0.0127272727272727,-0.000154600301659127,-0.000154600301659127,-0.0035065556089217,-0.0161578061858264,-0.0160396510666238,-0.01519931493217,0.0204430444362621,0.0152860840768726,-0.0333333333333333,0.0783696781887252,0.00870953032375741,0.0156660520628878,0.00870953032375741,0.0113182259759313,0.0156862745098039,0.0121578061858264,0.0156862745098039,0.000154600301659127,-0.088580027724929,0.0372876123270302,0.0362566844919786,0.0313408067143046,-0.02,-0.0333333333333333,-0.0396172248803828,-0.0385862970453312,-0.05,-0.0173544973544974,-0.0108609908609909,-0.0375,-0.0321236559139785,-0.0376354669376005,-0.0287023897252342,-0.0307744525510021,-0.0939306234836961,-0.105841537912246,-0.109845288326301
"HEY1",0.0226666666666667,0.00327272727272727,0.000833702882483369,0.0272727272727273,0.0152727272727273,-0.0111762300667848,0.0490311276025562,0.0385862970453312,0.0475945773479036,0.02,-0.1,0.0443396226415094,0.0273507625272331,-0.0372876123270302,0.233487810147004,0.078516034697711,0.205148464904562,-0.04,0.00205128205128205,0.00205128205128205,-0.000154600301659127,-0.0121578061858264,-0.0156660520628878,-0.0160396510666238,0.0227110856733755,0.0142626042454457,-0.0333333333333333,0.0783696781887252,0.0156862745098039,0.0113182259759313,0.0156862745098039,0.00870953032375741,0.0333333333333333,0.00870953032375741,0.0333333333333333,-0.00205128205128205,-0.0874358629652036,0.0362566844919786,0.0127272727272727,0.0308668730650155,0,0,-0.0290909090909091,-0.0396172248803828,-0.0333333333333333,-0.0247619047619048,-0.0173544973544974,-0.05,-0.0375,-0.0321236559139785,-0.0299130434782609,-0.0233919022154316,-0.0937444037444038,-0.102997936016512,-0.111111111111111
"FOXC2",0.0226666666666667,0.00327272727272727,0.000833702882483369,0.0272727272727273,0.0152727272727273,-0.0111762300667848,0.0490311276025562,0.0385862970453312,0.0475945773479036,0.02,-0.1,0.0443396226415094,0.0273507625272331,-0.0372876123270302,0.233487810147004,0.078516034697711,0.205148464904562,-0.04,0.00205128205128205,0.00205128205128205,-0.000154600301659127,-0.0121578061858264,-0.0156660520628878,-0.0160396510666238,0.0227110856733755,0.0142626042454457,-0.0333333333333333,0.0783696781887252,0.0156862745098039,0.0113182259759313,0.0156862745098039,0.00870953032375741,0.0333333333333333,0.00870953032375741,0.0333333333333333,-0.00205128205128205,-0.0874358629652036,0.0362566844919786,0.0127272727272727,0.0308668730650155,0,0,-0.0290909090909091,-0.0396172248803828,-0.0333333333333333,-0.0247619047619048,-0.0173544973544974,-0.05,-0.0375,-0.0321236559139785,-0.0299130434782609,-0.0233919022154316,-0.0937444037444038,-0.102997936016512,-0.111111111111111
"MEK",0.155742108228795,0.145028927458834,0.142839146436936,0.14,0.159047619047619,0.121075792336473,0.323065015479876,0.135112211389584,0.205444122061171,0.142857142857143,0.1,-0.223492063492064,0.135918787095258,0.269211298606016,0.0911905441345764,0.200813921999923,0.0769952243696864,0.35,-0.104406704406704,-0.104406704406704,-0.107898767898768,-0.0338694638694639,-0.0393348448792402,-0.0398924656970841,-0.0238966814916182,-0.117133403871247,0,-0.0678832604364519,0.0403508771929825,0.0375536743957797,0.0366666666666667,0.0326585695006748,0.0666666666666667,0.028974358974359,0.0666666666666667,0.104406704406704,-0.026143252005321,-0.374211298606016,-0.346551724137931,0.0201865591765161,-0.142857142857143,-0.133333333333333,-0.115151515151515,-0.134382284382284,-0.133333333333333,-0.158008658008658,-0.154479246243952,-0.153333333333333,-0.151693989071038,-0.15234758384228,-0.154635097158684,-0.168674198430296,-0.0522865747385219,-0.0802470451595272,-0.0779053084648493
