"","AXIN2","NOTCH","NOTCHic","TCFLEF","Csl","CD44","ILK","IKK","NFB","Frizzled","MEK","DSH","Csn","ERK","cfos","TrCP","TGFR","PAK1","RAS","DELTA","TWIST1","RAF","PI3K","ZEB1","FOXC2","LIV1","SOSGRB2","CDC42","EGR1","SHH","TGF","Patched","Destcompl","SUFU","SMO","RKIP","STAT","FUS","Ecadherin","SRC","HEY1","SNAI1","AKT","cMet","SMAD","Wnt","GSK3","GLI","cateninmemb","cateninnuc","SNAI2","miR200","Jagged","ZEB2","KLF4"
"Patched",-0.361038961038961,-0.00606060606060606,-0.0333333333333333,-0.206666666666667,0,-0.206666666666667,0.116666666666667,-0.05,-0.1,-0.3,-0.0338461538461538,-0.2,0,0.02,0,0,-0.14,-0.1,-0.0701923076923077,-0.0576923076923077,-0.168518518518519,0.0576923076923077,0.0576923076923077,-0.0333333333333333,0.005,0.1,0.2,0.1,-0.1,-0.330833333333333,0.123333333333333,-0.293333333333333,0.194645354645355,0,-0.133333333333333,-0.122857142857143,0.1,-0.1,-0.0418042071197411,0.2,-0.120512820512821,-0.149462365591398,0.0642857142857143,0.2,-0.126666666666667,0.3,0.188644688644689,0.3,0.118566308243728,0.205695792880259,0.228996168582376,-0.214285714285714,0.0871957671957672,-0.266666666666667,-0.261111111111111
"SHH",-0.342857142857143,-0.0333333333333333,0,-0.206666666666667,-0.1,-0.2,0.0666666666666667,-0.1,0,-0.2,0.02,-0.2,0,0,0.1,0,-0.1,0,-0.0576923076923077,-0.05,-0.15,0.05,0.05,-0.05,0.025,0,0.2,0.1,0,-0.293333333333333,0.14,-0.133333333333333,0.202337662337662,0,-0.1,-0.08,0.1,0,-0.0408333333333333,0.1,-0.0666666666666667,-0.133333333333333,0.05,0.2,-0.116666666666667,0.3,0.207692307692308,0.3,0.118566308243728,0.206666666666667,0.227662835249042,-0.2,0.105714285714286,-0.25,-0.25
"ILK",-0.116761904761905,0.0609181141439206,0.0576923076923077,-0.06080847016735,0.05,-0.0681531029357116,0.0572468987595038,0.107843137254902,0.0666666666666667,-0.0888888888888889,0.0375763420122147,-0.1,0.0333333333333333,0.0392156862745098,0.0333333333333333,0,-0.0111176470588235,-0.025,0.0587110241356817,0.0641904761904762,0.0159250585480094,-0.0641904761904762,-0.0641904761904762,-0.0727026632260577,-0.00369802555168409,0.1,0.0180769230769231,0.0191176470588235,-0.0333333333333333,-0.0645299145299145,0.00542659014825442,-0.0756410256410256,0.174884586823967,0,-0.0833333333333333,0.000711053652230122,0.1,-0.05,-0.155933018582692,0.0888888888888889,-0.0490633303063936,-0.00322866344605475,-0.105279034690799,0.0758454106280193,-0.0532468987595038,0.0758454106280193,0.0908008658008658,0.0681531029357116,-0.0542823301886988,0.0560662021261129,0.0375361400544448,-0.142735395604248,-0.0179824561403509,-0.20075847574533,-0.19671052631579
"Wnt",-0.149090909090909,0.0726190476190476,0.0642857142857143,-0.108834586466165,0.05,-0.105263157894737,0.0811965811965812,-0.0466666666666667,-0.0666666666666667,-0.2,0.0192156862745098,-0.2,-0.1,0.0133333333333333,0.0333333333333333,-0.1,-0.126666666666667,-0.1,0.0194121667805878,0.037593984962406,-0.0958823529411765,-0.037593984962406,-0.037593984962406,-0.0701578192252511,0.107044534412955,0,0.0606060606060606,0.133333333333333,0,-0.0906926406926407,0.12231884057971,-0.0954545454545455,0.21287068603185,0,-0.05,0.0116666666666667,0.1,0,-0.0977061556329849,0.1,-0.0656410256410257,0.010351966873706,-0.00333333333333333,0.1,-0.069568674219837,0.1,0.124921630094044,0.105263157894737,0.00419491525423729,0.109496838121795,0.00672413793103448,-0.128787878787879,-0.00982843137254902,-0.184791965566714,-0.182352941176471
"CD44",-0.16,-0.18796992481203,-0.214285714285714,-0.167596899224806,-0.2,-0.146666666666667,-0.105555555555556,-0.0666666666666667,0,-0.1,0.145,0,0,0.185,0.125,0.1,0.075,0,-0.0247619047619048,-0.00476190476190476,-0.0627838827838828,0.00476190476190476,0.00476190476190476,0.0428571428571429,-0.09875,-0.1,0.0285714285714286,-0.1,-0.2,0.100909090909091,-0.0916666666666667,0.11,-0.0130579504529084,0.1,0.15,-0.0207407407407407,-0.1,0.1,0.166373900770817,0,0.0508771929824561,-0.110659223817119,0.06,0,0.107596371882086,0.1,0.080952380952381,0.146666666666667,0.205787545787546,0.179904591532499,-0.216809856809857,-0.116082564778217,0.152074592074592,-0.122222222222222,0.00158730158730159
"RKIP",0.117323019221753,0.109324009324009,0.0939393939393939,0.130431848852901,0.0666666666666667,0.122739541160594,0.126069747539581,0.0982142857142857,0.0857142857142857,0.0666666666666667,0.002494497432135,0,0.1,-0.0379310344827586,0,0.1,0.0180952380952381,0,0.137456987456987,0.138311688311688,0.101325014854427,-0.138311688311688,-0.138311688311688,-0.040597800095648,-0.0206012378426171,0,-0.0801269841269841,0.02,0.05,-0.0839125683060109,-0.0339830885625278,-0.0986666666666667,0.113122043242384,-0.1,-0.0866666666666667,0.00364145658263305,0,-0.0666666666666667,-0.214425362087145,-0.0666666666666667,-0.108672086720867,0.103003122752392,-0.137608225108225,-0.103508771929825,-0.11517865843067,-0.106666666666667,-0.0124901497241923,-0.125897435897436,-0.229481414187297,-0.135266454450866,0.164201492102349,-0.0889632993889247,-0.164376667475139,-0.1181731229077,-0.1181731229077
"RAF",0.117323019221753,0.109324009324009,0.0939393939393939,0.130431848852901,0.0666666666666667,0.122739541160594,0.126069747539581,0.0982142857142857,0.0857142857142857,0.0666666666666667,0.002494497432135,0,0.1,-0.0379310344827586,0,0.1,0.0180952380952381,0,0.137456987456987,0.138311688311688,0.101325014854427,-0.138311688311688,-0.138311688311688,-0.040597800095648,-0.0206012378426171,0,-0.0801269841269841,0.02,0.05,-0.0839125683060109,-0.0339830885625278,-0.0986666666666667,0.113122043242384,-0.1,-0.0866666666666667,0.00364145658263305,0,-0.0666666666666667,-0.214425362087145,-0.0666666666666667,-0.108672086720867,0.103003122752392,-0.137608225108225,-0.103508771929825,-0.11517865843067,-0.106666666666667,-0.0124901497241923,-0.125897435897436,-0.229481414187297,-0.135266454450866,0.164201492102349,-0.0889632993889247,-0.164376667475139,-0.1181731229077,-0.1181731229077
"RAS",-0.133438735177866,-0.13609731876862,-0.134210526315789,-0.108010012515645,-0.15,-0.108010012515645,-0.067965367965368,0.0533333333333333,0.0333333333333333,-0.1,0.0673839009287926,-0.1,0,0.0497368421052632,0.055,0,0.0917647058823529,0.1,0.00846153846153846,0.112307692307692,-0.020076377523186,-0.112307692307692,-0.112307692307692,0.0551215022091311,-0.0950793650793651,0,0.0415584415584416,-0.08,0.02,0.0597514124293785,-0.084834012813046,0.0546666666666667,0.0885386141200095,0.1,0.0666666666666667,-0.0272327044025157,0.1,0.1,-0.00303703387371637,0.1,-0.0312252964426877,-0.0897738446411013,-0.07,0.105882352941176,0.0720470006184292,0.105882352941176,0.12077519379845,0.110049019607843,0.0367864445428158,0.105460437444823,-0.166116717205588,-0.114892307692308,0.113688152966686,-0.116940353460972,-0.111785714285714
"SOSGRB2",0.115827832783278,0.21053875701763,0.203496503496504,0.124121172496459,0.172727272727273,0.117805383022774,0.193548387096774,0.0941520467836257,0.0888888888888889,0.0714285714285714,-0.0870714870714871,0,0.1,-0.117374517374517,-0.0714285714285714,0,0.0289010989010989,0.0142857142857143,0.0483630305664204,0.0470809792843691,2.89855072463693e-05,-0.0470809792843691,-0.0470809792843691,-0.00343358395989975,-0.0252258852258852,0,-0.151944444444444,0.00571428571428572,0.104761904761905,-0.166677142258538,-0.0381209570571273,-0.180630630630631,0.0348390982619171,-0.2,-0.183333333333333,-0.0779239766081871,0,-0.166666666666667,-0.213987173572802,-0.0714285714285714,-0.0820075757575758,0.0126979388770434,-0.114985380116959,-0.101863354037267,-0.188653282201669,-0.104761904761905,-0.0346864698337349,-0.120703933747412,-0.224956670956671,-0.127754059685751,0.194836212000019,-0.084518088246424,-0.242274699019749,-0.0820551378446115,-0.0849122807017544
"Csn",0.205312991816179,-0.0471625596625597,-0.0481240981240981,0.170766208716301,-0.052020202020202,0.16948003508286,0.0074508281573499,0.0758333333333333,0.0716666666666667,0.160344827586207,0.0459036796536797,0.15,0.08,0.0396536796536796,0.0357575757575758,0.18,0.142414674877361,0.134090909090909,0.0115355796547745,0.0090403781192659,0.0201581736013714,-0.0090403781192659,-0.0090403781192659,0.00506038047973532,-0.124919734913519,-0.133333333333333,-0.113593912141128,-0.138568521031208,-0.0266666666666667,0.0273518596099241,-0.144562646237743,0.0273518596099241,-0.25106978623229,0.0142857142857143,0.0284271284271284,-0.104755933721451,-0.15,0.0253968253968254,-0.0142848223922876,-0.160344827586207,-0.00994462901439646,-0.12362127198096,-0.0846333333333333,-0.166368923971749,-0.00667961993112882,-0.166368923971749,-0.147458796983804,-0.169425692530701,-0.0696514761041695,-0.171307399335663,-0.11234928673313,-0.0486878573799743,-0.0520460720845621,-0.057535153019024,-0.0563183222006751
"SNAI2",0.540417939909276,0.241159717475507,0.235964912280702,0.505530249145101,0.220175438596491,0.494602414093554,-0.072635814889336,0.16867816091954,0.158333333333333,0.438961038961039,0.217567567567568,0.381818181818182,0.133333333333333,0.2,0.174509803921569,0.1,0.299016016663075,0.231372549019608,0.229536781489732,0.216294772357311,0.396190174241107,-0.216294772357311,-0.216294772357311,0.00189217537235158,-0.24961509525508,-0.3,-0.350642325895876,-0.274229691876751,-0.133333333333333,0.43291513788614,-0.311438376911523,0.407563025210084,-0.313300925020278,0.2,0.364705882352941,0.00102564102564102,-0.381818181818182,0.3,-0.420942313810979,-0.438961038961039,0.0868444846292948,-0.00325478700314578,-0.177111895859299,-0.474172306566673,0.0817267239802451,-0.474172306566673,-0.310833408555901,-0.493958402823357,-0.52157406850428,-0.510343913741374,-0.0641435844903138,-0.0154488715595088,-0.455239619417075,-0.0182255087056849,0.005
"NFB",0.423844984802432,-0.0243606572638831,-0.0314574314574315,0.392702274006715,-0.0489177489177489,0.382575691728234,-0.12627200220022,0.0282496782496783,0.030952380952381,0.331623931623932,0.092704014939309,0.277777777777778,0.114285714285714,0.0802857142857143,0.0602857142857143,0.1,0.250808080808081,0.194444444444444,0.208349233103926,0.198398984347708,0.366176470588235,-0.198398984347708,-0.198398984347708,0.00011373260738052,-0.207096692594701,-0.2,-0.234522335249889,-0.230808080808081,-0.0642857142857143,0.238991829386512,-0.264099220048587,0.220919540229885,-0.350502794635135,0.12,0.193333333333333,0.0104735883424408,-0.277777777777778,0.16,-0.299423274460764,-0.331623931623932,0.121859796550199,-0.00143856917672666,-0.0349163449163449,-0.363931623931624,0.130361221531075,-0.363931623931624,-0.228868778280543,-0.381909152021512,-0.392869585457322,-0.397329724987107,0.00328334377891186,-0.00437571360729117,-0.152160116330553,-0.00564629965718895,0.00128205128205128
"IKK",0.39547619047619,-0.0314574314574315,-0.0489177489177489,0.382575691728234,-0.0727272727272727,0.363931623931624,-0.117361111111111,0.030952380952381,0.114285714285714,0.277777777777778,0.0802857142857143,0.2,0.1,0.0602857142857143,0.0642857142857143,0.2,0.230808080808081,0.15,0.198398984347708,0.185722928009679,0.355065359477124,-0.185722928009679,-0.185722928009679,0.00126315789473684,-0.198730158730159,-0.1,-0.201890756302521,-0.194444444444444,-0.05,0.220919540229885,-0.250808080808081,0.193333333333333,-0.350835020548756,0.1,0.16,0.0104735883424408,-0.2,0.12,-0.298620706242465,-0.277777777777778,0.111145510835913,-0.00664404862878145,-0.0282496782496783,-0.331623931623932,0.12627200220022,-0.331623931623932,-0.227692307692308,-0.363931623931624,-0.386639384823742,-0.392702274006715,0.0116166771122452,-0.00588628762541806,-0.143527022805373,-0.00526315789473684,-0.00256410256410256
"cateninnuc",-0.446215237058363,-0.0833785695610686,-0.0865603877428868,-0.272331434805052,-0.0912115505335844,-0.273750404185187,0.0607431457431457,-0.0484242424242424,-0.0424242424242424,-0.272407957339464,-0.181428820680435,-0.268298368298368,-0.0333333333333333,-0.179593958295114,-0.182125603864734,-0.0333333333333333,-0.180577996715928,-0.179428571428571,-0.0958376908376908,-0.0953326403326403,-0.198350211119083,0.0953326403326403,0.0953326403326403,-0.00461796451320067,0.151367304826321,0.260606060606061,0.263549765984337,0.179428571428571,0.171014492753623,-0.268339348410624,0.180359656104574,-0.264635644706921,0.205567648969141,-0.233333333333333,-0.261530054644809,0.0319414803558724,0.268298368298368,-0.253333333333333,0.00958489749920968,0.273853923853924,-0.0654100377052254,0.0444426191637198,0.0531117424242424,0.274940880375663,-0.0655180434239097,0.273494913861203,0.205923859471645,0.271913886193219,0.19481533207964,0.170757284017977,0.328737257613066,-0.00612075245459161,0.240311644771162,-6.55543938518625e-05,-0.0341811904979165
"Ecadherin",-0.505530249145101,-0.188159232425349,-0.191504957332413,-0.446215237058363,-0.192535885167464,-0.445094440047155,0.0711304347826087,-0.132169312169312,-0.124761904761905,-0.428773369813041,-0.200033077898451,-0.407843137254902,-0.12,-0.196503666133745,-0.183101604278075,-0.1,-0.261668883961567,-0.241636363636364,-0.190507996494687,-0.184362745098039,-0.355247428828763,0.184362745098039,0.184362745098039,0.00189729970311896,0.207940425498752,0.366666666666667,0.321646203845807,0.25630303030303,0.165454545454545,-0.405253048006096,0.264381361357589,-0.397379032258064,0.258763160961218,-0.3,-0.38125,-0.0133075770314936,0.407843137254902,-0.35,0.135692779464615,0.428773369813041,-0.0842503883798791,-0.00401329794675371,0.138662818662819,0.440077717639128,-0.0766994420465312,0.439118197399248,0.257020631022604,0.443784864065915,0.455878471122374,0.445748383650333,0.389580233598083,0.00266817188604898,0.404594879593696,0.00570630297516862,-0.0187998124706985
"cateninmemb",-0.505530249145101,-0.188159232425349,-0.191504957332413,-0.446215237058363,-0.192535885167464,-0.445094440047155,0.0711304347826087,-0.132169312169312,-0.124761904761905,-0.428773369813041,-0.200033077898451,-0.407843137254902,-0.12,-0.196503666133745,-0.183101604278075,-0.1,-0.261668883961567,-0.241636363636364,-0.190507996494687,-0.184362745098039,-0.355247428828763,0.184362745098039,0.184362745098039,0.00189729970311896,0.207940425498752,0.366666666666667,0.321646203845807,0.25630303030303,0.165454545454545,-0.405253048006096,0.264381361357589,-0.397379032258064,0.258763160961218,-0.3,-0.38125,-0.0133075770314936,0.407843137254902,-0.35,0.152953738221013,0.428773369813041,-0.0842503883798791,-0.00401329794675371,0.138662818662819,0.440077717639128,-0.0766994420465312,0.439118197399248,0.257020631022604,0.443784864065915,0.358602987207896,0.445748383650333,0.389580233598083,0.00266817188604898,0.404594879593696,0.00570630297516862,-0.0187998124706985
"ZEB1",0.265150304219081,-0.00857843137254902,-0.00857843137254902,0.228916945705271,-0.0125,0.227853115918037,-0.0500437952341259,-0.00186942766752948,-0.00350877192982456,0.21219512195122,-0.00863660706573379,0.2,0.0333333333333333,-0.00819607843137255,-0.00466666666666667,0.0333333333333333,0.0963245111792665,0.0923371647509579,0.124004644012982,0.12101251802873,0.184639267791752,-0.12101251802873,-0.12101251802873,-0.101875234005492,-0.0821561069150393,-0.2,-0.082729044834308,-0.0937864401132767,0.0166666666666667,0.0886714116251483,-0.098686715903676,0.0833333333333333,-0.19985339368901,0.0583333333333333,0.0833333333333333,0.0093632093245246,-0.207692307692308,0.0833333333333333,-0.0804455624609516,-0.219887429643527,0.0439892749737309,0.0226891384116976,-0.00955914376104195,-0.225769782584704,0.0495630260033567,-0.219887429643527,-0.118036521727367,-0.221605642701946,-0.210989869998465,-0.229112640421514,-0.155319487215792,-0.0101073891138924,-0.0261732133955107,0.0138262187587525,0.0168867081889732
"KLF4",-0.494602414093554,-0.191504957332413,-0.192535885167464,-0.445094440047155,-0.187272727272727,-0.440077717639128,0.0653333333333333,-0.124761904761905,-0.12,-0.407843137254902,-0.196503666133745,-0.366666666666667,-0.1,-0.183101604278075,-0.165454545454545,-0.1,-0.25630303030303,-0.213636363636364,-0.184362745098039,-0.173333333333333,-0.348357298474946,0.173333333333333,0.173333333333333,0.000949432404540763,0.207253926642916,0.3,0.312435677530017,0.241636363636364,0.12,-0.397379032258064,0.261668883961567,-0.38125,0.260067913990109,-0.2,-0.35,-0.00319521748093177,0.366666666666667,-0.3,0.23744545716666,0.407843137254902,-0.0768678380443086,0.00199936028109439,0.132169312169312,0.428773369813041,-0.0711304347826087,0.428773369813041,0.259007385989492,0.439118197399248,0.455878471122374,0.446215237058363,0.388195525590858,0.0106756206756207,0.40299304893008,0.0147110423116615,-0.00740740740740741
"HEY1",-0.494602414093554,-0.191504957332413,-0.192535885167464,-0.445094440047155,-0.187272727272727,-0.440077717639128,0.0653333333333333,-0.124761904761905,-0.12,-0.407843137254902,-0.196503666133745,-0.366666666666667,-0.1,-0.183101604278075,-0.165454545454545,-0.1,-0.25630303030303,-0.213636363636364,-0.184362745098039,-0.173333333333333,-0.348357298474946,0.173333333333333,0.173333333333333,0.000949432404540763,0.207253926642916,0.3,0.312435677530017,0.241636363636364,0.12,-0.397379032258064,0.261668883961567,-0.38125,0.260067913990109,-0.2,-0.35,-0.00319521748093177,0.366666666666667,-0.3,0.23744545716666,0.407843137254902,-0.0768678380443086,0.00199936028109439,0.132169312169312,0.428773369813041,-0.0711304347826087,0.428773369813041,0.259007385989492,0.439118197399248,0.455878471122374,0.446215237058363,0.388195525590858,0.0106756206756207,0.40299304893008,0.0147110423116615,-0.00740740740740741
"FOXC2",-0.494602414093554,-0.191504957332413,-0.192535885167464,-0.445094440047155,-0.187272727272727,-0.440077717639128,0.0653333333333333,-0.124761904761905,-0.12,-0.407843137254902,-0.196503666133745,-0.366666666666667,-0.1,-0.183101604278075,-0.165454545454545,-0.1,-0.25630303030303,-0.213636363636364,-0.184362745098039,-0.173333333333333,-0.348357298474946,0.173333333333333,0.173333333333333,0.000949432404540763,0.207253926642916,0.3,0.312435677530017,0.241636363636364,0.12,-0.397379032258064,0.261668883961567,-0.38125,0.260067913990109,-0.2,-0.35,-0.00319521748093177,0.366666666666667,-0.3,0.23744545716666,0.407843137254902,-0.0768678380443086,0.00199936028109439,0.132169312169312,0.428773369813041,-0.0711304347826087,0.428773369813041,0.259007385989492,0.439118197399248,0.455878471122374,0.446215237058363,0.388195525590858,0.0106756206756207,0.40299304893008,0.0147110423116615,-0.00740740740740741
