"","FOXC2","TWIST1","CD44","cMet","STAT","ZEB2","ZEB1","LIV1","Csl","NOTCH","NOTCHic","SNAI1","TrCP","MEK","RKIP","Csn","ILK","SMAD","cfos","RAS","NFB","SUFU","PI3K","DELTA","HEY1","EGR1","IKK","FUS","AKT","SNAI2","KLF4","Patched","SHH","miR200","PAK1","CDC42","TGF","TGFR","SOSGRB2","SMO","RAF","GSK3","ERK","Ecadherin","AXIN2","Jagged","SRC","cateninmemb","DSH","Frizzled","Destcompl","Wnt","TCFLEF","cateninnuc","GLI"
"DELTA",-0.175714285714286,-0.096,-0.0276923076923077,-0.02,0,-0.0876811594202898,-0.0876811594202898,0,-0.1,-0.0942857142857143,-0.08,-0.0583333333333333,0,0.0533333333333333,-0.0256410256410257,0,0.0333333333333333,0.0285714285714286,0,0.00424242424242424,0,0,0.0133333333333333,0.0133333333333333,0.133333333333333,-0.1,0.0333333333333333,0,0.0222222222222222,0.138562091503268,-0.0833333333333333,0.0333333333333333,0.041025641025641,0.0327272727272727,0,0,-0.0151111111111111,-0.0111111111111111,0.08,-0.0333333333333333,-0.0133333333333333,0.0547892720306513,-0.02,0.0392631578947368,0.0142857142857143,-0.00614718614718615,0,0.043276019754893,0,0,0.0343938223938224,0.02,0.0367832167832168,0.0444755244755245,0.0276923076923077
"MEK",-0.126871301009232,0.0341762812351048,0.122083179977917,0.115789473684211,0.1,-0.082558128942634,-0.082558128942634,0.1,-0.0757575757575758,-0.0885593725009784,-0.0834498834498835,-0.11883645783654,-0.1,0.0144216189777452,-0.22906531033466,-0.0857142857142857,-0.0591973927816402,-0.0603044038517509,0.124137931034483,0.218016428016428,-0.0982142857142857,-0.0666666666666667,0.211349761349761,0.211349761349761,-0.0526850385386971,0.1,-0.119426406926407,-0.0666666666666667,-0.127661701044054,-0.17476896280763,-0.0788139646102343,-0.0788633879781421,-0.0821313618343512,-0.0170994480120611,-0.08,0.0895238095238095,0.0958885001575499,0.0885892300845572,0.0546031746031746,0.0706666666666667,-0.211349761349761,-0.327308352840268,-0.117754952311079,-0.0163611756162434,-0.0934957109007742,0.0320375900088667,-0.115789473684211,-0.092022740100215,-0.1,-0.11,-0.376133454271012,-0.11,-0.122337632904125,-0.125125736993345,-0.116293706293706
"RKIP",-0.116961391099322,0.0382055852644088,0.115789473684211,0.115789473684211,0.1,-0.0809708273553324,-0.0809708273553324,0,-0.0666666666666667,-0.0834498834498835,-0.0757575757575758,-0.114990303990386,-0.1,0.117754952311079,-0.210644257703081,-0.1,-0.0542468977321352,-0.0591973927816402,0.1,0.211349761349761,-0.0857142857142857,-0.1,0.201948051948052,0.201948051948052,-0.0454123112659698,0.05,-0.0982142857142857,-0.0666666666666667,-0.119426406926407,-0.175255580812496,-0.0709708273553324,-0.0706666666666667,-0.0788633879781421,-0.0167898504888413,-0.1,0.08,0.0885892300845572,0.0895238095238095,0.0546031746031746,0.0666666666666667,-0.201948051948052,-0.315760441292356,-0.124137931034483,-0.0176362211535841,-0.0871894045944679,0.0336769342711618,-0.1,-0.0917788376611906,-0.1,-0.1,-0.370484918706158,-0.11,-0.122083179977917,-0.122337632904125,-0.11
"PAK1",-0.196819397229035,-0.15973630717109,-0.196872416971427,-0.191921921921922,-0.17,-0.0720274103428499,-0.0720274103428499,-0.15,-0.00897435897435897,-0.00743589743589743,-0.00743589743589743,-0.0381192783833188,0.0333333333333333,-0.00838319823139278,-0.0225240505351003,0.0333333333333333,0.0232548216419184,0.0258354668032087,0.0182608695652174,-0.119216314266529,0.0583333333333333,0.0476190476190476,-0.11012540517562,-0.11012540517562,0.0255372313843078,0.04,0.068859649122807,0.0642857142857143,0.0762670565302144,0.0500721647381538,-0.074455893832943,0.0687460886385618,0.0717460886385618,0.0285221795224781,0.019047619047619,-0.0131652661064426,-0.0167420172241773,-0.0161955691367456,0.0188393839383938,-0.0675115207373272,0.11012540517562,0.2088170995671,0.000383198231392776,0.0946941338613311,0.137858846856895,0.0509379260395365,0.181111111111111,0.173835454615199,0.17,0.181111111111111,0.241495647833276,0.191637426900585,0.199465009564019,0.201671906115744,0.196027670803024
"LIV1",-0.196819397229035,-0.15973630717109,-0.196872416971427,-0.191921921921922,-0.17,-0.0720274103428499,-0.0720274103428499,-0.15,-0.00897435897435897,-0.00743589743589743,-0.00743589743589743,-0.0381192783833188,0.0333333333333333,-0.00838319823139278,-0.0225240505351003,0.0333333333333333,0.0232548216419184,0.0258354668032087,0.0182608695652174,-0.119216314266529,0.0583333333333333,0.0476190476190476,-0.11012540517562,-0.11012540517562,0.0255372313843078,0.04,0.068859649122807,0.0642857142857143,0.0762670565302144,0.0500721647381538,-0.074455893832943,0.0687460886385618,0.0717460886385618,0.0285221795224781,0.019047619047619,-0.0131652661064426,-0.0167420172241773,-0.0161955691367456,0.0188393839383938,-0.0675115207373272,0.11012540517562,0.2088170995671,0.000383198231392776,0.0946941338613311,0.137858846856895,0.0509379260395365,0.181111111111111,0.173835454615199,0.17,0.181111111111111,0.241495647833276,0.191637426900585,0.199465009564019,0.201671906115744,0.196027670803024
"STAT",-0.234043626448534,-0.26856377006302,-0.275559163059163,-0.264448051948052,-0.242857142857143,-0.0567957683342299,-0.0567957683342299,-0.1,-0.0392156862745098,-0.022789551401773,-0.0257021727609963,-0.0366398428492523,0,-0.0553573687539532,-0.019261583011583,0.05,0.0281803542673108,0.0281803542673108,-0.02,-0.260558559559522,0.07,0.05,-0.247125723738627,-0.247125723738627,0.032,0,0.103333333333333,0.075,0.115197740112994,-0.102671717062373,0.030788274905922,0.0973255813953488,0.099980448651986,0.0316709280918411,0.00909090909090909,-0.0153409090909091,-0.016090972655618,-0.0127093301435407,-0.0629720853858785,-0.095,0.247125723738627,0.308324432576769,0.0435294117647059,0.137885680829017,0.163860453272218,0.0993127249851466,0.255357142857143,0.244097710376108,0.242857142857143,0.255357142857143,0.325726371352664,0.264448051948052,0.282183768737396,0.286355401633702,0.275372421695951
"HEY1",0.0985570567542739,0.201891067538126,0.260408810642558,0.250843593251254,0.233333333333333,-0.0553457172342621,-0.0553457172342621,0.233333333333333,0.0527272727272727,0.0443713313273813,0.0474641148325359,-0.0951345080609356,-0.1,0.184179943767573,-0.0991548134405277,-0.2,-0.0106666666666667,-0.0121159420289855,0.187272727272727,0.32656862745098,-0.26,-0.2,0.313333333333333,0.313333333333333,-0.0219862490450726,0.16,-0.274285714285714,-0.233333333333333,-0.289100529100529,0.262567815392112,-0.0185185185185185,-0.239583333333333,-0.247110215053763,-0.0143345543345543,-0.00909090909090909,0.0130909090909091,0.0205055432372506,0.0170909090909091,0.122355631789594,0.233333333333333,-0.313333333333333,-0.335241746212593,-0.187272727272727,0.127113730459768,-0.126578375433441,-0.250032256598973,-0.23921568627451,-0.187785300742618,-0.233333333333333,-0.23921568627451,-0.330409928146607,-0.250843593251254,-0.267432222013796,-0.27104367904991,-0.259464282906426
"FOXC2",0.0985570567542739,0.201891067538126,0.260408810642558,0.250843593251254,0.233333333333333,-0.0553457172342621,-0.0553457172342621,0.233333333333333,0.0527272727272727,0.0443713313273813,0.0474641148325359,-0.0951345080609356,-0.1,0.184179943767573,-0.0991548134405277,-0.2,-0.0106666666666667,-0.0121159420289855,0.187272727272727,0.32656862745098,-0.26,-0.2,0.313333333333333,0.313333333333333,-0.0219862490450726,0.16,-0.274285714285714,-0.233333333333333,-0.289100529100529,0.262567815392112,-0.0185185185185185,-0.239583333333333,-0.247110215053763,-0.0143345543345543,-0.00909090909090909,0.0130909090909091,0.0205055432372506,0.0170909090909091,0.122355631789594,0.233333333333333,-0.313333333333333,-0.335241746212593,-0.187272727272727,0.127113730459768,-0.126578375433441,-0.250032256598973,-0.23921568627451,-0.187785300742618,-0.233333333333333,-0.23921568627451,-0.330409928146607,-0.250843593251254,-0.267432222013796,-0.27104367904991,-0.259464282906426
"GLI",-0.115393124355005,-0.093280196506003,-0.188003743997395,-0.184555468135327,-0.17,-0.0360784263526199,-0.0360784263526199,-0.15,0.0090893015030946,0.0125416824554756,0.0115893015030946,0.0256997046650444,0.0333333333333333,0.0908068450886131,-0.00711044334678893,0.0444444444444444,0.0429702138657363,0.0451323760278984,0.117857142857143,-0.0522684444935599,0.060233918128655,0.180952380952381,-0.045337751424253,-0.045337751424253,0.0429275779870007,0.142857142857143,0.070437999761308,0.180952380952381,0.075125499761308,0.0374298344463668,-0.0397099957099957,0.17891156462585,0.180146132527085,0.0434884723120017,-0.0466666666666667,0.0501149425287356,0.0484634441935525,0.0482281500759055,0.00654599088227407,-0.180952380952381,0.045337751424253,0.299042985328734,-0.0957792207792208,0.074239439359144,0.13424365942029,0.0175185077312253,0.179677419354839,0.156088476815425,0.24,0.249677419354839,0.247267228030843,0.253206831119545,0.189302445296097,0.19067722114786,0.1561855545238
"cateninmemb",-0.0443370907139023,0.00678088144009932,-0.0259927071085104,-0.0243204663058348,-0.0176470588235294,0.0341601739224001,0.0341601739224001,0,-0.00325358851674641,0.00152930344661541,0.00190105065851132,0.0533444494514599,0.1,-0.105172280721098,0.0594896453644447,0.12,0.00666666666666667,0.00545601291364003,-0.105026737967914,-0.138116989812685,0.115238095238095,0.0333333333333333,-0.135882352941176,-0.135882352941176,0.00820812034392769,-0.110909090909091,0.126349206349206,0.0166666666666667,0.128946608946609,-0.105239903024246,0.0161744022503516,0.030241935483871,0.0318167386334773,0.00648037871501559,0.00509090909090909,-0.00909090909090909,-0.0101212094481622,-0.00957871396895787,-0.0671835033553008,-0.0291666666666667,0.135882352941176,0.14906749593199,0.103995810132863,-0.0942136966015219,0.0382660421214593,0.017217946050898,0.0199726402188783,-0.0909479653219878,0.0176470588235294,0.0199726402188783,0.142402517549767,0.0234209160809472,0.0263663061122464,0.0273933836099121,0.0254209160809472
"SRC",0.0195051353874883,0.0664127826196792,0.278196721311475,0.27,0.1,0.0343141659179395,0.0343141659179395,0,-0.12,-0.122380952380952,-0.115238095238095,-0.126065703099239,-0.1,0.100819515913856,-0.17960247637667,-0.15,-0.0467105263157895,-0.0458096254148886,0.0393939393939394,0.415421549664353,-0.183333333333333,-0.0333333333333333,0.394209428452232,0.394209428452232,-0.0118834822906322,0.0666666666666667,-0.206410256410256,-0.0833333333333333,-0.228632478632479,0.0644898716700994,-0.0522609819121447,-0.107037037037037,-0.109978213507625,-0.0515678524374177,-0.111111111111111,0.0986111111111111,0.10744227994228,0.112896825396825,-0.0571428571428571,0.103333333333333,-0.394209428452232,-0.503636363636364,-0.0838383838383839,-0.126823274764451,-0.16817969314463,-0.0693707362973418,-0.25,-0.236400613680587,-0.2,-0.25,-0.345758480649785,-0.27,-0.286733306677329,-0.29143129325451,-0.278196721311475
"ZEB1",0.210018573763731,0.0306662040785399,-0.132342901200505,-0.131648456756061,-0.128205128205128,0.0502532008074825,0.0502532008074825,-0.166666666666667,0.110416666666667,0.10401575919624,0.106495098039216,0.147828130516325,0.133333333333333,0.0357400017275633,0.133734080233113,0.153333333333333,0.090178488733643,0.090178488733643,0.0126666666666667,-0.199311200477009,0.15859649122807,0.133333333333333,-0.197578917012442,-0.197578917012442,0.0800868992837905,0.0166666666666667,0.150399769916595,0.120833333333333,0.150399769916595,-0.184419266237521,0.0468816881287592,0.10719696969697,0.111111560444301,-0.125660358142482,0.00766283524904215,-0.00911211061136099,-0.0122717093163452,-0.0126654101037468,-0.118284600389864,-0.10719696969697,0.197578917012442,0.209651878506664,-0.0256078431372549,-0.036250225011615,0.0659366386800363,-0.0617508987923949,0.125766103814884,0.0925811866472954,0.123809523809524,0.12137049941928,0.206653577702692,0.127139730188511,0.13154502886008,0.130957944711352,0.127483372800195
"SNAI2",-0.147209157811186,-0.256440488227647,-0.324987186068513,-0.31423449789647,-0.287272727272727,0.0522034822739669,0.0522034822739669,-0.26,-0.117543859649123,-0.103577124629756,-0.108771929824561,0.0857490840429656,0.1,-0.224271330153683,0.0867435897435897,0.2,0.00898725687458082,0.0113796013721885,-0.207843137254902,-0.374739108984498,0.275,0.2,-0.359213994829247,-0.359213994829247,0.026416515973478,-0.166666666666667,0.306034482758621,0.26,0.326516410469464,0.0565163436296843,0.0151923076923077,0.287851140456182,0.296301844681535,0.0156194576445582,0.00588235294117647,-0.0106442577030812,-0.0186444700511197,-0.0149177619765855,-0.16551724137931,-0.277647058823529,0.359213994829247,0.376314596302039,0.22156862745098,0.0922443359405669,0.179669478872081,0.314347871321211,0.301558441558442,0.276776217441189,0.287272727272727,0.301558441558442,0.375775680173024,0.31423449789647,0.333440794315935,0.338875576924631,0.324394925703956
"miR200",-0.0222118802606607,-0.124544453501509,-0.195106545477064,-0.188364972443356,-0.2,0.0537679211469534,0.0537679211469534,-0.2,-0.0239408866995074,-0.0141610308647129,-0.0135960591133005,0.0168875568875569,0,-0.0399752628324057,0.0167349900577686,0.02,0.000884955752212389,0.00182539462368574,-0.0342857142857143,-0.188720735474746,0.0357894736842105,0.02,-0.182985074626866,-0.182985074626866,0.00336158192090395,-0.0142857142857143,0.0443609022556391,0.0325,0.0443609022556391,-0.170658560070404,0.0476190476190476,0.0287025316455696,0.0297894881673088,-0.0669574036511156,0,-0.00196078431372549,-0.00415508288836915,-0.00357368753953194,-0.0355867182462927,-0.0325,0.182985074626866,0.165564562480067,0.0433766233766234,0.126480054767256,0.126047103140069,0.0509366578758092,0.18695652173913,0.173764653340746,0.2,0.188,0.236165424031722,0.189408450704225,0.197884323254841,0.198490383860902,0.196001857297632
"KLF4",-0.0985570567542739,-0.201891067538126,-0.260408810642558,-0.250843593251254,-0.233333333333333,0.0553457172342621,0.0553457172342621,-0.233333333333333,-0.0527272727272727,-0.0443713313273813,-0.0474641148325359,0.0951345080609356,0.1,-0.184179943767573,0.0991548134405277,0.2,0.0106666666666667,0.0121159420289855,-0.187272727272727,-0.32656862745098,0.26,0.2,-0.313333333333333,-0.313333333333333,0.0219862490450726,-0.16,0.274285714285714,0.233333333333333,0.289100529100529,-0.262567815392112,0.0185185185185185,0.239583333333333,0.247110215053763,0.0143345543345543,0.00909090909090909,-0.0130909090909091,-0.0205055432372506,-0.0170909090909091,-0.122355631789594,-0.233333333333333,0.313333333333333,0.335241746212593,0.187272727272727,-0.127113730459768,0.126578375433441,0.250032256598973,0.23921568627451,0.187785300742618,0.233333333333333,0.23921568627451,0.330409928146607,0.250843593251254,0.267432222013796,0.27104367904991,0.259464282906426
"Ecadherin",-0.0919209011478666,-0.20058752936308,-0.267432222013796,-0.260408810642558,-0.23921568627451,0.0619807883243095,0.0619807883243095,-0.233333333333333,-0.0474641148325359,-0.0417691008441099,-0.0443713313273813,0.101780077681189,0.2,-0.183787786904828,0.108518109320678,0.26,0.0121159420289855,0.0113895497771695,-0.187272727272727,-0.336065834154891,0.274285714285714,0.233333333333333,-0.32656862745098,-0.32656862745098,0.0213151081054753,-0.187272727272727,0.289100529100529,0.233333333333333,0.300788840788841,-0.266601530021853,0.0261134552273793,0.247110215053763,0.251834624502582,0.0145207740738467,0.0130909090909091,-0.0170909090909091,-0.0224946933276665,-0.0205055432372506,-0.127618789684331,-0.239583333333333,0.32656862745098,0.345837772702659,0.184179943767573,-0.23022960193007,0.129258787804575,0.25438008268593,0.250843593251254,0.187400685358002,0.23921568627451,0.250843593251254,0.337679266450428,0.259464282906426,0.27104367904991,0.273564687453272,0.266130949573093
"SNAI1",0.19516755478939,0.159018358453141,0.199465009564019,0.196872416971427,0.181111111111111,0.0701823918926654,0.0701823918926654,0.17,0.00743589743589743,0.00580324437467294,0.00743589743589743,-0.0670408639654357,-0.0333333333333333,0.00928005921793986,0.0166663099493262,-0.0583333333333333,-0.0258354668032087,-0.0266964754132948,0.000383198231392776,0.124142422640914,-0.068859649122807,-0.0642857142857143,0.119216314266529,0.119216314266529,-0.0273229456700221,-0.0182608695652174,-0.0762670565302144,-0.0675115207373272,-0.0825170565302144,-0.0486306628943724,0.0766365791911985,-0.0717460886385618,-0.0750470595123482,-0.0311158394648412,-0.0131652661064426,0.0161955691367456,0.0179516946435321,0.0167420172241773,-0.0184620254478278,0.0687460886385618,-0.119216314266529,-0.215351753032446,-0.00838319823139278,-0.0933934054534227,-0.139024348022396,-0.0516438083924776,-0.191921921921922,-0.174699012473576,-0.181111111111111,-0.191637426900585,-0.245881612745557,-0.196027670803024,-0.201671906115744,-0.203685328934536,-0.198404270437393
"cfos",0.197509052401448,0.158649350649351,0.191921921921922,0.181111111111111,0.15,0.0704196933010492,0.0704196933010492,0.1,0.0166666666666667,0.00743589743589743,0.00897435897435897,0.0421765576195956,0,0.000383198231392776,0.0286013986013986,-0.0333333333333333,-0.0248677248677249,-0.0232548216419184,-0.04,0.11012540517562,-0.0333333333333333,-0.0333333333333333,0.0979302832244009,0.0979302832244009,-0.0255372313843078,0.08,-0.0583333333333333,-0.0476190476190476,-0.068859649122807,-0.0524229784813726,0.0760952380952381,-0.0675115207373272,-0.0687460886385618,-0.0290297937356761,-0.0142857142857143,0.019047619047619,0.0161955691367456,0.0131652661064426,-0.0138888888888889,0.0642857142857143,-0.0979302832244009,-0.198998917748918,0.0182608695652174,-0.0951785629270751,-0.136600985221675,-0.0472569444444444,-0.17,-0.173286004065749,-0.15,-0.17,-0.235630986179141,-0.181111111111111,-0.196872416971427,-0.199465009564019,-0.191637426900585
"CDC42",0.197509052401448,0.158649350649351,0.191921921921922,0.181111111111111,0.15,0.0704196933010492,0.0704196933010492,0.1,0.0166666666666667,0.00743589743589743,0.00897435897435897,0.0421765576195956,0,0.000383198231392776,0.0286013986013986,-0.0333333333333333,-0.0248677248677249,-0.0232548216419184,-0.04,0.11012540517562,-0.0333333333333333,-0.0333333333333333,0.0979302832244009,0.0979302832244009,-0.0255372313843078,-0.02,-0.0583333333333333,-0.0476190476190476,-0.068859649122807,-0.0524229784813726,0.0760952380952381,-0.0675115207373272,-0.0687460886385618,-0.0290297937356761,-0.114285714285714,0.019047619047619,0.0161955691367456,0.0131652661064426,-0.0138888888888889,0.0642857142857143,-0.0979302832244009,-0.198998917748918,0.0182608695652174,-0.0951785629270751,-0.136600985221675,-0.0472569444444444,-0.17,-0.173286004065749,-0.15,-0.17,-0.235630986179141,-0.181111111111111,-0.196872416971427,-0.199465009564019,-0.191637426900585
