"","IKK","NFB","Csn","SMO","TrCP","SUFU","FUS","TWIST1","SNAI2","cateninmemb","Destcompl","cfos","AXIN2","EGR1","GLI","TCFLEF","cateninnuc","SRC","LIV1","DSH","STAT","RAF","FOXC2","PAK1","TGFR","PI3K","DELTA","RAS","CDC42","TGF","GSK3","ZEB2","miR200","cMet","CD44","Wnt","Frizzled","RKIP","KLF4","NOTCHic","NOTCH","Csl","Jagged","MEK","ERK","SOSGRB2","Ecadherin","SNAI1","Patched","SHH","ZEB1","AKT","SMAD","ILK","HEY1"
"LIV1",0.149122807017544,0.133333333333333,0.108333333333333,0.184178187403994,0.133333333333333,0.147619047619048,0.180952380952381,0.170883869753435,0.158522294792275,-0.109069766873329,-0.112113548047158,0.284347826086957,-0.106845431731574,0.28,-0.0723700851043598,-0.0786357644773486,-0.0775323162014866,-0.0859259259259259,-0.1,-0.06,-0.06,-0.107712949678516,0.0929746297173201,-0.080952380952381,-0.087458619811561,0.107712949678516,0.107712949678516,0.104985676951244,-0.0829131652661065,-0.0836334831995391,0.0337169913419913,-0.0831421856078708,-0.0643732466067492,0.0832232232232232,0.0753024311440153,0.0806627680311891,0.0859259259259259,-0.16370835426084,-0.0878334634400208,-0.183589743589744,-0.186886446886447,-0.166666666666667,-0.169756518404908,-0.295986244166053,-0.282652910832719,-0.161716171617162,0.0732064771701582,-0.250900069588931,-0.192820162712636,-0.192820162712636,-0.254557385655227,-0.141715399610136,-0.216820276497696,-0.21036866359447,-0.22162815650998
"EGR1",0.149122807017544,0.133333333333333,0.108333333333333,0.184178187403994,0.133333333333333,0.147619047619048,0.180952380952381,0.170883869753435,0.158522294792275,-0.109069766873329,-0.112113548047158,0.284347826086957,-0.106845431731574,0.28,-0.0723700851043598,-0.0786357644773486,-0.0775323162014866,-0.0859259259259259,-0.1,-0.06,-0.06,-0.107712949678516,0.0929746297173201,-0.080952380952381,-0.087458619811561,0.107712949678516,0.107712949678516,0.104985676951244,-0.0829131652661065,-0.0836334831995391,0.0337169913419913,-0.0831421856078708,-0.0643732466067492,0.0832232232232232,0.0753024311440153,0.0806627680311891,0.0859259259259259,-0.16370835426084,-0.0878334634400208,-0.183589743589744,-0.186886446886447,-0.166666666666667,-0.169756518404908,-0.295986244166053,-0.282652910832719,-0.161716171617162,0.0732064771701582,-0.250900069588931,-0.192820162712636,-0.192820162712636,-0.254557385655227,-0.141715399610136,-0.216820276497696,-0.21036866359447,-0.22162815650998
"Csl",0.133850129198966,0.122222222222222,0.1,0.187292609351433,0.133333333333333,0.158333333333333,0.181410256410256,0.126669921648941,0.095993928266725,-0.141961839377378,-0.118641232509605,0.27952380952381,-0.117082664483232,0.286666666666667,-0.0726366644108579,-0.0776232491608718,-0.0772230204587563,-0.0841958041958042,-0.08,-0.0569230769230769,-0.0569230769230769,-0.114464196473192,0.0979579729555893,-0.0768888888888889,-0.0852513298175924,0.114464196473192,0.114464196473192,0.112993608237898,-0.0833405017921147,-0.0804894250556876,0.0662274951023618,-0.074987767012749,-0.0585598312425922,0.0787012987012987,0.0750278293135436,0.0766689224753741,0.0841958041958042,-0.14527258815435,-0.0805969634230504,-0.195932573368906,-0.196841664277997,-0.177511520737327,-0.174594990029593,-0.292163561076605,-0.282380952380952,-0.128663010075077,0.118378140638166,-0.229018493583711,-0.192668953437454,-0.191806884471937,-0.239333635821745,-0.122222222222222,-0.208517757222793,-0.204073312778349,-0.11680481780226
"NOTCH",0.1,0.133333333333333,0.1,0.158333333333333,0,0.1,0.133333333333333,0.120525423728814,0.0928667193373076,-0.142923002077194,-0.118393822393822,0.22,-0.117493261455526,0.2,-0.0841958041958042,-0.0787012987012987,-0.0750278293135436,-0.08,0,-0.1,-0.1,-0.1,0.0963265306122449,-0.1,-0.0768888888888889,0.1,0.1,0.115942028985507,-0.0888888888888889,-0.0833405017921147,0.065491118077325,-0.073268921095008,-0.0473593073593074,0.0569230769230769,0.0841958041958042,0.0569230769230769,0.08,-0.147038019451813,-0.0584541062801932,-0.0742857142857143,-0.177511520737327,-0.06,-0.181596921596922,-0.27952380952381,-0.286666666666667,-0.125263157894737,0.1208766270515,-0.235769230769231,-0.181410256410256,-0.187292609351433,-0.238969404186796,-0.122222222222222,-0.20047619047619,-0.207142857142857,-0.113768115942029
"Jagged",0.133333333333333,0.1,0,0.133333333333333,0,0,0.1,0.129,0.0902212166918049,-0.149729284799707,-0.118393822393822,0.2,-0.104285714285714,0.1,-0.0569230769230769,-0.0841958041958042,-0.0787012987012987,-0.1,0,0,0,-0.1,0.0942857142857143,0,-0.0888888888888889,0.1,0.1,0.1,-0.1,-0.0768888888888889,0.0632183908045977,-0.0584541062801932,-0.0587878787878788,0.08,0.0569230769230769,0.08,0.1,-0.143589743589744,-0.0888888888888889,-0.06,-0.0742857142857143,0,-0.155670995670996,-0.286666666666667,-0.22,-0.12,0.120070175438596,-0.225,-0.158333333333333,-0.181410256410256,-0.246376811594203,-0.1,-0.207142857142857,-0.183333333333333,-0.0833333333333333
"miR200",-0.0118796992481203,-0.0147368421052632,-0.02,0.0075,0,0.02,0.0075,-0.080891215124344,-0.086753401480385,-0.0851103808683397,-0.0690741002776247,-0.00571428571428572,-0.0688000134532353,0.0142857142857143,-0.0129577464788732,-0.0150937023104812,-0.015851278068057,-0.0217391304347826,0,0,0,-0.0795331037122082,-0.000305710549612986,0.0125,0.004308981657179,0.0795331037122082,0.0795331037122082,0.0787849740363977,0.00269607843137255,0.00837874909903947,0.00165674161572439,-0.0411514336917563,-0.0629325043360673,0.0146968769136558,0.0146968769136558,0.0129577464788732,0.02,0.0112357581069238,-0.0463940648723257,-0.00916256157635468,-0.00633770281929253,-0.00226600985221675,0.0071872132981699,-0.00541743970315399,-0.00337662337662337,0.0022856221792392,0.0109921231525507,0.0148124098124098,-0.00876582278481013,-0.00876582278481013,0.0518996415770609,0.0194268690594411,0.00204218977487211,0.00298262864634546,0.00175141242937853
"PI3K",-0.00784313725490196,0.0333333333333333,0.0333333333333333,0.15,0,0.1,0.15,-0.10039710823745,-0.135394702140689,-0.150987582538861,-0.293244799347369,0.0619047619047619,-0.235238095238095,0.0333333333333333,-0.204005945745076,-0.205700860999313,-0.204257562030241,-0.188888888888889,-0.1,-0.2,-0.2,-0.117852813852814,0.0492334494773519,-0.05,-0.0125882352941176,0.117852813852814,0.117852813852814,0.127441854948704,-0.0205882352941176,-0.0199053084648494,0.0931096681096681,-0.00924541928363926,-0.0232039043514453,0.193236714975845,0.204005945745076,0.193236714975845,0.188888888888889,0.00521978021978022,0.00548245614035088,-0.0576923076923077,-0.0705955334987593,-0.05,-0.166228070175439,-0.0661477705836433,-0.0677871148459384,-0.0230769230769231,0.132165441775008,-0.0151127214170692,-0.165384615384615,-0.168162393162393,-0.163715208465196,0.000150829562594268,-0.135985914365746,-0.144785914365746,-0.144906333030639
"ILK",-0.00784313725490196,0.0333333333333333,0.0333333333333333,0.15,0,0.1,0.15,-0.10039710823745,-0.135394702140689,-0.150987582538861,-0.293244799347369,0.0619047619047619,-0.235238095238095,0.0333333333333333,-0.204005945745076,-0.205700860999313,-0.204257562030241,-0.188888888888889,-0.1,-0.2,-0.2,-0.117852813852814,0.0492334494773519,-0.05,-0.0125882352941176,0.117852813852814,0.117852813852814,0.127441854948704,-0.0205882352941176,-0.0199053084648494,0.0931096681096681,-0.00924541928363926,-0.0232039043514453,0.193236714975845,0.204005945745076,0.193236714975845,0.188888888888889,0.00521978021978022,0.00548245614035088,-0.0576923076923077,-0.0705955334987593,-0.05,-0.166228070175439,-0.0661477705836433,-0.0677871148459384,-0.0230769230769231,0.132165441775008,-0.0151127214170692,-0.165384615384615,-0.168162393162393,-0.163715208465196,0.000150829562594268,-0.135985914365746,-0.144785914365746,-0.144906333030639
"SRC",0.11025641025641,0.133333333333333,0.1,0.0333333333333333,0.1,0.0333333333333333,0.0333333333333333,0.160029051408362,0.0629142128571321,0.115251833557851,0.149598264054786,0.0242424242424242,0.102615920778614,0.0333333333333333,0.0469672131147541,0.0542842862854858,0.0571925636904075,0.025,0.2,0,0.1,0.0543846474760117,-0.0949579831932773,0.0888888888888889,0.0906746031746032,-0.0543846474760117,-0.0543846474760117,-0.0498391929305571,0.0763888888888889,0.0834018759018759,0.0657142857142857,-0.00864031147050015,-0.0295008051529791,-0.065,-0.0469672131147541,-0.065,-0.025,-0.124828934506354,-0.102196382428941,0.0692857142857143,0.0871428571428571,0.055,-0.0344824747118325,-0.0332570992948351,-0.0464646464646465,-0.00857142857142857,-0.0510416489828255,-0.0729021250927048,-0.0296296296296296,-0.0296296296296296,-0.178174603174603,-0.121367521367521,-0.0590919867235657,-0.0635964912280702,-0.0305776233035419
"AKT",-0.000150829562594268,-0.00784313725490196,0.0333333333333333,0.165384615384615,0.0333333333333333,0.15,0.15,-0.103761022610539,-0.136299224753754,-0.152108887329891,-0.294816346080206,0.0677871148459384,-0.239931236032319,0.0619047619047619,-0.204564604962953,-0.204257562030241,-0.20671910049178,-0.193236714975845,-0.2,-0.188888888888889,-0.188888888888889,-0.127441854948704,0.0469778103796075,-0.0205882352941176,-0.0199053084648494,0.127441854948704,0.127441854948704,0.127200891093283,-0.0125882352941176,-0.0159778160177194,0.0959322487548294,-0.00787555626994063,-0.0269472198594667,0.204005945745076,0.205700860999313,0.204005945745076,0.193236714975845,0.0108098423315815,-0.00562865497076024,-0.0705955334987593,-0.076693094474369,-0.0576923076923077,-0.163579063552922,-0.0674135933684534,-0.0661477705836433,-0.0186324786324786,0.13428665389622,-0.0113533229208286,-0.168162393162393,-0.166057130004498,-0.1596056194241,-0.0988390694273047,-0.137669416049248,-0.135985914365746,-0.139643175135903
"GSK3",-0.0644827586206897,-0.0633333333333333,-0.0633333333333333,-0.13921938276777,-0.113333333333333,-0.140909090909091,-0.145670995670996,0.0415972937789822,0.0933987825585358,0.158191225360018,0.279934654550278,-0.0518082788671024,0.238199146814726,-0.0592156862745098,0.193219916235279,0.197411079357561,0.19833213198914,0.194924812030075,0.2,0.184210526315789,0.184210526315789,0.176817749667022,0.0574895280158438,-0.0953623188405797,-0.092853608039186,-0.176817749667022,-0.176817749667022,-0.176607665633409,-0.0925051759834369,-0.0941356593212373,-0.281198001411635,-0.00217673072648198,0.0148160414404821,-0.196911566996963,-0.195006805092201,-0.195578406801317,-0.194924812030075,-0.0419976514713357,-0.00215719282599277,0.0798990225460814,0.0796392822863411,0.0778011204481793,0.135862890011279,0.0476814846087292,0.0465451209723656,-0.0305285412262156,-0.131582530476424,-0.0283062095751681,0.136151898105193,0.134716491406629,0.110930890233673,0.056790450928382,0.0916952178438146,0.0924448430312209,0.10041535804808
"Frizzled",0.0633333333333333,0.113333333333333,0.133333333333333,0.140909090909091,0.1,0.1,0.15,-0.0375490196078431,-0.0903665832698793,-0.155657115953726,-0.277154606205119,0.0533333333333333,-0.234249471458774,0.0333333333333333,-0.194924812030075,-0.196911566996963,-0.195006805092201,-0.2,-0.1,-0.3,-0.2,-0.172146274777854,-0.0582186234817814,0.0666666666666667,0.0953623188405797,0.172146274777854,0.172146274777854,0.177658085801476,0.0866666666666667,0.0925051759834369,0.177612330198537,0.00131444995288625,-0.0105713383838384,0.184210526315789,0.194924812030075,0.184210526315789,0.2,0.0371428571428571,0.00812324929971989,-0.0797619047619048,-0.0778011204481793,-0.0714285714285714,-0.141153446226976,-0.0518082788671024,-0.0592156862745098,0.0272727272727273,0.129661939162333,0.0214113181504486,-0.145670995670996,-0.13921938276777,-0.116101064912804,-0.0633333333333333,-0.0950863524651831,-0.105366726296959,-0.107408619749045
"DSH",-0.0633333333333333,-0.0633333333333333,-0.113333333333333,-0.145670995670996,-0.133333333333333,-0.15,-0.140909090909091,0.0396766791823112,0.0914143131883892,0.156246044104492,0.278490484067714,-0.0592156862745098,0.238046939813204,-0.0533333333333333,0.195578406801317,0.195006805092201,0.197411079357561,0.184210526315789,0.2,0.2,0.2,0.177658085801476,0.0560541213172792,-0.0866666666666667,-0.0925051759834369,-0.177658085801476,-0.177658085801476,-0.176817749667022,-0.0953623188405797,-0.092853608039186,-0.179700497251901,0.00183515634632635,0.0142298749692042,-0.194924812030075,-0.196911566996963,-0.194924812030075,-0.184210526315789,-0.0392407592407592,-0.00521062794049659,0.0778011204481793,0.0798990225460814,0.0797619047619048,0.138052671033177,0.0465451209723656,0.0518082788671024,-0.0272727272727273,-0.131154476475765,-0.0257591442374051,0.13921938276777,0.136151898105193,0.111376655463985,0.0644827586206897,0.0924448430312209,0.0950863524651831,0.102145461854308
"SUFU",-0.10443956043956,-0.108285714285714,-0.0642857142857143,0.131111111111111,-0.05,0.12,0.12,-0.0963358093757765,-0.314955364008609,-0.235271690142309,-0.291715600327131,0.218228438228438,-0.344075077641082,0.203076923076923,-0.110730626251072,-0.206268584081563,-0.207854261830924,-0.193333333333333,-0.2,-0.1,-0.193333333333333,-0.320718678472944,0.0479494985431406,-0.0983333333333334,-0.0885000958405214,0.320718678472944,0.320718678472944,0.322300956953956,-0.0821171171171171,-0.0871194252290815,0.269343499264469,0.00391881023891368,-0.0227909279294863,0.204012944983819,0.206268584081563,0.109615384615385,0.1,0.029646071487014,0.0273384924140789,-0.342121212121212,-0.348470418470418,-0.33530303030303,-0.224923699624498,-0.208309142557125,-0.207883610642231,-0.0936878910563121,0.156165510570322,-0.0053827035557385,-0.134141414141414,-0.12989430989431,-0.113732123921056,0.103768419499963,-0.109596889489611,-0.111213517665131,-0.135777126662407
"Wnt",0.113333333333333,0.133333333333333,0.1,0.15,0.1,0,0.1,-0.0308823529411765,-0.0868965517241379,-0.155974576271186,-0.274236834321829,0.0333333333333333,-0.227272727272727,0,-0.184210526315789,-0.194924812030075,-0.196911566996963,-0.2,0,-0.2,-0.1,-0.176691729323308,-0.0582186234817814,0.1,0.0866666666666667,0.176691729323308,0.176691729323308,0.172146274777854,0.0666666666666667,0.0953623188405797,0.18064263322884,0.0062649450023912,-0.0183838383838384,0.2,0.184210526315789,0.2,0.3,0.03,-0.0156862745098039,-0.0714285714285714,-0.0797619047619048,0,-0.136102941176471,-0.0592156862745098,-0.0533333333333333,0.0242424242424242,0.126631636132029,0.019824016563147,-0.140909090909091,-0.145670995670996,-0.125011956001913,-0.0633333333333333,-0.105366726296959,-0.107692307692308,-0.101025641025641
"FUS",-0.108285714285714,-0.0642857142857143,-0.05,0.12,-0.1,0.2,0.12,-0.0936553970046425,-0.312648178774595,-0.234453136254178,-0.289854887940103,0.203076923076923,-0.339157044854196,0.18,-0.109615384615385,-0.206268584081563,-0.206268584081563,-0.193333333333333,-0.1,-0.1,-0.2,-0.312421735241503,0.0472050816696915,-0.106666666666667,-0.0821171171171171,0.312421735241503,0.312421735241503,0.320718678472944,-0.0983333333333334,-0.0885000958405214,0.267029874585805,0.00633426917611174,-0.0183299613867354,0.193333333333333,0.204012944983819,0.1,0.1,0.0251562755686467,0.0339253187613843,-0.33530303030303,-0.342121212121212,-0.33030303030303,-0.228486644992669,-0.207883610642231,-0.218228438228438,-0.098582995951417,0.152972925606367,-0.0116859403530128,-0.131111111111111,-0.134141414141414,-0.119046133582891,0.10443956043956,-0.111213517665131,-0.124761904761905,-0.144210861602166
"SMO",-0.0642857142857143,-0.05,-0.1,0.12,0,0.1,0.2,-0.0889433551198257,-0.307082649151615,-0.233149598079131,-0.286497223706526,0.18,-0.329840274667861,0.2,-0.1,-0.204012944983819,-0.206268584081563,-0.2,-0.1,0,-0.1,-0.310096153846154,0.0393103448275862,-0.0666666666666667,-0.0983333333333334,0.310096153846154,0.310096153846154,0.312421735241503,-0.106666666666667,-0.0821171171171171,0.2660265301042,0.0155367231638418,-0.0262507534659433,0.193333333333333,0.193333333333333,0.1,0.1,0.0220634920634921,0.00277777777777777,-0.33030303030303,-0.33530303030303,-0.266666666666667,-0.22005291005291,-0.218228438228438,-0.203076923076923,-0.0947368421052632,0.151329089989929,-0.0145161290322581,-0.12,-0.131111111111111,-0.128248587570621,0.108285714285714,-0.124761904761905,-0.12,-0.134065934065934
"Patched",0.05,0.1,0,-0.2,0,0,-0.1,0.0712962962962963,0.299463601532567,0.223440860215054,0.27952047952048,-0.2,0.322943722943723,-0.1,0.1,0.193333333333333,0.204012944983819,0.1,0.1,0,0.1,0.303846153846154,-0.06,0.166666666666667,0.106666666666667,-0.303846153846154,-0.303846153846154,-0.310096153846154,0.0666666666666667,0.0983333333333334,-0.261172161172161,0.0166666666666667,0.0452380952380952,-0.2,-0.193333333333333,-0.1,0,0.00571428571428572,0.00555555555555556,0.266666666666667,0.33030303030303,0.2,0.212910052910053,0.203076923076923,0.18,0.1,-0.150960086299892,0.0145161290322581,0.12,0.12,0.133333333333333,-0.0642857142857143,0.12,0.1,0.11025641025641
"SHH",0.1,0,0,-0.1,0,0,0,0.075,0.2927969348659,0.212329749103943,0.274025974025974,-0.1,0.304761904761905,0,0.1,0.193333333333333,0.193333333333333,0.1,0,0,0.1,0.25,-0.05,0.2,0.0666666666666667,-0.25,-0.25,-0.303846153846154,0.166666666666667,0.106666666666667,-0.256410256410256,0.025,0.0166666666666667,-0.1,-0.2,0,0,0.02,-0.05,0.2,0.266666666666667,0.1,0.231428571428571,0.18,0.2,0.1,-0.142222222222222,0.05,0.2,0.12,0.125,-0.05,0.1,0.133333333333333,0.133333333333333
