"","GSK3","AXIN2","cateninmemb","cateninnuc","CD44","cMet","SRC","Wnt","Frizzled","STAT","RAF","LIV1","Destcompl","AKT","IKK","NFB","NOTCHic","SNAI2","Csn","SOSGRB2","FOXC2","TGFR","TGF","TrCP","SUFU","FUS","SMO","TWIST1","SNAI1","SHH","Patched","MEK","ERK","RKIP","cfos","EGR1","CDC42","PAK1","ZEB2","ZEB1","SMAD","ILK","HEY1","NOTCH","Csl","miR200","KLF4","DSH","Jagged","PI3K","DELTA","RAS","Ecadherin","GLI","TCFLEF"
"Csn",0.0951119414849455,-0.128389597104186,-0.0302914189902909,-0.0936459802542429,-0.0926997184138854,-0.0958108295249965,-0.0994252873563218,-0.0958108295249965,-0.0994252873563218,-0.116666666666667,0.130012713555871,-0.133333333333333,0.0100504210433651,0.0595666666666667,0.0491666666666667,0.0616666666666667,-0.147402597402597,0.0898357373666265,0.07,-0.140232906722011,-0.310473490454842,-0.300527954632432,-0.29837998327205,0.22,-0.0142857142857143,-0.0365079365079365,-0.0455988455988456,-0.106724326009039,0.218797627647196,0.0547650715815708,0.0531257273192757,0.2385579004329,0.227099567099567,0.275210042270597,0.238787878787879,0.193333333333333,0.291553595658073,0.284090909090909,-0.0790008271298594,-0.0790008271298594,0.0790307305720992,0.0751746894409938,0.0824723145071982,0.154133366633367,0.159090909090909,0.0421145096587009,-0.0994843065431301,0.116666666666667,0.0542097681905232,-0.130012713555871,-0.130012713555871,-0.134427300887925,0.00539638769400972,0.0927540609660446,0.0943074354556861
"GLI",-0.172411647517391,-0.0342406400966184,-0.0107951416005452,-0.0139822677927966,-0.0148802192137605,-0.0114319433516916,-0.0138709677419355,-0.1426944971537,-0.143870967741935,-0.03,-0.0973840251133589,-0.05,-0.0663242480708693,-0.0288886278195489,-0.0304511278195489,-0.0447368421052632,0.0288704686118479,0.181803928468322,-0.05,-0.0711446960119527,-0.178115862573099,-0.0755649533723704,-0.0758002474900175,-0.0166666666666667,0.0857142857142857,0.0857142857142857,0.0804511278195489,-0.100146073507703,0.0826062938434249,-0.076352698324294,-0.0784103114930183,0.0883403888928751,0.0922077922077922,0.103308528611408,0.0857142857142857,0.0857142857142857,0.0736781609195402,0.0633333333333333,-0.0784959890766342,-0.0784959890766342,0.0239180794933676,0.022296457871746,0.0199932259779458,-0.0317276114689908,-0.0313704686118479,0.0524337994307035,-0.0682419562419562,0.16,-0.00637240551129756,0.0973840251133589,0.0973840251133589,0.101542440954943,0.00342411299548388,0.0456732205579555,0.0126074919410333
"NFB",0.103451842275372,-0.180035460992908,-0.129508895887227,-0.128383203305803,-0.133670867738664,-0.136495726495726,-0.153418803418803,-0.136495726495726,-0.153418803418803,-0.161111111111111,0.0250172541601697,-0.15,-0.00169018746101454,0.133011583011583,0.133011583011583,0.135714285714286,-0.112265512265512,-0.334818603611768,0.285714285714286,-0.00567890314020345,-0.0724858143184836,-0.0408686868686869,-0.0465648894003324,0.3,0.12,0.12,0.108888888888889,0.116437908496732,0.120387914841538,-0.104069611780455,-0.108888888888889,0.0744033613445378,0.0802857142857143,0.145081967213115,0.0602857142857143,0.0642857142857143,0.0368686868686869,0.0277777777777778,-0.0695810215193155,-0.0695810215193155,-0.0525494998384597,-0.0536647414741474,-0.0480189444198732,0.102588092910674,0.104329004329004,0.0436643123941167,-0.0611721611721612,0.161111111111111,0.0332656948480578,-0.0250172541601697,-0.0250172541601697,-0.022529691971115,0.0711055688208891,0.134248535484491,0.129873399384234
"SMAD",-0.204285135638519,-0.109976859373022,-0.078872602978573,-0.0691288093554733,-0.0701147610559375,-0.0653874883286648,-0.0712698412698413,-0.0521672771672772,-0.057936507936508,-0.0657142857142857,-0.151835006332823,-0.08,-0.0734766479301449,-0.19181512605042,-0.18781512605042,-0.197619047619048,-0.127093596059113,0.08387529344996,-0.183333333333333,-0.0911712511091393,-0.137429029579254,-0.135204335884956,-0.13600114863396,-0.15,-0.133333333333333,-0.145833333333333,-0.150833333333333,-0.0743806684828444,0.0402457363425105,0.147013545467981,0.144411314984709,0.150212690535271,0.161751152073733,0.08022412656559,0.161751152073733,0.171428571428571,0.144701542588867,0.14047619047619,-0.0684753037127177,-0.0684753037127177,0.0604234122042341,0.160423412204234,0.18009452419678,0.118363437328955,0.119047619047619,0.050247701542436,-0.0618584338715391,0.0523809523809524,0.160879486105293,0.151835006332823,0.151835006332823,0.156769216859139,0.0262105516028232,0.0564838239298671,0.0686222237425047
"Wnt",0.100940438871473,-0.135757575757576,-0.0359745762711864,-0.0786523427774735,-0.0842105263157895,-0.1,-0.1,-0.1,0,-0.1,0.116541353383459,0,0.0128317688631517,0.0733333333333333,0.0733333333333333,0.133333333333333,-0.135714285714286,0.0328448275862069,0.1,-0.121212121212121,-0.303076923076923,-0.286666666666667,-0.286666666666667,0.1,0,0,0,-0.0976470588235294,0.215424430641822,0.032034632034632,0.0272727272727273,0.232941176470588,0.18,0.27,0.2,0.1,0.266666666666667,0.3,-0.061453849832616,-0.061453849832616,0.0766845557543232,0.0743589743589744,0.081025641025641,0.160714285714286,0.15,0.0367676767676768,-0.0980392156862745,0,0.0647303921568627,-0.116541353383459,-0.116541353383459,-0.139268626110731,4.58956202465263e-05,0.0842105263157895,0.0806390977443609
"IKK",0.101098901098901,-0.185,-0.134894323553541,-0.129873399384234,-0.136495726495726,-0.153418803418803,-0.161111111111111,-0.153418803418803,-0.161111111111111,-0.15,0.0123411978221416,-0.1,-0.00185630041782517,0.133011583011583,0.135714285714286,0.285714285714286,-0.104329004329004,-0.339290148327215,0.3,-0.00252100840336134,-0.0696969696969697,-0.0368686868686869,-0.0408686868686869,0.2,0.1,0.12,0.12,0.118660130718954,0.126689284704552,-0.108888888888889,-0.108888888888889,0.0802857142857143,0.0602857142857143,0.145081967213115,0.0642857142857143,0.05,0.0277777777777778,0.05,-0.056937343358396,-0.056937343358396,-0.0536647414741474,-0.0506944444444445,-0.0462332301341589,0.112265512265512,0.109090909090909,0.0324860646599777,-0.0765567765567765,0.15,0.0361433926897844,-0.0123411978221416,-0.0123411978221416,-0.0250172541601697,0.0698214596716114,0.136495726495726,0.133670867738664
"FUS",0.0248490499229208,0.255136717355608,0.105616946443405,0.096558792683129,0.101531823085221,0.104444444444444,0.0933333333333333,-0.00138888888888889,-0.0125,0.1,0.165395796064401,0.1,0.0443353070852646,0.0912967032967033,0.0951428571428571,0.107142857142857,-0.00590909090909091,0.313740570084283,0.15,0.0580971659919028,-0.198475499092559,-0.091036036036036,-0.0984828445466744,0.1,0.133333333333333,0.0133333333333333,-0.0116666666666667,-0.0925170242617117,0.0880416195693128,0.00914141414141414,0.00611111111111111,0.124010931597138,0.127459207459207,0.119281623302242,0.112307692307692,0.12,0.0883333333333333,0.08,-0.0383600221829399,-0.0383600221829399,0.0323911930363543,0.0317460317460317,0.026389552476509,-0.000909090909090909,-0.00909090909090909,0.0326678960843643,-0.0180783242258652,0,-0.0931338050615159,-0.165395796064401,-0.165395796064401,-0.159718940169204,-0.0085323127835614,0.00331196581196581,-0.0992761839874768
"Destcompl",0.00383864452487544,-0.132914820822099,-0.0100330277552564,-0.0266523600932585,-0.02764325794381,-0.02764325794381,-0.0331158947597304,-0.0281653997102254,-0.0331158947597304,-0.0317460317460317,0.0258995131724367,-0.0388888888888889,-0.0907593422450213,0.0105069553274981,0.0071512506295115,0.0134575569358178,-0.0263983548766157,-0.119791881265126,0.00476190476190476,-0.0620216694741514,-0.0907900949029535,-0.0788162524537946,-0.0797029519611838,0.0333333333333333,0.0777777777777778,0.0743295019157088,0.071472359058566,-0.000820391171310103,0.030448722169331,-0.0699871063551455,-0.0709542243435401,0.0416714239623557,0.0370300737513852,0.0477986627678312,0.0474125874125874,0.0292307692307692,0.0782899366643209,0.0789795918367347,-0.0379246876055387,-0.0379246876055387,0.0213659147869674,0.0200793650793651,0.0246727631343016,0.0269995572814254,0.0296592244418331,0.0358674397665551,-0.0549272109024964,0.0317460317460317,0.026644949500496,-0.0258995131724367,-0.0258995131724367,-0.0285682729840536,-0.0136523688470767,0.0279798709532681,0.0269583264369607
"SUFU",0.0220212864267768,0.253965757168254,0.102479156538903,0.0963030382074256,0.0992761839874768,0.101531823085221,0.104444444444444,-0.00331196581196581,-0.00138888888888889,0.0933333333333333,0.159718940169204,0.1,0.0446011231405544,0.100021535511468,0.0912967032967033,0.0951428571428571,0.000909090909090909,0.313015454725022,0.107142857142857,0.0629922708870077,-0.195745970556579,-0.0984828445466744,-0.0959187419825718,0.15,0.0133333333333333,-0.0116666666666667,-0.00611111111111111,-0.089424240756557,0.0905969858384781,0.00875531375531376,0.00914141414141414,0.132947101809904,0.124010931597138,0.116424480445099,0.127459207459207,0.112307692307692,0.091036036036036,0.0883333333333333,-0.0286981864341477,-0.0286981864341477,0.034007821211874,0.0323911930363543,0.026389552476509,0.00464646464646465,0.00590909090909091,0.0211437325155911,-0.0330483841061047,0.0125,-0.0914710972230361,-0.159718940169204,-0.159718940169204,-0.160668307257812,-0.0104890584066304,0.00591419629523719,-0.096558792683129
"SMO",0.0225079127991749,0.254515599343186,0.105058287225528,0.0992761839874768,0.104444444444444,0.0933333333333333,0.1,-0.0125,0,0.1,0.151442307692308,0.1,0.0468170589100822,0.0951428571428571,0.107142857142857,0.15,0.00909090909090909,0.31320197044335,0.1,0.0657894736842105,-0.191896551724138,-0.0883333333333333,-0.091036036036036,0,0.1,0.133333333333333,0.0133333333333333,-0.0919934640522876,0.0937019969278034,0.00611111111111111,0.0116666666666667,0.127459207459207,0.112307692307692,0.114126984126984,0.12,0.1,0.08,0.1,-0.0230225988700565,-0.0230225988700565,0.0317460317460317,0.0333333333333333,0.0278388278388278,0.00590909090909091,0,0.0188065099457504,-0.0361111111111111,0,-0.0943386243386243,-0.151442307692308,-0.151442307692308,-0.165395796064401,-0.0120939566191778,0.00138888888888889,-0.101531823085221
"RKIP",-0.28360914105595,-0.0898499765588373,-0.194018219900573,-0.093899404465897,-0.0901484480431849,-0.0824561403508772,-0.0666666666666667,-0.0766666666666667,-0.0666666666666667,0,-0.257142857142857,0,-0.0839581128618695,-0.235497835497835,-0.214285714285714,-0.214285714285714,-0.00707070707070707,0.25874919857784,-0.2,0.0482539682539683,-0.0022693781314471,0.0019047619047619,0.00470850022251891,-0.2,-0.1,-0.1,-0.1,-0.0350297088532383,-0.0229945647720755,0.0783606557377049,0.08,-0.00421129860601614,0.023448275862069,0.00826330532212885,0.02,0.07,0.0266666666666667,0.0333333333333333,-0.0116958393113343,-0.0116958393113343,0.0942055694658041,0.0971758664955071,0.0992644212156407,-0.00446775446775447,-0.0111111111111111,-0.00760058429211566,0.00430416068866571,0,0.139210930552187,0.257142857142857,0.257142857142857,0.268253968253968,0.191005084210374,0.0843589743589744,0.0936449515396884
"RAF",-0.28360914105595,-0.0898499765588373,-0.194018219900573,-0.093899404465897,-0.0901484480431849,-0.0824561403508772,-0.0666666666666667,-0.0766666666666667,-0.0666666666666667,0,-0.257142857142857,0,-0.0839581128618695,-0.235497835497835,-0.214285714285714,-0.214285714285714,-0.00707070707070707,0.25874919857784,-0.2,0.0482539682539683,-0.0022693781314471,0.0019047619047619,0.00470850022251891,-0.2,-0.1,-0.1,-0.1,-0.0350297088532383,-0.0229945647720755,0.0783606557377049,0.08,-0.00421129860601614,0.023448275862069,0.00826330532212885,0.02,0.07,0.0266666666666667,0.0333333333333333,-0.0116958393113343,-0.0116958393113343,0.0942055694658041,0.0971758664955071,0.0992644212156407,-0.00446775446775447,-0.0111111111111111,-0.00760058429211566,0.00430416068866571,0,0.139210930552187,0.257142857142857,0.257142857142857,0.268253968253968,0.191005084210374,0.0843589743589744,0.0936449515396884
"ERK",-0.288934208506358,-0.0998214114083209,-0.194433325247578,-0.0931355155770081,-0.093899404465897,-0.0936449515396884,-0.0901484480431849,-0.0878554778554778,-0.0843589743589744,-0.0824561403508772,-0.267936507936508,-0.0666666666666667,-0.0853648417004003,-0.241261462049374,-0.236674306086071,-0.235497835497835,0.000818119431258117,0.253241727082729,-0.214285714285714,0.052568962860225,0.00389832803625907,0.00908806226631453,0.0118353150135673,-0.214285714285714,-0.1,-0.08,-0.0783606557377049,-0.0298517153257302,-0.0278022570797678,0.0699207580394952,0.0737854923390121,-0.106179729432386,-0.0975446319393495,-0.00117812555310939,-0.00421129860601614,0.023448275862069,-0.00470850022251891,-0.0019047619047619,-0.00513915889638616,-0.00513915889638616,0.087714917933149,0.0901465288753982,0.0932389790809836,-0.0038652108440005,-0.00446775446775447,-0.0126960435284418,-0.000529400642843639,0.0766666666666667,0.138524578586949,0.267936507936508,0.267936507936508,0.271566870972812,0.187856020000379,0.0881061044218939,0.093899404465897
"cateninmemb",0.169249405191037,0.322202089805007,0.233572967939538,0.246496299480512,0.252006216191073,0.2570229385991,0.263109895120839,0.257937481327736,0.263109895120839,0.26078431372549,0.246127450980392,0.266666666666667,0.158891248172804,0.223655603655604,0.221058201058201,0.224761904761905,0.0702086519015439,0.351290438332419,0.22,0.0689551924407932,-0.1624210311998,-0.188456762749446,-0.187552603617438,0.2,-0.233333333333333,-0.266666666666667,-0.272916666666667,-0.235413566047151,0.00789280655448602,0.27614247311828,0.27614247311828,0.15728173181175,0.149830751419593,0.0165845568734814,0.146737967914438,0.129090909090909,0.183090909090909,0.179090909090909,-0.000843420930357675,-0.000843420930357675,0.0638603361757378,0.0616811594202899,0.0407430232617757,-0.0646324437231053,-0.0733014354066986,0.00269507029283566,0.0208626347866854,-0.26078431372549,-0.239914875098336,-0.246127450980392,-0.246127450980392,-0.245010132544638,-0.110719611405366,-0.253270814661069,-0.248643825157449
"SHH",-0.0102564102564103,-0.247619047619048,-0.103655913978495,-0.104444444444444,-0.1,-0.1,-0.1,0,0,-0.1,-0.15,0,-0.047012987012987,-0.15,-0.1,0,0,-0.30367816091954,0,-0.05,0.175,0.1,0.08,0,-0.2,-0.2,-0.1,0.075,-0.0833333333333333,0.0133333333333333,0.133333333333333,-0.12,-0.1,-0.08,-0.1,0,-0.1,0,0,0,-0.0333333333333333,0,0,0,0.1,0,0.05,0,0.105714285714286,0.15,0.15,0.157692307692308,0.0252777777777778,0,0.0933333333333333
"SNAI2",-0.221608178005918,-0.387679835633078,-0.404286640462869,-0.318785940736684,-0.325707244444182,-0.326782513261387,-0.31974025974026,-0.326782513261387,-0.31974025974026,-0.305454545454545,-0.301771743354906,-0.26,-0.213987096042226,-0.27085583714167,-0.267241379310345,-0.25,-0.129824561403509,-0.0336358975597435,-0.2,-0.102434077079107,0.200477779590831,0.230999066293184,0.238452482442252,-0.1,0.2,0.26,0.301176470588235,0.288128064888103,-0.00745813214433089,-0.327994521752363,-0.319543817527011,-0.1767355590885,-0.168627450980392,-0.0133717948717949,-0.150980392156863,-0.133333333333333,-0.219887955182073,-0.196078431372549,0.00022676735892595,0.00022676735892595,-0.0732221077662145,-0.0670020120724346,-0.0398131404460518,0.124629756208704,0.13859649122807,-0.00241392848923006,-0.0275,0.305454545454545,0.30783495287043,0.301771743354906,0.301771743354906,0.303598227373171,0.379100253208529,0.326247753903098,0.322202089805007
"Ecadherin",-0.169249405191037,-0.322202089805007,-0.325174875937071,-0.246496299480512,-0.252006216191073,-0.2570229385991,-0.263109895120839,-0.257937481327736,-0.263109895120839,-0.26078431372549,-0.246127450980392,-0.266666666666667,-0.158891248172804,-0.223655603655604,-0.221058201058201,-0.224761904761905,-0.0702086519015439,-0.351290438332419,-0.22,-0.0689551924407932,0.1624210311998,0.188456762749446,0.187552603617438,-0.2,0.233333333333333,0.266666666666667,0.272916666666667,0.235413566047151,-0.00789280655448602,-0.27614247311828,-0.27614247311828,-0.15728173181175,-0.149830751419593,-0.0165845568734814,-0.146737967914438,-0.129090909090909,-0.183090909090909,-0.179090909090909,0.000843420930357675,0.000843420930357675,-0.0638603361757378,-0.0616811594202899,-0.0407430232617757,0.0646324437231053,0.0733014354066986,-0.00269507029283566,-0.0208626347866854,0.26078431372549,0.239914875098336,0.246127450980392,0.246127450980392,0.245010132544638,0.092774820407675,0.253270814661069,0.248643825157449
"MEK",-0.289751647198456,-0.0970571837660445,-0.196457244290817,-0.093899404465897,-0.0936449515396884,-0.0901484480431849,-0.0824561403508772,-0.0843589743589744,-0.0766666666666667,-0.0666666666666667,-0.268253968253968,0,-0.083748907840949,-0.236674306086071,-0.235497835497835,-0.214285714285714,0.00446775446775447,0.25558618154621,-0.214285714285714,0.0593650793650794,0.00133422547215651,0.00470850022251891,0.00908806226631453,-0.2,-0.1,-0.1,-0.08,-0.0302678040913335,-0.0236355904131011,0.0737854923390121,0.0783606557377049,-0.0975446319393495,-0.00421129860601614,0.003000147427392,0.023448275862069,0.02,-0.0019047619047619,0.0266666666666667,0.00100257338707841,0.00100257338707841,0.0901465288753982,0.0942055694658041,0.0956280575792771,-0.000818119431258117,0.00707070707070707,-0.020294082744128,-0.0113821138211382,0.0666666666666667,0.140030602683334,0.268253968253968,0.268253968253968,0.267936507936508,0.186997798235875,0.0878554778554778,0.093899404465897
