"","TCFLEF","cMet","GLI","Wnt","SRC","ZEB1","Destcompl","NOTCH","Jagged","FOXC2","TGFR","RAS","RAF","PI3K","DELTA","EGR1","SMO","cfos","FUS","SHH","Patched","GSK3","AKT","ERK","SUFU","HEY1","ILK","Csn","TWIST1","TrCP","NFB","ZEB2","IKK","SMAD","MEK","SNAI1","miR200","RKIP","SNAI2","TGF","Csl","NOTCHic","CDC42","KLF4","SOSGRB2","PAK1","AXIN2","LIV1","Ecadherin","DSH","Frizzled","STAT","CD44","cateninmemb","cateninnuc"
"EGR1",-0.0496914736518697,-0.0553753753753754,-0.0568991584652689,-0.0583625730994152,-0.0688888888888889,-0.0389194873545909,-0.0722083216339604,0.0883516483516484,0.0929053766189502,-0.0379458764161678,-0.0316653934300993,-0.00735407639281384,-0.010535894574632,-0.010535894574632,-0.010535894574632,0.04,-0.0981566820276498,0.0617391304347826,-0.114285714285714,-0.0825764351140695,-0.0845764351140695,-0.104814935064935,0.0850146198830409,0.0498747236551216,-0.147619047619048,0.0681335802686892,0.0574586106844171,-0.133333333333333,0.00715302089215133,-0.133333333333333,-0.0958333333333333,-0.0448573568981065,-0.0905701754385965,-0.0626199010069978,-0.0445413903217883,-0.0224181846169097,0.00461256337637347,0.0209536504011642,-0.0374453634695712,0.0404085628290064,-0.0846153846153846,-0.0861538461538462,0.0240896358543417,-0.0380228987769971,0.0708195819581958,0.0142857142857143,0.0629327384825108,0.1,-0.00643621407940485,0.08,0.0688888888888889,0.08,0.0533951773555734,0.0368938583558792,0.0491397495139387
"cfos",-0.0533951773555734,-0.0688888888888889,-0.0583625730994152,-0.0688888888888889,-0.08,-0.0360255966793497,-0.0743135847918552,0.0861538461538462,0.0904513888888889,-0.0296700143472023,-0.0240896358543417,-0.010535894574632,-0.0154139433551198,-0.0154139433551198,-0.0154139433551198,0.12,-0.114285714285714,0.04,-0.147619047619048,-0.0845764351140695,-0.0981566820276498,-0.105178571428571,0.0905701754385965,0.0617391304347826,-0.133333333333333,0.0651924037981009,0.0542328042328042,-0.133333333333333,0.00280519480519481,-0.1,-0.133333333333333,-0.0400342057727046,-0.0958333333333333,-0.0574586106844171,-0.0498747236551216,-0.0259981368842128,0.00308972073677956,0.0170862470862471,-0.0352753815527538,0.0316653934300993,-0.1,-0.0846153846153846,0.0142857142857143,-0.0413015873015873,0.0638888888888889,0.0285714285714286,0.0616748768472906,0.1,-0.00622860162265744,0.1,0.08,0.1,0.0553753753753754,0.0385422100042308,0.0496914736518697
"CDC42",-0.0533951773555734,-0.0688888888888889,-0.0583625730994152,-0.0688888888888889,-0.08,-0.0360255966793497,-0.0743135847918552,0.0861538461538462,0.0904513888888889,-0.0296700143472023,-0.0240896358543417,-0.010535894574632,-0.0154139433551198,-0.0154139433551198,-0.0154139433551198,0.02,-0.114285714285714,0.04,-0.147619047619048,-0.0845764351140695,-0.0981566820276498,-0.105178571428571,0.0905701754385965,0.0617391304347826,-0.133333333333333,0.0651924037981009,0.0542328042328042,-0.133333333333333,0.00280519480519481,-0.1,-0.133333333333333,-0.0400342057727046,-0.0958333333333333,-0.0574586106844171,-0.0498747236551216,-0.0259981368842128,0.00308972073677956,0.0170862470862471,-0.0352753815527538,0.0316653934300993,-0.1,-0.0846153846153846,0.0142857142857143,-0.0413015873015873,0.0638888888888889,0.128571428571429,0.0616748768472906,0.1,-0.00622860162265744,0.1,0.08,0.1,0.0553753753753754,0.0385422100042308,0.0496914736518697
"Destcompl",0.103724755219337,0.0990242849678548,0.0943992260562372,0.099408502494085,0.0766362252663622,-0.0982095135309751,-0.0445641153776696,0.155030338781755,0.0917810782571042,-0.169708745559017,-0.183517167302493,0.167819787165576,0.160441451215812,0.160441451215812,0.160441451215812,-0.0958974358974359,0.050727969348659,-0.129230769230769,0.010727969348659,0.0509544653749566,0.0294844460325968,0.0260906709585213,0.181346480500259,-0.107919293820933,0.0555555555555556,0.0985117446655908,0.0893650793650794,-0.152380952380952,0.0574494107569704,-0.166666666666667,-0.182815734989648,-0.0372988341189081,-0.163896816070729,-0.10234753550543,0.126484694664815,0.0428304924117605,0.0274953559338333,0.0660531341296744,-0.0764895063402099,0.187359531834512,-0.154069721895809,-0.135591461026244,0.182990851513019,-0.0759069239149752,-0.00174978173747489,0.178163265306122,-0.0656865836750711,-0.0444444444444444,-0.0543150753357485,-0.0944444444444444,-0.0766362252663622,-0.0944444444444444,-0.0945466730275563,-0.0874417849186993,-0.102857850578848
"Csl",-0.134671224812991,-0.12962370962371,-0.135830137604331,-0.131797879539815,-0.130722610722611,-0.0197139705162765,-0.0987429267868025,0.0206054726258462,0.0284787215023142,0.0073285509977072,0.0154141040567998,-0.092619039983446,-0.0911484517481519,-0.0911484517481519,-0.0911484517481519,0.0533333333333333,-0.129374057315234,0.089047619047619,-0.13525641025641,-0.115395562691578,-0.115395562691578,-0.115967495556579,0.0514211886304909,0.0833333333333333,-0.158333333333333,-0.0460522001442718,0.0449948612538541,-0.122222222222222,-0.0470015722668869,-0.133333333333333,-0.0777777777777778,-0.0345314543464916,-0.0661498708010336,-0.0449948612538541,-0.0865942028985507,-0.0538264392612219,0.00208736218256789,-0.00641803532182513,-0.00166649524385921,-0.0129197729910401,-0.0366820276497696,-0.0287872908076643,-0.0122293906810036,-0.024247757073844,0.0902843583459758,-0.00577777777777778,0.0961411179401188,0.12,0.0531593046363469,0.127692307692308,0.130722610722611,0.127692307692308,0.133297179011465,0.127261356165086,0.137129772554558
"NOTCHic",-0.133297179011465,-0.130722610722611,-0.131797879539815,-0.130722610722611,-0.127692307692308,-0.0175040257648953,-0.0990476190476191,0.0287872908076643,0.0310828881689809,0.0107768268597762,0.0122293906810036,-0.0911484517481519,-0.0896706192358366,-0.0896706192358366,-0.0896706192358366,0.02,-0.13525641025641,0.0533333333333333,-0.158333333333333,-0.115395562691578,-0.129374057315234,-0.116703872581616,0.0661498708010336,0.089047619047619,-0.133333333333333,-0.0440914158305463,0.0457142857142857,-0.133333333333333,-0.0485817077070675,-0.1,-0.122222222222222,-0.0284541062801932,-0.0777777777777778,-0.0449948612538541,-0.0833333333333333,-0.05501221001221,-0.00248780121612492,-0.00872218278726292,-0.00308334833856465,-0.0154141040567998,0.0342857142857143,-0.0366820276497696,-0.00577777777777778,-0.034247757073844,0.0845933014354067,0.0222222222222222,0.0938274932614555,0.1,0.0514151185898353,0.12,0.127692307692308,0.12,0.12962370962371,0.12420325218955,0.134671224812991
"Wnt",0.062781954887218,0.05,0.0342105263157895,0.05,0,-0.108369201339072,0.0452061831597628,0.210714285714286,0.0844117647058824,-0.241133603238866,-0.266666666666667,0.201606288448394,0.18796992481203,0.18796992481203,0.18796992481203,-0.1,-0.1,-0.133333333333333,-0.1,-0.0844155844155844,-0.127272727272727,0.0484326018808777,0.2325,-0.133333333333333,0,0.114871794871795,0.105982905982906,-0.1,0.0944117647058824,-0.1,-0.2,-0.0281683405069345,-0.22,-0.112959650168952,0.150980392156863,0.1074016563147,-0.0094949494949495,0.163333333333333,-0.0612068965517241,0.26231884057971,-0.2,-0.185714285714286,0.3,-0.0745098039215686,0.0757575757575758,0.3,-0.0303030303030303,0,0.00931587426473344,-0.2,-0.1,-0.1,-0.0342105263157895,-0.0488983050847458,-0.0621197032315889
"ERK",0.00993890488014074,0.00666175929333824,0.000646721699353278,0.0013986013986014,-0.00242914979757085,-0.0313946646195768,0.0399361591581451,0.253298907722953,0.14128850124138,-0.0991677619263826,-0.103622153138491,0.217046193630352,0.215616050616051,0.215616050616051,0.215616050616051,0.149655172413793,-0.158972677595628,0.168804108584006,-0.157333333333333,-0.150106522437913,-0.158319082824387,0.170350387174551,0.266440602930079,0.0738041085840059,-0.153333333333333,0.175771175742873,0.153335943078034,-0.267857142857143,0.100969238579176,-0.242857142857143,-0.270887445887446,-0.0225820768099827,-0.26735803412274,-0.153639894445815,-0.0696258356035045,0.161724609282444,-0.00799994556671824,-0.0635790278580278,0.0980205819461207,0.104995779512118,-0.255361305361305,-0.25025181631021,0.108731642189586,-0.02728971338961,0.222322699953768,0.117142857142857,-0.00239326699345224,0,0.0625079074521375,0,0.00769230769230769,-0.00526315789473684,-0.00640730636712959,0.0697778757995563,-0.00993890488014074
"STAT",-0.279444044388839,-0.268993506493506,-0.273195187165775,-0.268993506493506,-0.255357142857143,-0.0021785906401291,-0.161659449892778,-0.0795298439501752,-0.0644725008446044,0.0301785957736878,0.0324760765550239,-0.222112838413392,-0.216888957816377,-0.216888957816377,-0.216888957816377,0.0333333333333333,-0.168333333333333,0.0933333333333333,-0.175,-0.145859573300405,-0.152054263565891,-0.1772318647085,0.0117191283292978,0.116862745098039,-0.15,0.0366666666666667,0.0311594202898551,-0.1,-0.18007781823374,-0.1,-0.08,-0.0182087143625605,-0.0371428571428572,-0.0242628685657171,-0.124389626818469,-0.0845531084497969,-0.00795055208230846,-0.0354182754182754,0.0887511084780997,-0.0377900862168597,0.0294117647058824,0.0591414944356121,-0.0193181818181818,0.0893741334917806,0.162151067323481,0.0181818181818182,0.160300483829896,0.3,0.214776560854871,0.242857142857143,0.255357142857143,0.242857142857143,0.271557609057609,0.27799876333622,0.283138919239852
"NFB",-0.0660624714626002,-0.071025641025641,-0.0620368769806972,-0.071025641025641,-0.0602564102564102,0.00737625673378849,0.0388411334773037,0.11313038216264,0.0160256686871683,-0.0684855383660165,-0.0589656565656566,0.132940216989743,0.135925291616608,0.135925291616608,0.135925291616608,-0.0142857142857143,-0.111111111111111,-0.00228571428571429,-0.1,-0.102469648709782,-0.0904214559386973,0.124730661495367,0.205877305877306,-0.0267301587301587,-0.12,0.101901813356922,0.0941212871287129,-0.114285714285714,0.0236834733893557,-0.1,-0.214285714285714,-0.00307343070319477,-0.216988416988417,-0.0840841124075233,0.0130046685340803,-0.0115024535148973,0.00835544463417838,0.010739806641446,-0.00317758502591741,0.0583327451732515,-0.112987012987013,-0.124098124098124,0.0565656565656566,0.0174908424908425,0.0707872622733304,0.0611111111111111,0.0581864235055724,0.05,0.0281736191775905,0.0833333333333333,0.0602564102564102,0.0833333333333333,0.0614211212516297,0.0649615918092082,0.0620624714626002
"TCFLEF",-0.0893518255286394,0.0038034188034188,0.0275337805133202,0.0126269482151835,0.0183333333333333,-0.048302011341485,-0.0706300674895529,0.181111635427474,0.11279753327945,-0.107018760546925,-0.103541036229582,0.0461017112482503,0.0493868623652017,0.0493868623652017,0.0493868623652017,-0.0857142857142857,0,-0.0442508710801394,0,0.0202157134375618,0.0306451612903226,-0.113086556562876,0.0925665652720351,-0.0642508710801394,-0.0333333333333333,0.0427850413930916,0.0182292093871041,-0.151948051948052,0.0708528666678825,-0.142857142857143,-0.123948051948052,-0.00290727449937976,-0.1110448261416,-0.0100074120639684,0.0526862452297992,-0.0677322537991994,-0.019111076339992,0.0582187629150021,0.00412181974476564,0.106521168679913,-0.192172804080982,-0.198055157022158,0.0960644007155635,-0.076106124267889,-0.0173198218946722,0.107692307692308,0.00981538461538461,-0.0333333333333333,0.0457650210645551,0.00784313725490196,-0.027156862745098,0.0166666666666667,-0.0201556200612804,0.109401377196328,0.0838535437416978
"Csn",0.100606337387099,0.0984212712920648,0.0936177778422832,0.0984212712920648,0.0827586206896552,-0.0116774193548387,0.0565594311189192,0.140759240759241,0.020560556750046,-0.11092597277015,-0.122646383467279,0.207255055793612,0.203224345620868,0.203224345620868,0.203224345620868,-0.09,0.0183261183261183,-0.108181818181818,0.00317460317460317,0.0196129154352317,0.00649816133687101,0.0981067309741871,0.1288,-0.0938961038961039,0.0142857142857143,0.00753875968992248,-0.00052148033126294,-0.12,0.0821676796010597,-0.02,-0.128333333333333,-0.00195864350703061,-0.12,-0.00539111606976534,0.106396103896104,0.0923338752926905,0.00202099732747234,0.11006018371872,-0.0317012083906512,0.123839700889713,-0.140909090909091,-0.129220779220779,0.126492537313433,-0.0200890612655319,-0.0218424997117491,0.125,-0.0718905413912496,-0.0666666666666667,-0.0145874752411338,-0.1,-0.0827586206896552,-0.1,-0.0935323824031759,-0.0490701789566789,-0.0992232946931721
"SHH",-0.283333333333333,-0.2,-0.15,-0.1,-0.1,-0.05,-0.0651948051948052,-0.2,-0.0942857142857143,0.075,-0.0666666666666667,-0.223076923076923,-0.2,-0.2,-0.2,0,0.1,-0.1,0.2,-0.16,0,-0.0256410256410256,-0.05,0,0.2,0.133333333333333,0.133333333333333,0,-0.15,0,0,0,0.1,-0.0833333333333333,-0.1,-0.0833333333333333,-0.0333333333333333,-0.02,0.0799233716475096,-0.0133333333333333,0.1,0.2,0.166666666666667,0,0.15,0.2,0.0857142857142857,0,0.0538888888888889,0,0,0.1,0.25,0.217921146953405,0.288888888888889
"ZEB2",-0.221924058973725,-0.212456140350877,-0.202993734094651,-0.199324009324009,-0.196666666666667,-0.153047075906475,-0.129676178916599,-0.12309709962169,-0.121696756908,-0.111527583527584,-0.101026592455164,-0.0827945715954281,-0.077012987012987,-0.077012987012987,-0.077012987012987,-0.0666666666666667,-0.0421428571428571,-0.0403508771929825,-0.0392857142857143,-0.0381738992714602,-0.0372648083623693,-0.0363990989232656,-0.0290939771547248,-0.0274476513865309,-0.025,-0.0238799909767652,-0.0126283341072073,-0.0111111111111111,-0.0111022388602811,0,0.00138888888888889,0.00544898034996578,0.0169444444444444,0.0187258950828171,0.0201305782157991,0.0261603815683281,0.0301169364794965,0.058743961352657,0.0621127051272926,0.0936191850477565,0.0974358974358975,0.109435897435897,0.10987012987013,0.11084625164577,0.124487179487179,0.12987012987013,0.146444428095359,0.15,0.171493198331378,0.177272727272727,0.183939393939394,0.19,0.215233918128655,0.222662464272468,0.224131851181518
"SMO",-0.299568500539374,-0.283333333333333,-0.180555555555556,-0.175,-0.25,-0.0535310734463277,-0.0673244584872492,-0.244090909090909,-0.145740740740741,0.118448275862069,0.055,-0.251129248658318,-0.241826923076923,-0.241826923076923,-0.241826923076923,0,-0.16,0.1,0,-0.135,-0.135,-0.0331306234218856,-0.0717142857142857,0.0923076923076923,0.1,0.0556776556776557,0.0633333333333333,0.1,-0.174509803921569,0,0.05,0.013135593220339,0.0357142857142857,-0.0458730158730159,-0.125641025641026,-0.0678955453149001,-0.0143459915611814,-0.0573015873015873,0.0909709906951286,-0.0631081081081081,0.2,0.209090909090909,-0.0133333333333333,0.0361111111111111,0.178070175438596,0.0666666666666667,0.106090461262875,0.1,0.0771325388011162,0.1,0.15,0.2,0.288888888888889,0.229706475971744,0.304831658434111
"ZEB1",-0.353505262662861,-0.337887650369716,-0.336286946646514,-0.327695881354418,-0.322201375859912,-0.14085417859913,-0.148456717701622,-0.220085885593907,-0.188073561485865,-0.0494576681748443,-0.0222310587515041,-0.225006031022909,-0.219494219999287,-0.219494219999287,-0.219494219999287,-0.0166666666666667,-0.0409090909090909,-0.00466666666666667,-0.05,-0.0410905157922114,-0.0428698752228164,-0.0398595770189423,-0.121753564238465,0.0176862745098039,-0.025,-0.0479184028406826,-0.0324420804720888,0.0666666666666667,-0.140904710587749,0.0666666666666667,0.0824561403508772,0.016663512135335,0.110324992809894,0.034845926625935,-0.0225320894877775,0.00771029775051253,0.0227394430606269,0.0256015808820451,0.153462629220036,0.0147507437908742,0.183333333333333,0.206862745098039,0.0318757288022655,0.0194544289347726,0.109707602339181,0.0565134099616858,0.17319175234899,0.266666666666667,0.216706776502574,0.295238095238095,0.312311265969803,0.305128205128205,0.345526539258605,0.363344394737116,0.358201935852684
"IKK",-0.0614211212516297,-0.0602564102564102,-0.071025641025641,-0.0602564102564102,-0.0833333333333333,0.0077593984962406,0.0454856517497289,0.124098124098124,0.00523430178069353,-0.0664935064935065,-0.0565656565656566,0.135925291616608,0.131699939503932,0.131699939503932,0.131699939503932,0,-0.1,-0.0142857142857143,-0.12,-0.0904214559386973,-0.111111111111111,0.11492673992674,0.216988416988417,-0.00228571428571429,-0.1,0.0876160990712074,0.08125,-0.1,0.0100326797385621,0,-0.114285714285714,0.0172330827067669,-0.214285714285714,-0.0941212871287129,0.0267301587301587,0.00301809443030817,-0.00826086956521739,-0.0046448087431694,-0.013543438684454,0.0589656565656566,-0.127272727272727,-0.112987012987013,0.0611111111111111,-0.00366300366300366,0.0760504201680672,0.05,0.0709523809523809,0.1,0.0347546785676387,0.05,0.0833333333333333,0.05,0.071025641025641,0.0589425844174448,0.0660624714626002
"SUFU",-0.312440354086285,-0.299568500539374,-0.198413719696248,-0.192094017094017,-0.288888888888889,-0.0580863622640865,-0.0695978260468249,-0.269632034632035,-0.161606579392259,0.119192692735518,0.0641719378953422,-0.259249308356511,-0.25418601721727,-0.25418601721727,-0.25418601721727,0.0923076923076923,-0.135,0.125641025641026,-0.135,-0.131700596700597,-0.125909090909091,-0.0329010664582278,-0.103696732797404,0.129089301503095,-0.16,0.0409404459692569,0.0478084997439836,0.0357142857142857,-0.184251262333616,0.05,0.0717142857142857,0.017323376629248,0.0909450549450549,-0.046191871568464,-0.13206802490735,-0.0642666037829661,-0.0190425206936486,-0.0604154101503144,0.0944814153379262,-0.067130517776999,0.244090909090909,0.257727272727273,-0.0631081081081081,0.0416868448894561,0.17142681879524,-0.055,0.11517303941174,0.25,0.0857286760977882,0.175,0.180555555555556,0.283333333333333,0.304831658434111,0.242783522165925,0.31668587838296
