"","ZEB2","Destcompl","AXIN2","RKIP","PAK1","MEK","Frizzled","SNAI1","SMAD","Wnt","ILK","CD44","SHH","HEY1","cateninmemb","AKT","ZEB1","Jagged","RAS","RAF","PI3K","DELTA","Ecadherin","NOTCH","KLF4","miR200","TrCP","GSK3","NOTCHic","SUFU","Csl","Csn","Patched","IKK","SMO","TCFLEF","STAT","LIV1","EGR1","cateninnuc","cMet","SRC","FOXC2","GLI","DSH","SOSGRB2","CDC42","ERK","cfos","FUS","TGF","NFB","TGFR","TWIST1","SNAI2"
"SNAI1",-0.0741510421384932,-0.140825141605743,-0.182917412234263,0.336352849705447,-0.0915966386554622,0.0984600647916522,-0.14682261208577,0.212131061019454,0.225192113057843,-0.150237246232111,0.221379074927462,-0.152427972526982,0.223116538548003,0.2052605000021,-0.127341148139869,0.207980019493177,0.444126108513151,0.191134791390994,0.128672255795642,0.128672255795642,0.128672255795642,0.128672255795642,-0.229370466516255,0.189403453689168,-0.0705935053659889,0.317894524053875,0.175,0.0537151215121512,-0.178791208791209,-0.171428571428571,-0.162307692307692,-0.1625,-0.21515537349946,-0.193396686159844,-0.19715537349946,0.154083144940776,0.136296296296296,0.14,-0.101739130434783,0.154392902297513,0.152057602156612,0.147107107107107,0.0987044655606153,0.149688800162642,0.136296296296296,0.0833661809577184,0.0976572447160683,-0.0953210513387374,-0.0966543846720708,-0.18110599078341,0.107095593032656,-0.173026315789474,0.103668173677817,-0.136417090156221,-0.0865770961339607
"STAT",-0.0739824278285817,-0.138205468996492,-0.189076413782296,0.286679536679537,-0.0954545454545455,0.0538393421884883,-0.139285714285714,0.267354169782634,0.214548281414848,-0.13474025974026,0.195008051529791,-0.142432567432567,0.181568909926597,0.184,-0.108918977175459,0.163712671509282,0.422951407566792,0.161031582380969,0.169708992259546,0.164485111662531,0.164485111662531,0.164485111662531,-0.263729003550747,0.152197200055567,0.0285700138641315,0.301911142908158,0,0.11886292834891,-0.149284578696343,-0.1,-0.141176470588235,-0.1,-0.168294573643411,-0.155238095238095,-0.156666666666667,0.144640769325312,0.114285714285714,0.2,-0.0333333333333333,0.144998337859281,0.13474025974026,0.139285714285714,0.0996373551465576,0.142303284950344,0.114285714285714,0.166420361247947,0.101704545454545,-0.0592156862745098,-0.0533333333333333,-0.15,0.111315529436239,-0.16,0.106967703349282,-0.0450255391784627,0.0265615517796773
"Destcompl",-0.0732518024169273,0.149929744215184,0.351957510606276,-0.323971090213844,0.23530612244898,0.0808869514659098,0.297325505544684,-0.351553437878504,-0.152752715121136,0.296335406534783,-0.14468253968254,0.296827993106873,-0.259029777237328,-0.116437750283904,-0.231932598007846,-0.329323124450058,-0.385277484104959,-0.317524887603108,-0.323362535391564,-0.322106648421392,-0.322106648421392,-0.322106648421392,0.0495725026817623,-0.316916994977028,-0.0873081089234124,-0.335435942111842,-0.233333333333333,-0.275161719399646,0.312708578143361,0.188888888888889,0.30075205640423,0.276190476190476,0.253807340099997,0.321940574114487,0.243962780514505,-0.296827993106873,-0.29047619047619,-0.283333333333333,-0.0687179487179487,-0.296573021153788,-0.296827993106873,-0.297325505544684,-0.210406583375531,-0.296149877777825,-0.29047619047619,-0.233746767385493,-0.244271639690359,-0.0783553058962895,-0.0778088578088578,0.226819923371648,-0.246869513685692,0.306625258799172,-0.246376902848254,0.0243404059213254,-0.315620192523246
"AKT",-0.0730118011374285,0.246218737996191,0.157940175348118,0.0442012590989573,0.0941176470588235,0.0223476981579102,0.106763285024155,0.0478756976983522,0.111680997247384,0.111378669639539,0.106630492196879,0.110813697888127,0.0537674313990103,0.0978277345062788,-0.169405805005128,0.0946478358243064,0.252620543031956,0.0263024282560706,-0.0382487473466183,-0.03848971120204,-0.03848971120204,-0.03848971120204,-0.211753101167735,0.0681368395569812,-0.0761977058029689,0.180623167219117,0.166666666666667,-0.0111855886049434,-0.073014888337469,-0.05,-0.0826923076923077,-0.2,-0.0485042735042735,-0.199698340874811,-0.0512820512820513,-0.108545656651013,-0.111111111111111,-0.1,0.00476190476190476,-0.108853348958706,-0.111378669639539,-0.106763285024155,-0.0884791246408705,-0.110820010421662,-0.111111111111111,-0.0567521367521368,-0.0981176470588235,-0.0210818753731001,-0.0128851540616247,-0.0666666666666667,-0.103924146211428,-0.217647058823529,-0.105434720229555,-0.136855161000668,-0.202161871319919
"GLI",-0.0714279740570063,-0.161399979570682,-0.192113526570048,0.280163960501597,-0.181666666666667,-0.0497321279089235,-0.229677419354839,0.308740577656158,0.249610508312568,-0.237912713472486,0.239880778582838,-0.166330068639952,0.342039788625002,0.223082265781756,-0.130071209771167,0.220548394796515,0.45397482505547,0.223641378149398,0.185405666457323,0.183227448635541,0.183227448635541,0.183227448635541,-0.240048774192189,0.21179076670456,-0.0722676962676963,0.324413409088332,0.133333333333333,-0.0136024548942117,-0.192743147656941,-0.304761904761905,-0.175243147656941,-0.188888888888889,-0.328459541711421,-0.195548394796515,-0.308051378446115,0.166654743964628,0.14,0.1,0.0571428571428571,0.168388156995112,0.159433516915814,0.149677419354839,0.100250257997936,0.143444628366103,0.22,0.281053135654906,0.188563218390805,0.046969696969697,0.0404761904761905,-0.292261904761905,0.206395256866572,-0.173099415204678,0.200512903925396,-0.155656974604343,-0.0776855650368448
"SNAI2",-0.0708214810153136,0.120546418921454,0.184553510986265,-0.130358974358974,0.13921568627451,0.127450980392157,0.129090909090909,-0.143904165259907,-0.0750281593869437,0.130499359795134,-0.072635814889336,0.12942409097793,-0.156301844681535,-0.0423447860156721,0.0814807057787086,-0.177111895859299,-0.182917348437172,-0.144996946687812,-0.166198543139879,-0.167111785149011,-0.167111785149011,-0.167111785149011,0.195269216367687,-0.184580770107086,-0.0871153846153846,-0.177583715222057,-0.1,-0.128958944576587,0.179385964912281,0.1,0.174122807017544,0.133333333333333,0.147851140456182,0.16867816091954,0.137647058823529,-0.12921790541092,-0.129090909090909,-0.12,-0.1,-0.128752066901603,-0.130499359795134,-0.129090909090909,-0.157791812091973,-0.128895081720268,-0.129090909090909,-0.194962812711291,-0.143977591036415,-0.127450980392157,-0.117647058823529,0.12,-0.147783929625362,0.158333333333333,-0.146541693600517,-0.0768932837483505,0.160605952757963
"miR200",-0.0704704301075269,-0.0734363109405612,-0.122954624759839,0.20991282877687,-0.0333333333333333,0.100080395794682,-0.04,0.21005846005846,0.205092208394009,-0.0498591549295775,0.190985625321909,-0.0579392721743259,0.194390937442671,0.171694915254237,-0.0545712106568575,0.19403887076181,0.352302867383513,0.157900071925198,0.164476676658908,0.160237275162648,0.160237275162648,0.160237275162648,-0.0986687488070283,0.171796498845008,-0.0623188405797101,0.194521856718699,0.1,0.0765169864759692,-0.171231527093596,-0.12,-0.150541871921182,-0.12,-0.187869198312236,-0.199699248120301,-0.191666666666667,0.0595265737616275,0.06,0,-0.0571428571428571,0.062102331337385,0.0568156766687079,0.0469565217391304,0.051720041476139,0.0509580560284786,0.06,0.0672727272727273,0.0549019607843137,-0.0925974025974026,-0.0971428571428571,-0.145,0.0570962593589574,-0.156842105263158,0.0565148640101202,-0.058282494601513,0.0611024492146295
"SMAD",-0.0684640200745003,-0.0379551820728291,-0.159776190323648,0.332554550729216,-0.0833333333333333,0.0695822650717624,-0.0952380952380952,0.326090201465201,0.230009214529762,-0.101007326007326,0.321913976434524,-0.119908326967151,0.31052070188602,0.256763346028603,-0.110087644973087,0.297217553688142,0.464087289039449,0.273048317274124,0.210421387679202,0.210092440310781,0.210092440310781,0.210092440310781,-0.209887611907504,0.268045977011494,-0.0696460662933178,0.333662335688777,0.2,0.130992850090594,-0.25376026272578,-0.275,-0.245714285714286,-0.277777777777778,-0.296766055045872,-0.277217553688142,-0.2775,0.119772641756838,0.108571428571429,0.08,-0.0571428571428571,0.121089764350557,0.114453781512605,0.108571428571429,0.0912771192485554,0.105323872769916,0.0952380952380952,0.0782238982549542,0.0847417840375587,-0.068620726610224,-0.0732718894009216,-0.2625,0.0971836367384868,-0.263492063492063,0.0920043538699609,-0.177334833096238,-0.0671878272838603
"Jagged",-0.0623188405797102,-0.036988416988417,-0.0342857142857143,0.256410256410256,0,0.0933333333333333,0,0.241666666666667,0.161904761904762,-0.02,0.166666666666667,-0.0430769230769231,0.157692307692308,0.0666666666666667,-0.0443552222425462,0.155555555555556,0.363768115942029,0.11974025974026,0.0315151515151515,0.0133333333333333,0.0133333333333333,0.0133333333333333,-0.121929824561404,0.202857142857143,-0.0666666666666667,0.260606060606061,0,0.00881226053639847,-0.16,0,-0.1,0,-0.15,-0.1,-0.1,0.0400466200466201,0,0,-0.1,0.0499367299367299,0.02,0,0.0528571428571429,0.0430769230769231,0,0.02,0,-0.06,0,0,0.0453333333333333,0,0.0333333333333333,-0.129,-0.136752136752137
"DELTA",-0.0623188405797102,-0.036988416988417,-0.0342857142857143,0.256410256410256,0,0.0933333333333333,0,0.241666666666667,0.161904761904762,-0.02,0.166666666666667,-0.0430769230769231,0.157692307692308,0.0666666666666667,-0.0443552222425462,0.155555555555556,0.363768115942029,0.11974025974026,0.0315151515151515,0.0133333333333333,0.0133333333333333,0.0133333333333333,-0.121929824561404,0.202857142857143,-0.0666666666666667,0.260606060606061,0,0.00881226053639847,-0.16,0,-0.1,0,-0.15,-0.1,-0.1,0.0400466200466201,0,0,-0.1,0.0499367299367299,0.02,0,0.0528571428571429,0.0430769230769231,0,0.02,0,-0.06,0,0,0.0453333333333333,0,0.0333333333333333,-0.129,-0.136752136752137
"SRC",-0.0614255765199161,-0.187374980092371,-0.200507883887968,0.224633431085044,0.0666666666666667,0.336497045931008,-0.125,0.118200237909547,0.188655761024182,-0.155,0.169736842105263,-0.156639344262295,0.179978213507625,0.185302879841112,-0.090504041311181,-0.0128205128205128,0.273233003893381,0.157568219242531,-0.150461941062692,-0.161068001668753,-0.161068001668753,-0.161068001668753,-0.238725348725349,-0.00142857142857144,0.0578811369509044,0.203826672522325,-0.1,-0.0651082251082251,0.0121428571428571,-0.0333333333333333,0.055,0.1,-0.177037037037037,0.0128205128205128,-0.173333333333333,0.162736905237905,0.2,0.2,-0.266666666666667,0.166092609935891,0.155,0.125,-0.0156349206349206,0.156639344262295,0.1,-0.101428571428571,-0.0166666666666667,-0.338383838383838,-0.293939393939394,-0.133333333333333,-0.00463203463203464,0.0666666666666667,-0.0119047619047619,-0.0164835164835165,-0.0104601619023908
"FUS",-0.0609328966067034,0.177503268530259,0.362623882863763,0.0210309278350515,0.02,0.157043646009163,0.1125,-0.00391705069124424,0.107055811571941,0.106944444444444,0.102539682539683,0.196256742179072,0.034520202020202,0.119557254339863,-0.208768862792075,-0.104791208791209,0.156960763924994,-0.0841964684133359,-0.262041982720235,-0.269465563506261,-0.269465563506261,-0.269465563506261,-0.130044616505481,-0.235606060606061,-0.0738615664845173,0.115952291431675,-0.1,-0.21110853407181,0.224242424242424,0.0666666666666667,0.224242424242424,0.1,-0.0436111111111111,0.0817142857142857,-0.0658333333333333,-0.19324922338208,-0.2,-0.2,-0.08,-0.189988353816862,-0.201111111111111,-0.206666666666667,-0.102631578947368,-0.101175213675214,-0.1,-0.0873144399460189,-0.02,-0.148997668997669,-0.133846153846154,-0.0533333333333333,-0.0237665324899367,0.0857142857142857,-0.0227027027027027,-0.0950033649294506,-0.385821553615771
"SUFU",-0.0599667130318242,0.176280514675926,0.360047770451585,0.0230717441615822,0.02,0.158320241753844,0.106944444444444,-0.00102096891952363,0.108210545983026,0.101175213675214,0.107055811571941,0.19324922338208,0.039539507039507,0.123171712171188,-0.206995329367791,-0.108146913489195,0.155994580350115,-0.0806335230451649,-0.260459704239222,-0.262041982720235,-0.262041982720235,-0.262041982720235,-0.128911763776336,-0.235606060606061,-0.0780531832509844,0.113721808160299,-0.1,-0.211879742298031,0.235606060606061,-0.0533333333333333,0.224242424242424,0.0857142857142857,-0.034520202020202,0.104791208791209,-0.0436111111111111,-0.189988353816862,-0.206666666666667,-0.2,-0.133846153846154,-0.189323392180034,-0.196256742179072,-0.201111111111111,-0.0999020504113883,-0.0985729831919423,-0.1125,-0.0908109434425224,-0.0227027027027027,-0.157043646009163,-0.148997668997669,-0.0658333333333333,-0.0204134752907257,0.0817142857142857,-0.0237665324899367,-0.0935600659603784,-0.383646207537986
"Wnt",-0.0583931133428981,0.235106399539221,0.167272727272727,0.0216666666666667,0.1,0.00431372549019608,0.2,-0.00191511387163561,0.0893261776982707,0.125,0.11025641025641,0.119736842105263,0.0534632034632035,0.0969230769230769,-0.148389830508475,0.111666666666667,0.206312769010043,0.0262990196078431,-0.106049213943951,-0.101503759398496,-0.101503759398496,-0.101503759398496,-0.169192799070848,0.0726190476190476,-0.0705882352941176,0.14969696969697,0.1,-0.102194357366771,-0.0642857142857143,0,-0.05,-0.1,-0.0772727272727273,-0.0866666666666667,-0.05,-0.12687969924812,-0.1,0,0,-0.126217447592491,-0.125,-0.1,-0.0969230769230769,-0.119736842105263,-0.2,-0.0424242424242424,-0.133333333333333,0.0133333333333333,0.0333333333333333,0,-0.11768115942029,-0.0666666666666667,-0.113333333333333,-0.119411764705882,-0.188620689655172
"Patched",-0.0583333333333333,0.184535464535465,0.361038961038961,0.02,-0.1,0.133846153846154,0.1,0.0032258064516129,0.12,0.1,0.15,0.206666666666667,0.0658333333333333,0.156410256410256,-0.212240143369176,-0.0857142857142857,0.158333333333333,-0.0734391534391534,-0.276442307692308,-0.257692307692308,-0.257692307692308,-0.257692307692308,-0.128473570658037,-0.224242424242424,-0.0888888888888889,0.116666666666667,0,-0.226739926739927,0.233333333333333,0,0.2,0,-0.0533333333333333,0.1,0.0666666666666667,-0.201111111111111,-0.1,-0.1,-0.1,-0.196256742179072,-0.2,-0.2,-0.1,-0.1125,0,-0.0666666666666667,0,-0.08,-0.1,0.1,-0.02,0.1,-0.02,-0.103703703703704,-0.386360153256705
"SMO",-0.0566384180790961,0.179109107946317,0.36448723690103,0.02,0,0.148997668997669,0.1,-0.00391705069124424,0.102539682539683,0.1125,0.12,0.201111111111111,0.0436111111111111,0.132600732600733,-0.209327522009952,-0.0817142857142857,0.160028248587571,-0.0805820105820106,-0.269465563506261,-0.276442307692308,-0.276442307692308,-0.276442307692308,-0.130318589108221,-0.224242424242424,-0.0722222222222222,0.117932489451477,0,-0.214118567516626,0.224242424242424,0.1,0.233333333333333,0.1,-0.0658333333333333,0.0857142857142857,-0.0533333333333333,-0.196256742179072,-0.2,-0.1,-0.1,-0.19324922338208,-0.206666666666667,-0.2,-0.1,-0.106944444444444,-0.1,-0.0719298245614035,-0.02,-0.133846153846154,-0.08,0.0666666666666667,-0.0227027027027027,0.1,-0.02,-0.100762527233115,-0.386360153256705
"ZEB1",-0.044726692891434,-0.101273869984194,-0.179751286685413,0.348877724467666,-0.113026819923372,0.12583398116956,-0.0600464576074332,0.353375138586316,0.354431004186144,-0.0562003037612794,0.347219465724606,-0.0670524010104354,0.347889667028248,0.311032344167059,-0.0524443684814135,0.347469904268869,0.472424241983727,0.26393987160347,0.19908847627019,0.196096350285938,0.196096350285938,0.196096350285938,-0.206840584241696,0.292392845567979,-0.0391857622547547,0.380504118312486,0.233333333333333,0.120327626848661,-0.282475490196078,-0.258333333333333,-0.26875,-0.273333333333333,-0.338992869875223,-0.32889847569744,-0.317424242424242,0.069446018031712,0.0435897435897436,0.0666666666666667,-0.133333333333333,0.0695438653898334,0.0635801787882132,0.0655409631019387,0.129648984965386,0.059293087266434,0.0380952380952381,0.153567251461988,0.11447609528569,-0.126274509803922,-0.113333333333333,-0.308333333333333,0.124224686356477,-0.320701754385965,0.121075080057264,-0.141142127278621,0.102878368401624
"CD44",-0.0380952380952381,-0.122896431299793,0.07,0.0562962962962963,0.0666666666666667,0.175,0.1,-0.0713450292397661,0.0768707482993197,0.05,0.0666666666666667,0.0433333333333333,0.0709090909090909,0.0625730994152047,0.0713919413919414,-0.00666666666666667,-0.136507936507936,0.0786013986013986,-0.105714285714286,-0.114285714285714,-0.114285714285714,-0.114285714285714,0.0767707089349691,-0.00902255639097744,-0.123809523809524,-0.127663592446201,0,-0.0767857142857143,0.0142857142857143,-0.1,0,-0.1,-0.08,0,-0.1,-0.0456589147286822,-0.1,-0.1,-0.1,-0.0379666070363745,-0.15,-0.2,-0.0595833333333333,-0.0433333333333333,0,-0.264285714285714,-0.0466666666666667,-0.185,-0.125,-0.1,-0.0591666666666667,0,-0.0591666666666667,0.0829304029304029,-0.233579753579754
"FOXC2",-0.032156862745098,0.0725776476265882,0.12942409097793,-0.0686868686868687,0.0909090909090909,0.108000441038646,0.0274509803921569,-0.0819382846303555,-0.0609855072463768,0.0297765617875057,-0.0653333333333333,0.0271678661353318,-0.0637768817204301,-0.0410236822001528,-0.0197146992573822,-0.132169312169312,-0.143555211558308,-0.0463958929626096,-0.113691553544495,-0.115897435897436,-0.115897435897436,-0.115897435897436,-0.00643732411371738,-0.134245548266167,-0.0555555555555556,-0.142234432234432,-0.1,-0.0812272763538765,0.129090909090909,0,0.129090909090909,0.1,0.05625,0.124761904761905,0.05,-0.0275023142958669,-0.0333333333333333,-0.0333333333333333,-0.08,-0.0268796492896402,-0.0297765617875057,-0.0274509803921569,-0.117044767090139,-0.0263282859254367,-0.0333333333333333,-0.154902801600915,-0.0949090909090909,-0.113155080213904,-0.107272727272727,0.0333333333333333,-0.096730229120473,0.12,-0.0962424242424242,0.0195337690631808,-0.138842049051383
