"","ZEB2","ZEB1","Csn","TrCP","FUS","miR200","NFB","IKK","SOSGRB2","DSH","AKT","Destcompl","GLI","RKIP","CD44","SHH","Patched","SNAI2","NOTCHic","Csl","PI3K","SRC","SMAD","NOTCH","KLF4","Jagged","TGF","FOXC2","ILK","MEK","EGR1","TGFR","ERK","TWIST1","CDC42","cfos","HEY1","Ecadherin","PAK1","RAF","DELTA","cMet","RAS","Frizzled","Wnt","STAT","cateninnuc","cateninmemb","TCFLEF","AXIN2","SNAI1","SMO","LIV1","SUFU","GSK3"
"STAT",-0.133306437152591,-0.133306437152591,-0.2,-0.1,-0.225,-0.0679343566422156,-0.24,-0.254285714285714,-0.0842775041050903,0.214285714285714,-0.239031476997579,0.188853941432328,0.196896485867074,-0.0101287001287001,0.195258907758908,-0.170342663099403,-0.174767441860465,0.0286074693983503,-0.232114467408585,-0.229411764705882,0.256870347394541,0.201785714285714,-0.12045366205786,-0.219493108185284,-0.212606456724104,-0.162640815946132,-0.211334020987911,-0.161096114519427,-0.10780998389694,-0.231056293485136,-0.2,-0.205053827751196,-0.223529411764706,-0.195326687305698,-0.197159090909091,-0.2,0.13,-0.180172811536173,-0.190909090909091,-0.256870347394541,-0.256870347394541,-0.192694805194805,-0.253885272767675,-0.201785714285714,-0.192694805194805,-0.214285714285714,-0.200278402951848,-0.22303468221188,-0.198728939304649,-0.125457679575327,-0.00385405613569798,0.205,-0.1,0.2,-0.218680462839341
"cfos",-0.1300837849264,-0.1300837849264,-0.2,-0.1,-0.214285714285714,-0.0700662083015024,-0.225,-0.2375,-0.1125,0.15,-0.221710526315789,0.144021083136611,0.153625730994152,-0.0268065268065268,0.150780780780781,-0.153493201342664,-0.162135176651306,-0.00904161531898758,-0.248717948717949,-0.233333333333333,0.219880174291939,0.17,-0.0984297661717017,-0.234871794871795,-0.10568253968254,-0.167743055555556,-0.110555131143366,-0.0860449545671927,-0.0806878306878307,-0.196993367722918,-0.08,-0.0969187675070028,-0.181739130434783,-0.08395670995671,-0.0714285714285714,-0.16,0.102173913043478,-0.12506747407088,-0.0571428571428571,-0.219880174291939,-0.219880174291939,-0.158888888888889,-0.210124076730963,-0.17,-0.158888888888889,-0.15,-0.152504286464682,-0.164246445008114,-0.148800582760979,-0.115418719211823,0.010855389336402,0.197619047619048,-0.1,0.2,-0.18075487012987
"AXIN2",-0.116838105630657,-0.116838105630657,-0.0777777777777778,-0.0666666666666667,0.0269230769230769,-0.0912604231467928,-0.0821256038647343,-0.0893719806763285,-0.0920418773995212,-0.0666666666666667,-0.0904830917874396,0.0743605300295411,-0.0717256005608429,0.0725799558864075,-0.0714279992275889,0.0330920855101183,0.027518315018315,-0.0634354040222502,-0.00781328320802005,-0.00245614035087719,0.0687667833429079,-0.0643410852713178,-0.118029675638371,-0.00781328320802005,-0.117910978219719,0.0526824820303081,-0.0786379377859123,-0.0906129311749921,-0.113664596273292,-0.0782045175269671,-0.0866666666666667,-0.07632770676281,-0.0761355520097257,-0.00329968081151313,-0.0736728395061728,-0.0695934959349594,0.114838759362086,-0.0852849824454243,-0.0675,-0.0687667833429079,-0.0687667833429079,0.0660652232023523,-0.0653547098520943,0.0643410852713178,0.0660652232023523,0.0666666666666667,0.0698474531627097,0.0567529559560191,0.0708418327563111,-0.0471587668652465,-0.0806748421278437,-0.0221611721611722,0.1,-0.05,-0.081359668681179
"SMAD",-0.114293135071102,-0.114293135071102,-0.0611111111111111,-0.05,-0.0625,-0.0576992629739381,-0.0563492063492064,-0.030859010270775,-0.129288671990535,0.0142857142857143,-0.0295256769374416,0.0530488164013271,0.00491936121432524,-0.0266965937500949,0.0217153043035396,-0.0249760410627195,-0.0179128440366972,-0.0697231127495746,-0.0355336617405583,-0.0504761904761905,-0.00648632299287322,0.0342857142857143,-0.0962142879951099,-0.0315654077723043,-0.107370526034523,-0.0186906856584276,-0.088523097005322,-0.0861018132004644,0.0209285691477472,-0.148929952268287,-0.114285714285714,-0.087327877881816,-0.137391490729825,-0.0648636897295576,-0.0711267605633803,-0.130414746543779,-0.055856526614606,-0.0417932153337062,-0.05,0.00648632299287322,0.00648632299287322,-0.0264425770308123,0.0120784282560311,-0.0142857142857143,-0.00851648351648352,-0.0342857142857143,-0.0249266584199429,-0.0335978889107569,-0.0223937303551,-0.0115082288801737,0.0263005730828311,0.0225,-0.02,0.1,0.0222714253165381
"Frizzled",-0.106473287213944,-0.106473287213944,-0.133333333333333,-0.1,-0.2,-0.0475094696969697,-0.193333333333333,-0.205833333333333,-0.0393939393939394,0.1,-0.212083333333333,-0.116437270086761,0.194924812030075,-0.0619047619047619,0.194924812030075,-0.134995112414467,-0.157575757575758,0.0326430436201458,-0.238095238095238,-0.221428571428571,0.129323308270677,0.225,-0.0858731936758453,-0.236134453781513,-0.0848739495798319,-0.137425727866904,-0.094120082815735,-0.056580359664815,-0.0718545020870602,-0.0821786492374728,-0.0666666666666667,-0.0817391304347826,-0.0525490196078431,-0.0900700280112045,-0.06,-0.0466666666666667,0.091620294599018,-0.0928983618008008,-0.0666666666666667,-0.129323308270677,-0.129323308270677,-0.209210526315789,-0.117512284648629,-0.225,-0.209210526315789,-0.2,-0.199024465136351,-0.135442561205273,-0.194262560374446,-0.124439746300211,0.050879917184265,0.190909090909091,-0.1,0.1,-0.0235579937304075
"Wnt",-0.087661406025825,-0.087661406025825,-0.1,-0.1,-0.1,-0.0396969696969697,-0.133333333333333,-0.193333333333333,-0.0545454545454545,0,-0.205833333333333,-0.112988994224692,0.209210526315789,-0.0833333333333333,0.209210526315789,-0.157575757575758,-0.190909090909091,0.0323275862068966,-0.221428571428571,-0.15,0.129323308270677,0.2,-0.0718545020870602,-0.238095238095238,-0.0705882352941176,-0.156617647058824,-0.0817391304347826,-0.0379757085020243,-0.0974358974358975,-0.0525490196078431,-0.1,-0.06,-0.0466666666666667,-0.0891176470588235,-0.0666666666666667,-0.0666666666666667,0.110769230769231,-0.0894018583042973,-0.1,-0.129323308270677,-0.129323308270677,-0.225,-0.129323308270677,-0.1,-0.225,-0.1,-0.194262560374446,-0.133220338983051,-0.194924812030075,-0.129090909090909,0.0604037267080745,0.2,0,0,-0.0362852664576803
"TWIST1",-0.0673102927488892,-0.0673102927488892,0.25,0.2,0.177777777777778,-0.0656014394018796,0.226923076923077,0.222161172161172,0.134156740792896,-0.0714285714285714,0.222161172161172,-0.113712762998512,-0.0915127819548872,0.079116718247153,-0.0902186252609221,0.182971920432478,0.172627092846271,0.00943872391539966,0.131509971509972,0.134074074074074,-0.139127116704599,-0.0714285714285714,0.031001929021731,0.137170348868462,-0.0758390660829685,0.0803708652536863,0.145461004872383,0.121025467405812,0.03001183001183,0.16308833407334,0.153333333333333,0.142044148380355,0.165575896262395,0.0878716719334568,0.140794148380355,0.15768115942029,-0.0489042031414913,0.00574647304175236,0.144242424242424,0.139127116704599,0.139127116704599,0.0841945288753799,0.143921637252545,0.0714285714285714,0.0851127819548872,0.0714285714285714,0.0864826942238279,0.092366412758068,0.0888403710495898,0.0827342012825884,-0.0384138301252486,-0.165777777777778,0.1,-0.233333333333333,0.138783846176324
"RKIP",-0.0528723098995696,-0.0528723098995696,0,0,0.0333333333333333,-0.0475098632536105,-0.0428571428571429,-0.0678571428571429,-0.195873015873016,0.1,-0.0708874458874459,-0.124597504507029,0.121794871794872,-0.175840336134454,0.127058029689609,0.0179234972677596,-0.00666666666666666,-0.0852453808940957,-0.0828282828282828,-0.0555555555555556,0.0935064935064935,0.133333333333333,0.0775528836580706,-0.0866744366744367,-0.0368723098995696,0.020512975988358,-0.0178282153983088,0.00455349248452698,0.0567608044501498,-0.164886280264123,-0.18,-0.0038095238095238,-0.162758620689655,-0.0188175876411171,-0.0133333333333333,-0.18,-0.0603948896631823,-0.0918458977738655,-0.0333333333333333,-0.0935064935064935,-0.0935064935064935,-0.13859649122807,-0.0875235875235875,-0.133333333333333,-0.133333333333333,-0.1,-0.123435189425547,-0.136700734347793,-0.122162924794504,-0.0948429442100328,0.12479483607826,0.0266666666666667,0,-0.1,-0.0695429472025217
"ZEB1",-0.0375080753094687,-0.0375080753094687,0.166666666666667,0.166666666666667,0.116666666666667,0.0753857489531959,0.150877192982456,0.145959160195571,-0.180662768031189,-0.185714285714286,0.154530588766999,-0.166288755112678,-0.186710720341598,0.0948520853743291,-0.176427899177182,0.142498778870979,0.134313725490196,-0.114289890286227,0.175367647058824,0.18125,-0.179727012845549,-0.169606003752345,0.0689702165945567,0.181152771025766,-0.0368972957095842,0.132953713918224,-0.146852319273834,-0.178797486772089,0.0689702165945567,-0.0959307247127926,-0.116666666666667,-0.141734209037613,-0.0954901960784314,-0.0138022475515337,-0.138180909545227,-0.0966666666666667,-0.0923037670446997,0.06715683765058,-0.142528735632184,0.179727012845549,0.179727012845549,0.171566788066071,0.184293941979408,0.178397212543554,0.182243366389708,0.176923076923077,0.177898211872356,0.194463911574471,0.178289601304841,0.0895886651660448,-0.103785016699626,-0.116666666666667,0.2,-0.141666666666667,0.174996461630034
"HEY1",-0.0160526315789474,-0.0160526315789474,-0.2,-0.1,-0.166666666666667,-0.00808302808302808,-0.22,-0.205714285714286,0.00414522584333906,0.1,-0.202010582010582,0.151235500813295,0.128840983065239,0.00700886415172129,0.128091357877833,-0.165927419354839,-0.15625,0.0606824175595624,-0.182200956937799,-0.192727272727273,0.181538461538462,0.0941176470588235,-0.0417391304347826,-0.18941745178316,0.0037037037037037,-0.134128390350279,-0.111608277900961,-0.111881875826219,-0.0533333333333333,-0.136235735156293,-0.12,-0.106242424242424,-0.141390374331551,-0.154531590413943,-0.112909090909091,-0.147272727272727,0.074087089381207,0.0496336371328589,-0.140909090909091,-0.181538461538462,-0.181538461538462,-0.115047879616963,-0.19183257918552,-0.0941176470588235,-0.115047879616963,-0.1,-0.120395301700538,-0.140975433780312,-0.125750220754087,-0.0740303600685245,-0.0223535608632068,0.15,-0.166666666666667,0.2,-0.163392189340048
"FOXC2",-0.0160526315789474,-0.0160526315789474,-0.2,-0.1,-0.166666666666667,-0.00808302808302808,-0.22,-0.205714285714286,0.00414522584333906,0.1,-0.202010582010582,0.151235500813295,0.128840983065239,0.00700886415172129,0.128091357877833,-0.165927419354839,-0.15625,0.0606824175595624,-0.182200956937799,-0.192727272727273,0.181538461538462,0.0941176470588235,-0.0417391304347826,-0.18941745178316,0.0037037037037037,-0.134128390350279,-0.111608277900961,-0.111881875826219,-0.0533333333333333,-0.136235735156293,-0.12,-0.106242424242424,-0.141390374331551,-0.154531590413943,-0.112909090909091,-0.147272727272727,0.074087089381207,0.0496336371328589,-0.140909090909091,-0.181538461538462,-0.181538461538462,-0.115047879616963,-0.19183257918552,-0.0941176470588235,-0.115047879616963,-0.1,-0.120395301700538,-0.140975433780312,-0.125750220754087,-0.0740303600685245,-0.0223535608632068,0.15,-0.166666666666667,0.2,-0.163392189340048
"TGFR",-0.00818801546835743,-0.00818801546835743,0.125,0.1,-0.00333333333333334,-0.0362969452374347,0.139285714285714,0.160338345864662,0.235607537361923,-0.0142857142857143,0.18359415981815,0.0621128947700589,-0.0382358055821233,0.0842424242424243,-0.026012909632572,0.0684077293980129,0.0689727011494253,0.0133810273774418,0.147241379310345,0.13,-0.198214285714286,-0.01,0.0714796339007107,0.165226990821136,0.00531173949366168,0.0540081855243218,0.108270010131712,0.0997468740676449,0.0860703812316716,0.0985639898833843,0.0904761904761905,0.116071428571429,0.104043441938179,0.0414847765915381,0.228571428571429,0.106265664160401,-0.105912410866364,0.0175546753429608,0.233333333333333,0.198214285714286,0.198214285714286,0.0194339622641509,0.211079782790309,0.0242857142857143,0.0337196765498652,0,0.0261197069422969,0.0233480609630983,0.0274483163311366,0.0138508526920544,0.0692761234474831,-0.0345977011494253,0,0.02,0.169888995443663
"TGF",0.00501953170145389,0.00501953170145389,0.1,0.2,-0.02,-0.0301385874661737,0.125,0.139285714285714,0.236842105263158,0,0.160338345864662,0.0619112818668331,-0.0337196765498652,0.0670995670995671,-0.0194339622641509,0.0689727011494253,0.0345977011494253,0.0150013977478122,0.13,0.12,-0.1875,0,0.0860703812316716,0.147241379310345,0.0213831680650903,0.0525589101620029,0.116071428571429,0.111537267080745,0.0909090909090909,0.104043441938179,0.0333333333333333,0.228571428571429,0.106265664160401,0.0461111111111111,0.233333333333333,0.0904761904761905,-0.10889748549323,0.019598968358293,0.2,0.1875,0.1875,0.01,0.198214285714286,0.0142857142857143,0.0242857142857143,0,0.0274483163311366,0.0247337422564009,0.026012909632572,0.0108465608465608,0.0607215511760966,0.00333333333333334,0,0,0.164265523561023
"SNAI2",0.00896412838263058,0.00896412838263058,0.133333333333333,0.1,0.08,0.0051818187841147,0.133333333333333,0.122988505747126,-0.0331981068289385,-0.0527272727272727,0.124193325024235,-0.102371412348913,-0.0745421190243063,-0.000987179487179488,-0.0740303600685245,0.0844654481510914,0.0802400960384154,-0.0472862455997385,0.115789473684211,0.117543859649123,-0.116413480006984,-0.0598701298701299,0.0295097538981898,0.120984278879016,-0.0025,0.075911366192099,0.0837922236899219,0.0903942042630493,0.0366867873910127,0.107843137254902,0.1,0.0806866336278101,0.107843137254902,0.0807930516553762,0.0798319327731093,0.117647058823529,-0.0499246534056661,-0.0122570344298664,0.0941176470588235,0.116413480006984,0.116413480006984,0.0697292847997073,0.120979690052647,0.0598701298701299,0.0697292847997073,0.0527272727272727,0.0687636635198916,0.0783991895107162,0.0709375765633699,0.0651840903195602,0.00987297180942378,-0.0741176470588235,0.08,-0.1,0.108576909757258
"cateninmemb",0.0101310287148035,0.0101310287148035,0.08,0.1,-0.0333333333333333,0.00457989145139983,0.0657142857142857,0.0731216931216931,-0.017154915590864,0.0372549019607843,0.077017797017797,-0.0548936710263381,0.0319028570530056,-0.00963776726216534,0.0324497374589565,-0.0223319363305393,-0.0176075268817204,-0.00700649527966386,0.0672687811374735,0.0579904306220096,-0.0715912518853695,0.0256269949840401,0.0161537003895147,0.0698710116207449,-0.00243788091889358,-0.0384082121618616,0.0366218182352792,0.0588541012145,0.0125217391304348,0.088505797820534,0.107272727272727,0.0346326681448633,0.0888979546832791,-0.0178129039325227,0.0302424242424242,0.0837433155080214,-0.0201108484882666,-0.0418929572051358,0.0209090909090909,0.0715912518853695,0.0715912518853695,-0.0247574297666488,0.0687979557959841,-0.0256269949840401,-0.0239028570530056,-0.0372549019607843,-0.0330415889774801,-0.101351553491376,-0.0340686664751458,0.0136568765111555,0.0167928895841906,0.0208333333333333,-0.0666666666666667,0.0333333333333333,0.0620181787717706
"KLF4",0.0160526315789474,0.0160526315789474,0.2,0.1,0.166666666666667,0.00808302808302808,0.22,0.205714285714286,-0.00414522584333906,-0.1,0.202010582010582,-0.151235500813295,-0.128840983065239,-0.00700886415172129,-0.128091357877833,0.165927419354839,0.15625,-0.0606824175595624,0.182200956937799,0.192727272727273,-0.181538461538462,-0.0941176470588235,0.0417391304347826,0.18941745178316,-0.0037037037037037,0.134128390350279,0.111608277900961,0.111881875826219,0.0533333333333333,0.136235735156293,0.12,0.106242424242424,0.141390374331551,0.154531590413943,0.112909090909091,0.147272727272727,-0.074087089381207,-0.0496336371328589,0.140909090909091,0.181538461538462,0.181538461538462,0.115047879616963,0.19183257918552,0.0941176470588235,0.115047879616963,0.1,0.120395301700538,0.140975433780312,0.125750220754087,0.0740303600685245,0.0223535608632068,-0.15,0.166666666666667,-0.2,0.163392189340048
"Ecadherin",0.0165265652282365,0.0165265652282365,0.22,0.2,0.15,0.00901412677948991,0.205714285714286,0.202010582010582,-0.0146715416328127,-0.0941176470588235,0.207205387205387,-0.147507635016464,-0.126840983065239,-0.00963058699816324,-0.125750220754087,0.165927419354839,0.165927419354839,-0.0589364813765401,0.18941745178316,0.182200956937799,-0.19183257918552,-0.115047879616963,0.0381071691757027,0.197967637656766,-0.00496952648851383,0.128865232455543,0.117214064519406,0.115314370105396,0.0417391304347826,0.135843578293548,0.147272727272727,0.111608277900961,0.136235735156293,0.153972931196066,0.106242424242424,0.141390374331551,-0.061335411528858,-0.147004620579792,0.112909090909091,0.19183257918552,0.19183257918552,0.128091357877833,0.194625875274906,0.115047879616963,0.128840983065239,0.0941176470588235,0.118808000113236,0.137898510703389,0.120395301700538,0.0709375765633699,0.0267839406100422,-0.15625,0.1,-0.166666666666667,0.163833690443801
"miR200",0.0198924731182796,0.0198924731182796,0.04,0.1,0.015,-0.0035974659728959,0.0347368421052632,0.037593984962406,-0.14294003868472,-0.2,0.037593984962406,-0.165328607777198,-0.171719548057576,0.000158887223997056,-0.161383543075748,0.0437837094111172,0.0263924050632911,-0.128843149649052,0.0919211822660098,0.102266009852217,-0.164818216609261,-0.169565217391304,0.0234272040192089,0.086836436503298,0.0236887508626639,0.0662260848717334,-0.0973373858170425,-0.106268040902187,0.019351968909491,-0.0576808905380334,-0.114285714285714,-0.0851280834914611,-0.0515584415584415,0.0446555693794958,-0.0786764705882353,-0.0742857142857143,-0.0337570621468927,0.148781287402402,-0.104166666666667,0.164818216609261,0.164818216609261,0.156889161053276,0.164070086933451,0.18,0.167323943661972,0.2,0.171895808588014,0.179690131675351,0.169320051012256,0.110030269779409,-0.0182770932770933,-0.015,0.2,-0.04,0.15485141227553
"cateninnuc",0.0285681443173847,0.0285681443173847,0.220833333333333,0.233333333333333,0.0988888888888889,0.0118584138722596,0.223863636363636,0.227863636363636,0.0286710246539827,-0.0244755244755245,0.230207386363636,-0.143151856069912,-0.0312436223692924,-0.0705441283282474,-0.0300483333092029,0.103261471849372,0.105222256163097,0.0232645088326827,0.212910407451204,0.204770872567483,-0.211655281655282,-0.0383644133644134,0.0317109882689692,0.212455861996658,-0.00519968366943456,0.0314291478471585,0.0817006960313691,0.0963489625128969,0.03102886002886,0.150479128602661,0.144927536231884,0.0808273335859543,0.145891972639358,0.0584179635388609,0.0745054945054945,0.149689440993789,-0.0504367725005059,0.0182382055702294,0.0714285714285714,0.211655281655282,0.211655281655282,0.0340165872774568,0.209466729466729,0.0395440176262094,0.0351961915392529,0.0244755244755245,-0.069724917037965,0.0532629844057126,0.0284799987311596,-0.00316098068290802,0.0854773816725907,-0.107085610200364,0.00909090909090909,-0.0888888888888889,0.163105631957263
