"","TGF","SHH","IKK","Csn","NOTCH","TrCP","NOTCHic","Csl","cfos","EGR1","ERK","LIV1","RAF","cateninmemb","TCFLEF","DSH","SRC","cMet","cateninnuc","CD44","GLI","Frizzled","STAT","Wnt","AXIN2","Ecadherin","RAS","PI3K","DELTA","GSK3","Destcompl","SNAI2","MEK","miR200","TWIST1","Jagged","RKIP","SUFU","SOSGRB2","NFB","AKT","FUS","SNAI1","SMO","Patched","ILK","ZEB2","ZEB1","SMAD","HEY1","CDC42","TGFR","PAK1","FOXC2","KLF4"
"SUFU",0.272530127382828,-0.114895674895675,0.108747252747253,0.164285714285714,-0.0249422799422799,0.15,-0.0328787878787879,-0.0556060606060606,0.0603263403263403,0.0815384615384615,0.0545792138895587,-0.1,-0.160429133043254,-0.1048147965555,-0.0639627182843841,0,0.0677777777777778,0.0454476806903991,-0.0687197515324659,0.0514627182843841,0.0556461093635815,0.0388888888888889,0.106666666666667,0.061965811965812,-0.104526010360798,-0.117400288054102,0.166441791271102,0.160429133043254,0.160429133043254,0.121132209060256,-0.0764399361197331,0.0700192907016498,-0.0686217670810481,-0.114528974324996,-0.0439466242108173,-0.0628842762370222,-0.115284148023471,0.106666666666667,-0.207477610109189,-0.120285714285714,-0.120156648720407,0.106666666666667,-0.130665555536958,0.106666666666667,0.113737373737374,-0.0579928315412186,-0.225005651224507,-0.225005651224507,-0.0637665035966459,-0.0569175891334089,-0.240405405405405,-0.261682001150086,-0.235,-0.19669412257434,-0.228554093997797
"FUS",0.261682001150086,-0.113737373737374,0.120285714285714,0.15,-0.0328787878787879,0.1,-0.0556060606060606,-0.0606060606060606,0.0815384615384615,0.12,0.0603263403263403,0,-0.13903175313059,-0.106042627387696,-0.0514627182843841,0,0.106666666666667,0.0677777777777778,-0.0639627182843841,0.0454476806903991,0.061965811965812,0,0.1,0.0388888888888889,-0.101013129798737,-0.116370421936697,0.160429133043254,0.13903175313059,0.13903175313059,0.119846862016554,-0.0856371716327581,0.0789184337471343,-0.0545792138895587,-0.114900721536891,-0.0474517788499926,-0.0616966277809651,-0.11324333169694,0.266666666666667,-0.219365721997301,-0.164285714285714,-0.108747252747253,0.106666666666667,-0.1349244993189,0.106666666666667,0.106666666666667,-0.0444444444444444,-0.223556375862189,-0.223556375862189,-0.0579928315412186,-0.046074215639433,-0.235,-0.240405405405405,-0.26,-0.189001814882033,-0.22436247723133
"SRC",0.248012265512265,0.10562091503268,0.125641025641026,0.1,-0.0990476190476191,0.1,-0.109761904761905,-0.105,0.0393939393939394,0.0666666666666667,0.0393939393939394,-0.2,-0.00532332081768877,-0.0833542882801976,-0.182089164334266,-0.2,0.225,0.205,-0.187234578204512,0.186967213114754,-0.186967213114754,-0.225,0.3,-0.205,0.237810786688767,-0.211770576917636,0.0159293814237494,0.00532332081768877,0.00532332081768877,-0.0258008658008658,0.0490149705367097,-0.107920319278154,-0.0375071469411092,-0.12178012004099,-0.091961601616774,0.0114226064455422,-0.0906810035842294,-0.0333333333333333,-0.28,-0.133333333333333,-0.125641025641026,-0.0833333333333333,-0.174071843281306,-0.103333333333333,-0.114444444444444,-0.0677631578947368,-0.221233902365978,-0.221233902365978,-0.0722676623992413,-0.03670969877524,-0.251388888888889,-0.237103174603175,-0.288888888888889,-0.268552754435107,-0.115245478036176
"SMO",0.240405405405405,-0.106666666666667,0.164285714285714,0.1,-0.0556060606060606,0,-0.0606060606060606,-0.0333333333333333,0.12,0.1,0.0815384615384615,0.1,-0.127403846153846,-0.105111528691234,-0.0454476806903991,0.1,0.1,0.106666666666667,-0.0514627182843841,0.0677777777777778,0.0388888888888889,0,0,0,-0.0817584714136438,-0.106233435635327,0.13903175313059,0.127403846153846,0.127403846153846,0.0987766279028415,-0.08373936141378,0.0794570333880679,-0.0603263403263403,-0.110940325497288,-0.0301742919389978,-0.0436243386243386,-0.0998412698412698,0.3,-0.23859649122807,-0.15,-0.120285714285714,0.266666666666667,-0.135867895545315,0.106666666666667,0.106666666666667,-0.0333333333333333,-0.21680790960452,-0.21680790960452,-0.0444444444444444,-0.0388278388278388,-0.26,-0.235,-0.3,-0.171896551724138,-0.219444444444444
"Patched",0.235,-0.106666666666667,0.15,0,-0.0606060606060606,0,-0.0333333333333333,0,0.1,0.1,0.12,0.1,-0.146153846153846,-0.0983154121863799,-0.0677777777777778,0.2,0,0.1,-0.0454476806903991,0.106666666666667,0,0.1,-0.1,0,-0.067965367965368,-0.0984843581445523,0.127403846153846,0.146153846153846,0.146153846153846,0.0783882783882784,-0.0612587412587412,0.0623141762452107,-0.0815384615384615,-0.107142857142857,-0.0037037037037037,-0.0186243386243386,-0.0942857142857143,0.2,-0.233333333333333,-0.1,-0.164285714285714,0.3,-0.126344086021505,0.266666666666667,0.106666666666667,-0.0333333333333333,-0.208333333333333,-0.208333333333333,-0.0333333333333333,-0.0435897435897436,-0.3,-0.26,-0.3,-0.165,-0.211111111111111
"MEK",0.194117509477357,0.176876459873567,0.0898268398268398,0.0428571428571429,0.194664783715879,0,0.186635586635587,0.202020202020202,-0.106551724137931,-0.11,-0.0874027879677183,0,-0.0457930957930958,0.079182880359351,-0.0235342734137431,-0.0333333333333333,0.0491228070175439,0.0375843454790823,-0.0283669871683899,0.024297632192369,-0.0285081585081585,-0.0533333333333333,0.0333333333333333,-0.0417948717948718,0.0332436867246994,0.0534067016561784,0.0492851592851593,0.0457930957930958,0.0457930957930958,0.0393673170268915,-0.16939104363335,-0.35159607344622,-0.0142638786989484,-0.113951427364322,-0.172695735636912,-0.140859187895704,-0.101031991744066,-0.133333333333333,-0.107746031746032,-0.0928571428571429,-0.0862974280621339,-0.173333333333333,-0.130548575642531,-0.169333333333333,-0.177530054644809,-0.174933379088872,-0.206905877798274,-0.206905877798274,-0.178254412299204,-0.192020553971773,-0.188571428571429,-0.183898531375167,-0.193333333333333,-0.201068176930246,-0.200478240076518
"RKIP",0.183898531375167,0.177530054644809,0.0928571428571429,0,0.186635586635587,0,0.202020202020202,0.211111111111111,-0.11,-0.06,-0.106551724137931,0,-0.0551948051948052,0.079182880359351,-0.024297632192369,0,0.0333333333333333,0.0491228070175439,-0.0235342734137431,0.0375843454790823,-0.0417948717948718,-0.0333333333333333,0,-0.0533333333333333,0.0422526957337084,0.0588711825304953,0.0457930957930958,0.0551948051948052,0.0551948051948052,0.0288022064617809,-0.163951713089417,-0.353299236463251,0.0874027879677183,-0.109926659562465,-0.159875222816399,-0.131023122321934,-0.0931372549019608,-0.1,-0.10552380952381,-0.0428571428571429,-0.0898268398268398,-0.133333333333333,-0.122215242309198,-0.173333333333333,-0.169333333333333,-0.169982884039367,-0.200556671449067,-0.200556671449067,-0.174933379088872,-0.186566008517228,-0.193333333333333,-0.188571428571429,-0.2,-0.191158267020336,-0.196556671449067
"RAF",0.183898531375167,0.177530054644809,0.0928571428571429,0,0.186635586635587,0,0.202020202020202,0.211111111111111,-0.11,-0.06,-0.106551724137931,0,-0.0551948051948052,0.079182880359351,-0.024297632192369,0,0.0333333333333333,0.0491228070175439,-0.0235342734137431,0.0375843454790823,-0.0417948717948718,-0.0333333333333333,0,-0.0533333333333333,0.0422526957337084,0.0588711825304953,0.0457930957930958,0.0551948051948052,0.0551948051948052,0.0288022064617809,-0.163951713089417,-0.353299236463251,0.0874027879677183,-0.109926659562465,-0.159875222816399,-0.131023122321934,-0.0931372549019608,-0.1,-0.10552380952381,-0.0428571428571429,-0.0898268398268398,-0.133333333333333,-0.122215242309198,-0.173333333333333,-0.169333333333333,-0.169982884039367,-0.200556671449067,-0.200556671449067,-0.174933379088872,-0.186566008517228,-0.193333333333333,-0.188571428571429,-0.2,-0.191158267020336,-0.196556671449067
"PI3K",0.0401654710664754,0.114529914529915,0.103921568627451,0.1,0.078970223325062,0,0.0596153846153846,0.075,-0.0476190476190476,-0.0333333333333333,-0.0535014005602241,-0.1,-0.00886580086580087,0.0208043135323203,-0.138009057183707,-0.2,0.211111111111111,0.163285024154589,-0.151823490173398,0.13405425492382,-0.13405425492382,-0.211111111111111,0.2,-0.163285024154589,0.187333333333333,-0.0655902504825918,0.0280438830575817,0.00886580086580087,0.00886580086580087,0.0511303511303511,-0.129918578017634,-0.176574953176615,0.051862056297929,-0.0632691558921067,0.00493047777438369,-0.0263157894736842,-0.00517129928894635,-0.1,-0.111923076923077,-0.133333333333333,-0.085972850678733,-0.15,0.00176328502415459,-0.133333333333333,-0.125641025641026,-0.0818087234893957,-0.144618124868137,-0.144618124868137,-0.0890087234893957,-0.0940739245955672,-0.0205882352941176,-0.0165882352941176,-0.05,-0.0527038327526132,-0.13640350877193
"TWIST1",-0.0612378696238959,0.0865321846578342,0.0435897435897436,0.1,0.0640713863355373,0.1,0.0565242165242165,0.0437037037037037,0.0742028985507246,0.113333333333333,0.0584134248665141,1.11022302462516e-17,0.0669703801013099,0.0147576903488998,-0.00594293495035951,-0.0285714285714286,0.023015873015873,0.00599459642012832,-0.011980887796823,-2.94999654138456e-05,-0.000826399331662478,-0.023015873015873,0.0285714285714286,-0.00722639933166248,-0.0293636471055826,-0.101072305026498,-0.0587512020191181,-0.0669703801013099,-0.0669703801013099,0.0541182426274037,-0.04337905014202,0.278188218740555,-0.0638860616824345,-0.0815882332390036,-0.0456520831063165,0.00116758088650434,-0.0539301604518996,-0.0333333333333333,0.0494650785268634,-0.0769230769230769,-0.0385049978270317,-0.0888888888888889,-0.0669262601726011,-0.0928888888888889,-0.0860395738203957,-0.112767312767313,-0.0949027975343765,-0.0949027975343765,-0.122338269863022,-0.12628670764264,0.0757993730407523,0.0682993730407524,0.0654545454545455,0.0436154899114389,-0.0973108192620388
"TGFR",0.00543988517392773,0.129908070329242,0.0243107769423559,0.0333333333333333,0.206823782353428,0.0333333333333333,0.197471264367816,0.173333333333333,-0.0593984962406015,-0.0857142857142857,-0.0705096073517126,-0.1,0.1,-0.0619967806539349,-0.104432006259216,-0.142857142857143,0.113333333333333,0.100125786163522,-0.108949278181271,0.100125786163522,-0.110294756977654,-0.122857142857143,0.133333333333333,-0.109649595687332,0.138353732845864,-0.09384639547719,-0.091812865497076,-0.1,-0.1,0.0476947296094756,0.0660904903151674,-0.0402411962634727,0.0705096073517126,-0.0764759881695366,0.00488730723606168,-0.0937157157798126,-0.0402597402597403,-0.113333333333333,-0.016358024691358,-0.019047619047619,-0.0126828699656117,-0.113333333333333,-0.0115783398687663,-0.144367816091954,-0.134992816091954,-0.1144477028348,-0.0829180802454841,-0.0829180802454841,-0.122632756215583,-0.144909880000385,0.121269841269841,0.00519841269841269,0.102222222222222,-0.0184753451409043,-0.0753096509389416
"SNAI2",-0.15202027299214,0.224609167610706,-0.232758620689655,-0.2,-0.0705115060378218,-0.1,-0.062719298245614,-0.0714912280701754,-0.184313725490196,-0.166666666666667,-0.166666666666667,-0.22,0.202716335186468,-0.0893483067991259,-0.195481929478332,-0.192727272727273,0.171298701298701,0.175524053411377,-0.192065780410009,0.189502548035033,-0.189962556085174,-0.171298701298701,0.192727272727273,-0.175524053411377,0.250824681610264,-0.265426871554171,-0.209565650254961,-0.202716335186468,-0.202716335186468,-0.171792184863916,0.177798729769135,0.14657426298477,0.15045045045045,-0.00712385581010963,0.191587547771246,0.171464820867828,-0.0285,-0.2,-0.0419878296146045,0.25,0.205047777316161,-0.22,-0.0112040971995205,-0.214117647058824,-0.216158463385354,-0.0793427230046948,-0.0128921753723516,-0.0128921753723516,-0.074079565109958,-0.0532097649186257,0.153501400560224,0.145809092867916,0.172549019607843,0.137273089591615,0.005
"KLF4",-0.099540280857354,0.168077956989247,-0.177142857142857,-0.2,-0.0173343856360677,-0.1,0.000191387559808609,0.00545454545454545,-0.150909090909091,-0.16,-0.115614973262032,-0.166666666666667,0.141923076923077,0.0120761769847136,-0.124286518216215,-0.1,0.0823529411764706,0.10328317373461,-0.115195609125306,0.12328317373461,-0.123972828907024,-0.0823529411764706,0.1,-0.10328317373461,0.189502548035033,-0.0572151462995205,-0.158099547511312,-0.141923076923077,-0.141923076923077,-0.133239131382956,0.136250800844203,-0.17024501922237,0.100151055736259,-0.00394790394790395,0.148039215686274,0.0978846940166281,-0.030746237889095,-0.2,-0.0116923956546598,0.22,0.143809523809524,-0.166666666666667,-0.0153198355826932,-0.15,-0.15625,-0.0706666666666667,-0.00949948400412797,-0.00949948400412797,-0.0561739130434783,-0.0527883880825057,0.0867272727272727,0.0853939393939394,0.122727272727273,0.0978114987340638,0.00740740740740741
"FOXC2",-0.099540280857354,0.168077956989247,-0.177142857142857,-0.2,-0.0173343856360677,-0.1,0.000191387559808609,0.00545454545454545,-0.150909090909091,-0.16,-0.115614973262032,-0.166666666666667,0.141923076923077,0.0120761769847136,-0.124286518216215,-0.1,0.0823529411764706,0.10328317373461,-0.115195609125306,0.12328317373461,-0.123972828907024,-0.0823529411764706,0.1,-0.10328317373461,0.189502548035033,-0.0572151462995205,-0.158099547511312,-0.141923076923077,-0.141923076923077,-0.133239131382956,0.136250800844203,-0.17024501922237,0.100151055736259,-0.00394790394790395,0.148039215686274,0.0978846940166281,-0.030746237889095,-0.2,-0.0116923956546598,0.22,0.143809523809524,-0.166666666666667,-0.0153198355826932,-0.15,-0.15625,-0.0706666666666667,-0.00949948400412797,-0.00949948400412797,-0.0561739130434783,-0.0527883880825057,0.0867272727272727,0.0853939393939394,0.122727272727273,0.0978114987340638,0.00740740740740741
"ZEB1",-0.10802873441039,-0.104890463140934,-0.00108139200460167,-0.0133333333333333,-0.0689009074704262,-0.0333333333333333,-0.066421568627451,-0.0625,0.0133333333333333,0.0333333333333333,0.00274509803921568,0.2,-0.166867248765615,0.00392079238206241,0.185858044034614,0.2,-0.175234521575985,-0.175234521575985,0.182824775932853,-0.184262299353763,0.190969388084047,0.182926829268293,-0.192307692307692,0.181003752345216,-0.220850727582762,0.110875607797618,0.169859374749867,0.166867248765615,0.166867248765615,0.148383776594845,-0.162852736106996,0.209202973851747,0.00121965967003542,-0.0709259715758878,-0.0595339553249319,0.0392086132974735,0.050452577725305,0.125,0.112202729044834,-0.0235087719298246,0.0210813920046017,0.0875,0.0587571562473082,0.101136363636364,0.110940285204991,0.0936799904735443,0.00165631308456954,0.00165631308456954,0.0874299904735442,0.0976221964563934,0.105780443111777,0.105272828898579,0.113026819923372,0.119185965419284,-0.00690371764831541
"HEY1",0.099540280857354,-0.168077956989247,0.177142857142857,0.2,0.0173343856360677,0.1,-0.000191387559808609,-0.00545454545454545,0.150909090909091,0.16,0.115614973262032,0.166666666666667,-0.141923076923077,-0.0120761769847136,0.124286518216215,0.1,-0.0823529411764706,-0.10328317373461,0.115195609125306,-0.12328317373461,0.123972828907024,0.0823529411764706,-0.1,0.10328317373461,-0.189502548035033,0.0572151462995205,0.158099547511312,0.141923076923077,0.141923076923077,0.133239131382956,-0.136250800844203,0.17024501922237,-0.100151055736259,0.00394790394790395,-0.148039215686274,-0.0978846940166281,0.030746237889095,0.2,0.0116923956546598,-0.22,-0.143809523809524,0.166666666666667,0.0153198355826932,0.15,0.15625,0.0706666666666667,0.00949948400412797,0.00949948400412797,0.0561739130434783,0.0527883880825057,-0.0867272727272727,-0.0853939393939394,-0.122727272727273,-0.0978114987340638,-0.00740740740740741
"Ecadherin",0.107677713045419,-0.169652760138854,0.143809523809524,0.22,0.02439758266209,0.2,0.0173343856360677,-0.000191387559808609,0.115614973262032,0.150909090909091,0.100151055736259,0.1,-0.158099547511312,-0.0115633564718931,0.115195609125306,0.0823529411764706,-0.10328317373461,-0.12328317373461,0.109686738910554,-0.124286518216215,0.125306162240357,0.10328317373461,-0.0823529411764706,0.123972828907024,-0.195481929478332,-0.0448296443528651,0.16620010617053,0.158099547511312,0.158099547511312,0.137874892972359,-0.130659002148956,0.164766391889438,-0.106033408677435,0.00562388160153523,-0.147108116989813,-0.103147851911365,0.029622642383477,0.166666666666667,0.0261660798651861,-0.177142857142857,-0.143809523809524,0.15,0.0194337596333261,0.15625,0.168077956989247,0.0561739130434783,0.0104473513027062,0.0104473513027062,0.0481835982735025,0.042721273988546,-0.0853939393939394,-0.099540280857354,-0.0867272727272727,-0.10261699072491,-0.0112048757618378
"cateninmemb",0.107677713045419,-0.169652760138854,0.143809523809524,0.22,0.02439758266209,0.2,0.0173343856360677,-0.000191387559808609,0.115614973262032,0.150909090909091,0.100151055736259,0.1,-0.158099547511312,-0.0987126668270738,0.115195609125306,0.0823529411764706,-0.10328317373461,-0.12328317373461,0.109686738910554,-0.124286518216215,0.125306162240357,0.10328317373461,-0.0823529411764706,0.123972828907024,-0.195481929478332,-0.0130328775936551,0.16620010617053,0.158099547511312,0.158099547511312,0.137874892972359,-0.130659002148956,0.164766391889438,-0.106033408677435,0.00562388160153523,-0.147108116989813,-0.103147851911365,0.029622642383477,0.166666666666667,0.0261660798651861,-0.177142857142857,-0.143809523809524,0.15,0.0194337596333261,0.15625,0.168077956989247,0.0561739130434783,0.0104473513027062,0.0104473513027062,0.0481835982735025,0.042721273988546,-0.0853939393939394,-0.099540280857354,-0.0867272727272727,-0.10261699072491,-0.0112048757618378
