"","ZEB1","GSK3","SUFU","SMO","FUS","HEY1","Csn","ILK","SMAD","NFB","IKK","AKT","TrCP","TWIST1","NOTCH","NOTCHic","Csl","Jagged","Destcompl","CDC42","TGFR","TGF","Wnt","GLI","STAT","SRC","cMet","miR200","CD44","cateninnuc","ZEB2","RAS","RAF","DELTA","cateninmemb","SOSGRB2","SNAI2","Ecadherin","KLF4","PI3K","TCFLEF","LIV1","FOXC2","Frizzled","DSH","AXIN2","PAK1","EGR1","cfos","ERK","MEK","SHH","Patched","SNAI1","RKIP"
"SNAI1",0.123494669033072,0.179765301530153,0.142857142857143,0.180929623940377,0.152534562211982,0.13388384589218,0.120833333333333,0.138965693804403,0.135890663054096,0.115570175438596,0.130384990253411,0.130384990253411,0.0833333333333333,-0.164573875399962,-0.063003663003663,-0.0601465201465201,-0.0579487179487179,-0.0518408516780946,0.315013040467698,0.142042271454036,0.15624992172726,0.163507986243389,0.309700946132268,0.311346284340678,0.280740740740741,0.296956956956957,0.30982824408567,0.169994531881774,0.310939355196781,0.305738920824396,-0.155966633458378,-0.116526765679044,-0.120139245153592,-0.120139245153592,0.269889150617854,-0.0150347157357245,-0.410887147505358,0.145256347448493,-0.166713150016659,0.120139245153592,-0.309146251748505,-0.24,-0.132290960830296,-0.296530214424951,-0.280740740740741,-0.360903455685499,-0.126890756302521,0.0669565217391304,0.0483124539425203,0.0469791206091869,0.037113649757169,-0.195172342386979,-0.189929623940377,-0.199212534580892,-0.0341880334695703
"SHH",0.05,0.305128205128205,-0.2,-0.1,-0.2,0,0,0,0.0333333333333333,0,0.1,0.05,0,-0.125,-0.233333333333333,-0.2,-0.1,-0.174285714285714,0.348311688311688,-0.1,0,0.02,0.1,0.15,0.1,0.1,0.2,0.1,0.25,0.321111111111111,-0.15,-0.0576923076923077,-0.05,-0.05,0.225232974910394,-0.1,-0.429501915708812,0.0391666666666667,-0.15,0.05,-0.31,0,-0.1,0,0,-0.371428571428571,0.2,0,0.1,0.1,0,-0.0266666666666667,0.133333333333333,-0.05,0.02
"Csl",0.132425779130079,0.230932170864466,0.0833333333333333,0.170211161387632,0.152564102564103,0.232972435350952,0.0888888888888889,0.140274066461117,0.139718510905561,0.122222222222222,0.119896640826873,0.134625322997416,0.0333333333333333,-0.199740048024644,-0.1054933521487,-0.100038806694155,-0.0789861751152074,-0.103115499444142,0.333812317725301,0.152716845878136,0.173735954158391,0.191649786357937,0.32188134446199,0.336397473494248,0.253846153846154,0.299300699300699,0.322377622377622,0.161950742345166,0.336663336663337,0.337066620546384,-0.145046485351554,-0.120489277420113,-0.123798100949525,-0.123798100949525,0.29756166837006,-0.0203376512234022,-0.447830135744694,0.161174291054024,-0.164541062801932,0.123798100949525,-0.338953412999215,-0.2,-0.15689708141321,-0.299300699300699,-0.253846153846154,-0.381290103097228,-0.107555555555556,0.0933333333333333,0.0719047619047619,0.0547619047619048,0.0515010351966874,-0.213462922603798,-0.201393957086557,-0.1241636222071,-0.0469001568235459
"TCFLEF",0.0742600567074251,0.39606237158,-0.15,-0.0795238095238095,-0.103333333333333,0.0390366352650109,-0.162337662337662,-0.00976167691957166,-0.00842324479720072,-0.150337662337662,-0.150337662337662,-0.156859401468097,-0.171428571428571,-0.0490829927808963,0.135318638705246,0.148939901163718,0.164626175673521,-0.0616862033432313,0.512642008383594,0.0451401311866428,0.0731775143642129,0.0927139382052725,0.0996505781799899,0.12325306265204,0.0291666666666667,0.0741666666666667,0.109209401709402,0.110638397746831,0.133737703596194,0.253869433264006,-0.132905901116427,0.196815504524903,0.194055977586664,0.194055977586664,0.113571730707901,-0.0549878704130201,-0.00796661672442468,0.044779020501149,-0.152546473134708,-0.194055977586664,-0.247597955600776,0.0333333333333333,-0.0703838019388663,-0.0646078431372549,-0.0196078431372549,0.230747252747253,-0.0102564102564103,-0.16,-0.17219512195122,-0.205528455284553,-0.213691720590675,0.0508279852609953,0.0698463901689708,-0.108003133547067,-0.0759232217477155
"Patched",0.075,0.333699633699634,-0.2,-0.133333333333333,-0.1,0.0230769230769231,0,0.0333333333333333,0.0433333333333333,0.1,0.05,0.0928571428571429,0,-0.136111111111111,-0.260606060606061,-0.233333333333333,-0.2,-0.192804232804233,0.369190809190809,0,0.02,0.0616666666666667,0.15,0.2,0.1,0.2,0.25,0.0785714285714286,0.31,0.333732470334412,-0.125,-0.0576923076923077,-0.0576923076923077,-0.0576923076923077,0.222455197132617,-0.1,-0.457501915708812,0.0226618122977346,-0.138888888888889,0.0576923076923077,-0.321111111111111,-0.1,-0.14,-0.1,0,-0.435064935064935,0.1,0.1,0.1,0,0.0538461538461538,-0.0641666666666667,-0.0266666666666667,-0.0854838709677419,-0.0228571428571429
"NFB",-0.0389076138622418,-0.36546218487395,-0.12,-0.123703703703704,-0.12,-0.0981203007518797,0.114285714285714,-0.0910891089108911,-0.0840259118848688,0.030952380952381,0.0336550836550837,0.0380995280995281,0.1,0.13640056022409,-0.117375599311083,-0.115440115440115,-0.113852813852814,0.0062587455808549,-0.285745226903938,-0.211111111111111,-0.215111111111111,-0.215111111111111,-0.112649572649573,-0.105907999615865,-0.111111111111111,-0.111111111111111,-0.112649572649573,0.0822819940250651,-0.105304939881211,-0.0969286678534126,-0.111259643361277,-0.189932815918363,-0.184460179102443,-0.184460179102443,-0.0281262237081555,-0.122463511720478,0.344863446807984,0.0771211472464234,-0.105677655677656,0.184460179102443,0.101085530598511,0.1,0.216080670104574,0.111111111111111,0.111111111111111,0.138596757852077,0.211111111111111,0.0428571428571429,0.0708571428571429,0.0686349206349206,0.0784388422035481,0.11888442659527,0.123703703703704,0.17795682433453,0.166890850497408
"IKK",-0.0423558897243108,-0.364285714285714,-0.1,-0.12,-0.12,-0.105263157894737,0.1,-0.1,-0.0910891089108911,0.114285714285714,0.030952380952381,0.0336550836550837,0.2,0.141797385620915,-0.115440115440115,-0.113852813852814,-0.109090909090909,0.00769759450171821,-0.286575791687991,-0.211111111111111,-0.211111111111111,-0.215111111111111,-0.111111111111111,-0.112649572649573,-0.1,-0.111111111111111,-0.111111111111111,0.0771460423634337,-0.112649572649573,-0.101085530598511,-0.103979949874687,-0.184460179102443,-0.178826376285541,-0.178826376285541,-0.0328780716490214,-0.129831932773109,0.347912227295789,0.0739108743732292,-0.0941391941391941,0.178826376285541,0.105304939881211,0.1,0.216479076479076,0.111111111111111,0.1,0.142142857142857,0.2,0,0.0428571428571429,0.0708571428571429,0.0686349206349206,0.123703703703704,0.123703703703704,0.176039016115352,0.1591985428051
"Csn",-0.0314342431761787,-0.490554222521607,-0.0142857142857143,-0.0233766233766234,-0.0142857142857143,0.0134330011074197,0.12,0.0201436335403727,0.0219431194015552,0.128333333333333,0.1325,0.1365,0.22,0.00430652953093346,-0.0694583194583195,-0.0733044733044733,-0.0797979797979798,0.0742939699771676,-0.471912254897289,-0.159599728629579,-0.16985613888599,-0.177732033874056,-0.194751419470987,-0.199554912920769,-0.166666666666667,-0.183908045977011,-0.194751419470987,0.0703323063705041,-0.199640308359876,-0.200947363946476,-0.0958792390405294,-0.228305397203507,-0.225810195667998,-0.225810195667998,-0.0529109478880186,0.0310942003920212,0.144096075282344,0.0509555030975066,-0.0852632334985276,0.225810195667998,0.201248025401677,0.133333333333333,0.158606735162889,0.183908045977011,0.166666666666667,0.23635131413283,0.143181818181818,0.103333333333333,0.121515151515152,0.133203463203463,0.14362012987013,0.0266024298282363,0.0266024298282363,0.200192460857588,0.203631612290149
"miR200",0.378216845878136,-0.0258368679779672,0.18,0.190833333333333,0.2175,0.236864406779661,0.18,0.22036615629536,0.214410043442695,0.206315789473684,0.180601503759399,0.174941126400908,0.2,0.332003660960716,0.279004202499235,0.266009852216749,0.252216748768473,0.268547190921442,-0.198182678952456,-0.0053921568627451,-0.0199082858950032,-0.0344431696159334,-0.17830985915493,-0.192595573440644,-0.14,-0.170434782608696,-0.188744641763625,0.135402298850575,-0.205598574347895,-0.216853985603306,-0.0856944444444444,0.176444899996469,0.170210486031382,0.170210486031382,-0.207815623262609,0.0495261121856867,0.303019871879322,-0.0802726299149703,-0.0789855072463768,-0.170210486031382,0.211550955300276,0.1,0.00257292842658696,0.16,0.14,0.247790936723549,-0.00833333333333333,-0.142857142857143,-0.172857142857143,-0.186493506493506,-0.193976499690785,-0.176166299761512,-0.187035864978903,-0.185868945868946,-0.223856266432954
"ZEB2",-0.303371751231151,-0.273547417519268,-0.25,-0.244285714285714,-0.235714285714286,-0.235413940897812,-0.233333333333333,-0.220302068823196,-0.215424020042708,-0.208333333333333,-0.206111111111111,-0.203307372793354,-0.2,-0.1992649374209,-0.199142496847415,-0.196410256410256,-0.18974358974359,-0.189650779207343,-0.152638345541083,-0.125194805194805,-0.121793444650587,-0.121793444650587,-0.103962703962704,-0.101210410384722,-0.1,-0.1,-0.0921052631578947,-0.091907034338088,-0.0893274853801169,-0.0812636478092371,-0.0753526488285317,-0.0591751717233516,-0.058961038961039,-0.058961038961039,-0.0584430132712119,-0.0244871794871795,-0.0195316201290015,-0.00251042341246689,0.0292999152983082,0.058961038961039,0.0833415698871592,0.1,0.10817094017094,0.109090909090909,0.109090909090909,0.121492562528441,0.123376623376623,0.183333333333333,0.209649122807018,0.222552348613469,0.227430397393957,0.235483053531834,0.24184668989547,0.29466851040789,0.324653784219002
"SOSGRB2",-0.0168170426065163,-0.291098883974059,0,0.0333333333333333,0.0333333333333333,0.145549242424242,0,0.0395698924731183,0.0444649973682232,0.0333333333333333,0.0385964912280702,0.0385964912280702,0,-0.086463768115942,0.0943563478774746,0.101398601398601,0.109090909090909,0.0157473460362108,-0.263858773590317,-0.0142857142857143,-0.0104395604395604,-0.00973034058140441,0.0226190476190476,0.0298654244306418,0,0.0142857142857143,0.0186335403726708,0.0336333850500769,0.025879917184265,0.0376460437818297,-0.0476441102756892,-0.0691583369549471,-0.064030131826742,-0.064030131826742,0.175047931047931,0.110555555555556,0.205842925530527,0.200469767044642,-0.0419298245614035,0.064030131826742,-0.0332483382368966,0,0.0129181929181929,-0.0142857142857143,0,-0.024291804180418,0.0142857142857143,0.138095238095238,0.171428571428571,0.168725868725869,0.186907686907687,-0.0422585376073748,-0.0306306306306306,0.0727633262260128,0.193311403508772
"ZEB1",0.254971990410742,-0.198389957116816,0.191666666666667,0.140530303030303,0.154166666666667,0.233957389760499,0.186666666666667,0.209575675782956,0.209094906552186,0.160350877192982,0.152154155881507,0.147868441595793,0.166666666666667,0.366473462455758,0.350911521633447,0.342647058823529,0.325,0.342110724938604,-0.343692762670377,-0.114126270198234,-0.136968909792143,-0.148386232626789,-0.362384972750826,-0.370976038042923,-0.32051282051282,-0.352220137585991,-0.375749549350697,0.177251435928875,-0.38408288268403,-0.387304558996642,-0.0461033332719548,0.184302135409653,0.187924182653747,0.187924182653747,-0.359029739740395,0.0582846003898636,0.438879732028028,-0.159338208722876,-0.0382248079092651,-0.187924182653747,0.388870116726584,0.266666666666667,0.0914658723397423,0.34123112659698,0.309523809523809,0.425699732069708,0.0865900383141762,-0.166666666666667,-0.170666666666667,-0.174196078431373,-0.166707091647232,-0.111851215737023,-0.122883244206774,-0.0859892257329444,-0.138343088246376
"RAF",-0.000565279770444764,0.305397951142632,-0.1,-0.133333333333333,-0.133333333333333,-0.146999612853271,-0.1,-0.135387248609328,-0.134397149599427,-0.142857142857143,-0.142857142857143,-0.151948051948052,-0.1,-0.0507338086749851,-0.0904817404817405,-0.102020202020202,-0.111111111111111,-0.104375859002345,0.273832250670303,0.06,0.0552380952380952,0.0524343569203382,-0.0433333333333333,-0.051025641025641,0,-0.0333333333333333,-0.0385964912280702,0.0114703988420531,-0.0462887989203779,-0.0583068063582326,-0.0258900047824008,0.139099789099789,0.133116883116883,0.133116883116883,-0.181599414540591,-0.229396825396825,-0.351069534300868,-0.200315790543111,-0.0298900047824008,-0.133116883116883,0.0539811066126856,0,-0.0578249336870027,0.0333333333333333,0,0.044971870604782,-0.0666666666666667,-0.26,-0.31,-0.313448275862069,-0.332597212032282,0.145530054644809,0.137333333333333,-0.00495179307896102,-0.255882352941176
"RKIP",0.000565279770444764,-0.305397951142632,0.1,0.133333333333333,0.133333333333333,0.146999612853271,0.1,0.135387248609328,0.134397149599427,0.142857142857143,0.142857142857143,0.151948051948052,0.1,0.0507338086749851,0.0904817404817405,0.102020202020202,0.111111111111111,0.104375859002345,-0.273832250670303,-0.06,-0.0552380952380952,-0.0524343569203382,0.0433333333333333,0.051025641025641,0,0.0333333333333333,0.0385964912280702,-0.0114703988420531,0.0462887989203779,0.0583068063582326,0.0258900047824008,-0.139099789099789,-0.133116883116883,-0.133116883116883,0.181599414540591,0.229396825396825,0.351069534300868,0.200315790543111,0.0298900047824008,0.133116883116883,-0.0539811066126856,0,0.0578249336870027,-0.0333333333333333,0,-0.044971870604782,0.0666666666666667,0.26,0.31,0.313448275862069,0.332597212032282,-0.145530054644809,-0.137333333333333,0.00495179307896102,0.255882352941176
"ERK",0.000722760085405394,-0.304933329969564,0.133333333333333,0.145530054644809,0.137333333333333,0.149388691351565,0.142857142857143,0.137718182809759,0.138630036913103,0.151948051948052,0.157830404889228,0.16058269846721,0.142857142857143,0.0462670779946622,0.0830288015651058,0.0882919594598427,0.0904817404817405,0.0982530069383509,-0.272189979463235,-0.0524343569203382,-0.0480547948765426,-0.0461317179534657,0.0587179487179487,0.0634798534798535,0.0385964912280702,0.0462887989203779,0.0539811066126856,-0.011031802350825,0.0583068063582326,0.0631803090430736,0.02748355558855,-0.145926757510916,-0.144496614496614,-0.144496614496614,0.187829584845974,0.235502542764679,0.343957627517396,0.200851733620967,0.0290692113487482,0.144496614496614,-0.0616525312652958,-0.0333333333333333,0.0537085095705786,-0.051025641025641,-0.0433333333333333,-0.0587710356234592,0.0552380952380952,0.313448275862069,0.332597212032282,0.237597212032282,0.239547072756516,-0.15232175683293,-0.147490838958534,0.00235207797924592,0.25763063031986
"MEK",0.000565279770444764,-0.304660850405531,0.133333333333333,0.137333333333333,0.133333333333333,0.146999612853271,0.142857142857143,0.134397149599427,0.137718182809759,0.142857142857143,0.151948051948052,0.157830404889228,0.1,0.0489023068434833,0.0882919594598427,0.0904817404817405,0.102020202020202,0.0994578262154593,-0.273204635607541,-0.0552380952380952,-0.0524343569203382,-0.0480547948765426,0.051025641025641,0.0587179487179487,0.0333333333333333,0.0385964912280702,0.0462887989203779,-0.0105416062723936,0.0539811066126856,0.0616525312652958,0.0282709571633531,-0.144496614496614,-0.139099789099789,-0.139099789099789,0.18598965844303,0.231619047619048,0.346933281259506,0.200680089268066,0.0259684361549498,0.139099789099789,-0.0583068063582326,0,0.0542213300833991,-0.0433333333333333,-0.0333333333333333,-0.0530799787128901,0.06,0.31,0.313448275862069,0.332597212032282,0.237597212032282,-0.147490838958534,-0.145530054644809,0.00559281871998667,0.254566563467492
"SUFU",-0.0919716569741887,-0.37418702634705,-0.0266666666666667,-0.0919444444444444,-0.0641666666666667,-0.0217972703043421,-0.0928571428571429,-0.0417972350230415,-0.040642500611956,-0.112857142857143,-0.116703296703297,-0.110663028246921,-0.05,0.110323627660884,0.281847041847042,0.277878787878788,0.275606060606061,0.204826567136472,-0.387309594990357,-0.0913963963963964,-0.104162353843205,-0.11067122958285,-0.22457264957265,-0.224200902360754,-0.31,-0.321111111111111,-0.333732470334412,-0.0348082230193078,-0.333732470334412,-0.325711370590167,0.0548687559620418,0.0438613265928788,0.0476587949473092,0.0476587949473092,-0.204047610592876,0.10184026499816,0.482415232055329,0.0167887161522192,0.0581904497016895,-0.0476587949473092,0.331286818160499,0.25,0.182010465969836,0.211111111111111,0.2,0.492614029370241,0.0616666666666667,-0.0538461538461538,-0.0386946386946387,-0.0145567076601559,-0.00647160127717721,0.100290452790453,0.0929545454545454,0.141918358233768,0.104053112653996
"FUS",-0.0939040241239472,-0.368274429946021,0.133333333333333,-0.0641666666666667,-0.0266666666666667,-0.0205924510272336,-0.05,-0.0385714285714286,-0.0417972350230415,-0.0928571428571429,-0.112857142857143,-0.116703296703297,-0.1,0.117540122506245,0.277878787878788,0.275606060606061,0.260606060606061,0.206014215592529,-0.386512146824488,-0.0616666666666667,-0.0913963963963964,-0.104162353843205,-0.211111111111111,-0.22457264957265,-0.25,-0.31,-0.321111111111111,-0.0448453977404974,-0.333732470334412,-0.331286818160499,0.0722600603098679,0.0476587949473092,0.0507155635062612,0.0507155635062612,-0.212506000770229,0.110931174089069,0.482349312477214,0.00772589431905756,0.0827413479052823,-0.0507155635062612,0.333732470334412,0.2,0.177295825771325,0.2,0.15,0.485354076208649,0.02,0,-0.0538461538461538,-0.0386946386946387,-0.0145567076601559,0.0929545454545454,0.0919444444444444,0.133911543923717,0.0889510718376698
"SMO",-0.0834745762711864,-0.359913225932643,0.1,-0.0266666666666667,0.133333333333333,-0.0278388278388278,-0.1,-0.0433333333333333,-0.0385714285714286,-0.05,-0.0928571428571429,-0.112857142857143,0,0.124346405228758,0.275606060606061,0.260606060606061,0.233333333333333,0.196375661375661,-0.380818716167553,-0.02,-0.0616666666666667,-0.0913963963963964,-0.2,-0.211111111111111,-0.2,-0.25,-0.31,-0.0646473779385172,-0.321111111111111,-0.333732470334412,0.0961864406779661,0.0507155635062612,0.0576923076923077,0.0576923076923077,-0.220513449559801,0.126315789473684,0.477501915708812,-0.00679465362614792,0.113888888888889,-0.0576923076923077,0.333732470334412,0.1,0.164137931034483,0.15,0.1,0.466099417823556,0,-0.1,0,-0.0538461538461538,-0.0386946386946387,0.0919444444444444,0.0641666666666667,0.118817204301075,0.0673015873015873
"STAT",-0.13294782140936,-0.322300845571874,-0.05,-0.173333333333333,-0.1,-0.131333333333333,-0.05,-0.139210950080515,-0.141509800655228,-0.09,-0.123333333333333,-0.125028248587571,0,0.284468047361601,0.145208658115568,0.126762056173821,0.107843137254902,0.139523177110637,-0.40053372962652,-0.163636363636364,-0.208373205741627,-0.231078519751289,-0.395454545454545,-0.413101604278075,-0.3,-0.35,-0.395454545454545,-0.149756764734105,-0.413403263403263,-0.424325083355663,0.134740900125516,0.171825117588237,0.176302729528536,0.176302729528536,-0.388877186164477,0.0872742200328407,0.442115462796577,-0.240949982855349,0.260091107149931,-0.176302729528536,0.424444272866986,0.1,0.184786639400136,0.35,0.3,0.455067285655521,0.113636363636364,-0.0666666666666667,-0.0466666666666667,-0.0349019607843137,-0.0187729285262492,0.223467105714482,0.194263565891473,0.137334726146215,0.0542084942084942
