"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"TCF3",-0.998590942229618,-0.873617521769179,1,-0.296699937794092,0.873617521769179,0.99879229823257,0.016457190276526,-0.58536099955327,1,0.998188348506592,1,0.873617521769179,1,1,0.949488214305794,0.873617521769179,0.914681205510801,-0.99879229823257,-0.873617521769179,-0.875827371239019,-0.914481450352345,-0.879266936245603,0.016457190276526,-0.18594444049628,-0.960949301256627,-0.0167583535037201
"TGF-beta",-0.875027965134039,-1,0.873617521769179,-0.423109308626858,1,0.874828102882088,-0.0857421252065379,-0.711755324054228,0.873617521769179,0.875430550798909,0.873617521769179,1,0.873617521769179,0.873617521769179,0.92411762473874,1,0.958937138172913,-0.874828102882088,-1,-0.997786009615683,-0.959138436208496,-0.994365199211023,-0.0857421252065379,-0.126022172344475,-0.912680875163974,-0.0315937700195434
"TWIST1",-0.998590942229618,-0.873617521769179,1,-0.296699937794092,0.873617521769179,0.99879229823257,0.016457190276526,-0.58536099955327,1,0.998188348506592,1,0.873617521769179,1,1,0.949488214305794,0.873617521769179,0.914681205510801,-0.99879229823257,-0.873617521769179,-0.875827371239019,-0.914481450352345,-0.879266936245603,0.016457190276526,-0.18594444049628,-0.960949301256627,-0.0167583535037201
"TWIST2",-0.998590942229618,-0.873617521769179,1,-0.296699937794092,0.873617521769179,0.99879229823257,0.016457190276526,-0.58536099955327,1,0.998188348506592,1,0.873617521769179,1,1,0.949488214305794,0.873617521769179,0.914681205510801,-0.99879229823257,-0.873617521769179,-0.875827371239019,-0.914481450352345,-0.879266936245603,0.016457190276526,-0.18594444049628,-0.960949301256627,-0.0167583535037201
"VIM",-0.950898231220172,-0.92411762473874,0.949488214305794,-0.347221544969209,0.92411762473874,0.950697945166803,-0.0203415054875493,-0.635870815189156,0.949488214305794,0.951300816991066,0.949488214305794,0.92411762473874,0.949488214305794,0.949488214305794,1,0.92411762473874,0.964777920197413,-0.950697945166803,-0.92411762473874,-0.926330441702513,-0.964979746545669,-0.929758987940605,-0.0203415054875493,-0.165654407814979,-0.928964938525654,-0.0366466872708231
"ZEB1",-0.875027965134039,-1,0.873617521769179,-0.423109308626858,1,0.874828102882088,-0.0857421252065379,-0.711755324054228,0.873617521769179,0.875430550798909,0.873617521769179,1,0.873617521769179,0.873617521769179,0.92411762473874,1,0.958937138172913,-0.874828102882088,-1,-0.997786009615683,-0.959138436208496,-0.994365199211023,-0.0857421252065379,-0.126022172344475,-0.912680875163974,-0.0315937700195434
"ZEB2",-0.916091702950717,-0.958937138172913,0.914681205510801,-0.382046463437207,0.958937138172913,0.915891896437892,-0.0503143318976877,-0.670692488847029,0.914681205510801,0.916091702950717,0.914681205510801,0.958937138172913,0.914681205510801,0.914681205510801,0.964777920197413,0.958937138172913,1,-0.915891896437892,-0.958937138172913,-0.961151515671013,-0.999798731667169,-0.964574398969643,-0.0503143318976877,-0.159034763354408,-0.907044617505921,-0.0489051051192428
"miR-101",0.999798722860492,0.874828102882088,-0.99879229823257,0.297908165242484,-0.874828102882088,-1,-0.0176619479215983,0.586570484872257,-0.99879229823257,-0.999396128060832,-0.99879229823257,-0.874828102882088,-0.99879229823257,-0.99879229823257,-0.950697945166803,-0.874828102882088,-0.915891896437892,1,0.874828102882088,0.877037714493231,0.91569222209934,0.880478184671861,-0.0176619479215983,0.184733566916175,0.959740832626135,0.0171641571369125
"miR-141",0.875027965134039,1,-0.873617521769179,0.423109308626858,-1,-0.874828102882088,0.0857421252065379,0.711755324054228,-0.873617521769179,-0.875430550798909,-0.873617521769179,-1,-0.873617521769179,-0.873617521769179,-0.92411762473874,-1,-0.958937138172913,0.874828102882088,1,0.997786009615683,0.959138436208496,0.994365199211023,0.0857421252065379,0.126022172344475,0.912680875163974,0.0315937700195434
"miR-200a",0.877237695189508,0.997786009615683,-0.875827371239019,0.420894419177273,-0.997786009615683,-0.877037714493231,0.0835324615058308,0.709541006565069,-0.875827371239019,-0.877640280634172,-0.875827371239019,-0.997786009615683,-0.875827371239019,-0.875827371239019,-0.926330441702513,-0.997786009615683,-0.961151515671013,0.877037714493231,0.997786009615683,1,0.961352935730824,0.992152177145238,0.0835324615058308,0.128231012905775,0.910461270884259,0.0334101437260788
"miR-200b",0.915891988418255,0.959138436208496,-0.914481450352345,0.382248014631102,-0.959138436208496,-0.91569222209934,0.0501115111243748,0.670893872907968,-0.914481450352345,-0.91629457418915,-0.914481450352345,-0.959138436208496,-0.914481450352345,-0.914481450352345,-0.964979746545669,-0.959138436208496,-0.999798731667169,0.91569222209934,0.959138436208496,0.961352935730824,1,0.964775375004255,0.0501115111243748,0.159237884395399,0.906845182148907,0.0487022431401281
"miR-200c",0.88067771576209,0.994365199211023,-0.879266936245603,0.417475881572497,-0.994365199211023,-0.880478184671861,0.0800938274510136,0.706120889158438,-0.879266936245603,-0.881080302731891,-0.879266936245603,-0.994365199211023,-0.879266936245603,-0.879266936245603,-0.929758987940605,-0.994365199211023,-0.964574398969643,0.880478184671861,0.994365199211023,0.992152177145238,0.964775375004255,1,0.0800938274510136,0.131673157710362,0.907060523477713,0.0323864116830163
"miR-205",-0.0178647622453909,0.0857421252065379,0.016457190276526,0.662666660569117,-0.0857421252065379,0.0176619479215983,1,0.374001450708779,0.016457190276526,0.018267359394097,0.016457190276526,-0.0857421252065379,0.016457190276526,0.016457190276526,-0.0203415054875493,-0.0857421252065379,-0.0503143318976877,-0.0176619479215983,0.0857421252065379,0.0835324615058308,0.0501115111243748,0.0800938274510136,1,-0.00758172809725318,0.0149578382903287,-0.00750816217555037
"miR-30c",0.184936399598995,0.126022172344475,-0.18594444049628,0.0281743374456177,-0.126022172344475,-0.184733566916175,-0.00758172809725318,0.0813272127175044,-0.18594444049628,-0.185339000760751,-0.18594444049628,-0.126022172344475,-0.18594444049628,-0.18594444049628,-0.165654407814979,-0.126022172344475,-0.159034763354408,0.184733566916175,0.126022172344475,0.128231012905775,0.159237884395399,0.131673157710362,-0.00758172809725318,1,0.146879630410414,0.0159724170413995
"miR-34a",0.95953985145022,0.912680875163974,-0.960949301256627,0.335753301521619,-0.912680875163974,-0.959740832626135,0.0149578382903287,0.624419667215947,-0.960949301256627,-0.959137253029096,-0.960949301256627,-0.912680875163974,-0.960949301256627,-0.960949301256627,-0.928964938525654,-0.912680875163974,-0.907044617505921,0.959740832626135,0.912680875163974,0.910461270884259,0.906845182148907,0.907060523477713,0.0149578382903287,0.146879630410414,1,0.014355579488203
"miR-9",0.0169612547053729,0.0315937700195434,-0.0167583535037201,-0.000597562695688266,-0.0315937700195434,-0.0171641571369125,-0.00750816217555037,0.00945767937305827,-0.0167583535037201,-0.016961254705373,-0.0167583535037201,-0.0315937700195434,-0.0167583535037201,-0.0167583535037201,-0.0366466872708231,-0.0315937700195434,-0.0489051051192428,0.0171641571369125,0.0315937700195434,0.0334101437260788,0.0487022431401281,0.0323864116830163,-0.00750816217555037,0.0159724170413995,0.014355579488203,1
