"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"TWIST2",-0.993546470114782,-0.792658573006627,0.996571362367337,-0.272486248749521,0.789229072314596,0.995159395780387,0.013509099377714,-0.52985412747019,0.996571362367337,0.991732106556474,0.996571362367337,0.789229072314596,0.996571362367337,1,0.936873351233172,0.792658573006627,0.887862581276643,-0.995159395780387,-0.792658573006627,-0.813432111006463,-0.887256901895686,-0.813231433165346,0.013509099377714,-0.19444223863691,-0.941105044800873,-0.000396069377560094
"VIM",-0.943324552913237,-0.848938021137818,0.940300472345344,-0.328757165343142,0.852364388830561,0.941712892928077,-0.0226012840375548,-0.586136271398636,0.940300472345344,0.945138801013787,0.940300472345344,0.852364388830561,0.940300472345344,0.936873351233172,1,0.848938021137818,0.949776880045472,-0.941712892928077,-0.848938021137818,-0.876563030220331,-0.950381933884871,-0.87556200683053,-0.0226012840375548,-0.183765298402456,-0.894113543576967,-0.0268075440066865
"ZEB1",-0.792256721167209,-1,0.789230382486152,-0.474585998687122,0.996571376593448,0.790642008092931,-0.120413581724123,-0.734773511895131,0.789230382486152,0.794073187069747,0.789230382486152,0.996571376593448,0.789230382486152,0.792658573006627,0.848938021137818,1,0.897952774414523,-0.790642008092931,-1,-0.97237021601977,-0.898557024419178,-0.972569566655715,-0.120413581724123,-0.0952032646884464,-0.851553427578645,-0.0112920260584178
"ZEB2",-0.893909519032774,-0.897952774414523,0.891289278550371,-0.372525548542243,0.901378819955912,0.892298454591846,-0.0591100275561834,-0.632730911480041,0.891289278550371,0.894916505606096,0.891289278550371,0.901378819955912,0.891289278550371,0.887862581276643,0.949776880045472,0.897952774414523,1,-0.892298454591846,-0.897952774414523,-0.925576738713114,-0.999394919024998,-0.925383636269149,-0.0591100275561834,-0.17509504211503,-0.865272421152068,-0.0483872030730817
"miR-101",0.99838675846922,0.790642008092931,-0.998588151731052,0.270468808818865,-0.79406988968655,-1,-0.018348904140071,0.527838059235863,-0.998588151731052,-0.996572159537001,-0.998588151731052,-0.79406988968655,-0.998588151731052,-0.995159395780387,-0.941712892928077,-0.790642008092931,-0.892298454591846,1,0.790642008092931,0.818272316472882,0.892096246695891,0.81766912307831,-0.018348904140071,0.196460838687924,0.936264387871616,0.00160478212707933
"miR-141",0.792256721167209,1,-0.789230382486152,0.474585998687122,-0.996571376593448,-0.790642008092931,0.120413581724123,0.734773511895131,-0.789230382486152,-0.794073187069747,-0.789230382486152,-0.996571376593448,-0.789230382486152,-0.792658573006627,-0.848938021137818,-1,-0.897952774414523,0.790642008092931,1,0.97237021601977,0.898557024419178,0.972569566655715,0.120413581724123,0.0952032646884464,0.851553427578645,0.0112920260584178
"miR-200a",0.81988530938711,0.97237021601977,-0.816860251423883,0.446951707113384,-0.975797859114602,-0.818272316472882,0.0948036683225758,0.707146622735117,-0.816860251423883,-0.821700499537936,-0.816860251423883,-0.975797859114602,-0.816860251423883,-0.813432111006463,-0.876563030220331,-0.97237021601977,-0.925576738713114,0.818272316472882,0.97237021601977,1,0.926181407881384,0.951797303553418,0.0948036683225758,0.117600033960752,0.851350877202514,0.0191501820913234
"miR-200b",0.893707471601572,0.898557024419178,-0.890683716531047,0.37313059057462,-0.901983188577567,-0.892096246695891,0.0585044207766703,0.633335092181584,-0.890683716531047,-0.89552137347691,-0.890683716531047,-0.901983188577567,-0.890683716531047,-0.887256901895686,-0.950381933884871,-0.898557024419178,-0.999394919024998,0.892096246695891,0.898557024419178,0.926181407881384,1,0.925181066433595,0.0585044207766703,0.175295812513353,0.864666767043836,0.0481861826541561
"miR-200c",0.819283897723941,0.972569566655715,-0.81666090119613,0.447155529076464,-0.975998537776129,-0.81766912307831,0.0982271544290143,0.707343073529357,-0.81666090119613,-0.820697029793584,-0.81666090119613,-0.975998537776129,-0.81666090119613,-0.813231433165346,-0.87556200683053,-0.972569566655715,-0.925383636269149,0.81766912307831,0.972569566655715,0.951797303553418,0.925181066433595,1,0.0982271544290143,0.115372827329898,0.850343259334015,0.0173428948508533
"miR-205",-0.0187505475392225,0.120413581724123,0.0169365980328716,0.645831610335121,-0.116986191220017,0.018348904140071,1,0.385638278506473,0.0169365980328716,0.0205645109949462,0.0169365980328716,-0.116986191220017,0.0169365980328716,0.013509099377714,-0.0226012840375548,-0.120413581724123,-0.0591100275561834,-0.018348904140071,0.120413581724123,0.0948036683225758,0.0585044207766703,0.0982271544290143,1,-0.0111013379694811,0.0187621227351546,-0.00826148352013364
"miR-30c",0.198077788175138,0.0952032646884464,-0.197873544626534,0.0135202151419087,-0.0986343533094217,-0.196460838687924,-0.0111013379694811,0.0526389068544136,-0.197873544626534,-0.199895681378776,-0.197873544626534,-0.0986343533094217,-0.197873544626534,-0.19444223863691,-0.183765298402456,-0.0952032646884464,-0.17509504211503,0.196460838687924,0.0952032646884464,0.117600033960752,0.175295812513353,0.115372827329898,-0.0111013379694811,1,0.135547015096304,0.00324033091633362
"miR-34a",0.93465132803537,0.851553427578645,-0.937676324509842,0.326137111861021,-0.848123966418631,-0.936264387871616,0.0187621227351546,0.586328655891325,-0.937676324509842,-0.932836838691253,-0.937676324509842,-0.848123966418631,-0.937676324509842,-0.941105044800873,-0.894113543576967,-0.851553427578645,-0.865272421152068,0.936264387871616,0.851553427578645,0.851350877202514,0.864666767043836,0.850343259334015,0.0187621227351546,0.135547015096304,1,0.00120285326167799
"miR-9",-1.17161403746657e-05,0.0112920260584178,-0.000998961923328047,-0.00625916299100362,-0.0118949241562945,-0.00160478212707933,-0.00826148352013364,-0.000198034386673411,-0.000998961923328047,-0.00139796634625096,-0.000998961923328047,-0.0118949241562945,-0.000998961923328047,-0.000396069377560094,-0.0268075440066865,-0.0112920260584178,-0.0483872030730817,0.00160478212707933,0.0112920260584178,0.0191501820913234,0.0481861826541561,0.0173428948508533,-0.00826148352013364,0.00324033091633362,0.00120285326167799,1
