"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"VIM",-1,1,0.897446072056453,1,1,1,1,0.897446072056453,1,1,1,0.909063954638122,0.904456229608675,-1,-0.909063954638122,-0.897446072056453,-0.916074123377311,-0.897446072056453,-0.0528073117821417,-0.223841317053213,-0.971158434053425,-0.018905697123314
"ZEB1",-0.909063954638122,0.909063954638122,0.988382316454522,0.909063954638122,0.909063954638122,0.909063954638122,0.909063954638122,0.988382316454522,0.909063954638122,0.909063954638122,0.909063954638122,1,0.981371647473141,-0.909063954638122,-1,-0.988382316454522,-0.992989342205393,-0.988382316454522,-0.138927254560005,-0.168954831306763,-0.937905442668463,-0.0381432284339534
"ZEB2",-0.904456229608675,0.904456229608675,0.992989342205393,0.904456229608675,0.904456229608675,0.904456229608675,0.904456229608675,0.992989342205393,0.904456229608675,0.904456229608675,0.904456229608675,0.981371647473141,1,-0.904456229608675,-0.981371647473141,-0.992989342205393,-0.988382294080962,-0.992989342205393,-0.143535084593412,-0.187583140245733,-0.919276913483462,-0.0531654303811922
"miR-101",1,-1,-0.897446072056453,-1,-1,-1,-1,-0.897446072056453,-1,-1,-1,-0.909063954638122,-0.904456229608675,1,0.909063954638122,0.897446072056453,0.916074123377311,0.897446072056453,0.0528073117821417,0.223841317053213,0.971158434053425,0.018905697123314
"miR-141",0.909063954638122,-0.909063954638122,-0.988382316454522,-0.909063954638122,-0.909063954638122,-0.909063954638122,-0.909063954638122,-0.988382316454522,-0.909063954638122,-0.909063954638122,-0.909063954638122,-1,-0.981371647473141,0.909063954638122,1,0.988382316454522,0.992989342205393,0.988382316454522,0.138927254560005,0.168954831306763,0.937905442668463,0.0381432284339534
"miR-200a",0.897446072056453,-0.897446072056453,-1,-0.897446072056453,-0.897446072056453,-0.897446072056453,-0.897446072056453,-1,-0.897446072056453,-0.897446072056453,-0.897446072056453,-0.988382316454522,-0.992989342205393,0.897446072056453,0.988382316454522,1,0.981371647473141,1,0.15054488077377,0.180572386206656,0.926287736283286,0.0497608392661843
"miR-200b",0.916074123377311,-0.916074123377311,-0.981371647473141,-0.916074123377311,-0.916074123377311,-0.916074123377311,-0.916074123377311,-0.981371647473141,-0.916074123377311,-0.916074123377311,-0.916074123377311,-0.992989342205393,-0.988382294080962,0.916074123377311,0.992989342205393,0.981371647473141,1,0.981371647473141,0.131917447192928,0.175965574159189,0.930894631055436,0.0415478083622567
"miR-200c",0.897446072056453,-0.897446072056453,-1,-0.897446072056453,-0.897446072056453,-0.897446072056453,-0.897446072056453,-1,-0.897446072056453,-0.897446072056453,-0.897446072056453,-0.988382316454522,-0.992989342205393,0.897446072056453,0.988382316454522,1,0.981371647473141,1,0.15054488077377,0.180572386206656,0.926287736283286,0.0497608392661843
"miR-205",0.0528073117821417,-0.0528073117821417,-0.15054488077377,-0.0528073117821417,-0.0528073117821417,-0.0528073117821417,-0.0528073117821417,-0.15054488077377,-0.0528073117821417,-0.0528073117821417,-0.0528073117821417,-0.138927254560005,-0.143535084593412,0.0528073117821417,0.138927254560005,0.15054488077377,0.131917447192928,0.15054488077377,1,-0.003504928384341,0.0768346007722016,0.00511860023014492
"miR-30c",0.223841317053213,-0.223841317053213,-0.180572386206656,-0.223841317053213,-0.223841317053213,-0.223841317053213,-0.223841317053213,-0.180572386206656,-0.223841317053213,-0.223841317053213,-0.223841317053213,-0.168954831306763,-0.187583140245733,0.223841317053213,0.168954831306763,0.180572386206656,0.175965574159189,0.180572386206656,-0.003504928384341,1,0.194994521722749,-0.000501064476159337
"miR-34a",0.971158434053425,-0.971158434053425,-0.926287736283286,-0.971158434053425,-0.971158434053425,-0.971158434053425,-0.971158434053425,-0.926287736283286,-0.971158434053425,-0.971158434053425,-0.971158434053425,-0.937905442668463,-0.919276913483462,0.971158434053425,0.937905442668463,0.926287736283286,0.930894631055436,0.926287736283286,0.0768346007722016,0.194994521722749,1,0.0269250340566077
"miR-9",0.018905697123314,-0.018905697123314,-0.0497608392661843,-0.018905697123314,-0.018905697123314,-0.018905697123314,-0.018905697123314,-0.0497608392661843,-0.018905697123314,-0.018905697123314,-0.018905697123314,-0.0381432284339534,-0.0531654303811922,0.018905697123314,0.0381432284339534,0.0497608392661843,0.0415478083622567,0.0497608392661843,0.00511860023014492,-0.000501064476159337,0.0269250340566077,1
