"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"VIM",-0.99477595912554,0.995780601278443,0.90979057328205,0.972072490490122,0.995780601278443,0.906382169262108,0.995780601278443,0.90979057328205,0.995780601278443,0.909996947975908,1,0.923250740397441,0.911202501710305,-0.972072490490122,-0.923250740397441,-0.908387804284325,-0.916826669523168,-0.907784214203307,-0.0667042261982264,-0.222226479089944,-0.963230798282152,-0.0192887472275841
"ZEB1",-0.918026699522981,0.919031883626808,0.986538216325944,0.895319350480361,0.919031883626808,0.829617731298449,0.919031883626808,0.986538216325944,0.919031883626808,0.833233751961707,0.923250740397441,1,0.97428353888612,-0.895319350480361,-1,-0.985132815021821,-0.979908755588252,-0.984529745206538,-0.135024329085353,-0.16676438733993,-0.951581686623099,-0.0405867389580415
"ZEB2",-0.907987691751914,0.906984024560479,0.987744513509822,0.889697776002427,0.906984024560479,0.844080815806849,0.906984024560479,0.987744513509822,0.906984024560479,0.832025365922979,0.911202501710305,0.97428353888612,1,-0.889697776002427,-0.97428353888612,-0.989150058587182,-0.994374143328768,-0.989752944522592,-0.139047536884295,-0.192478879708135,-0.925871038784633,-0.0606794779477717
"miR-101",0.977296526197593,-0.976292199547719,-0.88185832014167,-1,-0.976292199547719,-0.925865697876996,-0.976292199547719,-0.88185832014167,-0.976292199547719,-0.937919877682775,-0.972072490490122,-0.895319350480361,-0.889697776002427,1,0.895319350480361,0.882061470392528,0.895322531223031,0.883467429378652,0.0572635272819266,0.24171257720539,0.943742428745758,0.0170785613823588
"miR-141",0.918026699522981,-0.919031883626808,-0.986538216325944,-0.895319350480361,-0.919031883626808,-0.829617731298449,-0.919031883626808,-0.986538216325944,-0.919031883626808,-0.833233751961707,-0.923250740397441,-1,-0.97428353888612,0.895319350480361,1,0.985132815021821,0.979908755588252,0.984529745206538,0.135024329085353,0.16676438733993,0.951581686623099,0.0405867389580415
"miR-200a",0.903967446302073,-0.904169250990766,-0.997790323372029,-0.882061470392528,-0.904169250990766,-0.833231221538534,-0.904169250990766,-0.997790323372029,-0.904169250990766,-0.821979346856465,-0.908387804284325,-0.985132815021821,-0.989150058587182,0.882061470392528,0.985132815021821,1,0.983524061715189,0.993771315455803,0.143065061229969,0.1816296095521,0.936719169624619,0.0526423929938138
"miR-200b",0.913611863717894,-0.912608118784728,-0.982118128937553,-0.895322531223031,-0.912608118784728,-0.84970720505365,-0.912608118784728,-0.982118128937553,-0.912608118784728,-0.83765160108122,-0.916826669523168,-0.979908755588252,-0.994374143328768,0.895322531223031,0.979908755588252,0.983524061715189,1,0.984126869422538,0.133420633885676,0.186853679003382,0.931495108609309,0.0550534949629961
"miR-200c",0.903765709299061,-0.903565622825836,-0.995981813927138,-0.883467429378652,-0.903565622825836,-0.833834280364446,-0.903565622825836,-0.995981813927138,-0.903565622825836,-0.823787887961488,-0.907784214203307,-0.984529745206538,-0.989752944522592,0.883467429378652,0.984529745206538,0.993771315455803,0.984126869422538,1,0.143265499226946,0.182232764571659,0.936115522405687,0.0528432872246044
"miR-205",0.0634894285044642,-0.0624844194374211,-0.142459906528062,-0.0572635272819266,-0.0624844194374211,-0.0566688366722541,-0.0624844194374211,-0.142459906528062,-0.0624844194374211,-0.0506401720174238,-0.0667042261982264,-0.135024329085353,-0.139047536884295,0.0572635272819266,0.135024329085353,0.143065061229969,0.133420633885676,0.143265499226946,1,-0.00622383798538558,0.0865954094409587,-0.00100462328564783
"miR-30c",0.219011678540937,-0.218007603826218,-0.180225096826296,-0.24171257720539,-0.218007603826218,-0.315846938570712,-0.218007603826218,-0.180225096826296,-0.218007603826218,-0.303791887972032,-0.222226479089944,-0.16676438733993,-0.192478879708135,0.24171257720539,0.16676438733993,0.1816296095521,0.186853679003382,0.182232764571659,-0.00622383798538558,1,0.185457738412078,-0.00622866990304829
"miR-34a",0.96644559363981,-0.967450187148283,-0.938121665709389,-0.943742428745758,-0.967450187148283,-0.869613757272221,-0.967450187148283,-0.938121665709389,-0.967450187148283,-0.881667388472782,-0.963230798282152,-0.951581686623099,-0.925871038784633,0.943742428745758,0.951581686623099,0.936719169624619,0.931495108609309,0.936115522405687,0.0865954094409587,0.185457738412078,1,0.0283303560683738
"miR-9",0.0176813516252854,-0.0186859795344593,-0.0520394861965579,-0.0170785613823588,-0.0186859795344593,-0.0180833144116601,-0.0186859795344593,-0.0520394861965579,-0.0186859795344593,-0.0116536745727508,-0.0192887472275841,-0.0405867389580415,-0.0606794779477717,0.0170785613823588,0.0405867389580415,0.0526423929938138,0.0550534949629961,0.0528432872246044,-0.00100462328564783,-0.00622866990304829,0.0283303560683738,1
