"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"VIM",-1,1,0.899458866143128,1,1,1,1,0.899458866143128,1,1,1,0.909873191385745,0.906670107786213,-1,-0.909873191385745,-0.899458866143128,-0.917084130639588,-0.899458866143128,-0.0496847759418145,-0.221350974443928,-0.969957908937815,-0.0162150180434386
"ZEB1",-0.909873191385745,0.909873191385745,0.989585439238412,0.909873191385745,0.909873191385745,0.909873191385745,0.909873191385745,0.989585439238412,0.909873191385745,0.909873191385745,0.909873191385745,1,0.982375970422349,-0.909873191385745,-1,-0.989585439238412,-0.99279019061745,-0.989585439238412,-0.133000682945503,-0.168470045454658,-0.939915965584529,-0.0374459082835537
"ZEB2",-0.906670107786213,0.906670107786213,0.992790202185041,0.906670107786213,0.906670107786213,0.906670107786213,0.906670107786213,0.992790202185041,0.906670107786213,0.906670107786213,0.906670107786213,0.982375970422349,1,-0.906670107786213,-0.982375970422349,-0.992790202185041,-0.989585472658349,-0.992790202185041,-0.136199113062814,-0.186083387052742,-0.92229345680824,-0.0526703233142079
"miR-101",1,-1,-0.899458866143128,-1,-1,-1,-1,-0.899458866143128,-1,-1,-1,-0.909873191385745,-0.906670107786213,1,0.909873191385745,0.899458866143128,0.917084130639588,0.899458866143128,0.0496847759418145,0.221350974443928,0.969957908937815,0.0162150180434386
"miR-141",0.909873191385745,-0.909873191385745,-0.989585439238412,-0.909873191385745,-0.909873191385745,-0.909873191385745,-0.909873191385745,-0.989585439238412,-0.909873191385745,-0.909873191385745,-0.909873191385745,-1,-0.982375970422349,0.909873191385745,1,0.989585439238412,0.99279019061745,0.989585439238412,0.133000682945503,0.168470045454658,0.939915965584529,0.0374459082835537
"miR-200a",0.899458866143128,-0.899458866143128,-1,-0.899458866143128,-0.899458866143128,-0.899458866143128,-0.899458866143128,-1,-0.899458866143128,-0.899458866143128,-0.899458866143128,-0.989585439238412,-0.992790202185041,0.899458866143128,0.989585439238412,1,0.982375334276986,1,0.143413355493335,0.178881059306323,0.929501903916326,0.0478615561456054
"miR-200b",0.917084130639588,-0.917084130639588,-0.982375334276986,-0.917084130639588,-0.917084130639588,-0.917084130639588,-0.917084130639588,-0.982375334276986,-0.917084130639588,-0.917084130639588,-0.917084130639588,-0.99279019061745,-0.989585472658349,0.917084130639588,0.99279019061745,0.982375334276986,1,0.982375334276986,0.125786408241301,0.175672338795389,0.932707197192321,0.0422546815626731
"miR-200c",0.899458866143128,-0.899458866143128,-1,-0.899458866143128,-0.899458866143128,-0.899458866143128,-0.899458866143128,-1,-0.899458866143128,-0.899458866143128,-0.899458866143128,-0.989585439238412,-0.992790202185041,0.899458866143128,0.989585439238412,1,0.982375334276986,1,0.143413355493335,0.178881059306323,0.929501903916326,0.0478615561456054
"miR-205",0.0496847759418145,-0.0496847759418145,-0.143413355493335,-0.0496847759418145,-0.0496847759418145,-0.0496847759418145,-0.0496847759418145,-0.143413355493335,-0.0496847759418145,-0.0496847759418145,-0.0496847759418145,-0.133000682945503,-0.136199113062814,0.0496847759418145,0.133000682945503,0.143413355493335,0.125786408241301,0.143413355493335,1,-0.0108629617896076,0.0729217244556884,-0.00439371926882603
"miR-30c",0.221350974443928,-0.221350974443928,-0.178881059306323,-0.221350974443928,-0.221350974443928,-0.221350974443928,-0.221350974443928,-0.178881059306323,-0.221350974443928,-0.221350974443928,-0.221350974443928,-0.168470045454658,-0.186083387052742,0.221350974443928,0.168470045454658,0.178881059306323,0.175672338795389,0.178881059306323,-0.0108629617896076,1,0.191315717470034,0.00022584352780755
"miR-34a",0.969957908937815,-0.969957908937815,-0.929501903916326,-0.969957908937815,-0.969957908937815,-0.969957908937815,-0.969957908937815,-0.929501903916326,-0.969957908937815,-0.969957908937815,-0.969957908937815,-0.939915965584529,-0.92229345680824,0.969957908937815,0.939915965584529,0.929501903916326,0.932707197192321,0.929501903916326,0.0729217244556884,0.191315717470034,1,0.0262271024893295
"miR-9",0.0162150180434386,-0.0162150180434386,-0.0478615561456054,-0.0162150180434386,-0.0162150180434386,-0.0162150180434386,-0.0162150180434386,-0.0478615561456054,-0.0162150180434386,-0.0162150180434386,-0.0162150180434386,-0.0374459082835537,-0.0526703233142079,0.0162150180434386,0.0374459082835537,0.0478615561456054,0.0422546815626731,0.0478615561456054,-0.00439371926882603,0.00022584352780755,0.0262271024893295,1
