"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"VIM",-1,1,0.924256079721541,1,1,1,1,0.924256079721541,1,1,1,0.943292740682714,0.924256079721541,-1,-0.943292740682714,-0.0409773618549557,-0.943292740682714,-0.924256079721541,-0.0511973697904621,-0.231548750225385,-0.982767333078171,-0.00891894613781566
"ZEB1",-0.943292740682714,0.943292740682714,0.980964327643497,0.943292740682714,0.943292740682714,0.943292740682714,0.943292740682714,0.980964327643497,0.943292740682714,0.943292740682714,0.943292740682714,1,0.980964327643497,-0.943292740682714,-1,-0.0924772292066205,-1,-0.980964327643497,-0.102294178260721,-0.201700671833827,-0.960525961813892,-0.027147815435957
"ZEB2",-0.924256079721541,0.924256079721541,1,0.924256079721541,0.924256079721541,0.924256079721541,0.924256079721541,1,0.924256079721541,0.924256079721541,0.924256079721541,0.980964327643497,1,-0.924256079721541,-0.980964327643497,-0.1115115074683,-0.980964327643497,-1,-0.121330629307553,-0.220727636625973,-0.941488892046675,-0.0461904584546088
"miR-101",1,-1,-0.924256079721541,-1,-1,-1,-1,-0.924256079721541,-1,-1,-1,-0.943292740682714,-0.924256079721541,1,0.943292740682714,0.0409773618549557,0.943292740682714,0.924256079721541,0.0511973697904621,0.231548750225385,0.982767333078171,0.00891894613781566
"miR-141",0.943292740682714,-0.943292740682714,-0.980964327643497,-0.943292740682714,-0.943292740682714,-0.943292740682714,-0.943292740682714,-0.980964327643497,-0.943292740682714,-0.943292740682714,-0.943292740682714,-1,-0.980964327643497,0.943292740682714,1,0.0924772292066205,1,0.980964327643497,0.102294178260721,0.201700671833827,0.960525961813892,0.027147815435957
"miR-200a",0.0409773618549557,-0.0409773618549557,-0.1115115074683,-0.0409773618549557,-0.0409773618549557,-0.0409773618549557,-0.0409773618549557,-0.1115115074683,-0.0409773618549557,-0.0409773618549557,-0.0409773618549557,-0.0924772292066205,-0.1115115074683,0.0409773618549557,0.0924772292066205,1,0.0924772292066205,0.1115115074683,0.00951867420914295,0.0599979441595563,0.0529994753271264,0.0642349720504216
"miR-200b",0.943292740682714,-0.943292740682714,-0.980964327643497,-0.943292740682714,-0.943292740682714,-0.943292740682714,-0.943292740682714,-0.980964327643497,-0.943292740682714,-0.943292740682714,-0.943292740682714,-1,-0.980964327643497,0.943292740682714,1,0.0924772292066205,1,0.980964327643497,0.102294178260721,0.201700671833827,0.960525961813892,0.027147815435957
"miR-200c",0.924256079721541,-0.924256079721541,-1,-0.924256079721541,-0.924256079721541,-0.924256079721541,-0.924256079721541,-1,-0.924256079721541,-0.924256079721541,-0.924256079721541,-0.980964327643497,-1,0.924256079721541,0.980964327643497,0.1115115074683,0.980964327643497,1,0.121330629307553,0.220727636625973,0.941488892046675,0.0461904584546088
"miR-205",0.0511973697904621,-0.0511973697904621,-0.121330629307553,-0.0511973697904621,-0.0511973697904621,-0.0511973697904621,-0.0511973697904621,-0.121330629307553,-0.0511973697904621,-0.0511973697904621,-0.0511973697904621,-0.102294178260721,-0.121330629307553,0.0511973697904621,0.102294178260721,0.00951867420914295,0.102294178260721,0.121330629307553,1,-0.0019006727267533,0.0628195858652642,0.0079133497471877
"miR-30c",0.231548750225385,-0.231548750225385,-0.220727636625973,-0.231548750225385,-0.231548750225385,-0.231548750225385,-0.231548750225385,-0.220727636625973,-0.231548750225385,-0.231548750225385,-0.231548750225385,-0.201700671833827,-0.220727636625973,0.231548750225385,0.201700671833827,0.0599979441595563,0.201700671833827,0.220727636625973,-0.0019006727267533,1,0.214311112285234,-0.00364545332447327
"miR-34a",0.982767333078171,-0.982767333078171,-0.941488892046675,-0.982767333078171,-0.982767333078171,-0.982767333078171,-0.982767333078171,-0.941488892046675,-0.982767333078171,-0.982767333078171,-0.982767333078171,-0.960525961813892,-0.941488892046675,0.982767333078171,0.960525961813892,0.0529994753271264,0.960525961813892,0.941488892046675,0.0628195858652642,0.214311112285234,1,0.0189406230257975
"miR-9",0.00891894613781566,-0.00891894613781566,-0.0461904584546088,-0.00891894613781566,-0.00891894613781566,-0.00891894613781566,-0.00891894613781566,-0.0461904584546088,-0.00891894613781566,-0.00891894613781566,-0.00891894613781566,-0.027147815435957,-0.0461904584546088,0.00891894613781566,0.027147815435957,0.0642349720504216,0.027147815435957,0.0461904584546088,0.0079133497471877,-0.00364545332447327,0.0189406230257975,1
