"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"miR34a",-0.696201813630352,-0.791340331036863,-0.390603631774738,-0.786554743252832,-0.555645619068969,-0.663391670557775,-0.504106701812219,-0.751272579918045,-0.476547811729258,0,0.631025757128321,0,0,0.731363704994715,0.723229143878078,0.731363704994715,0.729435479260678,0.579776424329844,-0.528382937705526,-0.595338617778026,-0.536901889249463,0.675967177011561
"miR30c",-0.76448197290015,-0.653484853117066,-0.360568922261918,-0.638849226607304,-0.505724232611097,-0.63518816101279,-0.456971347825015,-0.707870367952996,-0.367888837012258,0,0.545463710737405,0,0,0.700155054368654,0.690546797496531,0.700155054368654,0.595391896080776,0.530176054632389,-0.481719943296463,-0.571357682346328,-0.473806628279253,0.636354836210455
"miR205",-0.927666290965806,-0.924524678548091,-0.632522833042608,-0.721732151026646,-0.538770173270283,-0.765232982233051,-0.47684262713221,-0.696485687582659,-0.504888840975435,0,0.790129220271757,0,0,0.848394936443001,0.843532307865327,0.848394936443001,0.847297940640968,0.542590847797223,-0.479980033694225,-0.680613912679849,-0.519647036811852,0.813823271669748
"miR200c",-0.882333393179466,-0.878236160670539,-0.537096074709516,-0.67488297852567,-0.562922459667222,-0.831064219032011,-0.50590688801263,-0.743912521354509,-0.502246901577074,0,0.737909987790165,0,0,0.808508990465861,0.802100993391158,0.808508990465861,0.80693136209234,0.569808322496576,-0.512078450081266,-0.753000026574087,-0.539930139798292,0.765737492143038
"miR200b",-0.882333393179466,-0.878236160670539,-0.537096074709516,-0.67488297852567,-0.562922459667222,-0.831064219032011,-0.50590688801263,-0.743912521354509,-0.502246901577074,0,0.737909987790165,0,0,0.808508990465861,0.802100993391158,0.808508990465861,0.80693136209234,0.569808322496576,-0.512078450081266,-0.753000026574087,-0.539930139798292,0.765737492143038
"miR200a",-0.882333393179466,-0.878236160670539,-0.537096074709516,-0.67488297852567,-0.562922459667222,-0.831064219032011,-0.50590688801263,-0.743912521354509,-0.502246901577074,0,0.737909987790165,0,0,0.808508990465861,0.802100993391158,0.808508990465861,0.80693136209234,0.569808322496576,-0.512078450081266,-0.753000026574087,-0.539930139798292,0.765737492143038
"miR141",-0.882333393179466,-0.878236160670539,-0.537096074709516,-0.67488297852567,-0.562922459667222,-0.831064219032011,-0.50590688801263,-0.743912521354509,-0.502246901577074,0,0.737909987790165,0,0,0.808508990465861,0.802100993391158,0.808508990465861,0.80693136209234,0.569808322496576,-0.512078450081266,-0.753000026574087,-0.539930139798292,0.765737492143038
"miR101",-0.78269432333865,-0.775666107483481,-0.473525561178431,-0.555947328316328,-0.428719991732172,-0.650640061655891,-0.378449368174647,-0.620073226906256,-0.390498609745475,0,0.598369739333192,0,0,0.718027373443719,0.708057535153091,0.718027373443719,0.715116183691299,0.511725244078645,-0.56156336891677,-0.584157540851514,-0.486972540466455,0.648554873548287
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"GSC",0.803484387342519,0.799478545786832,0.489892962502605,0.58860515671559,0.629997138783992,0.668510451598415,0.577797617611305,0.648199623228106,0.482312011053187,0,-0.646953255375924,0,0,-0.737992377922205,-0.72857652444623,-0.737992377922205,-0.736396603382854,-0.569344561444164,0.517168775145154,0.599156885014827,0.618226843797908,-0.680317366307987
"FOXC2",0.720625656399117,0.91740870608618,0.615459354012995,0.714446208409903,0.529836091387844,0.760456242710996,0.468458019918029,0.688472017639182,0.492585114523221,0,-0.781298080848055,0,0,-0.84245611375939,-0.837343396504676,-0.84245611375939,-0.841334123371343,-0.53420437703551,0.472296228285256,0.677050032493472,0.509074832342637,-0.806146083455653
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
