"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"miR34a",-0.661491843373988,-0.787153472490434,-0.662908560160477,-0.785664123471775,-0.554721538717252,-0.654956721484454,-0.503749665215968,-0.74957441357659,-0.475057801134034,0,0.628975899666084,0,0,0.717145976699549,0.711722645288563,0.717145976699549,0.726822628820202,0.579010096796732,-0.528099745181808,-0.589684935200272,-0.535948012411192,0.667490892427715
"miR30c",-0.729680711417899,-0.649059229901023,-0.621947921385023,-0.637842865866903,-0.504691346880594,-0.626429621791664,-0.456524295575783,-0.705998898953941,-0.36625345033083,0,0.543220433778179,0,0,0.685588293772677,0.678711490372511,0.685588293772677,0.592541262854203,0.529314391630941,-0.481364992471942,-0.565288774567318,-0.472740954706293,0.627601014926105
"miR205",-0.866404370410665,-0.914952173304855,-0.793501983538523,-0.71899766226166,-0.536032972165695,-0.747452362743275,-0.475361406888867,-0.691853656550837,-0.500922809258544,0,0.784706414253856,0,0,0.820582844792134,0.820585005794909,0.820582844792134,0.840504949977395,0.540277310471909,-0.478803398311119,-0.666890409726232,-0.516823582090046,0.796570564426477
"miR200c",-0.790091060635661,-0.856840019060265,-0.72979357356919,-0.66477824595547,-0.553449171994178,-0.796726647676625,-0.498831801688574,-0.730812654747551,-0.492061944937623,0,0.723501833670625,0,0,0.761037012593104,0.761487691013406,0.761037012593104,0.789714537721402,0.561253520280689,-0.505886164363399,-0.724095043581877,-0.530382918289962,0.733914781887328
"miR200b",-0.790091060635661,-0.856840019060265,-0.72979357356919,-0.66477824595547,-0.553449171994178,-0.796726647676625,-0.498831801688574,-0.730812654747551,-0.492061944937623,0,0.723501833670625,0,0,0.761037012593104,0.761487691013406,0.761037012593104,0.789714537721402,0.561253520280689,-0.505886164363399,-0.724095043581877,-0.530382918289962,0.733914781887328
"miR200a",-0.790091060635661,-0.856840019060265,-0.72979357356919,-0.66477824595547,-0.553449171994178,-0.796726647676625,-0.498831801688574,-0.730812654747551,-0.492061944937623,0,0.723501833670625,0,0,0.761037012593104,0.761487691013406,0.761037012593104,0.789714537721402,0.561253520280689,-0.505886164363399,-0.724095043581877,-0.530382918289962,0.733914781887328
"miR141",-0.790091060635661,-0.856840019060265,-0.72979357356919,-0.66477824595547,-0.553449171994178,-0.796726647676625,-0.498831801688574,-0.730812654747551,-0.492061944937623,0,0.723501833670625,0,0,0.761037012593104,0.761487691013406,0.761037012593104,0.789714537721402,0.561253520280689,-0.505886164363399,-0.724095043581877,-0.530382918289962,0.733914781887328
"miR101",-0.741101634805292,-0.769853847081234,-0.636525907899068,-0.554458380720035,-0.427205183709359,-0.639402859446916,-0.377731112509833,-0.617450687736703,-0.388233957313358,0,0.595262110656911,0,0,0.699980317098089,0.693336127729109,0.699980317098089,0.711194286324679,0.510455949486422,-0.560993375023847,-0.575955226659569,-0.485409565977163,0.637615213594068
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"GSC",0.300503403653799,0.621741192208516,0.456819545736163,0.471402527228609,0.52356132966937,0.407575139213151,0.486255394266993,0.515559663622555,0.385193975726931,0,-0.508831245241026,0,0,-0.427111720557,-0.436501479822075,-0.427111720557,-0.578166819048006,-0.46906763059553,0.431941275459696,0.360251417725313,0.512489031370319,-0.466842463833488
"FOXC2",0.664560816128396,0.90902539055283,0.787700937958673,0.71209913093589,0.527483708257179,0.744713576535119,0.467183458048672,0.684465963580744,0.489145105398429,0,-0.776599958004718,0,0,-0.817505548459336,-0.81688211216241,-0.817505548459336,-0.835436898332542,-0.532218013554002,0.471285276305475,0.665010250028228,0.50664645214963,-0.790878703081925
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
