"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"miR34a",-0.712616324452862,-0.807521773628231,-0.688907212985579,-0.799601337237646,-0.546654890125414,-0.673601528158723,-0.490881917753409,-0.768866371137752,-0.392698864731005,0,0.642415564391244,0,0,0.744422990272017,0.736718927420809,0.744422990272017,0.742390073553124,0.591315648484344,-0.536221580426361,-0.602543260029161,-0.544194365861167,0.692254353778167
"miR30c",-0.76981119949346,-0.658415691135604,-0.637068596971153,-0.64290719584284,-0.512820400651419,-0.637275534496951,-0.461541850834834,-0.713514955073018,-0.364060753892416,0,0.552011754098478,0,0,0.703591925219026,0.694181458845127,0.703591925219026,0.598662491133916,0.53490654029931,-0.484312262347022,-0.572159844045368,-0.476821437646133,0.641612321221793
"miR205",-0.931863066141601,-0.928618717828851,-0.816745177137365,-0.725041379314102,-0.544063560572151,-0.766921507455703,-0.480018506703395,-0.701384854252754,-0.501750771253739,0,0.795380845551567,0,0,0.851096504359082,0.846418191615443,0.851096504359082,0.849967265706222,0.547040943615147,-0.482643890493782,-0.681419023547946,-0.523176079353637,0.818165728396359
"miR200c",-0.886700832516888,-0.882468912512273,-0.76853824413295,-0.678325969238679,-0.568254010095895,-0.832716433626453,-0.509444677835236,-0.748902534916445,-0.498889904368987,0,0.743384476586937,0,0,0.811308575772641,0.805091855303503,0.811308575772641,0.809667276520453,0.574001218782241,-0.514626378131585,-0.753715762680926,-0.543012264358853,0.770184585820413
"miR200b",-0.886700832516888,-0.882468912512273,-0.76853824413295,-0.678325969238679,-0.568254010095895,-0.832716433626453,-0.509444677835236,-0.748902534916445,-0.498889904368987,0,0.743384476586937,0,0,0.811308575772641,0.805091855303503,0.811308575772641,0.809667276520453,0.574001218782241,-0.514626378131585,-0.753715762680926,-0.543012264358853,0.770184585820413
"miR200a",-0.886700832516888,-0.882468912512273,-0.76853824413295,-0.678325969238679,-0.568254010095895,-0.832716433626453,-0.509444677835236,-0.748902534916445,-0.498889904368987,0,0.743384476586937,0,0,0.811308575772641,0.805091855303503,0.811308575772641,0.809667276520453,0.574001218782241,-0.514626378131585,-0.753715762680926,-0.543012264358853,0.770184585820413
"miR141",-0.886700832516888,-0.882468912512273,-0.76853824413295,-0.678325969238679,-0.568254010095895,-0.832716433626453,-0.509444677835236,-0.748902534916445,-0.498889904368987,0,0.743384476586937,0,0,0.811308575772641,0.805091855303503,0.811308575772641,0.809667276520453,0.574001218782241,-0.514626378131585,-0.753715762680926,-0.543012264358853,0.770184585820413
"miR101",-0.786828917452918,-0.779673450100171,-0.652830726497407,-0.558963275962863,-0.43240313408777,-0.652240944079044,-0.379651832716279,-0.624794524699216,-0.382550380687909,0,0.603036154124575,0,0,0.720666826660908,0.710883391858013,0.720666826660908,0.717717811354265,0.515249411150993,-0.56306288811811,-0.584742535183833,-0.490309479702471,0.652668191630938
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"GSC",0.807688870928106,0.803582689007936,0.682366857973708,0.591986871983032,0.634270989313277,0.670097121979433,0.580067445702903,0.653126129122595,0.476635861636254,0,-0.652210396131709,0,0,-0.740692282350728,-0.73147559423591,-0.740692282350728,-0.739054605094948,-0.573016006688827,0.519082218561394,0.599758349567586,0.621081196967923,-0.684638606177854
"FOXC2",0.726008651143531,0.922685315843944,0.810104415835413,0.718803354239701,0.536450835544698,0.762795443642828,0.47258265779343,0.694712028164309,0.488848815512226,0,-0.787835434782108,0,0,-0.846064729041527,-0.841185369099326,-0.846064729041527,-0.844908839468297,-0.53995801745674,0.475926606935396,0.678218973054593,0.513737165788274,-0.811710992298303
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
