"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"miR205",-0.925554829538637,-0.922406851796874,-0.810283160148844,-0.72033646568053,-0.536861700800093,-0.765501524235158,-0.475748103091741,-0.694508565946967,-0.502271523588591,0,0.78785531685189,0,0,0.846945491954699,0.846945491954699,0.846945491954699,0.845856972067695,0.54095068766731,-0.479043909501402,-0.680994039675334,-0.517434756471592,0.811995370045095
"miR200c",-0.878860313681087,-0.874766830314492,-0.760618294226335,-0.672323364620834,-0.559556117439991,-0.830836552102511,-0.503553860840923,-0.740631559085751,-0.498141468477725,0,0.734306422296833,0,0,0.80585615406421,0.80585615406421,0.80585615406421,0.804288430363548,0.566887609400332,-0.51003882365761,-0.753116316150255,-0.536193758913515,0.762631263392392
"miR200b",-0.878860313681087,-0.874766830314492,-0.760618294226335,-0.672323364620834,-0.559556117439991,-0.830836552102511,-0.503553860840923,-0.740631559085751,-0.498141468477725,0,0.734306422296833,0,0,0.80585615406421,0.80585615406421,0.80585615406421,0.804288430363548,0.566887609400332,-0.51003882365761,-0.753116316150255,-0.536193758913515,0.762631263392392
"miR200a",-0.878860313681087,-0.874766830314492,-0.760618294226335,-0.672323364620834,-0.559556117439991,-0.830836552102511,-0.503553860840923,-0.740631559085751,-0.498141468477725,0,0.734306422296833,0,0,0.80585615406421,0.80585615406421,0.80585615406421,0.804288430363548,0.566887609400332,-0.51003882365761,-0.753116316150255,-0.536193758913515,0.762631263392392
"miR141",-0.878860313681087,-0.874766830314492,-0.760618294226335,-0.672323364620834,-0.559556117439991,-0.830836552102511,-0.503553860840923,-0.740631559085751,-0.498141468477725,0,0.734306422296833,0,0,0.80585615406421,0.80585615406421,0.80585615406421,0.804288430363548,0.566887609400332,-0.51003882365761,-0.753116316150255,-0.536193758913515,0.762631263392392
"miR101",-0.780997378420742,-0.773674265216252,-0.646448174637291,-0.554260903772298,-0.426780879534398,-0.65255904075492,-0.377114198344036,-0.61799767583614,-0.387884273825188,0,0.595922067795385,0,0,0.716700893176643,0.716700893176643,0.716700893176643,0.713677569722773,0.509931413207871,-0.560316372305966,-0.586229690190017,-0.484614693090585,0.646574315903888
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"GSC",0.800794857904508,0.796601911390081,0.674986016338518,0.586302991889239,0.627370566221864,0.669655269140262,0.575881913951532,0.645353730223037,0.478946032290443,0,-0.643762885501575,0,0,-0.735850839813553,-0.735850839813553,-0.735850839813553,-0.734191031958497,-0.5669327377665,0.51540547541994,0.600519601984034,0.615192316018636,-0.677573016911456
"FOXC2",0.71815316023329,0.914937179752373,0.802064859746613,0.712781648644884,0.527667558128179,0.760590053697274,0.467130047155122,0.686181927566193,0.489657534435588,0,-0.778681032271921,0,0,-0.840714341408661,-0.840714341408661,-0.840714341408661,-0.839606415163914,-0.532323017417886,0.471158692173101,0.677370972983327,0.50655371640537,-0.804012034763314
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
