,Network,PFL,Type1,Type2,MISA,MISSA,uMISSA
477,EMT_MET_reduced_79,18,43,54,19,14,1
478,EMT_MET_reduced_8,14,18,28,15,15,2
479,EMT_MET_reduced_80,15,25,13,3,0,0
480,EMT_MET_reduced_81,16,30,40,2,14,1
481,EMT_MET_reduced_82,20,84,86,9,15,0
482,EMT_MET_reduced_83,19,28,56,24,19,2
483,EMT_MET_reduced_84,18,92,89,15,23,2
484,EMT_MET_reduced_85,20,95,120,40,27,3
485,EMT_MET_reduced_86,14,17,25,12,11,0
486,EMT_MET_reduced_87,26,113,118,4,32,1
487,EMT_MET_reduced_88,14,23,47,15,14,2
488,EMT_MET_reduced_89,17,56,59,31,25,1
489,EMT_MET_reduced_9,17,57,60,16,28,3
490,EMT_MET_reduced_90,24,116,168,21,44,2
491,EMT_MET_reduced_91,15,13,40,5,8,2
492,EMT_MET_reduced_92,18,63,83,12,28,0
493,EMT_MET_reduced_93,16,48,51,31,21,1
494,EMT_MET_reduced_94,19,65,83,26,19,4
495,EMT_MET_reduced_95,21,68,129,13,29,1
496,EMT_MET_reduced_96,19,79,129,35,35,2
497,EMT_MET_reduced_97,14,24,57,0,10,0
498,EMT_MET_reduced_98,20,66,95,28,25,1
499,EMT_MET_reduced_99,27,137,217,65,29,2
500,wild,27,180,220,45,43,4
